// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 人の声のようなものが聞こてくる。
<0000> 人の声のようなものが聞こてくる。
<0066> 日向markⅡ

//<0067> 糞虫
<0067> 糞虫

//<0068> 量産型日向
<0068> 量産型日向

//<0069> ？？
<0069> ？？

//<0070> 「なあ、あんたは誰だ？」
<0070> 「なあ、あんたは誰だ？」

//<0071> nothing
<0071> nothing

//<0072> nothing
<0072> nothing

//<0073> nothing
<0073> nothing

//<0074> nothing
<0074> nothing

//<0075> nothing
<0075> nothing

//<0076> 男
<0076> 男

//<0077> 「ん？　新入りか…いや、もうすでに戦線メンバーとして馴染んでいるか」
<0077> 「ん？　新入りか…いや、もうすでに戦線メンバーとして馴染んでいるか」

//<0078> 実際話してみると、なんとなく松下五段の雰囲気を醸し出している。
<0078> 実際話してみると、なんとなく松下五段の雰囲気を醸し出している。

//<0079> 音無
<0079> 音無

//<0080> クソ坊主
<0080> クソ坊主

//<0081> 代理人
<0081> 代理人

//<0082> 微妙すぎるイケメン
<0082> 微妙すぎるイケメン

//<0083> ロリコン
<0083> ロリコン

//<0084> メガネ仲間
<0084> メガネ仲間

//<0085> 暗算日本記録保持者
<0085> 暗算日本記録保持者

//<0086> 通り魔
<0086> 通り魔

//<0087> 記憶ナシ男
<0087> 記憶ナシ男

//<0088> 音速
<0088> 音速

//<0089> 無限
<0089> 無限

//<0090> エロ侍
<0090> エロ侍

//<0091> エロエロ団ナンバー１
<0091> エロエロ団ナンバー１

//<0092> ただのエロ少年
<0092> ただのエロ少年

//<0093> ユリブサイク
<0093> ユリブサイク

//<0094> ドピュッシー
<0094> ドピュッシー

//<0095> アメリカンエロドッグ
<0095> アメリカンエロドッグ

//<0096> ゼウス
<0096> ゼウス

//<0097> 日向markⅡ
<0097> 日向markⅡ

//<0098> 糞虫
<0098> 糞虫

//<0099> 量産型日向
<0099> 量産型日向

//<0100> ？？
<0100> ？？

//<0101> 「まさか…松下五段！？」
<0101> 「まさか…松下五段！？」

//<0102> nothing
<0102> nothing

//<0103> nothing
<0103> nothing

//<0104> nothing
<0104> nothing

//<0105> nothing
<0105> nothing

//<0106> nothing
<0106> nothing

//<0107> 松下
<0107> 松下

//<0108> 「ああ、その通りだが？」
<0108> 「ああ、その通りだが？」

//<0109> 音無
<0109> 音無

//<0110> クソ坊主
<0110> クソ坊主

//<0111> 代理人
<0111> 代理人

//<0112> 微妙すぎるイケメン
<0112> 微妙すぎるイケメン

//<0113> ロリコン
<0113> ロリコン

//<0114> メガネ仲間
<0114> メガネ仲間

//<0115> 暗算日本記録保持者
<0115> 暗算日本記録保持者

//<0116> 通り魔
<0116> 通り魔

//<0117> 記憶ナシ男
<0117> 記憶ナシ男

//<0118> 音速
<0118> 音速

//<0119> 無限
<0119> 無限

//<0120> エロ侍
<0120> エロ侍

//<0121> エロエロ団ナンバー１
<0121> エロエロ団ナンバー１

//<0122> ただのエロ少年
<0122> ただのエロ少年

//<0123> ユリブサイク
<0123> ユリブサイク

//<0124> ドピュッシー
<0124> ドピュッシー

//<0125> アメリカンエロドッグ
<0125> アメリカンエロドッグ

//<0126> ゼウス
<0126> ゼウス

//<0127> 日向markⅡ
<0127> 日向markⅡ

//<0128> 糞虫
<0128> 糞虫

//<0129> 量産型日向
<0129> 量産型日向

//<0130> ？？
<0130> ？？

//<0131> 「別人にしか見えねーよっ！　何があったんだよ！？」
<0131> 「別人にしか見えねーよっ！　何があったんだよ！？」

//<0132> nothing
<0132> nothing

//<0133> nothing
<0133> nothing

//<0134> nothing
<0134> nothing

//<0135> nothing
<0135> nothing

//<0136> nothing
<0136> nothing

//<0137> 松下
<0137> 松下

//<0138> 「ああ、このバデーィか。お前の言う通り、山籠もりし、ダイエットに励み、絞ってきた」
<0138> 「ああ、このバデーィか。お前の言う通り、山籠もりし、ダイエットに励み、絞ってきた」

//<0139> 音無
<0139> 音無

//<0140> クソ坊主
<0140> クソ坊主

//<0141> 代理人
<0141> 代理人

//<0142> 微妙すぎるイケメン
<0142> 微妙すぎるイケメン

//<0143> ロリコン
<0143> ロリコン

//<0144> メガネ仲間
<0144> メガネ仲間

//<0145> 暗算日本記録保持者
<0145> 暗算日本記録保持者

//<0146> 通り魔
<0146> 通り魔

//<0147> 記憶ナシ男
<0147> 記憶ナシ男

//<0148> 音速
<0148> 音速

//<0149> 無限
<0149> 無限

//<0150> エロ侍
<0150> エロ侍

//<0151> エロエロ団ナンバー１
<0151> エロエロ団ナンバー１

//<0152> ただのエロ少年
<0152> ただのエロ少年

//<0153> ユリブサイク
<0153> ユリブサイク

//<0154> ドピュッシー
<0154> ドピュッシー

//<0155> アメリカンエロドッグ
<0155> アメリカンエロドッグ

//<0156> ゼウス
<0156> ゼウス

//<0157> 日向markⅡ
<0157> 日向markⅡ

//<0158> 糞虫
<0158> 糞虫

//<0159> 量産型日向
<0159> 量産型日向

//<0160> ？？
<0160> ？？

//<0161> 「この短期間でそんな簡単に！？」
<0161> 「この短期間でそんな簡単に！？」

//<0162> nothing
<0162> nothing

//<0163> nothing
<0163> nothing

//<0164> nothing
<0164> nothing

//<0165> nothing
<0165> nothing

//<0166> nothing
<0166> nothing

//<0167> 松下
<0167> 松下

//<0168> 「はっ…そんなイージーな話があるかよ」
<0168> 「はっ…そんなイージーな話があるかよ」

//<0169> nothing
<0169> nothing

//<0170> nothing
<0170> nothing

//<0171> nothing
<0171> nothing

//<0172> nothing
<0172> nothing

//<0173> nothing
<0173> nothing

//<0174> 松下
<0174> 松下

//<0175> 「水もまともな食事も取らず、ひたすら毒キノコを食べ続け、訓練に励んだ。ベリーハード。そいつは並大抵のことじゃなかったぜ」
<0175> 「水もまともな食事も取らず、ひたすら毒キノコを食べ続け、訓練に励んだ。ベリーハード。そいつは並大抵のことじゃなかったぜ」

//<0176> 音無
<0176> 音無

//<0177> クソ坊主
<0177> クソ坊主

//<0178> 代理人
<0178> 代理人

//<0179> 微妙すぎるイケメン
<0179> 微妙すぎるイケメン

//<0180> ロリコン
<0180> ロリコン

//<0181> メガネ仲間
<0181> メガネ仲間

//<0182> 暗算日本記録保持者
<0182> 暗算日本記録保持者

//<0183> 通り魔
<0183> 通り魔

//<0184> 記憶ナシ男
<0184> 記憶ナシ男

//<0185> 音速
<0185> 音速

//<0186> 無限
<0186> 無限

//<0187> エロ侍
<0187> エロ侍

//<0188> エロエロ団ナンバー１
<0188> エロエロ団ナンバー１

//<0189> ただのエロ少年
<0189> ただのエロ少年

//<0190> ユリブサイク
<0190> ユリブサイク

//<0191> ドピュッシー
<0191> ドピュッシー

//<0192> アメリカンエロドッグ
<0192> アメリカンエロドッグ

//<0193> ゼウス
<0193> ゼウス

//<0194> 日向markⅡ
<0194> 日向markⅡ

//<0195> 糞虫
<0195> 糞虫

//<0196> 量産型日向
<0196> 量産型日向

//<0197> ？？
<0197> ？？

//<0198> 「声もそうだけど、言葉の選び方や喋り方も、変わってる気がするんだが…」
<0198> 「声もそうだけど、言葉の選び方や喋り方も、変わってる気がするんだが…」

//<0199> nothing
<0199> nothing

//<0200> nothing
<0200> nothing

//<0201> nothing
<0201> nothing

//<0202> nothing
<0202> nothing

//<0203> nothing
<0203> nothing

//<0204> 松下
<0204> 松下

//<0205> 「へぇ…特に意識はしていないが、ルックス相応になったということかもな」
<0205> 「へぇ…特に意識はしていないが、ルックス相応になったということかもな」

//<0206> 音無
<0206> 音無

//<0207> クソ坊主
<0207> クソ坊主

//<0208> 代理人
<0208> 代理人

//<0209> 微妙すぎるイケメン
<0209> 微妙すぎるイケメン

//<0210> ロリコン
<0210> ロリコン

//<0211> メガネ仲間
<0211> メガネ仲間

//<0212> 暗算日本記録保持者
<0212> 暗算日本記録保持者

//<0213> 通り魔
<0213> 通り魔

//<0214> 記憶ナシ男
<0214> 記憶ナシ男

//<0215> 音速
<0215> 音速

//<0216> 無限
<0216> 無限

//<0217> エロ侍
<0217> エロ侍

//<0218> エロエロ団ナンバー１
<0218> エロエロ団ナンバー１

//<0219> ただのエロ少年
<0219> ただのエロ少年

//<0220> ユリブサイク
<0220> ユリブサイク

//<0221> ドピュッシー
<0221> ドピュッシー

//<0222> アメリカンエロドッグ
<0222> アメリカンエロドッグ

//<0223> ゼウス
<0223> ゼウス

//<0224> 日向markⅡ
<0224> 日向markⅡ

//<0225> 糞虫
<0225> 糞虫

//<0226> 量産型日向
<0226> 量産型日向

//<0227> ？？
<0227> ？？

//<0228> 「きっと、定例会議で、みんなが驚くぞ…」
<0228> 「きっと、定例会議で、みんなが驚くぞ…」

//<0229> nothing
<0229> nothing

//<0230> nothing
<0230> nothing

//<0231> nothing
<0231> nothing

//<0232> nothing
<0232> nothing

//<0233> nothing
<0233> nothing

//<0234> 松下
<0234> 松下

//<0235> 「こんな世界じゃ驚くことなんて、これまでも一杯あった。ノープロブレムさ」
<0235> 「こんな世界じゃ驚くことなんて、これまでも一杯あった。ノープロブレムさ」

//<0236> やはり、違和感を拭いきれない…。
<0236> やはり、違和感を拭いきれない…。

//<0237> nothing
<0237> nothing

//<0238> nothing
<0238> nothing

//<0239> nothing
<0239> nothing

//<0240> nothing
<0240> nothing

//<0241> nothing
<0241> nothing

//<0242> 松下
<0242> 松下

//<0243> 「お前の助言のおかげだよ。今はとても体が軽い。技の切れ味も、まったく違うな」
<0243> 「お前の助言のおかげだよ。今はとても体が軽い。技の切れ味も、まったく違うな」

//<0244> nothing
<0244> nothing

//<0245> nothing
<0245> nothing

//<0246> nothing
<0246> nothing

//<0247> nothing
<0247> nothing

//<0248> nothing
<0248> nothing

//<0249> 松下
<0249> 松下

//<0250> 「そこで、乱取りに付き合ってもらえないか？」
<0250> 「そこで、乱取りに付き合ってもらえないか？」

//<0251> 付き合う
<0251> 付き合う

//<0252> 断る
<0252> 断る

//<0253> selbtn : 
<0253> selbtn : 

//<0254> 音無
<0254> 音無

//<0255> クソ坊主
<0255> クソ坊主

//<0256> 代理人
<0256> 代理人

//<0257> 微妙すぎるイケメン
<0257> 微妙すぎるイケメン

//<0258> ロリコン
<0258> ロリコン

//<0259> メガネ仲間
<0259> メガネ仲間

//<0260> 暗算日本記録保持者
<0260> 暗算日本記録保持者

//<0261> 通り魔
<0261> 通り魔

//<0262> 記憶ナシ男
<0262> 記憶ナシ男

//<0263> 音速
<0263> 音速

//<0264> 無限
<0264> 無限

//<0265> エロ侍
<0265> エロ侍

//<0266> エロエロ団ナンバー１
<0266> エロエロ団ナンバー１

//<0267> ただのエロ少年
<0267> ただのエロ少年

//<0268> ユリブサイク
<0268> ユリブサイク

//<0269> ドピュッシー
<0269> ドピュッシー

//<0270> アメリカンエロドッグ
<0270> アメリカンエロドッグ

//<0271> ゼウス
<0271> ゼウス

//<0272> 日向markⅡ
<0272> 日向markⅡ

//<0273> 糞虫
<0273> 糞虫

//<0274> 量産型日向
<0274> 量産型日向

//<0275> ？？
<0275> ？？

//<0276> 「わかった。いいだろう」
<0276> 「わかった。いいだろう」

//<0277> 俺だってこの世界に来てから、鍛えてきたつもりだ。誘われたら引くわけにはいかない。
<0277> 俺だってこの世界に来てから、鍛えてきたつもりだ。誘われたら引くわけにはいかない。

//<0278> nothing
<0278> nothing

//<0279> nothing
<0279> nothing

//<0280> nothing
<0280> nothing

//<0281> nothing
<0281> nothing

//<0282> nothing
<0282> nothing

//<0283> 松下
<0283> 松下

//<0284> 「カモーーーーン！！」
<0284> 「カモーーーーン！！」

//<0285> いきなりの横文字で、脱力しそうになる…。
<0285> いきなりの横文字で、脱力しそうになる…。

//<0286> 音無
<0286> 音無

//<0287> クソ坊主
<0287> クソ坊主

//<0288> 代理人
<0288> 代理人

//<0289> 微妙すぎるイケメン
<0289> 微妙すぎるイケメン

//<0290> ロリコン
<0290> ロリコン

//<0291> メガネ仲間
<0291> メガネ仲間

//<0292> 暗算日本記録保持者
<0292> 暗算日本記録保持者

//<0293> 通り魔
<0293> 通り魔

//<0294> 記憶ナシ男
<0294> 記憶ナシ男

//<0295> 音速
<0295> 音速

//<0296> 無限
<0296> 無限

//<0297> エロ侍
<0297> エロ侍

//<0298> エロエロ団ナンバー１
<0298> エロエロ団ナンバー１

//<0299> ただのエロ少年
<0299> ただのエロ少年

//<0300> ユリブサイク
<0300> ユリブサイク

//<0301> ドピュッシー
<0301> ドピュッシー

//<0302> アメリカンエロドッグ
<0302> アメリカンエロドッグ

//<0303> ゼウス
<0303> ゼウス

//<0304> 日向markⅡ
<0304> 日向markⅡ

//<0305> 糞虫
<0305> 糞虫

//<0306> 量産型日向
<0306> 量産型日向

//<0307> ？？
<0307> ？？

//<0308> （動揺するな…俺…）
<0308> （動揺するな…俺…）

//<0309> bs3_
<0309> bs3_

//<0310> nothing
<0310> nothing

//<0311> nothing
<0311> nothing

//<0312> nothing
<0312> nothing

//<0313> nothing
<0313> nothing

//<0314> nothing
<0314> nothing

//<0315> お互い間合いを計り、回っていく。
<0315> お互い間合いを計り、回っていく。

//<0316> 音無
<0316> 音無

//<0317> クソ坊主
<0317> クソ坊主

//<0318> 代理人
<0318> 代理人

//<0319> 微妙すぎるイケメン
<0319> 微妙すぎるイケメン

//<0320> ロリコン
<0320> ロリコン

//<0321> メガネ仲間
<0321> メガネ仲間

//<0322> 暗算日本記録保持者
<0322> 暗算日本記録保持者

//<0323> 通り魔
<0323> 通り魔

//<0324> 記憶ナシ男
<0324> 記憶ナシ男

//<0325> 音速
<0325> 音速

//<0326> 無限
<0326> 無限

//<0327> エロ侍
<0327> エロ侍

//<0328> エロエロ団ナンバー１
<0328> エロエロ団ナンバー１

//<0329> ただのエロ少年
<0329> ただのエロ少年

//<0330> ユリブサイク
<0330> ユリブサイク

//<0331> ドピュッシー
<0331> ドピュッシー

//<0332> アメリカンエロドッグ
<0332> アメリカンエロドッグ

//<0333> ゼウス
<0333> ゼウス

//<0334> 日向markⅡ
<0334> 日向markⅡ

//<0335> 糞虫
<0335> 糞虫

//<0336> 量産型日向
<0336> 量産型日向

//<0337> ？？
<0337> ？？

//<0338> （あれ？）
<0338> （あれ？）

//<0339> nothing
<0339> nothing

//<0340> 
<0340> 

//<0341> 
<0341> 

//<0342> nothing
<0342> nothing

//<0343> 空が見えていた。
<0343> 空が見えていた。

//<0344> nothing
<0344> nothing

//<0345> 
<0345> 

//<0346> 
<0346> 

//<0347> nothing
<0347> nothing

//<0348> se_fling_ground
<0348> se_fling_ground

//<0349> どすん！
<0349> どすん！

//<0350> 投げられていたのだ…。
<0350> 投げられていたのだ…。

//<0351> 松下の動きは視認できなかった…。まるで瞬間移動のようだった…。
<0351> 松下の動きは視認できなかった…。まるで瞬間移動のようだった…。

//<0352> そして…。
<0352> そして…。

//<0353> 音無
<0353> 音無

//<0354> クソ坊主
<0354> クソ坊主

//<0355> 代理人
<0355> 代理人

//<0356> 微妙すぎるイケメン
<0356> 微妙すぎるイケメン

//<0357> ロリコン
<0357> ロリコン

//<0358> メガネ仲間
<0358> メガネ仲間

//<0359> 暗算日本記録保持者
<0359> 暗算日本記録保持者

//<0360> 通り魔
<0360> 通り魔

//<0361> 記憶ナシ男
<0361> 記憶ナシ男

//<0362> 音速
<0362> 音速

//<0363> 無限
<0363> 無限

//<0364> エロ侍
<0364> エロ侍

//<0365> エロエロ団ナンバー１
<0365> エロエロ団ナンバー１

//<0366> ただのエロ少年
<0366> ただのエロ少年

//<0367> ユリブサイク
<0367> ユリブサイク

//<0368> ドピュッシー
<0368> ドピュッシー

//<0369> アメリカンエロドッグ
<0369> アメリカンエロドッグ

//<0370> ゼウス
<0370> ゼウス

//<0371> 日向markⅡ
<0371> 日向markⅡ

//<0372> 糞虫
<0372> 糞虫

//<0373> 量産型日向
<0373> 量産型日向

//<0374> ？？
<0374> ？？

//<0375> 「いでぇぇぇーーーー！！」
<0375> 「いでぇぇぇーーーー！！」

//<0376> 受け身を取り損ない、左腕を最初に地面につけ、おかしな方向に曲がってしまっていた。
<0376> 受け身を取り損ない、左腕を最初に地面につけ、おかしな方向に曲がってしまっていた。

//<0377> nothing
<0377> nothing

//<0378> nothing
<0378> nothing

//<0379> nothing
<0379> nothing

//<0380> nothing
<0380> nothing

//<0381> nothing
<0381> nothing

//<0382> 松下が、その腕を取り、確認してくれる。
<0382> 松下が、その腕を取り、確認してくれる。

//<0383> 音無
<0383> 音無

//<0384> クソ坊主
<0384> クソ坊主

//<0385> 代理人
<0385> 代理人

//<0386> 微妙すぎるイケメン
<0386> 微妙すぎるイケメン

//<0387> ロリコン
<0387> ロリコン

//<0388> メガネ仲間
<0388> メガネ仲間

//<0389> 暗算日本記録保持者
<0389> 暗算日本記録保持者

//<0390> 通り魔
<0390> 通り魔

//<0391> 記憶ナシ男
<0391> 記憶ナシ男

//<0392> 音速
<0392> 音速

//<0393> 無限
<0393> 無限

//<0394> エロ侍
<0394> エロ侍

//<0395> エロエロ団ナンバー１
<0395> エロエロ団ナンバー１

//<0396> ただのエロ少年
<0396> ただのエロ少年

//<0397> ユリブサイク
<0397> ユリブサイク

//<0398> ドピュッシー
<0398> ドピュッシー

//<0399> アメリカンエロドッグ
<0399> アメリカンエロドッグ

//<0400> ゼウス
<0400> ゼウス

//<0401> 日向markⅡ
<0401> 日向markⅡ

//<0402> 糞虫
<0402> 糞虫

//<0403> 量産型日向
<0403> 量産型日向

//<0404> ？？
<0404> ？？

//<0405> 「いだだだだだ…！」
<0405> 「いだだだだだ…！」

//<0406> nothing
<0406> nothing

//<0407> nothing
<0407> nothing

//<0408> nothing
<0408> nothing

//<0409> nothing
<0409> nothing

//<0410> nothing
<0410> nothing

//<0411> 松下
<0411> 松下

//<0412> 「完全に骨折してるぜ…。わりぃーな」
<0412> 「完全に骨折してるぜ…。わりぃーな」

//<0413> 音無
<0413> 音無

//<0414> クソ坊主
<0414> クソ坊主

//<0415> 代理人
<0415> 代理人

//<0416> 微妙すぎるイケメン
<0416> 微妙すぎるイケメン

//<0417> ロリコン
<0417> ロリコン

//<0418> メガネ仲間
<0418> メガネ仲間

//<0419> 暗算日本記録保持者
<0419> 暗算日本記録保持者

//<0420> 通り魔
<0420> 通り魔

//<0421> 記憶ナシ男
<0421> 記憶ナシ男

//<0422> 音速
<0422> 音速

//<0423> 無限
<0423> 無限

//<0424> エロ侍
<0424> エロ侍

//<0425> エロエロ団ナンバー１
<0425> エロエロ団ナンバー１

//<0426> ただのエロ少年
<0426> ただのエロ少年

//<0427> ユリブサイク
<0427> ユリブサイク

//<0428> ドピュッシー
<0428> ドピュッシー

//<0429> アメリカンエロドッグ
<0429> アメリカンエロドッグ

//<0430> ゼウス
<0430> ゼウス

//<0431> 日向markⅡ
<0431> 日向markⅡ

//<0432> 糞虫
<0432> 糞虫

//<0433> 量産型日向
<0433> 量産型日向

//<0434> ？？
<0434> ？？

//<0435> 「ほんとわりぃーよ！」
<0435> 「ほんとわりぃーよ！」

//<0436> nothing
<0436> nothing

//<0437> nothing
<0437> nothing

//<0438> nothing
<0438> nothing

//<0439> nothing
<0439> nothing

//<0440> nothing
<0440> nothing

//<0441> 松下
<0441> 松下

//<0442> 「まあ、明日には治ってるから、ノープロブレムさ」
<0442> 「まあ、明日には治ってるから、ノープロブレムさ」

//<0443> 音無
<0443> 音無

//<0444> クソ坊主
<0444> クソ坊主

//<0445> 代理人
<0445> 代理人

//<0446> 微妙すぎるイケメン
<0446> 微妙すぎるイケメン

//<0447> ロリコン
<0447> ロリコン

//<0448> メガネ仲間
<0448> メガネ仲間

//<0449> 暗算日本記録保持者
<0449> 暗算日本記録保持者

//<0450> 通り魔
<0450> 通り魔

//<0451> 記憶ナシ男
<0451> 記憶ナシ男

//<0452> 音速
<0452> 音速

//<0453> 無限
<0453> 無限

//<0454> エロ侍
<0454> エロ侍

//<0455> エロエロ団ナンバー１
<0455> エロエロ団ナンバー１

//<0456> ただのエロ少年
<0456> ただのエロ少年

//<0457> ユリブサイク
<0457> ユリブサイク

//<0458> ドピュッシー
<0458> ドピュッシー

//<0459> アメリカンエロドッグ
<0459> アメリカンエロドッグ

//<0460> ゼウス
<0460> ゼウス

//<0461> 日向markⅡ
<0461> 日向markⅡ

//<0462> 糞虫
<0462> 糞虫

//<0463> 量産型日向
<0463> 量産型日向

//<0464> ？？
<0464> ？？

//<0465> 「今日は痛いままじゃん！　プロブレム！　大プロブレム！」
<0465> 「今日は痛いままじゃん！　プロブレム！　大プロブレム！」

//<0466> nothing
<0466> nothing

//<0467> nothing
<0467> nothing

//<0468> nothing
<0468> nothing

//<0469> nothing
<0469> nothing

//<0470> nothing
<0470> nothing

//<0471> 松下
<0471> 松下

//<0472> 「わかった、わかった」
<0472> 「わかった、わかった」

//<0473> nothing
<0473> nothing

//<0474> nothing
<0474> nothing

//<0475> nothing
<0475> nothing

//<0476> nothing
<0476> nothing

//<0477> nothing
<0477> nothing

//<0478> nothing
<0478> nothing

//<0479> 松下は木によっていって、品定めをした後、ぼきりと一本の枝を折る。
<0479> 松下は木によっていって、品定めをした後、ぼきりと一本の枝を折る。

//<0480> nothing
<0480> nothing

//<0481> nothing
<0481> nothing

//<0482> nothing
<0482> nothing

//<0483> nothing
<0483> nothing

//<0484> nothing
<0484> nothing

//<0485> そして、巾着袋の中から包帯と三角巾を取り出す。一応、応急手当をしてくれるようだ。
<0485> そして、巾着袋の中から包帯と三角巾を取り出す。一応、応急手当をしてくれるようだ。

//<0486> 俺は無言で、されるがままにした。
<0486> 俺は無言で、されるがままにした。

//<0487> nothing
<0487> nothing

//<0488> nothing
<0488> nothing

//<0489> nothing
<0489> nothing

//<0490> nothing
<0490> nothing

//<0491> nothing
<0491> nothing

//<0492> 松下
<0492> 松下

//<0493> 「これでいいだろ」
<0493> 「これでいいだろ」

//<0494> 音無
<0494> 音無

//<0495> クソ坊主
<0495> クソ坊主

//<0496> 代理人
<0496> 代理人

//<0497> 微妙すぎるイケメン
<0497> 微妙すぎるイケメン

//<0498> ロリコン
<0498> ロリコン

//<0499> メガネ仲間
<0499> メガネ仲間

//<0500> 暗算日本記録保持者
<0500> 暗算日本記録保持者

//<0501> 通り魔
<0501> 通り魔

//<0502> 記憶ナシ男
<0502> 記憶ナシ男

//<0503> 音速
<0503> 音速

//<0504> 無限
<0504> 無限

//<0505> エロ侍
<0505> エロ侍

//<0506> エロエロ団ナンバー１
<0506> エロエロ団ナンバー１

//<0507> ただのエロ少年
<0507> ただのエロ少年

//<0508> ユリブサイク
<0508> ユリブサイク

//<0509> ドピュッシー
<0509> ドピュッシー

//<0510> アメリカンエロドッグ
<0510> アメリカンエロドッグ

//<0511> ゼウス
<0511> ゼウス

//<0512> 日向markⅡ
<0512> 日向markⅡ

//<0513> 糞虫
<0513> 糞虫

//<0514> 量産型日向
<0514> 量産型日向

//<0515> ？？
<0515> ？？

//<0516> 「今夜はオペーレーション・トルネードだぜ！？」
<0516> 「今夜はオペーレーション・トルネードだぜ！？」

//<0517> nothing
<0517> nothing

//<0518> nothing
<0518> nothing

//<0519> nothing
<0519> nothing

//<0520> nothing
<0520> nothing

//<0521> nothing
<0521> nothing

//<0522> 松下
<0522> 松下

//<0523> 「そいつは、わりーな」
<0523> 「そいつは、わりーな」

//<0524> 音無
<0524> 音無

//<0525> クソ坊主
<0525> クソ坊主

//<0526> 代理人
<0526> 代理人

//<0527> 微妙すぎるイケメン
