// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 俺はひさ子の言葉を思い出した。
<0000> 俺はひさ子の言葉を思い出した。
//<0093> 量産型日向
<0093> 量産型日向

//<0094> ？？
<0094> ？？

//<0095> 「え…」
<0095> 「え…」

//<0096> 戸惑った。
<0096> 戸惑った。

//<0097> nothing
<0097> nothing

//<0098> nothing
<0098> nothing

//<0099> nothing
<0099> nothing

//<0100> nothing
<0100> nothing

//<0101> nothing
<0101> nothing

//<0102> 関根
<0102> 関根

//<0103> 「あ、いえ…音無さんなら、ひさ子先輩の隣に居られるのかなって思って…」
<0103> 「あ、いえ…音無さんなら、ひさ子先輩の隣に居られるのかなって思って…」

//<0104> nothing
<0104> nothing

//<0105> nothing
<0105> nothing

//<0106> nothing
<0106> nothing

//<0107> nothing
<0107> nothing

//<0108> nothing
<0108> nothing

//<0109> 関根
<0109> 関根

//<0110> 「その…あたしたちも知らない生前の話を聞いてるぐらいなら…」
<0110> 「その…あたしたちも知らない生前の話を聞いてるぐらいなら…」

//<0111> 知っていたのか…。
<0111> 知っていたのか…。

//<0112> 音無
<0112> 音無

//<0113> クソ坊主
<0113> クソ坊主

//<0114> 代理人
<0114> 代理人

//<0115> 微妙すぎるイケメン
<0115> 微妙すぎるイケメン

//<0116> ロリコン
<0116> ロリコン

//<0117> メガネ仲間
<0117> メガネ仲間

//<0118> 暗算日本記録保持者
<0118> 暗算日本記録保持者

//<0119> 通り魔
<0119> 通り魔

//<0120> 記憶ナシ男
<0120> 記憶ナシ男

//<0121> 音速
<0121> 音速

//<0122> 無限
<0122> 無限

//<0123> エロ侍
<0123> エロ侍

//<0124> エロエロ団ナンバー１
<0124> エロエロ団ナンバー１

//<0125> ただのエロ少年
<0125> ただのエロ少年

//<0126> ユリブサイク
<0126> ユリブサイク

//<0127> ドピュッシー
<0127> ドピュッシー

//<0128> アメリカンエロドッグ
<0128> アメリカンエロドッグ

//<0129> ゼウス
<0129> ゼウス

//<0130> 日向markⅡ
<0130> 日向markⅡ

//<0131> 糞虫
<0131> 糞虫

//<0132> 量産型日向
<0132> 量産型日向

//<0133> ？？
<0133> ？？

//<0134> 「わかった。今どこに？」
<0134> 「わかった。今どこに？」

//<0135> nothing
<0135> nothing

//<0136> nothing
<0136> nothing

//<0137> nothing
<0137> nothing

//<0138> nothing
<0138> nothing

//<0139> nothing
<0139> nothing

//<0140> 関根
<0140> 関根

//<0141> 「大階段です」
<0141> 「大階段です」

//<0142> 音無
<0142> 音無

//<0143> クソ坊主
<0143> クソ坊主

//<0144> 代理人
<0144> 代理人

//<0145> 微妙すぎるイケメン
<0145> 微妙すぎるイケメン

//<0146> ロリコン
<0146> ロリコン

//<0147> メガネ仲間
<0147> メガネ仲間

//<0148> 暗算日本記録保持者
<0148> 暗算日本記録保持者

//<0149> 通り魔
<0149> 通り魔

//<0150> 記憶ナシ男
<0150> 記憶ナシ男

//<0151> 音速
<0151> 音速

//<0152> 無限
<0152> 無限

//<0153> エロ侍
<0153> エロ侍

//<0154> エロエロ団ナンバー１
<0154> エロエロ団ナンバー１

//<0155> ただのエロ少年
<0155> ただのエロ少年

//<0156> ユリブサイク
<0156> ユリブサイク

//<0157> ドピュッシー
<0157> ドピュッシー

//<0158> アメリカンエロドッグ
<0158> アメリカンエロドッグ

//<0159> ゼウス
<0159> ゼウス

//<0160> 日向markⅡ
<0160> 日向markⅡ

//<0161> 糞虫
<0161> 糞虫

//<0162> 量産型日向
<0162> 量産型日向

//<0163> ？？
<0163> ？？

//<0164> 「よし、後は任せておけ」
<0164> 「よし、後は任せておけ」

//<0165> そこへ一心不乱に向かう。
<0165> そこへ一心不乱に向かう。

//<0166> 口で言うのは簡単だな、と心の中で自嘲しながら。
<0166> 口で言うのは簡単だな、と心の中で自嘲しながら。

//<0167> 大階段の一番上、ど真ん中に、ひさ子は座り込んでいた。
<0167> 大階段の一番上、ど真ん中に、ひさ子は座り込んでいた。

//<0168> nothing
<0168> nothing

//<0169> 
<0169> 

//<0170> 
<0170> 

//<0171> nothing
<0171> nothing

//<0172> ポニーテールが上を向いている。顔を伏せてるのだ。
<0172> ポニーテールが上を向いている。顔を伏せてるのだ。

//<0173> 音無
<0173> 音無

//<0174> クソ坊主
<0174> クソ坊主

//<0175> 代理人
<0175> 代理人

//<0176> 微妙すぎるイケメン
<0176> 微妙すぎるイケメン

//<0177> ロリコン
<0177> ロリコン

//<0178> メガネ仲間
<0178> メガネ仲間

//<0179> 暗算日本記録保持者
<0179> 暗算日本記録保持者

//<0180> 通り魔
<0180> 通り魔

//<0181> 記憶ナシ男
<0181> 記憶ナシ男

//<0182> 音速
<0182> 音速

//<0183> 無限
<0183> 無限

//<0184> エロ侍
<0184> エロ侍

//<0185> エロエロ団ナンバー１
<0185> エロエロ団ナンバー１

//<0186> ただのエロ少年
<0186> ただのエロ少年

//<0187> ユリブサイク
<0187> ユリブサイク

//<0188> ドピュッシー
<0188> ドピュッシー

//<0189> アメリカンエロドッグ
<0189> アメリカンエロドッグ

//<0190> ゼウス
<0190> ゼウス

//<0191> 日向markⅡ
<0191> 日向markⅡ

//<0192> 糞虫
<0192> 糞虫

//<0193> 量産型日向
<0193> 量産型日向

//<0194> ？？
<0194> ？？

//<0195> （泣いているのか…？）
<0195> （泣いているのか…？）

//<0196> 俺は何も言わずひさ子の隣に座った。
<0196> 俺は何も言わずひさ子の隣に座った。

//<0197> すると顔を上げて、こっちを見た。
<0197> すると顔を上げて、こっちを見た。

//<0198> ひさ子
<0198> ひさ子

//<0199> 「あんたか」
<0199> 「あんたか」

//<0200> 泣いてはいなかった。
<0200> 泣いてはいなかった。

//<0201> ただ生気がないように映った。もとより死んではいるが。
<0201> ただ生気がないように映った。もとより死んではいるが。

//<0202> ひさ子
<0202> ひさ子

//<0203> 「悪いけど、ひとりにしてくれないか」
<0203> 「悪いけど、ひとりにしてくれないか」

//<0204> ひとりにする
<0204> ひとりにする

//<0205> それはできない
<0205> それはできない

//<0206> selbtn : 
<0206> selbtn : 

//<0207> 関根と入江に任せておけ、と言ったものの、まだ出会って間もない俺が、どうこう言っても何も変わらないだろう。
<0207> 関根と入江に任せておけ、と言ったものの、まだ出会って間もない俺が、どうこう言っても何も変わらないだろう。

//<0208> 自分で乗り越えるしかないと思う。どれだけだって居られる世界なのだから。
<0208> 自分で乗り越えるしかないと思う。どれだけだって居られる世界なのだから。

//<0209> 音無
<0209> 音無

//<0210> クソ坊主
<0210> クソ坊主

//<0211> 代理人
<0211> 代理人

//<0212> 微妙すぎるイケメン
<0212> 微妙すぎるイケメン

//<0213> ロリコン
<0213> ロリコン

//<0214> メガネ仲間
<0214> メガネ仲間

//<0215> 暗算日本記録保持者
<0215> 暗算日本記録保持者

//<0216> 通り魔
<0216> 通り魔

//<0217> 記憶ナシ男
<0217> 記憶ナシ男

//<0218> 音速
<0218> 音速

//<0219> 無限
<0219> 無限

//<0220> エロ侍
<0220> エロ侍

//<0221> エロエロ団ナンバー１
<0221> エロエロ団ナンバー１

//<0222> ただのエロ少年
<0222> ただのエロ少年

//<0223> ユリブサイク
<0223> ユリブサイク

//<0224> ドピュッシー
<0224> ドピュッシー

//<0225> アメリカンエロドッグ
<0225> アメリカンエロドッグ

//<0226> ゼウス
<0226> ゼウス

//<0227> 日向markⅡ
<0227> 日向markⅡ

//<0228> 糞虫
<0228> 糞虫

//<0229> 量産型日向
<0229> 量産型日向

//<0230> ？？
<0230> ？？

//<0231> 「わかった。ちゃんと乗り越えろよな」
<0231> 「わかった。ちゃんと乗り越えろよな」

//<0232> ひさ子はなんの反応も見せないが、俺は寮に帰ることにした。
<0232> ひさ子はなんの反応も見せないが、俺は寮に帰ることにした。

//<0233> 音無
<0233> 音無

//<0234> クソ坊主
<0234> クソ坊主

//<0235> 代理人
<0235> 代理人

//<0236> 微妙すぎるイケメン
<0236> 微妙すぎるイケメン

//<0237> ロリコン
<0237> ロリコン

//<0238> メガネ仲間
<0238> メガネ仲間

//<0239> 暗算日本記録保持者
<0239> 暗算日本記録保持者

//<0240> 通り魔
<0240> 通り魔

//<0241> 記憶ナシ男
<0241> 記憶ナシ男

//<0242> 音速
<0242> 音速

//<0243> 無限
<0243> 無限

//<0244> エロ侍
<0244> エロ侍

//<0245> エロエロ団ナンバー１
<0245> エロエロ団ナンバー１

//<0246> ただのエロ少年
<0246> ただのエロ少年

//<0247> ユリブサイク
<0247> ユリブサイク

//<0248> ドピュッシー
<0248> ドピュッシー

//<0249> アメリカンエロドッグ
<0249> アメリカンエロドッグ

//<0250> ゼウス
<0250> ゼウス

//<0251> 日向markⅡ
<0251> 日向markⅡ

//<0252> 糞虫
<0252> 糞虫

//<0253> 量産型日向
<0253> 量産型日向

//<0254> ？？
<0254> ？？

//<0255> 「いや、できない」
<0255> 「いや、できない」

//<0256> ひさ子
<0256> ひさ子

//<0257> 「あたしがそんな弱い人間に見えるか」
<0257> 「あたしがそんな弱い人間に見えるか」

//<0258> 音無
<0258> 音無

//<0259> クソ坊主
<0259> クソ坊主

//<0260> 代理人
<0260> 代理人

//<0261> 微妙すぎるイケメン
<0261> 微妙すぎるイケメン

//<0262> ロリコン
<0262> ロリコン

//<0263> メガネ仲間
<0263> メガネ仲間

//<0264> 暗算日本記録保持者
<0264> 暗算日本記録保持者

//<0265> 通り魔
<0265> 通り魔

//<0266> 記憶ナシ男
<0266> 記憶ナシ男

//<0267> 音速
<0267> 音速

//<0268> 無限
<0268> 無限

//<0269> エロ侍
<0269> エロ侍

//<0270> エロエロ団ナンバー１
<0270> エロエロ団ナンバー１

//<0271> ただのエロ少年
<0271> ただのエロ少年

//<0272> ユリブサイク
<0272> ユリブサイク

//<0273> ドピュッシー
<0273> ドピュッシー

//<0274> アメリカンエロドッグ
<0274> アメリカンエロドッグ

//<0275> ゼウス
<0275> ゼウス

//<0276> 日向markⅡ
<0276> 日向markⅡ

//<0277> 糞虫
<0277> 糞虫

//<0278> 量産型日向
<0278> 量産型日向

//<0279> ？？
<0279> ？？

//<0280> 「見えるな、俺には」
<0280> 「見えるな、俺には」

//<0281> ひさ子
<0281> ひさ子

//<0282> 「乗り越えてみせるさ」
<0282> 「乗り越えてみせるさ」

//<0283> ひさ子
<0283> ひさ子

//<0284> 「そもそも誰がいつ居なくなってもおかしくない世界だ」
<0284> 「そもそも誰がいつ居なくなってもおかしくない世界だ」

//<0285> ひさ子
<0285> ひさ子

//<0286> 「心の準備は出来てたよ」
<0286> 「心の準備は出来てたよ」

//<0287> 音無
<0287> 音無

//<0288> クソ坊主
<0288> クソ坊主

//<0289> 代理人
<0289> 代理人

//<0290> 微妙すぎるイケメン
<0290> 微妙すぎるイケメン

//<0291> ロリコン
<0291> ロリコン

//<0292> メガネ仲間
<0292> メガネ仲間

//<0293> 暗算日本記録保持者
<0293> 暗算日本記録保持者

//<0294> 通り魔
<0294> 通り魔

//<0295> 記憶ナシ男
<0295> 記憶ナシ男

//<0296> 音速
<0296> 音速

//<0297> 無限
<0297> 無限

//<0298> エロ侍
<0298> エロ侍

//<0299> エロエロ団ナンバー１
<0299> エロエロ団ナンバー１

//<0300> ただのエロ少年
<0300> ただのエロ少年

//<0301> ユリブサイク
<0301> ユリブサイク

//<0302> ドピュッシー
<0302> ドピュッシー

//<0303> アメリカンエロドッグ
<0303> アメリカンエロドッグ

//<0304> ゼウス
<0304> ゼウス

//<0305> 日向markⅡ
<0305> 日向markⅡ

//<0306> 糞虫
<0306> 糞虫

//<0307> 量産型日向
<0307> 量産型日向

//<0308> ？？
<0308> ？？

//<0309> 「じゃあ、どうしてひとりで居る？」
<0309> 「じゃあ、どうしてひとりで居る？」

//<0310> ひさ子
<0310> ひさ子

//<0311> 「関根と入江か？　そりゃあ、あいつらのほうが後から来たし…」
<0311> 「関根と入江か？　そりゃあ、あいつらのほうが後から来たし…」

//<0312> ひさ子
<0312> ひさ子

//<0313> 「あのふたりはこの場所の意味を知らない」
<0313> 「あのふたりはこの場所の意味を知らない」

//<0314> ひさ子
<0314> ひさ子

//<0315> 「だからだよ」
<0315> 「だからだよ」

//<0316> ひさ子
<0316> ひさ子

//<0317> 「ここはさ、岩沢と初めてライブをした場所なんだ」
<0317> 「ここはさ、岩沢と初めてライブをした場所なんだ」

//<0318> ひさ子
<0318> ひさ子

//<0319> 「ふたりきりのスタートだったんだ」
<0319> 「ふたりきりのスタートだったんだ」

//<0320> ひさ子
<0320> ひさ子

//<0321> 「最初は岩沢がひとりで音楽室からクラシックギター持ち出して、弾き語りしてたんだ」
<0321> 「最初は岩沢がひとりで音楽室からクラシックギター持ち出して、弾き語りしてたんだ」

//<0322> ひさ子
<0322> ひさ子

//<0323> 「すげー力強くてさ、心の深くまで届いてきてさ…」
<0323> 「すげー力強くてさ、心の深くまで届いてきてさ…」

//<0324> ひさ子
<0324> ひさ子

//<0325> 「情熱がすげーんだ」
<0325> 「情熱がすげーんだ」

//<0326> ひさ子
<0326> ひさ子

//<0327> 「そんなに必死に歌う奴なんて居なかったよ…」
<0327> 「そんなに必死に歌う奴なんて居なかったよ…」

//<0328> ひさ子
<0328> ひさ子

//<0329> 「伝えようって心がさ…」
<0329> 「伝えようって心がさ…」

//<0330> ひさ子
<0330> ひさ子

//<0331> 「歌じゃなくてもよかったのかもしれない…」
<0331> 「歌じゃなくてもよかったのかもしれない…」

//<0332> ひさ子
<0332> ひさ子

//<0333> 「もし絵を描いていたら、あいつはやっぱすげー心に響く絵を描いてたと思う」
<0333> 「もし絵を描いていたら、あいつはやっぱすげー心に響く絵を描いてたと思う」

//<0334> ひさ子
<0334> ひさ子

//<0335> 「そうしたら、あたしは絵を描くあいつの隣でアコギでも弾いてやってたろうな…ＢＧＭ代わりにさ…」
<0335> 「そうしたら、あたしは絵を描くあいつの隣でアコギでも弾いてやってたろうな…ＢＧＭ代わりにさ…」

//<0336> ひさ子
<0336> ひさ子

//<0337> 「そん時は陽動は個展になっていたかもな…」
<0337> 「そん時は陽動は個展になっていたかもな…」

//<0338> ひさ子
<0338> ひさ子

//<0339> 「それぐらいさ…なんでも良かったんだ…」
<0339> 「それぐらいさ…なんでも良かったんだ…」

//<0340> ひさ子
<0340> ひさ子

//<0341> 「あたしがギターを弾いていられて、あいつがパートナーとして隣に居てくれたら…」
<0341> 「あたしがギターを弾いていられて、あいつがパートナーとして隣に居てくれたら…」

//<0342> ひさ子
<0342> ひさ子

//<0343> 「それぐらいあたしはあいつのことが好きだったんだ…」
<0343> 「それぐらいあたしはあいつのことが好きだったんだ…」

//<0344> ひさ子
<0344> ひさ子

//<0345> 「なあ、音無くん、これ以上、あたしに話をさせないでくれないかな」
<0345> 「なあ、音無くん、これ以上、あたしに話をさせないでくれないかな」

//<0346> いきなり他人行儀になって俺を見た。
<0346> いきなり他人行儀になって俺を見た。

//<0347> ひさ子
<0347> ひさ子

//<0348> 「これ以上話すとさ…」
<0348> 「これ以上話すとさ…」

//<0349> よく見ると、その瞳から涙があふれ出していた。
<0349> よく見ると、その瞳から涙があふれ出していた。

//<0350> ひさ子
<0350> ひさ子

//<0351> 「ほら…駄目じゃん…？　泣けてきてさ…」
<0351> 「ほら…駄目じゃん…？　泣けてきてさ…」

//<0352> それはやがて堰を切ってぼろぼろと零れ始めた。
<0352> それはやがて堰を切ってぼろぼろと零れ始めた。

//<0353> ひさ子
<0353> ひさ子

//<0354> 「ほら…涙止まんなくなるじゃん…？」
<0354> 「ほら…涙止まんなくなるじゃん…？」

//<0355> ひさ子
<0355> ひさ子

//<0356> 「だから…もう、ほうっておいてくれないかなあぁっ…」
<0356> 「だから…もう、ほうっておいてくれないかなあぁっ…」

//<0357> ひさ子
<0357> ひさ子

//<0358> 「ねぇ、音無くんっ…」
<0358> 「ねぇ、音無くんっ…」

//<0359> 放っておけるはずがない。
<0359> 放っておけるはずがない。

//<0360> 俺は泣き続けるひさ子の隣に何をするでもなく居続けた。
<0360> 俺は泣き続けるひさ子の隣に何をするでもなく居続けた。

//<0361> 俺がひさ子を弱くしてしまったのかもしれない。
<0361> 俺がひさ子を弱くしてしまったのかもしれない。

//<0362> 俺が来なければ、ひとりで立ち直っていたかもしれない。
<0362> 俺が来なければ、ひとりで立ち直っていたかもしれない。

//<0363> だから、傍に居続けてその責任は取る。
<0363> だから、傍に居続けてその責任は取る。

//<0364> 立ち直れるまで。
<0364> 立ち直れるまで。

//<0365> ひさ子
<0365> ひさ子

//<0366> 「ガルデモ、ボーカル居なくなっちまったよ…」
<0366> 「ガルデモ、ボーカル居なくなっちまったよ…」

//<0367> ひさ子
<0367> ひさ子

//<0368> 「ゆりの奴、どーすんのかな」
<0368> 「ゆりの奴、どーすんのかな」

//<0369> 音無
<0369> 音無

//<0370> クソ坊主
<0370> クソ坊主

//<0371> 代理人
<0371> 代理人

//<0372> 微妙すぎるイケメン
<0372> 微妙すぎるイケメン

//<0373> ロリコン
<0373> ロリコン

//<0374> メガネ仲間
<0374> メガネ仲間

//<0375> 暗算日本記録保持者
<0375> 暗算日本記録保持者

//<0376> 通り魔
<0376> 通り魔

//<0377> 記憶ナシ男
<0377> 記憶ナシ男

//<0378> 音速
<0378> 音速

//<0379> 無限
<0379> 無限

//<0380> エロ侍
<0380> エロ侍

//<0381> エロエロ団ナンバー１
<0381> エロエロ団ナンバー１

//<0382> ただのエロ少年
<0382> ただのエロ少年

//<0383> ユリブサイク
<0383> ユリブサイク

//<0384> ドピュッシー
<0384> ドピュッシー

//<0385> アメリカンエロドッグ
<0385> アメリカンエロドッグ

//<0386> ゼウス
<0386> ゼウス

//<0387> 日向markⅡ
<0387> 日向markⅡ

//<0388> 糞虫
<0388> 糞虫

//<0389> 量産型日向
<0389> 量産型日向

//<0390> ？？
<0390> ？？

//<0391> 「ユイって奴知ってるか？」
<0391> 「ユイって奴知ってるか？」

//<0392> ひさ子
<0392> ひさ子

//<0393> 「あー、あの岩沢ラブのミーハーな奴か」
<0393> 「あー、あの岩沢ラブのミーハーな奴か」

//<0394> ひさ子
<0394> ひさ子

//<0395> 「あいつもショック受けて、どこかで泣いてんだろうな」
<0395> 「あいつもショック受けて、どこかで泣いてんだろうな」

//<0396> 音無
<0396> 音無

//<0397> クソ坊主
<0397> クソ坊主

//<0398> 代理人
<0398> 代理人

//<0399> 微妙すぎるイケメン
<0399> 微妙すぎるイケメン

//<0400> ロリコン
<0400> ロリコン

//<0401> メガネ仲間
<0401> メガネ仲間

//<0402> 暗算日本記録保持者
<0402> 暗算日本記録保持者

//<0403> 通り魔
<0403> 通り魔

//<0404> 記憶ナシ男
<0404> 記憶ナシ男

//<0405> 音速
<0405> 音速

//<0406> 無限
<0406> 無限

//<0407> エロ侍
<0407> エロ侍

//<0408> エロエロ団ナンバー１
<0408> エロエロ団ナンバー１

//<0409> ただのエロ少年
<0409> ただのエロ少年

//<0410> ユリブサイク
<0410> ユリブサイク

//<0411> ドピュッシー
<0411> ドピュッシー

//<0412> アメリカンエロドッグ
<0412> アメリカンエロドッグ

//<0413> ゼウス
<0413> ゼウス

//<0414> 日向markⅡ
<0414> 日向markⅡ

//<0415> 糞虫
<0415> 糞虫

//<0416> 量産型日向
<0416> 量産型日向

//<0417> ？？
<0417> ？？

//<0418> 「かもな」
<0418> 「かもな」

//<0419> 音無
<0419> 音無

//<0420> クソ坊主
<0420> クソ坊主

//<0421> 代理人
<0421> 代理人

//<0422> 微妙すぎるイケメン
<0422> 微妙すぎるイケメン

//<0423> ロリコン
<0423> ロリコン

//<0424> メガネ仲間
<0424> メガネ仲間

//<0425> 暗算日本記録保持者
<0425> 暗算日本記録保持者

//<0426> 通り魔
<0426> 通り魔

//<0427> 記憶ナシ男
<0427> 記憶ナシ男

//<0428> 音速
<0428> 音速

//<0429> 無限
<0429> 無限

//<0430> エロ侍
<0430> エロ侍

//<0431> エロエロ団ナンバー１
<0431> エロエロ団ナンバー１

//<0432> ただのエロ少年
<0432> ただのエロ少年

//<0433> ユリブサイク
<0433> ユリブサイク

//<0434> ドピュッシー
<0434> ドピュッシー

//<0435> アメリカンエロドッグ
<0435> アメリカンエロドッグ

//<0436> ゼウス
<0436> ゼウス

//<0437> 日向markⅡ
<0437> 日向markⅡ

//<0438> 糞虫
<0438> 糞虫

//<0439> 量産型日向
<0439> 量産型日向

//<0440> ？？
<0440> ？？

//<0441> 「でも、すげー前向きな奴だったからさ、岩沢さんの代わりはあたししか居ないって立候補してくるかもしれないぜ？」
<0441> 「でも、すげー前向きな奴だったからさ、岩沢さんの代わりはあたししか居ないって立候補してくるかもしれないぜ？」

//<0442> ひさ子
<0442> ひさ子

//<0443> 「そりゃ、ガルデモ、すげーイメチェンだな」
<0443> 「そりゃ、ガルデモ、すげーイメチェンだな」

//<0444> ひさ子
<0444> ひさ子

//<0445> 「でも、そうなってくれればいいな」
<0445> 「でも、そうなってくれればいいな」

//<0446> ひさ子
<0446> ひさ子

//<0447> 「あたしたちも、いつまでもフロントマンなしで腑抜けてはいらんない」
<0447> 「あたしたちも、いつまでもフロントマンなしで腑抜けてはいらんない」

//<0448> 音無
<0448> 音無

//<0449> クソ坊主
<0449> クソ坊主

//<0450> 代理人
<0450> 代理人

//<0451> 微妙すぎるイケメン
<0451> 微妙すぎるイケメン

//<0452> ロリコン
<0452> ロリコン

//<0453> メガネ仲間
<0453> メガネ仲間

//<0454> 暗算日本記録保持者
<0454> 暗算日本記録保持者

//<0455> 通り魔
<0455> 通り魔

//<0456> 記憶ナシ男
<0456> 記憶ナシ男

//<0457> 音速
<0457> 音速

//<0458> 無限
<0458> 無限

//<0459> エロ侍
<0459> エロ侍

//<0460> エロエロ団ナンバー１
<0460> エロエロ団ナンバー１

//<0461> ただのエロ少年
<0461> ただのエロ少年

//<0462> ユリブサイク
<0462> ユリブサイク

//<0463> ドピュッシー
<0463> ドピュッシー

//<0464> アメリカンエロドッグ
<0464> アメリカンエロドッグ

//<0465> ゼウス
<0465> ゼウス

//<0466> 日向markⅡ
<0466> 日向markⅡ

//<0467> 糞虫
<0467> 糞虫

//<0468> 量産型日向
<0468> 量産型日向

