// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> se_wooddoor_open2
<0000> se_wooddoor_open2
<0230> 暗算日本記録保持者

//<0231> 通り魔
<0231> 通り魔

//<0232> 記憶ナシ男
<0232> 記憶ナシ男

//<0233> 音速
<0233> 音速

//<0234> 無限
<0234> 無限

//<0235> エロ侍
<0235> エロ侍

//<0236> エロエロ団ナンバー１
<0236> エロエロ団ナンバー１

//<0237> ただのエロ少年
<0237> ただのエロ少年

//<0238> ユリブサイク
<0238> ユリブサイク

//<0239> ドピュッシー
<0239> ドピュッシー

//<0240> アメリカンエロドッグ
<0240> アメリカンエロドッグ

//<0241> ゼウス
<0241> ゼウス

//<0242> 日向markⅡ
<0242> 日向markⅡ

//<0243> 糞虫
<0243> 糞虫

//<0244> 量産型日向
<0244> 量産型日向

//<0245> ？？
<0245> ？？

//<0246> 「マジかよ…信じられないぜ…」
<0246> 「マジかよ…信じられないぜ…」

//<0247> nothing
<0247> nothing

//<0248> nothing
<0248> nothing

//<0249> nothing
<0249> nothing

//<0250> nothing
<0250> nothing

//<0251> nothing
<0251> nothing

//<0252> 岩沢
<0252> 岩沢

//<0253> 「例えば、どんなところがいい？」
<0253> 「例えば、どんなところがいい？」

//<0254> すごい質問が来た…。
<0254> すごい質問が来た…。

//<0255> 美人
<0255> 美人

//<0256> 匂いが好き
<0256> 匂いが好き

//<0257> selbtn : 
<0257> selbtn : 

//<0258> 音無
<0258> 音無

//<0259> クソ坊主
<0259> クソ坊主

//<0260> 代理人
<0260> 代理人

//<0261> 微妙すぎるイケメン
<0261> 微妙すぎるイケメン

//<0262> ロリコン
<0262> ロリコン

//<0263> メガネ仲間
<0263> メガネ仲間

//<0264> 暗算日本記録保持者
<0264> 暗算日本記録保持者

//<0265> 通り魔
<0265> 通り魔

//<0266> 記憶ナシ男
<0266> 記憶ナシ男

//<0267> 音速
<0267> 音速

//<0268> 無限
<0268> 無限

//<0269> エロ侍
<0269> エロ侍

//<0270> エロエロ団ナンバー１
<0270> エロエロ団ナンバー１

//<0271> ただのエロ少年
<0271> ただのエロ少年

//<0272> ユリブサイク
<0272> ユリブサイク

//<0273> ドピュッシー
<0273> ドピュッシー

//<0274> アメリカンエロドッグ
<0274> アメリカンエロドッグ

//<0275> ゼウス
<0275> ゼウス

//<0276> 日向markⅡ
<0276> 日向markⅡ

//<0277> 糞虫
<0277> 糞虫

//<0278> 量産型日向
<0278> 量産型日向

//<0279> ？？
<0279> ？？

//<0280> 「単純な話だけど、美人だ」
<0280> 「単純な話だけど、美人だ」

//<0281> nothing
<0281> nothing

//<0282> nothing
<0282> nothing

//<0283> nothing
<0283> nothing

//<0284> nothing
<0284> nothing

//<0285> nothing
<0285> nothing

//<0286> 岩沢
<0286> 岩沢

//<0287> 「お前、それ、本気で言ってるのか？」
<0287> 「お前、それ、本気で言ってるのか？」

//<0288> 音無
<0288> 音無

//<0289> クソ坊主
<0289> クソ坊主

//<0290> 代理人
<0290> 代理人

//<0291> 微妙すぎるイケメン
<0291> 微妙すぎるイケメン

//<0292> ロリコン
<0292> ロリコン

//<0293> メガネ仲間
<0293> メガネ仲間

//<0294> 暗算日本記録保持者
<0294> 暗算日本記録保持者

//<0295> 通り魔
<0295> 通り魔

//<0296> 記憶ナシ男
<0296> 記憶ナシ男

//<0297> 音速
<0297> 音速

//<0298> 無限
<0298> 無限

//<0299> エロ侍
<0299> エロ侍

//<0300> エロエロ団ナンバー１
<0300> エロエロ団ナンバー１

//<0301> ただのエロ少年
<0301> ただのエロ少年

//<0302> ユリブサイク
<0302> ユリブサイク

//<0303> ドピュッシー
<0303> ドピュッシー

//<0304> アメリカンエロドッグ
<0304> アメリカンエロドッグ

//<0305> ゼウス
<0305> ゼウス

//<0306> 日向markⅡ
<0306> 日向markⅡ

//<0307> 糞虫
<0307> 糞虫

//<0308> 量産型日向
<0308> 量産型日向

//<0309> ？？
<0309> ？？

//<0310> 「もちろん。本気だが？」
<0310> 「もちろん。本気だが？」

//<0311> nothing
<0311> nothing

//<0312> nothing
<0312> nothing

//<0313> nothing
<0313> nothing

//<0314> nothing
<0314> nothing

//<0315> nothing
<0315> nothing

//<0316> 岩沢
<0316> 岩沢

//<0317> 「へぇー…」
<0317> 「へぇー…」

//<0318> 音無
<0318> 音無

//<0319> クソ坊主
<0319> クソ坊主

//<0320> 代理人
<0320> 代理人

//<0321> 微妙すぎるイケメン
<0321> 微妙すぎるイケメン

//<0322> ロリコン
<0322> ロリコン

//<0323> メガネ仲間
<0323> メガネ仲間

//<0324> 暗算日本記録保持者
<0324> 暗算日本記録保持者

//<0325> 通り魔
<0325> 通り魔

//<0326> 記憶ナシ男
<0326> 記憶ナシ男

//<0327> 音速
<0327> 音速

//<0328> 無限
<0328> 無限

//<0329> エロ侍
<0329> エロ侍

//<0330> エロエロ団ナンバー１
<0330> エロエロ団ナンバー１

//<0331> ただのエロ少年
<0331> ただのエロ少年

//<0332> ユリブサイク
<0332> ユリブサイク

//<0333> ドピュッシー
<0333> ドピュッシー

//<0334> アメリカンエロドッグ
<0334> アメリカンエロドッグ

//<0335> ゼウス
<0335> ゼウス

//<0336> 日向markⅡ
<0336> 日向markⅡ

//<0337> 糞虫
<0337> 糞虫

//<0338> 量産型日向
<0338> 量産型日向

//<0339> ？？
<0339> ？？

//<0340> 「気を悪くしたか？」
<0340> 「気を悪くしたか？」

//<0341> nothing
<0341> nothing

//<0342> nothing
<0342> nothing

//<0343> nothing
<0343> nothing

//<0344> nothing
<0344> nothing

//<0345> nothing
<0345> nothing

//<0346> 岩沢
<0346> 岩沢

//<0347> 「いいや、特には」
<0347> 「いいや、特には」

//<0348> その反応は、脈アリなのかナシなのか、悩む…。
<0348> その反応は、脈アリなのかナシなのか、悩む…。

//<0349> 音無
<0349> 音無

//<0350> クソ坊主
<0350> クソ坊主

//<0351> 代理人
<0351> 代理人

//<0352> 微妙すぎるイケメン
<0352> 微妙すぎるイケメン

//<0353> ロリコン
<0353> ロリコン

//<0354> メガネ仲間
<0354> メガネ仲間

//<0355> 暗算日本記録保持者
<0355> 暗算日本記録保持者

//<0356> 通り魔
<0356> 通り魔

//<0357> 記憶ナシ男
<0357> 記憶ナシ男

//<0358> 音速
<0358> 音速

//<0359> 無限
<0359> 無限

//<0360> エロ侍
<0360> エロ侍

//<0361> エロエロ団ナンバー１
<0361> エロエロ団ナンバー１

//<0362> ただのエロ少年
<0362> ただのエロ少年

//<0363> ユリブサイク
<0363> ユリブサイク

//<0364> ドピュッシー
<0364> ドピュッシー

//<0365> アメリカンエロドッグ
<0365> アメリカンエロドッグ

//<0366> ゼウス
<0366> ゼウス

//<0367> 日向markⅡ
<0367> 日向markⅡ

//<0368> 糞虫
<0368> 糞虫

//<0369> 量産型日向
<0369> 量産型日向

//<0370> ？？
<0370> ？？

//<0371> 「匂いが好き」
<0371> 「匂いが好き」

//<0372> nothing
<0372> nothing

//<0373> nothing
<0373> nothing

//<0374> nothing
<0374> nothing

//<0375> nothing
<0375> nothing

//<0376> nothing
<0376> nothing

//<0377> 岩沢
<0377> 岩沢

//<0378> 「は？　そんな香水のようなものなんてつけてないぜ？」
<0378> 「は？　そんな香水のようなものなんてつけてないぜ？」

//<0379> 音無
<0379> 音無

//<0380> クソ坊主
<0380> クソ坊主

//<0381> 代理人
<0381> 代理人

//<0382> 微妙すぎるイケメン
<0382> 微妙すぎるイケメン

//<0383> ロリコン
<0383> ロリコン

//<0384> メガネ仲間
<0384> メガネ仲間

//<0385> 暗算日本記録保持者
<0385> 暗算日本記録保持者

//<0386> 通り魔
<0386> 通り魔

//<0387> 記憶ナシ男
<0387> 記憶ナシ男

//<0388> 音速
<0388> 音速

//<0389> 無限
<0389> 無限

//<0390> エロ侍
<0390> エロ侍

//<0391> エロエロ団ナンバー１
<0391> エロエロ団ナンバー１

//<0392> ただのエロ少年
<0392> ただのエロ少年

//<0393> ユリブサイク
<0393> ユリブサイク

//<0394> ドピュッシー
<0394> ドピュッシー

//<0395> アメリカンエロドッグ
<0395> アメリカンエロドッグ

//<0396> ゼウス
<0396> ゼウス

//<0397> 日向markⅡ
<0397> 日向markⅡ

//<0398> 糞虫
<0398> 糞虫

//<0399> 量産型日向
<0399> 量産型日向

//<0400> ？？
<0400> ？？

//<0401> 「でも、いい匂いがするのは確かなんだよ」
<0401> 「でも、いい匂いがするのは確かなんだよ」

//<0402> nothing
<0402> nothing

//<0403> nothing
<0403> nothing

//<0404> nothing
<0404> nothing

//<0405> nothing
<0405> nothing

//<0406> nothing
<0406> nothing

//<0407> 岩沢
<0407> 岩沢

//<0408> 「うーん？　まさか腋臭とか？」
<0408> 「うーん？　まさか腋臭とか？」

//<0409> 岩沢が腕を上げ、顔を寄せて、くんくんと嗅ぐ。
<0409> 岩沢が腕を上げ、顔を寄せて、くんくんと嗅ぐ。

//<0410> 音無
<0410> 音無

//<0411> クソ坊主
<0411> クソ坊主

//<0412> 代理人
<0412> 代理人

//<0413> 微妙すぎるイケメン
<0413> 微妙すぎるイケメン

//<0414> ロリコン
<0414> ロリコン

//<0415> メガネ仲間
<0415> メガネ仲間

//<0416> 暗算日本記録保持者
<0416> 暗算日本記録保持者

//<0417> 通り魔
<0417> 通り魔

//<0418> 記憶ナシ男
<0418> 記憶ナシ男

//<0419> 音速
<0419> 音速

//<0420> 無限
<0420> 無限

//<0421> エロ侍
<0421> エロ侍

//<0422> エロエロ団ナンバー１
<0422> エロエロ団ナンバー１

//<0423> ただのエロ少年
<0423> ただのエロ少年

//<0424> ユリブサイク
<0424> ユリブサイク

//<0425> ドピュッシー
<0425> ドピュッシー

//<0426> アメリカンエロドッグ
<0426> アメリカンエロドッグ

//<0427> ゼウス
<0427> ゼウス

//<0428> 日向markⅡ
<0428> 日向markⅡ

//<0429> 糞虫
<0429> 糞虫

//<0430> 量産型日向
<0430> 量産型日向

//<0431> ？？
<0431> ？？

//<0432> 「いやいや、そんな匂いじゃないっ！」
<0432> 「いやいや、そんな匂いじゃないっ！」

//<0433> nothing
<0433> nothing

//<0434> nothing
<0434> nothing

//<0435> nothing
<0435> nothing

//<0436> nothing
<0436> nothing

//<0437> nothing
<0437> nothing

//<0438> 岩沢
<0438> 岩沢

//<0439> 「え？」
<0439> 「え？」

//<0440> 音無
<0440> 音無

//<0441> クソ坊主
<0441> クソ坊主

//<0442> 代理人
<0442> 代理人

//<0443> 微妙すぎるイケメン
<0443> 微妙すぎるイケメン

//<0444> ロリコン
<0444> ロリコン

//<0445> メガネ仲間
<0445> メガネ仲間

//<0446> 暗算日本記録保持者
<0446> 暗算日本記録保持者

//<0447> 通り魔
<0447> 通り魔

//<0448> 記憶ナシ男
<0448> 記憶ナシ男

//<0449> 音速
<0449> 音速

//<0450> 無限
<0450> 無限

//<0451> エロ侍
<0451> エロ侍

//<0452> エロエロ団ナンバー１
<0452> エロエロ団ナンバー１

//<0453> ただのエロ少年
<0453> ただのエロ少年

//<0454> ユリブサイク
<0454> ユリブサイク

//<0455> ドピュッシー
<0455> ドピュッシー

//<0456> アメリカンエロドッグ
<0456> アメリカンエロドッグ

//<0457> ゼウス
<0457> ゼウス

//<0458> 日向markⅡ
<0458> 日向markⅡ

//<0459> 糞虫
<0459> 糞虫

//<0460> 量産型日向
<0460> 量産型日向

//<0461> ？？
<0461> ？？

//<0462> 「お前の汗の匂いだと思う」
<0462> 「お前の汗の匂いだと思う」

//<0463> nothing
<0463> nothing

//<0464> nothing
<0464> nothing

//<0465> nothing
<0465> nothing

//<0466> nothing
<0466> nothing

//<0467> nothing
<0467> nothing

//<0468> 岩沢
<0468> 岩沢

//<0469> 「あたしの汗は臭くないのか？」
<0469> 「あたしの汗は臭くないのか？」

//<0470> 音無
<0470> 音無

//<0471> クソ坊主
<0471> クソ坊主

//<0472> 代理人
<0472> 代理人

//<0473> 微妙すぎるイケメン
<0473> 微妙すぎるイケメン

//<0474> ロリコン
<0474> ロリコン

//<0475> メガネ仲間
<0475> メガネ仲間

//<0476> 暗算日本記録保持者
<0476> 暗算日本記録保持者

//<0477> 通り魔
<0477> 通り魔

//<0478> 記憶ナシ男
<0478> 記憶ナシ男

//<0479> 音速
<0479> 音速

//<0480> 無限
<0480> 無限

//<0481> エロ侍
<0481> エロ侍

//<0482> エロエロ団ナンバー１
<0482> エロエロ団ナンバー１

//<0483> ただのエロ少年
<0483> ただのエロ少年

//<0484> ユリブサイク
<0484> ユリブサイク

//<0485> ドピュッシー
<0485> ドピュッシー

//<0486> アメリカンエロドッグ
<0486> アメリカンエロドッグ

//<0487> ゼウス
<0487> ゼウス

//<0488> 日向markⅡ
<0488> 日向markⅡ

//<0489> 糞虫
<0489> 糞虫

//<0490> 量産型日向
<0490> 量産型日向

//<0491> ？？
<0491> ？？

//<0492> 「ああ」
<0492> 「ああ」

//<0493> 音無
<0493> 音無

//<0494> クソ坊主
<0494> クソ坊主

//<0495> 代理人
<0495> 代理人

//<0496> 微妙すぎるイケメン
<0496> 微妙すぎるイケメン

//<0497> ロリコン
<0497> ロリコン

//<0498> メガネ仲間
<0498> メガネ仲間

//<0499> 暗算日本記録保持者
<0499> 暗算日本記録保持者

//<0500> 通り魔
<0500> 通り魔

//<0501> 記憶ナシ男
<0501> 記憶ナシ男

//<0502> 音速
<0502> 音速

//<0503> 無限
<0503> 無限

//<0504> エロ侍
<0504> エロ侍

//<0505> エロエロ団ナンバー１
<0505> エロエロ団ナンバー１

//<0506> ただのエロ少年
<0506> ただのエロ少年

//<0507> ユリブサイク
<0507> ユリブサイク

//<0508> ドピュッシー
<0508> ドピュッシー

//<0509> アメリカンエロドッグ
<0509> アメリカンエロドッグ

//<0510> ゼウス
<0510> ゼウス

//<0511> 日向markⅡ
<0511> 日向markⅡ

//<0512> 糞虫
<0512> 糞虫

//<0513> 量産型日向
<0513> 量産型日向

//<0514> ？？
<0514> ？？

//<0515> 「そして、その匂いが好きなんだ」
<0515> 「そして、その匂いが好きなんだ」

//<0516> nothing
<0516> nothing

//<0517> nothing
<0517> nothing

//<0518> nothing
<0518> nothing

//<0519> nothing
<0519> nothing

//<0520> nothing
<0520> nothing

//<0521> 岩沢
<0521> 岩沢

//<0522> 「そんなこと言われるのは生前を足しても今までになかったぜ…」
<0522> 「そんなこと言われるのは生前を足しても今までになかったぜ…」

//<0523> nothing
<0523> nothing

//<0524> nothing
<0524> nothing

//<0525> nothing
<0525> nothing

//<0526> nothing
<0526> nothing

//<0527> nothing
<0527> nothing

//<0528> 岩沢
<0528> 岩沢

//<0529> 「なんなんだ、この感じたことのない感情は…」
<0529> 「なんなんだ、この感じたことのない感情は…」

//<0530> 混乱させたまま、作曲には戻れないだろう…。
<0530> 混乱させたまま、作曲には戻れないだろう…。

//<0531> 音無
<0531> 音無

//<0532> クソ坊主
<0532> クソ坊主

//<0533> 代理人
<0533> 代理人

//<0534> 微妙すぎるイケメン
<0534> 微妙すぎるイケメン

//<0535> ロリコン
<0535> ロリコン

//<0536> メガネ仲間
<0536> メガネ仲間

//<0537> 暗算日本記録保持者
<0537> 暗算日本記録保持者

//<0538> 通り魔
<0538> 通り魔

//<0539> 記憶ナシ男
<0539> 記憶ナシ男

//<0540> 音速
<0540> 音速

//<0541> 無限
<0541> 無限

//<0542> エロ侍
<0542> エロ侍

//<0543> エロエロ団ナンバー１
<0543> エロエロ団ナンバー１

//<0544> ただのエロ少年
<0544> ただのエロ少年

//<0545> ユリブサイク
