// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 一旦寮に戻り、ジャージに着替える。
<0000> 一旦寮に戻り、ジャージに着替える。
//<0134> nothing
<0134> nothing

//<0135> nothing
<0135> nothing

//<0136> nothing
<0136> nothing

//<0137> 日向
<0137> 日向

//<0138> 男Ｂ
<0138> 男Ｂ

//<0139> エロエロ団総帥
<0139> エロエロ団総帥

//<0140> イケチン
<0140> イケチン

//<0141> ホモ太
<0141> ホモ太

//<0142> ひなチン
<0142> ひなチン

//<0143> 秀樹
<0143> 秀樹

//<0144> 男子生徒
<0144> 男子生徒

//<0145> ？？
<0145> ？？

//<0146> 「早く来いよ！」
<0146> 「早く来いよ！」

//<0147> 音無
<0147> 音無

//<0148> クソ坊主
<0148> クソ坊主

//<0149> 代理人
<0149> 代理人

//<0150> 微妙すぎるイケメン
<0150> 微妙すぎるイケメン

//<0151> ロリコン
<0151> ロリコン

//<0152> メガネ仲間
<0152> メガネ仲間

//<0153> 暗算日本記録保持者
<0153> 暗算日本記録保持者

//<0154> 通り魔
<0154> 通り魔

//<0155> 記憶ナシ男
<0155> 記憶ナシ男

//<0156> 音速
<0156> 音速

//<0157> 無限
<0157> 無限

//<0158> エロ侍
<0158> エロ侍

//<0159> エロエロ団ナンバー１
<0159> エロエロ団ナンバー１

//<0160> ただのエロ少年
<0160> ただのエロ少年

//<0161> ユリブサイク
<0161> ユリブサイク

//<0162> ドピュッシー
<0162> ドピュッシー

//<0163> アメリカンエロドッグ
<0163> アメリカンエロドッグ

//<0164> ゼウス
<0164> ゼウス

//<0165> 日向markⅡ
<0165> 日向markⅡ

//<0166> 糞虫
<0166> 糞虫

//<0167> 量産型日向
<0167> 量産型日向

//<0168> ？？
<0168> ？？

//<0169> 「あ、ああ…」
<0169> 「あ、ああ…」

//<0170> nothing
<0170> nothing

//<0171> nothing
<0171> nothing

//<0172> nothing
<0172> nothing

//<0173> nothing
<0173> nothing

//<0174> nothing
<0174> nothing

//<0175> nothing
<0175> nothing

//<0176> 何をさせられるのか不安だが、言われるまま背中合わせに立つ。
<0176> 何をさせられるのか不安だが、言われるまま背中合わせに立つ。

//<0177> bs3_
<0177> bs3_

//<0178> nothing
<0178> nothing

//<0179> nothing
<0179> nothing

//<0180> nothing
<0180> nothing

//<0181> nothing
<0181> nothing

//<0182> nothing
<0182> nothing

//<0183> 後ろからそっと抱きつく。日向の体は温かかった。
<0183> 後ろからそっと抱きつく。日向の体は温かかった。

//<0184> 音無
<0184> 音無

//<0185> クソ坊主
<0185> クソ坊主

//<0186> 代理人
<0186> 代理人

//<0187> 微妙すぎるイケメン
<0187> 微妙すぎるイケメン

//<0188> ロリコン
<0188> ロリコン

//<0189> メガネ仲間
<0189> メガネ仲間

//<0190> 暗算日本記録保持者
<0190> 暗算日本記録保持者

//<0191> 通り魔
<0191> 通り魔

//<0192> 記憶ナシ男
<0192> 記憶ナシ男

//<0193> 音速
<0193> 音速

//<0194> 無限
<0194> 無限

//<0195> エロ侍
<0195> エロ侍

//<0196> エロエロ団ナンバー１
<0196> エロエロ団ナンバー１

//<0197> ただのエロ少年
<0197> ただのエロ少年

//<0198> ユリブサイク
<0198> ユリブサイク

//<0199> ドピュッシー
<0199> ドピュッシー

//<0200> アメリカンエロドッグ
<0200> アメリカンエロドッグ

//<0201> ゼウス
<0201> ゼウス

//<0202> 日向markⅡ
<0202> 日向markⅡ

//<0203> 糞虫
<0203> 糞虫

//<0204> 量産型日向
<0204> 量産型日向

//<0205> ？？
<0205> ？？

//<0206> 「………」
<0206> 「………」

//<0207> nothing
<0207> nothing

//<0208> nothing
<0208> nothing

//<0209> nothing
<0209> nothing

//<0210> nothing
<0210> nothing

//<0211> nothing
<0211> nothing

//<0212> 日向
<0212> 日向

//<0213> 男Ｂ
<0213> 男Ｂ

//<0214> エロエロ団総帥
<0214> エロエロ団総帥

//<0215> イケチン
<0215> イケチン

//<0216> ホモ太
<0216> ホモ太

//<0217> ひなチン
<0217> ひなチン

//<0218> 秀樹
<0218> 秀樹

//<0219> 男子生徒
<0219> 男子生徒

//<0220> ？？
<0220> ？？

//<0221> 「なにやってんだ、お前…？」
<0221> 「なにやってんだ、お前…？」

//<0222> none
<0222> none

//<0223> nothing
<0223> nothing

//<0224> 
<0224> 

//<0225> 
<0225> 

//<0226> nothing
<0226> nothing

//<0227> bs
<0227> bs

//<0228> _
<0228> _

//<0229> nothing
<0229> nothing

//<0230> nothing
<0230> nothing

//<0231> nothing
<0231> nothing

//<0232> nothing
<0232> nothing

//<0233> nothing
<0233> nothing

//<0234> 音無
<0234> 音無

//<0235> クソ坊主
<0235> クソ坊主

//<0236> 代理人
<0236> 代理人

//<0237> 微妙すぎるイケメン
<0237> 微妙すぎるイケメン

//<0238> ロリコン
<0238> ロリコン

//<0239> メガネ仲間
<0239> メガネ仲間

//<0240> 暗算日本記録保持者
<0240> 暗算日本記録保持者

//<0241> 通り魔
<0241> 通り魔

//<0242> 記憶ナシ男
<0242> 記憶ナシ男

//<0243> 音速
<0243> 音速

//<0244> 無限
<0244> 無限

//<0245> エロ侍
<0245> エロ侍

//<0246> エロエロ団ナンバー１
<0246> エロエロ団ナンバー１

//<0247> ただのエロ少年
<0247> ただのエロ少年

//<0248> ユリブサイク
<0248> ユリブサイク

//<0249> ドピュッシー
<0249> ドピュッシー

//<0250> アメリカンエロドッグ
<0250> アメリカンエロドッグ

//<0251> ゼウス
<0251> ゼウス

//<0252> 日向markⅡ
<0252> 日向markⅡ

//<0253> 糞虫
<0253> 糞虫

//<0254> 量産型日向
<0254> 量産型日向

//<0255> ？？
<0255> ？？

//<0256> 「え？　こうじゃなかったか？」
<0256> 「え？　こうじゃなかったか？」

//<0257> 
<0257> 

//<0258> nothing
<0258> nothing

//<0259> nothing
<0259> nothing

//<0260> nothing
<0260> nothing

//<0261> nothing
<0261> nothing

//<0262> nothing
<0262> nothing

//<0263> 日向
<0263> 日向

//<0264> 男Ｂ
<0264> 男Ｂ

//<0265> エロエロ団総帥
<0265> エロエロ団総帥

//<0266> イケチン
<0266> イケチン

//<0267> ホモ太
<0267> ホモ太

//<0268> ひなチン
<0268> ひなチン

//<0269> 秀樹
<0269> 秀樹

//<0270> 男子生徒
<0270> 男子生徒

//<0271> ？？
<0271> ？？

//<0272> 「そんなストレッチ、存在しねーよっ！！　逆！　背中合わせ！！」
<0272> 「そんなストレッチ、存在しねーよっ！！　逆！　背中合わせ！！」

//<0273> nothing
<0273> nothing

//<0274> nothing
<0274> nothing

//<0275> nothing
<0275> nothing

//<0276> nothing
<0276> nothing

//<0277> nothing
<0277> nothing

//<0278> nothing
<0278> nothing

//<0279> 渋々、背中合わせに立つ。
<0279> 渋々、背中合わせに立つ。

//<0280> 音無
<0280> 音無

//<0281> クソ坊主
<0281> クソ坊主

//<0282> 代理人
<0282> 代理人

//<0283> 微妙すぎるイケメン
<0283> 微妙すぎるイケメン

//<0284> ロリコン
<0284> ロリコン

//<0285> メガネ仲間
<0285> メガネ仲間

//<0286> 暗算日本記録保持者
<0286> 暗算日本記録保持者

//<0287> 通り魔
<0287> 通り魔

//<0288> 記憶ナシ男
<0288> 記憶ナシ男

//<0289> 音速
<0289> 音速

//<0290> 無限
<0290> 無限

//<0291> エロ侍
<0291> エロ侍

//<0292> エロエロ団ナンバー１
<0292> エロエロ団ナンバー１

//<0293> ただのエロ少年
<0293> ただのエロ少年

//<0294> ユリブサイク
<0294> ユリブサイク

//<0295> ドピュッシー
<0295> ドピュッシー

//<0296> アメリカンエロドッグ
<0296> アメリカンエロドッグ

//<0297> ゼウス
<0297> ゼウス

//<0298> 日向markⅡ
<0298> 日向markⅡ

//<0299> 糞虫
<0299> 糞虫

//<0300> 量産型日向
<0300> 量産型日向

//<0301> ？？
<0301> ？？

//<0302> 「え？」
<0302> 「え？」

//<0303> 日向
<0303> 日向

//<0304> 男Ｂ
<0304> 男Ｂ

//<0305> エロエロ団総帥
<0305> エロエロ団総帥

//<0306> イケチン
<0306> イケチン

//<0307> ホモ太
<0307> ホモ太

//<0308> ひなチン
<0308> ひなチン

//<0309> 秀樹
<0309> 秀樹

//<0310> 男子生徒
<0310> 男子生徒

//<0311> ？？
<0311> ？？

//<0312> 「背中合わせになるんだよ」
<0312> 「背中合わせになるんだよ」

//<0313> 言われるまま、背中合わせに立つ。
<0313> 言われるまま、背中合わせに立つ。

//<0314> 日向が俺の手首を掴み、腕を上げさせた。
<0314> 日向が俺の手首を掴み、腕を上げさせた。

//<0315> そのまま俺を背中に乗せるようにして、背筋を伸ばしていく…。
<0315> そのまま俺を背中に乗せるようにして、背筋を伸ばしていく…。

//<0316> 俺の頭が落ちるくらい、日向が深く屈んだので、背筋、肩、腕が悲鳴を上げている。
<0316> 俺の頭が落ちるくらい、日向が深く屈んだので、背筋、肩、腕が悲鳴を上げている。

//<0317> 音無
<0317> 音無

//<0318> クソ坊主
<0318> クソ坊主

//<0319> 代理人
<0319> 代理人

//<0320> 微妙すぎるイケメン
<0320> 微妙すぎるイケメン

//<0321> ロリコン
<0321> ロリコン

//<0322> メガネ仲間
<0322> メガネ仲間

//<0323> 暗算日本記録保持者
<0323> 暗算日本記録保持者

//<0324> 通り魔
<0324> 通り魔

//<0325> 記憶ナシ男
<0325> 記憶ナシ男

//<0326> 音速
<0326> 音速

//<0327> 無限
<0327> 無限

//<0328> エロ侍
<0328> エロ侍

//<0329> エロエロ団ナンバー１
<0329> エロエロ団ナンバー１

//<0330> ただのエロ少年
<0330> ただのエロ少年

//<0331> ユリブサイク
<0331> ユリブサイク

//<0332> ドピュッシー
<0332> ドピュッシー

//<0333> アメリカンエロドッグ
<0333> アメリカンエロドッグ

//<0334> ゼウス
<0334> ゼウス

//<0335> 日向markⅡ
<0335> 日向markⅡ

//<0336> 糞虫
<0336> 糞虫

//<0337> 量産型日向
<0337> 量産型日向

//<0338> ？？
<0338> ？？

//<0339> 「イツツ…」
<0339> 「イツツ…」

//<0340> 日向
<0340> 日向

//<0341> 男Ｂ
<0341> 男Ｂ

//<0342> エロエロ団総帥
<0342> エロエロ団総帥

//<0343> イケチン
<0343> イケチン

//<0344> ホモ太
<0344> ホモ太

//<0345> ひなチン
<0345> ひなチン

//<0346> 秀樹
<0346> 秀樹

//<0347> 男子生徒
<0347> 男子生徒

//<0348> ？？
<0348> ？？

//<0349> 「これぐらいがいいんだよ」
<0349> 「これぐらいがいいんだよ」

//<0350> 痛いが、日向がそう言うなら、耐えられる。
<0350> 痛いが、日向がそう言うなら、耐えられる。

//<0351> 日向が立ち上がり、地面に戻った。
<0351> 日向が立ち上がり、地面に戻った。

//<0352> 日向
<0352> 日向

//<0353> 男Ｂ
<0353> 男Ｂ

//<0354> エロエロ団総帥
<0354> エロエロ団総帥

//<0355> イケチン
<0355> イケチン

//<0356> ホモ太
<0356> ホモ太

//<0357> ひなチン
<0357> ひなチン

//<0358> 秀樹
<0358> 秀樹

//<0359> 男子生徒
<0359> 男子生徒

//<0360> ？？
<0360> ？？

//<0361> 「次は逆ー、ただのエロ少年、持ち上げてくれ」
<0361> 「次は逆ー、ただのエロ少年、持ち上げてくれ」

//<0362> 日向
<0362> 日向

//<0363> 男Ｂ
<0363> 男Ｂ

//<0364> エロエロ団総帥
<0364> エロエロ団総帥

//<0365> イケチン
<0365> イケチン

//<0366> ホモ太
<0366> ホモ太

//<0367> ひなチン
<0367> ひなチン

//<0368> 秀樹
<0368> 秀樹

//<0369> 男子生徒
<0369> 男子生徒

//<0370> ？？
<0370> ？？

//<0371> 「次は逆ー、音無持ち上げてくれ」
<0371> 「次は逆ー、音無持ち上げてくれ」

//<0372> 今度は俺が日向の手首をつかみ、上体を屈めていく。
<0372> 今度は俺が日向の手首をつかみ、上体を屈めていく。

//<0373> 日向
<0373> 日向

//<0374> 男Ｂ
<0374> 男Ｂ

//<0375> エロエロ団総帥
<0375> エロエロ団総帥

//<0376> イケチン
<0376> イケチン

//<0377> ホモ太
<0377> ホモ太

//<0378> ひなチン
<0378> ひなチン

//<0379> 秀樹
<0379> 秀樹

//<0380> 男子生徒
<0380> 男子生徒

//<0381> ？？
<0381> ？？

//<0382> 「もっと深くてもいいぞー」
<0382> 「もっと深くてもいいぞー」

//<0383> 頭を下げ、腰を後ろに突き出すようにして、日向の背筋を伸ばす。
<0383> 頭を下げ、腰を後ろに突き出すようにして、日向の背筋を伸ばす。

//<0384> 日向
<0384> 日向

//<0385> 男Ｂ
<0385> 男Ｂ

//<0386> エロエロ団総帥
<0386> エロエロ団総帥

//<0387> イケチン
<0387> イケチン

//<0388> ホモ太
<0388> ホモ太

//<0389> ひなチン
<0389> ひなチン

//<0390> 秀樹
<0390> 秀樹

//<0391> 男子生徒
<0391> 男子生徒

//<0392> ？？
<0392> ？？

//<0393> 「よし、いい感じだ。下ろしてくれ」
<0393> 「よし、いい感じだ。下ろしてくれ」

//<0394> 力を抜く。
<0394> 力を抜く。

//<0395> 音無
<0395> 音無

//<0396> クソ坊主
<0396> クソ坊主

//<0397> 代理人
<0397> 代理人

//<0398> 微妙すぎるイケメン
<0398> 微妙すぎるイケメン

//<0399> ロリコン
<0399> ロリコン

//<0400> メガネ仲間
<0400> メガネ仲間

//<0401> 暗算日本記録保持者
<0401> 暗算日本記録保持者

//<0402> 通り魔
<0402> 通り魔

//<0403> 記憶ナシ男
<0403> 記憶ナシ男

//<0404> 音速
<0404> 音速

//<0405> 無限
<0405> 無限

//<0406> エロ侍
<0406> エロ侍

//<0407> エロエロ団ナンバー１
<0407> エロエロ団ナンバー１

//<0408> ただのエロ少年
<0408> ただのエロ少年

//<0409> ユリブサイク
<0409> ユリブサイク

//<0410> ドピュッシー
<0410> ドピュッシー

//<0411> アメリカンエロドッグ
<0411> アメリカンエロドッグ

//<0412> ゼウス
<0412> ゼウス

//<0413> 日向markⅡ
<0413> 日向markⅡ

//<0414> 糞虫
<0414> 糞虫

//<0415> 量産型日向
<0415> 量産型日向

//<0416> ？？
<0416> ？？

//<0417> 「ふんっ！」
<0417> 「ふんっ！」

//<0418> nothing
<0418> nothing

//<0419> nothing
<0419> nothing

//<0420> nothing
<0420> nothing

//<0421> nothing
<0421> nothing

//<0422> nothing
<0422> nothing

//<0423> 頭を思い切り下げ、腰を後ろに突き出すようにして、日向の背筋を伸ばすそうとするが、あまりの勢いに日向を投げる形になった。
<0423> 頭を思い切り下げ、腰を後ろに突き出すようにして、日向の背筋を伸ばすそうとするが、あまりの勢いに日向を投げる形になった。

//<0424> nothing
<0424> nothing

//<0425> nothing
<0425> nothing

//<0426> nothing
<0426> nothing

//<0427> nothing
<0427> nothing

//<0428> nothing
<0428> nothing

//<0429> se_headdamage
<0429> se_headdamage

//<0430> 手を掴んでいるので、頭から落ちる。ごちん、と音がした。
<0430> 手を掴んでいるので、頭から落ちる。ごちん、と音がした。

//<0431> ………。
<0431> ………。

//<0432> ……。
<0432> ……。

//<0433> しばらく動かない…。
<0433> しばらく動かない…。

//<0434> nothing
<0434> nothing

//<0435> nothing
<0435> nothing

//<0436> nothing
<0436> nothing

//<0437> nothing
<0437> nothing

//<0438> nothing
<0438> nothing

//<0439> 日向
<0439> 日向

//<0440> 男Ｂ
<0440> 男Ｂ

//<0441> エロエロ団総帥
<0441> エロエロ団総帥

//<0442> イケチン
<0442> イケチン

//<0443> ホモ太
<0443> ホモ太

//<0444> ひなチン
<0444> ひなチン

//<0445> 秀樹
<0445> 秀樹

//<0446> 男子生徒
<0446> 男子生徒

//<0447> ？？
<0447> ？？

//<0448> 「やりすぎぃーーー！！」
<0448> 「やりすぎぃーーー！！」

//<0449> 復活すると共に、激しくツッコんできた。
<0449> 復活すると共に、激しくツッコんできた。

//<0450> nothing
<0450> nothing

//<0451> nothing
<0451> nothing

//<0452> nothing
<0452> nothing

//<0453> nothing
<0453> nothing

//<0454> nothing
<0454> nothing

//<0455> 日向
<0455> 日向

//<0456> 男Ｂ
<0456> 男Ｂ

//<0457> エロエロ団総帥
<0457> エロエロ団総帥

//<0458> イケチン
<0458> イケチン

//<0459> ホモ太
<0459> ホモ太

//<0460> ひなチン
<0460> ひなチン

//<0461> 秀樹
<0461> 秀樹

//<0462> 男子生徒
<0462> 男子生徒

//<0463> ？？
<0463> ？？

//<0464> 「いくら死なない世界でも、イテェんだから限度を考えろよ！　ただのエロ少年！」
<0464> 「いくら死なない世界でも、イテェんだから限度を考えろよ！　ただのエロ少年！」

//<0465> nothing
<0465> nothing

//<0466> nothing
<0466> nothing

//<0467> nothing
<0467> nothing

//<0468> nothing
<0468> nothing

//<0469> nothing
<0469> nothing

//<0470> 日向
<0470> 日向

//<0471> 男Ｂ
<0471> 男Ｂ

//<0472> エロエロ団総帥
<0472> エロエロ団総帥

//<0473> イケチン
<0473> イケチン

//<0474> ホモ太
<0474> ホモ太

//<0475> ひなチン
<0475> ひなチン

//<0476> 秀樹
<0476> 秀樹

//<0477> 男子生徒
<0477> 男子生徒

//<0478> ？？
<0478> ？？

//<0479> 「いくら死なない世界でも、イテェんだから限度を考えろよ！　音無！」
<0479> 「いくら死なない世界でも、イテェんだから限度を考えろよ！　音無！」

//<0480> 音無
<0480> 音無

//<0481> クソ坊主
<0481> クソ坊主

//<0482> 代理人
<0482> 代理人

//<0483> 微妙すぎるイケメン
<0483> 微妙すぎるイケメン

//<0484> ロリコン
<0484> ロリコン

//<0485> メガネ仲間
<0485> メガネ仲間

//<0486> 暗算日本記録保持者
<0486> 暗算日本記録保持者

//<0487> 通り魔
<0487> 通り魔

//<0488> 記憶ナシ男
<0488> 記憶ナシ男

//<0489> 音速
<0489> 音速

//<0490> 無限
<0490> 無限

//<0491> エロ侍
<0491> エロ侍

//<0492> エロエロ団ナンバー１
<0492> エロエロ団ナンバー１

//<0493> ただのエロ少年
<0493> ただのエロ少年

//<0494> ユリブサイク
<0494> ユリブサイク

//<0495> ドピュッシー
<0495> ドピュッシー

//<0496> アメリカンエロドッグ
<0496> アメリカンエロドッグ

//<0497> ゼウス
<0497> ゼウス

//<0498> 日向markⅡ
<0498> 日向markⅡ

//<0499> 糞虫
<0499> 糞虫

//<0500> 量産型日向
<0500> 量産型日向

//<0501> ？？
<0501> ？？

//<0502> 「わりぃ」
<0502> 「わりぃ」

//<0503> nothing
<0503> nothing

//<0504> nothing
<0504> nothing

//<0505> nothing
<0505> nothing

//<0506> nothing
<0506> nothing

//<0507> nothing
<0507> nothing

//<0508> 日向
<0508> 日向

//<0509> 男Ｂ
<0509> 男Ｂ

//<0510> エロエロ団総帥
<0510> エロエロ団総帥

//<0511> イケチン
<0511> イケチン

//<0512> ホモ太
<0512> ホモ太

//<0513> ひなチン
<0513> ひなチン

//<0514> 秀樹
<0514> 秀樹

//<0515> 男子生徒
<0515> 男子生徒

//<0516> ？？
<0516> ？？

//<0517> 「じゃあ、ランニングいくぞー」
<0517> 「じゃあ、ランニングいくぞー」

//<0518> 音無
<0518> 音無

//<0519> クソ坊主
<0519> クソ坊主

//<0520> 代理人
<0520> 代理人

//<0521> 微妙すぎるイケメン
<0521> 微妙すぎるイケメン

//<0522> ロリコン
<0522> ロリコン

//<0523> メガネ仲間
<0523> メガネ仲間

//<0524> 暗算日本記録保持者
<0524> 暗算日本記録保持者

//<0525> 通り魔
<0525> 通り魔

//<0526> 記憶ナシ男
<0526> 記憶ナシ男

//<0527> 音速
<0527> 音速

//<0528> 無限
<0528> 無限

//<0529> エロ侍
<0529> エロ侍

//<0530> エロエロ団ナンバー１
<0530> エロエロ団ナンバー１

//<0531> ただのエロ少年
<0531> ただのエロ少年

//<0532> ユリブサイク
<0532> ユリブサイク

//<0533> ドピュッシー
<0533> ドピュッシー

//<0534> アメリカンエロドッグ
<0534> アメリカンエロドッグ

//<0535> ゼウス
<0535> ゼウス

//<0536> 日向markⅡ
<0536> 日向markⅡ

//<0537> 糞虫
<0537> 糞虫

//<0538> 量産型日向
<0538> 量産型日向

//<0539> ？？
<0539> ？？

//<0540> 「ああ」
<0540> 「ああ」

//<0541> se_run_ground
<0541> se_run_ground

//<0542> 日向の後について、野球場を走る。
<0542> 日向の後について、野球場を走る。

//<0543> かなり速いピッチだ。
<0543> かなり速いピッチだ。

//<0544> それでも黙々と走り続けた。
<0544> それでも黙々と走り続けた。

//<0545> 音無
<0545> 音無

//<0546> クソ坊主
<0546> クソ坊主

//<0547> 代理人
<0547> 代理人

