// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 食欲も湧かないけど、とりあえず食堂に向かう。
<0000> 食欲も湧かないけど、とりあえず食堂に向かう。
<0078> ロリコン

//<0079> メガネ仲間
<0079> メガネ仲間

//<0080> 暗算日本記録保持者
<0080> 暗算日本記録保持者

//<0081> 通り魔
<0081> 通り魔

//<0082> 記憶ナシ男
<0082> 記憶ナシ男

//<0083> 音速
<0083> 音速

//<0084> 無限
<0084> 無限

//<0085> エロ侍
<0085> エロ侍

//<0086> エロエロ団ナンバー１
<0086> エロエロ団ナンバー１

//<0087> ただのエロ少年
<0087> ただのエロ少年

//<0088> ユリブサイク
<0088> ユリブサイク

//<0089> ドピュッシー
<0089> ドピュッシー

//<0090> アメリカンエロドッグ
<0090> アメリカンエロドッグ

//<0091> ゼウス
<0091> ゼウス

//<0092> 日向markⅡ
<0092> 日向markⅡ

//<0093> 糞虫
<0093> 糞虫

//<0094> 量産型日向
<0094> 量産型日向

//<0095> ？？
<0095> ？？

//<0096> 「え？　何故？」
<0096> 「え？　何故？」

//<0097> nothing
<0097> nothing

//<0098> nothing
<0098> nothing

//<0099> nothing
<0099> nothing

//<0100> nothing
<0100> nothing

//<0101> nothing
<0101> nothing

//<0102> 藤巻
<0102> 藤巻

//<0103> 「ええと…なんつーか…ええと…アレだよ…」
<0103> 「ええと…なんつーか…ええと…アレだよ…」

//<0104> さっぱり何も伝わって来ない。
<0104> さっぱり何も伝わって来ない。

//<0105> nothing
<0105> nothing

//<0106> nothing
<0106> nothing

//<0107> nothing
<0107> nothing

//<0108> nothing
<0108> nothing

//<0109> nothing
<0109> nothing

//<0110> 藤巻
<0110> 藤巻

//<0111> 「アレがアレでさ…ようは世話になった…」
<0111> 「アレがアレでさ…ようは世話になった…」

//<0112> いつ藤巻の世話などしたのだろう？
<0112> いつ藤巻の世話などしたのだろう？

//<0113> nothing
<0113> nothing

//<0114> nothing
<0114> nothing

//<0115> nothing
<0115> nothing

//<0116> nothing
<0116> nothing

//<0117> nothing
<0117> nothing

//<0118> 藤巻
<0118> 藤巻

//<0119> 「まだわかってねーって面だな…」
<0119> 「まだわかってねーって面だな…」

//<0120> 音無
<0120> 音無

//<0121> クソ坊主
<0121> クソ坊主

//<0122> 代理人
<0122> 代理人

//<0123> 微妙すぎるイケメン
<0123> 微妙すぎるイケメン

//<0124> ロリコン
<0124> ロリコン

//<0125> メガネ仲間
<0125> メガネ仲間

//<0126> 暗算日本記録保持者
<0126> 暗算日本記録保持者

//<0127> 通り魔
<0127> 通り魔

//<0128> 記憶ナシ男
<0128> 記憶ナシ男

//<0129> 音速
<0129> 音速

//<0130> 無限
<0130> 無限

//<0131> エロ侍
<0131> エロ侍

//<0132> エロエロ団ナンバー１
<0132> エロエロ団ナンバー１

//<0133> ただのエロ少年
<0133> ただのエロ少年

//<0134> ユリブサイク
<0134> ユリブサイク

//<0135> ドピュッシー
<0135> ドピュッシー

//<0136> アメリカンエロドッグ
<0136> アメリカンエロドッグ

//<0137> ゼウス
<0137> ゼウス

//<0138> 日向markⅡ
<0138> 日向markⅡ

//<0139> 糞虫
<0139> 糞虫

//<0140> 量産型日向
<0140> 量産型日向

//<0141> ？？
<0141> ？？

//<0142> 「ああ。具体的に言ってもらわないと、さっぱりだ…」
<0142> 「ああ。具体的に言ってもらわないと、さっぱりだ…」

//<0143> nothing
<0143> nothing

//<0144> nothing
<0144> nothing

//<0145> nothing
<0145> nothing

//<0146> nothing
<0146> nothing

//<0147> nothing
<0147> nothing

//<0148> 藤巻
<0148> 藤巻

//<0149> 「結果としては、俺は溺れた…。でもお前は必死で俺を助けようとしてくれた…」
<0149> 「結果としては、俺は溺れた…。でもお前は必死で俺を助けようとしてくれた…」

//<0150> そう言われて、ようやく水路のトラップでの出来事を思い出す。
<0150> そう言われて、ようやく水路のトラップでの出来事を思い出す。

//<0151> 音無
<0151> 音無

//<0152> クソ坊主
<0152> クソ坊主

//<0153> 代理人
<0153> 代理人

//<0154> 微妙すぎるイケメン
<0154> 微妙すぎるイケメン

//<0155> ロリコン
<0155> ロリコン

//<0156> メガネ仲間
<0156> メガネ仲間

//<0157> 暗算日本記録保持者
<0157> 暗算日本記録保持者

//<0158> 通り魔
<0158> 通り魔

//<0159> 記憶ナシ男
<0159> 記憶ナシ男

//<0160> 音速
<0160> 音速

//<0161> 無限
<0161> 無限

//<0162> エロ侍
<0162> エロ侍

//<0163> エロエロ団ナンバー１
<0163> エロエロ団ナンバー１

//<0164> ただのエロ少年
<0164> ただのエロ少年

//<0165> ユリブサイク
<0165> ユリブサイク

//<0166> ドピュッシー
<0166> ドピュッシー

//<0167> アメリカンエロドッグ
<0167> アメリカンエロドッグ

//<0168> ゼウス
<0168> ゼウス

//<0169> 日向markⅡ
<0169> 日向markⅡ

//<0170> 糞虫
<0170> 糞虫

//<0171> 量産型日向
<0171> 量産型日向

//<0172> ？？
<0172> ？？

//<0173> 「それで…？」
<0173> 「それで…？」

//<0174> nothing
<0174> nothing

//<0175> nothing
<0175> nothing

//<0176> nothing
<0176> nothing

//<0177> nothing
<0177> nothing

//<0178> nothing
<0178> nothing

//<0179> 藤巻
<0179> 藤巻

//<0180> 「でって…ほら、今は昼休みだろ？」
<0180> 「でって…ほら、今は昼休みだろ？」

//<0181> 音無
<0181> 音無

//<0182> クソ坊主
<0182> クソ坊主

//<0183> 代理人
<0183> 代理人

//<0184> 微妙すぎるイケメン
<0184> 微妙すぎるイケメン

//<0185> ロリコン
<0185> ロリコン

//<0186> メガネ仲間
<0186> メガネ仲間

//<0187> 暗算日本記録保持者
<0187> 暗算日本記録保持者

//<0188> 通り魔
<0188> 通り魔

//<0189> 記憶ナシ男
<0189> 記憶ナシ男

//<0190> 音速
<0190> 音速

//<0191> 無限
<0191> 無限

//<0192> エロ侍
<0192> エロ侍

//<0193> エロエロ団ナンバー１
<0193> エロエロ団ナンバー１

//<0194> ただのエロ少年
<0194> ただのエロ少年

//<0195> ユリブサイク
<0195> ユリブサイク

//<0196> ドピュッシー
<0196> ドピュッシー

//<0197> アメリカンエロドッグ
<0197> アメリカンエロドッグ

//<0198> ゼウス
<0198> ゼウス

//<0199> 日向markⅡ
<0199> 日向markⅡ

//<0200> 糞虫
<0200> 糞虫

//<0201> 量産型日向
<0201> 量産型日向

//<0202> ？？
<0202> ？？

//<0203> 「そうだな」
<0203> 「そうだな」

//<0204> nothing
<0204> nothing

//<0205> nothing
<0205> nothing

//<0206> nothing
<0206> nothing

//<0207> nothing
<0207> nothing

//<0208> nothing
<0208> nothing

//<0209> 藤巻
<0209> 藤巻

//<0210> 「だから、奢ってやるよ、昼飯」
<0210> 「だから、奢ってやるよ、昼飯」

//<0211> 音無
<0211> 音無

//<0212> クソ坊主
<0212> クソ坊主

//<0213> 代理人
<0213> 代理人

//<0214> 微妙すぎるイケメン
<0214> 微妙すぎるイケメン

//<0215> ロリコン
<0215> ロリコン

//<0216> メガネ仲間
<0216> メガネ仲間

//<0217> 暗算日本記録保持者
<0217> 暗算日本記録保持者

//<0218> 通り魔
<0218> 通り魔

//<0219> 記憶ナシ男
<0219> 記憶ナシ男

//<0220> 音速
<0220> 音速

//<0221> 無限
<0221> 無限

//<0222> エロ侍
<0222> エロ侍

//<0223> エロエロ団ナンバー１
<0223> エロエロ団ナンバー１

//<0224> ただのエロ少年
<0224> ただのエロ少年

//<0225> ユリブサイク
<0225> ユリブサイク

//<0226> ドピュッシー
<0226> ドピュッシー

//<0227> アメリカンエロドッグ
<0227> アメリカンエロドッグ

//<0228> ゼウス
<0228> ゼウス

//<0229> 日向markⅡ
<0229> 日向markⅡ

//<0230> 糞虫
<0230> 糞虫

//<0231> 量産型日向
<0231> 量産型日向

//<0232> ？？
<0232> ？？

//<0233> 「………」
<0233> 「………」

//<0234> nothing
<0234> nothing

//<0235> nothing
<0235> nothing

//<0236> nothing
<0236> nothing

//<0237> nothing
<0237> nothing

//<0238> nothing
<0238> nothing

//<0239> 藤巻
<0239> 藤巻

//<0240> 「んだよっ、やっぱ迷惑だってか！？」
<0240> 「んだよっ、やっぱ迷惑だってか！？」

//<0241> 音無
<0241> 音無

//<0242> クソ坊主
<0242> クソ坊主

//<0243> 代理人
<0243> 代理人

//<0244> 微妙すぎるイケメン
<0244> 微妙すぎるイケメン

//<0245> ロリコン
<0245> ロリコン

//<0246> メガネ仲間
<0246> メガネ仲間

//<0247> 暗算日本記録保持者
<0247> 暗算日本記録保持者

//<0248> 通り魔
<0248> 通り魔

//<0249> 記憶ナシ男
<0249> 記憶ナシ男

//<0250> 音速
<0250> 音速

//<0251> 無限
<0251> 無限

//<0252> エロ侍
<0252> エロ侍

//<0253> エロエロ団ナンバー１
<0253> エロエロ団ナンバー１

//<0254> ただのエロ少年
<0254> ただのエロ少年

//<0255> ユリブサイク
<0255> ユリブサイク

//<0256> ドピュッシー
<0256> ドピュッシー

//<0257> アメリカンエロドッグ
<0257> アメリカンエロドッグ

//<0258> ゼウス
<0258> ゼウス

//<0259> 日向markⅡ
<0259> 日向markⅡ

//<0260> 糞虫
<0260> 糞虫

//<0261> 量産型日向
<0261> 量産型日向

//<0262> ？？
<0262> ？？

//<0263> 「いや、気持ちは嬉しいんだが…すまん、ショックな出来事があってさ…」
<0263> 「いや、気持ちは嬉しいんだが…すまん、ショックな出来事があってさ…」

//<0264> nothing
<0264> nothing

//<0265> nothing
<0265> nothing

//<0266> nothing
<0266> nothing

//<0267> nothing
<0267> nothing

//<0268> nothing
<0268> nothing

//<0269> 藤巻
<0269> 藤巻

//<0270> 「へっ、なら尚更だな。いいもん食わせてやるよっ」
<0270> 「へっ、なら尚更だな。いいもん食わせてやるよっ」

//<0271> 音無
<0271> 音無

//<0272> クソ坊主
<0272> クソ坊主

//<0273> 代理人
<0273> 代理人

//<0274> 微妙すぎるイケメン
<0274> 微妙すぎるイケメン

//<0275> ロリコン
<0275> ロリコン

//<0276> メガネ仲間
<0276> メガネ仲間

//<0277> 暗算日本記録保持者
<0277> 暗算日本記録保持者

//<0278> 通り魔
<0278> 通り魔

//<0279> 記憶ナシ男
<0279> 記憶ナシ男

//<0280> 音速
<0280> 音速

//<0281> 無限
<0281> 無限

//<0282> エロ侍
<0282> エロ侍

//<0283> エロエロ団ナンバー１
<0283> エロエロ団ナンバー１

//<0284> ただのエロ少年
<0284> ただのエロ少年

//<0285> ユリブサイク
<0285> ユリブサイク

//<0286> ドピュッシー
<0286> ドピュッシー

//<0287> アメリカンエロドッグ
<0287> アメリカンエロドッグ

//<0288> ゼウス
<0288> ゼウス

//<0289> 日向markⅡ
<0289> 日向markⅡ

//<0290> 糞虫
<0290> 糞虫

//<0291> 量産型日向
<0291> 量産型日向

//<0292> ？？
<0292> ？？

//<0293> 「ありがたい…」
<0293> 「ありがたい…」

//<0294> 藤巻に続いて、中に入る。
<0294> 藤巻に続いて、中に入る。

//<0295> 確か今日は、藤巻が昼食を奢ってくれるはず。
<0295> 確か今日は、藤巻が昼食を奢ってくれるはず。

//<0296> nothing
<0296> nothing

//<0297> nothing
<0297> nothing

//<0298> nothing
<0298> nothing

//<0299> nothing
<0299> nothing

//<0300> nothing
<0300> nothing

//<0301> 大食堂の入り口に藤巻が待ってくれていた。
<0301> 大食堂の入り口に藤巻が待ってくれていた。

//<0302> nothing
<0302> nothing

//<0303> nothing
<0303> nothing

//<0304> nothing
<0304> nothing

//<0305> nothing
<0305> nothing

//<0306> nothing
<0306> nothing

//<0307> 藤巻
<0307> 藤巻

//<0308> 「来たか。行くぜ」
<0308> 「来たか。行くぜ」

//<0309> 音無
<0309> 音無

//<0310> クソ坊主
<0310> クソ坊主

//<0311> 代理人
<0311> 代理人

//<0312> 微妙すぎるイケメン
<0312> 微妙すぎるイケメン

//<0313> ロリコン
<0313> ロリコン

//<0314> メガネ仲間
<0314> メガネ仲間

//<0315> 暗算日本記録保持者
<0315> 暗算日本記録保持者

//<0316> 通り魔
<0316> 通り魔

//<0317> 記憶ナシ男
<0317> 記憶ナシ男

//<0318> 音速
<0318> 音速

//<0319> 無限
<0319> 無限

//<0320> エロ侍
<0320> エロ侍

//<0321> エロエロ団ナンバー１
<0321> エロエロ団ナンバー１

//<0322> ただのエロ少年
<0322> ただのエロ少年

//<0323> ユリブサイク
<0323> ユリブサイク

//<0324> ドピュッシー
<0324> ドピュッシー

//<0325> アメリカンエロドッグ
<0325> アメリカンエロドッグ

//<0326> ゼウス
<0326> ゼウス

//<0327> 日向markⅡ
<0327> 日向markⅡ

//<0328> 糞虫
<0328> 糞虫

//<0329> 量産型日向
<0329> 量産型日向

//<0330> ？？
<0330> ？？

//<0331> 「ああ」
<0331> 「ああ」

//<0332> nothing
<0332> nothing

//<0333> nothing
<0333> nothing

//<0334> nothing
<0334> nothing

//<0335> nothing
<0335> nothing

//<0336> nothing
<0336> nothing

//<0337> 入り口に藤巻が立っていた。
<0337> 入り口に藤巻が立っていた。

//<0338> nothing
<0338> nothing

//<0339> nothing
<0339> nothing

//<0340> nothing
<0340> nothing

//<0341> nothing
<0341> nothing

//<0342> nothing
<0342> nothing

//<0343> 藤巻
<0343> 藤巻

//<0344> 「来たか。行くぜ」
<0344> 「来たか。行くぜ」

//<0345> 音無
<0345> 音無

//<0346> クソ坊主
<0346> クソ坊主

//<0347> 代理人
<0347> 代理人

//<0348> 微妙すぎるイケメン
<0348> 微妙すぎるイケメン

//<0349> ロリコン
<0349> ロリコン

//<0350> メガネ仲間
<0350> メガネ仲間

//<0351> 暗算日本記録保持者
<0351> 暗算日本記録保持者

//<0352> 通り魔
<0352> 通り魔

//<0353> 記憶ナシ男
<0353> 記憶ナシ男

//<0354> 音速
<0354> 音速

//<0355> 無限
<0355> 無限

//<0356> エロ侍
<0356> エロ侍

//<0357> エロエロ団ナンバー１
<0357> エロエロ団ナンバー１

//<0358> ただのエロ少年
<0358> ただのエロ少年

//<0359> ユリブサイク
<0359> ユリブサイク

//<0360> ドピュッシー
<0360> ドピュッシー

//<0361> アメリカンエロドッグ
<0361> アメリカンエロドッグ

//<0362> ゼウス
<0362> ゼウス

//<0363> 日向markⅡ
<0363> 日向markⅡ

//<0364> 糞虫
<0364> 糞虫

//<0365> 量産型日向
<0365> 量産型日向

//<0366> ？？
<0366> ？？

//<0367> 「え？」
<0367> 「え？」

//<0368> nothing
<0368> nothing

//<0369> nothing
<0369> nothing

//<0370> nothing
<0370> nothing

//<0371> nothing
<0371> nothing

//<0372> nothing
<0372> nothing

//<0373> 藤巻
<0373> 藤巻

//<0374> 「その、言いそびれちまったが、実は昼飯を奢ってやろうって思っててな…待っててやったんだよ」
<0374> 「その、言いそびれちまったが、実は昼飯を奢ってやろうって思っててな…待っててやったんだよ」

//<0375> 音無
<0375> 音無

//<0376> クソ坊主
<0376> クソ坊主

//<0377> 代理人
<0377> 代理人

//<0378> 微妙すぎるイケメン
<0378> 微妙すぎるイケメン

//<0379> ロリコン
<0379> ロリコン

//<0380> メガネ仲間
<0380> メガネ仲間

//<0381> 暗算日本記録保持者
<0381> 暗算日本記録保持者

//<0382> 通り魔
<0382> 通り魔

//<0383> 記憶ナシ男
<0383> 記憶ナシ男

//<0384> 音速
<0384> 音速

//<0385> 無限
<0385> 無限

//<0386> エロ侍
<0386> エロ侍

//<0387> エロエロ団ナンバー１
<0387> エロエロ団ナンバー１

//<0388> ただのエロ少年
<0388> ただのエロ少年

//<0389> ユリブサイク
<0389> ユリブサイク

//<0390> ドピュッシー
<0390> ドピュッシー

//<0391> アメリカンエロドッグ
<0391> アメリカンエロドッグ

//<0392> ゼウス
<0392> ゼウス

//<0393> 日向markⅡ
<0393> 日向markⅡ

//<0394> 糞虫
<0394> 糞虫

//<0395> 量産型日向
<0395> 量産型日向

//<0396> ？？
<0396> ？？

//<0397> 「え？　何故？」
<0397> 「え？　何故？」

//<0398> nothing
<0398> nothing

//<0399> nothing
<0399> nothing

//<0400> nothing
<0400> nothing

//<0401> nothing
<0401> nothing

//<0402> nothing
<0402> nothing

//<0403> 藤巻
<0403> 藤巻

//<0404> 「ええと…なんつーか…ええと…アレだよ…」
<0404> 「ええと…なんつーか…ええと…アレだよ…」

//<0405> さっぱり何も伝わって来ない。
<0405> さっぱり何も伝わって来ない。

//<0406> nothing
<0406> nothing

//<0407> nothing
<0407> nothing

//<0408> nothing
<0408> nothing

//<0409> nothing
<0409> nothing

//<0410> nothing
<0410> nothing

//<0411> 藤巻
<0411> 藤巻

//<0412> 「アレがアレでさ…ようは世話になった…」
<0412> 「アレがアレでさ…ようは世話になった…」

//<0413> いつ藤巻の世話などしたのだろう？
<0413> いつ藤巻の世話などしたのだろう？

//<0414> nothing
<0414> nothing

//<0415> nothing
<0415> nothing

//<0416> nothing
<0416> nothing

//<0417> nothing
<0417> nothing

//<0418> nothing
<0418> nothing

//<0419> 藤巻
<0419> 藤巻

//<0420> 「まだわかってねーって面だな…」
<0420> 「まだわかってねーって面だな…」

//<0421> 音無
<0421> 音無

//<0422> クソ坊主
<0422> クソ坊主

//<0423> 代理人
<0423> 代理人

//<0424> 微妙すぎるイケメン
<0424> 微妙すぎるイケメン

//<0425> ロリコン
<0425> ロリコン

//<0426> メガネ仲間
<0426> メガネ仲間

//<0427> 暗算日本記録保持者
<0427> 暗算日本記録保持者

//<0428> 通り魔
<0428> 通り魔

//<0429> 記憶ナシ男
<0429> 記憶ナシ男

//<0430> 音速
<0430> 音速

//<0431> 無限
<0431> 無限

//<0432> エロ侍
<0432> エロ侍

//<0433> エロエロ団ナンバー１
<0433> エロエロ団ナンバー１

//<0434> ただのエロ少年
<0434> ただのエロ少年

//<0435> ユリブサイク
<0435> ユリブサイク

//<0436> ドピュッシー
<0436> ドピュッシー

//<0437> アメリカンエロドッグ
<0437> アメリカンエロドッグ

//<0438> ゼウス
<0438> ゼウス

//<0439> 日向markⅡ
<0439> 日向markⅡ

//<0440> 糞虫
<0440> 糞虫

//<0441> 量産型日向
<0441> 量産型日向

//<0442> ？？
<0442> ？？

//<0443> 「ああ。具体的に言ってもらわないと、さっぱりだ…」
<0443> 「ああ。具体的に言ってもらわないと、さっぱりだ…」

//<0444> nothing
<0444> nothing

//<0445> nothing
<0445> nothing

//<0446> nothing
<0446> nothing

//<0447> nothing
<0447> nothing

//<0448> nothing
<0448> nothing

//<0449> 藤巻
<0449> 藤巻

//<0450> 「結果としては、俺は溺れた…。でもお前は必死で俺を助けようとしてくれた…」
<0450> 「結果としては、俺は溺れた…。でもお前は必死で俺を助けようとしてくれた…」

//<0451> そう言われて、ようやく水路のトラップでの出来事を思い出す。
<0451> そう言われて、ようやく水路のトラップでの出来事を思い出す。

//<0452> 音無
<0452> 音無

//<0453> クソ坊主
<0453> クソ坊主

//<0454> 代理人
<0454> 代理人

//<0455> 微妙すぎるイケメン
<0455> 微妙すぎるイケメン

//<0456> ロリコン
<0456> ロリコン

//<0457> メガネ仲間
<0457> メガネ仲間

//<0458> 暗算日本記録保持者
<0458> 暗算日本記録保持者

//<0459> 通り魔
<0459> 通り魔

//<0460> 記憶ナシ男
<0460> 記憶ナシ男

//<0461> 音速
<0461> 音速

//<0462> 無限
<0462> 無限

//<0463> エロ侍
<0463> エロ侍

//<0464> エロエロ団ナンバー１
<0464> エロエロ団ナンバー１

//<0465> ただのエロ少年
<0465> ただのエロ少年

//<0466> ユリブサイク
<0466> ユリブサイク

//<0467> ドピュッシー
<0467> ドピュッシー

//<0468> アメリカンエロドッグ
<0468> アメリカンエロドッグ

//<0469> ゼウス
<0469> ゼウス

//<0470> 日向markⅡ
<0470> 日向markⅡ

//<0471> 糞虫
<0471> 糞虫

//<0472> 量産型日向
<0472> 量産型日向

//<0473> ？？
<0473> ？？

//<0474> 「それで…？」
<0474> 「それで…？」

//<0475> nothing
<0475> nothing

//<0476> nothing
<0476> nothing

//<0477> nothing
<0477> nothing

//<0478> nothing
<0478> nothing

//<0479> nothing
<0479> nothing

//<0480> 藤巻
<0480> 藤巻

//<0481> 「でって…ほら、今は昼休みだろ？」
<0481> 「でって…ほら、今は昼休みだろ？」

//<0482> 音無
<0482> 音無

//<0483> クソ坊主
<0483> クソ坊主

//<0484> 代理人
<0484> 代理人

//<0485> 微妙すぎるイケメン
<0485> 微妙すぎるイケメン

//<0486> ロリコン
<0486> ロリコン

//<0487> メガネ仲間
<0487> メガネ仲間

//<0488> 暗算日本記録保持者
<0488> 暗算日本記録保持者

//<0489> 通り魔
<0489> 通り魔

//<0490> 記憶ナシ男
<0490> 記憶ナシ男

//<0491> 音速
<0491> 音速

//<0492> 無限
<0492> 無限

//<0493> エロ侍
<0493> エロ侍

//<0494> エロエロ団ナンバー１
<0494> エロエロ団ナンバー１

//<0495> ただのエロ少年
<0495> ただのエロ少年

//<0496> ユリブサイク
<0496> ユリブサイク

//<0497> ドピュッシー
<0497> ドピュッシー

//<0498> アメリカンエロドッグ
<0498> アメリカンエロドッグ

//<0499> ゼウス
<0499> ゼウス

//<0500> 日向markⅡ
<0500> 日向markⅡ

//<0501> 糞虫
<0501> 糞虫

//<0502> 量産型日向
<0502> 量産型日向

//<0503> ？？
<0503> ？？

//<0504> 「そうだな」
<0504> 「そうだな」

//<0505> nothing
<0505> nothing

//<0506> nothing
<0506> nothing

//<0507> nothing
<0507> nothing

//<0508> nothing
<0508> nothing

//<0509> nothing
<0509> nothing

//<0510> 藤巻
<0510> 藤巻

//<0511> 「だから、奢ってやるよ、昼飯」
<0511> 「だから、奢ってやるよ、昼飯」

//<0512> 音無
<0512> 音無

//<0513> クソ坊主
<0513> クソ坊主

//<0514> 代理人
<0514> 代理人

//<0515> 微妙すぎるイケメン
<0515> 微妙すぎるイケメン

//<0516> ロリコン
<0516> ロリコン

//<0517> メガネ仲間
<0517> メガネ仲間

//<0518> 暗算日本記録保持者
<0518> 暗算日本記録保持者

//<0519> 通り魔
<0519> 通り魔

//<0520> 記憶ナシ男
<0520> 記憶ナシ男

//<0521> 音速
<0521> 音速

//<0522> 無限
<0522> 無限

//<0523> エロ侍
<0523> エロ侍

//<0524> エロエロ団ナンバー１
<0524> エロエロ団ナンバー１

//<0525> ただのエロ少年
<0525> ただのエロ少年

//<0526> ユリブサイク
<0526> ユリブサイク

//<0527> ドピュッシー
<0527> ドピュッシー

//<0528> アメリカンエロドッグ
<0528> アメリカンエロドッグ

//<0529> ゼウス
<0529> ゼウス

//<0530> 日向markⅡ
<0530> 日向markⅡ

//<0531> 糞虫
<0531> 糞虫

//<0532> 量産型日向
<0532> 量産型日向

//<0533> ？？
<0533> ？？

//<0534> 「え…ああ、わかった」
<0534> 「え…ああ、わかった」

//<0535> 藤巻に続いて、中に入る。
<0535> 藤巻に続いて、中に入る。

//<0536> se_gaya
<0536> se_gaya

