// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ゆりか…。
<0000> ゆりか…。
//<0200> 通り魔
<0200> 通り魔

//<0201> 記憶ナシ男
<0201> 記憶ナシ男

//<0202> 音速
<0202> 音速

//<0203> 無限
<0203> 無限

//<0204> エロ侍
<0204> エロ侍

//<0205> エロエロ団ナンバー１
<0205> エロエロ団ナンバー１

//<0206> ただのエロ少年
<0206> ただのエロ少年

//<0207> ユリブサイク
<0207> ユリブサイク

//<0208> ドピュッシー
<0208> ドピュッシー

//<0209> アメリカンエロドッグ
<0209> アメリカンエロドッグ

//<0210> ゼウス
<0210> ゼウス

//<0211> 日向markⅡ
<0211> 日向markⅡ

//<0212> 糞虫
<0212> 糞虫

//<0213> 量産型日向
<0213> 量産型日向

//<0214> ？？
<0214> ？？

//<0215> （その相手にどう接すればいいんだ…！）
<0215> （その相手にどう接すればいいんだ…！）

//<0216> nothing
<0216> nothing

//<0217> nothing
<0217> nothing

//<0218> nothing
<0218> nothing

//<0219> nothing
<0219> nothing

//<0220> nothing
<0220> nothing

//<0221> ゆり
<0221> ゆり

//<0222> 女生徒
<0222> 女生徒

//<0223> ？？
<0223> ？？

//<0224> 「なんの用かしら？」
<0224> 「なんの用かしら？」

//<0225> 尋ねられ、ようやくゆりを見る。
<0225> 尋ねられ、ようやくゆりを見る。

//<0226> 唾で濡れた唇が異様にてかり、とんでもない艶めかしさだ！！
<0226> 唾で濡れた唇が異様にてかり、とんでもない艶めかしさだ！！

//<0227> 唇を奪いにかかる
<0227> 唇を奪いにかかる

//<0228> 自重する
<0228> 自重する

//<0229> selbtn : 
<0229> selbtn : 

//<0230> 俺は今すぐここでゆりとキスしたい。
<0230> 俺は今すぐここでゆりとキスしたい。

//<0231> 音無
<0231> 音無

//<0232> クソ坊主
<0232> クソ坊主

//<0233> 代理人
<0233> 代理人

//<0234> 微妙すぎるイケメン
<0234> 微妙すぎるイケメン

//<0235> ロリコン
<0235> ロリコン

//<0236> メガネ仲間
<0236> メガネ仲間

//<0237> 暗算日本記録保持者
<0237> 暗算日本記録保持者

//<0238> 通り魔
<0238> 通り魔

//<0239> 記憶ナシ男
<0239> 記憶ナシ男

//<0240> 音速
<0240> 音速

//<0241> 無限
<0241> 無限

//<0242> エロ侍
<0242> エロ侍

//<0243> エロエロ団ナンバー１
<0243> エロエロ団ナンバー１

//<0244> ただのエロ少年
<0244> ただのエロ少年

//<0245> ユリブサイク
<0245> ユリブサイク

//<0246> ドピュッシー
<0246> ドピュッシー

//<0247> アメリカンエロドッグ
<0247> アメリカンエロドッグ

//<0248> ゼウス
<0248> ゼウス

//<0249> 日向markⅡ
<0249> 日向markⅡ

//<0250> 糞虫
<0250> 糞虫

//<0251> 量産型日向
<0251> 量産型日向

//<0252> ？？
<0252> ？？

//<0253> 「はっ！」
<0253> 「はっ！」

//<0254> se_jump
<0254> se_jump
{6369} 0a // 0254

//<0255> bs3_
<0255> bs3_

//<0256> nothing
<0256> nothing

//<0257> nothing
<0257> nothing

//<0258> nothing
<0258> nothing

//<0259> nothing
<0259> nothing

//<0260> nothing
<0260> nothing

//<0261> 思い切りジャンプして、デスクの上に飛び乗る。ゆりの唇はすぐそこだ。
<0261> 思い切りジャンプして、デスクの上に飛び乗る。ゆりの唇はすぐそこだ。

//<0262> nothing
<0262> nothing

//<0263> nothing
<0263> nothing

//<0264> nothing
<0264> nothing

//<0265> nothing
<0265> nothing

//<0266> nothing
<0266> nothing

//<0267> se_handgun2
<0267> se_handgun2

//<0268> None
<0268> None

//<0269> ぱん！
<0269> ぱん！

//<0270> だが、そこまでだった。腹が熱い…。
<0270> だが、そこまでだった。腹が熱い…。

//<0271> 音無
<0271> 音無

//<0272> クソ坊主
<0272> クソ坊主

//<0273> 代理人
<0273> 代理人

//<0274> 微妙すぎるイケメン
<0274> 微妙すぎるイケメン

//<0275> ロリコン
<0275> ロリコン

//<0276> メガネ仲間
<0276> メガネ仲間

//<0277> 暗算日本記録保持者
<0277> 暗算日本記録保持者

//<0278> 通り魔
<0278> 通り魔

//<0279> 記憶ナシ男
<0279> 記憶ナシ男

//<0280> 音速
<0280> 音速

//<0281> 無限
<0281> 無限

//<0282> エロ侍
<0282> エロ侍

//<0283> エロエロ団ナンバー１
<0283> エロエロ団ナンバー１

//<0284> ただのエロ少年
<0284> ただのエロ少年

//<0285> ユリブサイク
<0285> ユリブサイク

//<0286> ドピュッシー
<0286> ドピュッシー

//<0287> アメリカンエロドッグ
<0287> アメリカンエロドッグ

//<0288> ゼウス
<0288> ゼウス

//<0289> 日向markⅡ
<0289> 日向markⅡ

//<0290> 糞虫
<0290> 糞虫

//<0291> 量産型日向
<0291> 量産型日向

//<0292> ？？
<0292> ？？

//<0293> 「ごふっ…！」
<0293> 「ごふっ…！」

//<0294> se_fall2_human
<0294> se_fall2_human

//<0295> 吐血し、倒れる。
<0295> 吐血し、倒れる。

//<0296> 音無
<0296> 音無

//<0297> クソ坊主
<0297> クソ坊主

//<0298> 代理人
<0298> 代理人

//<0299> 微妙すぎるイケメン
<0299> 微妙すぎるイケメン

//<0300> ロリコン
<0300> ロリコン

//<0301> メガネ仲間
<0301> メガネ仲間

//<0302> 暗算日本記録保持者
<0302> 暗算日本記録保持者

//<0303> 通り魔
<0303> 通り魔

//<0304> 記憶ナシ男
<0304> 記憶ナシ男

//<0305> 音速
<0305> 音速

//<0306> 無限
<0306> 無限

//<0307> エロ侍
<0307> エロ侍

//<0308> エロエロ団ナンバー１
<0308> エロエロ団ナンバー１

//<0309> ただのエロ少年
<0309> ただのエロ少年

//<0310> ユリブサイク
<0310> ユリブサイク

//<0311> ドピュッシー
<0311> ドピュッシー

//<0312> アメリカンエロドッグ
<0312> アメリカンエロドッグ

//<0313> ゼウス
<0313> ゼウス

//<0314> 日向markⅡ
<0314> 日向markⅡ

//<0315> 糞虫
<0315> 糞虫

//<0316> 量産型日向
<0316> 量産型日向

//<0317> ？？
<0317> ？？

//<0318> （冷静になれ…冷静になれ…）
<0318> （冷静になれ…冷静になれ…）

//<0319> なんとか耐えた。
<0319> なんとか耐えた。

//<0320> 
<0320> 

//<0321> nothing
<0321> nothing

//<0322> nothing
<0322> nothing

//<0323> nothing
<0323> nothing

//<0324> nothing
<0324> nothing

//<0325> nothing
<0325> nothing

//<0326> ゆり
<0326> ゆり

//<0327> 女生徒
<0327> 女生徒

//<0328> ？？
<0328> ？？

//<0329> 「で、なんの用？」
<0329> 「で、なんの用？」

//<0330> 音無
<0330> 音無

//<0331> クソ坊主
<0331> クソ坊主

//<0332> 代理人
<0332> 代理人

//<0333> 微妙すぎるイケメン
<0333> 微妙すぎるイケメン

//<0334> ロリコン
<0334> ロリコン

//<0335> メガネ仲間
<0335> メガネ仲間

//<0336> 暗算日本記録保持者
<0336> 暗算日本記録保持者

//<0337> 通り魔
<0337> 通り魔

//<0338> 記憶ナシ男
<0338> 記憶ナシ男

//<0339> 音速
<0339> 音速

//<0340> 無限
<0340> 無限

//<0341> エロ侍
<0341> エロ侍

//<0342> エロエロ団ナンバー１
<0342> エロエロ団ナンバー１

//<0343> ただのエロ少年
<0343> ただのエロ少年

//<0344> ユリブサイク
<0344> ユリブサイク

//<0345> ドピュッシー
<0345> ドピュッシー

//<0346> アメリカンエロドッグ
<0346> アメリカンエロドッグ

//<0347> ゼウス
<0347> ゼウス

//<0348> 日向markⅡ
<0348> 日向markⅡ

//<0349> 糞虫
<0349> 糞虫

//<0350> 量産型日向
<0350> 量産型日向

//<0351> ？？
<0351> ？？

//<0352> （そうだ…ここは用がなくては、来られない場所…）
<0352> （そうだ…ここは用がなくては、来られない場所…）

//<0353> 下心を抑えて、ゆりと対峙する。
<0353> 下心を抑えて、ゆりと対峙する。

//<0354> さあ、用を言おう。
<0354> さあ、用を言おう。

//<0355> 音無
<0355> 音無

//<0356> クソ坊主
<0356> クソ坊主

//<0357> 代理人
<0357> 代理人

//<0358> 微妙すぎるイケメン
<0358> 微妙すぎるイケメン

//<0359> ロリコン
<0359> ロリコン

//<0360> メガネ仲間
<0360> メガネ仲間

//<0361> 暗算日本記録保持者
<0361> 暗算日本記録保持者

//<0362> 通り魔
<0362> 通り魔

//<0363> 記憶ナシ男
<0363> 記憶ナシ男

//<0364> 音速
<0364> 音速

//<0365> 無限
<0365> 無限

//<0366> エロ侍
<0366> エロ侍

//<0367> エロエロ団ナンバー１
<0367> エロエロ団ナンバー１

//<0368> ただのエロ少年
<0368> ただのエロ少年

//<0369> ユリブサイク
<0369> ユリブサイク

//<0370> ドピュッシー
<0370> ドピュッシー

//<0371> アメリカンエロドッグ
<0371> アメリカンエロドッグ

//<0372> ゼウス
<0372> ゼウス

//<0373> 日向markⅡ
<0373> 日向markⅡ

//<0374> 糞虫
<0374> 糞虫

//<0375> 量産型日向
<0375> 量産型日向

//<0376> ？？
<0376> ？？

//<0377> 「カミモホトケモテンシモナシ」
<0377> 「カミモホトケモテンシモナシ」

//<0378> se_key_open
<0378> se_key_open

//<0379> がちゃり、と解錠される音を確認してから、中に入る。
<0379> がちゃり、と解錠される音を確認してから、中に入る。

//<0380> se_wooddoor_open3
<0380> se_wooddoor_open3
{99ed} 0a // 0380

//<0381> nothing
<0381> nothing

//<0382> nothing
<0382> nothing

//<0383> nothing
<0383> nothing

//<0384> nothing
<0384> nothing

//<0385> nothing
<0385> nothing

//<0386> また、ゆりだけが居た。
<0386> また、ゆりだけが居た。

//<0387> nothing
<0387> nothing

//<0388> nothing
<0388> nothing

//<0389> nothing
<0389> nothing

//<0390> nothing
<0390> nothing

//<0391> nothing
<0391> nothing

//<0392> ゆり
<0392> ゆり

//<0393> 女生徒
<0393> 女生徒

//<0394> ？？
<0394> ？？

//<0395> 「あら、また音無くん。どうしたの？」
<0395> 「あら、また音無くん。どうしたの？」

//<0396> 音無
<0396> 音無

//<0397> クソ坊主
<0397> クソ坊主

//<0398> 代理人
<0398> 代理人

//<0399> 微妙すぎるイケメン
<0399> 微妙すぎるイケメン

//<0400> ロリコン
<0400> ロリコン

//<0401> メガネ仲間
<0401> メガネ仲間

//<0402> 暗算日本記録保持者
<0402> 暗算日本記録保持者

//<0403> 通り魔
<0403> 通り魔

//<0404> 記憶ナシ男
<0404> 記憶ナシ男

//<0405> 音速
<0405> 音速

//<0406> 無限
<0406> 無限

//<0407> エロ侍
<0407> エロ侍

//<0408> エロエロ団ナンバー１
<0408> エロエロ団ナンバー１

//<0409> ただのエロ少年
<0409> ただのエロ少年

//<0410> ユリブサイク
<0410> ユリブサイク

//<0411> ドピュッシー
<0411> ドピュッシー

//<0412> アメリカンエロドッグ
<0412> アメリカンエロドッグ

//<0413> ゼウス
<0413> ゼウス

//<0414> 日向markⅡ
<0414> 日向markⅡ

//<0415> 糞虫
<0415> 糞虫

//<0416> 量産型日向
<0416> 量産型日向

//<0417> ？？
<0417> ？？

//<0418> 「用があって」
<0418> 「用があって」

//<0419> nothing
<0419> nothing

//<0420> nothing
<0420> nothing

//<0421> nothing
<0421> nothing

//<0422> nothing
<0422> nothing

//<0423> nothing
<0423> nothing

//<0424> ゆり
<0424> ゆり

//<0425> 女生徒
<0425> 女生徒

//<0426> ？？
<0426> ？？

//<0427> 「何？」
<0427> 「何？」

//<0428> なんだ、ゆりに対する用は…。
<0428> なんだ、ゆりに対する用は…。

//<0429> 趣味は？
<0429> 趣味は？

//<0430> 好きな食べ物は？
<0430> 好きな食べ物は？

//<0431> 今回の作戦について
<0431> 今回の作戦について

//<0432> selbtn : 
<0432> selbtn : 

//<0433> 02_ゆり
<0433> 02_ゆり

//<0434> _00_ゆりのこと
<0434> _00_ゆりのこと

//<0435> 02_ゆり
<0435> 02_ゆり

//<0436> _00_ゆりのこと
<0436> _00_ゆりのこと

//<0437> 音無
<0437> 音無

//<0438> クソ坊主
<0438> クソ坊主

//<0439> 代理人
<0439> 代理人

//<0440> 微妙すぎるイケメン
<0440> 微妙すぎるイケメン

//<0441> ロリコン
<0441> ロリコン

//<0442> メガネ仲間
<0442> メガネ仲間

//<0443> 暗算日本記録保持者
<0443> 暗算日本記録保持者

//<0444> 通り魔
<0444> 通り魔

//<0445> 記憶ナシ男
<0445> 記憶ナシ男

//<0446> 音速
<0446> 音速

//<0447> 無限
<0447> 無限

//<0448> エロ侍
<0448> エロ侍

//<0449> エロエロ団ナンバー１
<0449> エロエロ団ナンバー１

//<0450> ただのエロ少年
<0450> ただのエロ少年

//<0451> ユリブサイク
<0451> ユリブサイク

//<0452> ドピュッシー
<0452> ドピュッシー

//<0453> アメリカンエロドッグ
<0453> アメリカンエロドッグ

//<0454> ゼウス
<0454> ゼウス

//<0455> 日向markⅡ
<0455> 日向markⅡ

//<0456> 糞虫
<0456> 糞虫

//<0457> 量産型日向
<0457> 量産型日向

//<0458> ？？
<0458> ？？

//<0459> 「今回の作戦についてだが…」
<0459> 「今回の作戦についてだが…」

//<0460> nothing
<0460> nothing

//<0461> nothing
<0461> nothing

//<0462> nothing
<0462> nothing

//<0463> nothing
<0463> nothing

//<0464> nothing
<0464> nothing

//<0465> ゆり
<0465> ゆり

//<0466> 女生徒
<0466> 女生徒

//<0467> ？？
<0467> ？？

//<0468> 「なに？」
<0468> 「なに？」

//<0469> さすがだ
<0469> さすがだ

//<0470> 不安だ
<0470> 不安だ

//<0471> selbtn : 
<0471> selbtn : 

//<0472> 音無
<0472> 音無

//<0473> クソ坊主
<0473> クソ坊主

//<0474> 代理人
<0474> 代理人

//<0475> 微妙すぎるイケメン
<0475> 微妙すぎるイケメン

//<0476> ロリコン
<0476> ロリコン

//<0477> メガネ仲間
<0477> メガネ仲間

//<0478> 暗算日本記録保持者
<0478> 暗算日本記録保持者

//<0479> 通り魔
<0479> 通り魔

//<0480> 記憶ナシ男
<0480> 記憶ナシ男

//<0481> 音速
<0481> 音速

//<0482> 無限
<0482> 無限

//<0483> エロ侍
<0483> エロ侍

//<0484> エロエロ団ナンバー１
<0484> エロエロ団ナンバー１

//<0485> ただのエロ少年
<0485> ただのエロ少年

//<0486> ユリブサイク
<0486> ユリブサイク

//<0487> ドピュッシー
<0487> ドピュッシー

//<0488> アメリカンエロドッグ
<0488> アメリカンエロドッグ

//<0489> ゼウス
<0489> ゼウス

//<0490> 日向markⅡ
<0490> 日向markⅡ

//<0491> 糞虫
<0491> 糞虫

//<0492> 量産型日向
<0492> 量産型日向

//<0493> ？？
<0493> ？？

//<0494> 「さすがだと思う」
<0494> 「さすがだと思う」

//<0495> nothing
<0495> nothing

//<0496> nothing
<0496> nothing

//<0497> nothing
<0497> nothing

//<0498> nothing
<0498> nothing

//<0499> nothing
<0499> nothing

//<0500> ゆり
<0500> ゆり

//<0501> 女生徒
<0501> 女生徒

//<0502> ？？
<0502> ？？

//<0503> 「へー、そうなんだぁー」
<0503> 「へー、そうなんだぁー」

//<0504> 音無
<0504> 音無

//<0505> クソ坊主
<0505> クソ坊主

//<0506> 代理人
<0506> 代理人

//<0507> 微妙すぎるイケメン
<0507> 微妙すぎるイケメン

//<0508> ロリコン
<0508> ロリコン

//<0509> メガネ仲間
<0509> メガネ仲間

//<0510> 暗算日本記録保持者
<0510> 暗算日本記録保持者

//<0511> 通り魔
<0511> 通り魔

//<0512> 記憶ナシ男
<0512> 記憶ナシ男

//<0513> 音速
<0513> 音速

//<0514> 無限
<0514> 無限

//<0515> エロ侍
<0515> エロ侍

//<0516> エロエロ団ナンバー１
<0516> エロエロ団ナンバー１

//<0517> ただのエロ少年
<0517> ただのエロ少年

//<0518> ユリブサイク
<0518> ユリブサイク

//<0519> ドピュッシー
<0519> ドピュッシー

//<0520> アメリカンエロドッグ
<0520> アメリカンエロドッグ

//<0521> ゼウス
<0521> ゼウス

//<0522> 日向markⅡ
<0522> 日向markⅡ

//<0523> 糞虫
<0523> 糞虫

//<0524> 量産型日向
<0524> 量産型日向

//<0525> ？？
<0525> ？？

//<0526> 「告知ライブ…絶対に天使も教師もＮＰＣも、全員を体育館に貼り付けにできる。こちらはなんでもし放題。完璧だ」
<0526> 「告知ライブ…絶対に天使も教師もＮＰＣも、全員を体育館に貼り付けにできる。こちらはなんでもし放題。完璧だ」

//<0527> nothing
<0527> nothing

//<0528> nothing
