// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> -1st beat- BAD EPISODE.Lost Memories
<0000> -1st beat- BAD EPISODE.Lost Memories
{0047} 0a // 0000

//<0001> 恐らく、一晩は経ったのだろう。
<0001> 恐らく、一晩は経ったのだろう。
//<0110> nothing
<0110> nothing

//<0111> nothing
<0111> nothing

//<0112> nothing
<0112> nothing

//<0113> nothing
<0113> nothing

//<0114> nothing
<0114> nothing

//<0115> そう直井が命令すると、生徒会メンバーが俺を力ずくで通路へと引っ張り出し、床に押しつけた。
<0115> そう直井が命令すると、生徒会メンバーが俺を力ずくで通路へと引っ張り出し、床に押しつけた。

//<0116> ドアが閉ざされていく。
<0116> ドアが閉ざされていく。

//<0117> 音無
<0117> 音無

//<0118> クソ坊主
<0118> クソ坊主

//<0119> 代理人
<0119> 代理人

//<0120> 微妙すぎるイケメン
<0120> 微妙すぎるイケメン

//<0121> ロリコン
<0121> ロリコン

//<0122> メガネ仲間
<0122> メガネ仲間

//<0123> 暗算日本記録保持者
<0123> 暗算日本記録保持者

//<0124> 通り魔
<0124> 通り魔

//<0125> 記憶ナシ男
<0125> 記憶ナシ男

//<0126> 音速
<0126> 音速

//<0127> 無限
<0127> 無限

//<0128> エロ侍
<0128> エロ侍

//<0129> エロエロ団ナンバー１
<0129> エロエロ団ナンバー１

//<0130> ただのエロ少年
<0130> ただのエロ少年

//<0131> ユリブサイク
<0131> ユリブサイク

//<0132> ドピュッシー
<0132> ドピュッシー

//<0133> アメリカンエロドッグ
<0133> アメリカンエロドッグ

//<0134> ゼウス
<0134> ゼウス

//<0135> 日向markⅡ
<0135> 日向markⅡ

//<0136> 糞虫
<0136> 糞虫

//<0137> 量産型日向
<0137> 量産型日向

//<0138> ？？
<0138> ？？

//<0139> 「立華ぁーーー！！」
<0139> 「立華ぁーーー！！」

//<0140> 先に立華を起こしておくべきだった…。
<0140> 先に立華を起こしておくべきだった…。

//<0141> bs3_
<0141> bs3_

//<0142> nothing
<0142> nothing

//<0143> nothing
<0143> nothing

//<0144> nothing
<0144> nothing

//<0145> nothing
<0145> nothing

//<0146> nothing
<0146> nothing

//<0147> 直井
<0147> 直井

//<0148> 「さあ、僕の目を見てください」
<0148> 「さあ、僕の目を見てください」

//<0149> se_highfrequency
<0149> se_highfrequency

//<0150> nothing
<0150> nothing

//<0151> nothing
<0151> nothing

//<0152> nothing
<0152> nothing

//<0153> nothing
<0153> nothing

//<0154> nothing
<0154> nothing

//<0155> それが何になるって言うんだ。
<0155> それが何になるって言うんだ。

//<0156> 睨み付けてやる。
<0156> 睨み付けてやる。

//<0157> しかし、その目を見ていると、体中の力が抜けていく…。
<0157> しかし、その目を見ていると、体中の力が抜けていく…。

//<0158> 音無
<0158> 音無

//<0159> クソ坊主
<0159> クソ坊主

//<0160> 代理人
<0160> 代理人

//<0161> 微妙すぎるイケメン
<0161> 微妙すぎるイケメン

//<0162> ロリコン
<0162> ロリコン

//<0163> メガネ仲間
<0163> メガネ仲間

//<0164> 暗算日本記録保持者
<0164> 暗算日本記録保持者

//<0165> 通り魔
<0165> 通り魔

//<0166> 記憶ナシ男
<0166> 記憶ナシ男

//<0167> 音速
<0167> 音速

//<0168> 無限
<0168> 無限

//<0169> エロ侍
<0169> エロ侍

//<0170> エロエロ団ナンバー１
<0170> エロエロ団ナンバー１

//<0171> ただのエロ少年
<0171> ただのエロ少年

//<0172> ユリブサイク
<0172> ユリブサイク

//<0173> ドピュッシー
<0173> ドピュッシー

//<0174> アメリカンエロドッグ
<0174> アメリカンエロドッグ

//<0175> ゼウス
<0175> ゼウス

//<0176> 日向markⅡ
<0176> 日向markⅡ

//<0177> 糞虫
<0177> 糞虫

//<0178> 量産型日向
<0178> 量産型日向

//<0179> ？？
<0179> ？？

//<0180> （なんだ…これは…）
<0180> （なんだ…これは…）

//<0181> 音無
<0181> 音無

//<0182> クソ坊主
<0182> クソ坊主

//<0183> 代理人
<0183> 代理人

//<0184> 微妙すぎるイケメン
<0184> 微妙すぎるイケメン

//<0185> ロリコン
<0185> ロリコン

//<0186> メガネ仲間
<0186> メガネ仲間

//<0187> 暗算日本記録保持者
<0187> 暗算日本記録保持者

//<0188> 通り魔
<0188> 通り魔

//<0189> 記憶ナシ男
<0189> 記憶ナシ男

//<0190> 音速
<0190> 音速

//<0191> 無限
<0191> 無限

//<0192> エロ侍
<0192> エロ侍

//<0193> エロエロ団ナンバー１
<0193> エロエロ団ナンバー１

//<0194> ただのエロ少年
<0194> ただのエロ少年

//<0195> ユリブサイク
<0195> ユリブサイク

//<0196> ドピュッシー
<0196> ドピュッシー

//<0197> アメリカンエロドッグ
<0197> アメリカンエロドッグ

//<0198> ゼウス
<0198> ゼウス

//<0199> 日向markⅡ
<0199> 日向markⅡ

//<0200> 糞虫
<0200> 糞虫

//<0201> 量産型日向
<0201> 量産型日向

//<0202> ？？
<0202> ？？

//<0203> （これが…催眠…術…）
<0203> （これが…催眠…術…）

//<0204> nothing
<0204> nothing

//<0205> nothing
<0205> nothing

//<0206> nothing
<0206> nothing

//<0207> nothing
<0207> nothing

//<0208> nothing
<0208> nothing

//<0209> 直井
<0209> 直井

//<0210> 「さあ、目を閉じるんだ。貴様は今から、幸せな夢を見る」
<0210> 「さあ、目を閉じるんだ。貴様は今から、幸せな夢を見る」

//<0211> 優しい声が聞こえてきて、まどろみが訪れる。
<0211> 優しい声が聞こえてきて、まどろみが訪れる。

//<0212> nothing
<0212> nothing

//<0213> nothing
<0213> nothing

//<0214> nothing
<0214> nothing

//<0215> nothing
<0215> nothing

//<0216> nothing
<0216> nothing

//<0217> 直井
<0217> 直井

//<0218> 「こんな世界でも、幸せな夢は見れるんだ」
<0218> 「こんな世界でも、幸せな夢は見れるんだ」

//<0219> 目を閉じようとした、その瞬間。
<0219> 目を閉じようとした、その瞬間。

//<0220> se_explosion_near
<0220> se_explosion_near

//<0221> どがん！とものすごい爆発音がして、揺れた。
<0221> どがん！とものすごい爆発音がして、揺れた。

//<0222> 日向
<0222> 日向

//<0223> 男Ｂ
<0223> 男Ｂ

//<0224> エロエロ団総帥
<0224> エロエロ団総帥

//<0225> イケチン
<0225> イケチン

//<0226> ホモ太
<0226> ホモ太

//<0227> ひなチン
<0227> ひなチン

//<0228> 秀樹
<0228> 秀樹

//<0229> 男子生徒
<0229> 男子生徒

//<0230> ？？
<0230> ？？

//<0231> 「音無ぃーーーーーーーー！！　助けにきたぞぉーーーーーー！！」
<0231> 「音無ぃーーーーーーーー！！　助けにきたぞぉーーーーーー！！」

//<0232> 日向の声。
<0232> 日向の声。

//<0233> nothing
<0233> nothing

//<0234> nothing
<0234> nothing

//<0235> nothing
<0235> nothing

//<0236> nothing
<0236> nothing

//<0237> nothing
<0237> nothing

//<0238> 直井
<0238> 直井

//<0239> 「くそっ、残党がっ…！　つけられていたかっ」
<0239> 「くそっ、残党がっ…！　つけられていたかっ」

//<0240> nothing
<0240> nothing

//<0241> nothing
<0241> nothing

//<0242> nothing
<0242> nothing

//<0243> nothing
<0243> nothing

//<0244> nothing
<0244> nothing

//<0245> nothing
<0245> nothing

//<0246> 日向ひとりではない。作業着を着ているのは、ギルド員たちだ。
<0246> 日向ひとりではない。作業着を着ているのは、ギルド員たちだ。

//<0247> チャー
<0247> チャー

//<0248> 「うてーーー！！」
<0248> 「うてーーー！！」

//<0249> 日向ひとりではない。作業着を着た男たちも一斉になだれ込んで来る。
<0249> 日向ひとりではない。作業着を着た男たちも一斉になだれ込んで来る。

//<0250> 作業着の男
<0250> 作業着の男

//<0251> 「うてーーー！！」
<0251> 「うてーーー！！」

//<0252> se_handgun
<0252> se_handgun

//<0253> se_handgun2
<0253> se_handgun2

//<0254> se_rifle
<0254> se_rifle

//<0255> se_rifle2
<0255> se_rifle2

//<0256> 銃撃戦が始まった。
<0256> 銃撃戦が始まった。

//<0257> ＮＰＣである生徒会と違い、ギルドメンバーのほうがもちろん技術に長けている。
<0257> ＮＰＣである生徒会と違い、ギルドメンバーのほうがもちろん技術に長けている。

//<0258> すぐさま生徒会を制圧する。
<0258> すぐさま生徒会を制圧する。

//<0259> 作業着の男たちは、流れるような動きで次々と生徒会メンバーのＮＰＣを制圧していく。
<0259> 作業着の男たちは、流れるような動きで次々と生徒会メンバーのＮＰＣを制圧していく。

//<0260> 俺は日向に思わず抱きつく。
<0260> 俺は日向に思わず抱きつく。

//<0261> nothing
<0261> nothing

//<0262> nothing
<0262> nothing

//<0263> nothing
<0263> nothing

//<0264> nothing
<0264> nothing

//<0265> nothing
<0265> nothing

//<0266> 音無
<0266> 音無

//<0267> クソ坊主
<0267> クソ坊主

//<0268> 代理人
<0268> 代理人

//<0269> 微妙すぎるイケメン
<0269> 微妙すぎるイケメン

//<0270> ロリコン
<0270> ロリコン

//<0271> メガネ仲間
<0271> メガネ仲間

//<0272> 暗算日本記録保持者
<0272> 暗算日本記録保持者

//<0273> 通り魔
<0273> 通り魔

//<0274> 記憶ナシ男
<0274> 記憶ナシ男

//<0275> 音速
<0275> 音速

//<0276> 無限
<0276> 無限

//<0277> エロ侍
<0277> エロ侍

//<0278> エロエロ団ナンバー１
<0278> エロエロ団ナンバー１

//<0279> ただのエロ少年
<0279> ただのエロ少年

//<0280> ユリブサイク
<0280> ユリブサイク

//<0281> ドピュッシー
<0281> ドピュッシー

//<0282> アメリカンエロドッグ
<0282> アメリカンエロドッグ

//<0283> ゼウス
<0283> ゼウス

//<0284> 日向markⅡ
<0284> 日向markⅡ

//<0285> 糞虫
<0285> 糞虫

//<0286> 量産型日向
<0286> 量産型日向

//<0287> ？？
<0287> ？？

//<0288> 「何が起きたんだ…？」
<0288> 「何が起きたんだ…？」

//<0289> nothing
<0289> nothing

//<0290> nothing
<0290> nothing

//<0291> nothing
<0291> nothing

//<0292> nothing
<0292> nothing

//<0293> nothing
<0293> nothing

//<0294> 日向
<0294> 日向

//<0295> 男Ｂ
<0295> 男Ｂ

//<0296> エロエロ団総帥
<0296> エロエロ団総帥

//<0297> イケチン
<0297> イケチン

//<0298> ホモ太
<0298> ホモ太

//<0299> ひなチン
<0299> ひなチン

//<0300> 秀樹
<0300> 秀樹

//<0301> 男子生徒
<0301> 男子生徒

//<0302> ？？
<0302> ？？

//<0303> 「地上では、俺と遊佐だけが逃げ切れた…」
<0303> 「地上では、俺と遊佐だけが逃げ切れた…」

//<0304> nothing
<0304> nothing

//<0305> nothing
<0305> nothing

//<0306> nothing
<0306> nothing

//<0307> nothing
<0307> nothing

//<0308> nothing
<0308> nothing

//<0309> 日向
<0309> 日向

//<0310> 男Ｂ
<0310> 男Ｂ

//<0311> エロエロ団総帥
<0311> エロエロ団総帥

//<0312> イケチン
<0312> イケチン

//<0313> ホモ太
<0313> ホモ太

//<0314> ひなチン
<0314> ひなチン

//<0315> 秀樹
<0315> 秀樹

//<0316> 男子生徒
<0316> 男子生徒

//<0317> ？？
<0317> ？？

//<0318> 「他の仲間は…誰もいない…」
<0318> 「他の仲間は…誰もいない…」

//<0319> 音無
<0319> 音無

//<0320> クソ坊主
<0320> クソ坊主

//<0321> 代理人
<0321> 代理人

//<0322> 微妙すぎるイケメン
<0322> 微妙すぎるイケメン

//<0323> ロリコン
<0323> ロリコン

//<0324> メガネ仲間
<0324> メガネ仲間

//<0325> 暗算日本記録保持者
<0325> 暗算日本記録保持者

//<0326> 通り魔
<0326> 通り魔

//<0327> 記憶ナシ男
<0327> 記憶ナシ男

//<0328> 音速
<0328> 音速

//<0329> 無限
<0329> 無限

//<0330> エロ侍
<0330> エロ侍

//<0331> エロエロ団ナンバー１
<0331> エロエロ団ナンバー１

//<0332> ただのエロ少年
<0332> ただのエロ少年

//<0333> ユリブサイク
<0333> ユリブサイク

//<0334> ドピュッシー
<0334> ドピュッシー

//<0335> アメリカンエロドッグ
<0335> アメリカンエロドッグ

//<0336> ゼウス
<0336> ゼウス

//<0337> 日向markⅡ
<0337> 日向markⅡ

//<0338> 糞虫
<0338> 糞虫

//<0339> 量産型日向
<0339> 量産型日向

//<0340> ？？
<0340> ？？

//<0341> 「本当にゆりまでも！？」
<0341> 「本当にゆりまでも！？」

//<0342> nothing
<0342> nothing

//<0343> nothing
<0343> nothing

//<0344> nothing
<0344> nothing

//<0345> nothing
<0345> nothing

//<0346> nothing
<0346> nothing

//<0347> 日向
<0347> 日向

//<0348> 男Ｂ
<0348> 男Ｂ

//<0349> エロエロ団総帥
<0349> エロエロ団総帥

//<0350> イケチン
<0350> イケチン

//<0351> ホモ太
<0351> ホモ太

//<0352> ひなチン
<0352> ひなチン

//<0353> 秀樹
<0353> 秀樹

//<0354> 男子生徒
<0354> 男子生徒

//<0355> ？？
<0355> ？？

//<0356> 「…ああ」
<0356> 「…ああ」

//<0357> 抱きついたまま、愕然とする。
<0357> 抱きついたまま、愕然とする。

//<0358> nothing
<0358> nothing

//<0359> nothing
<0359> nothing

//<0360> nothing
<0360> nothing

//<0361> nothing
<0361> nothing

//<0362> nothing
<0362> nothing

//<0363> 日向
<0363> 日向

//<0364> 男Ｂ
<0364> 男Ｂ

//<0365> エロエロ団総帥
<0365> エロエロ団総帥

//<0366> イケチン
<0366> イケチン

//<0367> ホモ太
<0367> ホモ太

//<0368> ひなチン
<0368> ひなチン

//<0369> 秀樹
<0369> 秀樹

//<0370> 男子生徒
<0370> 男子生徒

//<0371> ？？
<0371> ？？

//<0372> 「でも連中はオールドギルドの存在を知らなかった」
<0372> 「でも連中はオールドギルドの存在を知らなかった」

//<0373> 俺は日向に駆け寄る。
<0373> 俺は日向に駆け寄る。

//<0374> nothing
<0374> nothing

//<0375> nothing
<0375> nothing

//<0376> nothing
<0376> nothing

//<0377> nothing
<0377> nothing

//<0378> nothing
<0378> nothing

//<0379> 音無
<0379> 音無

//<0380> クソ坊主
<0380> クソ坊主

//<0381> 代理人
<0381> 代理人

//<0382> 微妙すぎるイケメン
<0382> 微妙すぎるイケメン

//<0383> ロリコン
<0383> ロリコン

//<0384> メガネ仲間
<0384> メガネ仲間

//<0385> 暗算日本記録保持者
<0385> 暗算日本記録保持者

//<0386> 通り魔
<0386> 通り魔

//<0387> 記憶ナシ男
<0387> 記憶ナシ男

//<0388> 音速
<0388> 音速

//<0389> 無限
<0389> 無限

//<0390> エロ侍
<0390> エロ侍

//<0391> エロエロ団ナンバー１
<0391> エロエロ団ナンバー１

//<0392> ただのエロ少年
<0392> ただのエロ少年

//<0393> ユリブサイク
<0393> ユリブサイク

//<0394> ドピュッシー
<0394> ドピュッシー

//<0395> アメリカンエロドッグ
<0395> アメリカンエロドッグ

//<0396> ゼウス
<0396> ゼウス

//<0397> 日向markⅡ
<0397> 日向markⅡ

//<0398> 糞虫
<0398> 糞虫

//<0399> 量産型日向
<0399> 量産型日向

//<0400> ？？
<0400> ？？

//<0401> 「ゆりが消えたって嘘だろ…？」
<0401> 「ゆりが消えたって嘘だろ…？」

//<0402> 日向
<0402> 日向

//<0403> 男Ｂ
<0403> 男Ｂ

//<0404> エロエロ団総帥
<0404> エロエロ団総帥

//<0405> イケチン
<0405> イケチン

//<0406> ホモ太
<0406> ホモ太

//<0407> ひなチン
<0407> ひなチン

//<0408> 秀樹
<0408> 秀樹

//<0409> 男子生徒
<0409> 男子生徒

//<0410> ？？
<0410> ？？

//<0411> 「…いや、本当だ」
<0411> 「…いや、本当だ」

//<0412> 愕然とする。
<0412> 愕然とする。

//<0413> nothing
<0413> nothing

//<0414> nothing
<0414> nothing

//<0415> nothing
<0415> nothing

//<0416> nothing
<0416> nothing

//<0417> nothing
<0417> nothing

//<0418> 日向
<0418> 日向

//<0419> 男Ｂ
<0419> 男Ｂ

//<0420> エロエロ団総帥
<0420> エロエロ団総帥

//<0421> イケチン
<0421> イケチン

//<0422> ホモ太
<0422> ホモ太

//<0423> ひなチン
<0423> ひなチン

//<0424> 秀樹
<0424> 秀樹

//<0425> 男子生徒
<0425> 男子生徒

//<0426> ？？
<0426> ？？

//<0427> 「地上では、俺と遊佐だけが逃げ切れた…」
<0427> 「地上では、俺と遊佐だけが逃げ切れた…」

//<0428> nothing
<0428> nothing

//<0429> nothing
<0429> nothing

//<0430> nothing
<0430> nothing

//<0431> nothing
<0431> nothing

//<0432> nothing
<0432> nothing

//<0433> 日向
<0433> 日向

//<0434> 男Ｂ
<0434> 男Ｂ

//<0435> エロエロ団総帥
<0435> エロエロ団総帥

//<0436> イケチン
<0436> イケチン

//<0437> ホモ太
<0437> ホモ太

//<0438> ひなチン
<0438> ひなチン

//<0439> 秀樹
<0439> 秀樹

//<0440> 男子生徒
<0440> 男子生徒

//<0441> ？？
<0441> ？？

//<0442> 「でも連中はオールドギルドの存在を知らなかった」
<0442> 「でも連中はオールドギルドの存在を知らなかった」

//<0443> nothing
<0443> nothing

//<0444> nothing
<0444> nothing

//<0445> nothing
<0445> nothing

//<0446> nothing
<0446> nothing

//<0447> nothing
<0447> nothing

//<0448> 日向
<0448> 日向

//<0449> 男Ｂ
<0449> 男Ｂ

//<0450> エロエロ団総帥
<0450> エロエロ団総帥

//<0451> イケチン
<0451> イケチン

//<0452> ホモ太
<0452> ホモ太

//<0453> ひなチン
<0453> ひなチン

//<0454> 秀樹
<0454> 秀樹

//<0455> 男子生徒
<0455> 男子生徒

//<0456> ？？
<0456> ？？

//<0457> 「だから、今の戦線はこのメンバーだけだ」
<0457> 「だから、今の戦線はこのメンバーだけだ」

//<0458> ゆりだけじゃなく、野田や大山や高松や松下五段や、ガルデモのメンバーさえもこの世界から消えてしまったというのか…。
<0458> ゆりだけじゃなく、野田や大山や高松や松下五段や、ガルデモのメンバーさえもこの世界から消えてしまったというのか…。

//<0459> それをこいつの催眠術とやらでやったというのか…。
<0459> それをこいつの催眠術とやらでやったというのか…。

//<0460> 直井
<0460> 直井

//<0461> 「んだよ、そのオールドギルドってのはっ…聞いてないぞっ！」
<0461> 「んだよ、そのオールドギルドってのはっ…聞いてないぞっ！」

//<0462> 直井も足を撃たれて、倒れている。
<0462> 直井も足を撃たれて、倒れている。

//<0463> nothing
<0463> nothing

//<0464> nothing
<0464> nothing

//<0465> nothing
<0465> nothing

//<0466> nothing
<0466> nothing

//<0467> nothing
<0467> nothing

//<0468> 日向
<0468> 日向

//<0469> 男Ｂ
<0469> 男Ｂ

//<0470> エロエロ団総帥
<0470> エロエロ団総帥

//<0471> イケチン
<0471> イケチン

//<0472> ホモ太
<0472> ホモ太

//<0473> ひなチン
<0473> ひなチン

//<0474> 秀樹
<0474> 秀樹

//<0475> 男子生徒
<0475> 男子生徒

//<0476> ？？
<0476> ？？

//<0477> 「お前こそ、こんなところに独房を作りやがって…」
<0477> 「お前こそ、こんなところに独房を作りやがって…」

//<0478> 音無
<0478> 音無

//<0479> クソ坊主
<0479> クソ坊主

//<0480> 代理人
<0480> 代理人

//<0481> 微妙すぎるイケメン
<0481> 微妙すぎるイケメン

//<0482> ロリコン
<0482> ロリコン

//<0483> メガネ仲間
<0483> メガネ仲間

//<0484> 暗算日本記録保持者
<0484> 暗算日本記録保持者

//<0485> 通り魔
<0485> 通り魔

//<0486> 記憶ナシ男
<0486> 記憶ナシ男

//<0487> 音速
<0487> 音速

//<0488> 無限
<0488> 無限

//<0489> エロ侍
<0489> エロ侍

//<0490> エロエロ団ナンバー１
<0490> エロエロ団ナンバー１

//<0491> ただのエロ少年
<0491> ただのエロ少年

//<0492> ユリブサイク
<0492> ユリブサイク

//<0493> ドピュッシー
<0493> ドピュッシー

//<0494> アメリカンエロドッグ
<0494> アメリカンエロドッグ

//<0495> ゼウス
<0495> ゼウス

//<0496> 日向markⅡ
<0496> 日向markⅡ

//<0497> 糞虫
<0497> 糞虫

//<0498> 量産型日向
<0498> 量産型日向

//<0499> ？？
<0499> ？？

//<0500> 「そうだ…まだ中に立華が居る！」
<0500> 「そうだ…まだ中に立華が居る！」

//<0501> 俺はそこでようやく現状を把握し、日向から離れる。
<0501> 俺はそこでようやく現状を把握し、日向から離れる。

//<0502> nothing
<0502> nothing

//<0503> nothing
<0503> nothing

//<0504> nothing
<0504> nothing

//<0505> nothing
<0505> nothing

//<0506> nothing
<0506> nothing

//<0507> 日向
<0507> 日向

//<0508> 男Ｂ
<0508> 男Ｂ

//<0509> エロエロ団総帥
<0509> エロエロ団総帥

//<0510> イケチン
<0510> イケチン

//<0511> ホモ太
<0511> ホモ太

//<0512> ひなチン
<0512> ひなチン

//<0513> 秀樹
<0513> 秀樹

//<0514> 男子生徒
<0514> 男子生徒

//<0515> ？？
<0515> ？？

//<0516> 「わかった。助けよう」
<0516> 「わかった。助けよう」

//<0517> nothing
<0517> nothing

//<0518> nothing
<0518> nothing

//<0519> nothing
<0519> nothing

//<0520> nothing
<0520> nothing

//<0521> 日向
<0521> 日向

//<0522> 男Ｂ
<0522> 男Ｂ

//<0523> エロエロ団総帥
<0523> エロエロ団総帥

//<0524> イケチン
<0524> イケチン

//<0525> ホモ太
<0525> ホモ太

//<0526> ひなチン
<0526> ひなチン

//<0527> 秀樹
<0527> 秀樹

//<0528> 男子生徒
<0528> 男子生徒

//<0529> ？？
