// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 俺は顔を洗った後、部屋に戻ってくる。まだ日向は寝ている。
<0000> 俺は顔を洗った後、部屋に戻ってくる。まだ日向は寝ている。
<0106> nothing

//<0107> nothing
<0107> nothing

//<0108> ひさ子
<0108> ひさ子

//<0109> 「だからゲリラ参戦は、野球場のほうが断然効率がいい」
<0109> 「だからゲリラ参戦は、野球場のほうが断然効率がいい」

//<0110> 音無
<0110> 音無

//<0111> クソ坊主
<0111> クソ坊主

//<0112> 代理人
<0112> 代理人

//<0113> 微妙すぎるイケメン
<0113> 微妙すぎるイケメン

//<0114> ロリコン
<0114> ロリコン

//<0115> メガネ仲間
<0115> メガネ仲間

//<0116> 暗算日本記録保持者
<0116> 暗算日本記録保持者

//<0117> 通り魔
<0117> 通り魔

//<0118> 記憶ナシ男
<0118> 記憶ナシ男

//<0119> 音速
<0119> 音速

//<0120> 無限
<0120> 無限

//<0121> エロ侍
<0121> エロ侍

//<0122> エロエロ団ナンバー１
<0122> エロエロ団ナンバー１

//<0123> ただのエロ少年
<0123> ただのエロ少年

//<0124> ユリブサイク
<0124> ユリブサイク

//<0125> ドピュッシー
<0125> ドピュッシー

//<0126> アメリカンエロドッグ
<0126> アメリカンエロドッグ

//<0127> ゼウス
<0127> ゼウス

//<0128> 日向markⅡ
<0128> 日向markⅡ

//<0129> 糞虫
<0129> 糞虫

//<0130> 量産型日向
<0130> 量産型日向

//<0131> ？？
<0131> ？？

//<0132> 「なるほど…」
<0132> 「なるほど…」

//<0133> トーナメント表を見る。
<0133> トーナメント表を見る。

//<0134> nothing
<0134> nothing

//<0135> nothing
<0135> nothing

//<0136> nothing
<0136> nothing

//<0137> nothing
<0137> nothing

//<0138> nothing
<0138> nothing

//<0139> 入江
<0139> 入江

//<0140> 「我らが戦線チーム、どこも順調に勝ち進んでいますねー」
<0140> 「我らが戦線チーム、どこも順調に勝ち進んでいますねー」

//<0141> nothing
<0141> nothing

//<0142> nothing
<0142> nothing

//<0143> nothing
<0143> nothing

//<0144> nothing
<0144> nothing

//<0145> ひさ子
<0145> ひさ子

//<0146> 「んじゃ、いっちょ、うちらもいくかっ」
<0146> 「んじゃ、いっちょ、うちらもいくかっ」

//<0147> 試合を開始しようとしていた向かい合う２チームの中に、ひさ子が強引に割り込んでいく。
<0147> 試合を開始しようとしていた向かい合う２チームの中に、ひさ子が強引に割り込んでいく。

//<0148> nothing
<0148> nothing

//<0149> nothing
<0149> nothing

//<0150> nothing
<0150> nothing

//<0151> nothing
<0151> nothing

//<0152> nothing
<0152> nothing

//<0153> ひさ子
<0153> ひさ子

//<0154> 「わりーけど、この次に進めんのは、あたしらのガルデモチームに勝ったほう。どっちがやるか、じゃんけんで決めてくれ」
<0154> 「わりーけど、この次に進めんのは、あたしらのガルデモチームに勝ったほう。どっちがやるか、じゃんけんで決めてくれ」

//<0155> 主審
<0155> 主審

//<0156> 「またかぁっ、どんどんチームが増えてきやがる…これ以上そんな勝手は許さないぞっ」
<0156> 「またかぁっ、どんどんチームが増えてきやがる…これ以上そんな勝手は許さないぞっ」

//<0157> 審判の体育会系男子がそれを制した。
<0157> 審判の体育会系男子がそれを制した。

//<0158> nothing
<0158> nothing

//<0159> nothing
<0159> nothing

//<0160> nothing
<0160> nothing

//<0161> nothing
<0161> nothing

//<0162> nothing
<0162> nothing

//<0163> ひさ子
<0163> ひさ子

//<0164> 「だって、あたしらもこの学校の生徒だぜ？　はぶにするほうがいけないことだと思うんだが？」
<0164> 「だって、あたしらもこの学校の生徒だぜ？　はぶにするほうがいけないことだと思うんだが？」

//<0165> 主審
<0165> 主審

//<0166> 「うぅ…」
<0166> 「うぅ…」

//<0167> 怯む主審。
<0167> 怯む主審。

//<0168> nothing
<0168> nothing

//<0169> nothing
<0169> nothing

//<0170> nothing
<0170> nothing

//<0171> nothing
<0171> nothing

//<0172> 関根
<0172> 関根
{52df} 33 // 0172

//<0173> 「ガルデモチームでっせ？　あんた、興味ないのかい？」
<0173> 「ガルデモチームでっせ？　あんた、興味ないのかい？」

//<0174> nothing
<0174> nothing

//<0175> nothing
<0175> nothing

//<0176> nothing
<0176> nothing

//<0177> nothing
<0177> nothing

//<0178> nothing
<0178> nothing

//<0179> 関根のその言葉で主審は落ちた。
<0179> 関根のその言葉で主審は落ちた。

//<0180> nothing
<0180> nothing

//<0181> nothing
<0181> nothing

//<0182> nothing
<0182> nothing

//<0183> nothing
<0183> nothing

//<0184> nothing
<0184> nothing

//<0185> nothing
<0185> nothing

//<0186> 主審
<0186> 主審

//<0187> 「わかったよ…」
<0187> 「わかったよ…」

//<0188> 主審
<0188> 主審

//<0189> 「じゃあ、三チームのキャプテンがじゃんけんで決めろ」
<0189> 「じゃあ、三チームのキャプテンがじゃんけんで決めろ」

//<0190> 音無
<0190> 音無

//<0191> クソ坊主
<0191> クソ坊主

//<0192> 代理人
<0192> 代理人

//<0193> 微妙すぎるイケメン
<0193> 微妙すぎるイケメン

//<0194> ロリコン
<0194> ロリコン

//<0195> メガネ仲間
<0195> メガネ仲間

//<0196> 暗算日本記録保持者
<0196> 暗算日本記録保持者

//<0197> 通り魔
<0197> 通り魔

//<0198> 記憶ナシ男
<0198> 記憶ナシ男

//<0199> 音速
<0199> 音速

//<0200> 無限
<0200> 無限

//<0201> エロ侍
<0201> エロ侍

//<0202> エロエロ団ナンバー１
<0202> エロエロ団ナンバー１

//<0203> ただのエロ少年
<0203> ただのエロ少年

//<0204> ユリブサイク
<0204> ユリブサイク

//<0205> ドピュッシー
<0205> ドピュッシー

//<0206> アメリカンエロドッグ
<0206> アメリカンエロドッグ

//<0207> ゼウス
<0207> ゼウス

//<0208> 日向markⅡ
<0208> 日向markⅡ

//<0209> 糞虫
<0209> 糞虫

//<0210> 量産型日向
<0210> 量産型日向

//<0211> ？？
<0211> ？？

//<0212> 「誰が行く？」
<0212> 「誰が行く？」

//<0213> nothing
<0213> nothing

//<0214> nothing
<0214> nothing

//<0215> nothing
<0215> nothing

//<0216> nothing
<0216> nothing

//<0217> nothing
<0217> nothing

//<0218> ひさ子
<0218> ひさ子

//<0219> 「任せろ。勝負事には強いんだ」
<0219> 「任せろ。勝負事には強いんだ」

//<0220> ひさ子が名乗り出る。
<0220> ひさ子が名乗り出る。

//<0221> nothing
<0221> nothing

//<0222> nothing
<0222> nothing

//<0223> nothing
<0223> nothing

//<0224> nothing
<0224> nothing

//<0225> nothing
<0225> nothing

//<0226> nothing
<0226> nothing

//<0227> それぞれのキャプテンが集う。
<0227> それぞれのキャプテンが集う。

//<0228> 主審
<0228> 主審

//<0229> 「最初はグー、じゃんけんぽんっ」
<0229> 「最初はグー、じゃんけんぽんっ」

//<0230> nothing
<0230> nothing

//<0231> nothing
<0231> nothing

//<0232> nothing
<0232> nothing

//<0233> nothing
<0233> nothing

//<0234> nothing
<0234> nothing

//<0235> ふたりがパー、ひさ子はチョキ。
<0235> ふたりがパー、ひさ子はチョキ。

//<0236> nothing
<0236> nothing

//<0237> nothing
<0237> nothing

//<0238> nothing
<0238> nothing

//<0239> nothing
<0239> nothing

//<0240> nothing
<0240> nothing

//<0241> ひさ子
<0241> ひさ子

//<0242> 「よしっ、一抜け！」
<0242> 「よしっ、一抜け！」

//<0243> 岩沢
<0243> 岩沢

//<0244> 「さすがだな、ひさ子」
<0244> 「さすがだな、ひさ子」

//<0245> nothing
<0245> nothing

//<0246> nothing
<0246> nothing

//<0247> nothing
<0247> nothing

//<0248> nothing
<0248> nothing

//<0249> nothing
<0249> nothing

//<0250> ひさ子
<0250> ひさ子

//<0251> 「これぐらい当然の結果だぜ」
<0251> 「これぐらい当然の結果だぜ」

//<0252> nothing
<0252> nothing

//<0253> nothing
<0253> nothing

//<0254> nothing
<0254> nothing

//<0255> nothing
<0255> nothing

//<0256> nothing
<0256> nothing

//<0257> nothing
<0257> nothing

//<0258> ふたりが拳をぶつけ合った後、ハイタッチをかわす。
<0258> ふたりが拳をぶつけ合った後、ハイタッチをかわす。

//<0259> 羨ましいほど、気心が知れた姿だった。
<0259> 羨ましいほど、気心が知れた姿だった。

//<0260> これで、第一試合を行えることになった。
<0260> これで、第一試合を行えることになった。

//<0261> その後、じゃんけんに勝ったチームと対戦することに。
<0261> その後、じゃんけんに勝ったチームと対戦することに。

//<0262> 山倉
<0262> 山倉

//<0263> 「リード通り、投げてください。あなたならそれが出来る」
<0263> 「リード通り、投げてください。あなたならそれが出来る」

//<0264> 音無
<0264> 音無

//<0265> クソ坊主
<0265> クソ坊主

//<0266> 代理人
<0266> 代理人

//<0267> 微妙すぎるイケメン
<0267> 微妙すぎるイケメン

//<0268> ロリコン
<0268> ロリコン

//<0269> メガネ仲間
<0269> メガネ仲間

//<0270> 暗算日本記録保持者
<0270> 暗算日本記録保持者

//<0271> 通り魔
<0271> 通り魔

//<0272> 記憶ナシ男
<0272> 記憶ナシ男

//<0273> 音速
<0273> 音速

//<0274> 無限
<0274> 無限

//<0275> エロ侍
<0275> エロ侍

//<0276> エロエロ団ナンバー１
<0276> エロエロ団ナンバー１

//<0277> ただのエロ少年
<0277> ただのエロ少年

//<0278> ユリブサイク
<0278> ユリブサイク

//<0279> ドピュッシー
<0279> ドピュッシー

//<0280> アメリカンエロドッグ
<0280> アメリカンエロドッグ

//<0281> ゼウス
<0281> ゼウス

//<0282> 日向markⅡ
<0282> 日向markⅡ

//<0283> 糞虫
<0283> 糞虫

//<0284> 量産型日向
<0284> 量産型日向

//<0285> ？？
<0285> ？？

//<0286> 「ああ」
<0286> 「ああ」

//<0287> ＮＰＣだけど、この男を信じるしかなかった。
<0287> ＮＰＣだけど、この男を信じるしかなかった。

//<0288> 主審
<0288> 主審

//<0289> 「次のじゃんけんで、勝ったほうが先行、負けたほうが後攻」
<0289> 「次のじゃんけんで、勝ったほうが先行、負けたほうが後攻」

//<0290> またひさ子が相手チームのキャプテンとじゃんけんをして勝ち、先攻になる。
<0290> またひさ子が相手チームのキャプテンとじゃんけんをして勝ち、先攻になる。

//<0291> どんだけじゃんけん強いんだよ…。
<0291> どんだけじゃんけん強いんだよ…。

//<0292> ルールは５回制。７点差がついた時点でコールドゲームとのこと。
<0292> ルールは５回制。７点差がついた時点でコールドゲームとのこと。

//<0293> 音無
<0293> 音無

//<0294> クソ坊主
<0294> クソ坊主

//<0295> 代理人
<0295> 代理人

//<0296> 微妙すぎるイケメン
<0296> 微妙すぎるイケメン

//<0297> ロリコン
<0297> ロリコン

//<0298> メガネ仲間
<0298> メガネ仲間

//<0299> 暗算日本記録保持者
<0299> 暗算日本記録保持者

//<0300> 通り魔
<0300> 通り魔

//<0301> 記憶ナシ男
<0301> 記憶ナシ男

//<0302> 音速
<0302> 音速

//<0303> 無限
<0303> 無限

//<0304> エロ侍
<0304> エロ侍

//<0305> エロエロ団ナンバー１
<0305> エロエロ団ナンバー１

//<0306> ただのエロ少年
<0306> ただのエロ少年

//<0307> ユリブサイク
<0307> ユリブサイク

//<0308> ドピュッシー
<0308> ドピュッシー

//<0309> アメリカンエロドッグ
<0309> アメリカンエロドッグ

//<0310> ゼウス
<0310> ゼウス

//<0311> 日向markⅡ
<0311> 日向markⅡ

//<0312> 糞虫
<0312> 糞虫

//<0313> 量産型日向
<0313> 量産型日向

//<0314> ？？
<0314> ？？

//<0315> （ピッチャーだし、せめて初戦は勝ちたいな…）
<0315> （ピッチャーだし、せめて初戦は勝ちたいな…）

//<0316> 主審
<0316> 主審

//<0317> 「プレイボール！」
<0317> 「プレイボール！」

//<0318> se_pitching2
<0318> se_pitching2

//<0319> 相手投手が投げる。
<0319> 相手投手が投げる。

//<0320> se_hitting_out
<0320> se_hitting_out

//<0321> 初球狙い。１番の鈴木はバットの芯に当てられず、ぼてぼての内野ゴロ。
<0321> 初球狙い。１番の鈴木はバットの芯に当てられず、ぼてぼての内野ゴロ。

//<0322> だが、それが功を奏した。
<0322> だが、それが功を奏した。

//<0323> se_baserunning
<0323> se_baserunning

//<0324> 一塁ベースを俊足で駆け抜けていた。
<0324> 一塁ベースを俊足で駆け抜けていた。

//<0325> 塁審
<0325> 塁審

//<0326> 「セーーーフ！！」
<0326> 「セーーーフ！！」

//<0327> 内野安打となった。
<0327> 内野安打となった。

//<0328> se_hitting_bunt
<0328> se_hitting_bunt

//<0329> 次の川相が、バントで鈴木を二塁に送った。
<0329> 次の川相が、バントで鈴木を二塁に送った。

//<0330> ここでバッターボックスに立つのは、俺にピッチングを教えてくれた山倉。
<0330> ここでバッターボックスに立つのは、俺にピッチングを教えてくれた山倉。

//<0331> またも初球狙い。
<0331> またも初球狙い。

//<0332> se_hitting_short
<0332> se_hitting_short

//<0333> するどいライナーが二遊間に飛ぶ。
<0333> するどいライナーが二遊間に飛ぶ。

//<0334> se_catch2
<0334> se_catch2

//<0335> が、横っ飛びで遊撃手がそれをキャッチしていた。体勢をすぐ立て直し、セカンドに送球。
<0335> が、横っ飛びで遊撃手がそれをキャッチしていた。体勢をすぐ立て直し、セカンドに送球。

//<0336> 鈴木はなんとか二塁に戻っていた。
<0336> 鈴木はなんとか二塁に戻っていた。

//<0337> なんてファインプレーだ。
<0337> なんてファインプレーだ。

//<0338> こんなチーム相手に勝てるのか？
<0338> こんなチーム相手に勝てるのか？

//<0339> ツーアウト二塁で迎えるのは、４番打者・村田。
<0339> ツーアウト二塁で迎えるのは、４番打者・村田。

//<0340> 山倉の話では、長打力があるという話だったけど…。
<0340> 山倉の話では、長打力があるという話だったけど…。

//<0341> se_catch2
<0341> se_catch2

//<0342> 初球は見送り。
<0342> 初球は見送り。

//<0343> 際どいコースだったから、手を出さなかったのか。
<0343> 際どいコースだったから、手を出さなかったのか。

//<0344> se_hitting_short
<0344> se_hitting_short

//<0345> キィン！
<0345> キィン！

//<0346> 第二球に反応して、バットを叩きつける。
<0346> 第二球に反応して、バットを叩きつける。

//<0347> 一二塁間を上手く抜き、ライト前に転がして、村田も出塁。
<0347> 一二塁間を上手く抜き、ライト前に転がして、村田も出塁。

//<0348> その間に鈴木も進塁して、ツーアウト一三塁と先制点のチャンスだ。
<0348> その間に鈴木も進塁して、ツーアウト一三塁と先制点のチャンスだ。

//<0349> none
<0349> none

//<0350> 次は、５番のひさ子。確か、ミートセンスがいいとのことで、任されたはず。
<0350> 次は、５番のひさ子。確か、ミートセンスがいいとのことで、任されたはず。

//<0351> 音無
<0351> 音無

//<0352> クソ坊主
<0352> クソ坊主

//<0353> 代理人
<0353> 代理人

//<0354> 微妙すぎるイケメン
<0354> 微妙すぎるイケメン

//<0355> ロリコン
<0355> ロリコン

//<0356> メガネ仲間
<0356> メガネ仲間

//<0357> 暗算日本記録保持者
<0357> 暗算日本記録保持者

//<0358> 通り魔
<0358> 通り魔

//<0359> 記憶ナシ男
<0359> 記憶ナシ男

//<0360> 音速
<0360> 音速

//<0361> 無限
<0361> 無限

//<0362> エロ侍
<0362> エロ侍

//<0363> エロエロ団ナンバー１
<0363> エロエロ団ナンバー１

//<0364> ただのエロ少年
<0364> ただのエロ少年

//<0365> ユリブサイク
<0365> ユリブサイク

//<0366> ドピュッシー
<0366> ドピュッシー

//<0367> アメリカンエロドッグ
<0367> アメリカンエロドッグ

//<0368> ゼウス
<0368> ゼウス

//<0369> 日向markⅡ
<0369> 日向markⅡ

//<0370> 糞虫
<0370> 糞虫

//<0371> 量産型日向
<0371> 量産型日向

//<0372> ？？
<0372> ？？

//<0373> （結果はどうなるか…）
<0373> （結果はどうなるか…）

//<0374> とりあえず、俺もネクストバッターズサークルに入り、相手ピッチャーとのタイミングを計る。
<0374> とりあえず、俺もネクストバッターズサークルに入り、相手ピッチャーとのタイミングを計る。

//<0375> ひさ子は素晴らしい選球眼で、３ボール１ストライクと有利なカウントに持ち込んだ。
<0375> ひさ子は素晴らしい選球眼で、３ボール１ストライクと有利なカウントに持ち込んだ。

//<0376> 二塁が空いているので、フォアボールで塁を埋めてからの満塁策という選択肢もあったはず。
<0376> 二塁が空いているので、フォアボールで塁を埋めてからの満塁策という選択肢もあったはず。

//<0377> しかし、相手バッテリーは不利なカウントでも勝負してきた。
<0377> しかし、相手バッテリーは不利なカウントでも勝負してきた。

//<0378> きっと、女子のひさ子がそこまで運動神経がいいとは思ってなかったのだろう。
<0378> きっと、女子のひさ子がそこまで運動神経がいいとは思ってなかったのだろう。

//<0379> se_hitting_long
<0379> se_hitting_long

//<0380> カーーーン！
<0380> カーーーン！

//<0381> 甘いストレートを見逃すことなく叩いていた。
<0381> 甘いストレートを見逃すことなく叩いていた。

//<0382> 前進守備だったライトの上を越えていく。
<0382> 前進守備だったライトの上を越えていく。

//<0383> 鈴木は三塁からゆうゆう生還し、村田も好スタートの後、必死に走って本塁を陥れた。
<0383> 鈴木は三塁からゆうゆう生還し、村田も好スタートの後、必死に走って本塁を陥れた。

//<0384> 先制に成功して、スコアは２－０。
<0384> 先制に成功して、スコアは２－０。

//<0385> 打ったひさ子は二塁に到達していて、追加点のチャンスは続く。
<0385> 打ったひさ子は二塁に到達していて、追加点のチャンスは続く。

//<0386> 次は俺か…。
<0386> 次は俺か…。

//<0387> 実質のキャプテン、山倉が俺の元まで走ってくる。
<0387> 実質のキャプテン、山倉が俺の元まで走ってくる。

//<0388> 山倉
<0388> 山倉

//<0389> 「相手ピッチャーはストレートは速いですが、変化球はありません。ストライクゾーンのストレート狙いで」
<0389> 「相手ピッチャーはストレートは速いですが、変化球はありません。ストライクゾーンのストレート狙いで」

//<0390> そう俺にアドバイスし、ベンチに戻る。
<0390> そう俺にアドバイスし、ベンチに戻る。

//<0391> 確かに、球種はすべてストレートだった。狙えば打てる気がした。
<0391> 確かに、球種はすべてストレートだった。狙えば打てる気がした。

//<0392> se_babox
<0392> se_babox

//<0393> そのイメージを大切に、バッターボックスに立つ。
<0393> そのイメージを大切に、バッターボックスに立つ。

//<0394> se_hitting_out
<0394> se_hitting_out

//<0395> 二回ファールする。いきなり追いつめられた。
<0395> 二回ファールする。いきなり追いつめられた。

//<0396> でもストレートだけなら、甘い球が来るまで、ファールでしのげる。
<0396> でもストレートだけなら、甘い球が来るまで、ファールでしのげる。

//<0397> se_pitching2
<0397> se_pitching2

//<0398> 第三球、これまでとは違う遅い球が来た。
<0398> 第三球、これまでとは違う遅い球が来た。

//<0399> 音無
<0399> 音無

//<0400> クソ坊主
<0400> クソ坊主

//<0401> 代理人
<0401> 代理人

//<0402> 微妙すぎるイケメン
<0402> 微妙すぎるイケメン

//<0403> ロリコン
<0403> ロリコン

//<0404> メガネ仲間
<0404> メガネ仲間

//<0405> 暗算日本記録保持者
<0405> 暗算日本記録保持者

//<0406> 通り魔
<0406> 通り魔

//<0407> 記憶ナシ男
<0407> 記憶ナシ男

//<0408> 音速
<0408> 音速

//<0409> 無限
<0409> 無限

//<0410> エロ侍
<0410> エロ侍

//<0411> エロエロ団ナンバー１
<0411> エロエロ団ナンバー１

//<0412> ただのエロ少年
<0412> ただのエロ少年

//<0413> ユリブサイク
<0413> ユリブサイク

//<0414> ドピュッシー
<0414> ドピュッシー

//<0415> アメリカンエロドッグ
<0415> アメリカンエロドッグ

//<0416> ゼウス
<0416> ゼウス

//<0417> 日向markⅡ
<0417> 日向markⅡ

//<0418> 糞虫
<0418> 糞虫

//<0419> 量産型日向
<0419> 量産型日向

//<0420> ？？
<0420> ？？

//<0421> （なんだ！？　投げミスか！？）
<0421> （なんだ！？　投げミスか！？）

//<0422> 振る
<0422> 振る

//<0423> 見送る
<0423> 見送る

//<0424> selbtn : 
<0424> selbtn : 

//<0425> バットを振る。
<0425> バットを振る。

//<0426> se_hitting_strikeout
<0426> se_hitting_strikeout

//<0427> se_catch2
<0427> se_catch2

//<0428> が、完全に腰が泳いで、空振りに終わる。
<0428> が、完全に腰が泳いで、空振りに終わる。

//<0429> いきなり軌道がぐい、と曲がった。
<0429> いきなり軌道がぐい、と曲がった。

//<0430> se_catch2
<0430> se_catch2

//<0431> 主審
<0431> 主審

//<0432> 「ストラッイクッ！！　アウッ！」
<0432> 「ストラッイクッ！！　アウッ！」

//<0433> 相手投手
<0433> 相手投手

//<0434> 「よっし、すっぽけなかった！」
<0434> 「よっし、すっぽけなかった！」

//<0435> 音無
<0435> 音無

//<0436> クソ坊主
<0436> クソ坊主

//<0437> 代理人
<0437> 代理人

//<0438> 微妙すぎるイケメン
<0438> 微妙すぎるイケメン

//<0439> ロリコン
<0439> ロリコン

//<0440> メガネ仲間
