// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 14_大山
<0000> 14_大山

//<0186> 「じゅう…ご、…じゅう～ろくっ…はぁはぁ」
<0186> 「じゅう…ご、…じゅう～ろくっ…はぁはぁ」

//<0187> nothing
<0187> nothing

//<0188> nothing
<0188> nothing

//<0189> nothing
<0189> nothing

//<0190> nothing
<0190> nothing

//<0191> nothing
<0191> nothing

//<0192> ユイ
<0192> ユイ

//<0193> 「あ、また筋トレ手伝ってくれるんですか？」
<0193> 「あ、また筋トレ手伝ってくれるんですか？」

//<0194> 音無
<0194> 音無

//<0195> クソ坊主
<0195> クソ坊主

//<0196> 代理人
<0196> 代理人

//<0197> 微妙すぎるイケメン
<0197> 微妙すぎるイケメン

//<0198> ロリコン
<0198> ロリコン

//<0199> メガネ仲間
<0199> メガネ仲間

//<0200> 暗算日本記録保持者
<0200> 暗算日本記録保持者

//<0201> 通り魔
<0201> 通り魔

//<0202> 記憶ナシ男
<0202> 記憶ナシ男

//<0203> 音速
<0203> 音速

//<0204> 無限
<0204> 無限

//<0205> エロ侍
<0205> エロ侍

//<0206> エロエロ団ナンバー１
<0206> エロエロ団ナンバー１

//<0207> ただのエロ少年
<0207> ただのエロ少年

//<0208> ユリブサイク
<0208> ユリブサイク

//<0209> ドピュッシー
<0209> ドピュッシー

//<0210> アメリカンエロドッグ
<0210> アメリカンエロドッグ

//<0211> ゼウス
<0211> ゼウス

//<0212> 日向markⅡ
<0212> 日向markⅡ

//<0213> 糞虫
<0213> 糞虫

//<0214> 量産型日向
<0214> 量産型日向

//<0215> ？？
<0215> ？？

//<0216> 「いや、話をしにきたんだけど…」
<0216> 「いや、話をしにきたんだけど…」

//<0217> nothing
<0217> nothing

//<0218> nothing
<0218> nothing

//<0219> nothing
<0219> nothing

//<0220> nothing
<0220> nothing

//<0221> nothing
<0221> nothing

//<0222> ユイ
<0222> ユイ

//<0223> 「なら取り込み中ですんで、また今度にして下さい」
<0223> 「なら取り込み中ですんで、また今度にして下さい」

//<0224> nothing
<0224> nothing

//<0225> nothing
<0225> nothing

//<0226> nothing
<0226> nothing

//<0227> nothing
<0227> nothing

//<0228> nothing
<0228> nothing

//<0229> nothing
<0229> nothing

//<0230> 邪魔するのも悪いか…。
<0230> 邪魔するのも悪いか…。

//<0231> ユイ
<0231> ユイ

//<0232> 「じゅう…ご、…じゅう～ろくっ…はぁはぁ」
<0232> 「じゅう…ご、…じゅう～ろくっ…はぁはぁ」

//<0233> 音無
<0233> 音無

//<0234> クソ坊主
<0234> クソ坊主

//<0235> 代理人
<0235> 代理人

//<0236> 微妙すぎるイケメン
<0236> 微妙すぎるイケメン

//<0237> ロリコン
<0237> ロリコン

//<0238> メガネ仲間
<0238> メガネ仲間

//<0239> 暗算日本記録保持者
<0239> 暗算日本記録保持者

//<0240> 通り魔
<0240> 通り魔

//<0241> 記憶ナシ男
<0241> 記憶ナシ男

//<0242> 音速
<0242> 音速

//<0243> 無限
<0243> 無限

//<0244> エロ侍
<0244> エロ侍

//<0245> エロエロ団ナンバー１
<0245> エロエロ団ナンバー１

//<0246> ただのエロ少年
<0246> ただのエロ少年

//<0247> ユリブサイク
<0247> ユリブサイク

//<0248> ドピュッシー
<0248> ドピュッシー

//<0249> アメリカンエロドッグ
<0249> アメリカンエロドッグ

//<0250> ゼウス
<0250> ゼウス

//<0251> 日向markⅡ
<0251> 日向markⅡ

//<0252> 糞虫
<0252> 糞虫

//<0253> 量産型日向
<0253> 量産型日向

//<0254> ？？
<0254> ？？

//<0255> 「…筋トレ中…？」
<0255> 「…筋トレ中…？」

//<0256> ユイ
<0256> ユイ

//<0257> 「じゅう…し、ちぃ…、はぁはぁ…じゅう～は～ちっ…」
<0257> 「じゅう…し、ちぃ…、はぁはぁ…じゅう～は～ちっ…」

//<0258> 話にならない…。
<0258> 話にならない…。

//<0259> 02_ゆり
<0259> 02_ゆり

//<0260> _09
<0260> _09

//<0261> ＴＫ
<0261> ＴＫ

//<0262> 「
<0262> 「

//<0263> Ｈｏｏｏーーーー！！
<0263> Ｈｏｏｏーーーー！！

//<0264> 」
<0264> 」

//<0265> ＴＫはＮＰＣの歓声の中、ヘッドスピンでくるくると回り続けていた。
<0265> ＴＫはＮＰＣの歓声の中、ヘッドスピンでくるくると回り続けていた。

//<0266> 話にならない…。
<0266> 話にならない…。

//<0267> 11_野田
<0267> 11_野田

//<0268> _12
<0268> _12

//<0269> 04_岩沢
<0269> 04_岩沢

//<0270> _21
<0270> _21

//<0271> 15_松下
<0271> 15_松下

//<0272> _00
<0272> _00

//<0273> 11_野田
<0273> 11_野田

//<0274> _00
<0274> _00

//<0275> 03_ユイ_09
<0275> 03_ユイ_09

//<0276> 04_岩沢
<0276> 04_岩沢

//<0277> _19
<0277> _19

//<0278> 15_松下
<0278> 15_松下

//<0279> _00
<0279> _00

//<0280> 11_野田
<0280> 11_野田

//<0281> _00
<0281> _00

//<0282> ここに飛んだらバグです
<0282> ここに飛んだらバグです

//<0283> 03_ユイ_10
<0283> 03_ユイ_10

//<0284> 15_松下
<0284> 15_松下

//<0285> _00
<0285> _00

//<0286> 04_岩沢
<0286> 04_岩沢

//<0287> _28
<0287> _28

//<0288> 11_野田
<0288> 11_野田

//<0289> _00
<0289> _00

//<0290> 01_かなで
<0290> 01_かなで

//<0291> _08
<0291> _08

//<0292> 03_ユイ_11
<0292> 03_ユイ_11

//<0293> 04_岩沢
<0293> 04_岩沢

//<0294> _28
<0294> _28

//<0295> 11_野田
<0295> 11_野田

//<0296> _00
<0296> _00

//<0297> 03_ユイ_12
<0297> 03_ユイ_12

//<0298> 15_松下
<0298> 15_松下

//<0299> _00
<0299> _00

//<0300> 15_松下スリム
<0300> 15_松下スリム

//<0301> 11_野田
<0301> 11_野田

//<0302> _00
<0302> _00

//<0303> 01_かなで
<0303> 01_かなで

//<0304> _09
<0304> _09

//<0305> 04_岩沢
<0305> 04_岩沢

//<0306> _23
<0306> _23

//<0307> 03_ユイ_15
<0307> 03_ユイ_15

//<0308> 04_岩沢
<0308> 04_岩沢

//<0309> _16
<0309> _16

//<0310> 11_野田
<0310> 11_野田

//<0311> _00
<0311> _00

//<0312> 15_松下
<0312> 15_松下

//<0313> _00
<0313> _00

//<0314> 15_松下スリム
<0314> 15_松下スリム

//<0315> 03_ユイ_16
<0315> 03_ユイ_16

//<0316> 04_岩沢
<0316> 04_岩沢

//<0317> _17
<0317> _17

//<0318> 15_松下
<0318> 15_松下

//<0319> _12
<0319> _12

//<0320> 15_松下スリム
<0320> 15_松下スリム

//<0321> 04_岩沢
<0321> 04_岩沢

//<0322> _18
<0322> _18

//<0323> 15_松下
<0323> 15_松下

//<0324> _13
<0324> _13

//<0325> かなでは眠ったままでいる。
<0325> かなでは眠ったままでいる。

//<0326> 回復するまで、そっとしておこう。
<0326> 回復するまで、そっとしておこう。

//<0327> dummy
<0327> dummy

//<0328> _sc_map
<0328> _sc_map

//<0329> _sc_map
<0329> _sc_map

//<0330> _sc_map
<0330> _sc_map

//<0331> _sc_map
<0331> _sc_map

//<0332> _sc_map
<0332> _sc_map

//<0333> _sc_map
<0333> _sc_map

//<0334> _sc_map
<0334> _sc_map

//<0335> _sc_map
<0335> _sc_map

//<0336> _sc_map
<0336> _sc_map

//<0337> _sc_map
<0337> _sc_map

//<0338> _sc_map
<0338> _sc_map

//<0339> _sc_map
<0339> _sc_map

//<0340> _sc_map
<0340> _sc_map

//<0341> _sc_map
<0341> _sc_map

//<0342> bg_kuro
<0342> bg_kuro

//<0343> ep04_bg008
<0343> ep04_bg008

//<0344> mt0102
<0344> mt0102

//<0345> mt0203
<0345> mt0203

//<0346> bg_kuro
<0346> bg_kuro

//<0347> bg_kuro
<0347> bg_kuro

//<0348> ep03_bg015
<0348> ep03_bg015

//<0349> iw0205
<0349> iw0205

//<0350> iw0108
<0350> iw0108

//<0351> bg_kuro
<0351> bg_kuro

//<0352> bg_kuro
<0352> bg_kuro

//<0353> ep99_bg011
<0353> ep99_bg011

//<0354> yi0109
<0354> yi0109

//<0355> yi010311a0
<0355> yi010311a0

//<0356> yi0101
<0356> yi0101

//<0357> yi0109
<0357> yi0109

//<0358> yi0109
<0358> yi0109

//<0359> bg_kuro
<0359> bg_kuro

//<0360> bg_kuro
<0360> bg_kuro

//<0361> ep03_bg010
<0361> ep03_bg010

//<0362> tk0103
<0362> tk0103

//<0363> bg_kuro
<0363> bg_kuro

//<0364> _sc_map
<0364> _sc_map

//<0365> _sc_map
<0365> _sc_map

//<0366> _sc_map
<0366> _sc_map

//<0367> _sc_map
<0367> _sc_map

//<0368> _sc_map
<0368> _sc_map

//<0369> _sc_map
<0369> _sc_map

//<0370> _sc_map
<0370> _sc_map

//<0371> _sc_map
<0371> _sc_map

//<0372> _sc_map
<0372> _sc_map

//<0373> ep01_bg032
<0373> ep01_bg032

//<0374> bg_kuro
<0374> bg_kuro

