// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 天使…いや、立華が前から歩いてくる。
<0000> 天使…いや、立華が前から歩いてくる。
//<0226> nothing
<0226> nothing

//<0227> nothing
<0227> nothing

//<0228> nothing
<0228> nothing

//<0229> 遊佐
<0229> 遊佐

//<0230> 「それを天使に伝えると、ゆりっぺさんに報告することになります」
<0230> 「それを天使に伝えると、ゆりっぺさんに報告することになります」

//<0231> 音無
<0231> 音無

//<0232> クソ坊主
<0232> クソ坊主

//<0233> 代理人
<0233> 代理人

//<0234> 微妙すぎるイケメン
<0234> 微妙すぎるイケメン

//<0235> ロリコン
<0235> ロリコン

//<0236> メガネ仲間
<0236> メガネ仲間

//<0237> 暗算日本記録保持者
<0237> 暗算日本記録保持者

//<0238> 通り魔
<0238> 通り魔

//<0239> 記憶ナシ男
<0239> 記憶ナシ男

//<0240> 音速
<0240> 音速

//<0241> 無限
<0241> 無限

//<0242> エロ侍
<0242> エロ侍

//<0243> エロエロ団ナンバー１
<0243> エロエロ団ナンバー１

//<0244> ただのエロ少年
<0244> ただのエロ少年

//<0245> ユリブサイク
<0245> ユリブサイク

//<0246> ドピュッシー
<0246> ドピュッシー

//<0247> アメリカンエロドッグ
<0247> アメリカンエロドッグ

//<0248> ゼウス
<0248> ゼウス

//<0249> 日向markⅡ
<0249> 日向markⅡ

//<0250> 糞虫
<0250> 糞虫

//<0251> 量産型日向
<0251> 量産型日向

//<0252> ？？
<0252> ？？

//<0253> 「くっ…」
<0253> 「くっ…」

//<0254> nothing
<0254> nothing

//<0255> nothing
<0255> nothing

//<0256> nothing
<0256> nothing

//<0257> nothing
<0257> nothing

//<0258> nothing
<0258> nothing

//<0259> 天使
<0259> 天使

//<0260> かなで
<0260> かなで

//<0261> 女生徒
<0261> 女生徒

//<0262> ？？
<0262> ？？

//<0263> 「…？」
<0263> 「…？」

//<0264> 立華はいつものように脳天気に顔を傾げていた。
<0264> 立華はいつものように脳天気に顔を傾げていた。

//<0265> nothing
<0265> nothing

//<0266> nothing
<0266> nothing

//<0267> nothing
<0267> nothing

//<0268> nothing
<0268> nothing

//<0269> nothing
<0269> nothing

//<0270> 遊佐
<0270> 遊佐

//<0271> 「では移動を」
<0271> 「では移動を」

//<0272> 音無
<0272> 音無

//<0273> クソ坊主
<0273> クソ坊主

//<0274> 代理人
<0274> 代理人

//<0275> 微妙すぎるイケメン
<0275> 微妙すぎるイケメン

//<0276> ロリコン
<0276> ロリコン

//<0277> メガネ仲間
<0277> メガネ仲間

//<0278> 暗算日本記録保持者
<0278> 暗算日本記録保持者

//<0279> 通り魔
<0279> 通り魔

//<0280> 記憶ナシ男
<0280> 記憶ナシ男

//<0281> 音速
<0281> 音速

//<0282> 無限
<0282> 無限

//<0283> エロ侍
<0283> エロ侍

//<0284> エロエロ団ナンバー１
<0284> エロエロ団ナンバー１

//<0285> ただのエロ少年
<0285> ただのエロ少年

//<0286> ユリブサイク
<0286> ユリブサイク

//<0287> ドピュッシー
<0287> ドピュッシー

//<0288> アメリカンエロドッグ
<0288> アメリカンエロドッグ

//<0289> ゼウス
<0289> ゼウス

//<0290> 日向markⅡ
<0290> 日向markⅡ

//<0291> 糞虫
<0291> 糞虫

//<0292> 量産型日向
<0292> 量産型日向

//<0293> ？？
<0293> ？？

//<0294> 「ああ…」
<0294> 「ああ…」

//<0295> 遊佐の目がある以上、これ以上は何もできない。
<0295> 遊佐の目がある以上、これ以上は何もできない。

//<0296> 俺は立華の前から去った。
<0296> 俺は立華の前から去った。

//<0297> やはりゆりと直接繋がっている遊佐の存在は、味方だとしても侮れない…。
<0297> やはりゆりと直接繋がっている遊佐の存在は、味方だとしても侮れない…。

//<0298> その歩く姿を見過ごした。
<0298> その歩く姿を見過ごした。

//<0299> nothing
<0299> nothing

//<0300> nothing
<0300> nothing

//<0301> nothing
<0301> nothing

//<0302> nothing
<0302> nothing

//<0303> nothing
<0303> nothing

//<0304> 天使が前から歩いてくる。
<0304> 天使が前から歩いてくる。

//<0305> 生徒会長解任直後。
<0305> 生徒会長解任直後。

//<0306> 俺は逃げずに立ったままでいた。
<0306> 俺は逃げずに立ったままでいた。

//<0307> すれ違い様。
<0307> すれ違い様。

//<0308> nothing
<0308> nothing

//<0309> nothing
<0309> nothing

//<0310> nothing
<0310> nothing

//<0311> nothing
<0311> nothing

//<0312> nothing
<0312> nothing

//<0313> 天使
<0313> 天使

//<0314> かなで
<0314> かなで

//<0315> 女生徒
<0315> 女生徒

//<0316> ？？
<0316> ？？

//<0317> 「授業が始まるわよ」
<0317> 「授業が始まるわよ」

//<0318> nothing
<0318> nothing

//<0319> nothing
<0319> nothing

//<0320> nothing
<0320> nothing

//<0321> nothing
<0321> nothing

//<0322> nothing
<0322> nothing

//<0323> 天使
<0323> 天使

//<0324> かなで
<0324> かなで

//<0325> 女生徒
<0325> 女生徒

//<0326> ？？
<0326> ？？

//<0327> 「とはもう言えない立場ね…」
<0327> 「とはもう言えない立場ね…」

//<0328> nothing
<0328> nothing

//<0329> nothing
<0329> nothing

//<0330> nothing
<0330> nothing

//<0331> nothing
<0331> nothing

//<0332> nothing
<0332> nothing

//<0333> nothing
<0333> nothing

//<0334> それだけを言って、歩いていく。
<0334> それだけを言って、歩いていく。

//<0335> 事実上の解任。やはり、精神的にかなり消耗しているようだ。
<0335> 事実上の解任。やはり、精神的にかなり消耗しているようだ。

//<0336> dummy
<0336> dummy

//<0337> bg_kuro
<0337> bg_kuro

//<0338> ep88_bg011
<0338> ep88_bg011

//<0339> m204
<0339> m204

//<0340> kn0901
<0340> kn0901

//<0341> kn0909
<0341> kn0909

//<0342> kn0901
<0342> kn0901

//<0343> kn0901_05
<0343> kn0901_05

//<0344> kn0901
<0344> kn0901

//<0345> kn0901
<0345> kn0901

//<0346> kn0902_01
<0346> kn0902_01

//<0347> sys_bk_selline00
<0347> sys_bk_selline00

//<0348> bg_kuro
<0348> bg_kuro

//<0349> ep88_bg007
<0349> ep88_bg007

//<0350> kn0901
<0350> kn0901

//<0351> bg_kuro
<0351> bg_kuro

//<0352> ep88_bg016
<0352> ep88_bg016

//<0353> ep06_bg008
<0353> ep06_bg008

//<0354> bs3_kn0902_01
<0354> bs3_kn0902_01

//<0355> bs3_kn0902_01
<0355> bs3_kn0902_01

//<0356> bs3_kn0902_01
<0356> bs3_kn0902_01

//<0357> bs3_kn0902_01
<0357> bs3_kn0902_01

//<0358> bs3_kn0902_01
<0358> bs3_kn0902_01

//<0359> bs3_kn0902_01
<0359> bs3_kn0902_01

//<0360> ep88_bg016
<0360> ep88_bg016

//<0361> bg_kuro
<0361> bg_kuro

//<0362> ep06_bg008
<0362> ep06_bg008

//<0363> kn0101
<0363> kn0101

//<0364> ys0101
<0364> ys0101

//<0365> ys0101
<0365> ys0101

//<0366> ys0104
<0366> ys0104

//<0367> kn0102_01
<0367> kn0102_01

//<0368> ys0101
<0368> ys0101

//<0369> bg_kuro
<0369> bg_kuro

//<0370> kn0901
<0370> kn0901

//<0371> kn0901_05
<0371> kn0901_05

//<0372> kn0902_01
<0372> kn0902_01

//<0373> bg_kuro
<0373> bg_kuro

