// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> タラリ汗・右（残）／（消）bs1_正面座標設定されていません
<0085> 座標設定されていません

//<0086> 座標設定されていません
<0086> 座標設定されていません

//<0087> 座標設定されていません
<0087> 座標設定されていません

//<0088> ご機嫌・左bs1_斜め座標設定されていません
<0088> ご機嫌・左bs1_斜め座標設定されていません

//<0089> ご機嫌・左bs2_斜め座標設定されていません
<0089> ご機嫌・左bs2_斜め座標設定されていません

//<0090> ご機嫌・左bs3_斜め座標設定されていません
<0090> ご機嫌・左bs3_斜め座標設定されていません

//<0091> ご機嫌・右bs1_正面座標設定されていません
<0091> ご機嫌・右bs1_正面座標設定されていません

//<0092> ご機嫌・右bs2_正面座標設定されていません
<0092> ご機嫌・右bs2_正面座標設定されていません

//<0093> ご機嫌・右bs3_正面座標設定されていません
<0093> ご機嫌・右bs3_正面座標設定されていません

//<0094> 座標設定されていません
<0094> 座標設定されていません

//<0095> 座標設定されていません
<0095> 座標設定されていません

//<0096> 座標設定されていません
<0096> 座標設定されていません

//<0097> ご機嫌・右bs1_斜め座標設定されていません
<0097> ご機嫌・右bs1_斜め座標設定されていません

//<0098> ご機嫌・右bs2_斜め座標設定されていません
<0098> ご機嫌・右bs2_斜め座標設定されていません

//<0099> ご機嫌・右bs3_斜め座標設定されていません
<0099> ご機嫌・右bs3_斜め座標設定されていません

//<0100> ？bs1_正面座標設定されていません
<0100> ？bs1_正面座標設定されていません

//<0101> ？bs2_正面座標設定されていません
<0101> ？bs2_正面座標設定されていません

//<0102> ？bs3_正面座標設定されていません
<0102> ？bs3_正面座標設定されていません

//<0103> 座標設定されていません
<0103> 座標設定されていません

//<0104> 座標設定されていません
<0104> 座標設定されていません

//<0105> 座標設定されていません
<0105> 座標設定されていません

//<0106> ？bs1_斜め座標設定されていません
<0106> ？bs1_斜め座標設定されていません

//<0107> ？bs2_斜め座標設定されていません
<0107> ？bs2_斜め座標設定されていません

//<0108> ？bs3_斜め座標設定されていません
<0108> ？bs3_斜め座標設定されていません

//<0109> イライラbs1_正面座標設定されていません
<0109> イライラbs1_正面座標設定されていません

//<0110> イライラbs2_正面座標設定されていません
<0110> イライラbs2_正面座標設定されていません

//<0111> イライラbs3_正面座標設定されていません
<0111> イライラbs3_正面座標設定されていません

//<0112> 座標設定されていません
<0112> 座標設定されていません

//<0113> 座標設定されていません
<0113> 座標設定されていません

//<0114> 座標設定されていません
<0114> 座標設定されていません

//<0115> イライラbs1_斜め座標設定されていません
<0115> イライラbs1_斜め座標設定されていません

//<0116> イライラbs2_斜め座標設定されていません
<0116> イライラbs2_斜め座標設定されていません

//<0117> イライラbs3_斜め座標設定されていません
<0117> イライラbs3_斜め座標設定されていません

//<0118> あたふたbs1_正面座標設定されていません
<0118> あたふたbs1_正面座標設定されていません

//<0119> あたふたbs2_正面座標設定されていません
<0119> あたふたbs2_正面座標設定されていません

//<0120> あたふたbs3_正面座標設定されていません
<0120> あたふたbs3_正面座標設定されていません

//<0121> 座標設定されていません
<0121> 座標設定されていません

//<0122> 座標設定されていません
<0122> 座標設定されていません

//<0123> 座標設定されていません
<0123> 座標設定されていません

//<0124> あたふたbs1_斜め座標設定されていません
<0124> あたふたbs1_斜め座標設定されていません

//<0125> あたふたbs2_斜め座標設定されていません
<0125> あたふたbs2_斜め座標設定されていません

//<0126> あたふたbs3_斜め座標設定されていません
<0126> あたふたbs3_斜め座標設定されていません

//<0127> dummy
<0127> dummy

