// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 日向
//<0112> nothing
<0112> nothing

//<0113> nothing
<0113> nothing

//<0114> nothing
<0114> nothing

//<0115> ゆり
<0115> ゆり

//<0116> 女生徒
<0116> 女生徒

//<0117> ？？
<0117> ？？

//<0118> 「では解散！」
<0118> 「では解散！」

//<0119> nothing
<0119> nothing

//<0120> nothing
<0120> nothing

//<0121> nothing
<0121> nothing

//<0122> nothing
<0122> nothing

//<0123> nothing
<0123> nothing

//<0124> 廊下に出て、日向が足を止める。
<0124> 廊下に出て、日向が足を止める。

//<0125> それを囲むのは、俺と椎名と野田だ。
<0125> それを囲むのは、俺と椎名と野田だ。

//<0126> 野田
<0126> 野田

//<0127> 男Ｆ
<0127> 男Ｆ

//<0128> イケパイ
<0128> イケパイ

//<0129> 男
<0129> 男

//<0130> ？？
<0130> ？？

//<0131> 「バスケのルール知らないんだが…」
<0131> 「バスケのルール知らないんだが…」

//<0132> nothing
<0132> nothing

//<0133> nothing
<0133> nothing

//<0134> nothing
<0134> nothing

//<0135> nothing
<0135> nothing

//<0136> nothing
<0136> nothing

//<0137> 日向
<0137> 日向

//<0138> 男Ｂ
<0138> 男Ｂ

//<0139> エロエロ団総帥
<0139> エロエロ団総帥

//<0140> イケチン
<0140> イケチン

//<0141> ホモ太
<0141> ホモ太

//<0142> ひなチン
<0142> ひなチン

//<0143> 秀樹
<0143> 秀樹

//<0144> 男子生徒
<0144> 男子生徒

//<0145> ？？
<0145> ？？

//<0146> 「だろうな…」
<0146> 「だろうな…」

//<0147> 椎名
<0147> 椎名

//<0148> 「私はどうすればいい？」
<0148> 「私はどうすればいい？」

//<0149> nothing
<0149> nothing

//<0150> nothing
<0150> nothing

//<0151> nothing
<0151> nothing

//<0152> nothing
<0152> nothing

//<0153> nothing
<0153> nothing

//<0154> 日向
<0154> 日向

//<0155> 男Ｂ
<0155> 男Ｂ

//<0156> エロエロ団総帥
<0156> エロエロ団総帥

//<0157> イケチン
<0157> イケチン

//<0158> ホモ太
<0158> ホモ太

//<0159> ひなチン
<0159> ひなチン

//<0160> 秀樹
<0160> 秀樹

//<0161> 男子生徒
<0161> 男子生徒

//<0162> ？？
<0162> ？？

//<0163> 「ええと…」
<0163> 「ええと…」

//<0164> 音無
<0164> 音無

//<0165> クソ坊主
<0165> クソ坊主

//<0166> 代理人
<0166> 代理人

//<0167> 微妙すぎるイケメン
<0167> 微妙すぎるイケメン

//<0168> ロリコン
<0168> ロリコン

//<0169> メガネ仲間
<0169> メガネ仲間

//<0170> 暗算日本記録保持者
<0170> 暗算日本記録保持者

//<0171> 通り魔
<0171> 通り魔

//<0172> 記憶ナシ男
<0172> 記憶ナシ男

//<0173> 音速
<0173> 音速

//<0174> 無限
<0174> 無限

//<0175> エロ侍
<0175> エロ侍

//<0176> エロエロ団ナンバー１
<0176> エロエロ団ナンバー１

//<0177> ただのエロ少年
<0177> ただのエロ少年

//<0178> ユリブサイク
<0178> ユリブサイク

//<0179> ドピュッシー
<0179> ドピュッシー

//<0180> アメリカンエロドッグ
<0180> アメリカンエロドッグ

//<0181> ゼウス
<0181> ゼウス

//<0182> 日向markⅡ
<0182> 日向markⅡ

//<0183> 糞虫
<0183> 糞虫

//<0184> 量産型日向
<0184> 量産型日向

//<0185> ？？
<0185> ？？

//<0186> 「お前はバスケ、得意なのか？」
<0186> 「お前はバスケ、得意なのか？」

//<0187> nothing
<0187> nothing

//<0188> nothing
<0188> nothing

//<0189> nothing
<0189> nothing

//<0190> nothing
<0190> nothing

//<0191> nothing
<0191> nothing

//<0192> 日向
<0192> 日向

//<0193> 男Ｂ
<0193> 男Ｂ

//<0194> エロエロ団総帥
<0194> エロエロ団総帥

//<0195> イケチン
<0195> イケチン

//<0196> ホモ太
<0196> ホモ太

//<0197> ひなチン
<0197> ひなチン

//<0198> 秀樹
<0198> 秀樹

//<0199> 男子生徒
<0199> 男子生徒

//<0200> ？？
<0200> ？？

//<0201> 「一気に質問してくるなぁーー！！」
<0201> 「一気に質問してくるなぁーー！！」

//<0202> 日向が一喝する。
<0202> 日向が一喝する。

//<0203> ………。
<0203> ………。

//<0204> 皆が黙り込む。
<0204> 皆が黙り込む。

//<0205> nothing
<0205> nothing

//<0206> nothing
<0206> nothing

//<0207> nothing
<0207> nothing

//<0208> nothing
<0208> nothing

//<0209> nothing
<0209> nothing

//<0210> 日向
<0210> 日向

//<0211> 男Ｂ
<0211> 男Ｂ

//<0212> エロエロ団総帥
<0212> エロエロ団総帥

//<0213> イケチン
<0213> イケチン

//<0214> ホモ太
<0214> ホモ太

//<0215> ひなチン
<0215> ひなチン

//<0216> 秀樹
<0216> 秀樹

//<0217> 男子生徒
<0217> 男子生徒

//<0218> ？？
<0218> ？？

//<0219> 「…いいか、よく聞け」
<0219> 「…いいか、よく聞け」

//<0220> ようやく日向が口を開いた。
<0220> ようやく日向が口を開いた。

//<0221> nothing
<0221> nothing

//<0222> nothing
<0222> nothing

//<0223> nothing
<0223> nothing

//<0224> nothing
<0224> nothing

//<0225> nothing
<0225> nothing

//<0226> 日向
<0226> 日向

//<0227> 男Ｂ
<0227> 男Ｂ

//<0228> エロエロ団総帥
<0228> エロエロ団総帥

//<0229> イケチン
<0229> イケチン

//<0230> ホモ太
<0230> ホモ太

//<0231> ひなチン
<0231> ひなチン

//<0232> 秀樹
<0232> 秀樹

//<0233> 男子生徒
<0233> 男子生徒

//<0234> ？？
<0234> ？？

//<0235> 「俺もバスケのルールは細かいとこまではよくわかんねぇ…。ただ、ボールを持ち続けないこと。ドリブルだけは続けておくこと…」
<0235> 「俺もバスケのルールは細かいとこまではよくわかんねぇ…。ただ、ボールを持ち続けないこと。ドリブルだけは続けておくこと…」

//<0236> 野田
<0236> 野田

//<0237> 男Ｆ
<0237> 男Ｆ

//<0238> イケパイ
<0238> イケパイ

//<0239> 男
<0239> 男

//<0240> ？？
<0240> ？？

//<0241> 「どりぶる？」
<0241> 「どりぶる？」

//<0242> nothing
<0242> nothing

//<0243> nothing
<0243> nothing

//<0244> nothing
<0244> nothing

//<0245> nothing
<0245> nothing

//<0246> nothing
<0246> nothing

//<0247> 日向
<0247> 日向

//<0248> 男Ｂ
<0248> 男Ｂ

//<0249> エロエロ団総帥
<0249> エロエロ団総帥

//<0250> イケチン
<0250> イケチン

//<0251> ホモ太
<0251> ホモ太

//<0252> ひなチン
<0252> ひなチン

//<0253> 秀樹
<0253> 秀樹

//<0254> 男子生徒
<0254> 男子生徒

//<0255> ？？
<0255> ？？

//<0256> 「それすらわからないってんなら、ボールを受け取ったり奪ったら、すぐ椎名に投げろ」
<0256> 「それすらわからないってんなら、ボールを受け取ったり奪ったら、すぐ椎名に投げろ」

//<0257> nothing
<0257> nothing

//<0258> nothing
<0258> nothing

//<0259> nothing
<0259> nothing

//<0260> nothing
<0260> nothing

//<0261> 椎名
<0261> 椎名

//<0262> 「で、それを受け取った私はどうすればいい」
<0262> 「で、それを受け取った私はどうすればいい」

//<0263> nothing
<0263> nothing

//<0264> nothing
<0264> nothing

//<0265> nothing
<0265> nothing

//<0266> nothing
<0266> nothing

//<0267> nothing
<0267> nothing

//<0268> 日向
<0268> 日向

//<0269> 男Ｂ
<0269> 男Ｂ

//<0270> エロエロ団総帥
<0270> エロエロ団総帥

//<0271> イケチン
<0271> イケチン

//<0272> ホモ太
<0272> ホモ太

//<0273> ひなチン
<0273> ひなチン

//<0274> 秀樹
<0274> 秀樹

//<0275> 男子生徒
<0275> 男子生徒

//<0276> ？？
<0276> ？？

//<0277> 「椎名は相手ゴールの下で待機。受け取ったら、ひとっ飛びで、相手のゴールにボールを上から投げ入れろ」
<0277> 「椎名は相手ゴールの下で待機。受け取ったら、ひとっ飛びで、相手のゴールにボールを上から投げ入れろ」

//<0278> nothing
<0278> nothing

//<0279> nothing
<0279> nothing

//<0280> nothing
<0280> nothing

//<0281> nothing
<0281> nothing

//<0282> nothing
<0282> nothing

//<0283> 椎名
<0283> 椎名

//<0284> 「ゴールとやらがわからないのだが」
<0284> 「ゴールとやらがわからないのだが」

//<0285> nothing
<0285> nothing

//<0286> nothing
<0286> nothing

//<0287> nothing
<0287> nothing

//<0288> nothing
<0288> nothing

//<0289> nothing
<0289> nothing

//<0290> 日向
<0290> 日向

//<0291> 男Ｂ
<0291> 男Ｂ

//<0292> エロエロ団総帥
<0292> エロエロ団総帥

//<0293> イケチン
<0293> イケチン

//<0294> ホモ太
<0294> ホモ太

//<0295> ひなチン
<0295> ひなチン

//<0296> 秀樹
<0296> 秀樹

//<0297> 男子生徒
<0297> 男子生徒

//<0298> ？？
<0298> ？？

//<0299> 「ここからは大会を見学しながら教えてやるよ」
<0299> 「ここからは大会を見学しながら教えてやるよ」

//<0300> nothing
<0300> nothing

//<0301> nothing
<0301> nothing

//<0302> nothing
<0302> nothing

//<0303> nothing
<0303> nothing

//<0304> nothing
<0304> nothing

//<0305> 日向
<0305> 日向

//<0306> 男Ｂ
<0306> 男Ｂ

//<0307> エロエロ団総帥
<0307> エロエロ団総帥

//<0308> イケチン
<0308> イケチン

//<0309> ホモ太
<0309> ホモ太

//<0310> ひなチン
<0310> ひなチン

//<0311> 秀樹
<0311> 秀樹

//<0312> 男子生徒
<0312> 男子生徒

//<0313> ？？
<0313> ？？

//<0314> 「おっと、そこのきみ、球技大会のバスケに参加してくれないか？」
<0314> 「おっと、そこのきみ、球技大会のバスケに参加してくれないか？」

//<0315> たまたま、学習棟で最初に出会った女生徒をそう口説く。
<0315> たまたま、学習棟で最初に出会った女生徒をそう口説く。

//<0316> 女生徒
<0316> 女生徒

//<0317> 「え？」
<0317> 「え？」

//<0318> 後ろを振り返る。
<0318> 後ろを振り返る。

//<0319> nothing
<0319> nothing

//<0320> nothing
<0320> nothing

//<0321> nothing
<0321> nothing

//<0322> nothing
<0322> nothing

//<0323> nothing
<0323> nothing

//<0324> 日向
<0324> 日向

//<0325> 男Ｂ
<0325> 男Ｂ

//<0326> エロエロ団総帥
<0326> エロエロ団総帥

//<0327> イケチン
<0327> イケチン

//<0328> ホモ太
<0328> ホモ太

//<0329> ひなチン
<0329> ひなチン

//<0330> 秀樹
<0330> 秀樹

//<0331> 男子生徒
<0331> 男子生徒

//<0332> ？？
<0332> ？？

//<0333> 「いや、あんただよ。コート内で立ってるだけでいいから」
<0333> 「いや、あんただよ。コート内で立ってるだけでいいから」

//<0334> 女生徒
<0334> 女生徒

//<0335> 「は！？　あ、あたしですか！？」
<0335> 「は！？　あ、あたしですか！？」

//<0336> nothing
<0336> nothing

//<0337> nothing
<0337> nothing

//<0338> nothing
<0338> nothing

//<0339> nothing
<0339> nothing

//<0340> nothing
<0340> nothing

//<0341> 日向
<0341> 日向

//<0342> 男Ｂ
<0342> 男Ｂ

//<0343> エロエロ団総帥
<0343> エロエロ団総帥

//<0344> イケチン
<0344> イケチン

//<0345> ホモ太
<0345> ホモ太

//<0346> ひなチン
<0346> ひなチン

//<0347> 秀樹
<0347> 秀樹

//<0348> 男子生徒
<0348> 男子生徒

//<0349> ？？
<0349> ？？

//<0350> 「ああ」
<0350> 「ああ」

//<0351> nothing
<0351> nothing

//<0352> nothing
<0352> nothing

//<0353> nothing
<0353> nothing

//<0354> nothing
<0354> nothing

//<0355> nothing
<0355> nothing

//<0356> 日向
<0356> 日向

//<0357> 男Ｂ
<0357> 男Ｂ

//<0358> エロエロ団総帥
<0358> エロエロ団総帥

//<0359> イケチン
<0359> イケチン

//<0360> ホモ太
<0360> ホモ太

//<0361> ひなチン
<0361> ひなチン

//<0362> 秀樹
<0362> 秀樹

//<0363> 男子生徒
<0363> 男子生徒

//<0364> ？？
<0364> ？？

//<0365> 「ほら、女性も居るしさ」
<0365> 「ほら、女性も居るしさ」

//<0366> そう言って、椎名の背中を押す。
<0366> そう言って、椎名の背中を押す。

//<0367> nothing
<0367> nothing

//<0368> nothing
<0368> nothing

//<0369> nothing
<0369> nothing

//<0370> nothing
<0370> nothing

//<0371> nothing
<0371> nothing

//<0372> 日向
<0372> 日向

//<0373> 男Ｂ
<0373> 男Ｂ

//<0374> エロエロ団総帥
<0374> エロエロ団総帥

//<0375> イケチン
<0375> イケチン

//<0376> ホモ太
<0376> ホモ太

//<0377> ひなチン
<0377> ひなチン

//<0378> 秀樹
<0378> 秀樹

//<0379> 男子生徒
<0379> 男子生徒

//<0380> ？？
<0380> ？？

//<0381> 「なんか言ってやれ」
<0381> 「なんか言ってやれ」

//<0382> nothing
<0382> nothing

//<0383> nothing
<0383> nothing

//<0384> nothing
<0384> nothing

//<0385> nothing
<0385> nothing

//<0386> nothing
<0386> nothing

//<0387> se_shiina
<0387> se_shiina

//<0388> nothing
<0388> nothing

//<0389> nothing
<0389> nothing

//<0390> nothing
<0390> nothing

//<0391> nothing
<0391> nothing

//<0392> nothing
<0392> nothing

//<0393> 椎名
<0393> 椎名

//<0394> 「売れてるものが良いものだったら世界一うまいラーメンはカップラーメンだ」
<0394> 「売れてるものが良いものだったら世界一うまいラーメンはカップラーメンだ」

//<0395> 日向
<0395> 日向

//<0396> 男Ｂ
<0396> 男Ｂ

//<0397> エロエロ団総帥
<0397> エロエロ団総帥

//<0398> イケチン
<0398> イケチン

//<0399> ホモ太
<0399> ホモ太

//<0400> ひなチン
<0400> ひなチン

//<0401> 秀樹
<0401> 秀樹

//<0402> 男子生徒
<0402> 男子生徒

//<0403> ？？
<0403> ？？

//<0404> 「どれだけ古いギャグの天丼だよぉーー！！」
<0404> 「どれだけ古いギャグの天丼だよぉーー！！」

//<0405> さっぱり意味がわからない。きっと俺がこの世界に来る以前の話なのだろう。
<0405> さっぱり意味がわからない。きっと俺がこの世界に来る以前の話なのだろう。

//<0406> nothing
<0406> nothing

//<0407> nothing
<0407> nothing

//<0408> nothing
<0408> nothing

//<0409> nothing
<0409> nothing

//<0410> nothing
<0410> nothing

//<0411> nothing
<0411> nothing

//<0412> 女生徒
<0412> 女生徒

//<0413> 「ですよね…。私は美術部ですが、まさに芸術の神髄を謳った胸を打つ言葉です…」
<0413> 「ですよね…。私は美術部ですが、まさに芸術の神髄を謳った胸を打つ言葉です…」

//<0414> 日向
<0414> 日向

//<0415> 男Ｂ
<0415> 男Ｂ

//<0416> エロエロ団総帥
<0416> エロエロ団総帥

//<0417> イケチン
<0417> イケチン

//<0418> ホモ太
<0418> ホモ太

//<0419> ひなチン
<0419> ひなチン

//<0420> 秀樹
<0420> 秀樹

//<0421> 男子生徒
<0421> 男子生徒

//<0422> ？？
<0422> ？？

//<0423> 「え！？　心に響いてる！？」
<0423> 「え！？　心に響いてる！？」

//<0424> 女生徒
<0424> 女生徒

//<0425> 「ずっと悩んでいたんです…どんな絵がいいのか…」
<0425> 「ずっと悩んでいたんです…どんな絵がいいのか…」

//<0426> 女生徒
<0426> 女生徒

//<0427> 「でもあなたの言葉のおかげで、ようやく自分の中で、何がいい絵かわかった気がします！」
<0427> 「でもあなたの言葉のおかげで、ようやく自分の中で、何がいい絵かわかった気がします！」

//<0428> 女生徒
<0428> 女生徒

//<0429> 「ガルデモチームの応援にいくつもりでしたが、みなさんのチームに参加します！」
<0429> 「ガルデモチームの応援にいくつもりでしたが、みなさんのチームに参加します！」

//<0430> nothing
<0430> nothing

//<0431> nothing
<0431> nothing

//<0432> nothing
<0432> nothing

//<0433> nothing
<0433> nothing

//<0434> nothing
<0434> nothing

//<0435> 日向
<0435> 日向

//<0436> 男Ｂ
<0436> 男Ｂ

//<0437> エロエロ団総帥
<0437> エロエロ団総帥

//<0438> イケチン
<0438> イケチン

//<0439> ホモ太
<0439> ホモ太

//<0440> ひなチン
<0440> ひなチン

//<0441> 秀樹
<0441> 秀樹

//<0442> 男子生徒
<0442> 男子生徒

//<0443> ？？
<0443> ？？

//<0444> 「すげぇミラクルを目の前にした気分だぜ…」
<0444> 「すげぇミラクルを目の前にした気分だぜ…」

//<0445> 高橋
<0445> 高橋

//<0446> 「あたしは高橋です。美術部なので、運動神経はもちろん悪いのですが、できる限り力になりたいです」
<0446> 「あたしは高橋です。美術部なので、運動神経はもちろん悪いのですが、できる限り力になりたいです」

//<0447> nothing
<0447> nothing

//<0448> nothing
<0448> nothing

//<0449> nothing
<0449> nothing

//<0450> nothing
<0450> nothing

//<0451> nothing
<0451> nothing

//<0452> 日向
<0452> 日向

//<0453> 男Ｂ
<0453> 男Ｂ

//<0454> エロエロ団総帥
<0454> エロエロ団総帥

//<0455> イケチン
<0455> イケチン

//<0456> ホモ太
<0456> ホモ太

//<0457> ひなチン
<0457> ひなチン

//<0458> 秀樹
<0458> 秀樹

//<0459> 男子生徒
<0459> 男子生徒

//<0460> ？？
<0460> ？？

//<0461> 「ちなみに聞いておくけど、死んだ記憶はあるか？」
<0461> 「ちなみに聞いておくけど、死んだ記憶はあるか？」

//<0462> 高橋
<0462> 高橋

//<0463> 「え？　死んだ記憶？　臨死体験とか、そういうことですか？」
<0463> 「え？　死んだ記憶？　臨死体験とか、そういうことですか？」

//<0464> nothing
<0464> nothing

//<0465> nothing
<0465> nothing

//<0466> nothing
<0466> nothing

//<0467> nothing
<0467> nothing

//<0468> nothing
<0468> nothing

//<0469> 日向
<0469> 日向

//<0470> 男Ｂ
<0470> 男Ｂ

//<0471> エロエロ団総帥
<0471> エロエロ団総帥

//<0472> イケチン
<0472> イケチン

//<0473> ホモ太
<0473> ホモ太

//<0474> ひなチン
<0474> ひなチン

//<0475> 秀樹
<0475> 秀樹

//<0476> 男子生徒
<0476> 男子生徒

//<0477> ？？
<0477> ？？

//<0478> 「いや、いい。その答えだけでわかったから」
<0478> 「いや、いい。その答えだけでわかったから」

//<0479> 高橋
<0479> 高橋

//<0480> 「はぁ…」
<0480> 「はぁ…」

//<0481> ＮＰＣかを確認したようだ。
<0481> ＮＰＣかを確認したようだ。

//<0482> nothing
<0482> nothing

//<0483> nothing
<0483> nothing

//<0484> nothing
<0484> nothing

//<0485> nothing
<0485> nothing

//<0486> nothing
<0486> nothing

//<0487> 日向
<0487> 日向

//<0488> 男Ｂ
<0488> 男Ｂ

//<0489> エロエロ団総帥
<0489> エロエロ団総帥

//<0490> イケチン
<0490> イケチン

//<0491> ホモ太
<0491> ホモ太

//<0492> ひなチン
<0492> ひなチン

//<0493> 秀樹
<0493> 秀樹

//<0494> 男子生徒
<0494> 男子生徒

//<0495> ？？
<0495> ？？

//<0496> 「じゃ、頼むぜ、高橋さん！」
<0496> 「じゃ、頼むぜ、高橋さん！」

//<0497> 高橋
<0497> 高橋

//<0498> 「はいっ！」
<0498> 「はいっ！」

//<0499> 体育館へ移動する。
<0499> 体育館へ移動する。

//<0500> 高橋
<0500> 高橋

//<0501> 「あの、体操服に着替えないんですか？」
<0501> 「あの、体操服に着替えないんですか？」

//<0502> nothing
<0502> nothing

//<0503> nothing
<0503> nothing

//<0504> nothing
<0504> nothing

//<0505> nothing
<0505> nothing

//<0506> nothing
<0506> nothing

//<0507> 日向
<0507> 日向

//<0508> 男Ｂ
<0508> 男Ｂ

//<0509> エロエロ団総帥
<0509> エロエロ団総帥

//<0510> イケチン
<0510> イケチン

//<0511> ホモ太
<0511> ホモ太

//<0512> ひなチン
<0512> ひなチン

//<0513> 秀樹
<0513> 秀樹

//<0514> 男子生徒
<0514> 男子生徒

//<0515> ？？
<0515> ？？

//<0516> 「え？　ああ、俺たちは上着脱ぐ程度だけど」
<0516> 「え？　ああ、俺たちは上着脱ぐ程度だけど」

//<0517> 高橋
<0517> 高橋

//<0518> 「さすがに、スカートでは…」
<0518> 「さすがに、スカートでは…」

//<0519> nothing
<0519> nothing

//<0520> nothing
<0520> nothing

//<0521> nothing
<0521> nothing

//<0522> nothing
<0522> nothing

//<0523> nothing
<0523> nothing

//<0524> 日向
<0524> 日向

//<0525> 男Ｂ
<0525> 男Ｂ

//<0526> エロエロ団総帥
<0526> エロエロ団総帥

//<0527> イケチン
<0527> イケチン

//<0528> ホモ太
<0528> ホモ太

//<0529> ひなチン
<0529> ひなチン

//<0530> 秀樹
<0530> 秀樹

//<0531> 男子生徒
<0531> 男子生徒

//<0532> ？？
<0532> ？？

//<0533> 「じゃ、体操服に着替えてこいよ」
<0533> 「じゃ、体操服に着替えてこいよ」

//<0534> nothing
<0534> nothing

//<0535> nothing
<0535> nothing

//<0536> nothing
<0536> nothing

//<0537> nothing
<0537> nothing

//<0538> nothing
<0538> nothing

//<0539> nothing
<0539> nothing

//<0540> 高橋
<0540> 高橋

//<0541> 「あの…あなたは？」
<0541> 「あの…あなたは？」

//<0542> nothing
<0542> nothing

//<0543> nothing
<0543> nothing

//<0544> nothing
<0544> nothing

//<0545> nothing
<0545> nothing

//<0546> nothing
<0546> nothing

//<0547> 高橋が椎名に尋ねる。
<0547> 高橋が椎名に尋ねる。

//<0548> nothing
<0548> nothing

//<0549> nothing
<0549> nothing

//<0550> nothing
<0550> nothing

//<0551> nothing
<0551> nothing

//<0552> nothing
<0552> nothing

//<0553> 椎名
<0553> 椎名

//<0554> 「ん？　このままだが？」
<0554> 「ん？　このままだが？」

//<0555> 高橋
<0555> 高橋

//<0556> 「だったらいいです。あたしもこのままで」
<0556> 「だったらいいです。あたしもこのままで」

//<0557> 高橋
<0557> 高橋

//<0558> 「で、そのずっと立てている箒の意味とか訊いてもいいでしょうか」
<0558> 「で、そのずっと立てている箒の意味とか訊いてもいいでしょうか」

//<0559> nothing
<0559> nothing

//<0560> nothing
<0560> nothing

//<0561> nothing
<0561> nothing

//<0562> nothing
<0562> nothing

//<0563> nothing
<0563> nothing

//<0564> 椎名
<0564> 椎名

