// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> se_knock
<0000> se_knock
//<0336> ？？
<0336> ？？

//<0337> 「あら、どうしたの？」
<0337> 「あら、どうしたの？」

//<0338> 質問がある
<0338> 質問がある

//<0339> お前に会いに来ただけ
<0339> お前に会いに来ただけ

//<0340> selbtn : 
<0340> selbtn : 

//<0341> 音無
<0341> 音無

//<0342> クソ坊主
<0342> クソ坊主

//<0343> 代理人
<0343> 代理人

//<0344> 微妙すぎるイケメン
<0344> 微妙すぎるイケメン

//<0345> ロリコン
<0345> ロリコン

//<0346> メガネ仲間
<0346> メガネ仲間

//<0347> 暗算日本記録保持者
<0347> 暗算日本記録保持者

//<0348> 通り魔
<0348> 通り魔

//<0349> 記憶ナシ男
<0349> 記憶ナシ男

//<0350> 音速
<0350> 音速

//<0351> 無限
<0351> 無限

//<0352> エロ侍
<0352> エロ侍

//<0353> エロエロ団ナンバー１
<0353> エロエロ団ナンバー１

//<0354> ただのエロ少年
<0354> ただのエロ少年

//<0355> ユリブサイク
<0355> ユリブサイク

//<0356> ドピュッシー
<0356> ドピュッシー

//<0357> アメリカンエロドッグ
<0357> アメリカンエロドッグ

//<0358> ゼウス
<0358> ゼウス

//<0359> 日向markⅡ
<0359> 日向markⅡ

//<0360> 糞虫
<0360> 糞虫

//<0361> 量産型日向
<0361> 量産型日向

//<0362> ？？
<0362> ？？

//<0363> 「ああ、質問があるんだ」
<0363> 「ああ、質問があるんだ」

//<0364> 音無
<0364> 音無

//<0365> クソ坊主
<0365> クソ坊主

//<0366> 代理人
<0366> 代理人

//<0367> 微妙すぎるイケメン
<0367> 微妙すぎるイケメン

//<0368> ロリコン
<0368> ロリコン

//<0369> メガネ仲間
<0369> メガネ仲間

//<0370> 暗算日本記録保持者
<0370> 暗算日本記録保持者

//<0371> 通り魔
<0371> 通り魔

//<0372> 記憶ナシ男
<0372> 記憶ナシ男

//<0373> 音速
<0373> 音速

//<0374> 無限
<0374> 無限

//<0375> エロ侍
<0375> エロ侍

//<0376> エロエロ団ナンバー１
<0376> エロエロ団ナンバー１

//<0377> ただのエロ少年
<0377> ただのエロ少年

//<0378> ユリブサイク
<0378> ユリブサイク

//<0379> ドピュッシー
<0379> ドピュッシー

//<0380> アメリカンエロドッグ
<0380> アメリカンエロドッグ

//<0381> ゼウス
<0381> ゼウス

//<0382> 日向markⅡ
<0382> 日向markⅡ

//<0383> 糞虫
<0383> 糞虫

//<0384> 量産型日向
<0384> 量産型日向

//<0385> ？？
<0385> ？？

//<0386> 「ああ、まだ質問がある」
<0386> 「ああ、まだ質問がある」

//<0387> nothing
<0387> nothing

//<0388> nothing
<0388> nothing

//<0389> nothing
<0389> nothing

//<0390> nothing
<0390> nothing

//<0391> nothing
<0391> nothing

//<0392> ゆり
<0392> ゆり

//<0393> 女生徒
<0393> 女生徒

//<0394> ？？
<0394> ？？

//<0395> 「何？」
<0395> 「何？」

//<0396> 音無
<0396> 音無

//<0397> クソ坊主
<0397> クソ坊主

//<0398> 代理人
<0398> 代理人

//<0399> 微妙すぎるイケメン
<0399> 微妙すぎるイケメン

//<0400> ロリコン
<0400> ロリコン

//<0401> メガネ仲間
<0401> メガネ仲間

//<0402> 暗算日本記録保持者
<0402> 暗算日本記録保持者

//<0403> 通り魔
<0403> 通り魔

//<0404> 記憶ナシ男
<0404> 記憶ナシ男

//<0405> 音速
<0405> 音速

//<0406> 無限
<0406> 無限

//<0407> エロ侍
<0407> エロ侍

//<0408> エロエロ団ナンバー１
<0408> エロエロ団ナンバー１

//<0409> ただのエロ少年
<0409> ただのエロ少年

//<0410> ユリブサイク
<0410> ユリブサイク

//<0411> ドピュッシー
<0411> ドピュッシー

//<0412> アメリカンエロドッグ
<0412> アメリカンエロドッグ

//<0413> ゼウス
<0413> ゼウス

//<0414> 日向markⅡ
<0414> 日向markⅡ

//<0415> 糞虫
<0415> 糞虫

//<0416> 量産型日向
<0416> 量産型日向

//<0417> ？？
<0417> ？？

//<0418> （ん…？　ああ、と答えておきながら、まったく何も訊きたいことが浮かばないぞ…？）
<0418> （ん…？　ああ、と答えておきながら、まったく何も訊きたいことが浮かばないぞ…？）

//<0419> 音無
<0419> 音無

//<0420> クソ坊主
<0420> クソ坊主

//<0421> 代理人
<0421> 代理人

//<0422> 微妙すぎるイケメン
<0422> 微妙すぎるイケメン

//<0423> ロリコン
<0423> ロリコン

//<0424> メガネ仲間
<0424> メガネ仲間

//<0425> 暗算日本記録保持者
<0425> 暗算日本記録保持者

//<0426> 通り魔
<0426> 通り魔

//<0427> 記憶ナシ男
<0427> 記憶ナシ男

//<0428> 音速
<0428> 音速

//<0429> 無限
<0429> 無限

//<0430> エロ侍
<0430> エロ侍

//<0431> エロエロ団ナンバー１
<0431> エロエロ団ナンバー１

//<0432> ただのエロ少年
<0432> ただのエロ少年

//<0433> ユリブサイク
<0433> ユリブサイク

//<0434> ドピュッシー
<0434> ドピュッシー

//<0435> アメリカンエロドッグ
<0435> アメリカンエロドッグ

//<0436> ゼウス
<0436> ゼウス

//<0437> 日向markⅡ
<0437> 日向markⅡ

//<0438> 糞虫
<0438> 糞虫

//<0439> 量産型日向
<0439> 量産型日向

//<0440> ？？
<0440> ？？

//<0441> （とりあえず、適当に訊くか…）
<0441> （とりあえず、適当に訊くか…）

//<0442> 趣味は？
<0442> 趣味は？

//<0443> 年齢は？
<0443> 年齢は？

//<0444> 好きな食べ物は？
<0444> 好きな食べ物は？

//<0445> selbtn : 
<0445> selbtn : 

//<0446> 02_ゆり
<0446> 02_ゆり

//<0447> _00_ゆりのこと
<0447> _00_ゆりのこと

//<0448> 02_ゆり
<0448> 02_ゆり

//<0449> _00_ゆりのこと
<0449> _00_ゆりのこと

//<0450> 02_ゆり
<0450> 02_ゆり

//<0451> _00_ゆりのこと
<0451> _00_ゆりのこと

//<0452> 音無
<0452> 音無

//<0453> クソ坊主
<0453> クソ坊主

//<0454> 代理人
<0454> 代理人

//<0455> 微妙すぎるイケメン
<0455> 微妙すぎるイケメン

//<0456> ロリコン
<0456> ロリコン

//<0457> メガネ仲間
<0457> メガネ仲間

//<0458> 暗算日本記録保持者
<0458> 暗算日本記録保持者

//<0459> 通り魔
<0459> 通り魔

//<0460> 記憶ナシ男
<0460> 記憶ナシ男

//<0461> 音速
<0461> 音速

//<0462> 無限
<0462> 無限

//<0463> エロ侍
<0463> エロ侍

//<0464> エロエロ団ナンバー１
<0464> エロエロ団ナンバー１

//<0465> ただのエロ少年
<0465> ただのエロ少年

//<0466> ユリブサイク
<0466> ユリブサイク

//<0467> ドピュッシー
<0467> ドピュッシー

//<0468> アメリカンエロドッグ
<0468> アメリカンエロドッグ

//<0469> ゼウス
<0469> ゼウス

//<0470> 日向markⅡ
<0470> 日向markⅡ

//<0471> 糞虫
<0471> 糞虫

//<0472> 量産型日向
<0472> 量産型日向

//<0473> ？？
<0473> ？？

//<0474> 「お前に会いたかっただけだけど、問題あるか？」
<0474> 「お前に会いたかっただけだけど、問題あるか？」

//<0475> nothing
<0475> nothing

//<0476> nothing
<0476> nothing

//<0477> nothing
<0477> nothing

//<0478> nothing
<0478> nothing

//<0479> nothing
<0479> nothing

//<0480> ゆり
<0480> ゆり

//<0481> 女生徒
<0481> 女生徒

//<0482> ？？
<0482> ？？

//<0483> 「理由は？」
<0483> 「理由は？」

//<0484> お前に気があるから
<0484> お前に気があるから

//<0485> 戦線のリーダーだから
<0485> 戦線のリーダーだから

//<0486> selbtn : 
<0486> selbtn : 

//<0487> 音無
<0487> 音無

//<0488> クソ坊主
<0488> クソ坊主

//<0489> 代理人
<0489> 代理人

//<0490> 微妙すぎるイケメン
<0490> 微妙すぎるイケメン

//<0491> ロリコン
<0491> ロリコン

//<0492> メガネ仲間
<0492> メガネ仲間

//<0493> 暗算日本記録保持者
<0493> 暗算日本記録保持者

//<0494> 通り魔
<0494> 通り魔

//<0495> 記憶ナシ男
<0495> 記憶ナシ男

//<0496> 音速
<0496> 音速

//<0497> 無限
<0497> 無限

//<0498> エロ侍
<0498> エロ侍

//<0499> エロエロ団ナンバー１
<0499> エロエロ団ナンバー１

//<0500> ただのエロ少年
<0500> ただのエロ少年

//<0501> ユリブサイク
<0501> ユリブサイク

//<0502> ドピュッシー
<0502> ドピュッシー

//<0503> アメリカンエロドッグ
<0503> アメリカンエロドッグ

//<0504> ゼウス
<0504> ゼウス

//<0505> 日向markⅡ
<0505> 日向markⅡ

//<0506> 糞虫
<0506> 糞虫

//<0507> 量産型日向
<0507> 量産型日向

//<0508> ？？
<0508> ？？

//<0509> 「お前に気があるから」
<0509> 「お前に気があるから」

//<0510> 日向
<0510> 日向

//<0511> 男Ｂ
<0511> 男Ｂ

//<0512> エロエロ団総帥
<0512> エロエロ団総帥

//<0513> イケチン
<0513> イケチン

//<0514> ホモ太
<0514> ホモ太

//<0515> ひなチン
<0515> ひなチン

//<0516> 秀樹
<0516> 秀樹

//<0517> 男子生徒
<0517> 男子生徒

//<0518> ？？
<0518> ？？

//<0519> 「えぇぇーー！！　この世界に来てすぐなのに！？」
<0519> 「えぇぇーー！！　この世界に来てすぐなのに！？」

//<0520> nothing
<0520> nothing

//<0521> nothing
<0521> nothing

//<0522> nothing
<0522> nothing

//<0523> nothing
<0523> nothing

//<0524> nothing
<0524> nothing

//<0525> nothing
<0525> nothing

//<0526> 背後から日向の仰天する声が。
<0526> 背後から日向の仰天する声が。

//<0527> nothing
<0527> nothing

//<0528> nothing
<0528> nothing

//<0529> nothing
<0529> nothing

//<0530> nothing
<0530> nothing

//<0531> nothing
<0531> nothing

//<0532> 日向
<0532> 日向

//<0533> 男Ｂ
<0533> 男Ｂ

//<0534> エロエロ団総帥
<0534> エロエロ団総帥

//<0535> イケチン
<0535> イケチン

//<0536> ホモ太
<0536> ホモ太

//<0537> ひなチン
<0537> ひなチン

//<0538> 秀樹
<0538> 秀樹

//<0539> 男子生徒
<0539> 男子生徒

//<0540> ？？
