// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 天使
//<0067> エロエロ団ナンバー１
<0067> エロエロ団ナンバー１

//<0068> ただのエロ少年
<0068> ただのエロ少年

//<0069> ユリブサイク
<0069> ユリブサイク

//<0070> ドピュッシー
<0070> ドピュッシー

//<0071> アメリカンエロドッグ
<0071> アメリカンエロドッグ

//<0072> ゼウス
<0072> ゼウス

//<0073> 日向markⅡ
<0073> 日向markⅡ

//<0074> 糞虫
<0074> 糞虫

//<0075> 量産型日向
<0075> 量産型日向

//<0076> ？？
<0076> ？？

//<0077> 「ふぅ…授業が始まったか。逃げ切った…！」
<0077> 「ふぅ…授業が始まったか。逃げ切った…！」

//<0078> nothing
<0078> nothing

//<0079> nothing
<0079> nothing

//<0080> nothing
<0080> nothing

//<0081> nothing
<0081> nothing

//<0082> nothing
<0082> nothing

//<0083> 天使
<0083> 天使

//<0084> かなで
<0084> かなで

//<0085> 女生徒
<0085> 女生徒

//<0086> ？？
<0086> ？？

//<0087> 「教室まで案内するわ」
<0087> 「教室まで案内するわ」

//<0088> ええー！！　本当に先回りしてるなんて！！　しかもなんて涼しげな顔だ！
<0088> ええー！！　本当に先回りしてるなんて！！　しかもなんて涼しげな顔だ！

//<0089> そこである矛盾に気づいた。
<0089> そこである矛盾に気づいた。

//<0090> 音無
<0090> 音無

//<0091> クソ坊主
<0091> クソ坊主

//<0092> 代理人
<0092> 代理人

//<0093> 微妙すぎるイケメン
<0093> 微妙すぎるイケメン

//<0094> ロリコン
<0094> ロリコン

//<0095> メガネ仲間
<0095> メガネ仲間

//<0096> 暗算日本記録保持者
<0096> 暗算日本記録保持者

//<0097> 通り魔
<0097> 通り魔

//<0098> 記憶ナシ男
<0098> 記憶ナシ男

//<0099> 音速
<0099> 音速

//<0100> 無限
<0100> 無限

//<0101> エロ侍
<0101> エロ侍

//<0102> エロエロ団ナンバー１
<0102> エロエロ団ナンバー１

//<0103> ただのエロ少年
<0103> ただのエロ少年

//<0104> ユリブサイク
<0104> ユリブサイク

//<0105> ドピュッシー
<0105> ドピュッシー

//<0106> アメリカンエロドッグ
<0106> アメリカンエロドッグ

//<0107> ゼウス
<0107> ゼウス

//<0108> 日向markⅡ
<0108> 日向markⅡ

//<0109> 糞虫
<0109> 糞虫

//<0110> 量産型日向
<0110> 量産型日向

//<0111> ？？
<0111> ？？

//<0112> 「でも、あんた生徒会長なのに、自らサボってることにならないか？」
<0112> 「でも、あんた生徒会長なのに、自らサボってることにならないか？」

//<0113> nothing
<0113> nothing

//<0114> nothing
<0114> nothing

//<0115> nothing
<0115> nothing

//<0116> nothing
<0116> nothing

//<0117> nothing
<0117> nothing

//<0118> 天使
<0118> 天使

//<0119> かなで
<0119> かなで

//<0120> 女生徒
<0120> 女生徒

//<0121> ？？
<0121> ？？

//<0122> 「あたしは、授業をさぼる生徒の指導猶予として１０分だけ遅れても許されることになっているの」
<0122> 「あたしは、授業をさぼる生徒の指導猶予として１０分だけ遅れても許されることになっているの」

//<0123> nothing
<0123> nothing

//<0124> nothing
<0124> nothing

//<0125> nothing
<0125> nothing

//<0126> nothing
<0126> nothing

//<0127> nothing
<0127> nothing

//<0128> 音無
<0128> 音無

//<0129> クソ坊主
<0129> クソ坊主

//<0130> 代理人
<0130> 代理人

//<0131> 微妙すぎるイケメン
<0131> 微妙すぎるイケメン

//<0132> ロリコン
<0132> ロリコン

//<0133> メガネ仲間
<0133> メガネ仲間

//<0134> 暗算日本記録保持者
<0134> 暗算日本記録保持者

//<0135> 通り魔
<0135> 通り魔

//<0136> 記憶ナシ男
<0136> 記憶ナシ男

//<0137> 音速
<0137> 音速

//<0138> 無限
<0138> 無限

//<0139> エロ侍
<0139> エロ侍

//<0140> エロエロ団ナンバー１
<0140> エロエロ団ナンバー１

//<0141> ただのエロ少年
<0141> ただのエロ少年

//<0142> ユリブサイク
<0142> ユリブサイク

//<0143> ドピュッシー
<0143> ドピュッシー

//<0144> アメリカンエロドッグ
<0144> アメリカンエロドッグ

//<0145> ゼウス
<0145> ゼウス

//<0146> 日向markⅡ
<0146> 日向markⅡ

//<0147> 糞虫
<0147> 糞虫

//<0148> 量産型日向
<0148> 量産型日向

//<0149> ？？
<0149> ？？

//<0150> （マジかよ…）
<0150> （マジかよ…）

//<0151> 今ので逃げ切れないってことは…。
<0151> 今ので逃げ切れないってことは…。

//<0152> 諦めて授業を受ける
<0152> 諦めて授業を受ける

//<0153> さらに逃げる
<0153> さらに逃げる

//<0154> selbtn : 
<0154> selbtn : 

//<0155> そうだ。１０分だ！　１０分さえ逃げ切ればいいんだ！
<0155> そうだ。１０分だ！　１０分さえ逃げ切ればいいんだ！

//<0156> 移動しよう！
<0156> 移動しよう！

//<0157> 腕時計を見ると、１０分経っていた。
<0157> 腕時計を見ると、１０分経っていた。

//<0158> 音無
<0158> 音無

//<0159> クソ坊主
<0159> クソ坊主

//<0160> 代理人
<0160> 代理人

//<0161> 微妙すぎるイケメン
<0161> 微妙すぎるイケメン

//<0162> ロリコン
<0162> ロリコン

//<0163> メガネ仲間
<0163> メガネ仲間

//<0164> 暗算日本記録保持者
<0164> 暗算日本記録保持者

//<0165> 通り魔
<0165> 通り魔

//<0166> 記憶ナシ男
<0166> 記憶ナシ男

//<0167> 音速
<0167> 音速

//<0168> 無限
<0168> 無限

//<0169> エロ侍
<0169> エロ侍

//<0170> エロエロ団ナンバー１
<0170> エロエロ団ナンバー１

//<0171> ただのエロ少年
<0171> ただのエロ少年

//<0172> ユリブサイク
<0172> ユリブサイク

//<0173> ドピュッシー
<0173> ドピュッシー

//<0174> アメリカンエロドッグ
<0174> アメリカンエロドッグ

//<0175> ゼウス
<0175> ゼウス

//<0176> 日向markⅡ
<0176> 日向markⅡ

//<0177> 糞虫
<0177> 糞虫

//<0178> 量産型日向
<0178> 量産型日向

//<0179> ？？
<0179> ？？

//<0180> 「よし、逃げ切ったぁーー！！」
<0180> 「よし、逃げ切ったぁーー！！」

//<0181> 思わず拳を掲げ、ガッツポーズをしてしまう。
<0181> 思わず拳を掲げ、ガッツポーズをしてしまう。

//<0182> 逃げ切れない…諦めよう。
<0182> 逃げ切れない…諦めよう。

//<0183> 01_かなで
<0183> 01_かなで

//<0184> _00
<0184> _00

//<0185> まずは天使の注意をそらさないと…。
<0185> まずは天使の注意をそらさないと…。

//<0186> あっ！　ＵＦＯ！
<0186> あっ！　ＵＦＯ！

//<0187> あっ！　麻婆！
<0187> あっ！　麻婆！

//<0188> selbtn : 
<0188> selbtn : 

//<0189> 音無
<0189> 音無

//<0190> クソ坊主
<0190> クソ坊主

//<0191> 代理人
<0191> 代理人

//<0192> 微妙すぎるイケメン
<0192> 微妙すぎるイケメン

//<0193> ロリコン
<0193> ロリコン

//<0194> メガネ仲間
<0194> メガネ仲間

//<0195> 暗算日本記録保持者
<0195> 暗算日本記録保持者

//<0196> 通り魔
<0196> 通り魔

//<0197> 記憶ナシ男
<0197> 記憶ナシ男

//<0198> 音速
<0198> 音速

//<0199> 無限
<0199> 無限

//<0200> エロ侍
<0200> エロ侍

//<0201> エロエロ団ナンバー１
<0201> エロエロ団ナンバー１

//<0202> ただのエロ少年
<0202> ただのエロ少年

//<0203> ユリブサイク
<0203> ユリブサイク

//<0204> ドピュッシー
<0204> ドピュッシー

//<0205> アメリカンエロドッグ
<0205> アメリカンエロドッグ

//<0206> ゼウス
<0206> ゼウス

//<0207> 日向markⅡ
<0207> 日向markⅡ

//<0208> 糞虫
<0208> 糞虫

//<0209> 量産型日向
<0209> 量産型日向

//<0210> ？？
<0210> ？？

//<0211> 「あっ！　ＵＦＯ！」
<0211> 「あっ！　ＵＦＯ！」

//<0212> 天使の後ろを指差し大声を上げる。
<0212> 天使の後ろを指差し大声を上げる。

//<0213> nothing
<0213> nothing

//<0214> nothing
<0214> nothing

//<0215> nothing
<0215> nothing

//<0216> nothing
<0216> nothing

//<0217> nothing
<0217> nothing

//<0218> 天使
<0218> 天使

//<0219> かなで
<0219> かなで

//<0220> 女生徒
<0220> 女生徒

//<0221> ？？
<0221> ？？

//<0222> 「………」
<0222> 「………」

//<0223> 特に反応してくれなかった。
<0223> 特に反応してくれなかった。

//<0224> 失敗してしまったようだ。
<0224> 失敗してしまったようだ。

//<0225> nothing
<0225> nothing

//<0226> nothing
<0226> nothing

//<0227> nothing
<0227> nothing

//<0228> nothing
<0228> nothing

//<0229> nothing
<0229> nothing

//<0230> 天使
<0230> 天使

//<0231> かなで
<0231> かなで

//<0232> 女生徒
<0232> 女生徒

//<0233> ？？
<0233> ？？

//<0234> 「授業を受けて」
<0234> 「授業を受けて」

//<0235> 音無
<0235> 音無

//<0236> クソ坊主
<0236> クソ坊主

//<0237> 代理人
<0237> 代理人

//<0238> 微妙すぎるイケメン
<0238> 微妙すぎるイケメン

//<0239> ロリコン
<0239> ロリコン

//<0240> メガネ仲間
<0240> メガネ仲間

//<0241> 暗算日本記録保持者
<0241> 暗算日本記録保持者

//<0242> 通り魔
<0242> 通り魔

//<0243> 記憶ナシ男
<0243> 記憶ナシ男

//<0244> 音速
<0244> 音速

//<0245> 無限
<0245> 無限

//<0246> エロ侍
<0246> エロ侍

//<0247> エロエロ団ナンバー１
<0247> エロエロ団ナンバー１

//<0248> ただのエロ少年
<0248> ただのエロ少年

//<0249> ユリブサイク
<0249> ユリブサイク

//<0250> ドピュッシー
<0250> ドピュッシー

//<0251> アメリカンエロドッグ
<0251> アメリカンエロドッグ

//<0252> ゼウス
<0252> ゼウス

//<0253> 日向markⅡ
<0253> 日向markⅡ

//<0254> 糞虫
<0254> 糞虫

//<0255> 量産型日向
<0255> 量産型日向

//<0256> ？？
<0256> ？？

//<0257> 「わかった…」
<0257> 「わかった…」

//<0258> 逃げられそうにないので、大人しく教室に向かうことにした…。
<0258> 逃げられそうにないので、大人しく教室に向かうことにした…。

//<0259> 音無
<0259> 音無

//<0260> クソ坊主
<0260> クソ坊主

//<0261> 代理人
<0261> 代理人

//<0262> 微妙すぎるイケメン
<0262> 微妙すぎるイケメン

//<0263> ロリコン
<0263> ロリコン

//<0264> メガネ仲間
<0264> メガネ仲間

//<0265> 暗算日本記録保持者
<0265> 暗算日本記録保持者

//<0266> 通り魔
<0266> 通り魔

//<0267> 記憶ナシ男
<0267> 記憶ナシ男

//<0268> 音速
<0268> 音速

//<0269> 無限
<0269> 無限

//<0270> エロ侍
<0270> エロ侍

//<0271> エロエロ団ナンバー１
<0271> エロエロ団ナンバー１

//<0272> ただのエロ少年
<0272> ただのエロ少年

//<0273> ユリブサイク
<0273> ユリブサイク

//<0274> ドピュッシー
<0274> ドピュッシー

//<0275> アメリカンエロドッグ
<0275> アメリカンエロドッグ

//<0276> ゼウス
<0276> ゼウス

//<0277> 日向markⅡ
<0277> 日向markⅡ

//<0278> 糞虫
<0278> 糞虫

//<0279> 量産型日向
<0279> 量産型日向

//<0280> ？？
<0280> ？？

//<0281> 「あっ！　麻婆！」
<0281> 「あっ！　麻婆！」

//<0282> 天使の後ろを指差し大声を上げる。
<0282> 天使の後ろを指差し大声を上げる。

//<0283> nothing
<0283> nothing

//<0284> nothing
<0284> nothing

//<0285> nothing
<0285> nothing

//<0286> nothing
<0286> nothing

//<0287> nothing
<0287> nothing

//<0288> 天使
<0288> 天使

//<0289> かなで
<0289> かなで

//<0290> 女生徒
<0290> 女生徒

//<0291> ？？
<0291> ？？

//<0292> 「……っ！」
<0292> 「……っ！」

//<0293> なぜか凄い勢いで反応して、後ろを振り返る。
<0293> なぜか凄い勢いで反応して、後ろを振り返る。

//<0294> その隙に俺は体を反転させ、全力で走った。
<0294> その隙に俺は体を反転させ、全力で走った。

//<0295> 戦う。ひとりでも。こちとら初日に実質殺されたんだからな…。
<0295> 戦う。ひとりでも。こちとら初日に実質殺されたんだからな…。

//<0296> se_handgun_setup
<0296> se_handgun_setup

//<0297> 銃を抜く。
<0297> 銃を抜く。

//<0298> nothing
<0298> nothing

//<0299> nothing
<0299> nothing

//<0300> nothing
<0300> nothing

//<0301> nothing
<0301> nothing

//<0302> nothing
<0302> nothing

//<0303> 天使
<0303> 天使

//<0304> かなで
<0304> かなで

//<0305> 女生徒
<0305> 女生徒

//<0306> ？？
<0306> ？？

//<0307> 『ガードスキル・ハンドソニック』
<0307> 『ガードスキル・ハンドソニック』

//<0308> nothing
<0308> nothing

//<0309> nothing
<0309> nothing

//<0310> nothing
<0310> nothing

//<0311> nothing
<0311> nothing

//<0312> nothing
<0312> nothing

//<0313> se_handsonic
<0313> se_handsonic

//<0314> nothing
<0314> nothing

//<0315> nothing
<0315> nothing

//<0316> nothing
<0316> nothing

//<0317> nothing
<0317> nothing

//<0318> nothing
<0318> nothing

//<0319> その手に光の刃が生まれる。
<0319> その手に光の刃が生まれる。

//<0320> この至近距離なら、当たるだろ！
<0320> この至近距離なら、当たるだろ！

//<0321> 引き金を引く。
<0321> 引き金を引く。

//<0322> 今度こそ、一矢報いてやる…。
<0322> 今度こそ、一矢報いてやる…。

//<0323> se_handgun_setup
<0323> se_handgun_setup

//<0324> 俺は銃を抜いた。
<0324> 俺は銃を抜いた。

//<0325> nothing
<0325> nothing

//<0326> nothing
<0326> nothing

//<0327> nothing
<0327> nothing

//<0328> nothing
<0328> nothing

//<0329> nothing
<0329> nothing

//<0330> 天使
<0330> 天使

//<0331> かなで
<0331> かなで

//<0332> 女生徒
<0332> 女生徒

//<0333> ？？
<0333> ？？

//<0334> 「蛮勇ね。先に言っておくけど、あなたに勝ち目はないわ」
<0334> 「蛮勇ね。先に言っておくけど、あなたに勝ち目はないわ」

//<0335> nothing
<0335> nothing

//<0336> nothing
<0336> nothing

//<0337> nothing
<0337> nothing

//<0338> nothing
<0338> nothing

//<0339> nothing
<0339> nothing

//<0340> 天使
<0340> 天使

//<0341> かなで
<0341> かなで

//<0342> 女生徒
<0342> 女生徒

//<0343> ？？
<0343> ？？

//<0344> 『ガードスキル・ハンドソニック』
<0344> 『ガードスキル・ハンドソニック』

//<0345> nothing
<0345> nothing

//<0346> nothing
<0346> nothing

//<0347> nothing
<0347> nothing

//<0348> nothing
<0348> nothing

//<0349> nothing
<0349> nothing

//<0350> se_handsonic
<0350> se_handsonic

//<0351> nothing
<0351> nothing

//<0352> nothing
<0352> nothing

//<0353> nothing
<0353> nothing

//<0354> nothing
<0354> nothing

//<0355> nothing
<0355> nothing

//<0356> 音無
<0356> 音無

//<0357> クソ坊主
<0357> クソ坊主

//<0358> 代理人
<0358> 代理人

//<0359> 微妙すぎるイケメン
<0359> 微妙すぎるイケメン

//<0360> ロリコン
<0360> ロリコン

//<0361> メガネ仲間
<0361> メガネ仲間

//<0362> 暗算日本記録保持者
<0362> 暗算日本記録保持者

//<0363> 通り魔
<0363> 通り魔

//<0364> 記憶ナシ男
<0364> 記憶ナシ男

//<0365> 音速
<0365> 音速

//<0366> 無限
<0366> 無限

//<0367> エロ侍
<0367> エロ侍

//<0368> エロエロ団ナンバー１
<0368> エロエロ団ナンバー１

//<0369> ただのエロ少年
<0369> ただのエロ少年

//<0370> ユリブサイク
<0370> ユリブサイク

//<0371> ドピュッシー
<0371> ドピュッシー

//<0372> アメリカンエロドッグ
<0372> アメリカンエロドッグ

//<0373> ゼウス
<0373> ゼウス

//<0374> 日向markⅡ
<0374> 日向markⅡ

//<0375> 糞虫
<0375> 糞虫

//<0376> 量産型日向
<0376> 量産型日向

//<0377> ？？
<0377> ？？

//<0378> 「上等だ！！」
<0378> 「上等だ！！」

//<0379> スピード勝負だ！
<0379> スピード勝負だ！

//<0380> se_handgun_setup
<0380> se_handgun_setup

//<0381> 俺は銃を抜いた。
<0381> 俺は銃を抜いた。

//<0382> nothing
<0382> nothing

//<0383> nothing
<0383> nothing

//<0384> nothing
<0384> nothing

//<0385> nothing
<0385> nothing

//<0386> nothing
<0386> nothing

//<0387> 天使
<0387> 天使

//<0388> かなで
<0388> かなで

//<0389> 女生徒
<0389> 女生徒

//<0390> ？？
<0390> ？？

//<0391> 『ガードスキル・ハンドソニック』
<0391> 『ガードスキル・ハンドソニック』

//<0392> nothing
<0392> nothing

//<0393> nothing
<0393> nothing

//<0394> nothing
<0394> nothing

//<0395> nothing
<0395> nothing

//<0396> nothing
<0396> nothing

//<0397> se_handsonic
<0397> se_handsonic

//<0398> nothing
<0398> nothing

//<0399> nothing
<0399> nothing

//<0400> nothing
<0400> nothing

//<0401> nothing
<0401> nothing

//<0402> nothing
<0402> nothing

//<0403> 音無
<0403> 音無

//<0404> クソ坊主
<0404> クソ坊主

//<0405> 代理人
<0405> 代理人

//<0406> 微妙すぎるイケメン
<0406> 微妙すぎるイケメン

//<0407> ロリコン
<0407> ロリコン

//<0408> メガネ仲間
<0408> メガネ仲間

//<0409> 暗算日本記録保持者
<0409> 暗算日本記録保持者

//<0410> 通り魔
<0410> 通り魔

//<0411> 記憶ナシ男
<0411> 記憶ナシ男

//<0412> 音速
<0412> 音速

//<0413> 無限
<0413> 無限

//<0414> エロ侍
<0414> エロ侍

//<0415> エロエロ団ナンバー１
<0415> エロエロ団ナンバー１

//<0416> ただのエロ少年
<0416> ただのエロ少年

//<0417> ユリブサイク
<0417> ユリブサイク

//<0418> ドピュッシー
<0418> ドピュッシー

//<0419> アメリカンエロドッグ
<0419> アメリカンエロドッグ

//<0420> ゼウス
<0420> ゼウス

//<0421> 日向markⅡ
<0421> 日向markⅡ

//<0422> 糞虫
<0422> 糞虫

//<0423> 量産型日向
<0423> 量産型日向

//<0424> ？？
<0424> ？？

//<0425> （くそっ、遅れたか…！　間に合え！）
<0425> （くそっ、遅れたか…！　間に合え！）

//<0426> se_handgun_setup
<0426> se_handgun_setup

//<0427> 俺は反射的に銃を抜いた。
<0427> 俺は反射的に銃を抜いた。

//<0428> 音無
<0428> 音無

//<0429> クソ坊主
<0429> クソ坊主

//<0430> 代理人
<0430> 代理人

//<0431> 微妙すぎるイケメン
<0431> 微妙すぎるイケメン

//<0432> ロリコン
<0432> ロリコン

//<0433> メガネ仲間
<0433> メガネ仲間

//<0434> 暗算日本記録保持者
<0434> 暗算日本記録保持者

//<0435> 通り魔
<0435> 通り魔

//<0436> 記憶ナシ男
<0436> 記憶ナシ男

//<0437> 音速
<0437> 音速

//<0438> 無限
<0438> 無限

//<0439> エロ侍
<0439> エロ侍

//<0440> エロエロ団ナンバー１
<0440> エロエロ団ナンバー１

//<0441> ただのエロ少年
<0441> ただのエロ少年

//<0442> ユリブサイク
<0442> ユリブサイク

//<0443> ドピュッシー
<0443> ドピュッシー

//<0444> アメリカンエロドッグ
<0444> アメリカンエロドッグ

//<0445> ゼウス
<0445> ゼウス

//<0446> 日向markⅡ
<0446> 日向markⅡ

//<0447> 糞虫
<0447> 糞虫

//<0448> 量産型日向
<0448> 量産型日向

//<0449> ？？
<0449> ？？

//<0450> （いける！）
<0450> （いける！）

//<0451> nothing
<0451> nothing

//<0452> nothing
<0452> nothing

//<0453> nothing
<0453> nothing

//<0454> nothing
<0454> nothing

//<0455> nothing
<0455> nothing

//<0456> nothing
<0456> nothing

//<0457> se_handgun2
<0457> se_handgun2

//<0458> None
<0458> None

//<0459> なんて反動だ！　銃弾は明後日の方向に飛んでいった。
<0459> なんて反動だ！　銃弾は明後日の方向に飛んでいった。

//<0460> nothing
<0460> nothing

//<0461> nothing
<0461> nothing

//<0462> nothing
<0462> nothing

//<0463> nothing
<0463> nothing

//<0464> nothing
<0464> nothing

//<0465> nothing
<0465> nothing

//<0466> se_handgun2
<0466> se_handgun2

//<0467> None
<0467> None

//<0468> 惜しい！　肩の髪の毛にかすった！
<0468> 惜しい！　肩の髪の毛にかすった！

//<0469> se_handgun2
<0469> se_handgun2

//<0470> se_kengeki
<0470> se_kengeki

//<0471> nothing
<0471> nothing

//<0472> nothing
<0472> nothing

//<0473> nothing
<0473> nothing

//<0474> nothing
<0474> nothing

//<0475> nothing
<0475> nothing

//<0476> カーーーン！と音がして、弾かれていた。
<0476> カーーーン！と音がして、弾かれていた。

//<0477> 音無
<0477> 音無

//<0478> クソ坊主
<0478> クソ坊主

//<0479> 代理人
<0479> 代理人

//<0480> 微妙すぎるイケメン
<0480> 微妙すぎるイケメン

//<0481> ロリコン
<0481> ロリコン

//<0482> メガネ仲間
<0482> メガネ仲間

//<0483> 暗算日本記録保持者
<0483> 暗算日本記録保持者

//<0484> 通り魔
<0484> 通り魔

//<0485> 記憶ナシ男
<0485> 記憶ナシ男

//<0486> 音速
<0486> 音速

//<0487> 無限
<0487> 無限

//<0488> エロ侍
<0488> エロ侍

//<0489> エロエロ団ナンバー１
<0489> エロエロ団ナンバー１

//<0490> ただのエロ少年
<0490> ただのエロ少年

//<0491> ユリブサイク
<0491> ユリブサイク

//<0492> ドピュッシー
<0492> ドピュッシー

//<0493> アメリカンエロドッグ
<0493> アメリカンエロドッグ

//<0494> ゼウス
<0494> ゼウス

//<0495> 日向markⅡ
<0495> 日向markⅡ

//<0496> 糞虫
<0496> 糞虫

//<0497> 量産型日向
<0497> 量産型日向

//<0498> ？？
<0498> ？？

//<0499> （嘘だろ…この至近距離でも弾けるなんて…）
<0499> （嘘だろ…この至近距離でも弾けるなんて…）

//<0500> ものすごい反射神経だ…。
<0500> ものすごい反射神経だ…。

//<0501> いや、天使には何もかもがゆっくり見えている。それぐらい人間とはかけ離れた身体能力の持ち主なのだろう。
<0501> いや、天使には何もかもがゆっくり見えている。それぐらい人間とはかけ離れた身体能力の持ち主なのだろう。

//<0502> 天使が不思議そうな顔をして俺を見つめていた。
<0502> 天使が不思議そうな顔をして俺を見つめていた。

//<0503> 音無
<0503> 音無

//<0504> クソ坊主
<0504> クソ坊主

//<0505> 代理人
<0505> 代理人

//<0506> 微妙すぎるイケメン
<0506> 微妙すぎるイケメン

//<0507> ロリコン
<0507> ロリコン

//<0508> メガネ仲間
<0508> メガネ仲間

//<0509> 暗算日本記録保持者
<0509> 暗算日本記録保持者

//<0510> 通り魔
<0510> 通り魔

//<0511> 記憶ナシ男
<0511> 記憶ナシ男

//<0512> 音速
<0512> 音速

//<0513> 無限
<0513> 無限

//<0514> エロ侍
<0514> エロ侍

//<0515> エロエロ団ナンバー１
<0515> エロエロ団ナンバー１

//<0516> ただのエロ少年
<0516> ただのエロ少年

//<0517> ユリブサイク
<0517> ユリブサイク

//<0518> ドピュッシー
<0518> ドピュッシー

//<0519> アメリカンエロドッグ
<0519> アメリカンエロドッグ

//<0520> ゼウス
<0520> ゼウス

//<0521> 日向markⅡ
<0521> 日向markⅡ

//<0522> 糞虫
<0522> 糞虫

//<0523> 量産型日向
<0523> 量産型日向

//<0524> ？？
<0524> ？？

//<0525> 「んだよ…」
<0525> 「んだよ…」

//<0526> nothing
<0526> nothing

//<0527> nothing
<0527> nothing

//<0528> nothing
<0528> nothing

//<0529> nothing
<0529> nothing

//<0530> nothing
<0530> nothing

//<0531> 天使
<0531> 天使

//<0532> かなで
<0532> かなで

//<0533> 女生徒
<0533> 女生徒

//<0534> ？？
<0534> ？？

//<0535> 「…あなた、筋がいいわ」
<0535> 「…あなた、筋がいいわ」

//<0536> 音無
<0536> 音無

