// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 音無
<0120> 通り魔

//<0121> 記憶ナシ男
<0121> 記憶ナシ男

//<0122> 音速
<0122> 音速

//<0123> 無限
<0123> 無限

//<0124> エロ侍
<0124> エロ侍

//<0125> エロエロ団ナンバー１
<0125> エロエロ団ナンバー１

//<0126> ただのエロ少年
<0126> ただのエロ少年

//<0127> ユリブサイク
<0127> ユリブサイク

//<0128> ドピュッシー
<0128> ドピュッシー

//<0129> アメリカンエロドッグ
<0129> アメリカンエロドッグ

//<0130> ゼウス
<0130> ゼウス

//<0131> 日向markⅡ
<0131> 日向markⅡ

//<0132> 糞虫
<0132> 糞虫

//<0133> 量産型日向
<0133> 量産型日向

//<0134> ？？
<0134> ？？

//<0135> 「ああ、頼む」
<0135> 「ああ、頼む」

//<0136> nothing
<0136> nothing

//<0137> nothing
<0137> nothing

//<0138> nothing
<0138> nothing

//<0139> nothing
<0139> nothing

//<0140> nothing
<0140> nothing

//<0141> 松下
<0141> 松下

//<0142> 「前受け身だ。これは比較的簡単だ」
<0142> 「前受け身だ。これは比較的簡単だ」

//<0143> nothing
<0143> nothing

//<0144> nothing
<0144> nothing

//<0145> nothing
<0145> nothing

//<0146> nothing
<0146> nothing

//<0147> nothing
<0147> nothing

//<0148> 松下
<0148> 松下

//<0149> 「見ておけ」
<0149> 「見ておけ」

//<0150> 音無
<0150> 音無

//<0151> クソ坊主
<0151> クソ坊主

//<0152> 代理人
<0152> 代理人

//<0153> 微妙すぎるイケメン
<0153> 微妙すぎるイケメン

//<0154> ロリコン
<0154> ロリコン

//<0155> メガネ仲間
<0155> メガネ仲間

//<0156> 暗算日本記録保持者
<0156> 暗算日本記録保持者

//<0157> 通り魔
<0157> 通り魔

//<0158> 記憶ナシ男
<0158> 記憶ナシ男

//<0159> 音速
<0159> 音速

//<0160> 無限
<0160> 無限

//<0161> エロ侍
<0161> エロ侍

//<0162> エロエロ団ナンバー１
<0162> エロエロ団ナンバー１

//<0163> ただのエロ少年
<0163> ただのエロ少年

//<0164> ユリブサイク
<0164> ユリブサイク

//<0165> ドピュッシー
<0165> ドピュッシー

//<0166> アメリカンエロドッグ
<0166> アメリカンエロドッグ

//<0167> ゼウス
<0167> ゼウス

//<0168> 日向markⅡ
<0168> 日向markⅡ

//<0169> 糞虫
<0169> 糞虫

//<0170> 量産型日向
<0170> 量産型日向

//<0171> ？？
<0171> ？？

//<0172> 「ああ」
<0172> 「ああ」

//<0173> nothing
<0173> nothing

//<0174> nothing
<0174> nothing

//<0175> nothing
<0175> nothing

//<0176> nothing
<0176> nothing

//<0177> nothing
<0177> nothing

//<0178> nothing
<0178> nothing

//<0179> 松下が少し下がり、真正面に体を倒す。
<0179> 松下が少し下がり、真正面に体を倒す。

//<0180> se_fall_human
<0180> se_fall_human

//<0181> 地面に着く寸前、両腕の肘から手のひらまでを平行に地面に叩きつけていた。
<0181> 地面に着く寸前、両腕の肘から手のひらまでを平行に地面に叩きつけていた。

//<0182> nothing
<0182> nothing

//<0183> nothing
<0183> nothing

//<0184> nothing
<0184> nothing

//<0185> nothing
<0185> nothing

//<0186> nothing
<0186> nothing

//<0187> 松下
<0187> 松下

//<0188> 「わかったか？」
<0188> 「わかったか？」

//<0189> 音無
<0189> 音無

//<0190> クソ坊主
<0190> クソ坊主

//<0191> 代理人
<0191> 代理人

//<0192> 微妙すぎるイケメン
<0192> 微妙すぎるイケメン

//<0193> ロリコン
<0193> ロリコン

//<0194> メガネ仲間
<0194> メガネ仲間

//<0195> 暗算日本記録保持者
<0195> 暗算日本記録保持者

//<0196> 通り魔
<0196> 通り魔

//<0197> 記憶ナシ男
<0197> 記憶ナシ男

//<0198> 音速
<0198> 音速

//<0199> 無限
<0199> 無限

//<0200> エロ侍
<0200> エロ侍

//<0201> エロエロ団ナンバー１
<0201> エロエロ団ナンバー１

//<0202> ただのエロ少年
<0202> ただのエロ少年

//<0203> ユリブサイク
<0203> ユリブサイク

//<0204> ドピュッシー
<0204> ドピュッシー

//<0205> アメリカンエロドッグ
<0205> アメリカンエロドッグ

//<0206> ゼウス
<0206> ゼウス

//<0207> 日向markⅡ
<0207> 日向markⅡ

//<0208> 糞虫
<0208> 糞虫

//<0209> 量産型日向
<0209> 量産型日向

//<0210> ？？
<0210> ？？

//<0211> 「ああ…やってみる」
<0211> 「ああ…やってみる」

//<0212> nothing
<0212> nothing

//<0213> nothing
<0213> nothing

//<0214> nothing
<0214> nothing

//<0215> nothing
<0215> nothing

//<0216> nothing
<0216> nothing

//<0217> nothing
<0217> nothing

//<0218> 俺も少し下がり、同じように体を倒した。
<0218> 俺も少し下がり、同じように体を倒した。

//<0219> だが、肘のほうが先についてしまった。
<0219> だが、肘のほうが先についてしまった。

//<0220> 音無
<0220> 音無

//<0221> クソ坊主
<0221> クソ坊主

//<0222> 代理人
<0222> 代理人

//<0223> 微妙すぎるイケメン
<0223> 微妙すぎるイケメン

//<0224> ロリコン
<0224> ロリコン

//<0225> メガネ仲間
<0225> メガネ仲間

//<0226> 暗算日本記録保持者
<0226> 暗算日本記録保持者

//<0227> 通り魔
<0227> 通り魔

//<0228> 記憶ナシ男
<0228> 記憶ナシ男

//<0229> 音速
<0229> 音速

//<0230> 無限
<0230> 無限

//<0231> エロ侍
<0231> エロ侍

//<0232> エロエロ団ナンバー１
<0232> エロエロ団ナンバー１

//<0233> ただのエロ少年
<0233> ただのエロ少年

//<0234> ユリブサイク
<0234> ユリブサイク

//<0235> ドピュッシー
<0235> ドピュッシー

//<0236> アメリカンエロドッグ
<0236> アメリカンエロドッグ

//<0237> ゼウス
<0237> ゼウス

//<0238> 日向markⅡ
<0238> 日向markⅡ

//<0239> 糞虫
<0239> 糞虫

//<0240> 量産型日向
<0240> 量産型日向

//<0241> ？？
<0241> ？？

//<0242> 「いってぇー！！」
<0242> 「いってぇー！！」

//<0243> 松下
<0243> 松下

//<0244> 「ん？　また怪我したか？」
<0244> 「ん？　また怪我したか？」

//<0245> nothing
<0245> nothing

//<0246> nothing
<0246> nothing

//<0247> nothing
<0247> nothing

//<0248> nothing
<0248> nothing

//<0249> nothing
<0249> nothing

//<0250> 音無
<0250> 音無

//<0251> クソ坊主
<0251> クソ坊主

//<0252> 代理人
<0252> 代理人

//<0253> 微妙すぎるイケメン
<0253> 微妙すぎるイケメン

//<0254> ロリコン
<0254> ロリコン

//<0255> メガネ仲間
<0255> メガネ仲間

//<0256> 暗算日本記録保持者
<0256> 暗算日本記録保持者

//<0257> 通り魔
<0257> 通り魔

//<0258> 記憶ナシ男
<0258> 記憶ナシ男

//<0259> 音速
<0259> 音速

//<0260> 無限
<0260> 無限

//<0261> エロ侍
<0261> エロ侍

//<0262> エロエロ団ナンバー１
<0262> エロエロ団ナンバー１

//<0263> ただのエロ少年
<0263> ただのエロ少年

//<0264> ユリブサイク
<0264> ユリブサイク

//<0265> ドピュッシー
<0265> ドピュッシー

//<0266> アメリカンエロドッグ
<0266> アメリカンエロドッグ

//<0267> ゼウス
<0267> ゼウス

//<0268> 日向markⅡ
<0268> 日向markⅡ

//<0269> 糞虫
<0269> 糞虫

//<0270> 量産型日向
<0270> 量産型日向

//<0271> ？？
<0271> ？？

//<0272> 「肘、擦り剥いちまったみたいだ…」
<0272> 「肘、擦り剥いちまったみたいだ…」

//<0273> 両肘が赤黒くなってしまっている。
<0273> 両肘が赤黒くなってしまっている。

//<0274> 今までの怪我に比べれば、全然マシな方だけど…。
<0274> 今までの怪我に比べれば、全然マシな方だけど…。

//<0275> nothing
<0275> nothing

//<0276> nothing
<0276> nothing

//<0277> nothing
<0277> nothing

//<0278> nothing
<0278> nothing

//<0279> nothing
<0279> nothing

//<0280> 松下
<0280> 松下

//<0281> 「両肘ともか？」
<0281> 「両肘ともか？」

//<0282> 音無
<0282> 音無

//<0283> クソ坊主
<0283> クソ坊主

//<0284> 代理人
<0284> 代理人

//<0285> 微妙すぎるイケメン
<0285> 微妙すぎるイケメン

//<0286> ロリコン
<0286> ロリコン

//<0287> メガネ仲間
<0287> メガネ仲間

//<0288> 暗算日本記録保持者
<0288> 暗算日本記録保持者

//<0289> 通り魔
<0289> 通り魔

//<0290> 記憶ナシ男
<0290> 記憶ナシ男

//<0291> 音速
<0291> 音速

//<0292> 無限
<0292> 無限

//<0293> エロ侍
<0293> エロ侍

//<0294> エロエロ団ナンバー１
<0294> エロエロ団ナンバー１

//<0295> ただのエロ少年
<0295> ただのエロ少年

//<0296> ユリブサイク
<0296> ユリブサイク

//<0297> ドピュッシー
<0297> ドピュッシー

//<0298> アメリカンエロドッグ
<0298> アメリカンエロドッグ

//<0299> ゼウス
<0299> ゼウス

//<0300> 日向markⅡ
<0300> 日向markⅡ

//<0301> 糞虫
<0301> 糞虫

//<0302> 量産型日向
<0302> 量産型日向

//<0303> ？？
<0303> ？？

//<0304> 「ああ、いてて…」
<0304> 「ああ、いてて…」

//<0305> nothing
<0305> nothing

//<0306> nothing
<0306> nothing

//<0307> nothing
<0307> nothing

//<0308> nothing
<0308> nothing

//<0309> nothing
<0309> nothing

//<0310> 松下
<0310> 松下

//<0311> 「ふぅむ…」
<0311> 「ふぅむ…」

//<0312> 考え込む松下五段。
<0312> 考え込む松下五段。

//<0313> nothing
<0313> nothing

//<0314> nothing
<0314> nothing

//<0315> nothing
<0315> nothing

//<0316> nothing
<0316> nothing

//<0317> nothing
<0317> nothing

//<0318> 松下
<0318> 松下

//<0319> 「とにかく今日は肘を動かさないようにな。明日には治っている」
<0319> 「とにかく今日は肘を動かさないようにな。明日には治っている」

//<0320> …処置なしだった。
<0320> …処置なしだった。

//<0321> 音無
<0321> 音無

//<0322> クソ坊主
<0322> クソ坊主

//<0323> 代理人
<0323> 代理人

//<0324> 微妙すぎるイケメン
<0324> 微妙すぎるイケメン

//<0325> ロリコン
<0325> ロリコン

//<0326> メガネ仲間
<0326> メガネ仲間

//<0327> 暗算日本記録保持者
<0327> 暗算日本記録保持者

//<0328> 通り魔
<0328> 通り魔

//<0329> 記憶ナシ男
<0329> 記憶ナシ男

//<0330> 音速
<0330> 音速

//<0331> 無限
<0331> 無限

//<0332> エロ侍
<0332> エロ侍

//<0333> エロエロ団ナンバー１
<0333> エロエロ団ナンバー１

//<0334> ただのエロ少年
<0334> ただのエロ少年

//<0335> ユリブサイク
<0335> ユリブサイク

//<0336> ドピュッシー
<0336> ドピュッシー

//<0337> アメリカンエロドッグ
<0337> アメリカンエロドッグ

//<0338> ゼウス
<0338> ゼウス

//<0339> 日向markⅡ
<0339> 日向markⅡ

//<0340> 糞虫
<0340> 糞虫

//<0341> 量産型日向
<0341> 量産型日向

//<0342> ？？
<0342> ？？

//<0343> 「でも、もし急にオペレーションが発動したらどうするんだ？」
<0343> 「でも、もし急にオペレーションが発動したらどうするんだ？」

//<0344> nothing
<0344> nothing

//<0345> nothing
<0345> nothing

//<0346> nothing
<0346> nothing

//<0347> nothing
<0347> nothing

//<0348> nothing
<0348> nothing

//<0349> 松下
<0349> 松下

//<0350> 「それは、タイミングが悪かったな」
<0350> 「それは、タイミングが悪かったな」

//<0351> 音無
<0351> 音無

//<0352> クソ坊主
<0352> クソ坊主

//<0353> 代理人
<0353> 代理人

//<0354> 微妙すぎるイケメン
<0354> 微妙すぎるイケメン

//<0355> ロリコン
<0355> ロリコン

//<0356> メガネ仲間
<0356> メガネ仲間

//<0357> 暗算日本記録保持者
<0357> 暗算日本記録保持者

//<0358> 通り魔
<0358> 通り魔

//<0359> 記憶ナシ男
<0359> 記憶ナシ男

//<0360> 音速
<0360> 音速

//<0361> 無限
<0361> 無限

//<0362> エロ侍
<0362> エロ侍

//<0363> エロエロ団ナンバー１
<0363> エロエロ団ナンバー１

//<0364> ただのエロ少年
<0364> ただのエロ少年

//<0365> ユリブサイク
<0365> ユリブサイク

//<0366> ドピュッシー
<0366> ドピュッシー

//<0367> アメリカンエロドッグ
<0367> アメリカンエロドッグ

//<0368> ゼウス
<0368> ゼウス

//<0369> 日向markⅡ
<0369> 日向markⅡ

//<0370> 糞虫
<0370> 糞虫

//<0371> 量産型日向
<0371> 量産型日向

//<0372> ？？
<0372> ？？

//<0373> 「他人事かよっ！」
<0373> 「他人事かよっ！」

//<0374> nothing
<0374> nothing

//<0375> nothing
<0375> nothing

//<0376> nothing
<0376> nothing

//<0377> nothing
<0377> nothing

//<0378> nothing
<0378> nothing

//<0379> 松下
<0379> 松下

//<0380> 「お前が、この俺の道場に現れたら、手ほどきする他あるまい」
<0380> 「お前が、この俺の道場に現れたら、手ほどきする他あるまい」

//<0381> 音無
<0381> 音無

//<0382> クソ坊主
<0382> クソ坊主

//<0383> 代理人
<0383> 代理人

//<0384> 微妙すぎるイケメン
<0384> 微妙すぎるイケメン

//<0385> ロリコン
<0385> ロリコン

//<0386> メガネ仲間
<0386> メガネ仲間

//<0387> 暗算日本記録保持者
<0387> 暗算日本記録保持者

//<0388> 通り魔
<0388> 通り魔

//<0389> 記憶ナシ男
<0389> 記憶ナシ男

//<0390> 音速
<0390> 音速

//<0391> 無限
<0391> 無限

//<0392> エロ侍
<0392> エロ侍

//<0393> エロエロ団ナンバー１
<0393> エロエロ団ナンバー１

//<0394> ただのエロ少年
<0394> ただのエロ少年

//<0395> ユリブサイク
<0395> ユリブサイク

//<0396> ドピュッシー
<0396> ドピュッシー

//<0397> アメリカンエロドッグ
<0397> アメリカンエロドッグ

//<0398> ゼウス
<0398> ゼウス

//<0399> 日向markⅡ
<0399> 日向markⅡ

//<0400> 糞虫
<0400> 糞虫

//<0401> 量産型日向
<0401> 量産型日向

//<0402> ？？
<0402> ？？

//<0403> 「そうかもしれないけどっ…」
<0403> 「そうかもしれないけどっ…」

//<0404> 死ぬほどの怪我でも、明日には治っている世界だ。
<0404> 死ぬほどの怪我でも、明日には治っている世界だ。

//<0405> これくらいならすぐに治るとは思うけど、今日は何も起こらないことを祈ろう…。
<0405> これくらいならすぐに治るとは思うけど、今日は何も起こらないことを祈ろう…。

//<0406> dummy
<0406> dummy

//<0407> bg_kuro
<0407> bg_kuro

//<0408> ep04_bg008
<0408> ep04_bg008

//<0409> mt0202
<0409> mt0202

//<0410> mt0108
<0410> mt0108

//<0411> m105
<0411> m105

//<0412> mt0102
<0412> mt0102

//<0413> mt0101
<0413> mt0101

//<0414> mt0301
<0414> mt0301

//<0415> mt0302
<0415> mt0302

//<0416> mt0308
<0416> mt0308

//<0417> mt0301
<0417> mt0301

//<0418> mt0306
<0418> mt0306

//<0419> mt0406_01
<0419> mt0406_01

//<0420> mt0401
<0420> mt0401

//<0421> mt0406
<0421> mt0406

//<0422> mt0401
<0422> mt0401

//<0423> bg_kuro
<0423> bg_kuro

