// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 天使
//<0077> ユリブサイク
<0077> ユリブサイク

//<0078> ドピュッシー
<0078> ドピュッシー

//<0079> アメリカンエロドッグ
<0079> アメリカンエロドッグ

//<0080> ゼウス
<0080> ゼウス

//<0081> 日向markⅡ
<0081> 日向markⅡ

//<0082> 糞虫
<0082> 糞虫

//<0083> 量産型日向
<0083> 量産型日向

//<0084> ？？
<0084> ？？

//<0085> 「えっと…、俺、自分のクラスどこか忘れてしまって…」
<0085> 「えっと…、俺、自分のクラスどこか忘れてしまって…」

//<0086> 音無
<0086> 音無

//<0087> クソ坊主
<0087> クソ坊主

//<0088> 代理人
<0088> 代理人

//<0089> 微妙すぎるイケメン
<0089> 微妙すぎるイケメン

//<0090> ロリコン
<0090> ロリコン

//<0091> メガネ仲間
<0091> メガネ仲間

//<0092> 暗算日本記録保持者
<0092> 暗算日本記録保持者

//<0093> 通り魔
<0093> 通り魔

//<0094> 記憶ナシ男
<0094> 記憶ナシ男

//<0095> 音速
<0095> 音速

//<0096> 無限
<0096> 無限

//<0097> エロ侍
<0097> エロ侍

//<0098> エロエロ団ナンバー１
<0098> エロエロ団ナンバー１

//<0099> ただのエロ少年
<0099> ただのエロ少年

//<0100> ユリブサイク
<0100> ユリブサイク

//<0101> ドピュッシー
<0101> ドピュッシー

//<0102> アメリカンエロドッグ
<0102> アメリカンエロドッグ

//<0103> ゼウス
<0103> ゼウス

//<0104> 日向markⅡ
<0104> 日向markⅡ

//<0105> 糞虫
<0105> 糞虫

//<0106> 量産型日向
<0106> 量産型日向

//<0107> ？？
<0107> ？？

//<0108> 「いや、でも、俺、クラスとかわからないし…」
<0108> 「いや、でも、俺、クラスとかわからないし…」

//<0109> nothing
<0109> nothing

//<0110> nothing
<0110> nothing

//<0111> nothing
<0111> nothing

//<0112> nothing
<0112> nothing

//<0113> nothing
<0113> nothing

//<0114> 天使
<0114> 天使

//<0115> かなで
<0115> かなで

//<0116> 女生徒
<0116> 女生徒

//<0117> ？？
<0117> ？？

//<0118> 「あなたのクラスと席はちゃんとあるわ」
<0118> 「あなたのクラスと席はちゃんとあるわ」

//<0119> そうか…制服まで用意されてるぐらいなんだからな…。あるよな…。
<0119> そうか…制服まで用意されてるぐらいなんだからな…。あるよな…。

//<0120> nothing
<0120> nothing

//<0121> nothing
<0121> nothing

//<0122> nothing
<0122> nothing

//<0123> nothing
<0123> nothing

//<0124> nothing
<0124> nothing

//<0125> 天使
<0125> 天使

//<0126> かなで
<0126> かなで

//<0127> 女生徒
<0127> 女生徒

//<0128> ？？
<0128> ？？

//<0129> 「連れて行ってあげるわ。行きましょ」
<0129> 「連れて行ってあげるわ。行きましょ」

//<0130> まともに授業受けると、この世界から消えてしまうと言われているが…。
<0130> まともに授業受けると、この世界から消えてしまうと言われているが…。

//<0131> 授業を受ける
<0131> 授業を受ける

//<0132> 逃げる
<0132> 逃げる

//<0133> 戦う
<0133> 戦う

//<0134> selbtn : 
<0134> selbtn : 

//<0135> 俺は何も言わず、体を反転させ、全力で走る。
<0135> 俺は何も言わず、体を反転させ、全力で走る。

//<0136> 白
<0136> 白
{4060} 0a // 0136

//<0137> nothing
<0137> nothing

//<0138> nothing
<0138> nothing

//<0139> nothing
<0139> nothing

//<0140> nothing
<0140> nothing

//<0141> nothing
<0141> nothing

//<0142> ゆり
<0142> ゆり

//<0143> 女生徒
<0143> 女生徒

//<0144> ？？
<0144> ？？

//<0145> 「模範通りに校内活動を行わない生徒に対しては、まず口頭注意。逃げれば追ってくるし、先回りして行く手を阻む」
<0145> 「模範通りに校内活動を行わない生徒に対しては、まず口頭注意。逃げれば追ってくるし、先回りして行く手を阻む」

//<0146> そう言われてるだけに、懸命だ。
<0146> そう言われてるだけに、懸命だ。

//<0147> 逃げ切れるか！？
<0147> 逃げ切れるか！？

//<0148> 階段は一気に踊り場まで跳んだ。
<0148> 階段は一気に踊り場まで跳んだ。

//<0149> さらに階下へと跳ぶ。
<0149> さらに階下へと跳ぶ。

//<0150> そのまま廊下を駆け抜け、表に出る。
<0150> そのまま廊下を駆け抜け、表に出る。

//<0151> se_chime
<0151> se_chime

//<0152> と同時にチャイムが鳴る。
<0152> と同時にチャイムが鳴る。

//<0153> 音無
<0153> 音無

//<0154> クソ坊主
<0154> クソ坊主

//<0155> 代理人
<0155> 代理人

//<0156> 微妙すぎるイケメン
<0156> 微妙すぎるイケメン

//<0157> ロリコン
<0157> ロリコン

//<0158> メガネ仲間
<0158> メガネ仲間

//<0159> 暗算日本記録保持者
<0159> 暗算日本記録保持者

//<0160> 通り魔
<0160> 通り魔

//<0161> 記憶ナシ男
<0161> 記憶ナシ男

//<0162> 音速
<0162> 音速

//<0163> 無限
<0163> 無限

//<0164> エロ侍
<0164> エロ侍

//<0165> エロエロ団ナンバー１
<0165> エロエロ団ナンバー１

//<0166> ただのエロ少年
<0166> ただのエロ少年

//<0167> ユリブサイク
<0167> ユリブサイク

//<0168> ドピュッシー
<0168> ドピュッシー

//<0169> アメリカンエロドッグ
<0169> アメリカンエロドッグ

//<0170> ゼウス
<0170> ゼウス

//<0171> 日向markⅡ
<0171> 日向markⅡ

//<0172> 糞虫
<0172> 糞虫

//<0173> 量産型日向
<0173> 量産型日向

//<0174> ？？
<0174> ？？

//<0175> 「ふぅ…授業が始まったか。逃げ切った…！」
<0175> 「ふぅ…授業が始まったか。逃げ切った…！」

//<0176> nothing
<0176> nothing

//<0177> nothing
<0177> nothing

//<0178> nothing
<0178> nothing

//<0179> nothing
<0179> nothing

//<0180> nothing
<0180> nothing

//<0181> 天使
<0181> 天使

//<0182> かなで
<0182> かなで

//<0183> 女生徒
<0183> 女生徒

//<0184> ？？
<0184> ？？

//<0185> 「教室まで案内するわ」
<0185> 「教室まで案内するわ」

//<0186> ええー！！　本当に先回りしてるなんて！！　しかもなんて涼しげな顔だ！
<0186> ええー！！　本当に先回りしてるなんて！！　しかもなんて涼しげな顔だ！

//<0187> そこである矛盾に気づいた。
<0187> そこである矛盾に気づいた。

//<0188> 音無
<0188> 音無

//<0189> クソ坊主
<0189> クソ坊主

//<0190> 代理人
<0190> 代理人

//<0191> 微妙すぎるイケメン
<0191> 微妙すぎるイケメン

//<0192> ロリコン
<0192> ロリコン

//<0193> メガネ仲間
<0193> メガネ仲間

//<0194> 暗算日本記録保持者
<0194> 暗算日本記録保持者

//<0195> 通り魔
<0195> 通り魔

//<0196> 記憶ナシ男
<0196> 記憶ナシ男

//<0197> 音速
<0197> 音速

//<0198> 無限
<0198> 無限

//<0199> エロ侍
<0199> エロ侍

//<0200> エロエロ団ナンバー１
<0200> エロエロ団ナンバー１

//<0201> ただのエロ少年
<0201> ただのエロ少年

//<0202> ユリブサイク
<0202> ユリブサイク

//<0203> ドピュッシー
<0203> ドピュッシー

//<0204> アメリカンエロドッグ
<0204> アメリカンエロドッグ

//<0205> ゼウス
<0205> ゼウス

//<0206> 日向markⅡ
<0206> 日向markⅡ

//<0207> 糞虫
<0207> 糞虫

//<0208> 量産型日向
<0208> 量産型日向

//<0209> ？？
<0209> ？？

//<0210> 「でも、あんた生徒会長なのに、自らサボってることにならないか？」
<0210> 「でも、あんた生徒会長なのに、自らサボってることにならないか？」

//<0211> nothing
<0211> nothing

//<0212> nothing
<0212> nothing

//<0213> nothing
<0213> nothing

//<0214> nothing
<0214> nothing

//<0215> nothing
<0215> nothing

//<0216> 天使
<0216> 天使

//<0217> かなで
<0217> かなで

//<0218> 女生徒
<0218> 女生徒

//<0219> ？？
<0219> ？？

//<0220> 「あたしは、授業をさぼる生徒の指導猶予として１０分だけ遅れても許されることになっているの」
<0220> 「あたしは、授業をさぼる生徒の指導猶予として１０分だけ遅れても許されることになっているの」

//<0221> 音無
<0221> 音無

//<0222> クソ坊主
<0222> クソ坊主

//<0223> 代理人
<0223> 代理人

//<0224> 微妙すぎるイケメン
<0224> 微妙すぎるイケメン

//<0225> ロリコン
<0225> ロリコン

//<0226> メガネ仲間
<0226> メガネ仲間

//<0227> 暗算日本記録保持者
<0227> 暗算日本記録保持者

//<0228> 通り魔
<0228> 通り魔

//<0229> 記憶ナシ男
<0229> 記憶ナシ男

//<0230> 音速
<0230> 音速

//<0231> 無限
<0231> 無限

//<0232> エロ侍
<0232> エロ侍

//<0233> エロエロ団ナンバー１
<0233> エロエロ団ナンバー１

//<0234> ただのエロ少年
<0234> ただのエロ少年

//<0235> ユリブサイク
<0235> ユリブサイク

//<0236> ドピュッシー
<0236> ドピュッシー

//<0237> アメリカンエロドッグ
<0237> アメリカンエロドッグ

//<0238> ゼウス
<0238> ゼウス

//<0239> 日向markⅡ
<0239> 日向markⅡ

//<0240> 糞虫
<0240> 糞虫

//<0241> 量産型日向
<0241> 量産型日向

//<0242> ？？
<0242> ？？

//<0243> （マジかよ…）
<0243> （マジかよ…）

//<0244> 今ので逃げ切れないってことは…。
<0244> 今ので逃げ切れないってことは…。

//<0245> 諦めて授業を受ける
<0245> 諦めて授業を受ける

//<0246> さらに逃げる
<0246> さらに逃げる

//<0247> selbtn : 
<0247> selbtn : 

//<0248> そうだ。１０分だ！　１０分さえ逃げ切ればいいんだ！
<0248> そうだ。１０分だ！　１０分さえ逃げ切ればいいんだ！

//<0249> 移動しよう！
<0249> 移動しよう！

//<0250> 腕時計を見ると、１０分経っていた。
<0250> 腕時計を見ると、１０分経っていた。

//<0251> 音無
<0251> 音無

//<0252> クソ坊主
<0252> クソ坊主

//<0253> 代理人
<0253> 代理人

//<0254> 微妙すぎるイケメン
<0254> 微妙すぎるイケメン

//<0255> ロリコン
<0255> ロリコン

//<0256> メガネ仲間
<0256> メガネ仲間

//<0257> 暗算日本記録保持者
<0257> 暗算日本記録保持者

//<0258> 通り魔
<0258> 通り魔

//<0259> 記憶ナシ男
<0259> 記憶ナシ男

//<0260> 音速
<0260> 音速

//<0261> 無限
<0261> 無限

//<0262> エロ侍
<0262> エロ侍

//<0263> エロエロ団ナンバー１
<0263> エロエロ団ナンバー１

//<0264> ただのエロ少年
<0264> ただのエロ少年

//<0265> ユリブサイク
<0265> ユリブサイク

//<0266> ドピュッシー
<0266> ドピュッシー

//<0267> アメリカンエロドッグ
<0267> アメリカンエロドッグ

//<0268> ゼウス
<0268> ゼウス

//<0269> 日向markⅡ
<0269> 日向markⅡ

//<0270> 糞虫
<0270> 糞虫

//<0271> 量産型日向
<0271> 量産型日向

//<0272> ？？
<0272> ？？

//<0273> 「よし、逃げ切ったぁーー！！」
<0273> 「よし、逃げ切ったぁーー！！」

//<0274> 思わず拳を掲げ、ガッツポーズをしてしまう。
<0274> 思わず拳を掲げ、ガッツポーズをしてしまう。

//<0275> 戦う。ひとりでも。こちとら初日に実質殺されたんだからな…。
<0275> 戦う。ひとりでも。こちとら初日に実質殺されたんだからな…。

//<0276> se_handgun_setup
<0276> se_handgun_setup

//<0277> nothing
<0277> nothing

//<0278> nothing
<0278> nothing

//<0279> nothing
<0279> nothing

//<0280> nothing
<0280> nothing

//<0281> nothing
<0281> nothing

//<0282> ゆりから渡された銃を構えて、銃口を天使に向ける。
<0282> ゆりから渡された銃を構えて、銃口を天使に向ける。

//<0283> nothing
<0283> nothing

//<0284> nothing
<0284> nothing

//<0285> nothing
<0285> nothing

//<0286> nothing
<0286> nothing

//<0287> nothing
<0287> nothing

//<0288> けどその姿をすぐに見失う。
<0288> けどその姿をすぐに見失う。

//<0289> nothing
<0289> nothing

//<0290> nothing
<0290> nothing

//<0291> nothing
<0291> nothing

//<0292> nothing
<0292> nothing

//<0293> nothing
<0293> nothing

//<0294> se_threaten
<0294> se_threaten

//<0295> そして気がつけば、刃を喉元に当てられて、そこで止まった。
<0295> そして気がつけば、刃を喉元に当てられて、そこで止まった。

//<0296> nothing
<0296> nothing

//<0297> nothing
<0297> nothing

//<0298> nothing
<0298> nothing

//<0299> nothing
<0299> nothing

//<0300> nothing
<0300> nothing

//<0301> 天使
<0301> 天使

//<0302> かなで
<0302> かなで

//<0303> 女生徒
<0303> 女生徒

//<0304> ？？
<0304> ？？

//<0305> 「授業を受けて」
<0305> 「授業を受けて」

//<0306> 音無
<0306> 音無

//<0307> クソ坊主
<0307> クソ坊主

//<0308> 代理人
<0308> 代理人

//<0309> 微妙すぎるイケメン
<0309> 微妙すぎるイケメン

//<0310> ロリコン
<0310> ロリコン

//<0311> メガネ仲間
<0311> メガネ仲間

//<0312> 暗算日本記録保持者
<0312> 暗算日本記録保持者

//<0313> 通り魔
<0313> 通り魔

//<0314> 記憶ナシ男
<0314> 記憶ナシ男

//<0315> 音速
<0315> 音速

//<0316> 無限
<0316> 無限

//<0317> エロ侍
<0317> エロ侍

//<0318> エロエロ団ナンバー１
<0318> エロエロ団ナンバー１

//<0319> ただのエロ少年
<0319> ただのエロ少年

//<0320> ユリブサイク
<0320> ユリブサイク

//<0321> ドピュッシー
<0321> ドピュッシー

//<0322> アメリカンエロドッグ
<0322> アメリカンエロドッグ

//<0323> ゼウス
<0323> ゼウス

//<0324> 日向markⅡ
<0324> 日向markⅡ

//<0325> 糞虫
<0325> 糞虫

//<0326> 量産型日向
<0326> 量産型日向

//<0327> ？？
<0327> ？？

//<0328> 「…わかった…」
<0328> 「…わかった…」

//<0329> 戦闘経験のない俺が勝てるはずなんて無かった…。
<0329> 戦闘経験のない俺が勝てるはずなんて無かった…。

//<0330> 逃げ切れないだろうし、一度授業を受けてみるか…。
<0330> 逃げ切れないだろうし、一度授業を受けてみるか…。

//<0331> 01_かなで
<0331> 01_かなで

//<0332> _00
<0332> _00

//<0333> 逃げ切れないだろうし、一度授業を受けてみるか…。
<0333> 逃げ切れないだろうし、一度授業を受けてみるか…。

//<0334> 01_かなで
<0334> 01_かなで

//<0335> _00
<0335> _00

//<0336> dummy
<0336> dummy

//<0337> bg_kuro
<0337> bg_kuro

//<0338> ep03_bg013
<0338> ep03_bg013

//<0339> m204
<0339> m204

//<0340> kn0901
<0340> kn0901

//<0341> kn0901
<0341> kn0901

//<0342> kn0902_08
<0342> kn0902_08

//<0343> kn0102_08
<0343> kn0102_08

//<0344> kn0901_05
<0344> kn0901_05

//<0345> kn0101_05
<0345> kn0101_05

//<0346> sys_bk_selline00
<0346> sys_bk_selline00

//<0347> bg_kuro
<0347> bg_kuro

//<0348> m114
<0348> m114

//<0349> ep88_bg002
<0349> ep88_bg002

//<0350> yr0109
<0350> yr0109

//<0351> bg_kuro
<0351> bg_kuro

//<0352> ep88_bg008
<0352> ep88_bg008

//<0353> ep88_bg007
<0353> ep88_bg007

//<0354> bg_kuro
<0354> bg_kuro

//<0355> ep10_bg014
<0355> ep10_bg014

//<0356> kn0901
<0356> kn0901

//<0357> kn0901_05
<0357> kn0901_05

//<0358> sys_bk_selline00
<0358> sys_bk_selline00

//<0359> bg_kuro
<0359> bg_kuro

//<0360> ep04_bg021
<0360> ep04_bg021

//<0361> ep07_bg029
<0361> ep07_bg029

//<0362> ep10_bg001
<0362> ep10_bg001

//<0363> bg_kuro
<0363> bg_kuro

//<0364> ep03_bg018
<0364> ep03_bg018

//<0365> bg_kuro
<0365> bg_kuro

//<0366> m114
<0366> m114

//<0367> kn0101
<0367> kn0101

//<0368> kn999900l5
<0368> kn999900l5

//<0369> bs3_kn120100r3
<0369> bs3_kn120100r3

//<0370> kn1201_05
<0370> kn1201_05

//<0371> bg_kuro
<0371> bg_kuro

//<0372> bg_kuro
<0372> bg_kuro

