// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 白
<0107> 糞虫

//<0108> 量産型日向
<0108> 量産型日向

//<0109> ？？
<0109> ？？

//<0110> 「どうしてだろうな…」
<0110> 「どうしてだろうな…」

//<0111> 音無
<0111> 音無

//<0112> クソ坊主
<0112> クソ坊主

//<0113> 代理人
<0113> 代理人

//<0114> 微妙すぎるイケメン
<0114> 微妙すぎるイケメン

//<0115> ロリコン
<0115> ロリコン

//<0116> メガネ仲間
<0116> メガネ仲間

//<0117> 暗算日本記録保持者
<0117> 暗算日本記録保持者

//<0118> 通り魔
<0118> 通り魔

//<0119> 記憶ナシ男
<0119> 記憶ナシ男

//<0120> 音速
<0120> 音速

//<0121> 無限
<0121> 無限

//<0122> エロ侍
<0122> エロ侍

//<0123> エロエロ団ナンバー１
<0123> エロエロ団ナンバー１

//<0124> ただのエロ少年
<0124> ただのエロ少年

//<0125> ユリブサイク
<0125> ユリブサイク

//<0126> ドピュッシー
<0126> ドピュッシー

//<0127> アメリカンエロドッグ
<0127> アメリカンエロドッグ

//<0128> ゼウス
<0128> ゼウス

//<0129> 日向markⅡ
<0129> 日向markⅡ

//<0130> 糞虫
<0130> 糞虫

//<0131> 量産型日向
<0131> 量産型日向

//<0132> ？？
<0132> ？？

//<0133> 「ゆりは、岩沢が納得しちゃったって言ってたけど、正直意味がよくわからなかった」
<0133> 「ゆりは、岩沢が納得しちゃったって言ってたけど、正直意味がよくわからなかった」

//<0134> ユイ
<0134> ユイ

//<0135> 「納得…ですか」
<0135> 「納得…ですか」

//<0136> ユイ
<0136> ユイ

//<0137> 「岩沢さんは、納得のいく歌を歌えたってことでしょうか？」
<0137> 「岩沢さんは、納得のいく歌を歌えたってことでしょうか？」

//<0138> 音無
<0138> 音無

//<0139> クソ坊主
<0139> クソ坊主

//<0140> 代理人
<0140> 代理人

//<0141> 微妙すぎるイケメン
<0141> 微妙すぎるイケメン

//<0142> ロリコン
<0142> ロリコン

//<0143> メガネ仲間
<0143> メガネ仲間

//<0144> 暗算日本記録保持者
<0144> 暗算日本記録保持者

//<0145> 通り魔
<0145> 通り魔

//<0146> 記憶ナシ男
<0146> 記憶ナシ男

//<0147> 音速
<0147> 音速

//<0148> 無限
<0148> 無限

//<0149> エロ侍
<0149> エロ侍

//<0150> エロエロ団ナンバー１
<0150> エロエロ団ナンバー１

//<0151> ただのエロ少年
<0151> ただのエロ少年

//<0152> ユリブサイク
<0152> ユリブサイク

//<0153> ドピュッシー
<0153> ドピュッシー

//<0154> アメリカンエロドッグ
<0154> アメリカンエロドッグ

//<0155> ゼウス
<0155> ゼウス

//<0156> 日向markⅡ
<0156> 日向markⅡ

//<0157> 糞虫
<0157> 糞虫

//<0158> 量産型日向
<0158> 量産型日向

//<0159> ？？
<0159> ？？

//<0160> 「どうだろうな…」
<0160> 「どうだろうな…」

//<0161> 天使のいいなりになって、正しい学生生活を送ること以外に、消えてしまう条件が存在するらしい。
<0161> 天使のいいなりになって、正しい学生生活を送ること以外に、消えてしまう条件が存在するらしい。

//<0162> だとしたら、俺たちも何かの拍子に消えてしまうかもしれない。
<0162> だとしたら、俺たちも何かの拍子に消えてしまうかもしれない。

//<0163> …岩沢が消えてしまった事は、思ってる以上に重要なんじゃないのか…？
<0163> …岩沢が消えてしまった事は、思ってる以上に重要なんじゃないのか…？

//<0164> 色々な不安が、ユイの気持ちも沈めてしまっているようだ。
<0164> 色々な不安が、ユイの気持ちも沈めてしまっているようだ。

//<0165> ユイ
<0165> ユイ

//<0166> 「これからガルデモはどうなっちゃうんでしょうね」
<0166> 「これからガルデモはどうなっちゃうんでしょうね」

//<0167> 音無
<0167> 音無

//<0168> クソ坊主
<0168> クソ坊主

//<0169> 代理人
<0169> 代理人

//<0170> 微妙すぎるイケメン
<0170> 微妙すぎるイケメン

//<0171> ロリコン
<0171> ロリコン

//<0172> メガネ仲間
<0172> メガネ仲間

//<0173> 暗算日本記録保持者
<0173> 暗算日本記録保持者

//<0174> 通り魔
<0174> 通り魔

//<0175> 記憶ナシ男
<0175> 記憶ナシ男

//<0176> 音速
<0176> 音速

//<0177> 無限
<0177> 無限

//<0178> エロ侍
<0178> エロ侍

//<0179> エロエロ団ナンバー１
<0179> エロエロ団ナンバー１

//<0180> ただのエロ少年
<0180> ただのエロ少年

//<0181> ユリブサイク
<0181> ユリブサイク

//<0182> ドピュッシー
<0182> ドピュッシー

//<0183> アメリカンエロドッグ
<0183> アメリカンエロドッグ

//<0184> ゼウス
<0184> ゼウス

//<0185> 日向markⅡ
<0185> 日向markⅡ

//<0186> 糞虫
<0186> 糞虫

//<0187> 量産型日向
<0187> 量産型日向

//<0188> ？？
<0188> ？？

//<0189> 「ん？」
<0189> 「ん？」

//<0190> 午前中もガルデモのことを気にしていた。
<0190> 午前中もガルデモのことを気にしていた。

//<0191> ずっと心の中に引っかかってるんだろう。
<0191> ずっと心の中に引っかかってるんだろう。

//<0192> 話を聞いてやることにする。
<0192> 話を聞いてやることにする。

//<0193> nothing
<0193> nothing

//<0194> nothing
<0194> nothing

//<0195> nothing
<0195> nothing

//<0196> nothing
<0196> nothing

//<0197> nothing
<0197> nothing

//<0198> nothing
<0198> nothing

//<0199> 
<0199> 

//<0200> 
<0200> 

//<0201> nothing
<0201> nothing

//<0202> ユイ
<0202> ユイ

//<0203> 「ずっと楽しかったんですよ」
<0203> 「ずっと楽しかったんですよ」

//<0204> nothing
<0204> nothing

//<0205> nothing
<0205> nothing

//<0206> nothing
<0206> nothing

//<0207> nothing
<0207> nothing

//<0208> nothing
<0208> nothing

//<0209> ユイ
<0209> ユイ

//<0210> 「こっちの世界に来てから、テレビ越しじゃない生のライブを聴いたの初めてで…」
<0210> 「こっちの世界に来てから、テレビ越しじゃない生のライブを聴いたの初めてで…」

//<0211> nothing
<0211> nothing

//<0212> nothing
<0212> nothing

//<0213> nothing
<0213> nothing

//<0214> nothing
<0214> nothing

//<0215> nothing
<0215> nothing

//<0216> ユイ
<0216> ユイ

//<0217> 「ビリビリって体の芯まで震える歌を、すぐ近くで感じて…」
<0217> 「ビリビリって体の芯まで震える歌を、すぐ近くで感じて…」

//<0218> nothing
<0218> nothing

//<0219> nothing
<0219> nothing

//<0220> nothing
<0220> nothing

//<0221> nothing
<0221> nothing

//<0222> nothing
<0222> nothing

//<0223> ユイ
<0223> ユイ

//<0224> 「あたしも、あんな風に歌いたいって…そう思って今日まで練習してきたんですけど…」
<0224> 「あたしも、あんな風に歌いたいって…そう思って今日まで練習してきたんですけど…」

//<0225> nothing
<0225> nothing

//<0226> nothing
<0226> nothing

//<0227> nothing
<0227> nothing

//<0228> nothing
<0228> nothing

//<0229> nothing
<0229> nothing

//<0230> ユイ
<0230> ユイ

//<0231> 「そんな歌を歌っていた岩沢さんが消えちゃった…」
<0231> 「そんな歌を歌っていた岩沢さんが消えちゃった…」

//<0232> nothing
<0232> nothing

//<0233> nothing
<0233> nothing

//<0234> nothing
<0234> nothing

//<0235> nothing
<0235> nothing

//<0236> nothing
<0236> nothing

//<0237> ユイ
<0237> ユイ

//<0238> 「あたしも、どうしたらいいかわかんないんです…」
<0238> 「あたしも、どうしたらいいかわかんないんです…」

//<0239> 音無
<0239> 音無

//<0240> クソ坊主
<0240> クソ坊主

//<0241> 代理人
<0241> 代理人

//<0242> 微妙すぎるイケメン
<0242> 微妙すぎるイケメン

//<0243> ロリコン
<0243> ロリコン

//<0244> メガネ仲間
<0244> メガネ仲間

//<0245> 暗算日本記録保持者
<0245> 暗算日本記録保持者

//<0246> 通り魔
<0246> 通り魔

//<0247> 記憶ナシ男
<0247> 記憶ナシ男

//<0248> 音速
<0248> 音速

//<0249> 無限
<0249> 無限

//<0250> エロ侍
<0250> エロ侍

//<0251> エロエロ団ナンバー１
<0251> エロエロ団ナンバー１

//<0252> ただのエロ少年
<0252> ただのエロ少年

//<0253> ユリブサイク
<0253> ユリブサイク

//<0254> ドピュッシー
<0254> ドピュッシー

//<0255> アメリカンエロドッグ
<0255> アメリカンエロドッグ

//<0256> ゼウス
<0256> ゼウス

//<0257> 日向markⅡ
<0257> 日向markⅡ

//<0258> 糞虫
<0258> 糞虫

//<0259> 量産型日向
<0259> 量産型日向

//<0260> ？？
<0260> ？？

//<0261> 「やっぱりさ、ユイが岩沢の後を継いで二代目ボーカルになればいいんじゃないか？」
<0261> 「やっぱりさ、ユイが岩沢の後を継いで二代目ボーカルになればいいんじゃないか？」

//<0262> 音無
<0262> 音無

//<0263> クソ坊主
<0263> クソ坊主

//<0264> 代理人
<0264> 代理人

//<0265> 微妙すぎるイケメン
<0265> 微妙すぎるイケメン

//<0266> ロリコン
<0266> ロリコン

//<0267> メガネ仲間
<0267> メガネ仲間

//<0268> 暗算日本記録保持者
<0268> 暗算日本記録保持者

//<0269> 通り魔
<0269> 通り魔

//<0270> 記憶ナシ男
<0270> 記憶ナシ男

//<0271> 音速
<0271> 音速

//<0272> 無限
<0272> 無限

//<0273> エロ侍
<0273> エロ侍

//<0274> エロエロ団ナンバー１
<0274> エロエロ団ナンバー１

//<0275> ただのエロ少年
<0275> ただのエロ少年

//<0276> ユリブサイク
<0276> ユリブサイク

//<0277> ドピュッシー
<0277> ドピュッシー

//<0278> アメリカンエロドッグ
<0278> アメリカンエロドッグ

//<0279> ゼウス
<0279> ゼウス

//<0280> 日向markⅡ
<0280> 日向markⅡ

//<0281> 糞虫
<0281> 糞虫

//<0282> 量産型日向
<0282> 量産型日向

//<0283> ？？
<0283> ？？

//<0284> 「じゃあ、ユイがガルデモの二代目ボーカルになればいいんじゃないか？」
<0284> 「じゃあ、ユイがガルデモの二代目ボーカルになればいいんじゃないか？」

//<0285> nothing
<0285> nothing

//<0286> nothing
<0286> nothing

//<0287> nothing
<0287> nothing

//<0288> nothing
<0288> nothing

//<0289> nothing
<0289> nothing

//<0290> ユイ
<0290> ユイ

//<0291> 「無理ですよ…」
<0291> 「無理ですよ…」

//<0292> nothing
<0292> nothing

//<0293> nothing
<0293> nothing

//<0294> nothing
<0294> nothing

//<0295> nothing
<0295> nothing

//<0296> nothing
<0296> nothing

//<0297> ユイ
<0297> ユイ

//<0298> 「あたしが岩沢さんになれるわけないじゃないですか」
<0298> 「あたしが岩沢さんになれるわけないじゃないですか」

//<0299> 音無
<0299> 音無

//<0300> クソ坊主
<0300> クソ坊主

//<0301> 代理人
<0301> 代理人

//<0302> 微妙すぎるイケメン
<0302> 微妙すぎるイケメン

//<0303> ロリコン
<0303> ロリコン

//<0304> メガネ仲間
<0304> メガネ仲間

//<0305> 暗算日本記録保持者
<0305> 暗算日本記録保持者

//<0306> 通り魔
<0306> 通り魔

//<0307> 記憶ナシ男
<0307> 記憶ナシ男

//<0308> 音速
<0308> 音速

//<0309> 無限
<0309> 無限

//<0310> エロ侍
<0310> エロ侍

//<0311> エロエロ団ナンバー１
<0311> エロエロ団ナンバー１

//<0312> ただのエロ少年
<0312> ただのエロ少年

//<0313> ユリブサイク
<0313> ユリブサイク

//<0314> ドピュッシー
<0314> ドピュッシー

//<0315> アメリカンエロドッグ
<0315> アメリカンエロドッグ

//<0316> ゼウス
<0316> ゼウス

//<0317> 日向markⅡ
<0317> 日向markⅡ

//<0318> 糞虫
<0318> 糞虫

//<0319> 量産型日向
<0319> 量産型日向

//<0320> ？？
<0320> ？？

//<0321> 「岩沢になるんじゃなくて、新しいガルデモになればいい」
<0321> 「岩沢になるんじゃなくて、新しいガルデモになればいい」

//<0322> nothing
<0322> nothing

//<0323> nothing
<0323> nothing

//<0324> nothing
<0324> nothing

//<0325> nothing
<0325> nothing

//<0326> nothing
<0326> nothing

//<0327> ユイ
<0327> ユイ

//<0328> 「それこそ、岩沢さんに失礼です」
<0328> 「それこそ、岩沢さんに失礼です」

//<0329> 音無
<0329> 音無

//<0330> クソ坊主
<0330> クソ坊主

//<0331> 代理人
<0331> 代理人

//<0332> 微妙すぎるイケメン
<0332> 微妙すぎるイケメン

//<0333> ロリコン
<0333> ロリコン

//<0334> メガネ仲間
<0334> メガネ仲間

//<0335> 暗算日本記録保持者
<0335> 暗算日本記録保持者

//<0336> 通り魔
<0336> 通り魔

//<0337> 記憶ナシ男
<0337> 記憶ナシ男

//<0338> 音速
<0338> 音速

//<0339> 無限
<0339> 無限

//<0340> エロ侍
<0340> エロ侍

//<0341> エロエロ団ナンバー１
<0341> エロエロ団ナンバー１

//<0342> ただのエロ少年
<0342> ただのエロ少年

//<0343> ユリブサイク
<0343> ユリブサイク

//<0344> ドピュッシー
<0344> ドピュッシー

//<0345> アメリカンエロドッグ
<0345> アメリカンエロドッグ

//<0346> ゼウス
<0346> ゼウス

//<0347> 日向markⅡ
<0347> 日向markⅡ

//<0348> 糞虫
<0348> 糞虫

//<0349> 量産型日向
<0349> 量産型日向

//<0350> ？？
<0350> ？？

//<0351> 「ええと、だな…」
<0351> 「ええと、だな…」

//<0352> 言うべきかどうか一瞬迷った。岩沢からは伝えないままのほうがいいと言われていたからだ。
<0352> 言うべきかどうか一瞬迷った。岩沢からは伝えないままのほうがいいと言われていたからだ。

//<0353> でも、その岩沢が居ないんだから、伝えてやるべきだと思った。
<0353> でも、その岩沢が居ないんだから、伝えてやるべきだと思った。

//<0354> 音無
<0354> 音無

//<0355> クソ坊主
<0355> クソ坊主

//<0356> 代理人
<0356> 代理人

//<0357> 微妙すぎるイケメン
<0357> 微妙すぎるイケメン

//<0358> ロリコン
<0358> ロリコン

//<0359> メガネ仲間
<0359> メガネ仲間

//<0360> 暗算日本記録保持者
<0360> 暗算日本記録保持者

//<0361> 通り魔
<0361> 通り魔

//<0362> 記憶ナシ男
<0362> 記憶ナシ男

//<0363> 音速
<0363> 音速

//<0364> 無限
<0364> 無限

//<0365> エロ侍
<0365> エロ侍

//<0366> エロエロ団ナンバー１
<0366> エロエロ団ナンバー１

//<0367> ただのエロ少年
<0367> ただのエロ少年

//<0368> ユリブサイク
<0368> ユリブサイク

//<0369> ドピュッシー
<0369> ドピュッシー

//<0370> アメリカンエロドッグ
<0370> アメリカンエロドッグ

//<0371> ゼウス
<0371> ゼウス

//<0372> 日向markⅡ
<0372> 日向markⅡ

//<0373> 糞虫
<0373> 糞虫

//<0374> 量産型日向
<0374> 量産型日向

//<0375> ？？
<0375> ？？

//<0376> 「その岩沢だけどさ…実はお前がここで路上ライブをし続けてたこと、ずっと前から知ってたんだぞ」
<0376> 「その岩沢だけどさ…実はお前がここで路上ライブをし続けてたこと、ずっと前から知ってたんだぞ」

//<0377> nothing
<0377> nothing

//<0378> nothing
<0378> nothing

//<0379> nothing
<0379> nothing

//<0380> nothing
<0380> nothing

//<0381> nothing
<0381> nothing

//<0382> ユイ
<0382> ユイ

//<0383> 「…はえ？　岩沢さんがあたしを？」
<0383> 「…はえ？　岩沢さんがあたしを？」

//<0384> 音無
<0384> 音無

//<0385> クソ坊主
<0385> クソ坊主

//<0386> 代理人
<0386> 代理人

//<0387> 微妙すぎるイケメン
<0387> 微妙すぎるイケメン

//<0388> ロリコン
<0388> ロリコン

//<0389> メガネ仲間
<0389> メガネ仲間

//<0390> 暗算日本記録保持者
<0390> 暗算日本記録保持者

//<0391> 通り魔
<0391> 通り魔

//<0392> 記憶ナシ男
<0392> 記憶ナシ男

//<0393> 音速
<0393> 音速

//<0394> 無限
<0394> 無限

//<0395> エロ侍
<0395> エロ侍

//<0396> エロエロ団ナンバー１
<0396> エロエロ団ナンバー１

//<0397> ただのエロ少年
<0397> ただのエロ少年

//<0398> ユリブサイク
<0398> ユリブサイク

//<0399> ドピュッシー
<0399> ドピュッシー

//<0400> アメリカンエロドッグ
<0400> アメリカンエロドッグ

//<0401> ゼウス
<0401> ゼウス

//<0402> 日向markⅡ
<0402> 日向markⅡ

//<0403> 糞虫
<0403> 糞虫

//<0404> 量産型日向
<0404> 量産型日向

//<0405> ？？
<0405> ？？

//<0406> 「ああ、お前と同じように地道に路上ライブしていた時の初心を忘れそうになった時、お前の歌を聴いては、それを取り戻し続けていたんだ」
<0406> 「ああ、お前と同じように地道に路上ライブしていた時の初心を忘れそうになった時、お前の歌を聴いては、それを取り戻し続けていたんだ」

//<0407> nothing
<0407> nothing

//<0408> nothing
<0408> nothing

//<0409> nothing
<0409> nothing

//<0410> nothing
<0410> nothing

//<0411> nothing
<0411> nothing

//<0412> ユイ
<0412> ユイ

//<0413> 「えぇっ…」
<0413> 「えぇっ…」

//<0414> あまりに衝撃すぎる事実に、絶句する。
<0414> あまりに衝撃すぎる事実に、絶句する。

//<0415> nothing
<0415> nothing

//<0416> nothing
<0416> nothing

//<0417> nothing
<0417> nothing

//<0418> nothing
<0418> nothing

//<0419> nothing
<0419> nothing

//<0420> ユイ
<0420> ユイ

//<0421> 「そ…それは、本当なんですか！？」
<0421> 「そ…それは、本当なんですか！？」

//<0422> 音無
<0422> 音無

//<0423> クソ坊主
<0423> クソ坊主

//<0424> 代理人
<0424> 代理人

//<0425> 微妙すぎるイケメン
<0425> 微妙すぎるイケメン

//<0426> ロリコン
<0426> ロリコン

//<0427> メガネ仲間
<0427> メガネ仲間

//<0428> 暗算日本記録保持者
<0428> 暗算日本記録保持者

//<0429> 通り魔
<0429> 通り魔

//<0430> 記憶ナシ男
<0430> 記憶ナシ男

//<0431> 音速
<0431> 音速

//<0432> 無限
<0432> 無限

//<0433> エロ侍
<0433> エロ侍

//<0434> エロエロ団ナンバー１
<0434> エロエロ団ナンバー１

//<0435> ただのエロ少年
<0435> ただのエロ少年

//<0436> ユリブサイク
<0436> ユリブサイク

//<0437> ドピュッシー
<0437> ドピュッシー

//<0438> アメリカンエロドッグ
<0438> アメリカンエロドッグ

//<0439> ゼウス
<0439> ゼウス

//<0440> 日向markⅡ
<0440> 日向markⅡ

//<0441> 糞虫
<0441> 糞虫

//<0442> 量産型日向
<0442> 量産型日向

//<0443> ？？
<0443> ？？

//<0444> 「ああ、本当だ。特に重要な陽動の時は、気合いを入れるために訪れていたらしい…」
<0444> 「ああ、本当だ。特に重要な陽動の時は、気合いを入れるために訪れていたらしい…」

//<0445> nothing
<0445> nothing

//<0446> nothing
<0446> nothing

//<0447> nothing
<0447> nothing

//<0448> nothing
<0448> nothing

//<0449> nothing
<0449> nothing

//<0450> ユイ
<0450> ユイ

//<0451> 「そうだったんですか…だったら、消える前に少しでもお話がしたかったな…」
<0451> 「そうだったんですか…だったら、消える前に少しでもお話がしたかったな…」

//<0452> 音無
<0452> 音無

//<0453> クソ坊主
<0453> クソ坊主

//<0454> 代理人
<0454> 代理人

//<0455> 微妙すぎるイケメン
<0455> 微妙すぎるイケメン

//<0456> ロリコン
<0456> ロリコン

//<0457> メガネ仲間
<0457> メガネ仲間

//<0458> 暗算日本記録保持者
<0458> 暗算日本記録保持者

//<0459> 通り魔
<0459> 通り魔

//<0460> 記憶ナシ男
<0460> 記憶ナシ男

//<0461> 音速
<0461> 音速

//<0462> 無限
<0462> 無限

//<0463> エロ侍
<0463> エロ侍

//<0464> エロエロ団ナンバー１
<0464> エロエロ団ナンバー１

//<0465> ただのエロ少年
<0465> ただのエロ少年

//<0466> ユリブサイク
<0466> ユリブサイク

//<0467> ドピュッシー
<0467> ドピュッシー

//<0468> アメリカンエロドッグ
<0468> アメリカンエロドッグ

//<0469> ゼウス
<0469> ゼウス

//<0470> 日向markⅡ
<0470> 日向markⅡ

//<0471> 糞虫
<0471> 糞虫

//<0472> 量産型日向
<0472> 量産型日向

//<0473> ？？
<0473> ？？

//<0474> 「でも、それをお前に知られると、意識しちまって、今のお前の良さが消えちまうからって、常にお忍びで来ていたらしい」
<0474> 「でも、それをお前に知られると、意識しちまって、今のお前の良さが消えちまうからって、常にお忍びで来ていたらしい」

//<0475> nothing
<0475> nothing

//<0476> nothing
<0476> nothing

//<0477> nothing
<0477> nothing

//<0478> nothing
<0478> nothing

//<0479> nothing
<0479> nothing

//<0480> ユイ
<0480> ユイ

//<0481> 「………」
<0481> 「………」

//<0482> 音無
<0482> 音無

//<0483> クソ坊主
<0483> クソ坊主

//<0484> 代理人
<0484> 代理人

//<0485> 微妙すぎるイケメン
<0485> 微妙すぎるイケメン

//<0486> ロリコン
<0486> ロリコン

//<0487> メガネ仲間
<0487> メガネ仲間

//<0488> 暗算日本記録保持者
<0488> 暗算日本記録保持者

//<0489> 通り魔
<0489> 通り魔

//<0490> 記憶ナシ男
<0490> 記憶ナシ男

//<0491> 音速
<0491> 音速

//<0492> 無限
<0492> 無限

//<0493> エロ侍
<0493> エロ侍

//<0494> エロエロ団ナンバー１
<0494> エロエロ団ナンバー１

//<0495> ただのエロ少年
<0495> ただのエロ少年

//<0496> ユリブサイク
<0496> ユリブサイク

//<0497> ドピュッシー
<0497> ドピュッシー

//<0498> アメリカンエロドッグ
<0498> アメリカンエロドッグ

//<0499> ゼウス
<0499> ゼウス

//<0500> 日向markⅡ
