// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 岩沢に気がある
<0000> 岩沢に気がある
//<0134> nothing
<0134> nothing

//<0135> nothing
<0135> nothing

//<0136> 日向
<0136> 日向

//<0137> 男Ｂ
<0137> 男Ｂ

//<0138> エロエロ団総帥
<0138> エロエロ団総帥

//<0139> イケチン
<0139> イケチン

//<0140> ホモ太
<0140> ホモ太

//<0141> ひなチン
<0141> ひなチン

//<0142> 秀樹
<0142> 秀樹

//<0143> 男子生徒
<0143> 男子生徒

//<0144> ？？
<0144> ？？

//<0145> 「だろーな。岩沢か、ひさ子、どっちだ？」
<0145> 「だろーな。岩沢か、ひさ子、どっちだ？」

//<0146> 岩沢
<0146> 岩沢

//<0147> ひさ子
<0147> ひさ子

//<0148> selbtn : 
<0148> selbtn : 

//<0149> 音無
<0149> 音無

//<0150> クソ坊主
<0150> クソ坊主

//<0151> 代理人
<0151> 代理人

//<0152> 微妙すぎるイケメン
<0152> 微妙すぎるイケメン

//<0153> ロリコン
<0153> ロリコン

//<0154> メガネ仲間
<0154> メガネ仲間

//<0155> 暗算日本記録保持者
<0155> 暗算日本記録保持者

//<0156> 通り魔
<0156> 通り魔

//<0157> 記憶ナシ男
<0157> 記憶ナシ男

//<0158> 音速
<0158> 音速

//<0159> 無限
<0159> 無限

//<0160> エロ侍
<0160> エロ侍

//<0161> エロエロ団ナンバー１
<0161> エロエロ団ナンバー１

//<0162> ただのエロ少年
<0162> ただのエロ少年

//<0163> ユリブサイク
<0163> ユリブサイク

//<0164> ドピュッシー
<0164> ドピュッシー

//<0165> アメリカンエロドッグ
<0165> アメリカンエロドッグ

//<0166> ゼウス
<0166> ゼウス

//<0167> 日向markⅡ
<0167> 日向markⅡ

//<0168> 糞虫
<0168> 糞虫

//<0169> 量産型日向
<0169> 量産型日向

//<0170> ？？
<0170> ？？

//<0171> 「ああ、岩沢だ」
<0171> 「ああ、岩沢だ」

//<0172> 音無
<0172> 音無

//<0173> クソ坊主
<0173> クソ坊主

//<0174> 代理人
<0174> 代理人

//<0175> 微妙すぎるイケメン
<0175> 微妙すぎるイケメン

//<0176> ロリコン
<0176> ロリコン

//<0177> メガネ仲間
<0177> メガネ仲間

//<0178> 暗算日本記録保持者
<0178> 暗算日本記録保持者

//<0179> 通り魔
<0179> 通り魔

//<0180> 記憶ナシ男
<0180> 記憶ナシ男

//<0181> 音速
<0181> 音速

//<0182> 無限
<0182> 無限

//<0183> エロ侍
<0183> エロ侍

//<0184> エロエロ団ナンバー１
<0184> エロエロ団ナンバー１

//<0185> ただのエロ少年
<0185> ただのエロ少年

//<0186> ユリブサイク
<0186> ユリブサイク

//<0187> ドピュッシー
<0187> ドピュッシー

//<0188> アメリカンエロドッグ
<0188> アメリカンエロドッグ

//<0189> ゼウス
<0189> ゼウス

//<0190> 日向markⅡ
<0190> 日向markⅡ

//<0191> 糞虫
<0191> 糞虫

//<0192> 量産型日向
<0192> 量産型日向

//<0193> ？？
<0193> ？？

//<0194> 「ああ…岩沢だ…」
<0194> 「ああ…岩沢だ…」

//<0195> 苦しげに告げた。
<0195> 苦しげに告げた。

//<0196> nothing
<0196> nothing

//<0197> nothing
<0197> nothing

//<0198> nothing
<0198> nothing

//<0199> nothing
<0199> nothing

//<0200> nothing
<0200> nothing

//<0201> 日向
<0201> 日向

//<0202> 男Ｂ
<0202> 男Ｂ

//<0203> エロエロ団総帥
<0203> エロエロ団総帥

//<0204> イケチン
<0204> イケチン

//<0205> ホモ太
<0205> ホモ太

//<0206> ひなチン
<0206> ひなチン

//<0207> 秀樹
<0207> 秀樹

//<0208> 男子生徒
<0208> 男子生徒

//<0209> ？？
<0209> ？？

//<0210> 「だろーな。今のガルデモの人気は岩沢がフロントマンに立つ、そのカリスマ性によるものだ」
<0210> 「だろーな。今のガルデモの人気は岩沢がフロントマンに立つ、そのカリスマ性によるものだ」

//<0211> 音無
<0211> 音無

//<0212> クソ坊主
<0212> クソ坊主

//<0213> 代理人
<0213> 代理人

//<0214> 微妙すぎるイケメン
<0214> 微妙すぎるイケメン

//<0215> ロリコン
<0215> ロリコン

//<0216> メガネ仲間
<0216> メガネ仲間

//<0217> 暗算日本記録保持者
<0217> 暗算日本記録保持者

//<0218> 通り魔
<0218> 通り魔

//<0219> 記憶ナシ男
<0219> 記憶ナシ男

//<0220> 音速
<0220> 音速

//<0221> 無限
<0221> 無限

//<0222> エロ侍
<0222> エロ侍

//<0223> エロエロ団ナンバー１
<0223> エロエロ団ナンバー１

//<0224> ただのエロ少年
<0224> ただのエロ少年

//<0225> ユリブサイク
<0225> ユリブサイク

//<0226> ドピュッシー
<0226> ドピュッシー

//<0227> アメリカンエロドッグ
<0227> アメリカンエロドッグ

//<0228> ゼウス
<0228> ゼウス

//<0229> 日向markⅡ
<0229> 日向markⅡ

//<0230> 糞虫
<0230> 糞虫

//<0231> 量産型日向
<0231> 量産型日向

//<0232> ？？
<0232> ？？

//<0233> 「まるで、俺がただの１ファンみたいじゃないか」
<0233> 「まるで、俺がただの１ファンみたいじゃないか」

//<0234> nothing
<0234> nothing

//<0235> nothing
<0235> nothing

//<0236> nothing
<0236> nothing

//<0237> nothing
<0237> nothing

//<0238> nothing
<0238> nothing

//<0239> 日向
<0239> 日向

//<0240> 男Ｂ
<0240> 男Ｂ

//<0241> エロエロ団総帥
<0241> エロエロ団総帥

//<0242> イケチン
<0242> イケチン

//<0243> ホモ太
<0243> ホモ太

//<0244> ひなチン
<0244> ひなチン

//<0245> 秀樹
<0245> 秀樹

//<0246> 男子生徒
<0246> 男子生徒

//<0247> ？？
<0247> ？？

//<0248> 「ああ、その通りだ」
<0248> 「ああ、その通りだ」

//<0249> 俺は言葉を失う。
<0249> 俺は言葉を失う。

//<0250> nothing
<0250> nothing

//<0251> nothing
<0251> nothing

//<0252> nothing
<0252> nothing

//<0253> nothing
<0253> nothing

//<0254> nothing
<0254> nothing

//<0255> 日向
<0255> 日向

//<0256> 男Ｂ
<0256> 男Ｂ

//<0257> エロエロ団総帥
<0257> エロエロ団総帥

//<0258> イケチン
<0258> イケチン

//<0259> ホモ太
<0259> ホモ太

//<0260> ひなチン
<0260> ひなチン

//<0261> 秀樹
<0261> 秀樹

//<0262> 男子生徒
<0262> 男子生徒

//<0263> ？？
<0263> ？？

//<0264> 「でも時間をかければ、岩沢が心を許す唯一の存在が、お前になる日も来るかもな」
<0264> 「でも時間をかければ、岩沢が心を許す唯一の存在が、お前になる日も来るかもな」

//<0265> 音無
<0265> 音無

//<0266> クソ坊主
<0266> クソ坊主

//<0267> 代理人
<0267> 代理人

//<0268> 微妙すぎるイケメン
<0268> 微妙すぎるイケメン

//<0269> ロリコン
<0269> ロリコン

//<0270> メガネ仲間
<0270> メガネ仲間

//<0271> 暗算日本記録保持者
<0271> 暗算日本記録保持者

//<0272> 通り魔
<0272> 通り魔

//<0273> 記憶ナシ男
<0273> 記憶ナシ男

//<0274> 音速
<0274> 音速

//<0275> 無限
<0275> 無限

//<0276> エロ侍
<0276> エロ侍

//<0277> エロエロ団ナンバー１
<0277> エロエロ団ナンバー１

//<0278> ただのエロ少年
<0278> ただのエロ少年

//<0279> ユリブサイク
<0279> ユリブサイク

//<0280> ドピュッシー
<0280> ドピュッシー

//<0281> アメリカンエロドッグ
<0281> アメリカンエロドッグ

//<0282> ゼウス
<0282> ゼウス

//<0283> 日向markⅡ
<0283> 日向markⅡ

//<0284> 糞虫
<0284> 糞虫

//<0285> 量産型日向
<0285> 量産型日向

//<0286> ？？
<0286> ？？

//<0287> 「マジかよ…」
<0287> 「マジかよ…」

//<0288> nothing
<0288> nothing

//<0289> nothing
<0289> nothing

//<0290> nothing
<0290> nothing

//<0291> nothing
<0291> nothing

//<0292> nothing
<0292> nothing

//<0293> 日向
<0293> 日向

//<0294> 男Ｂ
<0294> 男Ｂ

//<0295> エロエロ団総帥
<0295> エロエロ団総帥

//<0296> イケチン
<0296> イケチン

//<0297> ホモ太
<0297> ホモ太

//<0298> ひなチン
<0298> ひなチン

//<0299> 秀樹
<0299> 秀樹

//<0300> 男子生徒
<0300> 男子生徒

//<0301> ？？
<0301> ？？

//<0302> 「時間はいくらでもあるからな」
<0302> 「時間はいくらでもあるからな」

//<0303> nothing
<0303> nothing

//<0304> nothing
<0304> nothing

//<0305> nothing
<0305> nothing

//<0306> nothing
<0306> nothing

//<0307> nothing
<0307> nothing

//<0308> nothing
<0308> nothing

//<0309> 本当にそんな日が来るといいな…。
<0309> 本当にそんな日が来るといいな…。

//<0310> そんな日が果たしてくるのだろうか…。
<0310> そんな日が果たしてくるのだろうか…。

//<0311> 音無
<0311> 音無

//<0312> クソ坊主
<0312> クソ坊主

//<0313> 代理人
<0313> 代理人

//<0314> 微妙すぎるイケメン
<0314> 微妙すぎるイケメン

//<0315> ロリコン
<0315> ロリコン

//<0316> メガネ仲間
<0316> メガネ仲間

//<0317> 暗算日本記録保持者
<0317> 暗算日本記録保持者

//<0318> 通り魔
<0318> 通り魔

//<0319> 記憶ナシ男
<0319> 記憶ナシ男

//<0320> 音速
<0320> 音速

//<0321> 無限
<0321> 無限

//<0322> エロ侍
<0322> エロ侍

//<0323> エロエロ団ナンバー１
<0323> エロエロ団ナンバー１

//<0324> ただのエロ少年
<0324> ただのエロ少年

//<0325> ユリブサイク
<0325> ユリブサイク

//<0326> ドピュッシー
<0326> ドピュッシー

//<0327> アメリカンエロドッグ
<0327> アメリカンエロドッグ

//<0328> ゼウス
<0328> ゼウス

//<0329> 日向markⅡ
<0329> 日向markⅡ

//<0330> 糞虫
<0330> 糞虫

//<0331> 量産型日向
<0331> 量産型日向

//<0332> ？？
<0332> ？？

//<0333> 「…ひさ子だ」
<0333> 「…ひさ子だ」

//<0334> nothing
<0334> nothing

//<0335> nothing
<0335> nothing

//<0336> nothing
<0336> nothing

//<0337> nothing
<0337> nothing

//<0338> nothing
<0338> nothing

//<0339> 日向
<0339> 日向

//<0340> 男Ｂ
<0340> 男Ｂ

//<0341> エロエロ団総帥
<0341> エロエロ団総帥

//<0342> イケチン
<0342> イケチン

//<0343> ホモ太
<0343> ホモ太

//<0344> ひなチン
<0344> ひなチン

//<0345> 秀樹
<0345> 秀樹

//<0346> 男子生徒
<0346> 男子生徒

//<0347> ？？
<0347> ？？

//<0348> 「へー、ひさ子の生前を聞いたのか？」
<0348> 「へー、ひさ子の生前を聞いたのか？」

//<0349> 音無
<0349> 音無

//<0350> クソ坊主
<0350> クソ坊主

//<0351> 代理人
<0351> 代理人

//<0352> 微妙すぎるイケメン
<0352> 微妙すぎるイケメン

//<0353> ロリコン
<0353> ロリコン

//<0354> メガネ仲間
<0354> メガネ仲間

//<0355> 暗算日本記録保持者
<0355> 暗算日本記録保持者

//<0356> 通り魔
<0356> 通り魔

//<0357> 記憶ナシ男
<0357> 記憶ナシ男

//<0358> 音速
<0358> 音速

//<0359> 無限
<0359> 無限

//<0360> エロ侍
<0360> エロ侍

//<0361> エロエロ団ナンバー１
<0361> エロエロ団ナンバー１

//<0362> ただのエロ少年
<0362> ただのエロ少年

//<0363> ユリブサイク
<0363> ユリブサイク

//<0364> ドピュッシー
<0364> ドピュッシー

//<0365> アメリカンエロドッグ
<0365> アメリカンエロドッグ

//<0366> ゼウス
<0366> ゼウス

//<0367> 日向markⅡ
<0367> 日向markⅡ

//<0368> 糞虫
<0368> 糞虫

//<0369> 量産型日向
<0369> 量産型日向

//<0370> ？？
<0370> ？？

//<0371> 「いや…聞いていない」
<0371> 「いや…聞いていない」

//<0372> nothing
<0372> nothing

//<0373> nothing
<0373> nothing

//<0374> nothing
<0374> nothing

//<0375> nothing
<0375> nothing

//<0376> nothing
<0376> nothing

//<0377> 日向
<0377> 日向

//<0378> 男Ｂ
<0378> 男Ｂ

//<0379> エロエロ団総帥
<0379> エロエロ団総帥

//<0380> イケチン
<0380> イケチン

//<0381> ホモ太
<0381> ホモ太

//<0382> ひなチン
<0382> ひなチン

//<0383> 秀樹
<0383> 秀樹

//<0384> 男子生徒
<0384> 男子生徒

//<0385> ？？
<0385> ？？

//<0386> 「それでどうしてひさ子なんだよ。ルックスか？」
<0386> 「それでどうしてひさ子なんだよ。ルックスか？」

//<0387> ああ
<0387> ああ

//<0388> わからない
<0388> わからない

//<0389> selbtn : 
<0389> selbtn : 

//<0390> 音無
<0390> 音無

//<0391> クソ坊主
<0391> クソ坊主

//<0392> 代理人
<0392> 代理人

//<0393> 微妙すぎるイケメン
<0393> 微妙すぎるイケメン

//<0394> ロリコン
<0394> ロリコン

//<0395> メガネ仲間
<0395> メガネ仲間

//<0396> 暗算日本記録保持者
<0396> 暗算日本記録保持者

//<0397> 通り魔
<0397> 通り魔

//<0398> 記憶ナシ男
<0398> 記憶ナシ男

//<0399> 音速
<0399> 音速

//<0400> 無限
<0400> 無限

//<0401> エロ侍
<0401> エロ侍

//<0402> エロエロ団ナンバー１
<0402> エロエロ団ナンバー１

//<0403> ただのエロ少年
<0403> ただのエロ少年

//<0404> ユリブサイク
<0404> ユリブサイク

//<0405> ドピュッシー
<0405> ドピュッシー

//<0406> アメリカンエロドッグ
<0406> アメリカンエロドッグ

//<0407> ゼウス
<0407> ゼウス

//<0408> 日向markⅡ
<0408> 日向markⅡ

//<0409> 糞虫
<0409> 糞虫

//<0410> 量産型日向
<0410> 量産型日向

//<0411> ？？
<0411> ？？

//<0412> 「ああ」
<0412> 「ああ」

//<0413> nothing
<0413> nothing

//<0414> nothing
<0414> nothing

//<0415> nothing
<0415> nothing

//<0416> nothing
<0416> nothing

//<0417> nothing
<0417> nothing

//<0418> 日向
<0418> 日向

//<0419> 男Ｂ
<0419> 男Ｂ

//<0420> エロエロ団総帥
<0420> エロエロ団総帥

//<0421> イケチン
<0421> イケチン

//<0422> ホモ太
<0422> ホモ太

//<0423> ひなチン
<0423> ひなチン

//<0424> 秀樹
<0424> 秀樹

//<0425> 男子生徒
<0425> 男子生徒

//<0426> ？？
<0426> ？？

//<0427> 「おっと、そいつは通だな」
<0427> 「おっと、そいつは通だな」

//<0428> 音無
<0428> 音無

//<0429> クソ坊主
<0429> クソ坊主

//<0430> 代理人
<0430> 代理人

//<0431> 微妙すぎるイケメン
<0431> 微妙すぎるイケメン

//<0432> ロリコン
<0432> ロリコン

//<0433> メガネ仲間
<0433> メガネ仲間

//<0434> 暗算日本記録保持者
<0434> 暗算日本記録保持者

//<0435> 通り魔
<0435> 通り魔

//<0436> 記憶ナシ男
<0436> 記憶ナシ男

//<0437> 音速
<0437> 音速

//<0438> 無限
<0438> 無限

//<0439> エロ侍
<0439> エロ侍

//<0440> エロエロ団ナンバー１
<0440> エロエロ団ナンバー１

//<0441> ただのエロ少年
<0441> ただのエロ少年

//<0442> ユリブサイク
<0442> ユリブサイク

//<0443> ドピュッシー
<0443> ドピュッシー

//<0444> アメリカンエロドッグ
<0444> アメリカンエロドッグ

//<0445> ゼウス
<0445> ゼウス

//<0446> 日向markⅡ
<0446> 日向markⅡ

//<0447> 糞虫
<0447> 糞虫

//<0448> 量産型日向
<0448> 量産型日向

//<0449> ？？
<0449> ？？

//<0450> 「え？　どうして？」
<0450> 「え？　どうして？」

//<0451> nothing
<0451> nothing

//<0452> nothing
<0452> nothing

//<0453> nothing
<0453> nothing

//<0454> nothing
<0454> nothing

//<0455> nothing
<0455> nothing

//<0456> 日向
<0456> 日向

//<0457> 男Ｂ
<0457> 男Ｂ

//<0458> エロエロ団総帥
<0458> エロエロ団総帥

//<0459> イケチン
<0459> イケチン

//<0460> ホモ太
<0460> ホモ太

//<0461> ひなチン
<0461> ひなチン

//<0462> 秀樹
<0462> 秀樹

//<0463> 男子生徒
<0463> 男子生徒

//<0464> ？？
<0464> ？？

//<0465> 「ガルデモってのは、素人から見れば、岩沢のワンマンバンドに見える」
<0465> 「ガルデモってのは、素人から見れば、岩沢のワンマンバンドに見える」

//<0466> nothing
<0466> nothing

//<0467> nothing
<0467> nothing

//<0468> nothing
<0468> nothing

//<0469> nothing
<0469> nothing

//<0470> nothing
<0470> nothing

//<0471> 日向
<0471> 日向

//<0472> 男Ｂ
<0472> 男Ｂ

//<0473> エロエロ団総帥
<0473> エロエロ団総帥

//<0474> イケチン
<0474> イケチン

//<0475> ホモ太
<0475> ホモ太

//<0476> ひなチン
<0476> ひなチン

//<0477> 秀樹
<0477> 秀樹

//<0478> 男子生徒
<0478> 男子生徒

//<0479> ？？
<0479> ？？

//<0480> 「でも、それを支えてるのはこの世界で古くから親友関係にあった、ひさ子だ」
<0480> 「でも、それを支えてるのはこの世界で古くから親友関係にあった、ひさ子だ」

//<0481> nothing
<0481> nothing

//<0482> nothing
<0482> nothing

//<0483> nothing
<0483> nothing

//<0484> nothing
<0484> nothing

//<0485> nothing
<0485> nothing

//<0486> 日向
<0486> 日向

//<0487> 男Ｂ
<0487> 男Ｂ

//<0488> エロエロ団総帥
<0488> エロエロ団総帥

//<0489> イケチン
<0489> イケチン

//<0490> ホモ太
<0490> ホモ太

//<0491> ひなチン
<0491> ひなチン

//<0492> 秀樹
<0492> 秀樹

//<0493> 男子生徒
<0493> 男子生徒

//<0494> ？？
<0494> ？？

//<0495> 「ガルデモの作曲は岩沢だが、アレンジはほぼひさ子が考えている」
<0495> 「ガルデモの作曲は岩沢だが、アレンジはほぼひさ子が考えている」

//<0496> nothing
<0496> nothing

//<0497> nothing
<0497> nothing

//<0498> nothing
<0498> nothing

//<0499> nothing
<0499> nothing

//<0500> nothing
<0500> nothing

//<0501> 日向
<0501> 日向

//<0502> 男Ｂ
<0502> 男Ｂ

//<0503> エロエロ団総帥
<0503> エロエロ団総帥

//<0504> イケチン
<0504> イケチン

//<0505> ホモ太
<0505> ホモ太

//<0506> ひなチン
<0506> ひなチン

//<0507> 秀樹
<0507> 秀樹

//<0508> 男子生徒
<0508> 男子生徒

//<0509> ？？
<0509> ？？

//<0510> 「岩沢も任せっきりにできるぐらい、あのふたりの絆は深い」
<0510> 「岩沢も任せっきりにできるぐらい、あのふたりの絆は深い」

//<0511> 音無
<0511> 音無

//<0512> クソ坊主
<0512> クソ坊主

//<0513> 代理人
<0513> 代理人

//<0514> 微妙すぎるイケメン
<0514> 微妙すぎるイケメン

//<0515> ロリコン
<0515> ロリコン

//<0516> メガネ仲間
<0516> メガネ仲間

//<0517> 暗算日本記録保持者
<0517> 暗算日本記録保持者

//<0518> 通り魔
<0518> 通り魔

//<0519> 記憶ナシ男
<0519> 記憶ナシ男

//<0520> 音速
<0520> 音速

//<0521> 無限
<0521> 無限

//<0522> エロ侍
<0522> エロ侍

//<0523> エロエロ団ナンバー１
<0523> エロエロ団ナンバー１

//<0524> ただのエロ少年
<0524> ただのエロ少年

//<0525> ユリブサイク
<0525> ユリブサイク

//<0526> ドピュッシー
<0526> ドピュッシー

//<0527> アメリカンエロドッグ
<0527> アメリカンエロドッグ

//<0528> ゼウス
<0528> ゼウス

//<0529> 日向markⅡ
<0529> 日向markⅡ

//<0530> 糞虫
<0530> 糞虫

//<0531> 量産型日向
<0531> 量産型日向

//<0532> ？？
<0532> ？？

//<0533> 「だったら、俺の行動は正しかったのか…？」
<0533> 「だったら、俺の行動は正しかったのか…？」

//<0534> 音無
<0534> 音無

//<0535> クソ坊主
<0535> クソ坊主

//<0536> 代理人
<0536> 代理人

//<0537> 微妙すぎるイケメン
<0537> 微妙すぎるイケメン

//<0538> ロリコン
<0538> ロリコン

//<0539> メガネ仲間
<0539> メガネ仲間

//<0540> 暗算日本記録保持者
<0540> 暗算日本記録保持者

//<0541> 通り魔
<0541> 通り魔

//<0542> 記憶ナシ男
<0542> 記憶ナシ男

//<0543> 音速
<0543> 音速

//<0544> 無限
<0544> 無限

//<0545> エロ侍
<0545> エロ侍

//<0546> エロエロ団ナンバー１
<0546> エロエロ団ナンバー１

//<0547> ただのエロ少年
<0547> ただのエロ少年

//<0548> ユリブサイク
<0548> ユリブサイク

//<0549> ドピュッシー
<0549> ドピュッシー

//<0550> アメリカンエロドッグ
<0550> アメリカンエロドッグ

//<0551> ゼウス
<0551> ゼウス

//<0552> 日向markⅡ
<0552> 日向markⅡ

//<0553> 糞虫
<0553> 糞虫

//<0554> 量産型日向
