// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> いつもの訓練場所、川の岸にまでやってくる。
<0000> いつもの訓練場所、川の岸にまでやってくる。
<0109> selbtn : 

//<0110> 音無
<0110> 音無

//<0111> クソ坊主
<0111> クソ坊主

//<0112> 代理人
<0112> 代理人

//<0113> 微妙すぎるイケメン
<0113> 微妙すぎるイケメン

//<0114> ロリコン
<0114> ロリコン

//<0115> メガネ仲間
<0115> メガネ仲間

//<0116> 暗算日本記録保持者
<0116> 暗算日本記録保持者

//<0117> 通り魔
<0117> 通り魔

//<0118> 記憶ナシ男
<0118> 記憶ナシ男

//<0119> 音速
<0119> 音速

//<0120> 無限
<0120> 無限

//<0121> エロ侍
<0121> エロ侍

//<0122> エロエロ団ナンバー１
<0122> エロエロ団ナンバー１

//<0123> ただのエロ少年
<0123> ただのエロ少年

//<0124> ユリブサイク
<0124> ユリブサイク

//<0125> ドピュッシー
<0125> ドピュッシー

//<0126> アメリカンエロドッグ
<0126> アメリカンエロドッグ

//<0127> ゼウス
<0127> ゼウス

//<0128> 日向markⅡ
<0128> 日向markⅡ

//<0129> 糞虫
<0129> 糞虫

//<0130> 量産型日向
<0130> 量産型日向

//<0131> ？？
<0131> ？？

//<0132> 「ああ、もちろんともだちは」
<0132> 「ああ、もちろんともだちは」

//<0133> nothing
<0133> nothing

//<0134> nothing
<0134> nothing

//<0135> nothing
<0135> nothing

//<0136> nothing
<0136> nothing

//<0137> nothing
<0137> nothing

//<0138> 野田
<0138> 野田

//<0139> 男Ｆ
<0139> 男Ｆ

//<0140> イケパイ
<0140> イケパイ

//<0141> 男
<0141> 男

//<0142> ？？
<0142> ？？

//<0143> 「ほっは…」
<0143> 「ほっは…」

//<0144> nothing
<0144> nothing

//<0145> nothing
<0145> nothing

//<0146> nothing
<0146> nothing

//<0147> nothing
<0147> nothing

//<0148> nothing
<0148> nothing

//<0149> 野田
<0149> 野田

//<0150> 男Ｆ
<0150> 男Ｆ

//<0151> イケパイ
<0151> イケパイ

//<0152> 男
<0152> 男

//<0153> ？？
<0153> ？？

//<0154> 「おとなひよ、おれは、おまえというほんはいはゆるへなはった」
<0154> 「おとなひよ、おれは、おまえというほんはいはゆるへなはった」

//<0155> nothing
<0155> nothing

//<0156> nothing
<0156> nothing

//<0157> nothing
<0157> nothing

//<0158> nothing
<0158> nothing

//<0159> nothing
<0159> nothing

//<0160> 野田
<0160> 野田

//<0161> 男Ｆ
<0161> 男Ｆ

//<0162> イケパイ
<0162> イケパイ

//<0163> 男
<0163> 男

//<0164> ？？
<0164> ？？

//<0165> 「いひなりはんぶいりひて、ゆりっぺにちはづいて…」
<0165> 「いひなりはんぶいりひて、ゆりっぺにちはづいて…」

//<0166> nothing
<0166> nothing

//<0167> nothing
<0167> nothing

//<0168> nothing
<0168> nothing

//<0169> nothing
<0169> nothing

//<0170> nothing
<0170> nothing

//<0171> 野田
<0171> 野田

//<0172> 男Ｆ
<0172> 男Ｆ

//<0173> イケパイ
<0173> イケパイ

//<0174> 男
<0174> 男

//<0175> ？？
<0175> ？？

//<0176> 「ほんなのはんほふだろう！って、ほにはふだいいちいんひょうははいあふだった…」
<0176> 「ほんなのはんほふだろう！って、ほにはふだいいちいんひょうははいあふだった…」

//<0177> 音無
<0177> 音無

//<0178> クソ坊主
<0178> クソ坊主

//<0179> 代理人
<0179> 代理人

//<0180> 微妙すぎるイケメン
<0180> 微妙すぎるイケメン

//<0181> ロリコン
<0181> ロリコン

//<0182> メガネ仲間
<0182> メガネ仲間

//<0183> 暗算日本記録保持者
<0183> 暗算日本記録保持者

//<0184> 通り魔
<0184> 通り魔

//<0185> 記憶ナシ男
<0185> 記憶ナシ男

//<0186> 音速
<0186> 音速

//<0187> 無限
<0187> 無限

//<0188> エロ侍
<0188> エロ侍

//<0189> エロエロ団ナンバー１
<0189> エロエロ団ナンバー１

//<0190> ただのエロ少年
<0190> ただのエロ少年

//<0191> ユリブサイク
<0191> ユリブサイク

//<0192> ドピュッシー
<0192> ドピュッシー

//<0193> アメリカンエロドッグ
<0193> アメリカンエロドッグ

//<0194> ゼウス
<0194> ゼウス

//<0195> 日向markⅡ
<0195> 日向markⅡ

//<0196> 糞虫
<0196> 糞虫

//<0197> 量産型日向
<0197> 量産型日向

//<0198> ？？
<0198> ？？

//<0199> 「いまはちはうのは？」
<0199> 「いまはちはうのは？」

//<0200> nothing
<0200> nothing

//<0201> nothing
<0201> nothing

//<0202> nothing
<0202> nothing

//<0203> nothing
<0203> nothing

//<0204> nothing
<0204> nothing

//<0205> 野田
<0205> 野田

//<0206> 男Ｆ
<0206> 男Ｆ

//<0207> イケパイ
<0207> イケパイ

//<0208> 男
<0208> 男

//<0209> ？？
<0209> ？？

//<0210> 「ああ…ちはう…」
<0210> 「ああ…ちはう…」

//<0211> nothing
<0211> nothing

//<0212> nothing
<0212> nothing

//<0213> nothing
<0213> nothing

//<0214> nothing
<0214> nothing

//<0215> nothing
<0215> nothing

//<0216> 野田
<0216> 野田

//<0217> 男Ｆ
<0217> 男Ｆ

//<0218> イケパイ
<0218> イケパイ

//<0219> 男
<0219> 男

//<0220> ？？
<0220> ？？

//<0221> 「おれはいつだって…ひぶんのほとひははんはえてなはった…」
<0221> 「おれはいつだって…ひぶんのほとひははんはえてなはった…」

//<0222> nothing
<0222> nothing

//<0223> nothing
<0223> nothing

//<0224> nothing
<0224> nothing

//<0225> nothing
<0225> nothing

//<0226> nothing
<0226> nothing

//<0227> 野田
<0227> 野田

//<0228> 男Ｆ
<0228> 男Ｆ

//<0229> イケパイ
<0229> イケパイ

//<0230> 男
<0230> 男

//<0231> ？？
<0231> ？？

//<0232> 「みはってで、まわりをみるほとはでひないにんへんなんだ…」
<0232> 「みはってで、まわりをみるほとはでひないにんへんなんだ…」

//<0233> nothing
<0233> nothing

//<0234> nothing
<0234> nothing

//<0235> nothing
<0235> nothing

//<0236> nothing
<0236> nothing

//<0237> nothing
<0237> nothing

//<0238> 野田
<0238> 野田

//<0239> 男Ｆ
<0239> 男Ｆ

//<0240> イケパイ
<0240> イケパイ

//<0241> 男
<0241> 男

//<0242> ？？
<0242> ？？

//<0243> 「だはら、もちろんともだちなんてでひやひない…」
<0243> 「だはら、もちろんともだちなんてでひやひない…」

//<0244> nothing
<0244> nothing

//<0245> nothing
<0245> nothing

//<0246> nothing
<0246> nothing

//<0247> nothing
<0247> nothing

//<0248> nothing
<0248> nothing

//<0249> 野田
<0249> 野田

//<0250> 男Ｆ
<0250> 男Ｆ

//<0251> イケパイ
<0251> イケパイ

//<0252> 男
<0252> 男

//<0253> ？？
<0253> ？？

//<0254> 「はふて、おまえはいったとおりだ…」
<0254> 「はふて、おまえはいったとおりだ…」

//<0255> 竹山が天使エリア侵入作戦に登用された時のことか…。
<0255> 竹山が天使エリア侵入作戦に登用された時のことか…。

//<0256> 音無
<0256> 音無

//<0257> クソ坊主
<0257> クソ坊主

//<0258> 代理人
<0258> 代理人

//<0259> 微妙すぎるイケメン
<0259> 微妙すぎるイケメン

//<0260> ロリコン
<0260> ロリコン

//<0261> メガネ仲間
<0261> メガネ仲間

//<0262> 暗算日本記録保持者
<0262> 暗算日本記録保持者

//<0263> 通り魔
<0263> 通り魔

//<0264> 記憶ナシ男
<0264> 記憶ナシ男

//<0265> 音速
<0265> 音速

//<0266> 無限
<0266> 無限

//<0267> エロ侍
<0267> エロ侍

//<0268> エロエロ団ナンバー１
<0268> エロエロ団ナンバー１

//<0269> ただのエロ少年
<0269> ただのエロ少年

//<0270> ユリブサイク
<0270> ユリブサイク

//<0271> ドピュッシー
<0271> ドピュッシー

//<0272> アメリカンエロドッグ
<0272> アメリカンエロドッグ

//<0273> ゼウス
<0273> ゼウス

//<0274> 日向markⅡ
<0274> 日向markⅡ

//<0275> 糞虫
<0275> 糞虫

//<0276> 量産型日向
<0276> 量産型日向

//<0277> ？？
<0277> ？？

//<0278> 「あのとひはわるはったな…」
<0278> 「あのとひはわるはったな…」

//<0279> nothing
<0279> nothing

//<0280> nothing
<0280> nothing

//<0281> nothing
<0281> nothing

//<0282> nothing
<0282> nothing

//<0283> nothing
<0283> nothing

//<0284> 野田
<0284> 野田

//<0285> 男Ｆ
<0285> 男Ｆ

//<0286> イケパイ
<0286> イケパイ

//<0287> 男
<0287> 男

//<0288> ？？
<0288> ？？

//<0289> 「でも、そのおまえはいま、ともだちだといってふれた…」
<0289> 「でも、そのおまえはいま、ともだちだといってふれた…」

//<0290> nothing
<0290> nothing

//<0291> nothing
<0291> nothing

//<0292> nothing
<0292> nothing

//<0293> nothing
<0293> nothing

//<0294> nothing
<0294> nothing

//<0295> 野田
<0295> 野田

//<0296> 男Ｆ
<0296> 男Ｆ

//<0297> イケパイ
<0297> イケパイ

//<0298> 男
<0298> 男

//<0299> ？？
<0299> ？？

//<0300> 「ほいつは…えっと…なんだ…」
<0300> 「ほいつは…えっと…なんだ…」

//<0301> nothing
<0301> nothing

//<0302> nothing
<0302> nothing

//<0303> nothing
<0303> nothing

//<0304> nothing
<0304> nothing

//<0305> nothing
<0305> nothing

//<0306> 野田
<0306> 野田

//<0307> 男Ｆ
<0307> 男Ｆ

//<0308> イケパイ
<0308> イケパイ

//<0309> 男
<0309> 男

//<0310> ？？
<0310> ？？

//<0311> 「はっ…」
<0311> 「はっ…」

//<0312> つと、その目から涙がこぼれ落ちた。
<0312> つと、その目から涙がこぼれ落ちた。

//<0313> 音無
<0313> 音無

//<0314> クソ坊主
<0314> クソ坊主

//<0315> 代理人
<0315> 代理人

//<0316> 微妙すぎるイケメン
<0316> 微妙すぎるイケメン

//<0317> ロリコン
<0317> ロリコン

//<0318> メガネ仲間
<0318> メガネ仲間

//<0319> 暗算日本記録保持者
<0319> 暗算日本記録保持者

//<0320> 通り魔
<0320> 通り魔

//<0321> 記憶ナシ男
<0321> 記憶ナシ男

//<0322> 音速
<0322> 音速

//<0323> 無限
<0323> 無限

//<0324> エロ侍
<0324> エロ侍

//<0325> エロエロ団ナンバー１
<0325> エロエロ団ナンバー１

//<0326> ただのエロ少年
<0326> ただのエロ少年

//<0327> ユリブサイク
<0327> ユリブサイク

//<0328> ドピュッシー
<0328> ドピュッシー

//<0329> アメリカンエロドッグ
<0329> アメリカンエロドッグ

//<0330> ゼウス
<0330> ゼウス

//<0331> 日向markⅡ
<0331> 日向markⅡ

//<0332> 糞虫
<0332> 糞虫

//<0333> 量産型日向
<0333> 量産型日向

//<0334> ？？
<0334> ？？

//<0335> 「え？　どーひた、のだ！？」
<0335> 「え？　どーひた、のだ！？」

//<0336> nothing
<0336> nothing

//<0337> nothing
<0337> nothing

//<0338> nothing
<0338> nothing

//<0339> nothing
<0339> nothing

//<0340> nothing
<0340> nothing

//<0341> 野田
<0341> 野田

//<0342> 男Ｆ
<0342> 男Ｆ

//<0343> イケパイ
<0343> イケパイ

//<0344> 男
<0344> 男

//<0345> ？？
<0345> ？？

//<0346> 「みるなっ！」
<0346> 「みるなっ！」

//<0347> nothing
<0347> nothing

//<0348> nothing
<0348> nothing

//<0349> nothing
<0349> nothing

//<0350> nothing
<0350> nothing

//<0351> nothing
<0351> nothing

//<0352> nothing
<0352> nothing

//<0353> 背中を向け、上着の裾で目を擦っている。声も涙声だ。
<0353> 背中を向け、上着の裾で目を擦っている。声も涙声だ。

//<0354> 野田
<0354> 野田

//<0355> 男Ｆ
<0355> 男Ｆ

//<0356> イケパイ
<0356> イケパイ

//<0357> 男
<0357> 男

//<0358> ？？
<0358> ？？

//<0359> 「ひょうはほほまでだっ」
<0359> 「ひょうはほほまでだっ」

//<0360> 音無
<0360> 音無

//<0361> クソ坊主
<0361> クソ坊主

//<0362> 代理人
<0362> 代理人

//<0363> 微妙すぎるイケメン
<0363> 微妙すぎるイケメン

//<0364> ロリコン
<0364> ロリコン

//<0365> メガネ仲間
<0365> メガネ仲間

//<0366> 暗算日本記録保持者
<0366> 暗算日本記録保持者

//<0367> 通り魔
<0367> 通り魔

//<0368> 記憶ナシ男
<0368> 記憶ナシ男

//<0369> 音速
<0369> 音速

//<0370> 無限
<0370> 無限

//<0371> エロ侍
<0371> エロ侍

//<0372> エロエロ団ナンバー１
<0372> エロエロ団ナンバー１

//<0373> ただのエロ少年
<0373> ただのエロ少年

//<0374> ユリブサイク
<0374> ユリブサイク

//<0375> ドピュッシー
<0375> ドピュッシー

//<0376> アメリカンエロドッグ
<0376> アメリカンエロドッグ

//<0377> ゼウス
<0377> ゼウス

//<0378> 日向markⅡ
<0378> 日向markⅡ

//<0379> 糞虫
<0379> 糞虫

//<0380> 量産型日向
<0380> 量産型日向

//<0381> ？？
<0381> ？？

//<0382> 「なにもひていないんだは…」
<0382> 「なにもひていないんだは…」

//<0383> 野田
<0383> 野田

//<0384> 男Ｆ
<0384> 男Ｆ

//<0385> イケパイ
<0385> イケパイ

//<0386> 男
<0386> 男

//<0387> ？？
<0387> ？？

//<0388> 「おれのなはでは、おおひなでひほとはあったひだっ」
<0388> 「おれのなはでは、おおひなでひほとはあったひだっ」

//<0389> 野田
<0389> 野田

//<0390> 男Ｆ
<0390> 男Ｆ

//<0391> イケパイ
<0391> イケパイ

//<0392> 男
<0392> 男

//<0393> ？？
<0393> ？？

//<0394> 「ひねんびだっ！　ふっほぅっ！！」
<0394> 「ひねんびだっ！　ふっほぅっ！！」

//<0395> 音無
<0395> 音無

//<0396> クソ坊主
<0396> クソ坊主

//<0397> 代理人
<0397> 代理人

//<0398> 微妙すぎるイケメン
<0398> 微妙すぎるイケメン

//<0399> ロリコン
<0399> ロリコン

//<0400> メガネ仲間
<0400> メガネ仲間

//<0401> 暗算日本記録保持者
<0401> 暗算日本記録保持者

//<0402> 通り魔
<0402> 通り魔

//<0403> 記憶ナシ男
<0403> 記憶ナシ男

//<0404> 音速
<0404> 音速

//<0405> 無限
<0405> 無限

//<0406> エロ侍
<0406> エロ侍

//<0407> エロエロ団ナンバー１
<0407> エロエロ団ナンバー１

//<0408> ただのエロ少年
<0408> ただのエロ少年

//<0409> ユリブサイク
<0409> ユリブサイク

//<0410> ドピュッシー
<0410> ドピュッシー

//<0411> アメリカンエロドッグ
<0411> アメリカンエロドッグ

//<0412> ゼウス
<0412> ゼウス

//<0413> 日向markⅡ
<0413> 日向markⅡ

//<0414> 糞虫
<0414> 糞虫

//<0415> 量産型日向
<0415> 量産型日向

//<0416> ？？
<0416> ？？

//<0417> 「ほふは…ははひひへほは」
<0417> 「ほふは…ははひひへほは」

//<0418> 今の野田はそっとしておこう。俺は立ち去ることにした。
<0418> 今の野田はそっとしておこう。俺は立ち去ることにした。

//<0419> 違う。野田は俺にとっては…。
<0419> 違う。野田は俺にとっては…。

//<0420> 親友
<0420> 親友

//<0421> 恋人
<0421> 恋人

//<0422> selbtn : 
<0422> selbtn : 

//<0423> 音無
<0423> 音無

//<0424> クソ坊主
<0424> クソ坊主

//<0425> 代理人
<0425> 代理人

//<0426> 微妙すぎるイケメン
<0426> 微妙すぎるイケメン

//<0427> ロリコン
<0427> ロリコン

//<0428> メガネ仲間
<0428> メガネ仲間

//<0429> 暗算日本記録保持者
<0429> 暗算日本記録保持者

//<0430> 通り魔
<0430> 通り魔

//<0431> 記憶ナシ男
<0431> 記憶ナシ男

//<0432> 音速
<0432> 音速

//<0433> 無限
<0433> 無限

//<0434> エロ侍
<0434> エロ侍

//<0435> エロエロ団ナンバー１
<0435> エロエロ団ナンバー１

//<0436> ただのエロ少年
<0436> ただのエロ少年

//<0437> ユリブサイク
<0437> ユリブサイク

//<0438> ドピュッシー
<0438> ドピュッシー

//<0439> アメリカンエロドッグ
<0439> アメリカンエロドッグ

//<0440> ゼウス
<0440> ゼウス

//<0441> 日向markⅡ
<0441> 日向markⅡ

//<0442> 糞虫
<0442> 糞虫

//<0443> 量産型日向
<0443> 量産型日向

//<0444> ？？
<0444> ？？

//<0445> 「ひんゆうだ」
<0445> 「ひんゆうだ」

//<0446> nothing
<0446> nothing

//<0447> nothing
<0447> nothing

//<0448> nothing
<0448> nothing

//<0449> nothing
<0449> nothing

//<0450> nothing
<0450> nothing

//<0451> 野田
<0451> 野田

//<0452> 男Ｆ
<0452> 男Ｆ

//<0453> イケパイ
<0453> イケパイ

//<0454> 男
<0454> 男

//<0455> ？？
<0455> ？？

//<0456> 「ひんゆう！？」
<0456> 「ひんゆう！？」

//<0457> nothing
<0457> nothing

//<0458> nothing
<0458> nothing

//<0459> nothing
<0459> nothing

//<0460> nothing
<0460> nothing

//<0461> nothing
<0461> nothing

//<0462> 野田
<0462> 野田

//<0463> 男Ｆ
<0463> 男Ｆ

//<0464> イケパイ
<0464> イケパイ

//<0465> 男
<0465> 男

//<0466> ？？
<0466> ？？

//<0467> 「………」
<0467> 「………」

//<0468> 野田が訝しむ。
<0468> 野田が訝しむ。

//<0469> 音無
<0469> 音無

//<0470> クソ坊主
<0470> クソ坊主

//<0471> 代理人
<0471> 代理人

//<0472> 微妙すぎるイケメン
<0472> 微妙すぎるイケメン

//<0473> ロリコン
<0473> ロリコン

//<0474> メガネ仲間
<0474> メガネ仲間

//<0475> 暗算日本記録保持者
<0475> 暗算日本記録保持者

//<0476> 通り魔
<0476> 通り魔

//<0477> 記憶ナシ男
<0477> 記憶ナシ男

//<0478> 音速
<0478> 音速

//<0479> 無限
<0479> 無限

//<0480> エロ侍
<0480> エロ侍

//<0481> エロエロ団ナンバー１
<0481> エロエロ団ナンバー１

//<0482> ただのエロ少年
<0482> ただのエロ少年

//<0483> ユリブサイク
<0483> ユリブサイク

//<0484> ドピュッシー
<0484> ドピュッシー

//<0485> アメリカンエロドッグ
<0485> アメリカンエロドッグ

//<0486> ゼウス
<0486> ゼウス

//<0487> 日向markⅡ
<0487> 日向markⅡ

//<0488> 糞虫
<0488> 糞虫

//<0489> 量産型日向
<0489> 量産型日向

//<0490> ？？
<0490> ？？

//<0491> 「ほいびとだ」
<0491> 「ほいびとだ」

//<0492> nothing
<0492> nothing

//<0493> nothing
<0493> nothing

//<0494> nothing
<0494> nothing

//<0495> nothing
<0495> nothing

//<0496> nothing
<0496> nothing

//<0497> 野田
<0497> 野田

//<0498> 男Ｆ
<0498> 男Ｆ

//<0499> イケパイ
<0499> イケパイ

//<0500> 男
<0500> 男

//<0501> ？？
<0501> ？？

//<0502> 「ええぇ！？　おまえ、ほんなひゅみはあったのは！？」
<0502> 「ええぇ！？　おまえ、ほんなひゅみはあったのは！？」

//<0503> 音無
<0503> 音無

//<0504> クソ坊主
<0504> クソ坊主

//<0505> 代理人
<0505> 代理人

//<0506> 微妙すぎるイケメン
<0506> 微妙すぎるイケメン

//<0507> ロリコン
<0507> ロリコン

//<0508> メガネ仲間
<0508> メガネ仲間

//<0509> 暗算日本記録保持者
<0509> 暗算日本記録保持者

//<0510> 通り魔
<0510> 通り魔

//<0511> 記憶ナシ男
<0511> 記憶ナシ男

//<0512> 音速
<0512> 音速

//<0513> 無限
<0513> 無限

//<0514> エロ侍
<0514> エロ侍

//<0515> エロエロ団ナンバー１
<0515> エロエロ団ナンバー１

//<0516> ただのエロ少年
<0516> ただのエロ少年

//<0517> ユリブサイク
<0517> ユリブサイク

//<0518> ドピュッシー
<0518> ドピュッシー

//<0519> アメリカンエロドッグ
<0519> アメリカンエロドッグ

//<0520> ゼウス
<0520> ゼウス

//<0521> 日向markⅡ
<0521> 日向markⅡ

//<0522> 糞虫
<0522> 糞虫

//<0523> 量産型日向
<0523> 量産型日向

//<0524> ？？
<0524> ？？

//<0525> 「ひゅみ？　いみはよふわはらないんだは…」
<0525> 「ひゅみ？　いみはよふわはらないんだは…」

//<0526> nothing
<0526> nothing

//<0527> nothing
<0527> nothing

//<0528> nothing
<0528> nothing

//<0529> nothing
<0529> nothing

//<0530> nothing
<0530> nothing

//<0531> 野田
<0531> 野田

//<0532> 男Ｆ
<0532> 男Ｆ

//<0533> イケパイ
<0533> イケパイ

//<0534> 男
<0534> 男

//<0535> ？？
<0535> ？？

//<0536> 「おれはいま、おまえにおびえている…なぜはわかるは…？」
<0536> 「おれはいま、おまえにおびえている…なぜはわかるは…？」

//<0537> 音無
<0537> 音無

//<0538> クソ坊主
<0538> クソ坊主

//<0539> 代理人
<0539> 代理人

//<0540> 微妙すぎるイケメン
<0540> 微妙すぎるイケメン

//<0541> ロリコン
<0541> ロリコン

//<0542> メガネ仲間
<0542> メガネ仲間

//<0543> 暗算日本記録保持者
<0543> 暗算日本記録保持者

//<0544> 通り魔
<0544> 通り魔

//<0545> 記憶ナシ男
<0545> 記憶ナシ男

//<0546> 音速
<0546> 音速

//<0547> 無限
<0547> 無限

//<0548> エロ侍
<0548> エロ侍

//<0549> エロエロ団ナンバー１
<0549> エロエロ団ナンバー１

//<0550> ただのエロ少年
<0550> ただのエロ少年

//<0551> ユリブサイク
<0551> ユリブサイク

//<0552> ドピュッシー
<0552> ドピュッシー

//<0553> アメリカンエロドッグ
<0553> アメリカンエロドッグ

//<0554> ゼウス
<0554> ゼウス

//<0555> 日向markⅡ
<0555> 日向markⅡ

//<0556> 糞虫
<0556> 糞虫

//<0557> 量産型日向
<0557> 量産型日向

//<0558> ？？
<0558> ？？

//<0559> 「さっぱりわかはない」
<0559> 「さっぱりわかはない」

//<0560> nothing
<0560> nothing

//<0561> nothing
