// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> se_kazekiri3
<0000> se_kazekiri3
<0083> 無限

//<0084> エロ侍
<0084> エロ侍

//<0085> エロエロ団ナンバー１
<0085> エロエロ団ナンバー１

//<0086> ただのエロ少年
<0086> ただのエロ少年

//<0087> ユリブサイク
<0087> ユリブサイク

//<0088> ドピュッシー
<0088> ドピュッシー

//<0089> アメリカンエロドッグ
<0089> アメリカンエロドッグ

//<0090> ゼウス
<0090> ゼウス

//<0091> 日向markⅡ
<0091> 日向markⅡ

//<0092> 糞虫
<0092> 糞虫

//<0093> 量産型日向
<0093> 量産型日向

//<0094> ？？
<0094> ？？

//<0095> 「天使相手には銃撃戦がメインだってのはわかったけど、何をするにしても基礎体力は必要だろ？」
<0095> 「天使相手には銃撃戦がメインだってのはわかったけど、何をするにしても基礎体力は必要だろ？」

//<0096> 音無
<0096> 音無

//<0097> クソ坊主
<0097> クソ坊主

//<0098> 代理人
<0098> 代理人

//<0099> 微妙すぎるイケメン
<0099> 微妙すぎるイケメン

//<0100> ロリコン
<0100> ロリコン

//<0101> メガネ仲間
<0101> メガネ仲間

//<0102> 暗算日本記録保持者
<0102> 暗算日本記録保持者

//<0103> 通り魔
<0103> 通り魔

//<0104> 記憶ナシ男
<0104> 記憶ナシ男

//<0105> 音速
<0105> 音速

//<0106> 無限
<0106> 無限

//<0107> エロ侍
<0107> エロ侍

//<0108> エロエロ団ナンバー１
<0108> エロエロ団ナンバー１

//<0109> ただのエロ少年
<0109> ただのエロ少年

//<0110> ユリブサイク
<0110> ユリブサイク

//<0111> ドピュッシー
<0111> ドピュッシー

//<0112> アメリカンエロドッグ
<0112> アメリカンエロドッグ

//<0113> ゼウス
<0113> ゼウス

//<0114> 日向markⅡ
<0114> 日向markⅡ

//<0115> 糞虫
<0115> 糞虫

//<0116> 量産型日向
<0116> 量産型日向

//<0117> ？？
<0117> ？？

//<0118> 「俺にはその基礎体力ってやつが足りないみたいだからな」
<0118> 「俺にはその基礎体力ってやつが足りないみたいだからな」

//<0119> nothing
<0119> nothing

//<0120> nothing
<0120> nothing

//<0121> nothing
<0121> nothing

//<0122> nothing
<0122> nothing

//<0123> nothing
<0123> nothing

//<0124> 野田
<0124> 野田

//<0125> 男Ｆ
<0125> 男Ｆ

//<0126> イケパイ
<0126> イケパイ

//<0127> 男
<0127> 男

//<0128> ？？
<0128> ？？

//<0129> 「確かに、俺には体力はある」
<0129> 「確かに、俺には体力はある」

//<0130> nothing
<0130> nothing

//<0131> nothing
<0131> nothing

//<0132> nothing
<0132> nothing

//<0133> nothing
<0133> nothing

//<0134> nothing
<0134> nothing

//<0135> 野田
<0135> 野田

//<0136> 男Ｆ
<0136> 男Ｆ

//<0137> イケパイ
<0137> イケパイ

//<0138> 男
<0138> 男

//<0139> ？？
<0139> ？？

//<0140> 「だが、なぜお前と一緒に汗をかかなくてはならないんだ」
<0140> 「だが、なぜお前と一緒に汗をかかなくてはならないんだ」

//<0141> 音無
<0141> 音無

//<0142> クソ坊主
<0142> クソ坊主

//<0143> 代理人
<0143> 代理人

//<0144> 微妙すぎるイケメン
<0144> 微妙すぎるイケメン

//<0145> ロリコン
<0145> ロリコン

//<0146> メガネ仲間
<0146> メガネ仲間

//<0147> 暗算日本記録保持者
<0147> 暗算日本記録保持者

//<0148> 通り魔
<0148> 通り魔

//<0149> 記憶ナシ男
<0149> 記憶ナシ男

//<0150> 音速
<0150> 音速

//<0151> 無限
<0151> 無限

//<0152> エロ侍
<0152> エロ侍

//<0153> エロエロ団ナンバー１
<0153> エロエロ団ナンバー１

//<0154> ただのエロ少年
<0154> ただのエロ少年

//<0155> ユリブサイク
<0155> ユリブサイク

//<0156> ドピュッシー
<0156> ドピュッシー

//<0157> アメリカンエロドッグ
<0157> アメリカンエロドッグ

//<0158> ゼウス
<0158> ゼウス

//<0159> 日向markⅡ
<0159> 日向markⅡ

//<0160> 糞虫
<0160> 糞虫

//<0161> 量産型日向
<0161> 量産型日向

//<0162> ？？
<0162> ？？

//<0163> 「いいじゃないか」
<0163> 「いいじゃないか」

//<0164> nothing
<0164> nothing

//<0165> nothing
<0165> nothing

//<0166> nothing
<0166> nothing

//<0167> nothing
<0167> nothing

//<0168> nothing
<0168> nothing

//<0169> 野田
<0169> 野田

//<0170> 男Ｆ
<0170> 男Ｆ

//<0171> イケパイ
<0171> イケパイ

//<0172> 男
<0172> 男

//<0173> ？？
<0173> ？？

//<0174> 「よく、あれだけ体を刻みつけられた相手に、言えるな…」
<0174> 「よく、あれだけ体を刻みつけられた相手に、言えるな…」

//<0175> 音無
<0175> 音無

//<0176> クソ坊主
<0176> クソ坊主

//<0177> 代理人
<0177> 代理人

//<0178> 微妙すぎるイケメン
<0178> 微妙すぎるイケメン

//<0179> ロリコン
<0179> ロリコン

//<0180> メガネ仲間
<0180> メガネ仲間

//<0181> 暗算日本記録保持者
<0181> 暗算日本記録保持者

//<0182> 通り魔
<0182> 通り魔

//<0183> 記憶ナシ男
<0183> 記憶ナシ男

//<0184> 音速
<0184> 音速

//<0185> 無限
<0185> 無限

//<0186> エロ侍
<0186> エロ侍

//<0187> エロエロ団ナンバー１
<0187> エロエロ団ナンバー１

//<0188> ただのエロ少年
<0188> ただのエロ少年

//<0189> ユリブサイク
<0189> ユリブサイク

//<0190> ドピュッシー
<0190> ドピュッシー

//<0191> アメリカンエロドッグ
<0191> アメリカンエロドッグ

//<0192> ゼウス
<0192> ゼウス

//<0193> 日向markⅡ
<0193> 日向markⅡ

//<0194> 糞虫
<0194> 糞虫

//<0195> 量産型日向
<0195> 量産型日向

//<0196> ？？
<0196> ？？

//<0197> 「で、どうなんだ？」
<0197> 「で、どうなんだ？」

//<0198> nothing
<0198> nothing

//<0199> nothing
<0199> nothing

//<0200> nothing
<0200> nothing

//<0201> nothing
<0201> nothing

//<0202> nothing
<0202> nothing

//<0203> 野田
<0203> 野田

//<0204> 男Ｆ
<0204> 男Ｆ

//<0205> イケパイ
<0205> イケパイ

//<0206> 男
<0206> 男

//<0207> ？？
<0207> ？？

//<0208> 「…対戦なら受け付けるが」
<0208> 「…対戦なら受け付けるが」

//<0209> 挑む
<0209> 挑む

//<0210> やめておく
<0210> やめておく

//<0211> selbtn : 
<0211> selbtn : 

//<0212> 音無
<0212> 音無

//<0213> クソ坊主
<0213> クソ坊主

//<0214> 代理人
<0214> 代理人

//<0215> 微妙すぎるイケメン
<0215> 微妙すぎるイケメン

//<0216> ロリコン
<0216> ロリコン

//<0217> メガネ仲間
<0217> メガネ仲間

//<0218> 暗算日本記録保持者
<0218> 暗算日本記録保持者

//<0219> 通り魔
<0219> 通り魔

//<0220> 記憶ナシ男
<0220> 記憶ナシ男

//<0221> 音速
<0221> 音速

//<0222> 無限
<0222> 無限

//<0223> エロ侍
<0223> エロ侍

//<0224> エロエロ団ナンバー１
<0224> エロエロ団ナンバー１

//<0225> ただのエロ少年
<0225> ただのエロ少年

//<0226> ユリブサイク
<0226> ユリブサイク

//<0227> ドピュッシー
<0227> ドピュッシー

//<0228> アメリカンエロドッグ
<0228> アメリカンエロドッグ

//<0229> ゼウス
<0229> ゼウス

//<0230> 日向markⅡ
<0230> 日向markⅡ

//<0231> 糞虫
<0231> 糞虫

//<0232> 量産型日向
<0232> 量産型日向

//<0233> ？？
<0233> ？？

//<0234> 「受ける」
<0234> 「受ける」

//<0235> nothing
<0235> nothing

//<0236> nothing
<0236> nothing

//<0237> nothing
<0237> nothing

//<0238> nothing
<0238> nothing

//<0239> nothing
<0239> nothing

//<0240> 野田
<0240> 野田

//<0241> 男Ｆ
<0241> 男Ｆ

//<0242> イケパイ
<0242> イケパイ

//<0243> 男
<0243> 男

//<0244> ？？
<0244> ？？

//<0245> 「そうか…なら準備をしよう」
<0245> 「そうか…なら準備をしよう」

//<0246> nothing
<0246> nothing

//<0247> nothing
<0247> nothing

//<0248> nothing
<0248> nothing

//<0249> nothing
<0249> nothing

//<0250> nothing
<0250> nothing

//<0251> 野田が一度居なくなり、再び戻ってきた。でかい巾着袋を引きずりながら。
<0251> 野田が一度居なくなり、再び戻ってきた。でかい巾着袋を引きずりながら。

//<0252> nothing
<0252> nothing

//<0253> nothing
<0253> nothing

//<0254> nothing
<0254> nothing

//<0255> nothing
<0255> nothing

//<0256> nothing
<0256> nothing

//<0257> 野田
<0257> 野田

//<0258> 男Ｆ
<0258> 男Ｆ

//<0259> イケパイ
<0259> イケパイ

//<0260> 男
<0260> 男

//<0261> ？？
<0261> ？？

//<0262> 「ほらっ、これらから得物を選べ」
<0262> 「ほらっ、これらから得物を選べ」

//<0263> 巾着袋から武器を取り出し、ぼとりぼとりと地面に投げていく。
<0263> 巾着袋から武器を取り出し、ぼとりぼとりと地面に投げていく。

//<0264> nothing
<0264> nothing

//<0265> nothing
<0265> nothing

//<0266> nothing
<0266> nothing

//<0267> nothing
<0267> nothing

//<0268> nothing
<0268> nothing

//<0269> 野田
<0269> 野田

//<0270> 男Ｆ
<0270> 男Ｆ

//<0271> イケパイ
<0271> イケパイ

//<0272> 男
<0272> 男

//<0273> ？？
<0273> ？？

//<0274> 「モーニングスター、スピア、レイピア、日本刀」
<0274> 「モーニングスター、スピア、レイピア、日本刀」

//<0275> nothing
<0275> nothing

//<0276> nothing
<0276> nothing

//<0277> nothing
<0277> nothing

//<0278> nothing
<0278> nothing

//<0279> nothing
<0279> nothing

//<0280> 野田
<0280> 野田

//<0281> 男Ｆ
<0281> 男Ｆ

//<0282> イケパイ
<0282> イケパイ

//<0283> 男
<0283> 男

//<0284> ？？
<0284> ？？

//<0285> 「自信があるなら、二刀流でも構わない」
<0285> 「自信があるなら、二刀流でも構わない」

//<0286> nothing
<0286> nothing

//<0287> nothing
<0287> nothing

//<0288> nothing
<0288> nothing

//<0289> nothing
<0289> nothing

//<0290> nothing
<0290> nothing

//<0291> nothing
<0291> nothing

//<0292> なぜ西洋の武器まで揃っているんだ…。誰かが趣味で作っているのだろうか…。
<0292> なぜ西洋の武器まで揃っているんだ…。誰かが趣味で作っているのだろうか…。

//<0293> この中から選ぶとしたら、日本刀しかなかった。
<0293> この中から選ぶとしたら、日本刀しかなかった。

//<0294> 実際手に持ち、その刃を近くに見ると、なんて受け答えをしてしまったのかと、恐怖を覚える。
<0294> 実際手に持ち、その刃を近くに見ると、なんて受け答えをしてしまったのかと、恐怖を覚える。

//<0295> nothing
<0295> nothing

//<0296> nothing
<0296> nothing

//<0297> nothing
<0297> nothing

//<0298> nothing
<0298> nothing

//<0299> nothing
<0299> nothing

//<0300> 野田
<0300> 野田

//<0301> 男Ｆ
<0301> 男Ｆ

//<0302> イケパイ
<0302> イケパイ

//<0303> 男
<0303> 男

//<0304> ？？
<0304> ？？

//<0305> 「よし、じゃ、手合わせだ、いくぞ！」
<0305> 「よし、じゃ、手合わせだ、いくぞ！」

//<0306> 音無
<0306> 音無

//<0307> クソ坊主
<0307> クソ坊主

//<0308> 代理人
<0308> 代理人

//<0309> 微妙すぎるイケメン
<0309> 微妙すぎるイケメン

//<0310> ロリコン
<0310> ロリコン

//<0311> メガネ仲間
<0311> メガネ仲間

//<0312> 暗算日本記録保持者
<0312> 暗算日本記録保持者

//<0313> 通り魔
<0313> 通り魔

//<0314> 記憶ナシ男
<0314> 記憶ナシ男

//<0315> 音速
<0315> 音速

//<0316> 無限
<0316> 無限

//<0317> エロ侍
<0317> エロ侍

//<0318> エロエロ団ナンバー１
<0318> エロエロ団ナンバー１

//<0319> ただのエロ少年
<0319> ただのエロ少年

//<0320> ユリブサイク
<0320> ユリブサイク

//<0321> ドピュッシー
<0321> ドピュッシー

//<0322> アメリカンエロドッグ
<0322> アメリカンエロドッグ

//<0323> ゼウス
<0323> ゼウス

//<0324> 日向markⅡ
<0324> 日向markⅡ

//<0325> 糞虫
<0325> 糞虫

//<0326> 量産型日向
<0326> 量産型日向

//<0327> ？？
<0327> ？？

//<0328> 「ああ…」
<0328> 「ああ…」

//<0329> 握り方も合っているのかよくわからない日本刀を手に、野田と対峙する。
<0329> 握り方も合っているのかよくわからない日本刀を手に、野田と対峙する。

//<0330> もちろん手合わせと言っても、死なない世界だから、寸止めもない。油断すれば、致命傷を食らうことになる。
<0330> もちろん手合わせと言っても、死なない世界だから、寸止めもない。油断すれば、致命傷を食らうことになる。

//<0331> 音無
<0331> 音無

//<0332> クソ坊主
<0332> クソ坊主

//<0333> 代理人
<0333> 代理人

//<0334> 微妙すぎるイケメン
<0334> 微妙すぎるイケメン

//<0335> ロリコン
<0335> ロリコン

//<0336> メガネ仲間
<0336> メガネ仲間

//<0337> 暗算日本記録保持者
<0337> 暗算日本記録保持者

//<0338> 通り魔
<0338> 通り魔

//<0339> 記憶ナシ男
<0339> 記憶ナシ男

//<0340> 音速
<0340> 音速

//<0341> 無限
<0341> 無限

//<0342> エロ侍
<0342> エロ侍

//<0343> エロエロ団ナンバー１
<0343> エロエロ団ナンバー１

//<0344> ただのエロ少年
<0344> ただのエロ少年

//<0345> ユリブサイク
<0345> ユリブサイク

//<0346> ドピュッシー
<0346> ドピュッシー

//<0347> アメリカンエロドッグ
<0347> アメリカンエロドッグ

//<0348> ゼウス
<0348> ゼウス

//<0349> 日向markⅡ
<0349> 日向markⅡ

//<0350> 糞虫
<0350> 糞虫

//<0351> 量産型日向
<0351> 量産型日向

//<0352> ？？
<0352> ？？

//<0353> （これ以上、死ぬほど痛いのは勘弁だぜ…）
<0353> （これ以上、死ぬほど痛いのは勘弁だぜ…）

//<0354> nothing
<0354> nothing

//<0355> nothing
<0355> nothing

//<0356> nothing
<0356> nothing

//<0357> nothing
<0357> nothing

//<0358> nothing
<0358> nothing

//<0359> nothing
<0359> nothing

//<0360> 武器の扱いの差は歴然だった。まったく歯が立たない。
<0360> 武器の扱いの差は歴然だった。まったく歯が立たない。

//<0361> 腹を鋒で貫かれ、地面に突っ伏すことに。
<0361> 腹を鋒で貫かれ、地面に突っ伏すことに。

//<0362> nothing
<0362> nothing

//<0363> nothing
<0363> nothing

//<0364> nothing
<0364> nothing

//<0365> nothing
<0365> nothing

//<0366> nothing
<0366> nothing

//<0367> 野田
<0367> 野田

//<0368> 男Ｆ
<0368> 男Ｆ

//<0369> イケパイ
<0369> イケパイ

//<0370> 男
<0370> 男

//<0371> ？？
<0371> ？？

//<0372> 「ふ…しばらく療養しておくことだな」
<0372> 「ふ…しばらく療養しておくことだな」

//<0373> nothing
<0373> nothing

//<0374> nothing
<0374> nothing

//<0375> nothing
<0375> nothing

//<0376> nothing
<0376> nothing

//<0377> nothing
<0377> nothing

//<0378> nothing
<0378> nothing

//<0379> se_wave_axe
<0379> se_wave_axe

//<0380> 野田はひとりハルバートを振るい、訓練を再開する。
<0380> 野田はひとりハルバートを振るい、訓練を再開する。

//<0381> 意識が戻ると、もう野田はいなくなっていた。
<0381> 意識が戻ると、もう野田はいなくなっていた。

//<0382> 起き上がるのも、やっとだ…。歩き出すと、全身が痛む。まだ完治はしていないようだ…。
<0382> 起き上がるのも、やっとだ…。歩き出すと、全身が痛む。まだ完治はしていないようだ…。

//<0383> 意識が戻ると、もう野田はいなくなっていた。
<0383> 意識が戻ると、もう野田はいなくなっていた。

//<0384> 起き上がるのも、やっとだ…。歩き出すと、全身が痛む。まだ完治はしていないようだ…。
<0384> 起き上がるのも、やっとだ…。歩き出すと、全身が痛む。まだ完治はしていないようだ…。

//<0385> 音無
<0385> 音無

//<0386> クソ坊主
<0386> クソ坊主

//<0387> 代理人
<0387> 代理人

//<0388> 微妙すぎるイケメン
<0388> 微妙すぎるイケメン

//<0389> ロリコン
<0389> ロリコン

//<0390> メガネ仲間
<0390> メガネ仲間

//<0391> 暗算日本記録保持者
<0391> 暗算日本記録保持者

//<0392> 通り魔
<0392> 通り魔

//<0393> 記憶ナシ男
<0393> 記憶ナシ男

//<0394> 音速
<0394> 音速

//<0395> 無限
<0395> 無限

//<0396> エロ侍
<0396> エロ侍

//<0397> エロエロ団ナンバー１
<0397> エロエロ団ナンバー１

//<0398> ただのエロ少年
<0398> ただのエロ少年

//<0399> ユリブサイク
<0399> ユリブサイク

//<0400> ドピュッシー
<0400> ドピュッシー

//<0401> アメリカンエロドッグ
<0401> アメリカンエロドッグ

//<0402> ゼウス
<0402> ゼウス

//<0403> 日向markⅡ
<0403> 日向markⅡ

//<0404> 糞虫
<0404> 糞虫

//<0405> 量産型日向
<0405> 量産型日向

//<0406> ？？
<0406> ？？

//<0407> 「いや、お前と対戦するには、俺はあまりに未熟だ…」
<0407> 「いや、お前と対戦するには、俺はあまりに未熟だ…」

//<0408> nothing
<0408> nothing

//<0409> nothing
<0409> nothing

//<0410> nothing
<0410> nothing

//<0411> nothing
<0411> nothing

//<0412> nothing
<0412> nothing

//<0413> 野田
<0413> 野田

//<0414> 男Ｆ
<0414> 男Ｆ

//<0415> イケパイ
<0415> イケパイ

//<0416> 男
<0416> 男

//<0417> ？？
<0417> ？？

//<0418> 「まったくだ。新入りはまず、自己鍛錬に徹しろ」
<0418> 「まったくだ。新入りはまず、自己鍛錬に徹しろ」

//<0419> 音無
<0419> 音無

//<0420> クソ坊主
<0420> クソ坊主

//<0421> 代理人
<0421> 代理人

//<0422> 微妙すぎるイケメン
<0422> 微妙すぎるイケメン

//<0423> ロリコン
<0423> ロリコン

//<0424> メガネ仲間
<0424> メガネ仲間

//<0425> 暗算日本記録保持者
<0425> 暗算日本記録保持者

//<0426> 通り魔
<0426> 通り魔

//<0427> 記憶ナシ男
<0427> 記憶ナシ男

//<0428> 音速
<0428> 音速

//<0429> 無限
<0429> 無限

//<0430> エロ侍
<0430> エロ侍

//<0431> エロエロ団ナンバー１
<0431> エロエロ団ナンバー１

//<0432> ただのエロ少年
<0432> ただのエロ少年

//<0433> ユリブサイク
<0433> ユリブサイク

//<0434> ドピュッシー
<0434> ドピュッシー

//<0435> アメリカンエロドッグ
<0435> アメリカンエロドッグ

//<0436> ゼウス
<0436> ゼウス

//<0437> 日向markⅡ
<0437> 日向markⅡ

//<0438> 糞虫
<0438> 糞虫

//<0439> 量産型日向
<0439> 量産型日向

//<0440> ？？
<0440> ？？

//<0441> 「ああ…」
<0441> 「ああ…」

//<0442> 野田の邪魔をしないよう、もう近寄らない方がいいだろう。
<0442> 野田の邪魔をしないよう、もう近寄らない方がいいだろう。

//<0443> 俺は大人しくその場を去った。
<0443> 俺は大人しくその場を去った。

//<0444> 音無
<0444> 音無

//<0445> クソ坊主
<0445> クソ坊主

//<0446> 代理人
<0446> 代理人

//<0447> 微妙すぎるイケメン
<0447> 微妙すぎるイケメン

//<0448> ロリコン
<0448> ロリコン

//<0449> メガネ仲間
<0449> メガネ仲間

//<0450> 暗算日本記録保持者
<0450> 暗算日本記録保持者

//<0451> 通り魔
<0451> 通り魔

//<0452> 記憶ナシ男
<0452> 記憶ナシ男

//<0453> 音速
<0453> 音速

//<0454> 無限
<0454> 無限

//<0455> エロ侍
<0455> エロ侍

//<0456> エロエロ団ナンバー１
<0456> エロエロ団ナンバー１

//<0457> ただのエロ少年
<0457> ただのエロ少年

//<0458> ユリブサイク
<0458> ユリブサイク

//<0459> ドピュッシー
<0459> ドピュッシー

//<0460> アメリカンエロドッグ
<0460> アメリカンエロドッグ

//<0461> ゼウス
<0461> ゼウス

//<0462> 日向markⅡ
<0462> 日向markⅡ

//<0463> 糞虫
<0463> 糞虫

//<0464> 量産型日向
<0464> 量産型日向

//<0465> ？？
<0465> ？？

//<0466> 「気まぐれだ」
<0466> 「気まぐれだ」

//<0467> nothing
<0467> nothing

//<0468> nothing
<0468> nothing

//<0469> nothing
<0469> nothing

//<0470> nothing
<0470> nothing

//<0471> nothing
<0471> nothing

//<0472> 野田
<0472> 野田

//<0473> 男Ｆ
<0473> 男Ｆ

//<0474> イケパイ
<0474> イケパイ

//<0475> 男
<0475> 男

//<0476> ？？
<0476> ？？

//<0477> 「なら邪魔だ。誰かが居ると気が散る」
<0477> 「なら邪魔だ。誰かが居ると気が散る」

//<0478> 音無
<0478> 音無

//<0479> クソ坊主
<0479> クソ坊主

//<0480> 代理人
<0480> 代理人

//<0481> 微妙すぎるイケメン
<0481> 微妙すぎるイケメン

//<0482> ロリコン
<0482> ロリコン

//<0483> メガネ仲間
<0483> メガネ仲間

//<0484> 暗算日本記録保持者
<0484> 暗算日本記録保持者

//<0485> 通り魔
<0485> 通り魔

//<0486> 記憶ナシ男
<0486> 記憶ナシ男

//<0487> 音速
<0487> 音速

//<0488> 無限
<0488> 無限

//<0489> エロ侍
<0489> エロ侍

//<0490> エロエロ団ナンバー１
<0490> エロエロ団ナンバー１

//<0491> ただのエロ少年
<0491> ただのエロ少年

//<0492> ユリブサイク
<0492> ユリブサイク

//<0493> ドピュッシー
<0493> ドピュッシー

//<0494> アメリカンエロドッグ
<0494> アメリカンエロドッグ

//<0495> ゼウス
<0495> ゼウス

//<0496> 日向markⅡ
<0496> 日向markⅡ

//<0497> 糞虫
<0497> 糞虫

//<0498> 量産型日向
<0498> 量産型日向

//<0499> ？？
<0499> ？？

//<0500> 「でも、作戦中は、常に誰かが居るはずだろ？」
<0500> 「でも、作戦中は、常に誰かが居るはずだろ？」

//<0501> nothing
<0501> nothing

//<0502> nothing
<0502> nothing

//<0503> nothing
<0503> nothing

//<0504> nothing
<0504> nothing

//<0505> nothing
<0505> nothing

//<0506> 野田
<0506> 野田

//<0507> 男Ｆ
<0507> 男Ｆ

//<0508> イケパイ
<0508> イケパイ

//<0509> 男
<0509> 男

//<0510> ？？
<0510> ？？

//<0511> 「…確かにそうだな」
<0511> 「…確かにそうだな」

//<0512> nothing
<0512> nothing

//<0513> nothing
<0513> nothing

//<0514> nothing
<0514> nothing

//<0515> nothing
<0515> nothing

//<0516> nothing
<0516> nothing

//<0517> 野田
<0517> 野田

//<0518> 男Ｆ
<0518> 男Ｆ

//<0519> イケパイ
<0519> イケパイ

//<0520> 男
<0520> 男

//<0521> ？？
<0521> ？？

//<0522> 「なら、見ていくといい。戦線の幹部がどれだけ努力をしているのかをな…」
<0522> 「なら、見ていくといい。戦線の幹部がどれだけ努力をしているのかをな…」

//<0523> 音無
<0523> 音無

//<0524> クソ坊主
<0524> クソ坊主

//<0525> 代理人
<0525> 代理人

//<0526> 微妙すぎるイケメン
<0526> 微妙すぎるイケメン

//<0527> ロリコン
<0527> ロリコン

//<0528> メガネ仲間
<0528> メガネ仲間

//<0529> 暗算日本記録保持者
<0529> 暗算日本記録保持者

//<0530> 通り魔
<0530> 通り魔

//<0531> 記憶ナシ男
<0531> 記憶ナシ男

//<0532> 音速
<0532> 音速

//<0533> 無限
<0533> 無限

//<0534> エロ侍
<0534> エロ侍

//<0535> エロエロ団ナンバー１
<0535> エロエロ団ナンバー１

//<0536> ただのエロ少年
<0536> ただのエロ少年

