// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> -1st beat- EPISODE.Matsushita
<0000> -1st beat- EPISODE.Matsushita

//<0001> 松下
//<0032> ドピュッシー
<0032> ドピュッシー

//<0033> アメリカンエロドッグ
<0033> アメリカンエロドッグ

//<0034> ゼウス
<0034> ゼウス

//<0035> 日向markⅡ
<0035> 日向markⅡ

//<0036> 糞虫
<0036> 糞虫

//<0037> 量産型日向
<0037> 量産型日向

//<0038> ？？
<0038> ？？

//<0039> 「よう、松下五段」
<0039> 「よう、松下五段」

//<0040> 松下
<0040> 松下

//<0041> 「おお、音無、どうした。また稽古をつけてほしいってのか？」
<0041> 「おお、音無、どうした。また稽古をつけてほしいってのか？」

//<0042> 松下
<0042> 松下

//<0043> 「おお、音無、どうした。また稽古をつけてほしいのか？」
<0043> 「おお、音無、どうした。また稽古をつけてほしいのか？」

//<0044> 音無
<0044> 音無

//<0045> クソ坊主
<0045> クソ坊主

//<0046> 代理人
<0046> 代理人

//<0047> 微妙すぎるイケメン
<0047> 微妙すぎるイケメン

//<0048> ロリコン
<0048> ロリコン

//<0049> メガネ仲間
<0049> メガネ仲間

//<0050> 暗算日本記録保持者
<0050> 暗算日本記録保持者

//<0051> 通り魔
<0051> 通り魔

//<0052> 記憶ナシ男
<0052> 記憶ナシ男

//<0053> 音速
<0053> 音速

//<0054> 無限
<0054> 無限

//<0055> エロ侍
<0055> エロ侍

//<0056> エロエロ団ナンバー１
<0056> エロエロ団ナンバー１

//<0057> ただのエロ少年
<0057> ただのエロ少年

//<0058> ユリブサイク
<0058> ユリブサイク

//<0059> ドピュッシー
<0059> ドピュッシー

//<0060> アメリカンエロドッグ
<0060> アメリカンエロドッグ

//<0061> ゼウス
<0061> ゼウス

//<0062> 日向markⅡ
<0062> 日向markⅡ

//<0063> 糞虫
<0063> 糞虫

//<0064> 量産型日向
<0064> 量産型日向

//<0065> ？？
<0065> ？？

//<0066> 「いや、違う」
<0066> 「いや、違う」

//<0067> 松下
<0067> 松下

//<0068> 「まあ、あそこまで教えたんだしな、後は自主トレを毎日取り入れていけばいい」
<0068> 「まあ、あそこまで教えたんだしな、後は自主トレを毎日取り入れていけばいい」

//<0069> 松下
<0069> 松下

//<0070> 「だったら、なんの用だ？」
<0070> 「だったら、なんの用だ？」

//<0071> 松下
<0071> 松下

//<0072> 「まあ、あそこまで教えたのだからな、後は自主トレを毎日取り入れていけばいい」
<0072> 「まあ、あそこまで教えたのだからな、後は自主トレを毎日取り入れていけばいい」

//<0073> 松下
<0073> 松下

//<0074> 「だったら、なんの用だ？」
<0074> 「だったら、なんの用だ？」

//<0075> 音無
<0075> 音無

//<0076> クソ坊主
<0076> クソ坊主

//<0077> 代理人
<0077> 代理人

//<0078> 微妙すぎるイケメン
<0078> 微妙すぎるイケメン

//<0079> ロリコン
<0079> ロリコン

//<0080> メガネ仲間
<0080> メガネ仲間

//<0081> 暗算日本記録保持者
<0081> 暗算日本記録保持者

//<0082> 通り魔
<0082> 通り魔

//<0083> 記憶ナシ男
<0083> 記憶ナシ男

//<0084> 音速
<0084> 音速

//<0085> 無限
<0085> 無限

//<0086> エロ侍
<0086> エロ侍

//<0087> エロエロ団ナンバー１
<0087> エロエロ団ナンバー１

//<0088> ただのエロ少年
<0088> ただのエロ少年

//<0089> ユリブサイク
<0089> ユリブサイク

//<0090> ドピュッシー
<0090> ドピュッシー

//<0091> アメリカンエロドッグ
<0091> アメリカンエロドッグ

//<0092> ゼウス
<0092> ゼウス

//<0093> 日向markⅡ
<0093> 日向markⅡ

//<0094> 糞虫
<0094> 糞虫

//<0095> 量産型日向
<0095> 量産型日向

//<0096> ？？
<0096> ？？

//<0097> （いきなり生前の話を訊いてもいいのか…？）
<0097> （いきなり生前の話を訊いてもいいのか…？）

//<0098> 生前の話をいきなり訊く
<0098> 生前の話をいきなり訊く

//<0099> 友達から始める
<0099> 友達から始める

//<0100> selbtn : 
<0100> selbtn : 

//<0101> 音無
<0101> 音無

//<0102> クソ坊主
<0102> クソ坊主

//<0103> 代理人
<0103> 代理人

//<0104> 微妙すぎるイケメン
<0104> 微妙すぎるイケメン

//<0105> ロリコン
<0105> ロリコン

//<0106> メガネ仲間
<0106> メガネ仲間

//<0107> 暗算日本記録保持者
<0107> 暗算日本記録保持者

//<0108> 通り魔
<0108> 通り魔

//<0109> 記憶ナシ男
<0109> 記憶ナシ男

//<0110> 音速
<0110> 音速

//<0111> 無限
<0111> 無限

//<0112> エロ侍
<0112> エロ侍

//<0113> エロエロ団ナンバー１
<0113> エロエロ団ナンバー１

//<0114> ただのエロ少年
<0114> ただのエロ少年

//<0115> ユリブサイク
<0115> ユリブサイク

//<0116> ドピュッシー
<0116> ドピュッシー

//<0117> アメリカンエロドッグ
<0117> アメリカンエロドッグ

//<0118> ゼウス
<0118> ゼウス

//<0119> 日向markⅡ
<0119> 日向markⅡ

//<0120> 糞虫
<0120> 糞虫

//<0121> 量産型日向
<0121> 量産型日向

//<0122> ？？
<0122> ？？

//<0123> 「なあ、松下五段。お前の生前の話を聞かせてもらえないかな」
<0123> 「なあ、松下五段。お前の生前の話を聞かせてもらえないかな」

//<0124> 緊張気味に訊く。
<0124> 緊張気味に訊く。

//<0125> 松下
<0125> 松下

//<0126> 「ん…？　そんなもんに興味があるってのか？」
<0126> 「ん…？　そんなもんに興味があるってのか？」

//<0127> 音無
<0127> 音無

//<0128> クソ坊主
<0128> クソ坊主

//<0129> 代理人
<0129> 代理人

//<0130> 微妙すぎるイケメン
<0130> 微妙すぎるイケメン

//<0131> ロリコン
<0131> ロリコン

//<0132> メガネ仲間
<0132> メガネ仲間

//<0133> 暗算日本記録保持者
<0133> 暗算日本記録保持者

//<0134> 通り魔
<0134> 通り魔

//<0135> 記憶ナシ男
<0135> 記憶ナシ男

//<0136> 音速
<0136> 音速

//<0137> 無限
<0137> 無限

//<0138> エロ侍
<0138> エロ侍

//<0139> エロエロ団ナンバー１
<0139> エロエロ団ナンバー１

//<0140> ただのエロ少年
<0140> ただのエロ少年

//<0141> ユリブサイク
<0141> ユリブサイク

//<0142> ドピュッシー
<0142> ドピュッシー

//<0143> アメリカンエロドッグ
<0143> アメリカンエロドッグ

//<0144> ゼウス
<0144> ゼウス

//<0145> 日向markⅡ
<0145> 日向markⅡ

//<0146> 糞虫
<0146> 糞虫

//<0147> 量産型日向
<0147> 量産型日向

//<0148> ？？
<0148> ？？

//<0149> 「ああ」
<0149> 「ああ」

//<0150> 松下
<0150> 松下

//<0151> 「かっこ悪ぃから、遠慮願いてぇな」
<0151> 「かっこ悪ぃから、遠慮願いてぇな」

//<0152> 松下
<0152> 松下

//<0153> 「む…？　そんなものに興味があるのか？」
<0153> 「む…？　そんなものに興味があるのか？」

//<0154> 音無
<0154> 音無

//<0155> クソ坊主
<0155> クソ坊主

//<0156> 代理人
<0156> 代理人

//<0157> 微妙すぎるイケメン
<0157> 微妙すぎるイケメン

//<0158> ロリコン
<0158> ロリコン

//<0159> メガネ仲間
<0159> メガネ仲間

//<0160> 暗算日本記録保持者
<0160> 暗算日本記録保持者

//<0161> 通り魔
<0161> 通り魔

//<0162> 記憶ナシ男
<0162> 記憶ナシ男

//<0163> 音速
<0163> 音速

//<0164> 無限
<0164> 無限

//<0165> エロ侍
<0165> エロ侍

//<0166> エロエロ団ナンバー１
<0166> エロエロ団ナンバー１

//<0167> ただのエロ少年
<0167> ただのエロ少年

//<0168> ユリブサイク
<0168> ユリブサイク

//<0169> ドピュッシー
<0169> ドピュッシー

//<0170> アメリカンエロドッグ
<0170> アメリカンエロドッグ

//<0171> ゼウス
<0171> ゼウス

//<0172> 日向markⅡ
<0172> 日向markⅡ

//<0173> 糞虫
<0173> 糞虫

//<0174> 量産型日向
<0174> 量産型日向

//<0175> ？？
<0175> ？？

//<0176> 「ああ」
<0176> 「ああ」

//<0177> 松下
<0177> 松下

//<0178> 「恥ずかしいから、遠慮願いたい」
<0178> 「恥ずかしいから、遠慮願いたい」

//<0179> 押す
<0179> 押す

//<0180> 引き下がる
<0180> 引き下がる

//<0181> selbtn : 
<0181> selbtn : 

//<0182> 音無
<0182> 音無

//<0183> クソ坊主
<0183> クソ坊主

//<0184> 代理人
<0184> 代理人

//<0185> 微妙すぎるイケメン
<0185> 微妙すぎるイケメン

//<0186> ロリコン
<0186> ロリコン

//<0187> メガネ仲間
<0187> メガネ仲間

//<0188> 暗算日本記録保持者
<0188> 暗算日本記録保持者

//<0189> 通り魔
<0189> 通り魔

//<0190> 記憶ナシ男
<0190> 記憶ナシ男

//<0191> 音速
<0191> 音速

//<0192> 無限
<0192> 無限

//<0193> エロ侍
<0193> エロ侍

//<0194> エロエロ団ナンバー１
<0194> エロエロ団ナンバー１

//<0195> ただのエロ少年
<0195> ただのエロ少年

//<0196> ユリブサイク
<0196> ユリブサイク

//<0197> ドピュッシー
<0197> ドピュッシー

//<0198> アメリカンエロドッグ
<0198> アメリカンエロドッグ

//<0199> ゼウス
<0199> ゼウス

//<0200> 日向markⅡ
<0200> 日向markⅡ

//<0201> 糞虫
<0201> 糞虫

//<0202> 量産型日向
<0202> 量産型日向

//<0203> ？？
<0203> ？？

//<0204> 「頼む！」
<0204> 「頼む！」

//<0205> 押した！
<0205> 押した！

//<0206> 松下
<0206> 松下

//<0207> 「だから話せねぇっての」
<0207> 「だから話せねぇっての」

//<0208> 松下
<0208> 松下

//<0209> 「いやいや、だから話せんっ」
<0209> 「いやいや、だから話せんっ」

//<0210> 砕け散った…。
<0210> 砕け散った…。

//<0211> 音無
<0211> 音無

//<0212> クソ坊主
<0212> クソ坊主

//<0213> 代理人
<0213> 代理人

//<0214> 微妙すぎるイケメン
<0214> 微妙すぎるイケメン

//<0215> ロリコン
<0215> ロリコン

//<0216> メガネ仲間
<0216> メガネ仲間

//<0217> 暗算日本記録保持者
<0217> 暗算日本記録保持者

//<0218> 通り魔
<0218> 通り魔

//<0219> 記憶ナシ男
<0219> 記憶ナシ男

//<0220> 音速
<0220> 音速

//<0221> 無限
<0221> 無限

//<0222> エロ侍
<0222> エロ侍

//<0223> エロエロ団ナンバー１
<0223> エロエロ団ナンバー１

//<0224> ただのエロ少年
<0224> ただのエロ少年

//<0225> ユリブサイク
<0225> ユリブサイク

//<0226> ドピュッシー
<0226> ドピュッシー

//<0227> アメリカンエロドッグ
<0227> アメリカンエロドッグ

//<0228> ゼウス
<0228> ゼウス

//<0229> 日向markⅡ
<0229> 日向markⅡ

//<0230> 糞虫
<0230> 糞虫

//<0231> 量産型日向
<0231> 量産型日向

//<0232> ？？
<0232> ？？

//<0233> 「わかったよ…」
<0233> 「わかったよ…」

//<0234> 俺は引き下がった。
<0234> 俺は引き下がった。

//<0235> nothing
<0235> nothing

//<0236> nothing
<0236> nothing

//<0237> nothing
<0237> nothing

//<0238> nothing
<0238> nothing

//<0239> nothing
<0239> nothing

//<0240> 音無
<0240> 音無

//<0241> クソ坊主
<0241> クソ坊主

//<0242> 代理人
<0242> 代理人

//<0243> 微妙すぎるイケメン
<0243> 微妙すぎるイケメン

//<0244> ロリコン
<0244> ロリコン

//<0245> メガネ仲間
<0245> メガネ仲間

//<0246> 暗算日本記録保持者
<0246> 暗算日本記録保持者

//<0247> 通り魔
<0247> 通り魔

//<0248> 記憶ナシ男
<0248> 記憶ナシ男

//<0249> 音速
<0249> 音速

//<0250> 無限
<0250> 無限

//<0251> エロ侍
<0251> エロ侍

//<0252> エロエロ団ナンバー１
<0252> エロエロ団ナンバー１

//<0253> ただのエロ少年
<0253> ただのエロ少年

//<0254> ユリブサイク
<0254> ユリブサイク

//<0255> ドピュッシー
<0255> ドピュッシー

//<0256> アメリカンエロドッグ
<0256> アメリカンエロドッグ

//<0257> ゼウス
<0257> ゼウス

//<0258> 日向markⅡ
<0258> 日向markⅡ

//<0259> 糞虫
<0259> 糞虫

//<0260> 量産型日向
<0260> 量産型日向

//<0261> ？？
<0261> ？？

//<0262> 「松下五段に生前の話を訊いてみたが、かっこ悪いからと断られた…」
<0262> 「松下五段に生前の話を訊いてみたが、かっこ悪いからと断られた…」

//<0263> 音無
<0263> 音無

//<0264> クソ坊主
<0264> クソ坊主

//<0265> 代理人
<0265> 代理人

//<0266> 微妙すぎるイケメン
<0266> 微妙すぎるイケメン

//<0267> ロリコン
<0267> ロリコン

//<0268> メガネ仲間
<0268> メガネ仲間

//<0269> 暗算日本記録保持者
<0269> 暗算日本記録保持者

//<0270> 通り魔
<0270> 通り魔

//<0271> 記憶ナシ男
<0271> 記憶ナシ男

//<0272> 音速
<0272> 音速

//<0273> 無限
<0273> 無限

//<0274> エロ侍
<0274> エロ侍

//<0275> エロエロ団ナンバー１
<0275> エロエロ団ナンバー１

//<0276> ただのエロ少年
<0276> ただのエロ少年

//<0277> ユリブサイク
<0277> ユリブサイク

//<0278> ドピュッシー
<0278> ドピュッシー

//<0279> アメリカンエロドッグ
<0279> アメリカンエロドッグ

//<0280> ゼウス
<0280> ゼウス

//<0281> 日向markⅡ
<0281> 日向markⅡ

//<0282> 糞虫
<0282> 糞虫

//<0283> 量産型日向
<0283> 量産型日向

//<0284> ？？
<0284> ？？

//<0285> 「松下五段に生前の話を訊いてみたが、恥ずかしいからと断られた…」
<0285> 「松下五段に生前の話を訊いてみたが、恥ずかしいからと断られた…」

//<0286> nothing
<0286> nothing

//<0287> nothing
<0287> nothing

//<0288> nothing
<0288> nothing

//<0289> nothing
<0289> nothing

//<0290> nothing
<0290> nothing

//<0291> 天使
<0291> 天使

//<0292> かなで
<0292> かなで

//<0293> 女生徒
<0293> 女生徒

//<0294> ？？
<0294> ？？

//<0295> 「さっそく、暗礁に乗り上げた？」
<0295> 「さっそく、暗礁に乗り上げた？」

//<0296> 音無
<0296> 音無

//<0297> クソ坊主
<0297> クソ坊主

//<0298> 代理人
<0298> 代理人

//<0299> 微妙すぎるイケメン
<0299> 微妙すぎるイケメン

//<0300> ロリコン
<0300> ロリコン

//<0301> メガネ仲間
<0301> メガネ仲間

//<0302> 暗算日本記録保持者
<0302> 暗算日本記録保持者

//<0303> 通り魔
<0303> 通り魔

//<0304> 記憶ナシ男
<0304> 記憶ナシ男

//<0305> 音速
<0305> 音速

//<0306> 無限
<0306> 無限

//<0307> エロ侍
<0307> エロ侍

//<0308> エロエロ団ナンバー１
<0308> エロエロ団ナンバー１

//<0309> ただのエロ少年
<0309> ただのエロ少年

//<0310> ユリブサイク
<0310> ユリブサイク

//<0311> ドピュッシー
<0311> ドピュッシー

//<0312> アメリカンエロドッグ
<0312> アメリカンエロドッグ

//<0313> ゼウス
<0313> ゼウス

//<0314> 日向markⅡ
<0314> 日向markⅡ

//<0315> 糞虫
<0315> 糞虫

//<0316> 量産型日向
<0316> 量産型日向

//<0317> ？？
<0317> ？？

//<0318> 「俺たちは、途方も無いことに挑戦しているんじゃないのか…」
<0318> 「俺たちは、途方も無いことに挑戦しているんじゃないのか…」

//<0319> nothing
<0319> nothing

//<0320> nothing
<0320> nothing

//<0321> nothing
<0321> nothing

//<0322> nothing
<0322> nothing

//<0323> nothing
<0323> nothing

//<0324> 天使
<0324> 天使

//<0325> かなで
<0325> かなで

//<0326> 女生徒
<0326> 女生徒

//<0327> ？？
<0327> ？？

//<0328> 「そうね。何十年かけても、あたしにはどうしようもなかったことだもの」
<0328> 「そうね。何十年かけても、あたしにはどうしようもなかったことだもの」

//<0329> 音無
<0329> 音無

//<0330> クソ坊主
<0330> クソ坊主

//<0331> 代理人
<0331> 代理人

//<0332> 微妙すぎるイケメン
<0332> 微妙すぎるイケメン

//<0333> ロリコン
<0333> ロリコン

//<0334> メガネ仲間
<0334> メガネ仲間

//<0335> 暗算日本記録保持者
<0335> 暗算日本記録保持者

//<0336> 通り魔
<0336> 通り魔

//<0337> 記憶ナシ男
<0337> 記憶ナシ男

//<0338> 音速
<0338> 音速

//<0339> 無限
<0339> 無限

//<0340> エロ侍
<0340> エロ侍

//<0341> エロエロ団ナンバー１
<0341> エロエロ団ナンバー１

//<0342> ただのエロ少年
<0342> ただのエロ少年

//<0343> ユリブサイク
<0343> ユリブサイク

//<0344> ドピュッシー
<0344> ドピュッシー

//<0345> アメリカンエロドッグ
<0345> アメリカンエロドッグ

//<0346> ゼウス
<0346> ゼウス

//<0347> 日向markⅡ
<0347> 日向markⅡ

//<0348> 糞虫
<0348> 糞虫

//<0349> 量産型日向
<0349> 量産型日向

//<0350> ？？
<0350> ？？

//<0351> 「だよな…まだまだ新米の俺じゃ、一筋縄ではいかねーよな…。あさはかだったか…」
<0351> 「だよな…まだまだ新米の俺じゃ、一筋縄ではいかねーよな…。あさはかだったか…」

//<0352> 俺は自分の無力さに凹む…。
<0352> 俺は自分の無力さに凹む…。

//<0353> nothing
<0353> nothing

//<0354> nothing
<0354> nothing

//<0355> nothing
<0355> nothing

//<0356> nothing
<0356> nothing

//<0357> nothing
<0357> nothing

//<0358> 天使
<0358> 天使

//<0359> かなで
<0359> かなで

//<0360> 女生徒
<0360> 女生徒

//<0361> ？？
<0361> ？？

//<0362> 「恥ずかしくて話せない、というのなら、まずは仲良くなってみたらどう？」
<0362> 「恥ずかしくて話せない、というのなら、まずは仲良くなってみたらどう？」

//<0363> nothing
<0363> nothing

//<0364> nothing
<0364> nothing

//<0365> nothing
<0365> nothing

//<0366> nothing
<0366> nothing

//<0367> nothing
<0367> nothing

//<0368> 天使
<0368> 天使

//<0369> かなで
<0369> かなで

//<0370> 女生徒
<0370> 女生徒

//<0371> ？？
<0371> ？？

//<0372> 「親友には話せるかもしれないわ」
<0372> 「親友には話せるかもしれないわ」

//<0373> 音無
<0373> 音無

//<0374> クソ坊主
<0374> クソ坊主

//<0375> 代理人
<0375> 代理人

//<0376> 微妙すぎるイケメン
<0376> 微妙すぎるイケメン

//<0377> ロリコン
<0377> ロリコン

//<0378> メガネ仲間
<0378> メガネ仲間

//<0379> 暗算日本記録保持者
<0379> 暗算日本記録保持者

//<0380> 通り魔
<0380> 通り魔

//<0381> 記憶ナシ男
<0381> 記憶ナシ男

//<0382> 音速
<0382> 音速

//<0383> 無限
<0383> 無限

//<0384> エロ侍
<0384> エロ侍

//<0385> エロエロ団ナンバー１
<0385> エロエロ団ナンバー１

//<0386> ただのエロ少年
<0386> ただのエロ少年

//<0387> ユリブサイク
<0387> ユリブサイク

//<0388> ドピュッシー
<0388> ドピュッシー

//<0389> アメリカンエロドッグ
<0389> アメリカンエロドッグ

//<0390> ゼウス
<0390> ゼウス

//<0391> 日向markⅡ
<0391> 日向markⅡ

//<0392> 糞虫
<0392> 糞虫

//<0393> 量産型日向
<0393> 量産型日向

//<0394> ？？
<0394> ？？

//<0395> 「おお、お前にしては名案だ…！」
<0395> 「おお、お前にしては名案だ…！」

//<0396> nothing
<0396> nothing

//<0397> nothing
<0397> nothing

//<0398> nothing
<0398> nothing

//<0399> nothing
<0399> nothing

//<0400> nothing
<0400> nothing

//<0401> 天使
<0401> 天使

//<0402> かなで
<0402> かなで

//<0403> 女生徒
<0403> 女生徒

//<0404> ？？
<0404> ？？

//<0405> 「そ。力になれて幸いだわ」
<0405> 「そ。力になれて幸いだわ」

//<0406> 音無
<0406> 音無

//<0407> クソ坊主
<0407> クソ坊主

//<0408> 代理人
<0408> 代理人

//<0409> 微妙すぎるイケメン
<0409> 微妙すぎるイケメン

//<0410> ロリコン
<0410> ロリコン

//<0411> メガネ仲間
<0411> メガネ仲間

//<0412> 暗算日本記録保持者
<0412> 暗算日本記録保持者

//<0413> 通り魔
<0413> 通り魔

//<0414> 記憶ナシ男
<0414> 記憶ナシ男

//<0415> 音速
<0415> 音速

//<0416> 無限
<0416> 無限

//<0417> エロ侍
<0417> エロ侍

//<0418> エロエロ団ナンバー１
<0418> エロエロ団ナンバー１

//<0419> ただのエロ少年
<0419> ただのエロ少年

//<0420> ユリブサイク
<0420> ユリブサイク

//<0421> ドピュッシー
<0421> ドピュッシー

//<0422> アメリカンエロドッグ
<0422> アメリカンエロドッグ

//<0423> ゼウス
<0423> ゼウス

//<0424> 日向markⅡ
<0424> 日向markⅡ

//<0425> 糞虫
<0425> 糞虫

//<0426> 量産型日向
<0426> 量産型日向

//<0427> ？？
<0427> ？？

//<0428> 「わかった。やってみる」
<0428> 「わかった。やってみる」

//<0429> 翌日。
<0429> 翌日。

//<0430> 音無
<0430> 音無

//<0431> クソ坊主
<0431> クソ坊主

//<0432> 代理人
<0432> 代理人

//<0433> 微妙すぎるイケメン
<0433> 微妙すぎるイケメン

//<0434> ロリコン
<0434> ロリコン

//<0435> メガネ仲間
<0435> メガネ仲間

//<0436> 暗算日本記録保持者
<0436> 暗算日本記録保持者

//<0437> 通り魔
<0437> 通り魔

//<0438> 記憶ナシ男
<0438> 記憶ナシ男

//<0439> 音速
<0439> 音速

//<0440> 無限
<0440> 無限

//<0441> エロ侍
<0441> エロ侍

//<0442> エロエロ団ナンバー１
<0442> エロエロ団ナンバー１

//<0443> ただのエロ少年
<0443> ただのエロ少年

//<0444> ユリブサイク
<0444> ユリブサイク

//<0445> ドピュッシー
<0445> ドピュッシー

//<0446> アメリカンエロドッグ
<0446> アメリカンエロドッグ

//<0447> ゼウス
<0447> ゼウス

//<0448> 日向markⅡ
<0448> 日向markⅡ

//<0449> 糞虫
<0449> 糞虫

//<0450> 量産型日向
<0450> 量産型日向

//<0451> ？？
<0451> ？？

//<0452> 「まず、友達からでってことでどうかな…」
<0452> 「まず、友達からでってことでどうかな…」

//<0453> 音無
<0453> 音無

//<0454> クソ坊主
<0454> クソ坊主

//<0455> 代理人
<0455> 代理人

//<0456> 微妙すぎるイケメン
<0456> 微妙すぎるイケメン

//<0457> ロリコン
<0457> ロリコン

//<0458> メガネ仲間
<0458> メガネ仲間

//<0459> 暗算日本記録保持者
<0459> 暗算日本記録保持者

//<0460> 通り魔
<0460> 通り魔

//<0461> 記憶ナシ男
<0461> 記憶ナシ男

//<0462> 音速
<0462> 音速

//<0463> 無限
<0463> 無限

//<0464> エロ侍
<0464> エロ侍

//<0465> エロエロ団ナンバー１
<0465> エロエロ団ナンバー１

//<0466> ただのエロ少年
<0466> ただのエロ少年

//<0467> ユリブサイク
<0467> ユリブサイク

//<0468> ドピュッシー
<0468> ドピュッシー

//<0469> アメリカンエロドッグ
<0469> アメリカンエロドッグ

//<0470> ゼウス
<0470> ゼウス

//<0471> 日向markⅡ
<0471> 日向markⅡ

//<0472> 糞虫
<0472> 糞虫

//<0473> 量産型日向
<0473> 量産型日向

//<0474> ？？
<0474> ？？

//<0475> （って、まるでそっちの
<0475> （って、まるでそっちの

//<0476> け
<0476> け

//<0477> 気
<0477> 気
{c1b3} 3d // 0477

//<0478> があるみたいじゃないかーーー！）
<0478> があるみたいじゃないかーーー！）

//<0479> 音無
<0479> 音無

//<0480> クソ坊主
<0480> クソ坊主

//<0481> 代理人
<0481> 代理人

//<0482> 微妙すぎるイケメン
<0482> 微妙すぎるイケメン

//<0483> ロリコン
<0483> ロリコン

//<0484> メガネ仲間
<0484> メガネ仲間

//<0485> 暗算日本記録保持者
<0485> 暗算日本記録保持者

//<0486> 通り魔
<0486> 通り魔

//<0487> 記憶ナシ男
<0487> 記憶ナシ男

//<0488> 音速
<0488> 音速

//<0489> 無限
<0489> 無限

//<0490> エロ侍
<0490> エロ侍

//<0491> エロエロ団ナンバー１
<0491> エロエロ団ナンバー１

//<0492> ただのエロ少年
<0492> ただのエロ少年

//<0493> ユリブサイク
<0493> ユリブサイク

//<0494> ドピュッシー
<0494> ドピュッシー

//<0495> アメリカンエロドッグ
<0495> アメリカンエロドッグ

//<0496> ゼウス
<0496> ゼウス

//<0497> 日向markⅡ
<0497> 日向markⅡ

//<0498> 糞虫
<0498> 糞虫

//<0499> 量産型日向
<0499> 量産型日向

//<0500> ？？
<0500> ？？

//<0501> 「なあ、松下五段。俺と友達になってくれないか？」
<0501> 「なあ、松下五段。俺と友達になってくれないか？」

//<0502> 松下
<0502> 松下

//<0503> 「へぇ…戦線メンバー同士で友達、そういう概念は今までなかったぜ…。興味深いな」
<0503> 「へぇ…戦線メンバー同士で友達、そういう概念は今までなかったぜ…。興味深いな」

//<0504> 音無
<0504> 音無

//<0505> クソ坊主
<0505> クソ坊主

//<0506> 代理人
<0506> 代理人

//<0507> 微妙すぎるイケメン
<0507> 微妙すぎるイケメン

//<0508> ロリコン
<0508> ロリコン

//<0509> メガネ仲間
<0509> メガネ仲間

//<0510> 暗算日本記録保持者
<0510> 暗算日本記録保持者

//<0511> 通り魔
<0511> 通り魔

//<0512> 記憶ナシ男
<0512> 記憶ナシ男

//<0513> 音速
<0513> 音速

//<0514> 無限
