// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 【ゆり】_【戦線本部】
<0000> 【ゆり】_【戦線本部】
//<0076> sys_mp_selbtn01b
<0076> sys_mp_selbtn01b

//<0077> sys_mp_selbtn02
<0077> sys_mp_selbtn02

//<0078> sys_mp_selbtn02b
<0078> sys_mp_selbtn02b

//<0079> sys_mp_selbtn02
<0079> sys_mp_selbtn02

//<0080> sys_mp_selbtn02b
<0080> sys_mp_selbtn02b

//<0081> sys_mp_selbtn02
<0081> sys_mp_selbtn02

//<0082> sys_mp_selbtn02b
<0082> sys_mp_selbtn02b

//<0083> sys_mp_selbtn02
<0083> sys_mp_selbtn02

//<0084> sys_mp_selbtn02b
<0084> sys_mp_selbtn02b

//<0085> sys_mp_selbtn01
<0085> sys_mp_selbtn01

//<0086> sys_mp_selbtn01b
<0086> sys_mp_selbtn01b

//<0087> sys_mp_selbtn01
<0087> sys_mp_selbtn01

//<0088> sys_mp_selbtn01b
<0088> sys_mp_selbtn01b

//<0089> sys_mp_selbtn01
<0089> sys_mp_selbtn01

//<0090> sys_mp_selbtn01b
<0090> sys_mp_selbtn01b

//<0091> sys_mp_selbtn01
<0091> sys_mp_selbtn01

//<0092> sys_mp_selbtn01b
<0092> sys_mp_selbtn01b

//<0093> sys_mp_selbtn02
<0093> sys_mp_selbtn02

//<0094> sys_mp_selbtn02b
<0094> sys_mp_selbtn02b

//<0095> sys_mp_selbtn04
<0095> sys_mp_selbtn04

//<0096> sys_mp_selbtn04b
<0096> sys_mp_selbtn04b

//<0097> sys_mp_selbtn02
<0097> sys_mp_selbtn02

//<0098> sys_mp_selbtn02b
<0098> sys_mp_selbtn02b

//<0099> sys_mp_selbtn02
<0099> sys_mp_selbtn02

//<0100> sys_mp_selbtn02b
<0100> sys_mp_selbtn02b

//<0101> sys_mp_selbtn04
<0101> sys_mp_selbtn04

//<0102> sys_mp_selbtn04b
<0102> sys_mp_selbtn04b

//<0103> sys_mp_selbtn02
<0103> sys_mp_selbtn02

//<0104> sys_mp_selbtn02b
<0104> sys_mp_selbtn02b

//<0105> sys_mp_selbtn02
<0105> sys_mp_selbtn02

//<0106> sys_mp_selbtn02b
<0106> sys_mp_selbtn02b

//<0107> sys_mp_selbtn04
<0107> sys_mp_selbtn04

//<0108> sys_mp_selbtn04b
<0108> sys_mp_selbtn04b

//<0109> sys_mp_selbtn02
<0109> sys_mp_selbtn02

//<0110> sys_mp_selbtn02b
<0110> sys_mp_selbtn02b

//<0111> sys_mp_selbtn04
<0111> sys_mp_selbtn04

//<0112> sys_mp_selbtn04b
<0112> sys_mp_selbtn04b

//<0113> sys_mp_selbtn04
<0113> sys_mp_selbtn04

//<0114> sys_mp_selbtn04b
<0114> sys_mp_selbtn04b

//<0115> sys_mp_selbtn02
<0115> sys_mp_selbtn02

//<0116> sys_mp_selbtn02b
<0116> sys_mp_selbtn02b

//<0117> sys_mp_selbtn02
<0117> sys_mp_selbtn02

//<0118> sys_mp_selbtn02b
<0118> sys_mp_selbtn02b

