// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> こんなに受け続けていて、大丈夫なのだろうか…。
<0000> こんなに受け続けていて、大丈夫なのだろうか…。
//<0089> 神の使いなんだから…敵だ。
<0089> 神の使いなんだから…敵だ。

//<0090> でも…、こうして授業を受けていれば、普通の女の子と変わりない。
<0090> でも…、こうして授業を受けていれば、普通の女の子と変わりない。

//<0091> 俺はどうすればいいのだろう…。
<0091> 俺はどうすればいいのだろう…。

//<0092> se_chime
<0092> se_chime

//<0093> 授業が終わると、天使が俺の席の前までやってきた。
<0093> 授業が終わると、天使が俺の席の前までやってきた。

//<0094> 初めてのパターンだ。
<0094> 初めてのパターンだ。

//<0095> 音無
<0095> 音無

//<0096> クソ坊主
<0096> クソ坊主

//<0097> 代理人
<0097> 代理人

//<0098> 微妙すぎるイケメン
<0098> 微妙すぎるイケメン

//<0099> ロリコン
<0099> ロリコン

//<0100> メガネ仲間
<0100> メガネ仲間

//<0101> 暗算日本記録保持者
<0101> 暗算日本記録保持者

//<0102> 通り魔
<0102> 通り魔

//<0103> 記憶ナシ男
<0103> 記憶ナシ男

//<0104> 音速
<0104> 音速

//<0105> 無限
<0105> 無限

//<0106> エロ侍
<0106> エロ侍

//<0107> エロエロ団ナンバー１
<0107> エロエロ団ナンバー１

//<0108> ただのエロ少年
<0108> ただのエロ少年

//<0109> ユリブサイク
<0109> ユリブサイク

//<0110> ドピュッシー
<0110> ドピュッシー

//<0111> アメリカンエロドッグ
<0111> アメリカンエロドッグ

//<0112> ゼウス
<0112> ゼウス

//<0113> 日向markⅡ
<0113> 日向markⅡ

//<0114> 糞虫
<0114> 糞虫

//<0115> 量産型日向
<0115> 量産型日向

//<0116> ？？
<0116> ？？

//<0117> 「どうした？」
<0117> 「どうした？」

//<0118> nothing
<0118> nothing

//<0119> nothing
<0119> nothing

//<0120> nothing
<0120> nothing

//<0121> nothing
<0121> nothing

//<0122> nothing
<0122> nothing

//<0123> 天使
<0123> 天使

//<0124> かなで
<0124> かなで

//<0125> 女生徒
<0125> 女生徒

//<0126> ？？
<0126> ？？

//<0127> 「授業中、顔色が悪かったわ」
<0127> 「授業中、顔色が悪かったわ」

//<0128> 音無
<0128> 音無

//<0129> クソ坊主
<0129> クソ坊主

//<0130> 代理人
<0130> 代理人

//<0131> 微妙すぎるイケメン
<0131> 微妙すぎるイケメン

//<0132> ロリコン
<0132> ロリコン

//<0133> メガネ仲間
<0133> メガネ仲間

//<0134> 暗算日本記録保持者
<0134> 暗算日本記録保持者

//<0135> 通り魔
<0135> 通り魔

//<0136> 記憶ナシ男
<0136> 記憶ナシ男

//<0137> 音速
<0137> 音速

//<0138> 無限
<0138> 無限

//<0139> エロ侍
<0139> エロ侍

//<0140> エロエロ団ナンバー１
<0140> エロエロ団ナンバー１

//<0141> ただのエロ少年
<0141> ただのエロ少年

//<0142> ユリブサイク
<0142> ユリブサイク

//<0143> ドピュッシー
<0143> ドピュッシー

//<0144> アメリカンエロドッグ
<0144> アメリカンエロドッグ

//<0145> ゼウス
<0145> ゼウス

//<0146> 日向markⅡ
<0146> 日向markⅡ

//<0147> 糞虫
<0147> 糞虫

//<0148> 量産型日向
<0148> 量産型日向

//<0149> ？？
<0149> ？？

//<0150> 「え？」
<0150> 「え？」

//<0151> 見られていたのか…。
<0151> 見られていたのか…。

//<0152> nothing
<0152> nothing

//<0153> nothing
<0153> nothing

//<0154> nothing
<0154> nothing

//<0155> nothing
<0155> nothing

//<0156> nothing
<0156> nothing

//<0157> 天使
<0157> 天使

//<0158> かなで
<0158> かなで

//<0159> 女生徒
<0159> 女生徒

//<0160> ？？
<0160> ？？

//<0161> 「調子が悪い？」
<0161> 「調子が悪い？」

//<0162> 音無
<0162> 音無

//<0163> クソ坊主
<0163> クソ坊主

//<0164> 代理人
<0164> 代理人

//<0165> 微妙すぎるイケメン
<0165> 微妙すぎるイケメン

//<0166> ロリコン
<0166> ロリコン

//<0167> メガネ仲間
<0167> メガネ仲間

//<0168> 暗算日本記録保持者
<0168> 暗算日本記録保持者

//<0169> 通り魔
<0169> 通り魔

//<0170> 記憶ナシ男
<0170> 記憶ナシ男

//<0171> 音速
<0171> 音速

//<0172> 無限
<0172> 無限

//<0173> エロ侍
<0173> エロ侍

//<0174> エロエロ団ナンバー１
<0174> エロエロ団ナンバー１

//<0175> ただのエロ少年
<0175> ただのエロ少年

//<0176> ユリブサイク
<0176> ユリブサイク

//<0177> ドピュッシー
<0177> ドピュッシー

//<0178> アメリカンエロドッグ
<0178> アメリカンエロドッグ

//<0179> ゼウス
<0179> ゼウス

//<0180> 日向markⅡ
<0180> 日向markⅡ

//<0181> 糞虫
<0181> 糞虫

//<0182> 量産型日向
<0182> 量産型日向

//<0183> ？？
<0183> ？？

//<0184> 「いや、この世界で体の調子が悪くなることなんてないだろ…」
<0184> 「いや、この世界で体の調子が悪くなることなんてないだろ…」

//<0185> nothing
<0185> nothing

//<0186> nothing
<0186> nothing

//<0187> nothing
<0187> nothing

//<0188> nothing
<0188> nothing

//<0189> nothing
<0189> nothing

//<0190> 天使
<0190> 天使

//<0191> かなで
<0191> かなで

//<0192> 女生徒
<0192> 女生徒

//<0193> ？？
<0193> ？？

//<0194> 「一時的ならあるわ。すぐ治るけど」
<0194> 「一時的ならあるわ。すぐ治るけど」

//<0195> 音無
<0195> 音無

//<0196> クソ坊主
<0196> クソ坊主

//<0197> 代理人
<0197> 代理人

//<0198> 微妙すぎるイケメン
<0198> 微妙すぎるイケメン

//<0199> ロリコン
<0199> ロリコン

//<0200> メガネ仲間
<0200> メガネ仲間

//<0201> 暗算日本記録保持者
<0201> 暗算日本記録保持者

//<0202> 通り魔
<0202> 通り魔

//<0203> 記憶ナシ男
<0203> 記憶ナシ男

//<0204> 音速
<0204> 音速

//<0205> 無限
<0205> 無限

//<0206> エロ侍
<0206> エロ侍

//<0207> エロエロ団ナンバー１
<0207> エロエロ団ナンバー１

//<0208> ただのエロ少年
<0208> ただのエロ少年

//<0209> ユリブサイク
<0209> ユリブサイク

//<0210> ドピュッシー
<0210> ドピュッシー

//<0211> アメリカンエロドッグ
<0211> アメリカンエロドッグ

//<0212> ゼウス
<0212> ゼウス

//<0213> 日向markⅡ
<0213> 日向markⅡ

//<0214> 糞虫
<0214> 糞虫

//<0215> 量産型日向
<0215> 量産型日向

//<0216> ？？
<0216> ？？

//<0217> 「ああ、だったら、朝食ったものが悪かったんだ。気持ち悪かった」
<0217> 「ああ、だったら、朝食ったものが悪かったんだ。気持ち悪かった」

//<0218> やっぱこいつは優しい…。
<0218> やっぱこいつは優しい…。

//<0219> そんな奴のプライベートなエリアに侵入するのか…。
<0219> そんな奴のプライベートなエリアに侵入するのか…。

//<0220> 教えてやりたい…。
<0220> 教えてやりたい…。

//<0221> でも、それがばれた日には、俺は幹部から外されるかもしれない…。
<0221> でも、それがばれた日には、俺は幹部から外されるかもしれない…。

//<0222> 作戦のことを話す
<0222> 作戦のことを話す

//<0223> 黙ったままにする
<0223> 黙ったままにする

//<0224> selbtn : 
<0224> selbtn : 

//<0225> 音無
<0225> 音無

//<0226> クソ坊主
<0226> クソ坊主

//<0227> 代理人
<0227> 代理人

//<0228> 微妙すぎるイケメン
<0228> 微妙すぎるイケメン

//<0229> ロリコン
<0229> ロリコン

//<0230> メガネ仲間
<0230> メガネ仲間

//<0231> 暗算日本記録保持者
<0231> 暗算日本記録保持者

//<0232> 通り魔
<0232> 通り魔

//<0233> 記憶ナシ男
<0233> 記憶ナシ男

//<0234> 音速
<0234> 音速

//<0235> 無限
<0235> 無限

//<0236> エロ侍
<0236> エロ侍

//<0237> エロエロ団ナンバー１
<0237> エロエロ団ナンバー１

//<0238> ただのエロ少年
<0238> ただのエロ少年

//<0239> ユリブサイク
<0239> ユリブサイク

//<0240> ドピュッシー
<0240> ドピュッシー

//<0241> アメリカンエロドッグ
<0241> アメリカンエロドッグ

//<0242> ゼウス
<0242> ゼウス

//<0243> 日向markⅡ
<0243> 日向markⅡ

//<0244> 糞虫
<0244> 糞虫

//<0245> 量産型日向
<0245> 量産型日向

//<0246> ？？
<0246> ？？

//<0247> 「あのさ…明日、天使エリアに侵入する…」
<0247> 「あのさ…明日、天使エリアに侵入する…」

//<0248> 思わず言ってしまった…。
<0248> 思わず言ってしまった…。

//<0249> せめて宣言しておかないとフェアじゃないという、曖昧な道徳心が芽生えてしまった…。
<0249> せめて宣言しておかないとフェアじゃないという、曖昧な道徳心が芽生えてしまった…。

//<0250> nothing
<0250> nothing

//<0251> nothing
<0251> nothing

//<0252> nothing
<0252> nothing

//<0253> nothing
<0253> nothing

//<0254> nothing
<0254> nothing

//<0255> 天使
<0255> 天使

//<0256> かなで
<0256> かなで

//<0257> 女生徒
<0257> 女生徒

//<0258> ？？
<0258> ？？

//<0259> 「そう…ついに来るのね…」
<0259> 「そう…ついに来るのね…」

//<0260> 彼女もそれは予期していたようだ。
<0260> 彼女もそれは予期していたようだ。

//<0261> 音無
<0261> 音無

//<0262> クソ坊主
<0262> クソ坊主

//<0263> 代理人
<0263> 代理人

//<0264> 微妙すぎるイケメン
<0264> 微妙すぎるイケメン

//<0265> ロリコン
<0265> ロリコン

//<0266> メガネ仲間
<0266> メガネ仲間

//<0267> 暗算日本記録保持者
<0267> 暗算日本記録保持者

//<0268> 通り魔
<0268> 通り魔

//<0269> 記憶ナシ男
<0269> 記憶ナシ男

//<0270> 音速
<0270> 音速

//<0271> 無限
<0271> 無限

//<0272> エロ侍
<0272> エロ侍

//<0273> エロエロ団ナンバー１
<0273> エロエロ団ナンバー１

//<0274> ただのエロ少年
<0274> ただのエロ少年

//<0275> ユリブサイク
<0275> ユリブサイク

//<0276> ドピュッシー
<0276> ドピュッシー

//<0277> アメリカンエロドッグ
<0277> アメリカンエロドッグ

//<0278> ゼウス
<0278> ゼウス

//<0279> 日向markⅡ
<0279> 日向markⅡ

//<0280> 糞虫
<0280> 糞虫

//<0281> 量産型日向
<0281> 量産型日向

//<0282> ？？
<0282> ？？

//<0283> 「ああ…だから、注意しておけ…って俺が言うのもなんだけどさ」
<0283> 「ああ…だから、注意しておけ…って俺が言うのもなんだけどさ」

//<0284> nothing
<0284> nothing

//<0285> nothing
<0285> nothing

//<0286> nothing
<0286> nothing

//<0287> nothing
<0287> nothing

//<0288> nothing
<0288> nothing

//<0289> 天使
<0289> 天使

//<0290> かなで
<0290> かなで

//<0291> 女生徒
<0291> 女生徒

//<0292> ？？
<0292> ？？

//<0293> 「万全を期する必要がありそうね」
<0293> 「万全を期する必要がありそうね」

//<0294> 音無
<0294> 音無

//<0295> クソ坊主
<0295> クソ坊主

//<0296> 代理人
<0296> 代理人

//<0297> 微妙すぎるイケメン
<0297> 微妙すぎるイケメン

//<0298> ロリコン
<0298> ロリコン

//<0299> メガネ仲間
<0299> メガネ仲間

//<0300> 暗算日本記録保持者
<0300> 暗算日本記録保持者

//<0301> 通り魔
<0301> 通り魔

//<0302> 記憶ナシ男
<0302> 記憶ナシ男

//<0303> 音速
<0303> 音速

//<0304> 無限
<0304> 無限

//<0305> エロ侍
<0305> エロ侍

//<0306> エロエロ団ナンバー１
<0306> エロエロ団ナンバー１

//<0307> ただのエロ少年
<0307> ただのエロ少年

//<0308> ユリブサイク
<0308> ユリブサイク

//<0309> ドピュッシー
<0309> ドピュッシー

//<0310> アメリカンエロドッグ
<0310> アメリカンエロドッグ

//<0311> ゼウス
<0311> ゼウス

//<0312> 日向markⅡ
<0312> 日向markⅡ

//<0313> 糞虫
<0313> 糞虫

//<0314> 量産型日向
<0314> 量産型日向

//<0315> ？？
<0315> ？？

//<0316> 「ああ…こちらも時間をかけて仕込んでるからな…」
<0316> 「ああ…こちらも時間をかけて仕込んでるからな…」

//<0317> nothing
<0317> nothing

//<0318> nothing
<0318> nothing

//<0319> nothing
<0319> nothing

//<0320> nothing
<0320> nothing

//<0321> nothing
<0321> nothing

//<0322> 天使
<0322> 天使

//<0323> かなで
<0323> かなで

//<0324> 女生徒
<0324> 女生徒

//<0325> ？？
<0325> ？？

//<0326> 「そう…それは入念ね…」
<0326> 「そう…それは入念ね…」

//<0327> 音無
<0327> 音無

//<0328> クソ坊主
<0328> クソ坊主

//<0329> 代理人
<0329> 代理人

//<0330> 微妙すぎるイケメン
<0330> 微妙すぎるイケメン

//<0331> ロリコン
<0331> ロリコン

//<0332> メガネ仲間
<0332> メガネ仲間

//<0333> 暗算日本記録保持者
<0333> 暗算日本記録保持者

//<0334> 通り魔
<0334> 通り魔

//<0335> 記憶ナシ男
<0335> 記憶ナシ男

//<0336> 音速
<0336> 音速

//<0337> 無限
<0337> 無限

//<0338> エロ侍
<0338> エロ侍

//<0339> エロエロ団ナンバー１
<0339> エロエロ団ナンバー１

//<0340> ただのエロ少年
<0340> ただのエロ少年

//<0341> ユリブサイク
<0341> ユリブサイク

//<0342> ドピュッシー
<0342> ドピュッシー

//<0343> アメリカンエロドッグ
<0343> アメリカンエロドッグ

//<0344> ゼウス
<0344> ゼウス

//<0345> 日向markⅡ
<0345> 日向markⅡ

//<0346> 糞虫
<0346> 糞虫

//<0347> 量産型日向
<0347> 量産型日向

//<0348> ？？
<0348> ？？

//<0349> 「ああ…」
<0349> 「ああ…」

//<0350> nothing
<0350> nothing

//<0351> nothing
<0351> nothing

//<0352> nothing
<0352> nothing

//<0353> nothing
<0353> nothing

//<0354> nothing
<0354> nothing

//<0355> 天使
<0355> 天使

//<0356> かなで
<0356> かなで

//<0357> 女生徒
<0357> 女生徒

//<0358> ？？
<0358> ？？

//<0359> 「ところで…」
<0359> 「ところで…」

//<0360> nothing
<0360> nothing

//<0361> nothing
<0361> nothing

//<0362> nothing
<0362> nothing

//<0363> nothing
<0363> nothing

//<0364> nothing
<0364> nothing

//<0365> 天使
<0365> 天使

//<0366> かなで
<0366> かなで

//<0367> 女生徒
<0367> 女生徒

//<0368> ？？
<0368> ？？

//<0369> 「天使エリアってなに？」
<0369> 「天使エリアってなに？」

//<0370> 音無
<0370> 音無

//<0371> クソ坊主
<0371> クソ坊主

//<0372> 代理人
<0372> 代理人

//<0373> 微妙すぎるイケメン
<0373> 微妙すぎるイケメン

//<0374> ロリコン
<0374> ロリコン

//<0375> メガネ仲間
<0375> メガネ仲間

//<0376> 暗算日本記録保持者
<0376> 暗算日本記録保持者

//<0377> 通り魔
<0377> 通り魔

//<0378> 記憶ナシ男
<0378> 記憶ナシ男

//<0379> 音速
<0379> 音速

//<0380> 無限
<0380> 無限

//<0381> エロ侍
<0381> エロ侍

//<0382> エロエロ団ナンバー１
<0382> エロエロ団ナンバー１

//<0383> ただのエロ少年
<0383> ただのエロ少年

//<0384> ユリブサイク
<0384> ユリブサイク

//<0385> ドピュッシー
<0385> ドピュッシー

//<0386> アメリカンエロドッグ
<0386> アメリカンエロドッグ

//<0387> ゼウス
<0387> ゼウス

//<0388> 日向markⅡ
<0388> 日向markⅡ

//<0389> 糞虫
<0389> 糞虫

//<0390> 量産型日向
<0390> 量産型日向

//<0391> ？？
<0391> ？？

//<0392> 「えええーーーーーーー！！」
<0392> 「えええーーーーーーー！！」

//<0393> まるで話が通じていなかった！！
<0393> まるで話が通じていなかった！！

//<0394> 音無
<0394> 音無

//<0395> クソ坊主
<0395> クソ坊主

//<0396> 代理人
<0396> 代理人

//<0397> 微妙すぎるイケメン
<0397> 微妙すぎるイケメン

//<0398> ロリコン
<0398> ロリコン

//<0399> メガネ仲間
<0399> メガネ仲間

//<0400> 暗算日本記録保持者
<0400> 暗算日本記録保持者

//<0401> 通り魔
<0401> 通り魔

//<0402> 記憶ナシ男
<0402> 記憶ナシ男

//<0403> 音速
<0403> 音速

//<0404> 無限
<0404> 無限

//<0405> エロ侍
<0405> エロ侍

//<0406> エロエロ団ナンバー１
<0406> エロエロ団ナンバー１

//<0407> ただのエロ少年
<0407> ただのエロ少年

//<0408> ユリブサイク
<0408> ユリブサイク

//<0409> ドピュッシー
<0409> ドピュッシー

//<0410> アメリカンエロドッグ
<0410> アメリカンエロドッグ

//<0411> ゼウス
<0411> ゼウス

//<0412> 日向markⅡ
<0412> 日向markⅡ

//<0413> 糞虫
<0413> 糞虫

//<0414> 量産型日向
<0414> 量産型日向

//<0415> ？？
<0415> ？？

//<0416> 「あるだろ、天使エリアってのが」
<0416> 「あるだろ、天使エリアってのが」

//<0417> nothing
<0417> nothing

//<0418> nothing
<0418> nothing

//<0419> nothing
<0419> nothing

//<0420> nothing
<0420> nothing

//<0421> nothing
<0421> nothing

//<0422> 天使
<0422> 天使

//<0423> かなで
<0423> かなで

//<0424> 女生徒
<0424> 女生徒

//<0425> ？？
<0425> ？？

//<0426> 「初耳」
<0426> 「初耳」

//<0427> 音無
<0427> 音無

//<0428> クソ坊主
<0428> クソ坊主

//<0429> 代理人
<0429> 代理人

//<0430> 微妙すぎるイケメン
<0430> 微妙すぎるイケメン

//<0431> ロリコン
<0431> ロリコン

//<0432> メガネ仲間
<0432> メガネ仲間

//<0433> 暗算日本記録保持者
<0433> 暗算日本記録保持者

//<0434> 通り魔
<0434> 通り魔

//<0435> 記憶ナシ男
<0435> 記憶ナシ男

//<0436> 音速
<0436> 音速

//<0437> 無限
<0437> 無限

//<0438> エロ侍
<0438> エロ侍

//<0439> エロエロ団ナンバー１
<0439> エロエロ団ナンバー１

//<0440> ただのエロ少年
<0440> ただのエロ少年

//<0441> ユリブサイク
<0441> ユリブサイク

//<0442> ドピュッシー
<0442> ドピュッシー

//<0443> アメリカンエロドッグ
<0443> アメリカンエロドッグ

//<0444> ゼウス
<0444> ゼウス

//<0445> 日向markⅡ
<0445> 日向markⅡ

//<0446> 糞虫
<0446> 糞虫

//<0447> 量産型日向
<0447> 量産型日向

//<0448> ？？
<0448> ？？

//<0449> 「えー！？　ないの！？　天使エリアって場所がどこかにあんだろ！？」
<0449> 「えー！？　ないの！？　天使エリアって場所がどこかにあんだろ！？」

//<0450> nothing
<0450> nothing

//<0451> nothing
<0451> nothing

//<0452> nothing
<0452> nothing

//<0453> nothing
<0453> nothing

//<0454> nothing
<0454> nothing

//<0455> 天使
<0455> 天使

//<0456> かなで
<0456> かなで

//<0457> 女生徒
<0457> 女生徒

//<0458> ？？
<0458> ？？

//<0459> 「そんなものないわ」
<0459> 「そんなものないわ」

//<0460> 音無
<0460> 音無

//<0461> クソ坊主
<0461> クソ坊主

//<0462> 代理人
<0462> 代理人

//<0463> 微妙すぎるイケメン
<0463> 微妙すぎるイケメン

//<0464> ロリコン
<0464> ロリコン

//<0465> メガネ仲間
<0465> メガネ仲間

//<0466> 暗算日本記録保持者
<0466> 暗算日本記録保持者

//<0467> 通り魔
<0467> 通り魔

//<0468> 記憶ナシ男
<0468> 記憶ナシ男

//<0469> 音速
<0469> 音速

//<0470> 無限
<0470> 無限

//<0471> エロ侍
<0471> エロ侍

//<0472> エロエロ団ナンバー１
<0472> エロエロ団ナンバー１

//<0473> ただのエロ少年
<0473> ただのエロ少年

//<0474> ユリブサイク
<0474> ユリブサイク

//<0475> ドピュッシー
<0475> ドピュッシー

//<0476> アメリカンエロドッグ
<0476> アメリカンエロドッグ

//<0477> ゼウス
<0477> ゼウス

//<0478> 日向markⅡ
<0478> 日向markⅡ

//<0479> 糞虫
<0479> 糞虫

//<0480> 量産型日向
<0480> 量産型日向

//<0481> ？？
<0481> ？？

//<0482> 「えええぇぇーーーー！！」
<0482> 「えええぇぇーーーー！！」

//<0483> nothing
<0483> nothing

//<0484> nothing
<0484> nothing

//<0485> nothing
<0485> nothing

//<0486> nothing
<0486> nothing

//<0487> nothing
<0487> nothing

//<0488> 天使
<0488> 天使

//<0489> かなで
<0489> かなで

//<0490> 女生徒
<0490> 女生徒

//<0491> ？？
<0491> ？？

//<0492> 「何をそんなに驚いてるの？」
<0492> 「何をそんなに驚いてるの？」

//<0493> 音無
<0493> 音無

//<0494> クソ坊主
<0494> クソ坊主

//<0495> 代理人
<0495> 代理人

//<0496> 微妙すぎるイケメン
<0496> 微妙すぎるイケメン

//<0497> ロリコン
<0497> ロリコン

//<0498> メガネ仲間
<0498> メガネ仲間

//<0499> 暗算日本記録保持者
<0499> 暗算日本記録保持者

//<0500> 通り魔
<0500> 通り魔

//<0501> 記憶ナシ男
<0501> 記憶ナシ男

//<0502> 音速
<0502> 音速

//<0503> 無限
<0503> 無限

//<0504> エロ侍
<0504> エロ侍

//<0505> エロエロ団ナンバー１
<0505> エロエロ団ナンバー１

//<0506> ただのエロ少年
<0506> ただのエロ少年

//<0507> ユリブサイク
<0507> ユリブサイク

//<0508> ドピュッシー
<0508> ドピュッシー

//<0509> アメリカンエロドッグ
<0509> アメリカンエロドッグ

//<0510> ゼウス
<0510> ゼウス

//<0511> 日向markⅡ
<0511> 日向markⅡ

//<0512> 糞虫
<0512> 糞虫

//<0513> 量産型日向
<0513> 量産型日向

//<0514> ？？
<0514> ？？

//<0515> 「お前、すごいところに住んでるんだろ！？」
<0515> 「お前、すごいところに住んでるんだろ！？」

