// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 昨日の作戦で、天使の部屋で見たものがずっと気になっていた。
<0000> 昨日の作戦で、天使の部屋で見たものがずっと気になっていた。
//<0289> 糞虫
<0289> 糞虫

//<0290> 量産型日向
<0290> 量産型日向

//<0291> ？？
<0291> ？？

//<0292> 「違ったのか？」
<0292> 「違ったのか？」

//<0293> nothing
<0293> nothing

//<0294> nothing
<0294> nothing

//<0295> nothing
<0295> nothing

//<0296> nothing
<0296> nothing

//<0297> nothing
<0297> nothing

//<0298> ゆり
<0298> ゆり

//<0299> 女生徒
<0299> 女生徒

//<0300> ？？
<0300> ？？

//<0301> 「あたしの予想ではね」
<0301> 「あたしの予想ではね」

//<0302> 音無
<0302> 音無

//<0303> クソ坊主
<0303> クソ坊主

//<0304> 代理人
<0304> 代理人

//<0305> 微妙すぎるイケメン
<0305> 微妙すぎるイケメン

//<0306> ロリコン
<0306> ロリコン

//<0307> メガネ仲間
<0307> メガネ仲間

//<0308> 暗算日本記録保持者
<0308> 暗算日本記録保持者

//<0309> 通り魔
<0309> 通り魔

//<0310> 記憶ナシ男
<0310> 記憶ナシ男

//<0311> 音速
<0311> 音速

//<0312> 無限
<0312> 無限

//<0313> エロ侍
<0313> エロ侍

//<0314> エロエロ団ナンバー１
<0314> エロエロ団ナンバー１

//<0315> ただのエロ少年
<0315> ただのエロ少年

//<0316> ユリブサイク
<0316> ユリブサイク

//<0317> ドピュッシー
<0317> ドピュッシー

//<0318> アメリカンエロドッグ
<0318> アメリカンエロドッグ

//<0319> ゼウス
<0319> ゼウス

//<0320> 日向markⅡ
<0320> 日向markⅡ

//<0321> 糞虫
<0321> 糞虫

//<0322> 量産型日向
<0322> 量産型日向

//<0323> ？？
<0323> ？？

//<0324> 「あれはパソコンゲームだったはずだ」
<0324> 「あれはパソコンゲームだったはずだ」

//<0325> nothing
<0325> nothing

//<0326> nothing
<0326> nothing

//<0327> nothing
<0327> nothing

//<0328> nothing
<0328> nothing

//<0329> nothing
<0329> nothing

//<0330> ゆり
<0330> ゆり

//<0331> 女生徒
<0331> 女生徒

//<0332> ？？
<0332> ？？

//<0333> 「はいはい、それは忘れろー、忘れろー」
<0333> 「はいはい、それは忘れろー、忘れろー」

//<0334> なんて扱いだ…。
<0334> なんて扱いだ…。

//<0335> nothing
<0335> nothing

//<0336> nothing
<0336> nothing

//<0337> nothing
<0337> nothing

//<0338> nothing
<0338> nothing

//<0339> nothing
<0339> nothing

//<0340> ゆり
<0340> ゆり

//<0341> 女生徒
<0341> 女生徒

//<0342> ？？
<0342> ？？

//<0343> 「あなたはまだまだ新米なんだから、幹部のみんなに追いつくぐらい、体力作りと銃の練習に努めなさい」
<0343> 「あなたはまだまだ新米なんだから、幹部のみんなに追いつくぐらい、体力作りと銃の練習に努めなさい」

//<0344> それ以上は何も話してくれないようだった。
<0344> それ以上は何も話してくれないようだった。

//<0345> 音無
<0345> 音無

//<0346> クソ坊主
<0346> クソ坊主

//<0347> 代理人
<0347> 代理人

//<0348> 微妙すぎるイケメン
<0348> 微妙すぎるイケメン

//<0349> ロリコン
<0349> ロリコン

//<0350> メガネ仲間
<0350> メガネ仲間

//<0351> 暗算日本記録保持者
<0351> 暗算日本記録保持者

//<0352> 通り魔
<0352> 通り魔

//<0353> 記憶ナシ男
<0353> 記憶ナシ男

//<0354> 音速
<0354> 音速

//<0355> 無限
<0355> 無限

//<0356> エロ侍
<0356> エロ侍

//<0357> エロエロ団ナンバー１
<0357> エロエロ団ナンバー１

//<0358> ただのエロ少年
<0358> ただのエロ少年

//<0359> ユリブサイク
<0359> ユリブサイク

//<0360> ドピュッシー
<0360> ドピュッシー

//<0361> アメリカンエロドッグ
<0361> アメリカンエロドッグ

//<0362> ゼウス
<0362> ゼウス

//<0363> 日向markⅡ
<0363> 日向markⅡ

//<0364> 糞虫
<0364> 糞虫

//<0365> 量産型日向
<0365> 量産型日向

//<0366> ？？
<0366> ？？

//<0367> 「天使の特殊能力」
<0367> 「天使の特殊能力」

//<0368> nothing
<0368> nothing

//<0369> nothing
<0369> nothing

//<0370> nothing
<0370> nothing

//<0371> nothing
<0371> nothing

//<0372> nothing
<0372> nothing

//<0373> ゆり
<0373> ゆり

//<0374> 女生徒
<0374> 女生徒

//<0375> ？？
<0375> ？？

//<0376> 「へぇー」
<0376> 「へぇー」

//<0377> 音無
<0377> 音無

//<0378> クソ坊主
<0378> クソ坊主

//<0379> 代理人
<0379> 代理人

//<0380> 微妙すぎるイケメン
<0380> 微妙すぎるイケメン

//<0381> ロリコン
<0381> ロリコン

//<0382> メガネ仲間
<0382> メガネ仲間

//<0383> 暗算日本記録保持者
<0383> 暗算日本記録保持者

//<0384> 通り魔
<0384> 通り魔

//<0385> 記憶ナシ男
<0385> 記憶ナシ男

//<0386> 音速
<0386> 音速

//<0387> 無限
<0387> 無限

//<0388> エロ侍
<0388> エロ侍

//<0389> エロエロ団ナンバー１
<0389> エロエロ団ナンバー１

//<0390> ただのエロ少年
<0390> ただのエロ少年

//<0391> ユリブサイク
<0391> ユリブサイク

//<0392> ドピュッシー
<0392> ドピュッシー

//<0393> アメリカンエロドッグ
<0393> アメリカンエロドッグ

//<0394> ゼウス
<0394> ゼウス

//<0395> 日向markⅡ
<0395> 日向markⅡ

//<0396> 糞虫
<0396> 糞虫

//<0397> 量産型日向
<0397> 量産型日向

//<0398> ？？
<0398> ？？

//<0399> 「ギルド降下作戦で見た天使の能力が、モニターに映し出されていた」
<0399> 「ギルド降下作戦で見た天使の能力が、モニターに映し出されていた」

//<0400> nothing
<0400> nothing

//<0401> nothing
<0401> nothing

//<0402> nothing
<0402> nothing

//<0403> nothing
<0403> nothing

//<0404> nothing
<0404> nothing

//<0405> ゆり
<0405> ゆり

//<0406> 女生徒
<0406> 女生徒

//<0407> ？？
<0407> ？？

//<0408> 「だとしたら？」
<0408> 「だとしたら？」

//<0409> 天使は自分でスキルを開発していた
<0409> 天使は自分でスキルを開発していた

//<0410> パソコンのＡＩにより天使は動いていた
<0410> パソコンのＡＩにより天使は動いていた

//<0411> この世界は電脳世界だった
<0411> この世界は電脳世界だった

//<0412> selbtn : 
<0412> selbtn : 

//<0413> 音無
<0413> 音無

//<0414> クソ坊主
<0414> クソ坊主

//<0415> 代理人
<0415> 代理人

//<0416> 微妙すぎるイケメン
<0416> 微妙すぎるイケメン

//<0417> ロリコン
<0417> ロリコン

//<0418> メガネ仲間
<0418> メガネ仲間

//<0419> 暗算日本記録保持者
<0419> 暗算日本記録保持者

//<0420> 通り魔
<0420> 通り魔

//<0421> 記憶ナシ男
<0421> 記憶ナシ男

//<0422> 音速
<0422> 音速

//<0423> 無限
<0423> 無限

//<0424> エロ侍
<0424> エロ侍

//<0425> エロエロ団ナンバー１
<0425> エロエロ団ナンバー１

//<0426> ただのエロ少年
<0426> ただのエロ少年

//<0427> ユリブサイク
<0427> ユリブサイク

//<0428> ドピュッシー
<0428> ドピュッシー

//<0429> アメリカンエロドッグ
<0429> アメリカンエロドッグ

//<0430> ゼウス
<0430> ゼウス

//<0431> 日向markⅡ
<0431> 日向markⅡ

//<0432> 糞虫
<0432> 糞虫

//<0433> 量産型日向
<0433> 量産型日向

//<0434> ？？
<0434> ？？

//<0435> 「ようは、パソコンで、あいつは自分のスキルを開発していた。違うか？」
<0435> 「ようは、パソコンで、あいつは自分のスキルを開発していた。違うか？」

//<0436> nothing
<0436> nothing

//<0437> nothing
<0437> nothing

//<0438> nothing
<0438> nothing

//<0439> nothing
<0439> nothing

//<0440> nothing
<0440> nothing

//<0441> ゆり
<0441> ゆり

//<0442> 女生徒
<0442> 女生徒

//<0443> ？？
<0443> ？？

//<0444> 「…さすがね、あたしの勘」
<0444> 「…さすがね、あたしの勘」

//<0445> 音無
<0445> 音無

//<0446> クソ坊主
<0446> クソ坊主

//<0447> 代理人
<0447> 代理人

//<0448> 微妙すぎるイケメン
<0448> 微妙すぎるイケメン

//<0449> ロリコン
<0449> ロリコン

//<0450> メガネ仲間
<0450> メガネ仲間

//<0451> 暗算日本記録保持者
<0451> 暗算日本記録保持者

//<0452> 通り魔
<0452> 通り魔

//<0453> 記憶ナシ男
<0453> 記憶ナシ男

//<0454> 音速
<0454> 音速

//<0455> 無限
<0455> 無限

//<0456> エロ侍
<0456> エロ侍

//<0457> エロエロ団ナンバー１
<0457> エロエロ団ナンバー１

//<0458> ただのエロ少年
<0458> ただのエロ少年

//<0459> ユリブサイク
<0459> ユリブサイク

//<0460> ドピュッシー
<0460> ドピュッシー

//<0461> アメリカンエロドッグ
<0461> アメリカンエロドッグ

//<0462> ゼウス
<0462> ゼウス

//<0463> 日向markⅡ
<0463> 日向markⅡ

//<0464> 糞虫
<0464> 糞虫

//<0465> 量産型日向
<0465> 量産型日向

//<0466> ？？
<0466> ？？

//<0467> 「どういう意味だ？」
<0467> 「どういう意味だ？」

//<0468> nothing
<0468> nothing

//<0469> nothing
<0469> nothing

//<0470> nothing
<0470> nothing

//<0471> nothing
<0471> nothing

//<0472> nothing
<0472> nothing

//<0473> ゆり
<0473> ゆり

//<0474> 女生徒
<0474> 女生徒

//<0475> ？？
<0475> ？？

//<0476> 「それに気づいたメンバーなんて、あたし以外では、あなただけよ」
<0476> 「それに気づいたメンバーなんて、あたし以外では、あなただけよ」

//<0477> 音無
<0477> 音無

//<0478> クソ坊主
<0478> クソ坊主

//<0479> 代理人
<0479> 代理人

//<0480> 微妙すぎるイケメン
<0480> 微妙すぎるイケメン

//<0481> ロリコン
<0481> ロリコン

//<0482> メガネ仲間
<0482> メガネ仲間

//<0483> 暗算日本記録保持者
<0483> 暗算日本記録保持者

//<0484> 通り魔
<0484> 通り魔

//<0485> 記憶ナシ男
<0485> 記憶ナシ男

//<0486> 音速
<0486> 音速

//<0487> 無限
<0487> 無限

//<0488> エロ侍
<0488> エロ侍

//<0489> エロエロ団ナンバー１
<0489> エロエロ団ナンバー１

//<0490> ただのエロ少年
<0490> ただのエロ少年

//<0491> ユリブサイク
<0491> ユリブサイク

//<0492> ドピュッシー
<0492> ドピュッシー

//<0493> アメリカンエロドッグ
<0493> アメリカンエロドッグ

//<0494> ゼウス
<0494> ゼウス

//<0495> 日向markⅡ
<0495> 日向markⅡ

//<0496> 糞虫
<0496> 糞虫

//<0497> 量産型日向
<0497> 量産型日向

//<0498> ？？
<0498> ？？

//<0499> 「へぇ…」
<0499> 「へぇ…」

//<0500> 音無
<0500> 音無

//<0501> クソ坊主
<0501> クソ坊主

//<0502> 代理人
<0502> 代理人

//<0503> 微妙すぎるイケメン
<0503> 微妙すぎるイケメン

//<0504> ロリコン
<0504> ロリコン

//<0505> メガネ仲間
<0505> メガネ仲間

//<0506> 暗算日本記録保持者
<0506> 暗算日本記録保持者

//<0507> 通り魔
<0507> 通り魔

//<0508> 記憶ナシ男
<0508> 記憶ナシ男

//<0509> 音速
<0509> 音速

//<0510> 無限
<0510> 無限

//<0511> エロ侍
<0511> エロ侍

//<0512> エロエロ団ナンバー１
<0512> エロエロ団ナンバー１

//<0513> ただのエロ少年
<0513> ただのエロ少年

//<0514> ユリブサイク
<0514> ユリブサイク

//<0515> ドピュッシー
<0515> ドピュッシー

//<0516> アメリカンエロドッグ
<0516> アメリカンエロドッグ

//<0517> ゼウス
<0517> ゼウス

//<0518> 日向markⅡ
<0518> 日向markⅡ

//<0519> 糞虫
<0519> 糞虫

//<0520> 量産型日向
<0520> 量産型日向

//<0521> ？？
<0521> ？？

//<0522> 「じゃあ、もしかしたら…あのソフトが…」
<0522> 「じゃあ、もしかしたら…あのソフトが…」

//<0523> 神から与えられた力
<0523> 神から与えられた力

//<0524> この世界に干渉できる
<0524> この世界に干渉できる

//<0525> selbtn : 
<0525> selbtn : 

//<0526> 音無
<0526> 音無

//<0527> クソ坊主
<0527> クソ坊主

//<0528> 代理人
<0528> 代理人

//<0529> 微妙すぎるイケメン
<0529> 微妙すぎるイケメン

//<0530> ロリコン
<0530> ロリコン

//<0531> メガネ仲間
<0531> メガネ仲間

//<0532> 暗算日本記録保持者
