// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 天使
//<0071> ドピュッシー
<0071> ドピュッシー

//<0072> アメリカンエロドッグ
<0072> アメリカンエロドッグ

//<0073> ゼウス
<0073> ゼウス

//<0074> 日向markⅡ
<0074> 日向markⅡ

//<0075> 糞虫
<0075> 糞虫

//<0076> 量産型日向
<0076> 量産型日向

//<0077> ？？
<0077> ？？

//<0078> 「そうだな、そうするよ」
<0078> 「そうだな、そうするよ」

//<0079> nothing
<0079> nothing

//<0080> nothing
<0080> nothing

//<0081> nothing
<0081> nothing

//<0082> nothing
<0082> nothing

//<0083> nothing
<0083> nothing

//<0084> 天使
<0084> 天使

//<0085> かなで
<0085> かなで

//<0086> 女生徒
<0086> 女生徒

//<0087> ？？
<0087> ？？

//<0088> 「お大事に」
<0088> 「お大事に」

//<0089> 音無
<0089> 音無

//<0090> クソ坊主
<0090> クソ坊主

//<0091> 代理人
<0091> 代理人

//<0092> 微妙すぎるイケメン
<0092> 微妙すぎるイケメン

//<0093> ロリコン
<0093> ロリコン

//<0094> メガネ仲間
<0094> メガネ仲間

//<0095> 暗算日本記録保持者
<0095> 暗算日本記録保持者

//<0096> 通り魔
<0096> 通り魔

//<0097> 記憶ナシ男
<0097> 記憶ナシ男

//<0098> 音速
<0098> 音速

//<0099> 無限
<0099> 無限

//<0100> エロ侍
<0100> エロ侍

//<0101> エロエロ団ナンバー１
<0101> エロエロ団ナンバー１

//<0102> ただのエロ少年
<0102> ただのエロ少年

//<0103> ユリブサイク
<0103> ユリブサイク

//<0104> ドピュッシー
<0104> ドピュッシー

//<0105> アメリカンエロドッグ
<0105> アメリカンエロドッグ

//<0106> ゼウス
<0106> ゼウス

//<0107> 日向markⅡ
<0107> 日向markⅡ

//<0108> 糞虫
<0108> 糞虫

//<0109> 量産型日向
<0109> 量産型日向

//<0110> ？？
<0110> ？？

//<0111> 「ああ…」
<0111> 「ああ…」

//<0112> nothing
<0112> nothing

//<0113> nothing
<0113> nothing

//<0114> nothing
<0114> nothing

//<0115> nothing
<0115> nothing

//<0116> nothing
<0116> nothing

//<0117> nothing
<0117> nothing

//<0118> 天使は去っていた。
<0118> 天使は去っていた。

//<0119> nothing
<0119> nothing

//<0120> nothing
<0120> nothing

//<0121> nothing
<0121> nothing

//<0122> nothing
<0122> nothing

//<0123> nothing
<0123> nothing

//<0124> その声に振り返ると、天使が居た。
<0124> その声に振り返ると、天使が居た。

//<0125> 今日は、野田とは上着を脱いで戦ったので、生傷は見た目ではわからないはず…。
<0125> 今日は、野田とは上着を脱いで戦ったので、生傷は見た目ではわからないはず…。

//<0126> が、内臓をやられていたので、ぶふっ！と吐血してしまう。
<0126> が、内臓をやられていたので、ぶふっ！と吐血してしまう。

//<0127> nothing
<0127> nothing

//<0128> nothing
<0128> nothing

//<0129> nothing
<0129> nothing

//<0130> nothing
<0130> nothing

//<0131> nothing
<0131> nothing

//<0132> 天使
<0132> 天使

//<0133> かなで
<0133> かなで

//<0134> 女生徒
<0134> 女生徒

//<0135> ？？
<0135> ？？

//<0136> 「また？」
<0136> 「また？」

//<0137> これはトマトジュースだ
<0137> これはトマトジュースだ

//<0138> まただ
<0138> まただ

//<0139> selbtn : 
<0139> selbtn : 

//<0140> 音無
<0140> 音無

//<0141> クソ坊主
<0141> クソ坊主

//<0142> 代理人
<0142> 代理人

//<0143> 微妙すぎるイケメン
<0143> 微妙すぎるイケメン

//<0144> ロリコン
<0144> ロリコン

//<0145> メガネ仲間
<0145> メガネ仲間

//<0146> 暗算日本記録保持者
<0146> 暗算日本記録保持者

//<0147> 通り魔
<0147> 通り魔

//<0148> 記憶ナシ男
<0148> 記憶ナシ男

//<0149> 音速
<0149> 音速

//<0150> 無限
<0150> 無限

//<0151> エロ侍
<0151> エロ侍

//<0152> エロエロ団ナンバー１
<0152> エロエロ団ナンバー１

//<0153> ただのエロ少年
<0153> ただのエロ少年

//<0154> ユリブサイク
<0154> ユリブサイク

//<0155> ドピュッシー
<0155> ドピュッシー

//<0156> アメリカンエロドッグ
<0156> アメリカンエロドッグ

//<0157> ゼウス
<0157> ゼウス

//<0158> 日向markⅡ
<0158> 日向markⅡ

//<0159> 糞虫
<0159> 糞虫

//<0160> 量産型日向
<0160> 量産型日向

//<0161> ？？
<0161> ？？

//<0162> 「これはトマトジュースだ」
<0162> 「これはトマトジュースだ」

//<0163> nothing
<0163> nothing

//<0164> nothing
<0164> nothing

//<0165> nothing
<0165> nothing

//<0166> nothing
<0166> nothing

//<0167> nothing
<0167> nothing

//<0168> 天使
<0168> 天使

//<0169> かなで
<0169> かなで

//<0170> 女生徒
<0170> 女生徒

//<0171> ？？
<0171> ？？

//<0172> 「それを口の中に含んだまま、ここまで歩いてきたの？」
<0172> 「それを口の中に含んだまま、ここまで歩いてきたの？」

//<0173> 音無
<0173> 音無

//<0174> クソ坊主
<0174> クソ坊主

//<0175> 代理人
<0175> 代理人

//<0176> 微妙すぎるイケメン
<0176> 微妙すぎるイケメン

//<0177> ロリコン
<0177> ロリコン

//<0178> メガネ仲間
<0178> メガネ仲間

//<0179> 暗算日本記録保持者
<0179> 暗算日本記録保持者

//<0180> 通り魔
<0180> 通り魔

//<0181> 記憶ナシ男
<0181> 記憶ナシ男

//<0182> 音速
<0182> 音速

//<0183> 無限
<0183> 無限

//<0184> エロ侍
<0184> エロ侍

//<0185> エロエロ団ナンバー１
<0185> エロエロ団ナンバー１

//<0186> ただのエロ少年
<0186> ただのエロ少年

//<0187> ユリブサイク
<0187> ユリブサイク

//<0188> ドピュッシー
<0188> ドピュッシー

//<0189> アメリカンエロドッグ
<0189> アメリカンエロドッグ

//<0190> ゼウス
<0190> ゼウス

//<0191> 日向markⅡ
<0191> 日向markⅡ

//<0192> 糞虫
<0192> 糞虫

//<0193> 量産型日向
<0193> 量産型日向

//<0194> ？？
<0194> ？？

//<0195> 「ああ」
<0195> 「ああ」

//<0196> nothing
<0196> nothing

//<0197> nothing
<0197> nothing

//<0198> nothing
<0198> nothing

//<0199> nothing
<0199> nothing

//<0200> nothing
<0200> nothing

//<0201> 天使
<0201> 天使

//<0202> かなで
<0202> かなで

//<0203> 女生徒
<0203> 女生徒

//<0204> ？？
<0204> ？？

//<0205> 「罰ゲームかなにか？」
<0205> 「罰ゲームかなにか？」

//<0206> 音無
<0206> 音無

//<0207> クソ坊主
<0207> クソ坊主

//<0208> 代理人
<0208> 代理人

//<0209> 微妙すぎるイケメン
<0209> 微妙すぎるイケメン

//<0210> ロリコン
<0210> ロリコン

//<0211> メガネ仲間
<0211> メガネ仲間

//<0212> 暗算日本記録保持者
<0212> 暗算日本記録保持者

//<0213> 通り魔
<0213> 通り魔

//<0214> 記憶ナシ男
<0214> 記憶ナシ男

//<0215> 音速
<0215> 音速

//<0216> 無限
<0216> 無限

//<0217> エロ侍
<0217> エロ侍

//<0218> エロエロ団ナンバー１
<0218> エロエロ団ナンバー１

//<0219> ただのエロ少年
<0219> ただのエロ少年

//<0220> ユリブサイク
<0220> ユリブサイク

//<0221> ドピュッシー
<0221> ドピュッシー

//<0222> アメリカンエロドッグ
<0222> アメリカンエロドッグ

//<0223> ゼウス
<0223> ゼウス

//<0224> 日向markⅡ
<0224> 日向markⅡ

//<0225> 糞虫
<0225> 糞虫

//<0226> 量産型日向
<0226> 量産型日向

//<0227> ？？
<0227> ？？

//<0228> 「そそ。罰ゲーム。あーあ、吐いちまったぜ…」
<0228> 「そそ。罰ゲーム。あーあ、吐いちまったぜ…」

//<0229> nothing
<0229> nothing

//<0230> nothing
<0230> nothing

//<0231> nothing
<0231> nothing

//<0232> nothing
<0232> nothing

//<0233> nothing
<0233> nothing

//<0234> 天使
<0234> 天使

//<0235> かなで
<0235> かなで

//<0236> 女生徒
<0236> 女生徒

//<0237> ？？
<0237> ？？

//<0238> 「じゃあ、授業に出れるわね」
<0238> 「じゃあ、授業に出れるわね」

//<0239> 音無
<0239> 音無

//<0240> クソ坊主
<0240> クソ坊主

//<0241> 代理人
<0241> 代理人

//<0242> 微妙すぎるイケメン
<0242> 微妙すぎるイケメン

//<0243> ロリコン
<0243> ロリコン

//<0244> メガネ仲間
<0244> メガネ仲間

//<0245> 暗算日本記録保持者
<0245> 暗算日本記録保持者

//<0246> 通り魔
<0246> 通り魔

//<0247> 記憶ナシ男
<0247> 記憶ナシ男

//<0248> 音速
<0248> 音速

//<0249> 無限
<0249> 無限

//<0250> エロ侍
<0250> エロ侍

//<0251> エロエロ団ナンバー１
<0251> エロエロ団ナンバー１

//<0252> ただのエロ少年
<0252> ただのエロ少年

//<0253> ユリブサイク
<0253> ユリブサイク

//<0254> ドピュッシー
<0254> ドピュッシー

//<0255> アメリカンエロドッグ
<0255> アメリカンエロドッグ

//<0256> ゼウス
<0256> ゼウス

//<0257> 日向markⅡ
<0257> 日向markⅡ

//<0258> 糞虫
<0258> 糞虫

//<0259> 量産型日向
<0259> 量産型日向

//<0260> ？？
<0260> ？？

//<0261> （確かに…）
<0261> （確かに…）

//<0262> 
<0262> 

//<0263> 音無
<0263> 音無

//<0264> クソ坊主
<0264> クソ坊主

//<0265> 代理人
<0265> 代理人

//<0266> 微妙すぎるイケメン
<0266> 微妙すぎるイケメン

//<0267> ロリコン
<0267> ロリコン

//<0268> メガネ仲間
<0268> メガネ仲間

//<0269> 暗算日本記録保持者
<0269> 暗算日本記録保持者

//<0270> 通り魔
<0270> 通り魔

//<0271> 記憶ナシ男
<0271> 記憶ナシ男

//<0272> 音速
<0272> 音速

//<0273> 無限
<0273> 無限

//<0274> エロ侍
<0274> エロ侍

//<0275> エロエロ団ナンバー１
<0275> エロエロ団ナンバー１

//<0276> ただのエロ少年
<0276> ただのエロ少年

//<0277> ユリブサイク
<0277> ユリブサイク

//<0278> ドピュッシー
<0278> ドピュッシー

//<0279> アメリカンエロドッグ
<0279> アメリカンエロドッグ

//<0280> ゼウス
<0280> ゼウス

//<0281> 日向markⅡ
<0281> 日向markⅡ

//<0282> 糞虫
<0282> 糞虫

//<0283> 量産型日向
<0283> 量産型日向

//<0284> ？？
<0284> ？？

//<0285> 「ああ…まただ」
<0285> 「ああ…まただ」

//<0286> nothing
<0286> nothing

//<0287> nothing
<0287> nothing

//<0288> nothing
<0288> nothing

//<0289> nothing
<0289> nothing

//<0290> nothing
<0290> nothing

//<0291> 天使
<0291> 天使

//<0292> かなで
<0292> かなで

//<0293> 女生徒
<0293> 女生徒

//<0294> ？？
<0294> ？？

//<0295> 「なら、保健室に行くべきだわ」
<0295> 「なら、保健室に行くべきだわ」

//<0296> 音無
<0296> 音無

//<0297> クソ坊主
<0297> クソ坊主

//<0298> 代理人
<0298> 代理人

//<0299> 微妙すぎるイケメン
<0299> 微妙すぎるイケメン

//<0300> ロリコン
<0300> ロリコン

//<0301> メガネ仲間
<0301> メガネ仲間

//<0302> 暗算日本記録保持者
<0302> 暗算日本記録保持者

//<0303> 通り魔
<0303> 通り魔

//<0304> 記憶ナシ男
<0304> 記憶ナシ男

//<0305> 音速
<0305> 音速

//<0306> 無限
<0306> 無限

//<0307> エロ侍
<0307> エロ侍

//<0308> エロエロ団ナンバー１
<0308> エロエロ団ナンバー１

//<0309> ただのエロ少年
<0309> ただのエロ少年

//<0310> ユリブサイク
<0310> ユリブサイク

//<0311> ドピュッシー
<0311> ドピュッシー

//<0312> アメリカンエロドッグ
<0312> アメリカンエロドッグ

//<0313> ゼウス
<0313> ゼウス

//<0314> 日向markⅡ
<0314> 日向markⅡ

//<0315> 糞虫
<0315> 糞虫

//<0316> 量産型日向
<0316> 量産型日向

//<0317> ？？
<0317> ？？

//<0318> 「ああ、そうするよ…」
<0318> 「ああ、そうするよ…」

//<0319> nothing
<0319> nothing

//<0320> nothing
<0320> nothing

//<0321> nothing
<0321> nothing

//<0322> nothing
<0322> nothing

//<0323> nothing
<0323> nothing

//<0324> nothing
<0324> nothing

//<0325> 天使と別れた。
<0325> 天使と別れた。

//<0326> あれからどうなったのかと、少しは心配していたが、さすが天使。
<0326> あれからどうなったのかと、少しは心配していたが、さすが天使。

//<0327> まあこの世界で人は死ぬことはないし、天使は人以上の能力を持っている。当たり前と言えば当たり前だ。
<0327> まあこの世界で人は死ぬことはないし、天使は人以上の能力を持っている。当たり前と言えば当たり前だ。

//<0328> でも、どこかでほっとした自分が居る。
<0328> でも、どこかでほっとした自分が居る。

//<0329> 音無
<0329> 音無

//<0330> クソ坊主
<0330> クソ坊主

//<0331> 代理人
<0331> 代理人

//<0332> 微妙すぎるイケメン
<0332> 微妙すぎるイケメン

//<0333> ロリコン
<0333> ロリコン

//<0334> メガネ仲間
<0334> メガネ仲間

//<0335> 暗算日本記録保持者
<0335> 暗算日本記録保持者

//<0336> 通り魔
<0336> 通り魔

//<0337> 記憶ナシ男
<0337> 記憶ナシ男

//<0338> 音速
<0338> 音速

//<0339> 無限
<0339> 無限

//<0340> エロ侍
<0340> エロ侍

//<0341> エロエロ団ナンバー１
<0341> エロエロ団ナンバー１

//<0342> ただのエロ少年
<0342> ただのエロ少年

//<0343> ユリブサイク
<0343> ユリブサイク

//<0344> ドピュッシー
<0344> ドピュッシー

//<0345> アメリカンエロドッグ
<0345> アメリカンエロドッグ

//<0346> ゼウス
<0346> ゼウス

//<0347> 日向markⅡ
<0347> 日向markⅡ

//<0348> 糞虫
<0348> 糞虫

//<0349> 量産型日向
<0349> 量産型日向

//<0350> ？？
<0350> ？？

//<0351> 「えっと、元気…か？」
<0351> 「えっと、元気…か？」

//<0352> nothing
<0352> nothing

//<0353> nothing
<0353> nothing

//<0354> nothing
<0354> nothing

//<0355> nothing
<0355> nothing

//<0356> nothing
<0356> nothing

//<0357> 天使
<0357> 天使

//<0358> かなで
<0358> かなで

//<0359> 女生徒
<0359> 女生徒

//<0360> ？？
<0360> ？？

//<0361> 「なぜそんなことを訊くの？　この世界ではみんな元気よ」
<0361> 「なぜそんなことを訊くの？　この世界ではみんな元気よ」

//<0362> 音無
<0362> 音無

//<0363> クソ坊主
<0363> クソ坊主

//<0364> 代理人
<0364> 代理人

//<0365> 微妙すぎるイケメン
<0365> 微妙すぎるイケメン

//<0366> ロリコン
<0366> ロリコン

//<0367> メガネ仲間
<0367> メガネ仲間

//<0368> 暗算日本記録保持者
<0368> 暗算日本記録保持者

//<0369> 通り魔
<0369> 通り魔

//<0370> 記憶ナシ男
<0370> 記憶ナシ男

//<0371> 音速
<0371> 音速

//<0372> 無限
<0372> 無限

//<0373> エロ侍
<0373> エロ侍

//<0374> エロエロ団ナンバー１
<0374> エロエロ団ナンバー１

//<0375> ただのエロ少年
<0375> ただのエロ少年

//<0376> ユリブサイク
<0376> ユリブサイク

//<0377> ドピュッシー
<0377> ドピュッシー

//<0378> アメリカンエロドッグ
<0378> アメリカンエロドッグ

//<0379> ゼウス
<0379> ゼウス

//<0380> 日向markⅡ
<0380> 日向markⅡ

//<0381> 糞虫
<0381> 糞虫

//<0382> 量産型日向
<0382> 量産型日向

//<0383> ？？
<0383> ？？

//<0384> 「ああ、そうだったな…」
<0384> 「ああ、そうだったな…」

//<0385> 昨日のことを言ってるんだけどな…。戦線との戦いではあんなことは日常茶飯事なのか。
<0385> 昨日のことを言ってるんだけどな…。戦線との戦いではあんなことは日常茶飯事なのか。

//<0386> nothing
<0386> nothing

//<0387> nothing
<0387> nothing

//<0388> nothing
<0388> nothing

//<0389> nothing
<0389> nothing

//<0390> nothing
<0390> nothing

//<0391> 天使
<0391> 天使

//<0392> かなで
<0392> かなで

//<0393> 女生徒
<0393> 女生徒

//<0394> ？？
<0394> ？？

//<0395> 「で、授業は？」
<0395> 「で、授業は？」

//<0396> それにしてもあの爆発の中でも無事だったのか、さすが天使。
<0396> それにしてもあの爆発の中でも無事だったのか、さすが天使。

//<0397> まあこの世界で人は死ぬことはないし、天使は人以上の能力を持っている。当たり前と言えば当たり前だ。
<0397> まあこの世界で人は死ぬことはないし、天使は人以上の能力を持っている。当たり前と言えば当たり前だ。

//<0398> 天使の顔を見て、昨日のことをようやくはっきりと思い出してきた。
<0398> 天使の顔を見て、昨日のことをようやくはっきりと思い出してきた。

//<0399> 最終的にどうなったのかは、結局知らないままだけど…。
<0399> 最終的にどうなったのかは、結局知らないままだけど…。

//<0400> あんな大事な場面で、俺は…ゆりのパンツでエキサイトして、あんなことにっ…！
<0400> あんな大事な場面で、俺は…ゆりのパンツでエキサイトして、あんなことにっ…！

//<0401> 音無
<0401> 音無

//<0402> クソ坊主
<0402> クソ坊主

//<0403> 代理人
<0403> 代理人

//<0404> 微妙すぎるイケメン
<0404> 微妙すぎるイケメン

//<0405> ロリコン
<0405> ロリコン

//<0406> メガネ仲間
<0406> メガネ仲間

//<0407> 暗算日本記録保持者
<0407> 暗算日本記録保持者

//<0408> 通り魔
<0408> 通り魔

//<0409> 記憶ナシ男
<0409> 記憶ナシ男

//<0410> 音速
<0410> 音速

//<0411> 無限
<0411> 無限

//<0412> エロ侍
<0412> エロ侍

//<0413> エロエロ団ナンバー１
<0413> エロエロ団ナンバー１

//<0414> ただのエロ少年
<0414> ただのエロ少年

//<0415> ユリブサイク
<0415> ユリブサイク

//<0416> ドピュッシー
<0416> ドピュッシー

//<0417> アメリカンエロドッグ
<0417> アメリカンエロドッグ

//<0418> ゼウス
<0418> ゼウス

//<0419> 日向markⅡ
<0419> 日向markⅡ

//<0420> 糞虫
<0420> 糞虫

//<0421> 量産型日向
<0421> 量産型日向

//<0422> ？？
<0422> ？？

//<0423> （…よし、敵である天使からもあえて戒めを受けようじゃないか…）
<0423> （…よし、敵である天使からもあえて戒めを受けようじゃないか…）

//<0424> 俺は天使を庇おうと駆け寄って、爆発に巻き込まれたんだった…。
<0424> 俺は天使を庇おうと駆け寄って、爆発に巻き込まれたんだった…。

//<0425> あの至近距離では、こいつも無事では済まなかったはず。
<0425> あの至近距離では、こいつも無事では済まなかったはず。

//<0426> この世界で人は死なないということは身を持って知ってるし、天使の回復力も何度か目の当たりにしている。
<0426> この世界で人は死なないということは身を持って知ってるし、天使の回復力も何度か目の当たりにしている。

//<0427> でも、どこかでほっとしている自分が居た。
<0427> でも、どこかでほっとしている自分が居た。

//<0428> 音無
<0428> 音無

//<0429> クソ坊主
<0429> クソ坊主

//<0430> 代理人
<0430> 代理人

//<0431> 微妙すぎるイケメン
<0431> 微妙すぎるイケメン

//<0432> ロリコン
<0432> ロリコン

//<0433> メガネ仲間
<0433> メガネ仲間

//<0434> 暗算日本記録保持者
<0434> 暗算日本記録保持者

//<0435> 通り魔
<0435> 通り魔

//<0436> 記憶ナシ男
<0436> 記憶ナシ男

//<0437> 音速
<0437> 音速

//<0438> 無限
<0438> 無限

//<0439> エロ侍
<0439> エロ侍

//<0440> エロエロ団ナンバー１
<0440> エロエロ団ナンバー１

//<0441> ただのエロ少年
<0441> ただのエロ少年

//<0442> ユリブサイク
<0442> ユリブサイク

//<0443> ドピュッシー
<0443> ドピュッシー

//<0444> アメリカンエロドッグ
<0444> アメリカンエロドッグ

//<0445> ゼウス
<0445> ゼウス

//<0446> 日向markⅡ
<0446> 日向markⅡ

//<0447> 糞虫
<0447> 糞虫

//<0448> 量産型日向
<0448> 量産型日向

//<0449> ？？
<0449> ？？

//<0450> 「えっと、元気…か？」
<0450> 「えっと、元気…か？」

//<0451> 何気なく訊いてみる。
<0451> 何気なく訊いてみる。

//<0452> nothing
<0452> nothing

//<0453> nothing
<0453> nothing

//<0454> nothing
<0454> nothing

//<0455> nothing
<0455> nothing

//<0456> nothing
<0456> nothing

//<0457> 天使
<0457> 天使

//<0458> かなで
<0458> かなで

//<0459> 女生徒
<0459> 女生徒

//<0460> ？？
<0460> ？？

//<0461> 「なぜそんなことを訊くの？　この世界ではみんな元気よ」
<0461> 「なぜそんなことを訊くの？　この世界ではみんな元気よ」

//<0462> 音無
<0462> 音無

//<0463> クソ坊主
<0463> クソ坊主

//<0464> 代理人
<0464> 代理人

//<0465> 微妙すぎるイケメン
<0465> 微妙すぎるイケメン

//<0466> ロリコン
<0466> ロリコン

//<0467> メガネ仲間
<0467> メガネ仲間

//<0468> 暗算日本記録保持者
<0468> 暗算日本記録保持者

//<0469> 通り魔
<0469> 通り魔

//<0470> 記憶ナシ男
<0470> 記憶ナシ男

//<0471> 音速
<0471> 音速

//<0472> 無限
<0472> 無限

//<0473> エロ侍
<0473> エロ侍

//<0474> エロエロ団ナンバー１
<0474> エロエロ団ナンバー１

//<0475> ただのエロ少年
<0475> ただのエロ少年

//<0476> ユリブサイク
<0476> ユリブサイク

//<0477> ドピュッシー
<0477> ドピュッシー

//<0478> アメリカンエロドッグ
<0478> アメリカンエロドッグ

//<0479> ゼウス
<0479> ゼウス

//<0480> 日向markⅡ
<0480> 日向markⅡ

//<0481> 糞虫
<0481> 糞虫

//<0482> 量産型日向
<0482> 量産型日向

//<0483> ？？
<0483> ？？

//<0484> 「ああ、そうだったな…」
<0484> 「ああ、そうだったな…」

//<0485> 昨日のことを言ってるんだけどな…。戦線との戦いではあんなことは日常茶飯事なのか。
<0485> 昨日のことを言ってるんだけどな…。戦線との戦いではあんなことは日常茶飯事なのか。

//<0486> nothing
<0486> nothing

//<0487> nothing
<0487> nothing

//<0488> nothing
<0488> nothing

//<0489> nothing
<0489> nothing

//<0490> nothing
<0490> nothing

//<0491> 天使
<0491> 天使

//<0492> かなで
<0492> かなで

//<0493> 女生徒
<0493> 女生徒

//<0494> ？？
<0494> ？？

//<0495> 「で、授業は？」
<0495> 「で、授業は？」

//<0496> こいつも手榴弾で吹き飛んだはずだが、目の前でピンピンしてる。
<0496> こいつも手榴弾で吹き飛んだはずだが、目の前でピンピンしてる。

//<0497> まあこの世界で人は死ぬことはないし、天使は人以上の能力を持っている。
<0497> まあこの世界で人は死ぬことはないし、天使は人以上の能力を持っている。

//<0498> 元気な姿でいるのは当たり前と言えば当たり前だ。
<0498> 元気な姿でいるのは当たり前と言えば当たり前だ。

//<0499> 音無
<0499> 音無

//<0500> クソ坊主
<0500> クソ坊主

//<0501> 代理人
<0501> 代理人

//<0502> 微妙すぎるイケメン
<0502> 微妙すぎるイケメン

//<0503> ロリコン
<0503> ロリコン

//<0504> メガネ仲間
<0504> メガネ仲間

//<0505> 暗算日本記録保持者
<0505> 暗算日本記録保持者

//<0506> 通り魔
<0506> 通り魔

//<0507> 記憶ナシ男
<0507> 記憶ナシ男

//<0508> 音速
<0508> 音速

//<0509> 無限
<0509> 無限

//<0510> エロ侍
<0510> エロ侍

//<0511> エロエロ団ナンバー１
<0511> エロエロ団ナンバー１

//<0512> ただのエロ少年
<0512> ただのエロ少年

//<0513> ユリブサイク
<0513> ユリブサイク

//<0514> ドピュッシー
<0514> ドピュッシー

//<0515> アメリカンエロドッグ
<0515> アメリカンエロドッグ

//<0516> ゼウス
<0516> ゼウス

//<0517> 日向markⅡ
<0517> 日向markⅡ

//<0518> 糞虫
<0518> 糞虫

//<0519> 量産型日向
<0519> 量産型日向

//<0520> ？？
<0520> ？？

//<0521> 「今はただのエロ少年ですが、何か？」
<0521> 「今はただのエロ少年ですが、何か？」

//<0522> nothing
<0522> nothing

//<0523> nothing
<0523> nothing

//<0524> nothing
