// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 白
<0000> 白
<0043> 微妙すぎるイケメン

//<0044> ロリコン
<0044> ロリコン

//<0045> メガネ仲間
<0045> メガネ仲間

//<0046> 暗算日本記録保持者
<0046> 暗算日本記録保持者

//<0047> 通り魔
<0047> 通り魔

//<0048> 記憶ナシ男
<0048> 記憶ナシ男

//<0049> 音速
<0049> 音速

//<0050> 無限
<0050> 無限

//<0051> エロ侍
<0051> エロ侍

//<0052> エロエロ団ナンバー１
<0052> エロエロ団ナンバー１

//<0053> ただのエロ少年
<0053> ただのエロ少年

//<0054> ユリブサイク
<0054> ユリブサイク

//<0055> ドピュッシー
<0055> ドピュッシー

//<0056> アメリカンエロドッグ
<0056> アメリカンエロドッグ

//<0057> ゼウス
<0057> ゼウス

//<0058> 日向markⅡ
<0058> 日向markⅡ

//<0059> 糞虫
<0059> 糞虫

//<0060> 量産型日向
<0060> 量産型日向

//<0061> ？？
<0061> ？？

//<0062> 「起こしたか？」
<0062> 「起こしたか？」

//<0063> 初音
<0063> 初音

//<0064> 「だいじょうぶ」
<0064> 「だいじょうぶ」

//<0065> そう言ってにこっと笑った。
<0065> そう言ってにこっと笑った。

//<0066> 俺は背負っていたリュックを下ろして、床に置いた。
<0066> 俺は背負っていたリュックを下ろして、床に置いた。

//<0067> 音無
<0067> 音無

//<0068> クソ坊主
<0068> クソ坊主

//<0069> 代理人
<0069> 代理人

//<0070> 微妙すぎるイケメン
<0070> 微妙すぎるイケメン

//<0071> ロリコン
<0071> ロリコン

//<0072> メガネ仲間
<0072> メガネ仲間

//<0073> 暗算日本記録保持者
<0073> 暗算日本記録保持者

//<0074> 通り魔
<0074> 通り魔

//<0075> 記憶ナシ男
<0075> 記憶ナシ男

//<0076> 音速
<0076> 音速

//<0077> 無限
<0077> 無限

//<0078> エロ侍
<0078> エロ侍

//<0079> エロエロ団ナンバー１
<0079> エロエロ団ナンバー１

//<0080> ただのエロ少年
<0080> ただのエロ少年

//<0081> ユリブサイク
<0081> ユリブサイク

//<0082> ドピュッシー
<0082> ドピュッシー

//<0083> アメリカンエロドッグ
<0083> アメリカンエロドッグ

//<0084> ゼウス
<0084> ゼウス

//<0085> 日向markⅡ
<0085> 日向markⅡ

//<0086> 糞虫
<0086> 糞虫

//<0087> 量産型日向
<0087> 量産型日向

//<0088> ？？
<0088> ？？

//<0089> 「体、起こすか？」
<0089> 「体、起こすか？」

//<0090> 初音
<0090> 初音

//<0091> 「うん」
<0091> 「うん」

//<0092> ベッドは手動で上体を起こして支えられるようにできる。
<0092> ベッドは手動で上体を起こして支えられるようにできる。

//<0093> そのレバーを回した。
<0093> そのレバーを回した。

//<0094> きこきこときしむ音がして、初音の上体が持ち上がっていく。
<0094> きこきこときしむ音がして、初音の上体が持ち上がっていく。

//<0095> いつもの位置で止めた。
<0095> いつもの位置で止めた。

//<0096> 音無
<0096> 音無

//<0097> クソ坊主
<0097> クソ坊主

//<0098> 代理人
<0098> 代理人

//<0099> 微妙すぎるイケメン
<0099> 微妙すぎるイケメン

//<0100> ロリコン
<0100> ロリコン

//<0101> メガネ仲間
<0101> メガネ仲間

//<0102> 暗算日本記録保持者
<0102> 暗算日本記録保持者

//<0103> 通り魔
<0103> 通り魔

//<0104> 記憶ナシ男
<0104> 記憶ナシ男

//<0105> 音速
<0105> 音速

//<0106> 無限
<0106> 無限

//<0107> エロ侍
<0107> エロ侍

//<0108> エロエロ団ナンバー１
<0108> エロエロ団ナンバー１

//<0109> ただのエロ少年
<0109> ただのエロ少年

//<0110> ユリブサイク
<0110> ユリブサイク

//<0111> ドピュッシー
<0111> ドピュッシー

//<0112> アメリカンエロドッグ
<0112> アメリカンエロドッグ

//<0113> ゼウス
<0113> ゼウス

//<0114> 日向markⅡ
<0114> 日向markⅡ

//<0115> 糞虫
<0115> 糞虫

//<0116> 量産型日向
<0116> 量産型日向

//<0117> ？？
<0117> ？？

//<0118> 「気分は？」
<0118> 「気分は？」

//<0119> 初音
<0119> 初音

//<0120> 「ぜんぜんへいき」
<0120> 「ぜんぜんへいき」

//<0121> 音無
<0121> 音無

//<0122> クソ坊主
<0122> クソ坊主

//<0123> 代理人
<0123> 代理人

//<0124> 微妙すぎるイケメン
<0124> 微妙すぎるイケメン

//<0125> ロリコン
<0125> ロリコン

//<0126> メガネ仲間
<0126> メガネ仲間

//<0127> 暗算日本記録保持者
<0127> 暗算日本記録保持者

//<0128> 通り魔
<0128> 通り魔

//<0129> 記憶ナシ男
<0129> 記憶ナシ男

//<0130> 音速
<0130> 音速

//<0131> 無限
<0131> 無限

//<0132> エロ侍
<0132> エロ侍

//<0133> エロエロ団ナンバー１
<0133> エロエロ団ナンバー１

//<0134> ただのエロ少年
<0134> ただのエロ少年

//<0135> ユリブサイク
<0135> ユリブサイク

//<0136> ドピュッシー
<0136> ドピュッシー

//<0137> アメリカンエロドッグ
<0137> アメリカンエロドッグ

//<0138> ゼウス
<0138> ゼウス

//<0139> 日向markⅡ
<0139> 日向markⅡ

//<0140> 糞虫
<0140> 糞虫

//<0141> 量産型日向
<0141> 量産型日向

//<0142> ？？
<0142> ？？

//<0143> 「そいつはよかった」
<0143> 「そいつはよかった」

//<0144> 椅子を引いてきて、初音のすぐ隣に座った。
<0144> 椅子を引いてきて、初音のすぐ隣に座った。

//<0145> 初音
<0145> 初音

//<0146> 「もうすぐ夏休みだよね？」
<0146> 「もうすぐ夏休みだよね？」

//<0147> 音無
<0147> 音無

//<0148> クソ坊主
<0148> クソ坊主

//<0149> 代理人
<0149> 代理人

//<0150> 微妙すぎるイケメン
<0150> 微妙すぎるイケメン

//<0151> ロリコン
<0151> ロリコン

//<0152> メガネ仲間
<0152> メガネ仲間

//<0153> 暗算日本記録保持者
<0153> 暗算日本記録保持者

//<0154> 通り魔
<0154> 通り魔

//<0155> 記憶ナシ男
<0155> 記憶ナシ男

//<0156> 音速
<0156> 音速

//<0157> 無限
<0157> 無限

//<0158> エロ侍
<0158> エロ侍

//<0159> エロエロ団ナンバー１
<0159> エロエロ団ナンバー１

//<0160> ただのエロ少年
<0160> ただのエロ少年

//<0161> ユリブサイク
<0161> ユリブサイク

//<0162> ドピュッシー
<0162> ドピュッシー

//<0163> アメリカンエロドッグ
<0163> アメリカンエロドッグ

//<0164> ゼウス
<0164> ゼウス

//<0165> 日向markⅡ
<0165> 日向markⅡ

//<0166> 糞虫
<0166> 糞虫

//<0167> 量産型日向
<0167> 量産型日向

//<0168> ？？
<0168> ？？

//<0169> 「そうだな。まあ、俺にはあんまり関係ないけど」
<0169> 「そうだな。まあ、俺にはあんまり関係ないけど」

//<0170> 初音
<0170> 初音

//<0171> 「どうして？」
<0171> 「どうして？」

//<0172> 音無
<0172> 音無

//<0173> クソ坊主
<0173> クソ坊主

//<0174> 代理人
<0174> 代理人

//<0175> 微妙すぎるイケメン
<0175> 微妙すぎるイケメン

//<0176> ロリコン
<0176> ロリコン

//<0177> メガネ仲間
<0177> メガネ仲間

//<0178> 暗算日本記録保持者
<0178> 暗算日本記録保持者

//<0179> 通り魔
<0179> 通り魔

//<0180> 記憶ナシ男
<0180> 記憶ナシ男

//<0181> 音速
<0181> 音速

//<0182> 無限
<0182> 無限

//<0183> エロ侍
<0183> エロ侍

//<0184> エロエロ団ナンバー１
<0184> エロエロ団ナンバー１

//<0185> ただのエロ少年
<0185> ただのエロ少年

//<0186> ユリブサイク
<0186> ユリブサイク

//<0187> ドピュッシー
<0187> ドピュッシー

//<0188> アメリカンエロドッグ
<0188> アメリカンエロドッグ

//<0189> ゼウス
<0189> ゼウス

//<0190> 日向markⅡ
<0190> 日向markⅡ

//<0191> 糞虫
<0191> 糞虫

//<0192> 量産型日向
<0192> 量産型日向

//<0193> ？？
<0193> ？？

//<0194> 「行ってねぇから」
<0194> 「行ってねぇから」

//<0195> 初音
<0195> 初音

//<0196> 「学校？」
<0196> 「学校？」

//<0197> 音無
<0197> 音無

//<0198> クソ坊主
<0198> クソ坊主

//<0199> 代理人
<0199> 代理人

//<0200> 微妙すぎるイケメン
<0200> 微妙すぎるイケメン

//<0201> ロリコン
<0201> ロリコン

//<0202> メガネ仲間
<0202> メガネ仲間

//<0203> 暗算日本記録保持者
<0203> 暗算日本記録保持者

//<0204> 通り魔
<0204> 通り魔

//<0205> 記憶ナシ男
<0205> 記憶ナシ男

//<0206> 音速
<0206> 音速

//<0207> 無限
<0207> 無限

//<0208> エロ侍
<0208> エロ侍

//<0209> エロエロ団ナンバー１
<0209> エロエロ団ナンバー１

//<0210> ただのエロ少年
<0210> ただのエロ少年

//<0211> ユリブサイク
<0211> ユリブサイク

//<0212> ドピュッシー
<0212> ドピュッシー

//<0213> アメリカンエロドッグ
<0213> アメリカンエロドッグ

//<0214> ゼウス
<0214> ゼウス

//<0215> 日向markⅡ
<0215> 日向markⅡ

//<0216> 糞虫
<0216> 糞虫

//<0217> 量産型日向
<0217> 量産型日向

//<0218> ？？
<0218> ？？

//<0219> 「そ」
<0219> 「そ」

//<0220> 初音
<0220> 初音

//<0221> 「行ったら楽しいかもしれないよ？」
<0221> 「行ったら楽しいかもしれないよ？」

//<0222> 音無
<0222> 音無

//<0223> クソ坊主
<0223> クソ坊主

//<0224> 代理人
<0224> 代理人

//<0225> 微妙すぎるイケメン
<0225> 微妙すぎるイケメン

//<0226> ロリコン
<0226> ロリコン

//<0227> メガネ仲間
<0227> メガネ仲間

//<0228> 暗算日本記録保持者
<0228> 暗算日本記録保持者

//<0229> 通り魔
<0229> 通り魔

//<0230> 記憶ナシ男
<0230> 記憶ナシ男

//<0231> 音速
<0231> 音速

//<0232> 無限
<0232> 無限

//<0233> エロ侍
<0233> エロ侍

//<0234> エロエロ団ナンバー１
<0234> エロエロ団ナンバー１

//<0235> ただのエロ少年
<0235> ただのエロ少年

//<0236> ユリブサイク
<0236> ユリブサイク

//<0237> ドピュッシー
<0237> ドピュッシー

//<0238> アメリカンエロドッグ
<0238> アメリカンエロドッグ

//<0239> ゼウス
<0239> ゼウス

//<0240> 日向markⅡ
<0240> 日向markⅡ

//<0241> 糞虫
<0241> 糞虫

//<0242> 量産型日向
<0242> 量産型日向

//<0243> ？？
<0243> ？？

//<0244> 「頭が良かったら楽しいかもな」
<0244> 「頭が良かったら楽しいかもな」

//<0245> 音無
<0245> 音無

//<0246> クソ坊主
<0246> クソ坊主

//<0247> 代理人
<0247> 代理人

//<0248> 微妙すぎるイケメン
<0248> 微妙すぎるイケメン

//<0249> ロリコン
<0249> ロリコン

//<0250> メガネ仲間
<0250> メガネ仲間

//<0251> 暗算日本記録保持者
<0251> 暗算日本記録保持者

//<0252> 通り魔
<0252> 通り魔

//<0253> 記憶ナシ男
<0253> 記憶ナシ男

//<0254> 音速
<0254> 音速

//<0255> 無限
<0255> 無限

//<0256> エロ侍
<0256> エロ侍

//<0257> エロエロ団ナンバー１
<0257> エロエロ団ナンバー１

//<0258> ただのエロ少年
<0258> ただのエロ少年

//<0259> ユリブサイク
<0259> ユリブサイク

//<0260> ドピュッシー
<0260> ドピュッシー

//<0261> アメリカンエロドッグ
<0261> アメリカンエロドッグ

//<0262> ゼウス
<0262> ゼウス

//<0263> 日向markⅡ
<0263> 日向markⅡ

//<0264> 糞虫
<0264> 糞虫

//<0265> 量産型日向
<0265> 量産型日向

//<0266> ？？
<0266> ？？

//<0267> 「俺、馬鹿だからな。成績悪い奴には居所がないところだ」
<0267> 「俺、馬鹿だからな。成績悪い奴には居所がないところだ」

//<0268> 初音
<0268> 初音

//<0269> 「勉強は楽しくない？」
<0269> 「勉強は楽しくない？」

//<0270> 音無
<0270> 音無

//<0271> クソ坊主
<0271> クソ坊主

//<0272> 代理人
<0272> 代理人

//<0273> 微妙すぎるイケメン
<0273> 微妙すぎるイケメン

//<0274> ロリコン
<0274> ロリコン

//<0275> メガネ仲間
<0275> メガネ仲間

//<0276> 暗算日本記録保持者
<0276> 暗算日本記録保持者

//<0277> 通り魔
<0277> 通り魔

//<0278> 記憶ナシ男
<0278> 記憶ナシ男

//<0279> 音速
<0279> 音速

//<0280> 無限
<0280> 無限

//<0281> エロ侍
<0281> エロ侍

//<0282> エロエロ団ナンバー１
<0282> エロエロ団ナンバー１

//<0283> ただのエロ少年
<0283> ただのエロ少年

//<0284> ユリブサイク
<0284> ユリブサイク

//<0285> ドピュッシー
<0285> ドピュッシー

//<0286> アメリカンエロドッグ
<0286> アメリカンエロドッグ

//<0287> ゼウス
<0287> ゼウス

//<0288> 日向markⅡ
<0288> 日向markⅡ

//<0289> 糞虫
<0289> 糞虫

//<0290> 量産型日向
<0290> 量産型日向

//<0291> ？？
<0291> ？？

//<0292> 「楽しいわけないだろ…勉強だぞ？」
<0292> 「楽しいわけないだろ…勉強だぞ？」

//<0293> 初音
<0293> 初音

//<0294> 「友達は？　お友達と遊ぶのは？」
<0294> 「友達は？　お友達と遊ぶのは？」

//<0295> 音無
<0295> 音無

//<0296> クソ坊主
<0296> クソ坊主

//<0297> 代理人
<0297> 代理人

//<0298> 微妙すぎるイケメン
<0298> 微妙すぎるイケメン

//<0299> ロリコン
<0299> ロリコン

//<0300> メガネ仲間
<0300> メガネ仲間

//<0301> 暗算日本記録保持者
<0301> 暗算日本記録保持者

//<0302> 通り魔
<0302> 通り魔

//<0303> 記憶ナシ男
<0303> 記憶ナシ男

//<0304> 音速
<0304> 音速

//<0305> 無限
<0305> 無限

//<0306> エロ侍
<0306> エロ侍

//<0307> エロエロ団ナンバー１
<0307> エロエロ団ナンバー１

//<0308> ただのエロ少年
<0308> ただのエロ少年

//<0309> ユリブサイク
<0309> ユリブサイク

//<0310> ドピュッシー
<0310> ドピュッシー

//<0311> アメリカンエロドッグ
<0311> アメリカンエロドッグ

//<0312> ゼウス
<0312> ゼウス

//<0313> 日向markⅡ
<0313> 日向markⅡ

//<0314> 糞虫
<0314> 糞虫

//<0315> 量産型日向
<0315> 量産型日向

//<0316> ？？
<0316> ？？

//<0317> 「ひとりでテレビ見たりゲームしてるほうが楽しい」
<0317> 「ひとりでテレビ見たりゲームしてるほうが楽しい」

//<0318> 音無
<0318> 音無

//<0319> クソ坊主
<0319> クソ坊主

//<0320> 代理人
<0320> 代理人

//<0321> 微妙すぎるイケメン
<0321> 微妙すぎるイケメン

//<0322> ロリコン
<0322> ロリコン

//<0323> メガネ仲間
<0323> メガネ仲間

//<0324> 暗算日本記録保持者
<0324> 暗算日本記録保持者

//<0325> 通り魔
<0325> 通り魔

//<0326> 記憶ナシ男
<0326> 記憶ナシ男

//<0327> 音速
<0327> 音速

//<0328> 無限
<0328> 無限

//<0329> エロ侍
<0329> エロ侍

//<0330> エロエロ団ナンバー１
<0330> エロエロ団ナンバー１

//<0331> ただのエロ少年
<0331> ただのエロ少年

//<0332> ユリブサイク
<0332> ユリブサイク

//<0333> ドピュッシー
<0333> ドピュッシー

//<0334> アメリカンエロドッグ
<0334> アメリカンエロドッグ

//<0335> ゼウス
<0335> ゼウス

//<0336> 日向markⅡ
<0336> 日向markⅡ

//<0337> 糞虫
<0337> 糞虫

//<0338> 量産型日向
<0338> 量産型日向

//<0339> ？？
<0339> ？？

//<0340> 「相手の趣味に強引に付き合わされたり、面白くもない冗談に笑ってやらなきゃいけなかったり…疲れるだけだ」
<0340> 「相手の趣味に強引に付き合わされたり、面白くもない冗談に笑ってやらなきゃいけなかったり…疲れるだけだ」

//<0341> 初音
<0341> 初音

//<0342> 「そうなんだ…」
<0342> 「そうなんだ…」

//<0343> 初音
<0343> 初音

//<0344> 「あたしは勉強、楽しみだな。友達作るのも楽しみ」
<0344> 「あたしは勉強、楽しみだな。友達作るのも楽しみ」

//<0345> 俺は言葉を失う。
<0345> 俺は言葉を失う。

//<0346> なんて皮肉な話なんだ…。
<0346> なんて皮肉な話なんだ…。

//<0347> 黙り込むと、遠くから相部屋の人の話し声が聞こえきた。
<0347> 黙り込むと、遠くから相部屋の人の話し声が聞こえきた。

//<0348> しゃが
<0348> しゃが

//<0349> 嗄
<0349> 嗄
{9064} 3d // 0349

//<0350> れた声。
<0350> れた声。

//<0351> もう老い先も短いだろう声。
<0351> もう老い先も短いだろう声。

//<0352> なんで同じ部屋なんだろう…。
<0352> なんで同じ部屋なんだろう…。

//<0353> 時計を見ると…もうすぐバイトの時間だった。
<0353> 時計を見ると…もうすぐバイトの時間だった。

//<0354> せめて最後には明るい話題を…。
<0354> せめて最後には明るい話題を…。

//<0355> 音無
<0355> 音無

//<0356> クソ坊主
<0356> クソ坊主

//<0357> 代理人
<0357> 代理人

//<0358> 微妙すぎるイケメン
<0358> 微妙すぎるイケメン

//<0359> ロリコン
<0359> ロリコン

//<0360> メガネ仲間
<0360> メガネ仲間

//<0361> 暗算日本記録保持者
<0361> 暗算日本記録保持者

//<0362> 通り魔
<0362> 通り魔

//<0363> 記憶ナシ男
<0363> 記憶ナシ男

//<0364> 音速
<0364> 音速

//<0365> 無限
<0365> 無限

//<0366> エロ侍
<0366> エロ侍

//<0367> エロエロ団ナンバー１
<0367> エロエロ団ナンバー１

//<0368> ただのエロ少年
<0368> ただのエロ少年

//<0369> ユリブサイク
<0369> ユリブサイク

//<0370> ドピュッシー
<0370> ドピュッシー

//<0371> アメリカンエロドッグ
<0371> アメリカンエロドッグ

//<0372> ゼウス
<0372> ゼウス

//<0373> 日向markⅡ
<0373> 日向markⅡ

//<0374> 糞虫
<0374> 糞虫

//<0375> 量産型日向
<0375> 量産型日向

//<0376> ？？
<0376> ？？

//<0377> 「あ、そうだ」
<0377> 「あ、そうだ」

//<0378> 俺は思いだして、リュックから紙袋を取り出す。
<0378> 俺は思いだして、リュックから紙袋を取り出す。

//<0379> 音無
<0379> 音無

//<0380> クソ坊主
<0380> クソ坊主

//<0381> 代理人
<0381> 代理人

//<0382> 微妙すぎるイケメン
<0382> 微妙すぎるイケメン

//<0383> ロリコン
<0383> ロリコン

//<0384> メガネ仲間
<0384> メガネ仲間

//<0385> 暗算日本記録保持者
<0385> 暗算日本記録保持者

//<0386> 通り魔
<0386> 通り魔

//<0387> 記憶ナシ男
<0387> 記憶ナシ男

//<0388> 音速
<0388> 音速

//<0389> 無限
<0389> 無限

//<0390> エロ侍
<0390> エロ侍

//<0391> エロエロ団ナンバー１
<0391> エロエロ団ナンバー１

//<0392> ただのエロ少年
<0392> ただのエロ少年

//<0393> ユリブサイク
<0393> ユリブサイク

//<0394> ドピュッシー
<0394> ドピュッシー

//<0395> アメリカンエロドッグ
<0395> アメリカンエロドッグ

//<0396> ゼウス
<0396> ゼウス

//<0397> 日向markⅡ
<0397> 日向markⅡ

//<0398> 糞虫
<0398> 糞虫

//<0399> 量産型日向
<0399> 量産型日向

//<0400> ？？
<0400> ？？

//<0401> 「ほら、これ」
<0401> 「ほら、これ」

//<0402> それを手渡した。
<0402> それを手渡した。

//<0403> 面白いのかどうかはわからないが、本屋の店頭に平積みにされてた漫画雑誌の最新号。
<0403> 面白いのかどうかはわからないが、本屋の店頭に平積みにされてた漫画雑誌の最新号。

//<0404> 初音
<0404> 初音

//<0405> 「ありがとう、おにぃちゃん」
<0405> 「ありがとう、おにぃちゃん」

//<0406> いつもの笑顔で受け取った。
<0406> いつもの笑顔で受け取った。

//<0407> 良かった。
<0407> 良かった。

//<0408> 音無
<0408> 音無

//<0409> クソ坊主
<0409> クソ坊主

//<0410> 代理人
<0410> 代理人

//<0411> 微妙すぎるイケメン
<0411> 微妙すぎるイケメン

//<0412> ロリコン
<0412> ロリコン

//<0413> メガネ仲間
<0413> メガネ仲間

//<0414> 暗算日本記録保持者
<0414> 暗算日本記録保持者

//<0415> 通り魔
<0415> 通り魔

//<0416> 記憶ナシ男
<0416> 記憶ナシ男

//<0417> 音速
<0417> 音速

//<0418> 無限
<0418> 無限

//<0419> エロ侍
<0419> エロ侍

//<0420> エロエロ団ナンバー１
<0420> エロエロ団ナンバー１

//<0421> ただのエロ少年
<0421> ただのエロ少年

//<0422> ユリブサイク
<0422> ユリブサイク

//<0423> ドピュッシー
<0423> ドピュッシー

//<0424> アメリカンエロドッグ
<0424> アメリカンエロドッグ

//<0425> ゼウス
<0425> ゼウス

//<0426> 日向markⅡ
<0426> 日向markⅡ

//<0427> 糞虫
<0427> 糞虫

//<0428> 量産型日向
<0428> 量産型日向

//<0429> ？？
<0429> ？？

//<0430> 「じゃ、そろそろ行くな」
<0430> 「じゃ、そろそろ行くな」

//<0431> 初音
<0431> 初音

//<0432> 「えー」
<0432> 「えー」

//<0433> 音無
<0433> 音無

//<0434> クソ坊主
<0434> クソ坊主

//<0435> 代理人
<0435> 代理人

//<0436> 微妙すぎるイケメン
<0436> 微妙すぎるイケメン

//<0437> ロリコン
<0437> ロリコン

//<0438> メガネ仲間
<0438> メガネ仲間

//<0439> 暗算日本記録保持者
<0439> 暗算日本記録保持者

//<0440> 通り魔
<0440> 通り魔

//<0441> 記憶ナシ男
<0441> 記憶ナシ男

//<0442> 音速
<0442> 音速

//<0443> 無限
<0443> 無限

//<0444> エロ侍
<0444> エロ侍

//<0445> エロエロ団ナンバー１
<0445> エロエロ団ナンバー１

//<0446> ただのエロ少年
<0446> ただのエロ少年

//<0447> ユリブサイク
<0447> ユリブサイク

//<0448> ドピュッシー
<0448> ドピュッシー

//<0449> アメリカンエロドッグ
<0449> アメリカンエロドッグ

//<0450> ゼウス
<0450> ゼウス

//<0451> 日向markⅡ
<0451> 日向markⅡ

//<0452> 糞虫
<0452> 糞虫

//<0453> 量産型日向
<0453> 量産型日向

//<0454> ？？
<0454> ？？

//<0455> 「だって、それ渡しに来ただけだし」
<0455> 「だって、それ渡しに来ただけだし」

//<0456> 初音
<0456> 初音

//<0457> 「もうちょっとお話したいー」
<0457> 「もうちょっとお話したいー」

//<0458> 音無
<0458> 音無

//<0459> クソ坊主
<0459> クソ坊主

//<0460> 代理人
<0460> 代理人

//<0461> 微妙すぎるイケメン
<0461> 微妙すぎるイケメン

//<0462> ロリコン
<0462> ロリコン

//<0463> メガネ仲間
<0463> メガネ仲間

//<0464> 暗算日本記録保持者
<0464> 暗算日本記録保持者

//<0465> 通り魔
<0465> 通り魔

//<0466> 記憶ナシ男
<0466> 記憶ナシ男

//<0467> 音速
<0467> 音速

//<0468> 無限
<0468> 無限

//<0469> エロ侍
<0469> エロ侍

//<0470> エロエロ団ナンバー１
<0470> エロエロ団ナンバー１

//<0471> ただのエロ少年
<0471> ただのエロ少年

//<0472> ユリブサイク
<0472> ユリブサイク

//<0473> ドピュッシー
<0473> ドピュッシー

//<0474> アメリカンエロドッグ
<0474> アメリカンエロドッグ

//<0475> ゼウス
<0475> ゼウス

//<0476> 日向markⅡ
<0476> 日向markⅡ

//<0477> 糞虫
<0477> 糞虫

//<0478> 量産型日向
<0478> 量産型日向

//<0479> ？？
<0479> ？？

//<0480> 「だって、バイトの前に寄っただけだぜ？」
<0480> 「だって、バイトの前に寄っただけだぜ？」

//<0481> 初音
<0481> 初音

//<0482> 「お仕事かー。なら、しかたないねー」
<0482> 「お仕事かー。なら、しかたないねー」

//<0483> 音無
<0483> 音無

//<0484> クソ坊主
<0484> クソ坊主

//<0485> 代理人
<0485> 代理人

//<0486> 微妙すぎるイケメン
<0486> 微妙すぎるイケメン

//<0487> ロリコン
<0487> ロリコン

//<0488> メガネ仲間
<0488> メガネ仲間

//<0489> 暗算日本記録保持者
<0489> 暗算日本記録保持者

//<0490> 通り魔
<0490> 通り魔

//<0491> 記憶ナシ男
<0491> 記憶ナシ男

//<0492> 音速
<0492> 音速

//<0493> 無限
<0493> 無限

//<0494> エロ侍
<0494> エロ侍

//<0495> エロエロ団ナンバー１
<0495> エロエロ団ナンバー１

//<0496> ただのエロ少年
<0496> ただのエロ少年

//<0497> ユリブサイク
<0497> ユリブサイク

//<0498> ドピュッシー
<0498> ドピュッシー

//<0499> アメリカンエロドッグ
<0499> アメリカンエロドッグ

//<0500> ゼウス
<0500> ゼウス

//<0501> 日向markⅡ
<0501> 日向markⅡ

//<0502> 糞虫
<0502> 糞虫

