// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 音がかすかに漏れている。窓越しに覗くと、ひさ子がひとりでギターを練習しているようだ。
<0000> 音がかすかに漏れている。窓越しに覗くと、ひさ子がひとりでギターを練習しているようだ。
<0250> 無限

//<0251> エロ侍
<0251> エロ侍

//<0252> エロエロ団ナンバー１
<0252> エロエロ団ナンバー１

//<0253> ただのエロ少年
<0253> ただのエロ少年

//<0254> ユリブサイク
<0254> ユリブサイク

//<0255> ドピュッシー
<0255> ドピュッシー

//<0256> アメリカンエロドッグ
<0256> アメリカンエロドッグ

//<0257> ゼウス
<0257> ゼウス

//<0258> 日向markⅡ
<0258> 日向markⅡ

//<0259> 糞虫
<0259> 糞虫

//<0260> 量産型日向
<0260> 量産型日向

//<0261> ？？
<0261> ？？

//<0262> 「ああ。だから、本当に興味があって訊いてるだけ」
<0262> 「ああ。だから、本当に興味があって訊いてるだけ」

//<0263> nothing
<0263> nothing

//<0264> nothing
<0264> nothing

//<0265> nothing
<0265> nothing

//<0266> nothing
<0266> nothing

//<0267> nothing
<0267> nothing

//<0268> ひさ子
<0268> ひさ子

//<0269> 「ふーん…」
<0269> 「ふーん…」

//<0270> nothing
<0270> nothing

//<0271> nothing
<0271> nothing

//<0272> nothing
<0272> nothing

//<0273> nothing
<0273> nothing

//<0274> nothing
<0274> nothing

//<0275> ひさ子
<0275> ひさ子

//<0276> 「じゃ、何を話せばいい？　生前の話か？」
<0276> 「じゃ、何を話せばいい？　生前の話か？」

//<0277> 音無
<0277> 音無

//<0278> クソ坊主
<0278> クソ坊主

//<0279> 代理人
<0279> 代理人

//<0280> 微妙すぎるイケメン
<0280> 微妙すぎるイケメン

//<0281> ロリコン
<0281> ロリコン

//<0282> メガネ仲間
<0282> メガネ仲間

//<0283> 暗算日本記録保持者
<0283> 暗算日本記録保持者

//<0284> 通り魔
<0284> 通り魔

//<0285> 記憶ナシ男
<0285> 記憶ナシ男

//<0286> 音速
<0286> 音速

//<0287> 無限
<0287> 無限

//<0288> エロ侍
<0288> エロ侍

//<0289> エロエロ団ナンバー１
<0289> エロエロ団ナンバー１

//<0290> ただのエロ少年
<0290> ただのエロ少年

//<0291> ユリブサイク
<0291> ユリブサイク

//<0292> ドピュッシー
<0292> ドピュッシー

//<0293> アメリカンエロドッグ
<0293> アメリカンエロドッグ

//<0294> ゼウス
<0294> ゼウス

//<0295> 日向markⅡ
<0295> 日向markⅡ

//<0296> 糞虫
<0296> 糞虫

//<0297> 量産型日向
<0297> 量産型日向

//<0298> ？？
<0298> ？？

//<0299> 「できれば」
<0299> 「できれば」

//<0300> nothing
<0300> nothing

//<0301> nothing
<0301> nothing

//<0302> nothing
<0302> nothing

//<0303> nothing
<0303> nothing

//<0304> nothing
<0304> nothing

//<0305> ひさ子
<0305> ひさ子

//<0306> 「悪いが、会っていきなり話せるようなもんじゃないんだな、それが」
<0306> 「悪いが、会っていきなり話せるようなもんじゃないんだな、それが」

//<0307> 無理に訊く
<0307> 無理に訊く

//<0308> ここまでに留めておく
<0308> ここまでに留めておく

//<0309> selbtn : 
<0309> selbtn : 

//<0310> 音無
<0310> 音無

//<0311> クソ坊主
<0311> クソ坊主

//<0312> 代理人
<0312> 代理人

//<0313> 微妙すぎるイケメン
<0313> 微妙すぎるイケメン

//<0314> ロリコン
<0314> ロリコン

//<0315> メガネ仲間
<0315> メガネ仲間

//<0316> 暗算日本記録保持者
<0316> 暗算日本記録保持者

//<0317> 通り魔
<0317> 通り魔

//<0318> 記憶ナシ男
<0318> 記憶ナシ男

//<0319> 音速
<0319> 音速

//<0320> 無限
<0320> 無限

//<0321> エロ侍
<0321> エロ侍

//<0322> エロエロ団ナンバー１
<0322> エロエロ団ナンバー１

//<0323> ただのエロ少年
<0323> ただのエロ少年

//<0324> ユリブサイク
<0324> ユリブサイク

//<0325> ドピュッシー
<0325> ドピュッシー

//<0326> アメリカンエロドッグ
<0326> アメリカンエロドッグ

//<0327> ゼウス
<0327> ゼウス

//<0328> 日向markⅡ
<0328> 日向markⅡ

//<0329> 糞虫
<0329> 糞虫

//<0330> 量産型日向
<0330> 量産型日向

//<0331> ？？
<0331> ？？

//<0332> 「どんな話だって構わないから。頼む」
<0332> 「どんな話だって構わないから。頼む」

//<0333> nothing
<0333> nothing

//<0334> nothing
<0334> nothing

//<0335> nothing
<0335> nothing

//<0336> nothing
<0336> nothing

//<0337> nothing
<0337> nothing

//<0338> ひさ子
<0338> ひさ子

//<0339> 「だから、ほぼ初対面の奴には話せねーっての」
<0339> 「だから、ほぼ初対面の奴には話せねーっての」

//<0340> さらに押す
<0340> さらに押す

//<0341> ここまでに留めておく
<0341> ここまでに留めておく

//<0342> selbtn : 
<0342> selbtn : 

//<0343> 音無
<0343> 音無

//<0344> クソ坊主
<0344> クソ坊主

//<0345> 代理人
<0345> 代理人

//<0346> 微妙すぎるイケメン
<0346> 微妙すぎるイケメン

//<0347> ロリコン
<0347> ロリコン

//<0348> メガネ仲間
<0348> メガネ仲間

//<0349> 暗算日本記録保持者
<0349> 暗算日本記録保持者

//<0350> 通り魔
<0350> 通り魔

//<0351> 記憶ナシ男
<0351> 記憶ナシ男

//<0352> 音速
<0352> 音速

//<0353> 無限
<0353> 無限

//<0354> エロ侍
<0354> エロ侍

//<0355> エロエロ団ナンバー１
<0355> エロエロ団ナンバー１

//<0356> ただのエロ少年
<0356> ただのエロ少年

//<0357> ユリブサイク
<0357> ユリブサイク

//<0358> ドピュッシー
<0358> ドピュッシー

//<0359> アメリカンエロドッグ
<0359> アメリカンエロドッグ

//<0360> ゼウス
<0360> ゼウス

//<0361> 日向markⅡ
<0361> 日向markⅡ

//<0362> 糞虫
<0362> 糞虫

//<0363> 量産型日向
<0363> 量産型日向

//<0364> ？？
<0364> ？？

//<0365> 「話してくれないと、ここに居続ける」
<0365> 「話してくれないと、ここに居続ける」

//<0366> nothing
<0366> nothing

//<0367> nothing
<0367> nothing

//<0368> nothing
<0368> nothing

//<0369> nothing
<0369> nothing

//<0370> nothing
<0370> nothing

//<0371> ひさ子
<0371> ひさ子

//<0372> 「だから、話せねーって言ってるだろ」
<0372> 「だから、話せねーって言ってるだろ」

//<0373> 機嫌を損ねていないか？
<0373> 機嫌を損ねていないか？

//<0374> さらに粘る
<0374> さらに粘る

//<0375> ここまでに留めておく
<0375> ここまでに留めておく

//<0376> selbtn : 
<0376> selbtn : 

//<0377> 音無
<0377> 音無

//<0378> クソ坊主
<0378> クソ坊主

//<0379> 代理人
<0379> 代理人

//<0380> 微妙すぎるイケメン
<0380> 微妙すぎるイケメン

//<0381> ロリコン
<0381> ロリコン

//<0382> メガネ仲間
<0382> メガネ仲間

//<0383> 暗算日本記録保持者
<0383> 暗算日本記録保持者

//<0384> 通り魔
<0384> 通り魔

//<0385> 記憶ナシ男
<0385> 記憶ナシ男

//<0386> 音速
<0386> 音速

//<0387> 無限
<0387> 無限

//<0388> エロ侍
<0388> エロ侍

//<0389> エロエロ団ナンバー１
<0389> エロエロ団ナンバー１

//<0390> ただのエロ少年
<0390> ただのエロ少年

//<0391> ユリブサイク
<0391> ユリブサイク

//<0392> ドピュッシー
<0392> ドピュッシー

//<0393> アメリカンエロドッグ
<0393> アメリカンエロドッグ

//<0394> ゼウス
<0394> ゼウス

//<0395> 日向markⅡ
<0395> 日向markⅡ

//<0396> 糞虫
<0396> 糞虫

//<0397> 量産型日向
<0397> 量産型日向

//<0398> ？？
<0398> ？？

//<0399> 「そこをなんとか！」
<0399> 「そこをなんとか！」

//<0400> nothing
<0400> nothing

//<0401> nothing
<0401> nothing

//<0402> nothing
<0402> nothing

//<0403> nothing
<0403> nothing

//<0404> nothing
<0404> nothing

//<0405> ひさ子
<0405> ひさ子

//<0406> 「なんだよその、契約ノルマを必死で達成しようとしてる営業マンのような粘り方はよっ」
<0406> 「なんだよその、契約ノルマを必死で達成しようとしてる営業マンのような粘り方はよっ」

//<0407> 音無
<0407> 音無

//<0408> クソ坊主
<0408> クソ坊主

//<0409> 代理人
<0409> 代理人

//<0410> 微妙すぎるイケメン
<0410> 微妙すぎるイケメン

//<0411> ロリコン
<0411> ロリコン

//<0412> メガネ仲間
<0412> メガネ仲間

//<0413> 暗算日本記録保持者
<0413> 暗算日本記録保持者

//<0414> 通り魔
<0414> 通り魔

//<0415> 記憶ナシ男
<0415> 記憶ナシ男

//<0416> 音速
<0416> 音速

//<0417> 無限
<0417> 無限

//<0418> エロ侍
<0418> エロ侍

//<0419> エロエロ団ナンバー１
<0419> エロエロ団ナンバー１

//<0420> ただのエロ少年
<0420> ただのエロ少年

//<0421> ユリブサイク
<0421> ユリブサイク

//<0422> ドピュッシー
<0422> ドピュッシー

//<0423> アメリカンエロドッグ
<0423> アメリカンエロドッグ

//<0424> ゼウス
<0424> ゼウス

//<0425> 日向markⅡ
<0425> 日向markⅡ

//<0426> 糞虫
<0426> 糞虫

//<0427> 量産型日向
<0427> 量産型日向

//<0428> ？？
<0428> ？？

//<0429> 「頼みます！」
<0429> 「頼みます！」

//<0430> nothing
<0430> nothing

//<0431> nothing
<0431> nothing

//<0432> nothing
<0432> nothing

//<0433> nothing
<0433> nothing

//<0434> nothing
<0434> nothing

//<0435> ひさ子
<0435> ひさ子

//<0436> 「だから、この浅い付き合いで話せるようなもんじゃねーてのっ！」
<0436> 「だから、この浅い付き合いで話せるようなもんじゃねーてのっ！」

//<0437> 音無
<0437> 音無

//<0438> クソ坊主
<0438> クソ坊主

//<0439> 代理人
<0439> 代理人

//<0440> 微妙すぎるイケメン
<0440> 微妙すぎるイケメン

//<0441> ロリコン
<0441> ロリコン

//<0442> メガネ仲間
<0442> メガネ仲間

//<0443> 暗算日本記録保持者
<0443> 暗算日本記録保持者

//<0444> 通り魔
<0444> 通り魔

//<0445> 記憶ナシ男
<0445> 記憶ナシ男

//<0446> 音速
<0446> 音速

//<0447> 無限
<0447> 無限

//<0448> エロ侍
<0448> エロ侍

//<0449> エロエロ団ナンバー１
<0449> エロエロ団ナンバー１

//<0450> ただのエロ少年
<0450> ただのエロ少年

//<0451> ユリブサイク
<0451> ユリブサイク

//<0452> ドピュッシー
<0452> ドピュッシー

//<0453> アメリカンエロドッグ
<0453> アメリカンエロドッグ

//<0454> ゼウス
<0454> ゼウス

//<0455> 日向markⅡ
<0455> 日向markⅡ

//<0456> 糞虫
<0456> 糞虫

//<0457> 量産型日向
<0457> 量産型日向

//<0458> ？？
<0458> ？？

//<0459> 「安全、安心ですから！」
<0459> 「安全、安心ですから！」

//<0460> nothing
<0460> nothing

//<0461> nothing
<0461> nothing

//<0462> nothing
<0462> nothing

//<0463> nothing
<0463> nothing

//<0464> nothing
<0464> nothing

//<0465> ひさ子
<0465> ひさ子

//<0466> 「は？　なにが？」
<0466> 「は？　なにが？」

//<0467> 音無
<0467> 音無

//<0468> クソ坊主
<0468> クソ坊主

//<0469> 代理人
<0469> 代理人

//<0470> 微妙すぎるイケメン
<0470> 微妙すぎるイケメン

//<0471> ロリコン
<0471> ロリコン

//<0472> メガネ仲間
<0472> メガネ仲間

//<0473> 暗算日本記録保持者
<0473> 暗算日本記録保持者

//<0474> 通り魔
<0474> 通り魔

//<0475> 記憶ナシ男
<0475> 記憶ナシ男

//<0476> 音速
<0476> 音速

//<0477> 無限
<0477> 無限

//<0478> エロ侍
<0478> エロ侍

//<0479> エロエロ団ナンバー１
<0479> エロエロ団ナンバー１

//<0480> ただのエロ少年
<0480> ただのエロ少年

//<0481> ユリブサイク
<0481> ユリブサイク

//<0482> ドピュッシー
<0482> ドピュッシー

//<0483> アメリカンエロドッグ
<0483> アメリカンエロドッグ

//<0484> ゼウス
<0484> ゼウス

//<0485> 日向markⅡ
<0485> 日向markⅡ

//<0486> 糞虫
<0486> 糞虫

//<0487> 量産型日向
<0487> 量産型日向

//<0488> ？？
<0488> ？？

//<0489> 「俺が」
<0489> 「俺が」

//<0490> nothing
<0490> nothing

//<0491> nothing
<0491> nothing

//<0492> nothing
<0492> nothing

//<0493> nothing
<0493> nothing

//<0494> nothing
<0494> nothing

//<0495> ひさ子
<0495> ひさ子

//<0496> 「もう、あたしをからかってるようにしか思えねー…」
<0496> 「もう、あたしをからかってるようにしか思えねー…」

//<0497> 音無
<0497> 音無

//<0498> クソ坊主
<0498> クソ坊主

//<0499> 代理人
<0499> 代理人

//<0500> 微妙すぎるイケメン
<0500> 微妙すぎるイケメン

//<0501> ロリコン
<0501> ロリコン

//<0502> メガネ仲間
<0502> メガネ仲間

//<0503> 暗算日本記録保持者
<0503> 暗算日本記録保持者

//<0504> 通り魔
<0504> 通り魔

//<0505> 記憶ナシ男
<0505> 記憶ナシ男

//<0506> 音速
<0506> 音速

//<0507> 無限
<0507> 無限

//<0508> エロ侍
<0508> エロ侍

//<0509> エロエロ団ナンバー１
<0509> エロエロ団ナンバー１

//<0510> ただのエロ少年
<0510> ただのエロ少年

//<0511> ユリブサイク
<0511> ユリブサイク

//<0512> ドピュッシー
<0512> ドピュッシー

//<0513> アメリカンエロドッグ
<0513> アメリカンエロドッグ

//<0514> ゼウス
<0514> ゼウス

//<0515> 日向markⅡ
<0515> 日向markⅡ

//<0516> 糞虫
<0516> 糞虫

//<0517> 量産型日向
<0517> 量産型日向

//<0518> ？？
<0518> ？？

//<0519> 「そこをなんとか頼みます！」
<0519> 「そこをなんとか頼みます！」

//<0520> nothing
<0520> nothing

//<0521> nothing
<0521> nothing

//<0522> nothing
<0522> nothing

//<0523> nothing
<0523> nothing

//<0524> nothing
<0524> nothing

//<0525> ひさ子
<0525> ひさ子

//<0526> 「お、ま、え、な…」
<0526> 「お、ま、え、な…」

//<0527> 言葉が震えている。怒らせてしまったようだ。ひさ子が手を挙げたところで…。
<0527> 言葉が震えている。怒らせてしまったようだ。ひさ子が手を挙げたところで…。

//<0528> nothing
<0528> nothing

//<0529> nothing
<0529> nothing

//<0530> nothing
<0530> nothing

//<0531> nothing
<0531> nothing

//<0532> nothing
<0532> nothing

//<0533> nothing
<0533> nothing

//<0534> nothing
<0534> nothing

//<0535> nothing
<0535> nothing

//<0536> nothing
<0536> nothing

//<0537> nothing
<0537> nothing

//<0538> nothing
