// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 食べ物の話題
<0000> 食べ物の話題
//<0093> 「好物を目の前にすると、脳内でエンケファリンと呼ばれる化学物質が急増し、早くたくさん食べたいという衝動につながるんだ」
<0093> 「好物を目の前にすると、脳内でエンケファリンと呼ばれる化学物質が急増し、早くたくさん食べたいという衝動につながるんだ」

//<0094> 音無
<0094> 音無

//<0095> クソ坊主
<0095> クソ坊主

//<0096> 代理人
<0096> 代理人

//<0097> 微妙すぎるイケメン
<0097> 微妙すぎるイケメン

//<0098> ロリコン
<0098> ロリコン

//<0099> メガネ仲間
<0099> メガネ仲間

//<0100> 暗算日本記録保持者
<0100> 暗算日本記録保持者

//<0101> 通り魔
<0101> 通り魔

//<0102> 記憶ナシ男
<0102> 記憶ナシ男

//<0103> 音速
<0103> 音速

//<0104> 無限
<0104> 無限

//<0105> エロ侍
<0105> エロ侍

//<0106> エロエロ団ナンバー１
<0106> エロエロ団ナンバー１

//<0107> ただのエロ少年
<0107> ただのエロ少年

//<0108> ユリブサイク
<0108> ユリブサイク

//<0109> ドピュッシー
<0109> ドピュッシー

//<0110> アメリカンエロドッグ
<0110> アメリカンエロドッグ

//<0111> ゼウス
<0111> ゼウス

//<0112> 日向markⅡ
<0112> 日向markⅡ

//<0113> 糞虫
<0113> 糞虫

//<0114> 量産型日向
<0114> 量産型日向

//<0115> ？？
<0115> ？？

//<0116> 「ようは肥満になる」
<0116> 「ようは肥満になる」

//<0117> 音無
<0117> 音無

//<0118> クソ坊主
<0118> クソ坊主

//<0119> 代理人
<0119> 代理人

//<0120> 微妙すぎるイケメン
<0120> 微妙すぎるイケメン

//<0121> ロリコン
<0121> ロリコン

//<0122> メガネ仲間
<0122> メガネ仲間

//<0123> 暗算日本記録保持者
<0123> 暗算日本記録保持者

//<0124> 通り魔
<0124> 通り魔

//<0125> 記憶ナシ男
<0125> 記憶ナシ男

//<0126> 音速
<0126> 音速

//<0127> 無限
<0127> 無限

//<0128> エロ侍
<0128> エロ侍

//<0129> エロエロ団ナンバー１
<0129> エロエロ団ナンバー１

//<0130> ただのエロ少年
<0130> ただのエロ少年

//<0131> ユリブサイク
<0131> ユリブサイク

//<0132> ドピュッシー
<0132> ドピュッシー

//<0133> アメリカンエロドッグ
<0133> アメリカンエロドッグ

//<0134> ゼウス
<0134> ゼウス

//<0135> 日向markⅡ
<0135> 日向markⅡ

//<0136> 糞虫
<0136> 糞虫

//<0137> 量産型日向
<0137> 量産型日向

//<0138> ？？
<0138> ？？

//<0139> 「さらに早食いの人は満腹感を覚える前に食べ過ぎてしまう」
<0139> 「さらに早食いの人は満腹感を覚える前に食べ過ぎてしまう」

//<0140> 音無
<0140> 音無

//<0141> クソ坊主
<0141> クソ坊主

//<0142> 代理人
<0142> 代理人

//<0143> 微妙すぎるイケメン
<0143> 微妙すぎるイケメン

//<0144> ロリコン
<0144> ロリコン

//<0145> メガネ仲間
<0145> メガネ仲間

//<0146> 暗算日本記録保持者
<0146> 暗算日本記録保持者

//<0147> 通り魔
<0147> 通り魔

//<0148> 記憶ナシ男
<0148> 記憶ナシ男

//<0149> 音速
<0149> 音速

//<0150> 無限
<0150> 無限

//<0151> エロ侍
<0151> エロ侍

//<0152> エロエロ団ナンバー１
<0152> エロエロ団ナンバー１

//<0153> ただのエロ少年
<0153> ただのエロ少年

//<0154> ユリブサイク
<0154> ユリブサイク

//<0155> ドピュッシー
<0155> ドピュッシー

//<0156> アメリカンエロドッグ
<0156> アメリカンエロドッグ

//<0157> ゼウス
<0157> ゼウス

//<0158> 日向markⅡ
<0158> 日向markⅡ

//<0159> 糞虫
<0159> 糞虫

//<0160> 量産型日向
<0160> 量産型日向

//<0161> ？？
<0161> ？？

//<0162> 「さっき言ったエンケファリンは食べ始めた頃に増えるから、決して早食いをしてはならない」
<0162> 「さっき言ったエンケファリンは食べ始めた頃に増えるから、決して早食いをしてはならない」

//<0163> 音無
<0163> 音無

//<0164> クソ坊主
<0164> クソ坊主

//<0165> 代理人
<0165> 代理人

//<0166> 微妙すぎるイケメン
<0166> 微妙すぎるイケメン

//<0167> ロリコン
<0167> ロリコン

//<0168> メガネ仲間
<0168> メガネ仲間

//<0169> 暗算日本記録保持者
<0169> 暗算日本記録保持者

//<0170> 通り魔
<0170> 通り魔

//<0171> 記憶ナシ男
<0171> 記憶ナシ男

//<0172> 音速
<0172> 音速

//<0173> 無限
<0173> 無限

//<0174> エロ侍
<0174> エロ侍

//<0175> エロエロ団ナンバー１
<0175> エロエロ団ナンバー１

//<0176> ただのエロ少年
<0176> ただのエロ少年

//<0177> ユリブサイク
<0177> ユリブサイク

//<0178> ドピュッシー
<0178> ドピュッシー

//<0179> アメリカンエロドッグ
<0179> アメリカンエロドッグ

//<0180> ゼウス
<0180> ゼウス

//<0181> 日向markⅡ
<0181> 日向markⅡ

//<0182> 糞虫
<0182> 糞虫

//<0183> 量産型日向
<0183> 量産型日向

//<0184> ？？
<0184> ？？

//<0185> 「岩沢は早食いするタイプか？」
<0185> 「岩沢は早食いするタイプか？」

//<0186> nothing
<0186> nothing

//<0187> nothing
<0187> nothing

//<0188> nothing
<0188> nothing

//<0189> nothing
<0189> nothing

//<0190> nothing
<0190> nothing

//<0191> 岩沢
<0191> 岩沢

//<0192> 「いや、そもそも食べることに興味はないから、あんたが心配するような肥満にはならないよ」
<0192> 「いや、そもそも食べることに興味はないから、あんたが心配するような肥満にはならないよ」

//<0193> この話題は無駄だったか…。
<0193> この話題は無駄だったか…。

//<0194> nothing
<0194> nothing

//<0195> nothing
<0195> nothing

//<0196> nothing
<0196> nothing

//<0197> nothing
<0197> nothing

//<0198> nothing
<0198> nothing

//<0199> 岩沢
<0199> 岩沢

//<0200> 「でも、あんた賢いんだな。さっき言ってた物質の名前、すでにあたし忘れてるぜ」
<0200> 「でも、あんた賢いんだな。さっき言ってた物質の名前、すでにあたし忘れてるぜ」

//<0201> 一応、感心してもらえてるようだ。
<0201> 一応、感心してもらえてるようだ。

//<0202> ちょっとした手応えが得られた。
<0202> ちょっとした手応えが得られた。

//<0203> nothing
<0203> nothing

//<0204> nothing
<0204> nothing

//<0205> nothing
<0205> nothing

//<0206> nothing
<0206> nothing

//<0207> nothing
<0207> nothing

//<0208> nothing
<0208> nothing

//<0209> 今日のところは、このくらいにしておこう。
<0209> 今日のところは、このくらいにしておこう。

//<0210> 音の脅威に関してだ。
<0210> 音の脅威に関してだ。

//<0211> 音無
<0211> 音無

//<0212> クソ坊主
<0212> クソ坊主

//<0213> 代理人
<0213> 代理人

//<0214> 微妙すぎるイケメン
<0214> 微妙すぎるイケメン

//<0215> ロリコン
<0215> ロリコン

//<0216> メガネ仲間
<0216> メガネ仲間

//<0217> 暗算日本記録保持者
<0217> 暗算日本記録保持者

//<0218> 通り魔
<0218> 通り魔

//<0219> 記憶ナシ男
<0219> 記憶ナシ男

//<0220> 音速
<0220> 音速

//<0221> 無限
<0221> 無限

//<0222> エロ侍
<0222> エロ侍

//<0223> エロエロ団ナンバー１
<0223> エロエロ団ナンバー１

//<0224> ただのエロ少年
<0224> ただのエロ少年

//<0225> ユリブサイク
<0225> ユリブサイク

//<0226> ドピュッシー
<0226> ドピュッシー

//<0227> アメリカンエロドッグ
<0227> アメリカンエロドッグ

//<0228> ゼウス
<0228> ゼウス

//<0229> 日向markⅡ
<0229> 日向markⅡ

//<0230> 糞虫
<0230> 糞虫

//<0231> 量産型日向
<0231> 量産型日向

//<0232> ？？
<0232> ？？

//<0233> 「音ってのは時に凶器になる」
<0233> 「音ってのは時に凶器になる」

//<0234> nothing
<0234> nothing

//<0235> nothing
<0235> nothing

//<0236> nothing
<0236> nothing

//<0237> nothing
<0237> nothing

//<0238> nothing
<0238> nothing

//<0239> 岩沢
<0239> 岩沢

//<0240> 「え？　そうなの？」
<0240> 「え？　そうなの？」

//<0241> 音無
<0241> 音無

//<0242> クソ坊主
<0242> クソ坊主

//<0243> 代理人
<0243> 代理人

//<0244> 微妙すぎるイケメン
<0244> 微妙すぎるイケメン

//<0245> ロリコン
<0245> ロリコン

//<0246> メガネ仲間
<0246> メガネ仲間

//<0247> 暗算日本記録保持者
<0247> 暗算日本記録保持者

//<0248> 通り魔
<0248> 通り魔

//<0249> 記憶ナシ男
<0249> 記憶ナシ男

//<0250> 音速
<0250> 音速

//<0251> 無限
<0251> 無限

//<0252> エロ侍
<0252> エロ侍

//<0253> エロエロ団ナンバー１
<0253> エロエロ団ナンバー１

//<0254> ただのエロ少年
<0254> ただのエロ少年

//<0255> ユリブサイク
<0255> ユリブサイク

//<0256> ドピュッシー
<0256> ドピュッシー

//<0257> アメリカンエロドッグ
<0257> アメリカンエロドッグ

//<0258> ゼウス
<0258> ゼウス

//<0259> 日向markⅡ
<0259> 日向markⅡ

//<0260> 糞虫
<0260> 糞虫

//<0261> 量産型日向
<0261> 量産型日向

//<0262> ？？
<0262> ？？

//<0263> 「ああ。例えばあんたのライブだったら、そうだな…１２０デシベルぐらい」
<0263> 「ああ。例えばあんたのライブだったら、そうだな…１２０デシベルぐらい」

//<0264> nothing
<0264> nothing

//<0265> nothing
<0265> nothing

//<0266> nothing
<0266> nothing

//<0267> nothing
<0267> nothing

//<0268> nothing
<0268> nothing

//<0269> 岩沢
<0269> 岩沢

//<0270> 「デシベル…
<0270> 「デシベル…

//<0271> DEATH
<0271> DEATH

//<0272> する、と聞こえるぐらい恐いな…」
<0272> する、と聞こえるぐらい恐いな…」

//<0273> nothing
<0273> nothing

//<0274> nothing
<0274> nothing

//<0275> nothing
<0275> nothing

//<0276> nothing
<0276> nothing

//<0277> nothing
<0277> nothing

//<0278> 岩沢
<0278> 岩沢

//<0279> 「それはなんの単位なんだい」
<0279> 「それはなんの単位なんだい」

//<0280> 音無
<0280> 音無

//<0281> クソ坊主
<0281> クソ坊主

//<0282> 代理人
<0282> 代理人

//<0283> 微妙すぎるイケメン
<0283> 微妙すぎるイケメン

//<0284> ロリコン
<0284> ロリコン

//<0285> メガネ仲間
<0285> メガネ仲間

//<0286> 暗算日本記録保持者
<0286> 暗算日本記録保持者

//<0287> 通り魔
<0287> 通り魔

//<0288> 記憶ナシ男
<0288> 記憶ナシ男

//<0289> 音速
<0289> 音速

//<0290> 無限
<0290> 無限

//<0291> エロ侍
<0291> エロ侍

//<0292> エロエロ団ナンバー１
<0292> エロエロ団ナンバー１

//<0293> ただのエロ少年
<0293> ただのエロ少年

//<0294> ユリブサイク
<0294> ユリブサイク

//<0295> ドピュッシー
<0295> ドピュッシー

//<0296> アメリカンエロドッグ
<0296> アメリカンエロドッグ

//<0297> ゼウス
<0297> ゼウス

//<0298> 日向markⅡ
<0298> 日向markⅡ

//<0299> 糞虫
<0299> 糞虫

//<0300> 量産型日向
<0300> 量産型日向

//<0301> ？？
<0301> ？？

//<0302> 「音で言うなら音圧のレベルだ」
<0302> 「音で言うなら音圧のレベルだ」

//<0303> nothing
<0303> nothing

//<0304> nothing
<0304> nothing

//<0305> nothing
<0305> nothing

//<0306> nothing
<0306> nothing

//<0307> nothing
<0307> nothing

//<0308> 岩沢
<0308> 岩沢

//<0309> 「へぇ…知らなかった。あたしたちは１２０デシベルで演奏していたのか」
<0309> 「へぇ…知らなかった。あたしたちは１２０デシベルで演奏していたのか」

//<0310> 音無
<0310> 音無

//<0311> クソ坊主
<0311> クソ坊主

//<0312> 代理人
<0312> 代理人

//<0313> 微妙すぎるイケメン
<0313> 微妙すぎるイケメン

//<0314> ロリコン
<0314> ロリコン

//<0315> メガネ仲間
<0315> メガネ仲間

//<0316> 暗算日本記録保持者
<0316> 暗算日本記録保持者

//<0317> 通り魔
<0317> 通り魔

//<0318> 記憶ナシ男
<0318> 記憶ナシ男

//<0319> 音速
<0319> 音速

//<0320> 無限
<0320> 無限

//<0321> エロ侍
<0321> エロ侍

//<0322> エロエロ団ナンバー１
<0322> エロエロ団ナンバー１

//<0323> ただのエロ少年
<0323> ただのエロ少年

//<0324> ユリブサイク
<0324> ユリブサイク

//<0325> ドピュッシー
<0325> ドピュッシー

//<0326> アメリカンエロドッグ
<0326> アメリカンエロドッグ

//<0327> ゼウス
<0327> ゼウス

//<0328> 日向markⅡ
<0328> 日向markⅡ

//<0329> 糞虫
<0329> 糞虫

//<0330> 量産型日向
<0330> 量産型日向

//<0331> ？？
<0331> ？？

//<0332> 「クラシックのコンサートもそれぐらいだ。でもそのへんで止めておいたほうがいい」
<0332> 「クラシックのコンサートもそれぐらいだ。でもそのへんで止めておいたほうがいい」

//<0333> nothing
<0333> nothing

//<0334> nothing
<0334> nothing

//<0335> nothing
<0335> nothing

//<0336> nothing
<0336> nothing

//<0337> nothing
<0337> nothing

//<0338> 岩沢
<0338> 岩沢

//<0339> 「どういう意味だ？」
<0339> 「どういう意味だ？」

//<0340> 音無
<0340> 音無

//<0341> クソ坊主
<0341> クソ坊主

//<0342> 代理人
<0342> 代理人

//<0343> 微妙すぎるイケメン
<0343> 微妙すぎるイケメン

//<0344> ロリコン
<0344> ロリコン

//<0345> メガネ仲間
<0345> メガネ仲間

//<0346> 暗算日本記録保持者
<0346> 暗算日本記録保持者

//<0347> 通り魔
<0347> 通り魔

//<0348> 記憶ナシ男
<0348> 記憶ナシ男

//<0349> 音速
<0349> 音速

//<0350> 無限
<0350> 無限

//<0351> エロ侍
<0351> エロ侍

//<0352> エロエロ団ナンバー１
<0352> エロエロ団ナンバー１

//<0353> ただのエロ少年
<0353> ただのエロ少年

//<0354> ユリブサイク
<0354> ユリブサイク

//<0355> ドピュッシー
<0355> ドピュッシー

//<0356> アメリカンエロドッグ
<0356> アメリカンエロドッグ

//<0357> ゼウス
<0357> ゼウス

//<0358> 日向markⅡ
<0358> 日向markⅡ

//<0359> 糞虫
<0359> 糞虫

//<0360> 量産型日向
<0360> 量産型日向

//<0361> ？？
<0361> ？？

//<0362> 「１３０デシベルを越えると、人は音を痛みとしか感じなくなる。耳に直撃したら、鼓膜が破ける」
<0362> 「１３０デシベルを越えると、人は音を痛みとしか感じなくなる。耳に直撃したら、鼓膜が破ける」

//<0363> nothing
<0363> nothing

//<0364> nothing
<0364> nothing

//<0365> nothing
<0365> nothing

//<0366> nothing
<0366> nothing

//<0367> nothing
<0367> nothing

//<0368> 岩沢
<0368> 岩沢
{7899} 33 // 0368

//<0369> 「すごいな…まさに凶器だ…。いつひさ子は人を
<0369> 「すごいな…まさに凶器だ…。いつひさ子は人を

//<0370> DEATH
<0370> DEATH

//<0371> してしまうかわからない、ということか…」
<0371> してしまうかわからない、ということか…」

//<0372> nothing
<0372> nothing

//<0373> nothing
<0373> nothing

//<0374> nothing
<0374> nothing

//<0375> nothing
<0375> nothing

//<0376> nothing
<0376> nothing

//<0377> nothing
<0377> nothing

//<0378> nothing
<0378> nothing

//<0379> nothing
<0379> nothing

//<0380> nothing
<0380> nothing

//<0381> nothing
<0381> nothing

//<0382> 岩沢
<0382> 岩沢

//<0383> 「１３０デススルに達さないよう気を付けるよ」
<0383> 「１３０デススルに達さないよう気を付けるよ」

//<0384> 音無
<0384> 音無

//<0385> クソ坊主
<0385> クソ坊主

//<0386> 代理人
<0386> 代理人

//<0387> 微妙すぎるイケメン
<0387> 微妙すぎるイケメン

//<0388> ロリコン
<0388> ロリコン

//<0389> メガネ仲間
<0389> メガネ仲間

//<0390> 暗算日本記録保持者
<0390> 暗算日本記録保持者

//<0391> 通り魔
<0391> 通り魔

//<0392> 記憶ナシ男
<0392> 記憶ナシ男

//<0393> 音速
<0393> 音速

//<0394> 無限
<0394> 無限

//<0395> エロ侍
<0395> エロ侍

//<0396> エロエロ団ナンバー１
<0396> エロエロ団ナンバー１

//<0397> ただのエロ少年
<0397> ただのエロ少年

//<0398> ユリブサイク
<0398> ユリブサイク

//<0399> ドピュッシー
<0399> ドピュッシー

//<0400> アメリカンエロドッグ
<0400> アメリカンエロドッグ

//<0401> ゼウス
<0401> ゼウス

//<0402> 日向markⅡ
<0402> 日向markⅡ

//<0403> 糞虫
<0403> 糞虫

//<0404> 量産型日向
<0404> 量産型日向

//<0405> ？？
<0405> ？？

//<0406> 「デシベルな」
<0406> 「デシベルな」

//<0407> nothing
<0407> nothing

//<0408> nothing
<0408> nothing

//<0409> nothing
<0409> nothing

//<0410> nothing
<0410> nothing

//<0411> nothing
<0411> nothing

//<0412> 岩沢
<0412> 岩沢

//<0413> 「ああ、デシベルな。とても意義のある話だった。サンクス」
<0413> 「ああ、デシベルな。とても意義のある話だった。サンクス」

//<0414> nothing
<0414> nothing

//<0415> nothing
<0415> nothing

//<0416> nothing
<0416> nothing

//<0417> nothing
<0417> nothing

//<0418> nothing
<0418> nothing

//<0419> nothing
<0419> nothing

//<0420> よかった。岩沢に興味のある話ができたようだ。
<0420> よかった。岩沢に興味のある話ができたようだ。

//<0421> 今日はこのくらいにしておこう。
<0421> 今日はこのくらいにしておこう。

//<0422> こんな話はどうだろう。
<0422> こんな話はどうだろう。

//<0423> 音無
<0423> 音無

//<0424> クソ坊主
<0424> クソ坊主

//<0425> 代理人
<0425> 代理人

//<0426> 微妙すぎるイケメン
<0426> 微妙すぎるイケメン

//<0427> ロリコン
<0427> ロリコン

//<0428> メガネ仲間
<0428> メガネ仲間

//<0429> 暗算日本記録保持者
<0429> 暗算日本記録保持者

//<0430> 通り魔
<0430> 通り魔

//<0431> 記憶ナシ男
<0431> 記憶ナシ男

//<0432> 音速
<0432> 音速

//<0433> 無限
<0433> 無限

//<0434> エロ侍
<0434> エロ侍

//<0435> エロエロ団ナンバー１
<0435> エロエロ団ナンバー１

//<0436> ただのエロ少年
<0436> ただのエロ少年

//<0437> ユリブサイク
<0437> ユリブサイク

//<0438> ドピュッシー
<0438> ドピュッシー

//<0439> アメリカンエロドッグ
<0439> アメリカンエロドッグ

//<0440> ゼウス
<0440> ゼウス

//<0441> 日向markⅡ
<0441> 日向markⅡ

//<0442> 糞虫
<0442> 糞虫

//<0443> 量産型日向
<0443> 量産型日向

//<0444> ？？
<0444> ？？

//<0445> 「鼻水は普通の人だったら誰でも、一日で１リットル以上も作られるんだ」
<0445> 「鼻水は普通の人だったら誰でも、一日で１リットル以上も作られるんだ」

//<0446> nothing
<0446> nothing

//<0447> nothing
<0447> nothing

//<0448> nothing
<0448> nothing

//<0449> nothing
<0449> nothing

//<0450> nothing
<0450> nothing

//<0451> 岩沢
<0451> 岩沢

//<0452> 「待てよ。おならに続いて、鼻水かい」
<0452> 「待てよ。おならに続いて、鼻水かい」

//<0453> 音無
<0453> 音無

//<0454> クソ坊主
<0454> クソ坊主

//<0455> 代理人
<0455> 代理人

//<0456> 微妙すぎるイケメン
<0456> 微妙すぎるイケメン

//<0457> ロリコン
<0457> ロリコン

//<0458> メガネ仲間
<0458> メガネ仲間

//<0459> 暗算日本記録保持者
<0459> 暗算日本記録保持者

//<0460> 通り魔
<0460> 通り魔

//<0461> 記憶ナシ男
<0461> 記憶ナシ男

//<0462> 音速
<0462> 音速

//<0463> 無限
<0463> 無限

//<0464> エロ侍
<0464> エロ侍

//<0465> エロエロ団ナンバー１
<0465> エロエロ団ナンバー１

//<0466> ただのエロ少年
<0466> ただのエロ少年

//<0467> ユリブサイク
<0467> ユリブサイク

//<0468> ドピュッシー
<0468> ドピュッシー

//<0469> アメリカンエロドッグ
<0469> アメリカンエロドッグ

//<0470> ゼウス
<0470> ゼウス

//<0471> 日向markⅡ
<0471> 日向markⅡ

//<0472> 糞虫
<0472> 糞虫

//<0473> 量産型日向
<0473> 量産型日向

//<0474> ？？
<0474> ？？

//<0475> 「ああ」
<0475> 「ああ」

//<0476> nothing
<0476> nothing

//<0477> nothing
<0477> nothing

//<0478> nothing
<0478> nothing

//<0479> nothing
<0479> nothing

//<0480> nothing
<0480> nothing

//<0481> 岩沢
<0481> 岩沢

//<0482> 「だから、そんな話を聞くのはごめんだ。出て行ってくれないかな」
<0482> 「だから、そんな話を聞くのはごめんだ。出て行ってくれないかな」

//<0483> え…。
<0483> え…。

//<0484> そう言われると、そうするしかなかった…。
<0484> そう言われると、そうするしかなかった…。

//<0485> nothing
<0485> nothing

//<0486> nothing
<0486> nothing

//<0487> nothing
<0487> nothing

//<0488> nothing
<0488> nothing

//<0489> nothing
<0489> nothing

//<0490> nothing
<0490> nothing

//<0491> 岩沢の興味をひく話ができなかったようだ…。
<0491> 岩沢の興味をひく話ができなかったようだ…。

//<0492> nothing
<0492> nothing

//<0493> nothing
<0493> nothing

//<0494> nothing
<0494> nothing

//<0495> nothing
<0495> nothing

//<0496> nothing
<0496> nothing

//<0497> 岩沢
<0497> 岩沢

//<0498> 「いきなりすごい話をするんだな」
<0498> 「いきなりすごい話をするんだな」

//<0499> 音無
<0499> 音無

//<0500> クソ坊主
<0500> クソ坊主

//<0501> 代理人
<0501> 代理人

//<0502> 微妙すぎるイケメン
<0502> 微妙すぎるイケメン

//<0503> ロリコン
<0503> ロリコン

//<0504> メガネ仲間
<0504> メガネ仲間

//<0505> 暗算日本記録保持者
<0505> 暗算日本記録保持者

//<0506> 通り魔
<0506> 通り魔

//<0507> 記憶ナシ男
<0507> 記憶ナシ男

//<0508> 音速
<0508> 音速

//<0509> 無限
<0509> 無限

//<0510> エロ侍
<0510> エロ侍

//<0511> エロエロ団ナンバー１
<0511> エロエロ団ナンバー１

//<0512> ただのエロ少年
<0512> ただのエロ少年

//<0513> ユリブサイク
<0513> ユリブサイク

//<0514> ドピュッシー
<0514> ドピュッシー

//<0515> アメリカンエロドッグ
<0515> アメリカンエロドッグ

//<0516> ゼウス
<0516> ゼウス

//<0517> 日向markⅡ
<0517> 日向markⅡ

//<0518> 糞虫
<0518> 糞虫

//<0519> 量産型日向
<0519> 量産型日向

//<0520> ？？
<0520> ？？

//<0521> 「まあ、１リットルと言ってもそれが全部鼻水として鼻から出てくるわけじゃない」
<0521> 「まあ、１リットルと言ってもそれが全部鼻水として鼻から出てくるわけじゃない」

//<0522> nothing
<0522> nothing

//<0523> nothing
<0523> nothing

//<0524> nothing
<0524> nothing

//<0525> nothing
<0525> nothing

//<0526> nothing
<0526> nothing

//<0527> 岩沢
<0527> 岩沢

//<0528> 「だろうな」
