// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 傾斜がかった、森へ踏み入る。
<0000> 傾斜がかった、森へ踏み入る。
<0126> ホモ太

//<0127> ひなチン
<0127> ひなチン

//<0128> 秀樹
<0128> 秀樹

//<0129> 男子生徒
<0129> 男子生徒

//<0130> ？？
<0130> ？？

//<0131> 「ああ、それだ」
<0131> 「ああ、それだ」

//<0132> nothing
<0132> nothing

//<0133> nothing
<0133> nothing

//<0134> nothing
<0134> nothing

//<0135> nothing
<0135> nothing

//<0136> nothing
<0136> nothing

//<0137> 松下
<0137> 松下

//<0138> 「新入りの暗算日本記録保持者か」
<0138> 「新入りの暗算日本記録保持者か」

//<0139> nothing
<0139> nothing

//<0140> nothing
<0140> nothing

//<0141> nothing
<0141> nothing

//<0142> nothing
<0142> nothing

//<0143> nothing
<0143> nothing

//<0144> 松下
<0144> 松下

//<0145> 「新入りの、えーと…通り魔か」
<0145> 「新入りの、えーと…通り魔か」

//<0146> そんな奴が新入りでいいのだろうか…。
<0146> そんな奴が新入りでいいのだろうか…。

//<0147> nothing
<0147> nothing

//<0148> nothing
<0148> nothing

//<0149> nothing
<0149> nothing

//<0150> nothing
<0150> nothing

//<0151> nothing
<0151> nothing

//<0152> 松下
<0152> 松下

//<0153> 「新入りの、えーと…記憶ナシ男か」
<0153> 「新入りの、えーと…記憶ナシ男か」

//<0154> nothing
<0154> nothing

//<0155> nothing
<0155> nothing

//<0156> nothing
<0156> nothing

//<0157> nothing
<0157> nothing

//<0158> nothing
<0158> nothing

//<0159> 松下
<0159> 松下

//<0160> 「新入りの、えーと…音速か」
<0160> 「新入りの、えーと…音速か」

//<0161> nothing
<0161> nothing

//<0162> nothing
<0162> nothing

//<0163> nothing
<0163> nothing

//<0164> nothing
<0164> nothing

//<0165> nothing
<0165> nothing

//<0166> 松下
<0166> 松下

//<0167> 「新入りの、えーと…音無か」
<0167> 「新入りの、えーと…音無か」

//<0168> nothing
<0168> nothing

//<0169> nothing
<0169> nothing

//<0170> nothing
<0170> nothing

//<0171> nothing
<0171> nothing

//<0172> nothing
<0172> nothing

//<0173> 松下
<0173> 松下

//<0174> 「新入りの、えーと…無限か」
<0174> 「新入りの、えーと…無限か」

//<0175> 音無
<0175> 音無

//<0176> クソ坊主
<0176> クソ坊主

//<0177> 代理人
<0177> 代理人

//<0178> 微妙すぎるイケメン
<0178> 微妙すぎるイケメン

//<0179> ロリコン
<0179> ロリコン

//<0180> メガネ仲間
<0180> メガネ仲間

//<0181> 暗算日本記録保持者
<0181> 暗算日本記録保持者

//<0182> 通り魔
<0182> 通り魔

//<0183> 記憶ナシ男
<0183> 記憶ナシ男

//<0184> 音速
<0184> 音速

//<0185> 無限
<0185> 無限

//<0186> エロ侍
<0186> エロ侍

//<0187> エロエロ団ナンバー１
<0187> エロエロ団ナンバー１

//<0188> ただのエロ少年
<0188> ただのエロ少年

//<0189> ユリブサイク
<0189> ユリブサイク

//<0190> ドピュッシー
<0190> ドピュッシー

//<0191> アメリカンエロドッグ
<0191> アメリカンエロドッグ

//<0192> ゼウス
<0192> ゼウス

//<0193> 日向markⅡ
<0193> 日向markⅡ

//<0194> 糞虫
<0194> 糞虫

//<0195> 量産型日向
<0195> 量産型日向

//<0196> ？？
<0196> ？？

//<0197> 「ああ」
<0197> 「ああ」

//<0198> nothing
<0198> nothing

//<0199> nothing
<0199> nothing

//<0200> nothing
<0200> nothing

//<0201> nothing
<0201> nothing

//<0202> nothing
<0202> nothing

//<0203> 松下
<0203> 松下

//<0204> 「なら、乱取りをしよう」
<0204> 「なら、乱取りをしよう」

//<0205> 人の声のようなものが聞こえた。
<0205> 人の声のようなものが聞こえた。

//<0206> 耳を澄ましてみる。
<0206> 耳を澄ましてみる。

//<0207> …ひゃくじゅうさん！　…ひゃくじゅうよん！
<0207> …ひゃくじゅうさん！　…ひゃくじゅうよん！

//<0208> 数を数えているようだ…。
<0208> 数を数えているようだ…。

//<0209> こんな森で何をしているんだろう…。
<0209> こんな森で何をしているんだろう…。

//<0210> その声が聞こえるほうへ歩いていく。
<0210> その声が聞こえるほうへ歩いていく。

//<0211> ぽっかりと開けた場所に出た。
<0211> ぽっかりと開けた場所に出た。

//<0212> nothing
<0212> nothing

//<0213> nothing
<0213> nothing

//<0214> nothing
<0214> nothing

//<0215> nothing
<0215> nothing

//<0216> nothing
<0216> nothing

//<0217> そこに居たのは、木を相手に打ち込みをする松下五段だった。
<0217> そこに居たのは、木を相手に打ち込みをする松下五段だった。

//<0218> 戦線の制服ではなく、柔道着姿だ。
<0218> 戦線の制服ではなく、柔道着姿だ。

//<0219> nothing
<0219> nothing

//<0220> nothing
<0220> nothing

//<0221> nothing
<0221> nothing

//<0222> nothing
<0222> nothing

//<0223> nothing
<0223> nothing

//<0224> 松下
<0224> 松下

//<0225> 「ひゃくにじゅうご！　ひゃくにじゅうろく！」
<0225> 「ひゃくにじゅうご！　ひゃくにじゅうろく！」

//<0226> 音無
<0226> 音無

//<0227> クソ坊主
<0227> クソ坊主

//<0228> 代理人
<0228> 代理人

//<0229> 微妙すぎるイケメン
<0229> 微妙すぎるイケメン

//<0230> ロリコン
<0230> ロリコン

//<0231> メガネ仲間
<0231> メガネ仲間

//<0232> 暗算日本記録保持者
<0232> 暗算日本記録保持者

//<0233> 通り魔
<0233> 通り魔

//<0234> 記憶ナシ男
<0234> 記憶ナシ男

//<0235> 音速
<0235> 音速

//<0236> 無限
<0236> 無限

//<0237> エロ侍
<0237> エロ侍

//<0238> エロエロ団ナンバー１
<0238> エロエロ団ナンバー１

//<0239> ただのエロ少年
<0239> ただのエロ少年

//<0240> ユリブサイク
<0240> ユリブサイク

//<0241> ドピュッシー
<0241> ドピュッシー

//<0242> アメリカンエロドッグ
<0242> アメリカンエロドッグ

//<0243> ゼウス
<0243> ゼウス

//<0244> 日向markⅡ
<0244> 日向markⅡ

//<0245> 糞虫
<0245> 糞虫

//<0246> 量産型日向
<0246> 量産型日向

//<0247> ？？
<0247> ？？

//<0248> 「あのー…ちわーっす」
<0248> 「あのー…ちわーっす」

//<0249> なんて声をかけていいかわからず、妙な挨拶をしてしまう。
<0249> なんて声をかけていいかわからず、妙な挨拶をしてしまう。

//<0250> nothing
<0250> nothing

//<0251> nothing
<0251> nothing

//<0252> nothing
<0252> nothing

//<0253> nothing
<0253> nothing

//<0254> nothing
<0254> nothing

//<0255> 松下
<0255> 松下

//<0256> 「む…？」
<0256> 「む…？」

//<0257> 俺の声に気づいてくれた。
<0257> 俺の声に気づいてくれた。

//<0258> nothing
<0258> nothing

//<0259> nothing
<0259> nothing

//<0260> nothing
<0260> nothing

//<0261> nothing
<0261> nothing

//<0262> nothing
<0262> nothing

//<0263> 松下
<0263> 松下

//<0264> 「新入りの、えーと…クソ坊主か」
<0264> 「新入りの、えーと…クソ坊主か」

//<0265> nothing
<0265> nothing

//<0266> nothing
<0266> nothing

//<0267> nothing
<0267> nothing

//<0268> nothing
<0268> nothing

//<0269> nothing
<0269> nothing

//<0270> 松下
<0270> 松下

//<0271> 「新入りの、えーと…代理人か」
<0271> 「新入りの、えーと…代理人か」

//<0272> nothing
<0272> nothing

//<0273> nothing
<0273> nothing

//<0274> nothing
<0274> nothing

//<0275> nothing
<0275> nothing

//<0276> nothing
<0276> nothing

//<0277> 松下
<0277> 松下

//<0278> 「新入りの、えーと…微妙すぎるイケメンか」
<0278> 「新入りの、えーと…微妙すぎるイケメンか」

//<0279> nothing
<0279> nothing

//<0280> nothing
<0280> nothing

//<0281> nothing
<0281> nothing

//<0282> nothing
<0282> nothing

//<0283> nothing
<0283> nothing

//<0284> 松下
<0284> 松下

//<0285> 「新入りの、えーと…ロリコンか」
<0285> 「新入りの、えーと…ロリコンか」

//<0286> nothing
<0286> nothing

//<0287> nothing
<0287> nothing

//<0288> nothing
<0288> nothing

//<0289> nothing
<0289> nothing

//<0290> nothing
<0290> nothing

//<0291> 松下
<0291> 松下

//<0292> 「新入りの、えーと…メガネ仲間か」
<0292> 「新入りの、えーと…メガネ仲間か」

//<0293> nothing
<0293> nothing

//<0294> nothing
<0294> nothing

//<0295> nothing
<0295> nothing

//<0296> nothing
<0296> nothing

//<0297> nothing
<0297> nothing

//<0298> 松下
<0298> 松下

//<0299> 「新入りの、えーと…えーーーと…」
<0299> 「新入りの、えーと…えーーーと…」

//<0300> 音無
<0300> 音無

//<0301> クソ坊主
<0301> クソ坊主

//<0302> 代理人
<0302> 代理人

//<0303> 微妙すぎるイケメン
<0303> 微妙すぎるイケメン

//<0304> ロリコン
<0304> ロリコン

//<0305> メガネ仲間
<0305> メガネ仲間

//<0306> 暗算日本記録保持者
<0306> 暗算日本記録保持者

//<0307> 通り魔
<0307> 通り魔

//<0308> 記憶ナシ男
<0308> 記憶ナシ男

//<0309> 音速
<0309> 音速

//<0310> 無限
<0310> 無限

//<0311> エロ侍
<0311> エロ侍

//<0312> エロエロ団ナンバー１
<0312> エロエロ団ナンバー１

//<0313> ただのエロ少年
<0313> ただのエロ少年

//<0314> ユリブサイク
<0314> ユリブサイク

//<0315> ドピュッシー
<0315> ドピュッシー

//<0316> アメリカンエロドッグ
<0316> アメリカンエロドッグ

//<0317> ゼウス
<0317> ゼウス

//<0318> 日向markⅡ
<0318> 日向markⅡ

//<0319> 糞虫
<0319> 糞虫

//<0320> 量産型日向
<0320> 量産型日向

//<0321> ？？
<0321> ？？

//<0322> 「暗算日本記録保持者」
<0322> 「暗算日本記録保持者」

//<0323> nothing
<0323> nothing

//<0324> nothing
<0324> nothing

//<0325> nothing
<0325> nothing

//<0326> nothing
<0326> nothing

//<0327> nothing
<0327> nothing

//<0328> 松下
<0328> 松下

//<0329> 「そう、新入りの暗算日本記録保持者か」
<0329> 「そう、新入りの暗算日本記録保持者か」

//<0330> nothing
<0330> nothing

//<0331> nothing
<0331> nothing

//<0332> nothing
<0332> nothing

//<0333> nothing
<0333> nothing

//<0334> nothing
<0334> nothing

//<0335> 松下
<0335> 松下

//<0336> 「新入りの、えーと…通り魔か」
<0336> 「新入りの、えーと…通り魔か」

//<0337> nothing
<0337> nothing

//<0338> nothing
<0338> nothing

//<0339> nothing
<0339> nothing

//<0340> nothing
<0340> nothing

//<0341> nothing
<0341> nothing

//<0342> 松下
<0342> 松下

//<0343> 「新入りの、えーと…記憶ナシ男か」
<0343> 「新入りの、えーと…記憶ナシ男か」

//<0344> nothing
<0344> nothing

//<0345> nothing
<0345> nothing

//<0346> nothing
<0346> nothing

//<0347> nothing
<0347> nothing

//<0348> nothing
<0348> nothing

//<0349> 松下
<0349> 松下

//<0350> 「新入りの、えーと…音速か」
<0350> 「新入りの、えーと…音速か」

//<0351> nothing
<0351> nothing

//<0352> nothing
<0352> nothing

//<0353> nothing
<0353> nothing

//<0354> nothing
<0354> nothing

//<0355> nothing
<0355> nothing

//<0356> 松下
<0356> 松下

//<0357> 「新入りの、えーと…無限か」
<0357> 「新入りの、えーと…無限か」

//<0358> nothing
<0358> nothing

//<0359> nothing
<0359> nothing

//<0360> nothing
<0360> nothing

//<0361> nothing
<0361> nothing

//<0362> nothing
<0362> nothing

//<0363> 松下
<0363> 松下

//<0364> 「新入りの、えーと…音無か」
<0364> 「新入りの、えーと…音無か」

//<0365> 音無
<0365> 音無

//<0366> クソ坊主
<0366> クソ坊主

//<0367> 代理人
<0367> 代理人

//<0368> 微妙すぎるイケメン
<0368> 微妙すぎるイケメン

//<0369> ロリコン
<0369> ロリコン

//<0370> メガネ仲間
<0370> メガネ仲間

//<0371> 暗算日本記録保持者
<0371> 暗算日本記録保持者

//<0372> 通り魔
<0372> 通り魔

//<0373> 記憶ナシ男
<0373> 記憶ナシ男

//<0374> 音速
<0374> 音速

//<0375> 無限
<0375> 無限

//<0376> エロ侍
<0376> エロ侍

//<0377> エロエロ団ナンバー１
<0377> エロエロ団ナンバー１

//<0378> ただのエロ少年
<0378> ただのエロ少年

//<0379> ユリブサイク
<0379> ユリブサイク

//<0380> ドピュッシー
<0380> ドピュッシー

//<0381> アメリカンエロドッグ
<0381> アメリカンエロドッグ

//<0382> ゼウス
<0382> ゼウス

//<0383> 日向markⅡ
<0383> 日向markⅡ

//<0384> 糞虫
<0384> 糞虫

//<0385> 量産型日向
<0385> 量産型日向

//<0386> ？？
<0386> ？？

//<0387> 「いや、今の俺はただのエロ少年だ」
<0387> 「いや、今の俺はただのエロ少年だ」

//<0388> nothing
<0388> nothing

//<0389> nothing
<0389> nothing

//<0390> nothing
<0390> nothing

//<0391> nothing
<0391> nothing

//<0392> nothing
<0392> nothing

//<0393> 松下
<0393> 松下

//<0394> 「む？　意味がわからん」
<0394> 「む？　意味がわからん」

//<0395> 音無
<0395> 音無

//<0396> クソ坊主
<0396> クソ坊主

//<0397> 代理人
<0397> 代理人

//<0398> 微妙すぎるイケメン
<0398> 微妙すぎるイケメン

//<0399> ロリコン
<0399> ロリコン

//<0400> メガネ仲間
<0400> メガネ仲間

//<0401> 暗算日本記録保持者
<0401> 暗算日本記録保持者

//<0402> 通り魔
<0402> 通り魔

//<0403> 記憶ナシ男
<0403> 記憶ナシ男

//<0404> 音速
<0404> 音速

//<0405> 無限
<0405> 無限

//<0406> エロ侍
<0406> エロ侍

//<0407> エロエロ団ナンバー１
<0407> エロエロ団ナンバー１

//<0408> ただのエロ少年
<0408> ただのエロ少年

//<0409> ユリブサイク
<0409> ユリブサイク

//<0410> ドピュッシー
<0410> ドピュッシー

//<0411> アメリカンエロドッグ
<0411> アメリカンエロドッグ

//<0412> ゼウス
<0412> ゼウス

//<0413> 日向markⅡ
<0413> 日向markⅡ

//<0414> 糞虫
<0414> 糞虫

//<0415> 量産型日向
<0415> 量産型日向

//<0416> ？？
<0416> ？？

//<0417> 「意味っつーか…ま、いいや」
<0417> 「意味っつーか…ま、いいや」

//<0418> nothing
<0418> nothing

//<0419> nothing
<0419> nothing

//<0420> nothing
<0420> nothing

//<0421> nothing
<0421> nothing

//<0422> nothing
<0422> nothing

//<0423> 松下
<0423> 松下

//<0424> 「そうか」
<0424> 「そうか」

//<0425> 音無
<0425> 音無

//<0426> クソ坊主
<0426> クソ坊主

//<0427> 代理人
<0427> 代理人

//<0428> 微妙すぎるイケメン
<0428> 微妙すぎるイケメン

//<0429> ロリコン
<0429> ロリコン

//<0430> メガネ仲間
<0430> メガネ仲間

//<0431> 暗算日本記録保持者
<0431> 暗算日本記録保持者

//<0432> 通り魔
<0432> 通り魔

//<0433> 記憶ナシ男
<0433> 記憶ナシ男

//<0434> 音速
<0434> 音速

//<0435> 無限
<0435> 無限

//<0436> エロ侍
<0436> エロ侍

//<0437> エロエロ団ナンバー１
<0437> エロエロ団ナンバー１

//<0438> ただのエロ少年
<0438> ただのエロ少年

//<0439> ユリブサイク
<0439> ユリブサイク

//<0440> ドピュッシー
<0440> ドピュッシー

//<0441> アメリカンエロドッグ
<0441> アメリカンエロドッグ

//<0442> ゼウス
<0442> ゼウス

//<0443> 日向markⅡ
<0443> 日向markⅡ

//<0444> 糞虫
<0444> 糞虫

//<0445> 量産型日向
<0445> 量産型日向

//<0446> ？？
<0446> ？？

//<0447> 「ああ」
<0447> 「ああ」

//<0448> nothing
<0448> nothing

//<0449> nothing
<0449> nothing

//<0450> nothing
<0450> nothing

//<0451> nothing
<0451> nothing

//<0452> nothing
<0452> nothing

//<0453> 松下
<0453> 松下

//<0454> 「もう少しで一旦休憩を入れるから、それまで待っていてくれ」
<0454> 「もう少しで一旦休憩を入れるから、それまで待っていてくれ」

//<0455> nothing
<0455> nothing

//<0456> nothing
<0456> nothing

//<0457> nothing
<0457> nothing

//<0458> nothing
<0458> nothing

//<0459> nothing
<0459> nothing

//<0460> nothing
<0460> nothing

//<0461> そう言って、打ち込みを再開する。
<0461> そう言って、打ち込みを再開する。

//<0462> 松下
<0462> 松下

//<0463> 「ひゃくごじゅう！」
<0463> 「ひゃくごじゅう！」

//<0464> nothing
<0464> nothing

//<0465> nothing
<0465> nothing

//<0466> nothing
<0466> nothing

//<0467> nothing
<0467> nothing

//<0468> nothing
<0468> nothing

//<0469> 松下
<0469> 松下

//<0470> 「ふぅ…一休みするか…」
<0470> 「ふぅ…一休みするか…」

//<0471> nothing
<0471> nothing

//<0472> nothing
<0472> nothing

//<0473> nothing
<0473> nothing

//<0474> nothing
<0474> nothing

//<0475> nothing
<0475> nothing

//<0476> 松下五段は座り込んで、置かれていた巾着袋の中から、アルミホイルで包まれた馬鹿でかい何かを取り出した。
<0476> 松下五段は座り込んで、置かれていた巾着袋の中から、アルミホイルで包まれた馬鹿でかい何かを取り出した。

//<0477> アルミホイルを剥くと、巨大なおにぎりが現れる。
<0477> アルミホイルを剥くと、巨大なおにぎりが現れる。

//<0478> nothing
<0478> nothing

//<0479> nothing
<0479> nothing

//<0480> nothing
<0480> nothing

//<0481> nothing
<0481> nothing

//<0482> nothing
<0482> nothing

//<0483> ハンドボールぐらいのでかさのそれを、はむはむと食べ始める。
<0483> ハンドボールぐらいのでかさのそれを、はむはむと食べ始める。

//<0484> すごいスピードで食べ終えると、水筒を手に取り、大きな体には不釣り合いのその蓋で湯気の上がる何かを飲む。
<0484> すごいスピードで食べ終えると、水筒を手に取り、大きな体には不釣り合いのその蓋で湯気の上がる何かを飲む。

//<0485> nothing
<0485> nothing

//<0486> nothing
<0486> nothing

//<0487> nothing
<0487> nothing

//<0488> nothing
<0488> nothing

//<0489> nothing
<0489> nothing

//<0490> 松下
<0490> 松下

//<0491> 「ふぅ～…食後は緑茶に限るなっ」
<0491> 「ふぅ～…食後は緑茶に限るなっ」

//<0492> nothing
<0492> nothing

//<0493> nothing
<0493> nothing

//<0494> nothing
<0494> nothing

//<0495> nothing
<0495> nothing

//<0496> nothing
<0496> nothing

//<0497> 松下
<0497> 松下

//<0498> 「よし、練習再開っ！」
<0498> 「よし、練習再開っ！」

//<0499> 音無
<0499> 音無

//<0500> クソ坊主
<0500> クソ坊主

//<0501> 代理人
<0501> 代理人

//<0502> 微妙すぎるイケメン
<0502> 微妙すぎるイケメン

//<0503> ロリコン
<0503> ロリコン

//<0504> メガネ仲間
<0504> メガネ仲間

//<0505> 暗算日本記録保持者
<0505> 暗算日本記録保持者

//<0506> 通り魔
<0506> 通り魔

//<0507> 記憶ナシ男
<0507> 記憶ナシ男

//<0508> 音速
<0508> 音速

//<0509> 無限
<0509> 無限

//<0510> エロ侍
<0510> エロ侍

//<0511> エロエロ団ナンバー１
<0511> エロエロ団ナンバー１

//<0512> ただのエロ少年
<0512> ただのエロ少年

//<0513> ユリブサイク
<0513> ユリブサイク

//<0514> ドピュッシー
<0514> ドピュッシー

//<0515> アメリカンエロドッグ
<0515> アメリカンエロドッグ

//<0516> ゼウス
<0516> ゼウス

//<0517> 日向markⅡ
<0517> 日向markⅡ

//<0518> 糞虫
<0518> 糞虫

//<0519> 量産型日向
<0519> 量産型日向

//<0520> ？？
<0520> ？？

//<0521> 「ええー！！」
<0521> 「ええー！！」

//<0522> nothing
<0522> nothing

//<0523> nothing
<0523> nothing

//<0524> nothing
<0524> nothing

//<0525> nothing
<0525> nothing

//<0526> nothing
<0526> nothing

//<0527> 松下
<0527> 松下

//<0528> 「む…誰だ」
<0528> 「む…誰だ」

//<0529> 音無
<0529> 音無

//<0530> クソ坊主
<0530> クソ坊主

//<0531> 代理人
<0531> 代理人

//<0532> 微妙すぎるイケメン
<0532> 微妙すぎるイケメン

//<0533> ロリコン
<0533> ロリコン

//<0534> メガネ仲間
<0534> メガネ仲間

//<0535> 暗算日本記録保持者
<0535> 暗算日本記録保持者

//<0536> 通り魔
<0536> 通り魔

//<0537> 記憶ナシ男
<0537> 記憶ナシ男

//<0538> 音速
<0538> 音速

//<0539> 無限
<0539> 無限

//<0540> エロ侍
<0540> エロ侍

//<0541> エロエロ団ナンバー１
<0541> エロエロ団ナンバー１

//<0542> ただのエロ少年
<0542> ただのエロ少年

//<0543> ユリブサイク
<0543> ユリブサイク

//<0544> ドピュッシー
<0544> ドピュッシー

//<0545> アメリカンエロドッグ
<0545> アメリカンエロドッグ

//<0546> ゼウス
<0546> ゼウス

//<0547> 日向markⅡ
<0547> 日向markⅡ

//<0548> 糞虫
<0548> 糞虫

//<0549> 量産型日向
<0549> 量産型日向

//<0550> ？？
<0550> ？？

//<0551> 「俺だよっ！」
<0551> 「俺だよっ！」

//<0552> nothing
<0552> nothing

//<0553> nothing
<0553> nothing

//<0554> nothing
<0554> nothing

//<0555> nothing
<0555> nothing

//<0556> nothing
<0556> nothing

//<0557> 松下
<0557> 松下

//<0558> 「ああ、クソ坊主か。そういやさっきも見かけたな。何か用か」
