// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> そうだ。図書館に行くと決めていたんだった。
<0000> そうだ。図書館に行くと決めていたんだった。
<0073> 通り魔

//<0074> 記憶ナシ男
<0074> 記憶ナシ男

//<0075> 音速
<0075> 音速

//<0076> 無限
<0076> 無限

//<0077> エロ侍
<0077> エロ侍

//<0078> エロエロ団ナンバー１
<0078> エロエロ団ナンバー１

//<0079> ただのエロ少年
<0079> ただのエロ少年

//<0080> ユリブサイク
<0080> ユリブサイク

//<0081> ドピュッシー
<0081> ドピュッシー

//<0082> アメリカンエロドッグ
<0082> アメリカンエロドッグ

//<0083> ゼウス
<0083> ゼウス

//<0084> 日向markⅡ
<0084> 日向markⅡ

//<0085> 糞虫
<0085> 糞虫

//<0086> 量産型日向
<0086> 量産型日向

//<0087> ？？
<0087> ？？

//<0088> 「いや、タイトルは特には…」
<0088> 「いや、タイトルは特には…」

//<0089> 司書
<0089> 司書

//<0090> 「では、ここからまっすぐ右手、９００番書架へどうぞ」
<0090> 「では、ここからまっすぐ右手、９００番書架へどうぞ」

//<0091> そう案内される。
<0091> そう案内される。

//<0092> コミックゾーンに入ると、風景が様変わりした。
<0092> コミックゾーンに入ると、風景が様変わりした。

//<0093> 棚に並ぶ背表紙がとにかく、カラフルだからだ。
<0093> 棚に並ぶ背表紙がとにかく、カラフルだからだ。

//<0094> 音無
<0094> 音無

//<0095> クソ坊主
<0095> クソ坊主

//<0096> 代理人
<0096> 代理人

//<0097> 微妙すぎるイケメン
<0097> 微妙すぎるイケメン

//<0098> ロリコン
<0098> ロリコン

//<0099> メガネ仲間
<0099> メガネ仲間

//<0100> 暗算日本記録保持者
<0100> 暗算日本記録保持者

//<0101> 通り魔
<0101> 通り魔

//<0102> 記憶ナシ男
<0102> 記憶ナシ男

//<0103> 音速
<0103> 音速

//<0104> 無限
<0104> 無限

//<0105> エロ侍
<0105> エロ侍

//<0106> エロエロ団ナンバー１
<0106> エロエロ団ナンバー１

//<0107> ただのエロ少年
<0107> ただのエロ少年

//<0108> ユリブサイク
<0108> ユリブサイク

//<0109> ドピュッシー
<0109> ドピュッシー

//<0110> アメリカンエロドッグ
<0110> アメリカンエロドッグ

//<0111> ゼウス
<0111> ゼウス

//<0112> 日向markⅡ
<0112> 日向markⅡ

//<0113> 糞虫
<0113> 糞虫

//<0114> 量産型日向
<0114> 量産型日向

//<0115> ？？
<0115> ？？

//<0116> （さて、どんな漫画を借りるとするか…）
<0116> （さて、どんな漫画を借りるとするか…）

//<0117> 音無
<0117> 音無

//<0118> クソ坊主
<0118> クソ坊主

//<0119> 代理人
<0119> 代理人

//<0120> 微妙すぎるイケメン
<0120> 微妙すぎるイケメン

//<0121> ロリコン
<0121> ロリコン

//<0122> メガネ仲間
<0122> メガネ仲間

//<0123> 暗算日本記録保持者
<0123> 暗算日本記録保持者

//<0124> 通り魔
<0124> 通り魔

//<0125> 記憶ナシ男
<0125> 記憶ナシ男

//<0126> 音速
<0126> 音速

//<0127> 無限
<0127> 無限

//<0128> エロ侍
<0128> エロ侍

//<0129> エロエロ団ナンバー１
<0129> エロエロ団ナンバー１

//<0130> ただのエロ少年
<0130> ただのエロ少年

//<0131> ユリブサイク
<0131> ユリブサイク

//<0132> ドピュッシー
<0132> ドピュッシー

//<0133> アメリカンエロドッグ
<0133> アメリカンエロドッグ

//<0134> ゼウス
<0134> ゼウス

//<0135> 日向markⅡ
<0135> 日向markⅡ

//<0136> 糞虫
<0136> 糞虫

//<0137> 量産型日向
<0137> 量産型日向

//<0138> ？？
<0138> ？？

//<0139> （とりあえず、いろんなジャンルから一巻だけ借りて、面白そうなのを続けて借りていくとしよう…）
<0139> （とりあえず、いろんなジャンルから一巻だけ借りて、面白そうなのを続けて借りていくとしよう…）

//<0140> 健全な漫画に絞る
<0140> 健全な漫画に絞る

//<0141> エロそうな漫画も借りる
<0141> エロそうな漫画も借りる

//<0142> selbtn : 
<0142> selbtn : 

//<0143> スポーツ漫画、ギャグ漫画、ミステリー漫画、少女漫画、ＳＦ漫画、の計５冊を手に取り、カウンターに戻る。
<0143> スポーツ漫画、ギャグ漫画、ミステリー漫画、少女漫画、ＳＦ漫画、の計５冊を手に取り、カウンターに戻る。

//<0144> スポーツ漫画、ギャグ漫画、ミステリー漫画、少女漫画、さらにいかにもエロそうな青年漫画の計５冊を手に取り、カウンターに戻る。
<0144> スポーツ漫画、ギャグ漫画、ミステリー漫画、少女漫画、さらにいかにもエロそうな青年漫画の計５冊を手に取り、カウンターに戻る。

//<0145> 音無
<0145> 音無

//<0146> クソ坊主
<0146> クソ坊主

//<0147> 代理人
<0147> 代理人

//<0148> 微妙すぎるイケメン
<0148> 微妙すぎるイケメン

//<0149> ロリコン
<0149> ロリコン

//<0150> メガネ仲間
<0150> メガネ仲間

//<0151> 暗算日本記録保持者
<0151> 暗算日本記録保持者

//<0152> 通り魔
<0152> 通り魔

//<0153> 記憶ナシ男
<0153> 記憶ナシ男

//<0154> 音速
<0154> 音速

//<0155> 無限
<0155> 無限

//<0156> エロ侍
<0156> エロ侍

//<0157> エロエロ団ナンバー１
<0157> エロエロ団ナンバー１

//<0158> ただのエロ少年
<0158> ただのエロ少年

//<0159> ユリブサイク
<0159> ユリブサイク

//<0160> ドピュッシー
<0160> ドピュッシー

//<0161> アメリカンエロドッグ
<0161> アメリカンエロドッグ

//<0162> ゼウス
<0162> ゼウス

//<0163> 日向markⅡ
<0163> 日向markⅡ

//<0164> 糞虫
<0164> 糞虫

//<0165> 量産型日向
<0165> 量産型日向

//<0166> ？？
<0166> ？？

//<0167> 「学書はどの辺にありますか？」
<0167> 「学書はどの辺にありますか？」

//<0168> 司書
<0168> 司書

//<0169> 「学書はたくさんありますが、どういったジャンルをお探しで？」
<0169> 「学書はたくさんありますが、どういったジャンルをお探しで？」

//<0170> 訊き返される。
<0170> 訊き返される。

//<0171> 音無
<0171> 音無

//<0172> クソ坊主
<0172> クソ坊主

//<0173> 代理人
<0173> 代理人

//<0174> 微妙すぎるイケメン
<0174> 微妙すぎるイケメン

//<0175> ロリコン
<0175> ロリコン

//<0176> メガネ仲間
<0176> メガネ仲間

//<0177> 暗算日本記録保持者
<0177> 暗算日本記録保持者

//<0178> 通り魔
<0178> 通り魔

//<0179> 記憶ナシ男
<0179> 記憶ナシ男

//<0180> 音速
<0180> 音速

//<0181> 無限
<0181> 無限

//<0182> エロ侍
<0182> エロ侍

//<0183> エロエロ団ナンバー１
<0183> エロエロ団ナンバー１

//<0184> ただのエロ少年
<0184> ただのエロ少年

//<0185> ユリブサイク
<0185> ユリブサイク

//<0186> ドピュッシー
<0186> ドピュッシー

//<0187> アメリカンエロドッグ
<0187> アメリカンエロドッグ

//<0188> ゼウス
<0188> ゼウス

//<0189> 日向markⅡ
<0189> 日向markⅡ

//<0190> 糞虫
<0190> 糞虫

//<0191> 量産型日向
<0191> 量産型日向

//<0192> ？？
<0192> ？？

//<0193> 「ええと…医学関係の…」
<0193> 「ええと…医学関係の…」

//<0194> 司書
<0194> 司書

//<0195> 「では、ここからまっすぐ右手、５００番書架へどうぞ」
<0195> 「では、ここからまっすぐ右手、５００番書架へどうぞ」

//<0196> そう案内される。
<0196> そう案内される。

//<0197> 司書さんは去り、背表紙に書かれたタイトルを一冊ずつ眺めていく。
<0197> 司書さんは去り、背表紙に書かれたタイトルを一冊ずつ眺めていく。

//<0198> 『臓器移植症例集』、『血液型不適合移植の新戦術』、『消化器外科静脈血栓塞栓症（ＶＴＥ）診療指針』…。
<0198> 『臓器移植症例集』、『血液型不適合移植の新戦術』、『消化器外科静脈血栓塞栓症（ＶＴＥ）診療指針』…。

//<0199> しかしなぜ俺は医学書なんてジャンルを選んだのだろう、とふと立ち止まる。
<0199> しかしなぜ俺は医学書なんてジャンルを選んだのだろう、とふと立ち止まる。

//<0200> それは司書さんに訊かれて、自然にすっと出た言葉だった。考えもせず。
<0200> それは司書さんに訊かれて、自然にすっと出た言葉だった。考えもせず。

//<0201> 音無
<0201> 音無

//<0202> クソ坊主
<0202> クソ坊主

//<0203> 代理人
<0203> 代理人

//<0204> 微妙すぎるイケメン
<0204> 微妙すぎるイケメン

//<0205> ロリコン
<0205> ロリコン

//<0206> メガネ仲間
<0206> メガネ仲間

//<0207> 暗算日本記録保持者
<0207> 暗算日本記録保持者

//<0208> 通り魔
<0208> 通り魔

//<0209> 記憶ナシ男
<0209> 記憶ナシ男

//<0210> 音速
<0210> 音速

//<0211> 無限
<0211> 無限

//<0212> エロ侍
<0212> エロ侍

//<0213> エロエロ団ナンバー１
<0213> エロエロ団ナンバー１

//<0214> ただのエロ少年
<0214> ただのエロ少年

//<0215> ユリブサイク
<0215> ユリブサイク

//<0216> ドピュッシー
<0216> ドピュッシー

//<0217> アメリカンエロドッグ
<0217> アメリカンエロドッグ

//<0218> ゼウス
<0218> ゼウス

//<0219> 日向markⅡ
<0219> 日向markⅡ

//<0220> 糞虫
<0220> 糞虫

//<0221> 量産型日向
<0221> 量産型日向

//<0222> ？？
<0222> ？？

//<0223> （記憶を取り戻せば、その理由もわかるのだろうか…）
<0223> （記憶を取り戻せば、その理由もわかるのだろうか…）

//<0224> 少し不気味に思いながらも、『臓器移植症例集』と『血液型不適合移植の新戦術』というタイトルの本を借りることにする。
<0224> 少し不気味に思いながらも、『臓器移植症例集』と『血液型不適合移植の新戦術』というタイトルの本を借りることにする。

//<0225> 音無
<0225> 音無

//<0226> クソ坊主
<0226> クソ坊主

//<0227> 代理人
<0227> 代理人

//<0228> 微妙すぎるイケメン
<0228> 微妙すぎるイケメン

//<0229> ロリコン
<0229> ロリコン

//<0230> メガネ仲間
<0230> メガネ仲間

//<0231> 暗算日本記録保持者
<0231> 暗算日本記録保持者

//<0232> 通り魔
<0232> 通り魔

//<0233> 記憶ナシ男
<0233> 記憶ナシ男

//<0234> 音速
<0234> 音速

//<0235> 無限
<0235> 無限

//<0236> エロ侍
<0236> エロ侍

//<0237> エロエロ団ナンバー１
<0237> エロエロ団ナンバー１

//<0238> ただのエロ少年
<0238> ただのエロ少年

//<0239> ユリブサイク
<0239> ユリブサイク

//<0240> ドピュッシー
<0240> ドピュッシー

//<0241> アメリカンエロドッグ
<0241> アメリカンエロドッグ

//<0242> ゼウス
<0242> ゼウス

//<0243> 日向markⅡ
<0243> 日向markⅡ

//<0244> 糞虫
<0244> 糞虫

//<0245> 量産型日向
<0245> 量産型日向

//<0246> ？？
<0246> ？？

//<0247> 「その…え…え…えろえろえろ…エロ本は！？」
<0247> 「その…え…え…えろえろえろ…エロ本は！？」

//<0248> どもりまくった！！
<0248> どもりまくった！！

//<0249> 司書
<0249> 司書

//<0250> 「あいにくそのような本は置いてありません」
<0250> 「あいにくそのような本は置いてありません」

//<0251> 切れ長な目で、軽蔑されるように答えられた…。
<0251> 切れ長な目で、軽蔑されるように答えられた…。

//<0252> 音無
<0252> 音無

//<0253> クソ坊主
<0253> クソ坊主

//<0254> 代理人
<0254> 代理人

//<0255> 微妙すぎるイケメン
<0255> 微妙すぎるイケメン

//<0256> ロリコン
<0256> ロリコン

//<0257> メガネ仲間
<0257> メガネ仲間

//<0258> 暗算日本記録保持者
<0258> 暗算日本記録保持者

//<0259> 通り魔
<0259> 通り魔

//<0260> 記憶ナシ男
<0260> 記憶ナシ男

//<0261> 音速
<0261> 音速

//<0262> 無限
<0262> 無限

//<0263> エロ侍
<0263> エロ侍

//<0264> エロエロ団ナンバー１
<0264> エロエロ団ナンバー１

//<0265> ただのエロ少年
<0265> ただのエロ少年

//<0266> ユリブサイク
<0266> ユリブサイク

//<0267> ドピュッシー
<0267> ドピュッシー

//<0268> アメリカンエロドッグ
<0268> アメリカンエロドッグ

//<0269> ゼウス
<0269> ゼウス

//<0270> 日向markⅡ
<0270> 日向markⅡ

//<0271> 糞虫
<0271> 糞虫

//<0272> 量産型日向
<0272> 量産型日向

//<0273> ？？
<0273> ？？

//<0274> 「じゃ、漫画で…」
<0274> 「じゃ、漫画で…」

//<0275> カウンターに戻り、司書さんに本を渡す。
<0275> カウンターに戻り、司書さんに本を渡す。

//<0276> 音無
<0276> 音無

//<0277> クソ坊主
<0277> クソ坊主

//<0278> 代理人
<0278> 代理人

//<0279> 微妙すぎるイケメン
<0279> 微妙すぎるイケメン

//<0280> ロリコン
<0280> ロリコン

//<0281> メガネ仲間
<0281> メガネ仲間

//<0282> 暗算日本記録保持者
<0282> 暗算日本記録保持者

//<0283> 通り魔
<0283> 通り魔

//<0284> 記憶ナシ男
<0284> 記憶ナシ男

//<0285> 音速
<0285> 音速

//<0286> 無限
<0286> 無限

//<0287> エロ侍
<0287> エロ侍

//<0288> エロエロ団ナンバー１
<0288> エロエロ団ナンバー１

//<0289> ただのエロ少年
<0289> ただのエロ少年

//<0290> ユリブサイク
<0290> ユリブサイク

//<0291> ドピュッシー
<0291> ドピュッシー

//<0292> アメリカンエロドッグ
<0292> アメリカンエロドッグ

//<0293> ゼウス
<0293> ゼウス

//<0294> 日向markⅡ
<0294> 日向markⅡ

//<0295> 糞虫
<0295> 糞虫

//<0296> 量産型日向
<0296> 量産型日向

//<0297> ？？
<0297> ？？

//<0298> 「こ、このエロカードで、いや図書カードでお願いしますっ」
<0298> 「こ、このエロカードで、いや図書カードでお願いしますっ」

//<0299> またどもり、言い間違えまでしてしまった！！
<0299> またどもり、言い間違えまでしてしまった！！

//<0300> しばらく、ぴっぴっ、と電子音が鳴る。
<0300> しばらく、ぴっぴっ、と電子音が鳴る。

//<0301> 音無
<0301> 音無

//<0302> クソ坊主
<0302> クソ坊主

//<0303> 代理人
<0303> 代理人

//<0304> 微妙すぎるイケメン
<0304> 微妙すぎるイケメン

//<0305> ロリコン
<0305> ロリコン

//<0306> メガネ仲間
<0306> メガネ仲間

//<0307> 暗算日本記録保持者
<0307> 暗算日本記録保持者

//<0308> 通り魔
<0308> 通り魔

//<0309> 記憶ナシ男
<0309> 記憶ナシ男

//<0310> 音速
<0310> 音速

//<0311> 無限
<0311> 無限

//<0312> エロ侍
<0312> エロ侍

//<0313> エロエロ団ナンバー１
<0313> エロエロ団ナンバー１

//<0314> ただのエロ少年
<0314> ただのエロ少年

//<0315> ユリブサイク
<0315> ユリブサイク

//<0316> ドピュッシー
<0316> ドピュッシー

//<0317> アメリカンエロドッグ
<0317> アメリカンエロドッグ

//<0318> ゼウス
<0318> ゼウス

//<0319> 日向markⅡ
<0319> 日向markⅡ

//<0320> 糞虫
<0320> 糞虫

//<0321> 量産型日向
<0321> 量産型日向

//<0322> ？？
<0322> ？？

//<0323> （この美人司書さんに、俺はどれだけエロい男子生徒だと思われてるのだろう…）
<0323> （この美人司書さんに、俺はどれだけエロい男子生徒だと思われてるのだろう…）

//<0324> そんなことを考えてしまう…。
<0324> そんなことを考えてしまう…。

//<0325> カウンターに戻り、本と一緒に日向に借りた図書カードを司書さんに渡す。
<0325> カウンターに戻り、本と一緒に日向に借りた図書カードを司書さんに渡す。

//<0326> しばらく、ぴっぴっ、と電子音が鳴る。
<0326> しばらく、ぴっぴっ、と電子音が鳴る。

//<0327> 司書
<0327> 司書

//<0328> 「はい。どうぞ」
<0328> 「はい。どうぞ」

//<0329> カウンターに積まれた本。それを入れるものがない。
<0329> カウンターに積まれた本。それを入れるものがない。

//<0330> 仕方ないので、そのまま両手に抱え、一旦寮に戻り、ベッドの下に隠しておいた。
<0330> 仕方ないので、そのまま両手に抱え、一旦寮に戻り、ベッドの下に隠しておいた。

//<0331> 仕方ないので、そのまま両手に抱え、一旦寮に戻り、自分のベッドの脇に置いておいた。
<0331> 仕方ないので、そのまま両手に抱え、一旦寮に戻り、自分のベッドの脇に置いておいた。

//<0332> 音無
<0332> 音無

//<0333> クソ坊主
<0333> クソ坊主

//<0334> 代理人
<0334> 代理人

//<0335> 微妙すぎるイケメン
<0335> 微妙すぎるイケメン

//<0336> ロリコン
<0336> ロリコン

//<0337> メガネ仲間
<0337> メガネ仲間

//<0338> 暗算日本記録保持者
<0338> 暗算日本記録保持者

//<0339> 通り魔
<0339> 通り魔

//<0340> 記憶ナシ男
<0340> 記憶ナシ男

//<0341> 音速
<0341> 音速

//<0342> 無限
<0342> 無限

//<0343> エロ侍
<0343> エロ侍

//<0344> エロエロ団ナンバー１
<0344> エロエロ団ナンバー１

//<0345> ただのエロ少年
<0345> ただのエロ少年

//<0346> ユリブサイク
<0346> ユリブサイク

//<0347> ドピュッシー
<0347> ドピュッシー

//<0348> アメリカンエロドッグ
<0348> アメリカンエロドッグ

//<0349> ゼウス
<0349> ゼウス

//<0350> 日向markⅡ
<0350> 日向markⅡ

//<0351> 糞虫
<0351> 糞虫

//<0352> 量産型日向
<0352> 量産型日向

//<0353> ？？
<0353> ？？

//<0354> 「すーーー…ふーーー…」
<0354> 「すーーー…ふーーー…」

//<0355> 深呼吸をして、リラックスする。
<0355> 深呼吸をして、リラックスする。

//<0356> さて、『やるっきゃ内藤さん』の続きを借りるぞ。
<0356> さて、『やるっきゃ内藤さん』の続きを借りるぞ。

//<0357> その前にまず、エロ漫画一冊を含む借りている五冊を返却しなくてはならない。
<0357> その前にまず、エロ漫画一冊を含む借りている五冊を返却しなくてはならない。

//<0358> でないと、とても眼鏡が似合う、クールビューティーな司書さんに、『エロ漫画一冊を含む借りている五冊をまず返却してください』と言われてしまうだろう…。
<0358> でないと、とても眼鏡が似合う、クールビューティーな司書さんに、『エロ漫画一冊を含む借りている五冊をまず返却してください』と言われてしまうだろう…。

//<0359> 音無
<0359> 音無

//<0360> クソ坊主
<0360> クソ坊主

//<0361> 代理人
<0361> 代理人

//<0362> 微妙すぎるイケメン
<0362> 微妙すぎるイケメン

//<0363> ロリコン
<0363> ロリコン

//<0364> メガネ仲間
<0364> メガネ仲間

//<0365> 暗算日本記録保持者
<0365> 暗算日本記録保持者

//<0366> 通り魔
<0366> 通り魔

//<0367> 記憶ナシ男
<0367> 記憶ナシ男

//<0368> 音速
<0368> 音速

//<0369> 無限
<0369> 無限

//<0370> エロ侍
<0370> エロ侍

//<0371> エロエロ団ナンバー１
<0371> エロエロ団ナンバー１

//<0372> ただのエロ少年
<0372> ただのエロ少年

//<0373> ユリブサイク
<0373> ユリブサイク

//<0374> ドピュッシー
<0374> ドピュッシー

//<0375> アメリカンエロドッグ
<0375> アメリカンエロドッグ

//<0376> ゼウス
<0376> ゼウス

//<0377> 日向markⅡ
<0377> 日向markⅡ

//<0378> 糞虫
<0378> 糞虫

//<0379> 量産型日向
<0379> 量産型日向

//<0380> ？？
<0380> ？？

//<0381> （いくぞ…！）
<0381> （いくぞ…！）

//<0382> カウンターにはやはり、眼鏡が似合う、クールビューティーな司書さんが居た。
<0382> カウンターにはやはり、眼鏡が似合う、クールビューティーな司書さんが居た。

//<0383> 音無
<0383> 音無

//<0384> クソ坊主
<0384> クソ坊主

//<0385> 代理人
<0385> 代理人

//<0386> 微妙すぎるイケメン
<0386> 微妙すぎるイケメン

//<0387> ロリコン
<0387> ロリコン

//<0388> メガネ仲間
<0388> メガネ仲間

//<0389> 暗算日本記録保持者
<0389> 暗算日本記録保持者

//<0390> 通り魔
<0390> 通り魔

//<0391> 記憶ナシ男
<0391> 記憶ナシ男

//<0392> 音速
<0392> 音速

//<0393> 無限
<0393> 無限

//<0394> エロ侍
<0394> エロ侍

//<0395> エロエロ団ナンバー１
<0395> エロエロ団ナンバー１

//<0396> ただのエロ少年
<0396> ただのエロ少年

//<0397> ユリブサイク
<0397> ユリブサイク

//<0398> ドピュッシー
<0398> ドピュッシー

//<0399> アメリカンエロドッグ
<0399> アメリカンエロドッグ

//<0400> ゼウス
<0400> ゼウス

//<0401> 日向markⅡ
<0401> 日向markⅡ

//<0402> 糞虫
<0402> 糞虫

//<0403> 量産型日向
<0403> 量産型日向

//<0404> ？？
<0404> ？？

//<0405> 「エエエロ…いや、返却です」
<0405> 「エエエロ…いや、返却です」

//<0406> エロカード、いや、図書カードと共に本をカウンターに載せた。
<0406> エロカード、いや、図書カードと共に本をカウンターに載せた。

//<0407> 司書さんは、ぴっぴっとバーコードリーダーで本を通していく。
<0407> 司書さんは、ぴっぴっとバーコードリーダーで本を通していく。

//<0408> 司書
<0408> 司書

//<0409> 「どうぞ」
<0409> 「どうぞ」

//<0410> 最後に、エロカード、いや、図書カードを返される。
<0410> 最後に、エロカード、いや、図書カードを返される。

//<0411> 音無
<0411> 音無

//<0412> クソ坊主
<0412> クソ坊主

//<0413> 代理人
<0413> 代理人

//<0414> 微妙すぎるイケメン
<0414> 微妙すぎるイケメン

//<0415> ロリコン
<0415> ロリコン

//<0416> メガネ仲間
<0416> メガネ仲間

//<0417> 暗算日本記録保持者
<0417> 暗算日本記録保持者

//<0418> 通り魔
<0418> 通り魔

//<0419> 記憶ナシ男
<0419> 記憶ナシ男

//<0420> 音速
<0420> 音速

//<0421> 無限
<0421> 無限

//<0422> エロ侍
<0422> エロ侍

//<0423> エロエロ団ナンバー１
<0423> エロエロ団ナンバー１

//<0424> ただのエロ少年
<0424> ただのエロ少年

//<0425> ユリブサイク
<0425> ユリブサイク

//<0426> ドピュッシー
<0426> ドピュッシー

//<0427> アメリカンエロドッグ
<0427> アメリカンエロドッグ

//<0428> ゼウス
<0428> ゼウス

//<0429> 日向markⅡ
<0429> 日向markⅡ

//<0430> 糞虫
<0430> 糞虫

//<0431> 量産型日向
<0431> 量産型日向

//<0432> ？？
<0432> ？？

//<0433> （ふぅ…）
<0433> （ふぅ…）

//<0434> 最初の難関は越えた…。
<0434> 最初の難関は越えた…。

//<0435> 次に俺はエエエロ…いや漫画コーナーに侵入する…。
<0435> 次に俺はエエエロ…いや漫画コーナーに侵入する…。

//<0436> 音無
<0436> 音無

//<0437> クソ坊主
<0437> クソ坊主

//<0438> 代理人
<0438> 代理人

//<0439> 微妙すぎるイケメン
<0439> 微妙すぎるイケメン

//<0440> ロリコン
<0440> ロリコン

//<0441> メガネ仲間
<0441> メガネ仲間

//<0442> 暗算日本記録保持者
<0442> 暗算日本記録保持者

//<0443> 通り魔
<0443> 通り魔

//<0444> 記憶ナシ男
<0444> 記憶ナシ男

//<0445> 音速
<0445> 音速

//<0446> 無限
<0446> 無限

//<0447> エロ侍
<0447> エロ侍

//<0448> エロエロ団ナンバー１
<0448> エロエロ団ナンバー１

//<0449> ただのエロ少年
<0449> ただのエロ少年

//<0450> ユリブサイク
<0450> ユリブサイク

//<0451> ドピュッシー
<0451> ドピュッシー

//<0452> アメリカンエロドッグ
<0452> アメリカンエロドッグ

//<0453> ゼウス
<0453> ゼウス

//<0454> 日向markⅡ
<0454> 日向markⅡ

//<0455> 糞虫
<0455> 糞虫

//<0456> 量産型日向
<0456> 量産型日向

//<0457> ？？
<0457> ？？

