// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 99_場所選択マップ
<0000> 99_場所選択マップ
//<0221> ユリブサイク
<0221> ユリブサイク

//<0222> ドピュッシー
<0222> ドピュッシー

//<0223> アメリカンエロドッグ
<0223> アメリカンエロドッグ

//<0224> ゼウス
<0224> ゼウス

//<0225> 日向markⅡ
<0225> 日向markⅡ

//<0226> 糞虫
<0226> 糞虫

//<0227> 量産型日向
<0227> 量産型日向

//<0228> ？？
<0228> ？？

//<0229> （もうこんな時間か…）
<0229> （もうこんな時間か…）

//<0230> 腕時計を見る。定例会議の時間が迫っている。
<0230> 腕時計を見る。定例会議の時間が迫っている。

//<0231> nothing
<0231> nothing

//<0232> nothing
<0232> nothing

//<0233> nothing
<0233> nothing

//<0234> nothing
<0234> nothing

//<0235> nothing
<0235> nothing

//<0236> 遊佐
<0236> 遊佐

//<0237> 「定例会議のお時間です。本部までよろしくお願いします」
<0237> 「定例会議のお時間です。本部までよろしくお願いします」

//<0238> はいきたー。
<0238> はいきたー。

//<0239> ゆり
<0239> ゆり

//<0240> 女生徒
<0240> 女生徒

//<0241> ？？
<0241> ？？

//<0242> 「全員、集まったわね」
<0242> 「全員、集まったわね」

//<0243> ゆり
<0243> ゆり

//<0244> 女生徒
<0244> 女生徒

//<0245> ？？
<0245> ？？

//<0246> 「では本日の報告を。高松くん」
<0246> 「では本日の報告を。高松くん」

//<0247> 高松
<0247> 高松

//<0248> 「はい。オペレーション・答案すり替え初日を完璧に遂行しました」
<0248> 「はい。オペレーション・答案すり替え初日を完璧に遂行しました」

//<0249> nothing
<0249> nothing

//<0250> nothing
<0250> nothing

//<0251> nothing
<0251> nothing

//<0252> nothing
<0252> nothing

//<0253> nothing
<0253> nothing

//<0254> ゆり
<0254> ゆり

//<0255> 女生徒
<0255> 女生徒

//<0256> ？？
<0256> ？？

//<0257> 「よし、じゃ、解散！」
<0257> 「よし、じゃ、解散！」

//<0258> 日向
<0258> 日向

//<0259> 男Ｂ
<0259> 男Ｂ

//<0260> エロエロ団総帥
<0260> エロエロ団総帥

//<0261> イケチン
<0261> イケチン

//<0262> ホモ太
<0262> ホモ太

//<0263> ひなチン
<0263> ひなチン

//<0264> 秀樹
<0264> 秀樹

//<0265> 男子生徒
<0265> 男子生徒

//<0266> ？？
<0266> ？？

//<0267> 「えぇーー！！」
<0267> 「えぇーー！！」

//<0268> ゆり
<0268> ゆり

//<0269> 女生徒
<0269> 女生徒

//<0270> ？？
<0270> ？？

//<0271> 「なによ、日向くん」
<0271> 「なによ、日向くん」

//<0272> nothing
<0272> nothing

//<0273> nothing
<0273> nothing

//<0274> nothing
<0274> nothing

//<0275> nothing
<0275> nothing

//<0276> nothing
<0276> nothing

//<0277> 日向
<0277> 日向

//<0278> 男Ｂ
<0278> 男Ｂ

//<0279> エロエロ団総帥
<0279> エロエロ団総帥

//<0280> イケチン
<0280> イケチン

//<0281> ホモ太
<0281> ホモ太

//<0282> ひなチン
<0282> ひなチン

//<0283> 秀樹
<0283> 秀樹

//<0284> 男子生徒
<0284> 男子生徒

//<0285> ？？
<0285> ？？

//<0286> 「俺たち実行班の頑張りを、みんなにちゃんと伝えてくださいませんかねぇーー！！」
<0286> 「俺たち実行班の頑張りを、みんなにちゃんと伝えてくださいませんかねぇーー！！」

//<0287> 音無
<0287> 音無

//<0288> クソ坊主
<0288> クソ坊主

//<0289> 代理人
<0289> 代理人

//<0290> 微妙すぎるイケメン
<0290> 微妙すぎるイケメン

//<0291> ロリコン
<0291> ロリコン

//<0292> メガネ仲間
<0292> メガネ仲間

//<0293> 暗算日本記録保持者
<0293> 暗算日本記録保持者

//<0294> 通り魔
<0294> 通り魔

//<0295> 記憶ナシ男
<0295> 記憶ナシ男

//<0296> 音速
<0296> 音速

//<0297> 無限
<0297> 無限

//<0298> エロ侍
<0298> エロ侍

//<0299> エロエロ団ナンバー１
<0299> エロエロ団ナンバー１

//<0300> ただのエロ少年
<0300> ただのエロ少年

//<0301> ユリブサイク
<0301> ユリブサイク

//<0302> ドピュッシー
<0302> ドピュッシー

//<0303> アメリカンエロドッグ
<0303> アメリカンエロドッグ

//<0304> ゼウス
<0304> ゼウス

//<0305> 日向markⅡ
<0305> 日向markⅡ

//<0306> 糞虫
<0306> 糞虫

//<0307> 量産型日向
<0307> 量産型日向

//<0308> ？？
<0308> ？？

//<0309> 「久々にきたーー！！　必殺、日向の丁寧語ツッコミー！！」
<0309> 「久々にきたーー！！　必殺、日向の丁寧語ツッコミー！！」

//<0310> nothing
<0310> nothing

//<0311> nothing
<0311> nothing

//<0312> nothing
<0312> nothing

//<0313> nothing
<0313> nothing

//<0314> nothing
<0314> nothing

//<0315> 日向
<0315> 日向

//<0316> 男Ｂ
<0316> 男Ｂ

//<0317> エロエロ団総帥
<0317> エロエロ団総帥

//<0318> イケチン
<0318> イケチン

//<0319> ホモ太
<0319> ホモ太

//<0320> ひなチン
<0320> ひなチン

//<0321> 秀樹
<0321> 秀樹

//<0322> 男子生徒
<0322> 男子生徒

//<0323> ？？
<0323> ？？

//<0324> 「いちいち反応するなぁーー！！」
<0324> 「いちいち反応するなぁーー！！」

//<0325> ゆり
<0325> ゆり

//<0326> 女生徒
<0326> 女生徒

//<0327> ？？
<0327> ？？

//<0328> 「そこ静かにぃー」
<0328> 「そこ静かにぃー」

//<0329> nothing
<0329> nothing

//<0330> nothing
<0330> nothing

//<0331> nothing
<0331> nothing

//<0332> nothing
<0332> nothing

//<0333> nothing
<0333> nothing

//<0334> ２人
<0334> ２人

//<0335> 「え？」
<0335> 「え？」

//<0336> nothing
<0336> nothing

//<0337> nothing
<0337> nothing

//<0338> nothing
<0338> nothing

//<0339> nothing
<0339> nothing

//<0340> nothing
<0340> nothing

//<0341> ゆり
<0341> ゆり

//<0342> 女生徒
<0342> 女生徒

//<0343> ？？
<0343> ？？

//<0344> 「まだ作戦の途中じゃない。成功すれば、ちゃんと称えてあげるわよ」
<0344> 「まだ作戦の途中じゃない。成功すれば、ちゃんと称えてあげるわよ」

//<0345> nothing
<0345> nothing

//<0346> nothing
<0346> nothing

//<0347> nothing
<0347> nothing

//<0348> nothing
<0348> nothing

//<0349> nothing
<0349> nothing

//<0350> 日向
<0350> 日向

//<0351> 男Ｂ
<0351> 男Ｂ

//<0352> エロエロ団総帥
<0352> エロエロ団総帥

//<0353> イケチン
<0353> イケチン

//<0354> ホモ太
<0354> ホモ太

//<0355> ひなチン
<0355> ひなチン

//<0356> 秀樹
<0356> 秀樹

//<0357> 男子生徒
<0357> 男子生徒

//<0358> ？？
<0358> ？？

//<0359> 「また理不尽だぁぁーー！！」
<0359> 「また理不尽だぁぁーー！！」

//<0360> 高松
<0360> 高松

//<0361> 「悪魔のような人ですっ！」
<0361> 「悪魔のような人ですっ！」

//<0362> nothing
<0362> nothing

//<0363> nothing
<0363> nothing

//<0364> nothing
<0364> nothing

//<0365> ゆり
<0365> ゆり

//<0366> 女生徒
<0366> 女生徒

//<0367> ？？
<0367> ？？

//<0368> 「聞く耳持ちませーん。はーい、かいっさーーん！」
<0368> 「聞く耳持ちませーん。はーい、かいっさーーん！」

//<0369> nothing
<0369> nothing

//<0370> nothing
<0370> nothing

//<0371> nothing
<0371> nothing

//<0372> nothing
<0372> nothing

//<0373> nothing
<0373> nothing

//<0374> 日向
<0374> 日向

//<0375> 男Ｂ
<0375> 男Ｂ

//<0376> エロエロ団総帥
<0376> エロエロ団総帥

//<0377> イケチン
<0377> イケチン

//<0378> ホモ太
<0378> ホモ太

//<0379> ひなチン
<0379> ひなチン

//<0380> 秀樹
<0380> 秀樹

//<0381> 男子生徒
<0381> 男子生徒

//<0382> ？？
<0382> ？？

//<0383> 「くっそ、飯にすっか！」
<0383> 「くっそ、飯にすっか！」

//<0384> nothing
<0384> nothing

//<0385> nothing
<0385> nothing

//<0386> nothing
<0386> nothing

//<0387> nothing
<0387> nothing

//<0388> nothing
<0388> nothing

//<0389> すぐ日向が俺の肩を抱こうとしてくる。
<0389> すぐ日向が俺の肩を抱こうとしてくる。

//<0390> かわす
<0390> かわす

//<0391> 抱かれる
<0391> 抱かれる

//<0392> selbtn : 
<0392> selbtn : 

//<0393> nothing
<0393> nothing

//<0394> nothing
<0394> nothing

//<0395> nothing
<0395> nothing

//<0396> nothing
<0396> nothing

//<0397> nothing
<0397> nothing

//<0398> ウィービングでかわしてみせた。
<0398> ウィービングでかわしてみせた。

//<0399> nothing
<0399> nothing

//<0400> nothing
<0400> nothing

//<0401> nothing
<0401> nothing

//<0402> nothing
<0402> nothing

//<0403> nothing
<0403> nothing

//<0404> 日向
<0404> 日向

//<0405> 男Ｂ
<0405> 男Ｂ

//<0406> エロエロ団総帥
<0406> エロエロ団総帥

//<0407> イケチン
<0407> イケチン

//<0408> ホモ太
<0408> ホモ太

//<0409> ひなチン
<0409> ひなチン

//<0410> 秀樹
<0410> 秀樹

//<0411> 男子生徒
<0411> 男子生徒

//<0412> ？？
<0412> ？？

//<0413> 「えっ…？」
<0413> 「えっ…？」

//<0414> 音無
<0414> 音無

//<0415> クソ坊主
<0415> クソ坊主

//<0416> 代理人
<0416> 代理人

//<0417> 微妙すぎるイケメン
<0417> 微妙すぎるイケメン

//<0418> ロリコン
<0418> ロリコン

//<0419> メガネ仲間
<0419> メガネ仲間

//<0420> 暗算日本記録保持者
<0420> 暗算日本記録保持者

//<0421> 通り魔
<0421> 通り魔

//<0422> 記憶ナシ男
<0422> 記憶ナシ男

//<0423> 音速
<0423> 音速

//<0424> 無限
<0424> 無限

//<0425> エロ侍
<0425> エロ侍

//<0426> エロエロ団ナンバー１
<0426> エロエロ団ナンバー１

//<0427> ただのエロ少年
<0427> ただのエロ少年

//<0428> ユリブサイク
<0428> ユリブサイク

//<0429> ドピュッシー
<0429> ドピュッシー

//<0430> アメリカンエロドッグ
<0430> アメリカンエロドッグ

//<0431> ゼウス
<0431> ゼウス

//<0432> 日向markⅡ
<0432> 日向markⅡ

//<0433> 糞虫
<0433> 糞虫

//<0434> 量産型日向
<0434> 量産型日向

//<0435> ？？
<0435> ？？

//<0436> 「カモーン、果たしてお前に俺を捕まえられるかな？」
<0436> 「カモーン、果たしてお前に俺を捕まえられるかな？」

//<0437> 俺は両手の拳で顔面を守り、ステップを踏む。次来たら、かわした後、右ストレートを顎にお見舞いするためだ。
<0437> 俺は両手の拳で顔面を守り、ステップを踏む。次来たら、かわした後、右ストレートを顎にお見舞いするためだ。

//<0438> nothing
<0438> nothing

//<0439> nothing
<0439> nothing

//<0440> nothing
<0440> nothing

//<0441> nothing
<0441> nothing

//<0442> nothing
<0442> nothing

//<0443> 日向
<0443> 日向

//<0444> 男Ｂ
<0444> 男Ｂ

//<0445> エロエロ団総帥
<0445> エロエロ団総帥

//<0446> イケチン
<0446> イケチン

//<0447> ホモ太
<0447> ホモ太

//<0448> ひなチン
<0448> ひなチン

//<0449> 秀樹
<0449> 秀樹

//<0450> 男子生徒
<0450> 男子生徒

//<0451> ？？
<0451> ？？

//<0452> 「おっと、そういう遊びだったのかよっ！　じゃ、いっくぜぇーー！！」
<0452> 「おっと、そういう遊びだったのかよっ！　じゃ、いっくぜぇーー！！」

//<0453> 音無
<0453> 音無

//<0454> クソ坊主
<0454> クソ坊主

//<0455> 代理人
<0455> 代理人

//<0456> 微妙すぎるイケメン
<0456> 微妙すぎるイケメン

//<0457> ロリコン
<0457> ロリコン

//<0458> メガネ仲間
<0458> メガネ仲間

//<0459> 暗算日本記録保持者
<0459> 暗算日本記録保持者

//<0460> 通り魔
<0460> 通り魔

//<0461> 記憶ナシ男
<0461> 記憶ナシ男

//<0462> 音速
<0462> 音速

//<0463> 無限
<0463> 無限

//<0464> エロ侍
<0464> エロ侍

//<0465> エロエロ団ナンバー１
<0465> エロエロ団ナンバー１

//<0466> ただのエロ少年
<0466> ただのエロ少年

//<0467> ユリブサイク
<0467> ユリブサイク

//<0468> ドピュッシー
<0468> ドピュッシー

//<0469> アメリカンエロドッグ
<0469> アメリカンエロドッグ

//<0470> ゼウス
<0470> ゼウス

//<0471> 日向markⅡ
<0471> 日向markⅡ

//<0472> 糞虫
<0472> 糞虫

//<0473> 量産型日向
<0473> 量産型日向

//<0474> ？？
<0474> ？？

//<0475> 「カモーン！」
<0475> 「カモーン！」

//<0476> none
<0476> none

//<0477> bs3_
<0477> bs3_

//<0478> nothing
<0478> nothing

//<0479> nothing
<0479> nothing

//<0480> nothing
<0480> nothing

//<0481> nothing
<0481> nothing

//<0482> nothing
<0482> nothing

//<0483> nothing
<0483> nothing

//<0484> 
<0484> 

//<0485> 
<0485> 

//<0486> nothing
<0486> nothing

//<0487> 日向
<0487> 日向

//<0488> 男Ｂ
<0488> 男Ｂ

//<0489> エロエロ団総帥
<0489> エロエロ団総帥

//<0490> イケチン
<0490> イケチン

//<0491> ホモ太
<0491> ホモ太

//<0492> ひなチン
<0492> ひなチン

//<0493> 秀樹
<0493> 秀樹

//<0494> 男子生徒
<0494> 男子生徒

//<0495> ？？
<0495> ？？

//<0496> 「うおりゃっ！」
<0496> 「うおりゃっ！」

//<0497> 飛び込んできた日向のフックをバックステップでかわす。
<0497> 飛び込んできた日向のフックをバックステップでかわす。

//<0498> 音無
<0498> 音無

//<0499> クソ坊主
<0499> クソ坊主

//<0500> 代理人
<0500> 代理人

//<0501> 微妙すぎるイケメン
<0501> 微妙すぎるイケメン

//<0502> ロリコン
<0502> ロリコン

//<0503> メガネ仲間
<0503> メガネ仲間

//<0504> 暗算日本記録保持者
<0504> 暗算日本記録保持者

//<0505> 通り魔
<0505> 通り魔

//<0506> 記憶ナシ男
<0506> 記憶ナシ男

//<0507> 音速
<0507> 音速

//<0508> 無限
<0508> 無限

//<0509> エロ侍
<0509> エロ侍

//<0510> エロエロ団ナンバー１
<0510> エロエロ団ナンバー１

//<0511> ただのエロ少年
<0511> ただのエロ少年

//<0512> ユリブサイク
<0512> ユリブサイク

//<0513> ドピュッシー
<0513> ドピュッシー

//<0514> アメリカンエロドッグ
<0514> アメリカンエロドッグ

//<0515> ゼウス
<0515> ゼウス

//<0516> 日向markⅡ
<0516> 日向markⅡ

//<0517> 糞虫
<0517> 糞虫

//<0518> 量産型日向
<0518> 量産型日向

//<0519> ？？
<0519> ？？

//<0520> 「おいおい、かすりもしてねーぜ？」
<0520> 「おいおい、かすりもしてねーぜ？」

//<0521> nothing
<0521> nothing

//<0522> nothing
<0522> nothing

//<0523> nothing
<0523> nothing

//<0524> nothing
<0524> nothing

//<0525> nothing
<0525> nothing

//<0526> 日向
<0526> 日向

//<0527> 男Ｂ
<0527> 男Ｂ

//<0528> エロエロ団総帥
<0528> エロエロ団総帥

//<0529> イケチン
<0529> イケチン

//<0530> ホモ太
<0530> ホモ太

//<0531> ひなチン
<0531> ひなチン

//<0532> 秀樹
<0532> 秀樹

//<0533> 男子生徒
<0533> 男子生徒

//<0534> ？？
<0534> ？？

//<0535> 「まだ手加減してんだよ。次は必ず捉えてみせるぜぇー？」
<0535> 「まだ手加減してんだよ。次は必ず捉えてみせるぜぇー？」

//<0536> nothing
<0536> nothing

//<0537> nothing
<0537> nothing

//<0538> nothing
<0538> nothing

//<0539> nothing
<0539> nothing

//<0540> nothing
<0540> nothing

//<0541> 日向
<0541> 日向

//<0542> 男Ｂ
<0542> 男Ｂ

//<0543> エロエロ団総帥
<0543> エロエロ団総帥

//<0544> イケチン
<0544> イケチン

