// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ゆりは俺たちが居ることを確認すると、部屋の明かりを落としてプロジェクターを点けた。
<0000> ゆりは俺たちが居ることを確認すると、部屋の明かりを落としてプロジェクターを点けた。

//<0108> nothing
<0108> nothing

//<0109> nothing
<0109> nothing

//<0110> nothing
<0110> nothing

//<0111> nothing
<0111> nothing

//<0112> ユイ
<0112> ユイ
{25cd} 09 // 0112

//<0113> 「誰よりも高くジャンプしろぉーー！！　いくぞー！　
<0113> 「誰よりも高くジャンプしろぉーー！！　いくぞー！　

//<0114> nothing
<0114> nothing

//<0115> nothing
<0115> nothing

//<0116> nothing
<0116> nothing

//<0117> nothing
<0117> nothing

//<0118> nothing
<0118> nothing

//<0119> ワン
<0119> ワン

//<0120> nothing
<0120> nothing

//<0121> nothing
<0121> nothing

//<0122> nothing
<0122> nothing

//<0123> nothing
<0123> nothing

//<0124> nothing
<0124> nothing

//<0125> ツー
<0125> ツー

//<0126> nothing
<0126> nothing

//<0127> nothing
<0127> nothing

//<0128> nothing
<0128> nothing

//<0129> nothing
<0129> nothing

//<0130> nothing
<0130> nothing

//<0131> スリー
<0131> スリー

//<0132> nothing
<0132> nothing

//<0133> nothing
<0133> nothing

//<0134> nothing
<0134> nothing

//<0135> nothing
<0135> nothing

//<0136> nothing
<0136> nothing

//<0137> フォー！！」
<0137> フォー！！」

//<0138> se_kick
<0138> se_kick

//<0139> nothing
<0139> nothing

//<0140> nothing
<0140> nothing

//<0141> nothing
<0141> nothing

//<0142> nothing
<0142> nothing

//<0143> nothing
<0143> nothing

//<0144> そう煽り、勢いよくマイクスタンドを蹴り上げた。
<0144> そう煽り、勢いよくマイクスタンドを蹴り上げた。

//<0145> se_wood_bloken
<0145> se_wood_bloken

//<0146> nothing
<0146> nothing

//<0147> nothing
<0147> nothing

//<0148> nothing
<0148> nothing

//<0149> nothing
<0149> nothing

//<0150> nothing
<0150> nothing

//<0151> nothing
<0151> nothing

//<0152> se_neckcord
<0152> se_neckcord

//<0153> それが天井に突き刺さり、そこから伸びるシールドが奇跡的にユイの首を絞めた。
<0153> それが天井に突き刺さり、そこから伸びるシールドが奇跡的にユイの首を絞めた。

//<0154> だらん、とその体が垂れる。
<0154> だらん、とその体が垂れる。

//<0155> 大山
<0155> 大山

//<0156> 「うわあっ！　感電しながら、首吊ってるよ、この人！！」
<0156> 「うわあっ！　感電しながら、首吊ってるよ、この人！！」

//<0157> se_neckcord
<0157> se_neckcord

//<0158> びくっびくっ、と震え、白目を剥いて、涎まで流している。
<0158> びくっびくっ、と震え、白目を剥いて、涎まで流している。

//<0159> 高松
<0159> 高松

//<0160> 「なにかのパフォーマンスですか…」
<0160> 「なにかのパフォーマンスですか…」

//<0161> 藤巻
<0161> 藤巻

//<0162> 「デスメタルだったのか…」
<0162> 「デスメタルだったのか…」

//<0163> ＴＫ
<0163> ＴＫ

//<0164> 「
<0164> 「

//<0165> Crazy for you
<0165> Crazy for you

//<0166> 」
<0166> 」

//<0167> ユイ
<0167> ユイ

//<0168> 「し…しぬっ…」
<0168> 「し…しぬっ…」

//<0169> 音無
<0169> 音無

//<0170> クソ坊主
<0170> クソ坊主

//<0171> 代理人
<0171> 代理人

//<0172> 微妙すぎるイケメン
<0172> 微妙すぎるイケメン

//<0173> ロリコン
<0173> ロリコン

//<0174> メガネ仲間
<0174> メガネ仲間

//<0175> 暗算日本記録保持者
<0175> 暗算日本記録保持者

//<0176> 通り魔
<0176> 通り魔

//<0177> 記憶ナシ男
<0177> 記憶ナシ男

//<0178> 音速
<0178> 音速

//<0179> 無限
<0179> 無限

//<0180> エロ侍
<0180> エロ侍

//<0181> エロエロ団ナンバー１
<0181> エロエロ団ナンバー１

//<0182> ただのエロ少年
<0182> ただのエロ少年

//<0183> ユリブサイク
<0183> ユリブサイク

//<0184> ドピュッシー
<0184> ドピュッシー

//<0185> アメリカンエロドッグ
<0185> アメリカンエロドッグ

//<0186> ゼウス
<0186> ゼウス

//<0187> 日向markⅡ
<0187> 日向markⅡ

//<0188> 糞虫
<0188> 糞虫

//<0189> 量産型日向
<0189> 量産型日向

//<0190> ？？
<0190> ？？

//<0191> 「いや、事故のようだぞ…」
<0191> 「いや、事故のようだぞ…」

//<0192> 格好は犬のままだが、冷静に告げる。
<0192> 格好は犬のままだが、冷静に告げる。

//<0193> 日向たちが助けるが、うつぶせになったまま動かない。
<0193> 日向たちが助けるが、うつぶせになったまま動かない。

//<0194> 松下
<0194> 松下

//<0195> 「なんてブラックなギャグを…」
<0195> 「なんてブラックなギャグを…」

//<0196> ゆり
<0196> ゆり

//<0197> 女生徒
<0197> 女生徒

//<0198> ？？
<0198> ？？

//<0199> 「なんてブラックなギャグを…」
<0199> 「なんてブラックなギャグを…」

//<0200> nothing
<0200> nothing

//<0201> nothing
<0201> nothing

//<0202> nothing
<0202> nothing

//<0203> nothing
<0203> nothing

//<0204> nothing
<0204> nothing

//<0205> ユイ
<0205> ユイ

//<0206> 「ギャグじゃないやいっ！」
<0206> 「ギャグじゃないやいっ！」

//<0207> nothing
<0207> nothing

//<0208> nothing
<0208> nothing

//<0209> nothing
<0209> nothing

//<0210> nothing
<0210> nothing

//<0211> nothing
<0211> nothing

//<0212> いきなり復活した。勢いよく起きあがる。
<0212> いきなり復活した。勢いよく起きあがる。

//<0213> ゆり
<0213> ゆり

//<0214> 女生徒
<0214> 女生徒

//<0215> ？？
<0215> ？？

//<0216> 「でなければ、とんでもないお転婆娘ね…」
<0216> 「でなければ、とんでもないお転婆娘ね…」

//<0217> nothing
<0217> nothing

//<0218> nothing
<0218> nothing

//<0219> nothing
<0219> nothing

//<0220> nothing
<0220> nothing

//<0221> nothing
<0221> nothing

//<0222> ゆり
<0222> ゆり

//<0223> 女生徒
<0223> 女生徒

//<0224> ？？
<0224> ？？

//<0225> 「クールビューティーだった岩沢さんとは正反対。
<0225> 「クールビューティーだった岩沢さんとは正反対。
{534b} 3e // 0225

//<0226> Girls Dead Monster
<0226> Girls Dead Monster

//<0227> のリードボーカルとしていかがなものかしら」
<0227> のリードボーカルとしていかがなものかしら」

//<0228> 高松
<0228> 高松

//<0229> 「その通りです。岩沢さんだったからこその、ガルデモでした…」
<0229> 「その通りです。岩沢さんだったからこその、ガルデモでした…」

//<0230> nothing
<0230> nothing

//<0231> nothing
<0231> nothing

//<0232> nothing
<0232> nothing

//<0233> nothing
<0233> nothing

//<0234> nothing
<0234> nothing

//<0235> 真剣な声で、そう答える高松。
<0235> 真剣な声で、そう答える高松。

//<0236> 岩沢の居たガルデモのファンだったんだ、その思いは人一倍大きなものだろう。
<0236> 岩沢の居たガルデモのファンだったんだ、その思いは人一倍大きなものだろう。

//<0237> やはり高松は、岩沢の居たガルデモのファンだったんじゃないだろうか？
<0237> やはり高松は、岩沢の居たガルデモのファンだったんじゃないだろうか？

//<0238> nothing
<0238> nothing

//<0239> nothing
<0239> nothing

//<0240> nothing
<0240> nothing

//<0241> nothing
<0241> nothing

//<0242> 藤巻
<0242> 藤巻

//<0243> 「別の奴を探すかぁー」
<0243> 「別の奴を探すかぁー」

//<0244> nothing
<0244> nothing

//<0245> nothing
<0245> nothing

//<0246> nothing
<0246> nothing

//<0247> nothing
<0247> nothing

//<0248> nothing
<0248> nothing

//<0249> 日向
<0249> 日向

//<0250> 男Ｂ
<0250> 男Ｂ

//<0251> エロエロ団総帥
<0251> エロエロ団総帥

//<0252> イケチン
<0252> イケチン

//<0253> ホモ太
<0253> ホモ太

//<0254> ひなチン
<0254> ひなチン

//<0255> 秀樹
<0255> 秀樹

//<0256> 男子生徒
<0256> 男子生徒

//<0257> ？？
<0257> ？？

//<0258> 「そうするか」
<0258> 「そうするか」

//<0259> 音無
<0259> 音無

//<0260> クソ坊主
<0260> クソ坊主

//<0261> 代理人
<0261> 代理人

//<0262> 微妙すぎるイケメン
<0262> 微妙すぎるイケメン

//<0263> ロリコン
<0263> ロリコン

//<0264> メガネ仲間
<0264> メガネ仲間

//<0265> 暗算日本記録保持者
<0265> 暗算日本記録保持者

//<0266> 通り魔
<0266> 通り魔

//<0267> 記憶ナシ男
<0267> 記憶ナシ男

//<0268> 音速
<0268> 音速

//<0269> 無限
<0269> 無限

//<0270> エロ侍
<0270> エロ侍

//<0271> エロエロ団ナンバー１
<0271> エロエロ団ナンバー１

//<0272> ただのエロ少年
<0272> ただのエロ少年

//<0273> ユリブサイク
<0273> ユリブサイク

//<0274> ドピュッシー
<0274> ドピュッシー

//<0275> アメリカンエロドッグ
<0275> アメリカンエロドッグ

//<0276> ゼウス
<0276> ゼウス

//<0277> 日向markⅡ
<0277> 日向markⅡ

//<0278> 糞虫
<0278> 糞虫

//<0279> 量産型日向
<0279> 量産型日向

//<0280> ？？
<0280> ？？

//<0281> 「右に同じ」
<0281> 「右に同じ」

//<0282> nothing
<0282> nothing

//<0283> nothing
<0283> nothing

//<0284> nothing
<0284> nothing

//<0285> nothing
<0285> nothing

//<0286> nothing
<0286> nothing

//<0287> ユイ
<0287> ユイ

//<0288> 「こらああーーーっ！！　ちゃんと歌えてただろーーっ！！　これでも岩沢さんの大ファンで全曲歌えるんだからなぁーーっ！！」
<0288> 「こらああーーーっ！！　ちゃんと歌えてただろーーっ！！　これでも岩沢さんの大ファンで全曲歌えるんだからなぁーーっ！！」

//<0289> 日向
<0289> 日向

//<0290> 男Ｂ
<0290> 男Ｂ

//<0291> エロエロ団総帥
<0291> エロエロ団総帥

//<0292> イケチン
<0292> イケチン

//<0293> ホモ太
<0293> ホモ太

//<0294> ひなチン
<0294> ひなチン

//<0295> 秀樹
<0295> 秀樹

//<0296> 男子生徒
<0296> 男子生徒

//<0297> ？？
<0297> ？？

//<0298> 「心に訴えるもんがなかったな」
<0298> 「心に訴えるもんがなかったな」

//<0299> 高松
<0299> 高松

//<0300> 「ありませんね」
<0300> 「ありませんね」

//<0301> 藤巻
<0301> 藤巻

//<0302> 「ねぇな」
<0302> 「ねぇな」

//<0303> 音無
<0303> 音無

//<0304> クソ坊主
<0304> クソ坊主

//<0305> 代理人
<0305> 代理人

//<0306> 微妙すぎるイケメン
<0306> 微妙すぎるイケメン

//<0307> ロリコン
<0307> ロリコン

//<0308> メガネ仲間
<0308> メガネ仲間

//<0309> 暗算日本記録保持者
<0309> 暗算日本記録保持者

//<0310> 通り魔
<0310> 通り魔

//<0311> 記憶ナシ男
<0311> 記憶ナシ男

//<0312> 音速
<0312> 音速

//<0313> 無限
<0313> 無限

//<0314> エロ侍
<0314> エロ侍

//<0315> エロエロ団ナンバー１
<0315> エロエロ団ナンバー１

//<0316> ただのエロ少年
<0316> ただのエロ少年

//<0317> ユリブサイク
<0317> ユリブサイク

//<0318> ドピュッシー
<0318> ドピュッシー

//<0319> アメリカンエロドッグ
<0319> アメリカンエロドッグ

//<0320> ゼウス
<0320> ゼウス

//<0321> 日向markⅡ
<0321> 日向markⅡ

//<0322> 糞虫
<0322> 糞虫

//<0323> 量産型日向
<0323> 量産型日向

//<0324> ？？
<0324> ？？

//<0325> 「右に同じ」
<0325> 「右に同じ」

//<0326> nothing
<0326> nothing

//<0327> nothing
<0327> nothing

//<0328> nothing
<0328> nothing

//<0329> nothing
<0329> nothing

//<0330> nothing
<0330> nothing

//<0331> ユイ
<0331> ユイ

//<0332> 「こらこらああーーーーっ！！　そんな曖昧な感性で若い芽をつみ取りにかかるなあぁぁーーっ！！　それでもお前ら先輩かああぁぁーーっ！！」
<0332> 「こらこらああーーーーっ！！　そんな曖昧な感性で若い芽をつみ取りにかかるなあぁぁーーっ！！　それでもお前ら先輩かああぁぁーーっ！！」

//<0333> 野田
<0333> 野田

//<0334> 男Ｆ
<0334> 男Ｆ

//<0335> イケパイ
<0335> イケパイ

//<0336> 男
<0336> 男

//<0337> ？？
<0337> ？？

//<0338> 「うるさいやつだな…すでに言動に難ありだぞ…どうするんだ、ゆりっぺ」
<0338> 「うるさいやつだな…すでに言動に難ありだぞ…どうするんだ、ゆりっぺ」

//<0339> nothing
<0339> nothing

//<0340> nothing
<0340> nothing

//<0341> nothing
<0341> nothing

//<0342> nothing
<0342> nothing

//<0343> nothing
<0343> nothing

//<0344> ゆり
<0344> ゆり

//<0345> 女生徒
<0345> 女生徒

//<0346> ？？
<0346> ？？

//<0347> 「やる気だけはありそうね…」
<0347> 「やる気だけはありそうね…」

//<0348> 藤巻
<0348> 藤巻

//<0349> 「単にミーハーなだけだぜ…」
<0349> 「単にミーハーなだけだぜ…」

//<0350> 音無
<0350> 音無

//<0351> クソ坊主
<0351> クソ坊主

//<0352> 代理人
<0352> 代理人

//<0353> 微妙すぎるイケメン
<0353> 微妙すぎるイケメン

//<0354> ロリコン
<0354> ロリコン

//<0355> メガネ仲間
<0355> メガネ仲間

//<0356> 暗算日本記録保持者
<0356> 暗算日本記録保持者

//<0357> 通り魔
<0357> 通り魔

//<0358> 記憶ナシ男
<0358> 記憶ナシ男

//<0359> 音速
<0359> 音速

//<0360> 無限
<0360> 無限

//<0361> エロ侍
<0361> エロ侍

//<0362> エロエロ団ナンバー１
<0362> エロエロ団ナンバー１

//<0363> ただのエロ少年
<0363> ただのエロ少年

//<0364> ユリブサイク
<0364> ユリブサイク

//<0365> ドピュッシー
<0365> ドピュッシー

//<0366> アメリカンエロドッグ
<0366> アメリカンエロドッグ

//<0367> ゼウス
<0367> ゼウス

//<0368> 日向markⅡ
<0368> 日向markⅡ

//<0369> 糞虫
<0369> 糞虫

//<0370> 量産型日向
<0370> 量産型日向

//<0371> ？？
<0371> ？？

//<0372> 「まったくだ」
<0372> 「まったくだ」

//<0373> 音無
<0373> 音無

//<0374> クソ坊主
<0374> クソ坊主

//<0375> 代理人
<0375> 代理人

//<0376> 微妙すぎるイケメン
<0376> 微妙すぎるイケメン

//<0377> ロリコン
<0377> ロリコン

//<0378> メガネ仲間
<0378> メガネ仲間

//<0379> 暗算日本記録保持者
<0379> 暗算日本記録保持者

//<0380> 通り魔
<0380> 通り魔

//<0381> 記憶ナシ男
<0381> 記憶ナシ男

//<0382> 音速
<0382> 音速

//<0383> 無限
<0383> 無限

//<0384> エロ侍
<0384> エロ侍

//<0385> エロエロ団ナンバー１
<0385> エロエロ団ナンバー１

//<0386> ただのエロ少年
<0386> ただのエロ少年

//<0387> ユリブサイク
<0387> ユリブサイク

//<0388> ドピュッシー
<0388> ドピュッシー

//<0389> アメリカンエロドッグ
<0389> アメリカンエロドッグ

//<0390> ゼウス
<0390> ゼウス

//<0391> 日向markⅡ
<0391> 日向markⅡ

//<0392> 糞虫
<0392> 糞虫

//<0393> 量産型日向
<0393> 量産型日向

//<0394> ？？
<0394> ？？

//<0395> 「個人的にはアリなんだが…そう思ってるのは俺ひとりだけか？」
<0395> 「個人的にはアリなんだが…そう思ってるのは俺ひとりだけか？」

//<0396> nothing
<0396> nothing

//<0397> nothing
<0397> nothing

//<0398> nothing
<0398> nothing

//<0399> nothing
<0399> nothing

//<0400> nothing
<0400> nothing

//<0401> ゆり
<0401> ゆり

//<0402> 女生徒
<0402> 女生徒

//<0403> ？？
<0403> ？？

//<0404> 「いいえ。あたしも、岩沢さんとは正反対だけど、もしかしたら…と感じ始めていたところよ」
<0404> 「いいえ。あたしも、岩沢さんとは正反対だけど、もしかしたら…と感じ始めていたところよ」

//<0405> 日向
<0405> 日向

//<0406> 男Ｂ
<0406> 男Ｂ

//<0407> エロエロ団総帥
<0407> エロエロ団総帥

//<0408> イケチン
<0408> イケチン

//<0409> ホモ太
<0409> ホモ太

//<0410> ひなチン
<0410> ひなチン

//<0411> 秀樹
<0411> 秀樹

//<0412> 男子生徒
<0412> 男子生徒

//<0413> ？？
<0413> ？？

//<0414> 「マジかよっ！？」
<0414> 「マジかよっ！？」

//<0415> nothing
<0415> nothing

//<0416> nothing
<0416> nothing

//<0417> nothing
<0417> nothing

//<0418> nothing
<0418> nothing

//<0419> nothing
<0419> nothing

//<0420> ゆり
<0420> ゆり

//<0421> 女生徒
<0421> 女生徒

//<0422> ？？
<0422> ？？

//<0423> 「後はバンドメンバーに任せるかー」
<0423> 「後はバンドメンバーに任せるかー」

//<0424> nothing
<0424> nothing

//<0425> nothing
<0425> nothing

//<0426> nothing
<0426> nothing

//<0427> nothing
<0427> nothing

//<0428> nothing
<0428> nothing

//<0429> ユイ
<0429> ユイ

//<0430> 「やったーー！！　ギターのひさ子さんと組めるぅーーーっっ！！」
<0430> 「やったーー！！　ギターのひさ子さんと組めるぅーーーっっ！！」

//<0431> 音無
<0431> 音無

//<0432> クソ坊主
<0432> クソ坊主

//<0433> 代理人
<0433> 代理人

//<0434> 微妙すぎるイケメン
<0434> 微妙すぎるイケメン

//<0435> ロリコン
<0435> ロリコン

//<0436> メガネ仲間
<0436> メガネ仲間

//<0437> 暗算日本記録保持者
<0437> 暗算日本記録保持者

//<0438> 通り魔
<0438> 通り魔

//<0439> 記憶ナシ男
<0439> 記憶ナシ男

//<0440> 音速
<0440> 音速

//<0441> 無限
<0441> 無限

//<0442> エロ侍
<0442> エロ侍

//<0443> エロエロ団ナンバー１
<0443> エロエロ団ナンバー１

//<0444> ただのエロ少年
<0444> ただのエロ少年

//<0445> ユリブサイク
<0445> ユリブサイク

//<0446> ドピュッシー
<0446> ドピュッシー

//<0447> アメリカンエロドッグ
<0447> アメリカンエロドッグ

//<0448> ゼウス
<0448> ゼウス

//<0449> 日向markⅡ
<0449> 日向markⅡ

//<0450> 糞虫
<0450> 糞虫

//<0451> 量産型日向
<0451> 量産型日向

//<0452> ？？
<0452> ？？

//<0453> （空元気なんだろうけど、よくぞそこまで言えたもんだ…）
<0453> （空元気なんだろうけど、よくぞそこまで言えたもんだ…）

//<0454> 俺はユイの心情がわかってるだけに、感心する。
<0454> 俺はユイの心情がわかってるだけに、感心する。

//<0455> nothing
<0455> nothing

//<0456> nothing
<0456> nothing

//<0457> nothing
<0457> nothing

//<0458> nothing
<0458> nothing

//<0459> nothing
<0459> nothing

//<0460> ユイ
<0460> ユイ

//<0461> 「ひさ子さんのあのわけのわかんない奏法、たまんないっすよねーーっ！！　頭どうなってんすかねえーーっ！！」
<0461> 「ひさ子さんのあのわけのわかんない奏法、たまんないっすよねーーっ！！　頭どうなってんすかねえーーっ！！」

//<0462> だが、その言葉は余計だ。
<0462> だが、その言葉は余計だ。

//<0463> nothing
<0463> nothing

//<0464> nothing
<0464> nothing

//<0465> nothing
<0465> nothing

//<0466> nothing
<0466> nothing

//<0467> 日向
<0467> 日向

//<0468> 男Ｂ
<0468> 男Ｂ

//<0469> エロエロ団総帥
<0469> エロエロ団総帥

//<0470> イケチン
<0470> イケチン

//<0471> ホモ太
<0471> ホモ太

//<0472> ひなチン
<0472> ひなチン

//<0473> 秀樹
<0473> 秀樹

//<0474> 男子生徒
<0474> 男子生徒

//<0475> ？？
<0475> ？？

//<0476> 「クビだな」
<0476> 「クビだな」

//<0477> nothing
<0477> nothing

//<0478> nothing
<0478> nothing

//<0479> nothing
<0479> nothing

//<0480> nothing
<0480> nothing

//<0481> nothing
<0481> nothing

//<0482> 高松
<0482> 高松

//<0483> 「クビですね」
<0483> 「クビですね」

//<0484> nothing
<0484> nothing

//<0485> nothing
<0485> nothing

//<0486> nothing
<0486> nothing

//<0487> nothing
<0487> nothing

//<0488> nothing
<0488> nothing

//<0489> ユイ
<0489> ユイ

//<0490> 「ええええぇぇーーーーー！　なんか悪いことしましたかああーーーっ！？」
<0490> 「ええええぇぇーーーーー！　なんか悪いことしましたかああーーーっ！？」

//<0491> nothing
<0491> nothing

//<0492> nothing
<0492> nothing

//<0493> nothing
<0493> nothing

//<0494> nothing
<0494> nothing

//<0495> nothing
<0495> nothing

//<0496> nothing
<0496> nothing

//<0497> 高松とＴＫに両腕を抱えられ、本部から引きずり出されていった。
<0497> 高松とＴＫに両腕を抱えられ、本部から引きずり出されていった。

//<0498> 松下五段とＴＫに両腕を抱えられ、本部から引きずり出されていった。
<0498> 松下五段とＴＫに両腕を抱えられ、本部から引きずり出されていった。

//<0499> nothing
<0499> nothing

//<0500> nothing
<0500> nothing

//<0501> nothing
<0501> nothing

//<0502> nothing
<0502> nothing

//<0503> nothing
<0503> nothing

//<0504> ゆり
<0504> ゆり

//<0505> 女生徒
<0505> 女生徒

//<0506> ？？
<0506> ？？

//<0507> 「はぁ…バンドがこんなんじゃ、明日の球技大会で、大々的な作戦は行えないわね…」
<0507> 「はぁ…バンドがこんなんじゃ、明日の球技大会で、大々的な作戦は行えないわね…」

//<0508> nothing
<0508> nothing

//<0509> nothing
<0509> nothing

//<0510> nothing
<0510> nothing

//<0511> nothing
<0511> nothing

//<0512> nothing
<0512> nothing

//<0513> ため息をつくゆり。
<0513> ため息をつくゆり。

//<0514> 音無
<0514> 音無

//<0515> クソ坊主
<0515> クソ坊主

//<0516> 代理人
<0516> 代理人

//<0517> 微妙すぎるイケメン
<0517> 微妙すぎるイケメン

//<0518> ロリコン
<0518> ロリコン

//<0519> メガネ仲間
<0519> メガネ仲間

//<0520> 暗算日本記録保持者
<0520> 暗算日本記録保持者

//<0521> 通り魔
<0521> 通り魔

//<0522> 記憶ナシ男
<0522> 記憶ナシ男

//<0523> 音速
<0523> 音速

//<0524> 無限
