// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> sys_sa_page_cbtn01
<0000> sys_sa_page_cbtn01
//<0142> sys_sa_bg00
<0142> sys_sa_bg00

//<0143> sys_lo_bg00
<0143> sys_lo_bg00

//<0144> sys_sl_page_info_bg00
<0144> sys_sl_page_info_bg00

//<0145> sys_sa_setbtn_bg00
<0145> sys_sa_setbtn_bg00

//<0146> sys_sa_setbtn01
<0146> sys_sa_setbtn01

//<0147> sys_sa_setbtn02
<0147> sys_sa_setbtn02

//<0148> sys_sa_chk00
<0148> sys_sa_chk00

//<0149> sys_lo_setbtn_bg00
<0149> sys_lo_setbtn_bg00

//<0150> sys_lo_setbtn01
<0150> sys_lo_setbtn01

//<0151> sys_lo_setbtn02
<0151> sys_lo_setbtn02

//<0152> sys_lo_chk00
<0152> sys_lo_chk00

//<0153> sys_sa_setbtn_bg00
<0153> sys_sa_setbtn_bg00

//<0154> sys_sa_setbtn01
<0154> sys_sa_setbtn01

//<0155> sys_sa_setbtn02
<0155> sys_sa_setbtn02

//<0156> sys_sa_chk00
<0156> sys_sa_chk00

//<0157> sys_lo_setbtn_bg00
<0157> sys_lo_setbtn_bg00

//<0158> sys_lo_setbtn01
<0158> sys_lo_setbtn01

//<0159> sys_lo_setbtn02
<0159> sys_lo_setbtn02

//<0160> sys_lo_chk00
<0160> sys_lo_chk00

//<0161> sys_sa_setbtn_bg00
<0161> sys_sa_setbtn_bg00

//<0162> sys_sa_setbtn01
<0162> sys_sa_setbtn01

//<0163> sys_sa_setbtn02
<0163> sys_sa_setbtn02

//<0164> sys_sa_chk00
<0164> sys_sa_chk00

//<0165> sys_lo_setbtn_bg00
<0165> sys_lo_setbtn_bg00

//<0166> sys_lo_setbtn01
<0166> sys_lo_setbtn01

//<0167> sys_lo_setbtn02
<0167> sys_lo_setbtn02

//<0168> sys_lo_chk00
<0168> sys_lo_chk00

//<0169> sys_sa_info01
<0169> sys_sa_info01

//<0170> sys_sa_info01
<0170> sys_sa_info01

//<0171> sys_sa_info02
<0171> sys_sa_info02

//<0172> sys_lo_info00
<0172> sys_lo_info00

//<0173> sys_sa_info02
<0173> sys_sa_info02

//<0174> sys_lo_info00
<0174> sys_lo_info00

//<0175> sys_sa_chkmark00
<0175> sys_sa_chkmark00

//<0176> sys_mw_setbtn_bg00
<0176> sys_mw_setbtn_bg00

//<0177> sys_sa_setbtn01
<0177> sys_sa_setbtn01

//<0178> sys_sa_setbtn02
<0178> sys_sa_setbtn02

//<0179> sys_sa_chk00
<0179> sys_sa_chk00

//<0180> bg_kuro
<0180> bg_kuro

//<0181> bg_kuro
<0181> bg_kuro

