// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ようやく、オペレーションも終わり、これで何の気兼ねなく岩沢とまた会えるはずだ。
<0000> ようやく、オペレーションも終わり、これで何の気兼ねなく岩沢とまた会えるはずだ。
//<0066> 記憶ナシ男
<0066> 記憶ナシ男

//<0067> 音速
<0067> 音速

//<0068> 無限
<0068> 無限

//<0069> エロ侍
<0069> エロ侍

//<0070> エロエロ団ナンバー１
<0070> エロエロ団ナンバー１

//<0071> ただのエロ少年
<0071> ただのエロ少年

//<0072> ユリブサイク
<0072> ユリブサイク

//<0073> ドピュッシー
<0073> ドピュッシー

//<0074> アメリカンエロドッグ
<0074> アメリカンエロドッグ

//<0075> ゼウス
<0075> ゼウス

//<0076> 日向markⅡ
<0076> 日向markⅡ

//<0077> 糞虫
<0077> 糞虫

//<0078> 量産型日向
<0078> 量産型日向

//<0079> ？？
<0079> ？？

//<0080> 「いいよ、続けろよ、待ってるから」
<0080> 「いいよ、続けろよ、待ってるから」

//<0081> nothing
<0081> nothing

//<0082> nothing
<0082> nothing

//<0083> nothing
<0083> nothing

//<0084> nothing
<0084> nothing

//<0085> nothing
<0085> nothing

//<0086> 岩沢
<0086> 岩沢

//<0087> 「…そ」
<0087> 「…そ」

//<0088> nothing
<0088> nothing

//<0089> nothing
<0089> nothing

//<0090> nothing
<0090> nothing

//<0091> nothing
<0091> nothing

//<0092> nothing
<0092> nothing

//<0093> nothing
<0093> nothing

//<0094> それだけ答えて、またギターを弾いては鼻歌を乗せ、ノートにシャーペンを走らせた。
<0094> それだけ答えて、またギターを弾いては鼻歌を乗せ、ノートにシャーペンを走らせた。

//<0095> その横顔はとても美しい。永遠に見ていたいぐらいだ。
<0095> その横顔はとても美しい。永遠に見ていたいぐらいだ。

//<0096> nothing
<0096> nothing

//<0097> nothing
<0097> nothing

//<0098> nothing
<0098> nothing

//<0099> nothing
<0099> nothing

//<0100> nothing
<0100> nothing

//<0101> 岩沢
<0101> 岩沢

//<0102> 「ま、今日はこんなところか」
<0102> 「ま、今日はこんなところか」

//<0103> ペンを置いて伸びをする。終わったようだ。
<0103> ペンを置いて伸びをする。終わったようだ。

//<0104> nothing
<0104> nothing

//<0105> nothing
<0105> nothing

//<0106> nothing
<0106> nothing

//<0107> nothing
<0107> nothing

//<0108> nothing
<0108> nothing

//<0109> 岩沢
<0109> 岩沢

//<0110> 「で、今日はどんな話をしてくれるんだ？」
<0110> 「で、今日はどんな話をしてくれるんだ？」

//<0111> 音無
<0111> 音無

//<0112> クソ坊主
<0112> クソ坊主

//<0113> 代理人
<0113> 代理人

//<0114> 微妙すぎるイケメン
<0114> 微妙すぎるイケメン

//<0115> ロリコン
<0115> ロリコン

//<0116> メガネ仲間
<0116> メガネ仲間

//<0117> 暗算日本記録保持者
<0117> 暗算日本記録保持者

//<0118> 通り魔
<0118> 通り魔

//<0119> 記憶ナシ男
<0119> 記憶ナシ男

//<0120> 音速
<0120> 音速

//<0121> 無限
<0121> 無限

//<0122> エロ侍
<0122> エロ侍

//<0123> エロエロ団ナンバー１
<0123> エロエロ団ナンバー１

//<0124> ただのエロ少年
<0124> ただのエロ少年

//<0125> ユリブサイク
<0125> ユリブサイク

//<0126> ドピュッシー
<0126> ドピュッシー

//<0127> アメリカンエロドッグ
<0127> アメリカンエロドッグ

//<0128> ゼウス
<0128> ゼウス

//<0129> 日向markⅡ
<0129> 日向markⅡ

//<0130> 糞虫
<0130> 糞虫

//<0131> 量産型日向
<0131> 量産型日向

//<0132> ？？
<0132> ？？

//<0133> 「えーっと…話のほうがいいか、やっぱ…？」
<0133> 「えーっと…話のほうがいいか、やっぱ…？」

//<0134> nothing
<0134> nothing

//<0135> nothing
<0135> nothing

//<0136> nothing
<0136> nothing

//<0137> nothing
<0137> nothing

//<0138> nothing
<0138> nothing

//<0139> 岩沢
<0139> 岩沢

//<0140> 「なんだよ、もったいぶった言い方だな。何かあるのか？」
<0140> 「なんだよ、もったいぶった言い方だな。何かあるのか？」

//<0141> 音無
<0141> 音無

//<0142> クソ坊主
<0142> クソ坊主

//<0143> 代理人
<0143> 代理人

//<0144> 微妙すぎるイケメン
<0144> 微妙すぎるイケメン

//<0145> ロリコン
<0145> ロリコン

//<0146> メガネ仲間
<0146> メガネ仲間

//<0147> 暗算日本記録保持者
<0147> 暗算日本記録保持者

//<0148> 通り魔
<0148> 通り魔

//<0149> 記憶ナシ男
<0149> 記憶ナシ男

//<0150> 音速
<0150> 音速

//<0151> 無限
<0151> 無限

//<0152> エロ侍
<0152> エロ侍

//<0153> エロエロ団ナンバー１
<0153> エロエロ団ナンバー１

//<0154> ただのエロ少年
<0154> ただのエロ少年

//<0155> ユリブサイク
<0155> ユリブサイク

//<0156> ドピュッシー
<0156> ドピュッシー

//<0157> アメリカンエロドッグ
<0157> アメリカンエロドッグ

//<0158> ゼウス
<0158> ゼウス

//<0159> 日向markⅡ
<0159> 日向markⅡ

//<0160> 糞虫
<0160> 糞虫

//<0161> 量産型日向
<0161> 量産型日向

//<0162> ？？
<0162> ？？

//<0163> 「ああ…えーっと…外に出てみないか？」
<0163> 「ああ…えーっと…外に出てみないか？」

//<0164> nothing
<0164> nothing

//<0165> nothing
<0165> nothing

//<0166> nothing
<0166> nothing

//<0167> nothing
<0167> nothing

//<0168> nothing
<0168> nothing

//<0169> 岩沢
<0169> 岩沢

//<0170> 「外？　どうして？」
<0170> 「外？　どうして？」

//<0171> 音無
<0171> 音無

//<0172> クソ坊主
<0172> クソ坊主

//<0173> 代理人
<0173> 代理人

//<0174> 微妙すぎるイケメン
<0174> 微妙すぎるイケメン

//<0175> ロリコン
<0175> ロリコン

//<0176> メガネ仲間
<0176> メガネ仲間

//<0177> 暗算日本記録保持者
<0177> 暗算日本記録保持者

//<0178> 通り魔
<0178> 通り魔

//<0179> 記憶ナシ男
<0179> 記憶ナシ男

//<0180> 音速
<0180> 音速

//<0181> 無限
<0181> 無限

//<0182> エロ侍
<0182> エロ侍

//<0183> エロエロ団ナンバー１
<0183> エロエロ団ナンバー１

//<0184> ただのエロ少年
<0184> ただのエロ少年

//<0185> ユリブサイク
<0185> ユリブサイク

//<0186> ドピュッシー
<0186> ドピュッシー

//<0187> アメリカンエロドッグ
<0187> アメリカンエロドッグ

//<0188> ゼウス
<0188> ゼウス

//<0189> 日向markⅡ
<0189> 日向markⅡ

//<0190> 糞虫
<0190> 糞虫

//<0191> 量産型日向
<0191> 量産型日向

//<0192> ？？
<0192> ？？

//<0193> 「連れていきたい場所があって」
<0193> 「連れていきたい場所があって」

//<0194> nothing
<0194> nothing

//<0195> nothing
<0195> nothing

//<0196> nothing
<0196> nothing

//<0197> nothing
<0197> nothing

//<0198> nothing
<0198> nothing

//<0199> 岩沢
<0199> 岩沢

//<0200> 「どこ？」
<0200> 「どこ？」

//<0201> 音無
<0201> 音無

//<0202> クソ坊主
<0202> クソ坊主

//<0203> 代理人
<0203> 代理人

//<0204> 微妙すぎるイケメン
<0204> 微妙すぎるイケメン

//<0205> ロリコン
<0205> ロリコン

//<0206> メガネ仲間
<0206> メガネ仲間

//<0207> 暗算日本記録保持者
<0207> 暗算日本記録保持者

//<0208> 通り魔
<0208> 通り魔

//<0209> 記憶ナシ男
<0209> 記憶ナシ男

//<0210> 音速
<0210> 音速

//<0211> 無限
<0211> 無限

//<0212> エロ侍
<0212> エロ侍

//<0213> エロエロ団ナンバー１
<0213> エロエロ団ナンバー１

//<0214> ただのエロ少年
<0214> ただのエロ少年

//<0215> ユリブサイク
<0215> ユリブサイク

//<0216> ドピュッシー
<0216> ドピュッシー

//<0217> アメリカンエロドッグ
<0217> アメリカンエロドッグ

//<0218> ゼウス
<0218> ゼウス

//<0219> 日向markⅡ
<0219> 日向markⅡ

//<0220> 糞虫
<0220> 糞虫

//<0221> 量産型日向
<0221> 量産型日向

//<0222> ？？
<0222> ？？

//<0223> 「それを言ったらつまらなくなるじゃないか」
<0223> 「それを言ったらつまらなくなるじゃないか」

//<0224> nothing
<0224> nothing

//<0225> nothing
<0225> nothing

//<0226> nothing
<0226> nothing

//<0227> nothing
<0227> nothing

//<0228> nothing
<0228> nothing

//<0229> 岩沢
<0229> 岩沢

//<0230> 「うーん…」
<0230> 「うーん…」

//<0231> nothing
<0231> nothing

//<0232> nothing
<0232> nothing

//<0233> nothing
<0233> nothing

//<0234> nothing
<0234> nothing

//<0235> nothing
<0235> nothing

//<0236> 岩沢
<0236> 岩沢

//<0237> 「ま、あんたが言うならいいところなんだろ。いいよ。行くよ」
<0237> 「ま、あんたが言うならいいところなんだろ。いいよ。行くよ」

//<0238> 音無
<0238> 音無

//<0239> クソ坊主
<0239> クソ坊主

//<0240> 代理人
<0240> 代理人

//<0241> 微妙すぎるイケメン
<0241> 微妙すぎるイケメン

//<0242> ロリコン
<0242> ロリコン

//<0243> メガネ仲間
<0243> メガネ仲間

//<0244> 暗算日本記録保持者
<0244> 暗算日本記録保持者

//<0245> 通り魔
<0245> 通り魔

//<0246> 記憶ナシ男
<0246> 記憶ナシ男

//<0247> 音速
<0247> 音速

//<0248> 無限
<0248> 無限

//<0249> エロ侍
<0249> エロ侍

//<0250> エロエロ団ナンバー１
<0250> エロエロ団ナンバー１

//<0251> ただのエロ少年
<0251> ただのエロ少年

//<0252> ユリブサイク
<0252> ユリブサイク

//<0253> ドピュッシー
<0253> ドピュッシー

//<0254> アメリカンエロドッグ
<0254> アメリカンエロドッグ

//<0255> ゼウス
<0255> ゼウス

//<0256> 日向markⅡ
<0256> 日向markⅡ

//<0257> 糞虫
<0257> 糞虫

//<0258> 量産型日向
<0258> 量産型日向

//<0259> ？？
<0259> ？？

//<0260> （やばい…すごいプレッシャーだ…）
<0260> （やばい…すごいプレッシャーだ…）

//<0261> 音無
<0261> 音無

//<0262> クソ坊主
<0262> クソ坊主

//<0263> 代理人
<0263> 代理人

//<0264> 微妙すぎるイケメン
<0264> 微妙すぎるイケメン

//<0265> ロリコン
<0265> ロリコン

//<0266> メガネ仲間
<0266> メガネ仲間

//<0267> 暗算日本記録保持者
<0267> 暗算日本記録保持者

//<0268> 通り魔
<0268> 通り魔

//<0269> 記憶ナシ男
<0269> 記憶ナシ男

//<0270> 音速
<0270> 音速

//<0271> 無限
<0271> 無限

//<0272> エロ侍
<0272> エロ侍

//<0273> エロエロ団ナンバー１
<0273> エロエロ団ナンバー１

//<0274> ただのエロ少年
<0274> ただのエロ少年

//<0275> ユリブサイク
<0275> ユリブサイク

//<0276> ドピュッシー
<0276> ドピュッシー

//<0277> アメリカンエロドッグ
<0277> アメリカンエロドッグ

//<0278> ゼウス
<0278> ゼウス

//<0279> 日向markⅡ
<0279> 日向markⅡ

//<0280> 糞虫
<0280> 糞虫

//<0281> 量産型日向
<0281> 量産型日向

//<0282> ？？
<0282> ？？

//<0283> （連れていく場所が単なる花壇…）
<0283> （連れていく場所が単なる花壇…）

//<0284> 音無
<0284> 音無

//<0285> クソ坊主
<0285> クソ坊主

//<0286> 代理人
<0286> 代理人

//<0287> 微妙すぎるイケメン
<0287> 微妙すぎるイケメン

//<0288> ロリコン
<0288> ロリコン

//<0289> メガネ仲間
<0289> メガネ仲間

//<0290> 暗算日本記録保持者
<0290> 暗算日本記録保持者

//<0291> 通り魔
<0291> 通り魔

//<0292> 記憶ナシ男
<0292> 記憶ナシ男

//<0293> 音速
<0293> 音速

//<0294> 無限
<0294> 無限

//<0295> エロ侍
<0295> エロ侍

//<0296> エロエロ団ナンバー１
<0296> エロエロ団ナンバー１

//<0297> ただのエロ少年
<0297> ただのエロ少年

//<0298> ユリブサイク
<0298> ユリブサイク

//<0299> ドピュッシー
<0299> ドピュッシー

//<0300> アメリカンエロドッグ
<0300> アメリカンエロドッグ

//<0301> ゼウス
<0301> ゼウス

//<0302> 日向markⅡ
<0302> 日向markⅡ

//<0303> 糞虫
<0303> 糞虫

//<0304> 量産型日向
<0304> 量産型日向

//<0305> ？？
<0305> ？？

//<0306> （絶対、期待に応えられない…）
<0306> （絶対、期待に応えられない…）

//<0307> 別の場所に変えるべきか？
<0307> 別の場所に変えるべきか？

//<0308> 音無
<0308> 音無

//<0309> クソ坊主
<0309> クソ坊主

//<0310> 代理人
<0310> 代理人

//<0311> 微妙すぎるイケメン
<0311> 微妙すぎるイケメン

//<0312> ロリコン
<0312> ロリコン

//<0313> メガネ仲間
<0313> メガネ仲間

//<0314> 暗算日本記録保持者
<0314> 暗算日本記録保持者

//<0315> 通り魔
<0315> 通り魔

//<0316> 記憶ナシ男
<0316> 記憶ナシ男

//<0317> 音速
<0317> 音速

//<0318> 無限
<0318> 無限

//<0319> エロ侍
<0319> エロ侍

//<0320> エロエロ団ナンバー１
<0320> エロエロ団ナンバー１

//<0321> ただのエロ少年
<0321> ただのエロ少年

//<0322> ユリブサイク
<0322> ユリブサイク

//<0323> ドピュッシー
<0323> ドピュッシー

//<0324> アメリカンエロドッグ
<0324> アメリカンエロドッグ

//<0325> ゼウス
<0325> ゼウス

//<0326> 日向markⅡ
<0326> 日向markⅡ

//<0327> 糞虫
<0327> 糞虫

//<0328> 量産型日向
<0328> 量産型日向

//<0329> ？？
<0329> ？？

//<0330> （つっても、どこに…）
<0330> （つっても、どこに…）

//<0331> 図書館とかは？　ベタだが、少なくとも本の話はできる。
<0331> 図書館とかは？　ベタだが、少なくとも本の話はできる。

//<0332> 花壇よりはマシに思えた。
<0332> 花壇よりはマシに思えた。

//<0333> どうしよう…変えるか？
<0333> どうしよう…変えるか？

//<0334> いや、何十年と岩沢と共に過ごしてきたであろう関根の言葉を信じよう…。
<0334> いや、何十年と岩沢と共に過ごしてきたであろう関根の言葉を信じよう…。

//<0335> nothing
<0335> nothing

//<0336> nothing
<0336> nothing

//<0337> nothing
<0337> nothing

//<0338> nothing
<0338> nothing

//<0339> nothing
<0339> nothing

//<0340> 岩沢
<0340> 岩沢

//<0341> 「どうした、気分でも悪いのか？　顔色悪いぞ？」
<0341> 「どうした、気分でも悪いのか？　顔色悪いぞ？」

//<0342> 俺の顔を窺っていた。
<0342> 俺の顔を窺っていた。

//<0343> 音無
<0343> 音無

//<0344> クソ坊主
<0344> クソ坊主

//<0345> 代理人
<0345> 代理人

//<0346> 微妙すぎるイケメン
<0346> 微妙すぎるイケメン

//<0347> ロリコン
<0347> ロリコン

//<0348> メガネ仲間
<0348> メガネ仲間

//<0349> 暗算日本記録保持者
<0349> 暗算日本記録保持者

//<0350> 通り魔
<0350> 通り魔

//<0351> 記憶ナシ男
<0351> 記憶ナシ男

//<0352> 音速
<0352> 音速

//<0353> 無限
<0353> 無限

//<0354> エロ侍
<0354> エロ侍

//<0355> エロエロ団ナンバー１
<0355> エロエロ団ナンバー１

//<0356> ただのエロ少年
<0356> ただのエロ少年

//<0357> ユリブサイク
<0357> ユリブサイク

//<0358> ドピュッシー
<0358> ドピュッシー

//<0359> アメリカンエロドッグ
<0359> アメリカンエロドッグ

//<0360> ゼウス
<0360> ゼウス

//<0361> 日向markⅡ
<0361> 日向markⅡ

//<0362> 糞虫
<0362> 糞虫

//<0363> 量産型日向
<0363> 量産型日向

//<0364> ？？
<0364> ？？

//<0365> 「いや、大丈夫だ…」
<0365> 「いや、大丈夫だ…」

//<0366> nothing
<0366> nothing

//<0367> nothing
<0367> nothing

//<0368> nothing
<0368> nothing

//<0369> nothing
<0369> nothing

//<0370> nothing
<0370> nothing

//<0371> 岩沢
<0371> 岩沢

//<0372> 「ならいいけど」
<0372> 「ならいいけど」

//<0373> 音無
<0373> 音無

//<0374> クソ坊主
<0374> クソ坊主

//<0375> 代理人
<0375> 代理人

//<0376> 微妙すぎるイケメン
<0376> 微妙すぎるイケメン

//<0377> ロリコン
<0377> ロリコン

//<0378> メガネ仲間
<0378> メガネ仲間

//<0379> 暗算日本記録保持者
<0379> 暗算日本記録保持者

//<0380> 通り魔
<0380> 通り魔

//<0381> 記憶ナシ男
<0381> 記憶ナシ男

//<0382> 音速
<0382> 音速

//<0383> 無限
<0383> 無限

//<0384> エロ侍
<0384> エロ侍

//<0385> エロエロ団ナンバー１
<0385> エロエロ団ナンバー１

//<0386> ただのエロ少年
<0386> ただのエロ少年

//<0387> ユリブサイク
<0387> ユリブサイク

//<0388> ドピュッシー
<0388> ドピュッシー

//<0389> アメリカンエロドッグ
<0389> アメリカンエロドッグ

//<0390> ゼウス
<0390> ゼウス

//<0391> 日向markⅡ
<0391> 日向markⅡ

//<0392> 糞虫
<0392> 糞虫

//<0393> 量産型日向
<0393> 量産型日向

//<0394> ？？
<0394> ？？

//<0395> 「ここ…なんだけど…」
<0395> 「ここ…なんだけど…」

//<0396> 花壇は花壇でしかなかった…。
<0396> 花壇は花壇でしかなかった…。

//<0397> なんて地味な場所なんだ…。
<0397> なんて地味な場所なんだ…。

//<0398> せめて花畑であったら…。
<0398> せめて花畑であったら…。

//<0399> 岩沢
<0399> 岩沢

//<0400> 「へぇ…こんな場所があったのか…知らなかったよ」
<0400> 「へぇ…こんな場所があったのか…知らなかったよ」

//<0401> nothing
<0401> nothing

//<0402> nothing
<0402> nothing

//<0403> nothing
<0403> nothing

//<0404> nothing
<0404> nothing

//<0405> nothing
<0405> nothing

//<0406> 音無
<0406> 音無

//<0407> クソ坊主
<0407> クソ坊主

//<0408> 代理人
<0408> 代理人

//<0409> 微妙すぎるイケメン
<0409> 微妙すぎるイケメン

//<0410> ロリコン
<0410> ロリコン

//<0411> メガネ仲間
<0411> メガネ仲間

//<0412> 暗算日本記録保持者
<0412> 暗算日本記録保持者

//<0413> 通り魔
<0413> 通り魔

//<0414> 記憶ナシ男
<0414> 記憶ナシ男

//<0415> 音速
<0415> 音速

//<0416> 無限
<0416> 無限

//<0417> エロ侍
<0417> エロ侍

//<0418> エロエロ団ナンバー１
<0418> エロエロ団ナンバー１

//<0419> ただのエロ少年
<0419> ただのエロ少年

//<0420> ユリブサイク
<0420> ユリブサイク

//<0421> ドピュッシー
<0421> ドピュッシー

//<0422> アメリカンエロドッグ
<0422> アメリカンエロドッグ

//<0423> ゼウス
<0423> ゼウス

//<0424> 日向markⅡ
<0424> 日向markⅡ

//<0425> 糞虫
<0425> 糞虫

//<0426> 量産型日向
<0426> 量産型日向

//<0427> ？？
<0427> ？？

//<0428> 「ええっ？」
<0428> 「ええっ？」

//<0429> nothing
<0429> nothing

//<0430> nothing
<0430> nothing

//<0431> nothing
<0431> nothing

//<0432> nothing
<0432> nothing

//<0433> nothing
<0433> nothing

//<0434> 岩沢
<0434> 岩沢
{9f04} 33 // 0434

//<0435> 「花なんてしばらく見てなかった…あったんだな、こんな世界にも」
<0435> 「花なんてしばらく見てなかった…あったんだな、こんな世界にも」

//<0436> nothing
<0436> nothing

//<0437> nothing
<0437> nothing

//<0438> nothing
<0438> nothing

//<0439> nothing
<0439> nothing

//<0440> nothing
<0440> nothing

//<0441> 音無
<0441> 音無

//<0442> クソ坊主
<0442> クソ坊主

//<0443> 代理人
<0443> 代理人

//<0444> 微妙すぎるイケメン
<0444> 微妙すぎるイケメン

//<0445> ロリコン
<0445> ロリコン

//<0446> メガネ仲間
<0446> メガネ仲間

//<0447> 暗算日本記録保持者
<0447> 暗算日本記録保持者

//<0448> 通り魔
<0448> 通り魔

//<0449> 記憶ナシ男
<0449> 記憶ナシ男

//<0450> 音速
<0450> 音速

//<0451> 無限
<0451> 無限

//<0452> エロ侍
<0452> エロ侍

//<0453> エロエロ団ナンバー１
<0453> エロエロ団ナンバー１

//<0454> ただのエロ少年
<0454> ただのエロ少年

//<0455> ユリブサイク
<0455> ユリブサイク

//<0456> ドピュッシー
<0456> ドピュッシー

//<0457> アメリカンエロドッグ
<0457> アメリカンエロドッグ

//<0458> ゼウス
<0458> ゼウス

//<0459> 日向markⅡ
<0459> 日向markⅡ

//<0460> 糞虫
<0460> 糞虫

//<0461> 量産型日向
<0461> 量産型日向

//<0462> ？？
<0462> ？？

//<0463> 「あるさ」
<0463> 「あるさ」

//<0464> nothing
<0464> nothing

//<0465> nothing
<0465> nothing

//<0466> nothing
<0466> nothing

//<0467> nothing
<0467> nothing

//<0468> nothing
<0468> nothing

//<0469> 岩沢
<0469> 岩沢

//<0470> 「お、すごい！　見ろ、音無。蝶だ！」
<0470> 「お、すごい！　見ろ、音無。蝶だ！」

//<0471> nothing
<0471> nothing

//<0472> 
<0472> 

//<0473> 
<0473> 

//<0474> nothing
<0474> nothing

//<0475> 手ですくおうとしたが、蝶はその手をすり抜けていく。
<0475> 手ですくおうとしたが、蝶はその手をすり抜けていく。

//<0476> 岩沢はひたすらそれを追う。
<0476> 岩沢はひたすらそれを追う。

//<0477> 岩沢
<0477> 岩沢

//<0478> 「はっ、こいつぅっ」
<0478> 「はっ、こいつぅっ」

//<0479> 岩沢は楽しげだった。
<0479> 岩沢は楽しげだった。

//<0480> この場所をこんなにも気に入ってくれるなんて思いもしなかった。
<0480> この場所をこんなにも気に入ってくれるなんて思いもしなかった。

//<0481> 関根のアドバイスは的確だったんだ。
<0481> 関根のアドバイスは的確だったんだ。

//<0482> そして、蝶と戯れる岩沢を、こんなにも愛おしく感じる。
<0482> そして、蝶と戯れる岩沢を、こんなにも愛おしく感じる。

//<0483> 連れてこれてよかった。
<0483> 連れてこれてよかった。

//<0484> nothing
<0484> nothing

//<0485> nothing
<0485> nothing

//<0486> nothing
<0486> nothing

//<0487> nothing
<0487> nothing

//<0488> nothing
<0488> nothing

//<0489> 岩沢
<0489> 岩沢

//<0490> 「なあ、音無。お前は
<0490> 「なあ、音無。お前は

//<0491> Crow Song
<0491> Crow Song

//<0492> の歌詞を知ってるか？」
<0492> の歌詞を知ってるか？」

//<0493> 少しだけ知ってる
<0493> 少しだけ知ってる

//<0494> 知らない
<0494> 知らない

//<0495> selbtn : 
<0495> selbtn : 

//<0496> 音無
<0496> 音無

//<0497> クソ坊主
<0497> クソ坊主

//<0498> 代理人
<0498> 代理人

//<0499> 微妙すぎるイケメン
<0499> 微妙すぎるイケメン

//<0500> ロリコン
<0500> ロリコン

//<0501> メガネ仲間
<0501> メガネ仲間

//<0502> 暗算日本記録保持者
<0502> 暗算日本記録保持者

//<0503> 通り魔
<0503> 通り魔

//<0504> 記憶ナシ男
<0504> 記憶ナシ男

//<0505> 音速
<0505> 音速

//<0506> 無限
<0506> 無限

//<0507> エロ侍
<0507> エロ侍

//<0508> エロエロ団ナンバー１
<0508> エロエロ団ナンバー１

//<0509> ただのエロ少年
<0509> ただのエロ少年

//<0510> ユリブサイク
<0510> ユリブサイク

//<0511> ドピュッシー
<0511> ドピュッシー

//<0512> アメリカンエロドッグ
<0512> アメリカンエロドッグ

//<0513> ゼウス
<0513> ゼウス

//<0514> 日向markⅡ
<0514> 日向markⅡ

//<0515> 糞虫
<0515> 糞虫

//<0516> 量産型日向
<0516> 量産型日向

