// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 打ち込みをしていた松下五段が俺の気配に気づき、振り返る。
<0000> 打ち込みをしていた松下五段が俺の気配に気づき、振り返る。
<0073> メガネ仲間

//<0074> 暗算日本記録保持者
<0074> 暗算日本記録保持者

//<0075> 通り魔
<0075> 通り魔

//<0076> 記憶ナシ男
<0076> 記憶ナシ男

//<0077> 音速
<0077> 音速

//<0078> 無限
<0078> 無限

//<0079> エロ侍
<0079> エロ侍

//<0080> エロエロ団ナンバー１
<0080> エロエロ団ナンバー１

//<0081> ただのエロ少年
<0081> ただのエロ少年

//<0082> ユリブサイク
<0082> ユリブサイク

//<0083> ドピュッシー
<0083> ドピュッシー

//<0084> アメリカンエロドッグ
<0084> アメリカンエロドッグ

//<0085> ゼウス
<0085> ゼウス

//<0086> 日向markⅡ
<0086> 日向markⅡ

//<0087> 糞虫
<0087> 糞虫

//<0088> 量産型日向
<0088> 量産型日向

//<0089> ？？
<0089> ？？

//<0090> 「いや、そういうわけではない」
<0090> 「いや、そういうわけではない」

//<0091> nothing
<0091> nothing

//<0092> nothing
<0092> nothing

//<0093> nothing
<0093> nothing

//<0094> nothing
<0094> nothing

//<0095> nothing
<0095> nothing

//<0096> 松下
<0096> 松下

//<0097> 「なら、どういうわけだ？」
<0097> 「なら、どういうわけだ？」

//<0098> 音無
<0098> 音無

//<0099> クソ坊主
<0099> クソ坊主

//<0100> 代理人
<0100> 代理人

//<0101> 微妙すぎるイケメン
<0101> 微妙すぎるイケメン

//<0102> ロリコン
<0102> ロリコン

//<0103> メガネ仲間
<0103> メガネ仲間

//<0104> 暗算日本記録保持者
<0104> 暗算日本記録保持者

//<0105> 通り魔
<0105> 通り魔

//<0106> 記憶ナシ男
<0106> 記憶ナシ男

//<0107> 音速
<0107> 音速

//<0108> 無限
<0108> 無限

//<0109> エロ侍
<0109> エロ侍

//<0110> エロエロ団ナンバー１
<0110> エロエロ団ナンバー１

//<0111> ただのエロ少年
<0111> ただのエロ少年

//<0112> ユリブサイク
<0112> ユリブサイク

//<0113> ドピュッシー
<0113> ドピュッシー

//<0114> アメリカンエロドッグ
<0114> アメリカンエロドッグ

//<0115> ゼウス
<0115> ゼウス

//<0116> 日向markⅡ
<0116> 日向markⅡ

//<0117> 糞虫
<0117> 糞虫

//<0118> 量産型日向
<0118> 量産型日向

//<0119> ？？
<0119> ？？

//<0120> 「日向から、話を聞いてさ…やっぱ俺もお前から指導を請う必要性を感じて…」
<0120> 「日向から、話を聞いてさ…やっぱ俺もお前から指導を請う必要性を感じて…」

//<0121> nothing
<0121> nothing

//<0122> nothing
<0122> nothing

//<0123> nothing
<0123> nothing

//<0124> nothing
<0124> nothing

//<0125> nothing
<0125> nothing

//<0126> 松下
<0126> 松下

//<0127> 「そうか…」
<0127> 「そうか…」

//<0128> nothing
<0128> nothing

//<0129> nothing
<0129> nothing

//<0130> nothing
<0130> nothing

//<0131> nothing
<0131> nothing

//<0132> nothing
<0132> nothing

//<0133> 松下
<0133> 松下

//<0134> 「昨日はほんとに済まなかった！」
<0134> 「昨日はほんとに済まなかった！」

//<0135> nothing
<0135> nothing

//<0136> nothing
<0136> nothing

//<0137> nothing
<0137> nothing

//<0138> nothing
<0138> nothing

//<0139> nothing
<0139> nothing

//<0140> nothing
<0140> nothing

//<0141> いきなり土下座をされる。
<0141> いきなり土下座をされる。

//<0142> 音無
<0142> 音無

//<0143> クソ坊主
<0143> クソ坊主

//<0144> 代理人
<0144> 代理人

//<0145> 微妙すぎるイケメン
<0145> 微妙すぎるイケメン

//<0146> ロリコン
<0146> ロリコン

//<0147> メガネ仲間
<0147> メガネ仲間

//<0148> 暗算日本記録保持者
<0148> 暗算日本記録保持者

//<0149> 通り魔
<0149> 通り魔

//<0150> 記憶ナシ男
<0150> 記憶ナシ男

//<0151> 音速
<0151> 音速

//<0152> 無限
<0152> 無限

//<0153> エロ侍
<0153> エロ侍

//<0154> エロエロ団ナンバー１
<0154> エロエロ団ナンバー１

//<0155> ただのエロ少年
<0155> ただのエロ少年

//<0156> ユリブサイク
<0156> ユリブサイク

//<0157> ドピュッシー
<0157> ドピュッシー

//<0158> アメリカンエロドッグ
<0158> アメリカンエロドッグ

//<0159> ゼウス
<0159> ゼウス

//<0160> 日向markⅡ
<0160> 日向markⅡ

//<0161> 糞虫
<0161> 糞虫

//<0162> 量産型日向
<0162> 量産型日向

//<0163> ？？
<0163> ？？

//<0164> 「いやいや、そんなことやめてくれ！　あんたのほうがこの世界では先輩なんだから！」
<0164> 「いやいや、そんなことやめてくれ！　あんたのほうがこの世界では先輩なんだから！」

//<0165> 松下
<0165> 松下

//<0166> 「そうか…この俺を許してくれるのか…」
<0166> 「そうか…この俺を許してくれるのか…」

//<0167> 音無
<0167> 音無

//<0168> クソ坊主
<0168> クソ坊主

//<0169> 代理人
<0169> 代理人

//<0170> 微妙すぎるイケメン
<0170> 微妙すぎるイケメン

//<0171> ロリコン
<0171> ロリコン

//<0172> メガネ仲間
<0172> メガネ仲間

//<0173> 暗算日本記録保持者
<0173> 暗算日本記録保持者

//<0174> 通り魔
<0174> 通り魔

//<0175> 記憶ナシ男
<0175> 記憶ナシ男

//<0176> 音速
<0176> 音速

//<0177> 無限
<0177> 無限

//<0178> エロ侍
<0178> エロ侍

//<0179> エロエロ団ナンバー１
<0179> エロエロ団ナンバー１

//<0180> ただのエロ少年
<0180> ただのエロ少年

//<0181> ユリブサイク
<0181> ユリブサイク

//<0182> ドピュッシー
<0182> ドピュッシー

//<0183> アメリカンエロドッグ
<0183> アメリカンエロドッグ

//<0184> ゼウス
<0184> ゼウス

//<0185> 日向markⅡ
<0185> 日向markⅡ

//<0186> 糞虫
<0186> 糞虫

//<0187> 量産型日向
<0187> 量産型日向

//<0188> ？？
<0188> ？？

//<0189> 「もちろん！　だから、また受け身から教えてくれ」
<0189> 「もちろん！　だから、また受け身から教えてくれ」

//<0190> nothing
<0190> nothing

//<0191> nothing
<0191> nothing

//<0192> nothing
<0192> nothing

//<0193> nothing
<0193> nothing

//<0194> nothing
<0194> nothing

//<0195> 松下
<0195> 松下

//<0196> 「わかった！」
<0196> 「わかった！」

//<0197> nothing
<0197> nothing

//<0198> nothing
<0198> nothing

//<0199> nothing
<0199> nothing

//<0200> nothing
<0200> nothing

//<0201> nothing
<0201> nothing

//<0202> 松下
<0202> 松下

//<0203> 「しかし…ええと、どこまでいったか」
<0203> 「しかし…ええと、どこまでいったか」

//<0204> 音無
<0204> 音無

//<0205> クソ坊主
<0205> クソ坊主

//<0206> 代理人
<0206> 代理人

//<0207> 微妙すぎるイケメン
<0207> 微妙すぎるイケメン

//<0208> ロリコン
<0208> ロリコン

//<0209> メガネ仲間
<0209> メガネ仲間

//<0210> 暗算日本記録保持者
<0210> 暗算日本記録保持者

//<0211> 通り魔
<0211> 通り魔

//<0212> 記憶ナシ男
<0212> 記憶ナシ男

//<0213> 音速
<0213> 音速

//<0214> 無限
<0214> 無限

//<0215> エロ侍
<0215> エロ侍

//<0216> エロエロ団ナンバー１
<0216> エロエロ団ナンバー１

//<0217> ただのエロ少年
<0217> ただのエロ少年

//<0218> ユリブサイク
<0218> ユリブサイク

//<0219> ドピュッシー
<0219> ドピュッシー

//<0220> アメリカンエロドッグ
<0220> アメリカンエロドッグ

//<0221> ゼウス
<0221> ゼウス

//<0222> 日向markⅡ
<0222> 日向markⅡ

//<0223> 糞虫
<0223> 糞虫

//<0224> 量産型日向
<0224> 量産型日向

//<0225> ？？
<0225> ？？

//<0226> 「横受身」
<0226> 「横受身」

//<0227> nothing
<0227> nothing

//<0228> nothing
<0228> nothing

//<0229> nothing
<0229> nothing

//<0230> nothing
<0230> nothing

//<0231> nothing
<0231> nothing

//<0232> 松下
<0232> 松下

//<0233> 「それだ！」
<0233> 「それだ！」

//<0234> nothing
<0234> nothing

//<0235> nothing
<0235> nothing

//<0236> nothing
<0236> nothing

//<0237> nothing
<0237> nothing

//<0238> nothing
<0238> nothing

//<0239> 松下
<0239> 松下

//<0240> 「今度こそ、教える！」
<0240> 「今度こそ、教える！」

//<0241> bs3_
<0241> bs3_

//<0242> nothing
<0242> nothing

//<0243> nothing
<0243> nothing

//<0244> nothing
<0244> nothing

//<0245> nothing
<0245> nothing

//<0246> nothing
<0246> nothing

//<0247> 構える松下五段。
<0247> 構える松下五段。

//<0248> 組み合い、俺は何度も軽い足さばきで、機をうかがう。
<0248> 組み合い、俺は何度も軽い足さばきで、機をうかがう。

//<0249> nothing
<0249> nothing

//<0250> nothing
<0250> nothing

//<0251> nothing
<0251> nothing

//<0252> nothing
<0252> nothing

//<0253> nothing
<0253> nothing

//<0254> 松下五段の足が揃った瞬間、襟を持ち上げ、足を刈った。
<0254> 松下五段の足が揃った瞬間、襟を持ち上げ、足を刈った。

//<0255> se_fling_ground
<0255> se_fling_ground

//<0256> どすん！とすごい音がして、みごとに松下五段を横に倒すことに成功した。
<0256> どすん！とすごい音がして、みごとに松下五段を横に倒すことに成功した。

//<0257> 片腕を地面に叩きつけ、体にかかる圧力を逃がしていた。
<0257> 片腕を地面に叩きつけ、体にかかる圧力を逃がしていた。

//<0258> 俺は、呆然と立ち尽くす。
<0258> 俺は、呆然と立ち尽くす。

//<0259> 松下五段がゆっくりと立ち上がる。
<0259> 松下五段がゆっくりと立ち上がる。

//<0260> nothing
<0260> nothing

//<0261> nothing
<0261> nothing

//<0262> nothing
<0262> nothing

//<0263> nothing
<0263> nothing

//<0264> nothing
<0264> nothing

//<0265> 松下
<0265> 松下

//<0266> 「これが、横受身だ。覚えたか」
<0266> 「これが、横受身だ。覚えたか」

//<0267> 音無
<0267> 音無

//<0268> クソ坊主
<0268> クソ坊主

//<0269> 代理人
<0269> 代理人

//<0270> 微妙すぎるイケメン
<0270> 微妙すぎるイケメン

//<0271> ロリコン
<0271> ロリコン

//<0272> メガネ仲間
<0272> メガネ仲間

//<0273> 暗算日本記録保持者
<0273> 暗算日本記録保持者

//<0274> 通り魔
<0274> 通り魔

//<0275> 記憶ナシ男
<0275> 記憶ナシ男

//<0276> 音速
<0276> 音速

//<0277> 無限
<0277> 無限

//<0278> エロ侍
<0278> エロ侍

//<0279> エロエロ団ナンバー１
<0279> エロエロ団ナンバー１

//<0280> ただのエロ少年
<0280> ただのエロ少年

//<0281> ユリブサイク
<0281> ユリブサイク

//<0282> ドピュッシー
<0282> ドピュッシー

//<0283> アメリカンエロドッグ
<0283> アメリカンエロドッグ

//<0284> ゼウス
<0284> ゼウス

//<0285> 日向markⅡ
<0285> 日向markⅡ

//<0286> 糞虫
<0286> 糞虫

//<0287> 量産型日向
<0287> 量産型日向

//<0288> ？？
<0288> ？？

//<0289> 「いや…お前を倒れさせたことに衝撃をただ覚えている…」
<0289> 「いや…お前を倒れさせたことに衝撃をただ覚えている…」

//<0290> nothing
<0290> nothing

//<0291> nothing
<0291> nothing

//<0292> nothing
<0292> nothing

//<0293> nothing
<0293> nothing

//<0294> nothing
<0294> nothing

//<0295> 松下
<0295> 松下

//<0296> 「そうか」
<0296> 「そうか」

//<0297> nothing
<0297> nothing

//<0298> nothing
<0298> nothing

//<0299> nothing
<0299> nothing

//<0300> nothing
<0300> nothing

//<0301> nothing
<0301> nothing

//<0302> 松下
<0302> 松下

//<0303> 「まさに柔能く剛を制す。体格差など、柔道では関係ない。俺はそのままに受け取っている」
<0303> 「まさに柔能く剛を制す。体格差など、柔道では関係ない。俺はそのままに受け取っている」

//<0304> nothing
<0304> nothing

//<0305> nothing
<0305> nothing

//<0306> nothing
<0306> nothing

//<0307> nothing
<0307> nothing

//<0308> nothing
<0308> nothing

//<0309> 松下
<0309> 松下

//<0310> 「どんな相手でも柔道着をしっかり両手で掴み、多少でも持ち上がれば、足は刈れるはず！　それこそが支え釣り込み足という技だ！」
<0310> 「どんな相手でも柔道着をしっかり両手で掴み、多少でも持ち上がれば、足は刈れるはず！　それこそが支え釣り込み足という技だ！」

//<0311> 音無
<0311> 音無

//<0312> クソ坊主
<0312> クソ坊主

//<0313> 代理人
<0313> 代理人

//<0314> 微妙すぎるイケメン
<0314> 微妙すぎるイケメン

//<0315> ロリコン
<0315> ロリコン

//<0316> メガネ仲間
<0316> メガネ仲間

//<0317> 暗算日本記録保持者
<0317> 暗算日本記録保持者

//<0318> 通り魔
<0318> 通り魔

//<0319> 記憶ナシ男
<0319> 記憶ナシ男

//<0320> 音速
<0320> 音速

//<0321> 無限
<0321> 無限

//<0322> エロ侍
<0322> エロ侍

//<0323> エロエロ団ナンバー１
<0323> エロエロ団ナンバー１

//<0324> ただのエロ少年
<0324> ただのエロ少年

//<0325> ユリブサイク
<0325> ユリブサイク

//<0326> ドピュッシー
<0326> ドピュッシー

//<0327> アメリカンエロドッグ
<0327> アメリカンエロドッグ

//<0328> ゼウス
<0328> ゼウス

//<0329> 日向markⅡ
<0329> 日向markⅡ

//<0330> 糞虫
<0330> 糞虫

//<0331> 量産型日向
<0331> 量産型日向

//<0332> ？？
<0332> ？？

//<0333> 「わかった」
<0333> 「わかった」

//<0334> nothing
<0334> nothing

//<0335> nothing
<0335> nothing

//<0336> nothing
<0336> nothing

//<0337> nothing
<0337> nothing

//<0338> nothing
<0338> nothing

//<0339> 松下
<0339> 松下
{a39e} 33 // 0339

//<0340> 「今のはもちろん、わざと倒されたのだが、次は本気だ。こいやーー！！」
<0340> 「今のはもちろん、わざと倒されたのだが、次は本気だ。こいやーー！！」

//<0341> nothing
<0341> nothing

//<0342> nothing
<0342> nothing

//<0343> nothing
<0343> nothing

//<0344> nothing
<0344> nothing

//<0345> nothing
<0345> nothing

//<0346> 再び、松下五段が構える。
<0346> 再び、松下五段が構える。

//<0347> bs3_
<0347> bs3_

//<0348> nothing
<0348> nothing

//<0349> nothing
<0349> nothing

//<0350> nothing
<0350> nothing

//<0351> nothing
<0351> nothing

//<0352> nothing
<0352> nothing

//<0353> 制服を掴まれるなり、足を刈られる。
<0353> 制服を掴まれるなり、足を刈られる。

//<0354> いとも簡単に俺の体は飛ぶ。
<0354> いとも簡単に俺の体は飛ぶ。

//<0355> 平衡感覚を失うが、とりあえず腕で地面を叩こうとした。
<0355> 平衡感覚を失うが、とりあえず腕で地面を叩こうとした。

//<0356> se_fracture
<0356> se_fracture

//<0357> が、またもぐきり、と嫌な音がした。
<0357> が、またもぐきり、と嫌な音がした。

//<0358> 音無
<0358> 音無

//<0359> クソ坊主
<0359> クソ坊主

//<0360> 代理人
<0360> 代理人

//<0361> 微妙すぎるイケメン
<0361> 微妙すぎるイケメン

//<0362> ロリコン
<0362> ロリコン

//<0363> メガネ仲間
<0363> メガネ仲間

//<0364> 暗算日本記録保持者
<0364> 暗算日本記録保持者

//<0365> 通り魔
<0365> 通り魔

//<0366> 記憶ナシ男
<0366> 記憶ナシ男

//<0367> 音速
<0367> 音速

//<0368> 無限
<0368> 無限

//<0369> エロ侍
<0369> エロ侍

//<0370> エロエロ団ナンバー１
<0370> エロエロ団ナンバー１

//<0371> ただのエロ少年
<0371> ただのエロ少年

//<0372> ユリブサイク
<0372> ユリブサイク

//<0373> ドピュッシー
<0373> ドピュッシー

//<0374> アメリカンエロドッグ
<0374> アメリカンエロドッグ

//<0375> ゼウス
<0375> ゼウス

//<0376> 日向markⅡ
<0376> 日向markⅡ

//<0377> 糞虫
<0377> 糞虫

//<0378> 量産型日向
<0378> 量産型日向

//<0379> ？？
<0379> ？？

//<0380> 「いでぇぇーーーーーー！！」
<0380> 「いでぇぇーーーーーー！！」

//<0381> nothing
<0381> nothing

//<0382> nothing
<0382> nothing

//<0383> nothing
<0383> nothing

//<0384> nothing
<0384> nothing

//<0385> nothing
<0385> nothing

//<0386> 松下
<0386> 松下

//<0387> 「腕を早く出し過ぎだ」
<0387> 「腕を早く出し過ぎだ」

//<0388> 音無
<0388> 音無

//<0389> クソ坊主
<0389> クソ坊主

//<0390> 代理人
<0390> 代理人

//<0391> 微妙すぎるイケメン
<0391> 微妙すぎるイケメン

//<0392> ロリコン
<0392> ロリコン

//<0393> メガネ仲間
<0393> メガネ仲間

//<0394> 暗算日本記録保持者
<0394> 暗算日本記録保持者

//<0395> 通り魔
<0395> 通り魔

//<0396> 記憶ナシ男
<0396> 記憶ナシ男

//<0397> 音速
<0397> 音速

//<0398> 無限
<0398> 無限

//<0399> エロ侍
<0399> エロ侍

//<0400> エロエロ団ナンバー１
<0400> エロエロ団ナンバー１

//<0401> ただのエロ少年
<0401> ただのエロ少年

//<0402> ユリブサイク
<0402> ユリブサイク

//<0403> ドピュッシー
<0403> ドピュッシー

//<0404> アメリカンエロドッグ
<0404> アメリカンエロドッグ

//<0405> ゼウス
<0405> ゼウス

//<0406> 日向markⅡ
<0406> 日向markⅡ

//<0407> 糞虫
<0407> 糞虫

//<0408> 量産型日向
<0408> 量産型日向

//<0409> ？？
<0409> ？？

//<0410> 「今度の怪我はなんだー！」
<0410> 「今度の怪我はなんだー！」

//<0411> nothing
<0411> nothing

//<0412> nothing
<0412> nothing

//<0413> nothing
<0413> nothing

//<0414> nothing
<0414> nothing

//<0415> nothing
<0415> nothing

//<0416> 松下
<0416> 松下

//<0417> 「触っていいか」
<0417> 「触っていいか」

//<0418> 音無
<0418> 音無

//<0419> クソ坊主
<0419> クソ坊主

//<0420> 代理人
<0420> 代理人

//<0421> 微妙すぎるイケメン
<0421> 微妙すぎるイケメン

//<0422> ロリコン
<0422> ロリコン

//<0423> メガネ仲間
<0423> メガネ仲間

//<0424> 暗算日本記録保持者
<0424> 暗算日本記録保持者

//<0425> 通り魔
<0425> 通り魔

//<0426> 記憶ナシ男
<0426> 記憶ナシ男

//<0427> 音速
<0427> 音速

//<0428> 無限
<0428> 無限

//<0429> エロ侍
<0429> エロ侍

//<0430> エロエロ団ナンバー１
<0430> エロエロ団ナンバー１

//<0431> ただのエロ少年
<0431> ただのエロ少年

//<0432> ユリブサイク
<0432> ユリブサイク

//<0433> ドピュッシー
<0433> ドピュッシー

//<0434> アメリカンエロドッグ
<0434> アメリカンエロドッグ

//<0435> ゼウス
<0435> ゼウス

//<0436> 日向markⅡ
<0436> 日向markⅡ

//<0437> 糞虫
<0437> 糞虫

//<0438> 量産型日向
<0438> 量産型日向

//<0439> ？？
<0439> ？？

//<0440> 「ああ…」
<0440> 「ああ…」

//<0441> nothing
<0441> nothing

//<0442> nothing
<0442> nothing

//<0443> nothing
<0443> nothing

//<0444> nothing
<0444> nothing

//<0445> nothing
<0445> nothing

//<0446> 利き腕を持ち上げられる。
<0446> 利き腕を持ち上げられる。

//<0447> 音無
<0447> 音無

//<0448> クソ坊主
<0448> クソ坊主

//<0449> 代理人
<0449> 代理人

//<0450> 微妙すぎるイケメン
<0450> 微妙すぎるイケメン

//<0451> ロリコン
<0451> ロリコン

//<0452> メガネ仲間
<0452> メガネ仲間

//<0453> 暗算日本記録保持者
<0453> 暗算日本記録保持者

//<0454> 通り魔
<0454> 通り魔

//<0455> 記憶ナシ男
<0455> 記憶ナシ男

//<0456> 音速
<0456> 音速

//<0457> 無限
<0457> 無限

//<0458> エロ侍
<0458> エロ侍

//<0459> エロエロ団ナンバー１
<0459> エロエロ団ナンバー１

//<0460> ただのエロ少年
<0460> ただのエロ少年

//<0461> ユリブサイク
<0461> ユリブサイク

//<0462> ドピュッシー
<0462> ドピュッシー

//<0463> アメリカンエロドッグ
<0463> アメリカンエロドッグ

//<0464> ゼウス
<0464> ゼウス

//<0465> 日向markⅡ
<0465> 日向markⅡ

//<0466> 糞虫
<0466> 糞虫

//<0467> 量産型日向
<0467> 量産型日向

//<0468> ？？
<0468> ？？

//<0469> 「いてぇーー！！」
<0469> 「いてぇーー！！」

//<0470> nothing
<0470> nothing

//<0471> nothing
<0471> nothing

//<0472> nothing
<0472> nothing

//<0473> nothing
<0473> nothing

//<0474> nothing
<0474> nothing

//<0475> 松下
<0475> 松下

//<0476> 「肩の脱臼だな」
<0476> 「肩の脱臼だな」

//<0477> nothing
<0477> nothing

//<0478> nothing
<0478> nothing

//<0479> nothing
<0479> nothing

//<0480> nothing
<0480> nothing

//<0481> nothing
<0481> nothing

//<0482> 松下
<0482> 松下

//<0483> 「まあ、明日には治っている」
<0483> 「まあ、明日には治っている」

//<0484> 音無
<0484> 音無

//<0485> クソ坊主
<0485> クソ坊主

//<0486> 代理人
<0486> 代理人

//<0487> 微妙すぎるイケメン
<0487> 微妙すぎるイケメン

//<0488> ロリコン
<0488> ロリコン

//<0489> メガネ仲間
<0489> メガネ仲間

//<0490> 暗算日本記録保持者
<0490> 暗算日本記録保持者

//<0491> 通り魔
<0491> 通り魔

//<0492> 記憶ナシ男
<0492> 記憶ナシ男

//<0493> 音速
<0493> 音速

//<0494> 無限
<0494> 無限

//<0495> エロ侍
<0495> エロ侍

//<0496> エロエロ団ナンバー１
<0496> エロエロ団ナンバー１

//<0497> ただのエロ少年
<0497> ただのエロ少年

//<0498> ユリブサイク
<0498> ユリブサイク

//<0499> ドピュッシー
<0499> ドピュッシー

//<0500> アメリカンエロドッグ
<0500> アメリカンエロドッグ

//<0501> ゼウス
<0501> ゼウス

//<0502> 日向markⅡ
<0502> 日向markⅡ

//<0503> 糞虫
<0503> 糞虫

//<0504> 量産型日向
<0504> 量産型日向

//<0505> ？？
<0505> ？？

//<0506> 「それはもうわかってるけど、今日もこれから脱臼で痛いままじゃないか…」
<0506> 「それはもうわかってるけど、今日もこれから脱臼で痛いままじゃないか…」

//<0507> nothing
<0507> nothing

//<0508> nothing
<0508> nothing

//<0509> nothing
<0509> nothing

//<0510> nothing
<0510> nothing

//<0511> nothing
<0511> nothing

//<0512> 松下
<0512> 松下

//<0513> 「いや、今この場で力業で治せるが、どうする？」
<0513> 「いや、今この場で力業で治せるが、どうする？」

//<0514> 都市伝説のようには聞いてはいるが…。
<0514> 都市伝説のようには聞いてはいるが…。

//<0515> 治してもらう
<0515> 治してもらう

//<0516> 断る
<0516> 断る

//<0517> selbtn : 
<0517> selbtn : 

//<0518> nothing
<0518> nothing

//<0519> nothing
<0519> nothing

//<0520> nothing
<0520> nothing

//<0521> nothing
<0521> nothing

//<0522> nothing
<0522> nothing

//<0523> 松下
<0523> 松下

//<0524> 「激痛が伴うが、一瞬だけは我慢してくれ」
<0524> 「激痛が伴うが、一瞬だけは我慢してくれ」

//<0525> 音無
<0525> 音無

//<0526> クソ坊主
<0526> クソ坊主

//<0527> 代理人
<0527> 代理人

//<0528> 微妙すぎるイケメン
<0528> 微妙すぎるイケメン

//<0529> ロリコン
<0529> ロリコン

//<0530> メガネ仲間
<0530> メガネ仲間

//<0531> 暗算日本記録保持者
<0531> 暗算日本記録保持者

//<0532> 通り魔
<0532> 通り魔

//<0533> 記憶ナシ男
<0533> 記憶ナシ男

//<0534> 音速
<0534> 音速

