// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 素っ気なく本部を後にする岩沢を追う。
<0000> 素っ気なく本部を後にする岩沢を追う。

//<0206> 途中のトラップで死んでるので、少し声が震えてしまった…。
<0206> 途中のトラップで死んでるので、少し声が震えてしまった…。

//<0207> 音無
<0207> 音無

//<0208> クソ坊主
<0208> クソ坊主

//<0209> 代理人
<0209> 代理人

//<0210> 微妙すぎるイケメン
<0210> 微妙すぎるイケメン

//<0211> ロリコン
<0211> ロリコン

//<0212> メガネ仲間
<0212> メガネ仲間

//<0213> 暗算日本記録保持者
<0213> 暗算日本記録保持者

//<0214> 通り魔
<0214> 通り魔

//<0215> 記憶ナシ男
<0215> 記憶ナシ男

//<0216> 音速
<0216> 音速

//<0217> 無限
<0217> 無限

//<0218> エロ侍
<0218> エロ侍

//<0219> エロエロ団ナンバー１
<0219> エロエロ団ナンバー１

//<0220> ただのエロ少年
<0220> ただのエロ少年

//<0221> ユリブサイク
<0221> ユリブサイク

//<0222> ドピュッシー
<0222> ドピュッシー

//<0223> アメリカンエロドッグ
<0223> アメリカンエロドッグ

//<0224> ゼウス
<0224> ゼウス

//<0225> 日向markⅡ
<0225> 日向markⅡ

//<0226> 糞虫
<0226> 糞虫

//<0227> 量産型日向
<0227> 量産型日向

//<0228> ？？
<0228> ？？

//<0229> 「そ、それは…結果だけしか知らないだろ。俺は他の幹部より、頑張ったほうなんだぜ？」
<0229> 「そ、それは…結果だけしか知らないだろ。俺は他の幹部より、頑張ったほうなんだぜ？」

//<0230> 途中のトラップで無謀な挑戦をして死んでるので、少し声が震えてしまった…。
<0230> 途中のトラップで無謀な挑戦をして死んでるので、少し声が震えてしまった…。

//<0231> 音無
<0231> 音無

//<0232> クソ坊主
<0232> クソ坊主

//<0233> 代理人
<0233> 代理人

//<0234> 微妙すぎるイケメン
<0234> 微妙すぎるイケメン

//<0235> ロリコン
<0235> ロリコン

//<0236> メガネ仲間
<0236> メガネ仲間

//<0237> 暗算日本記録保持者
<0237> 暗算日本記録保持者

//<0238> 通り魔
<0238> 通り魔

//<0239> 記憶ナシ男
<0239> 記憶ナシ男

//<0240> 音速
<0240> 音速

//<0241> 無限
<0241> 無限

//<0242> エロ侍
<0242> エロ侍

//<0243> エロエロ団ナンバー１
<0243> エロエロ団ナンバー１

//<0244> ただのエロ少年
<0244> ただのエロ少年

//<0245> ユリブサイク
<0245> ユリブサイク

//<0246> ドピュッシー
<0246> ドピュッシー

//<0247> アメリカンエロドッグ
<0247> アメリカンエロドッグ

//<0248> ゼウス
<0248> ゼウス

//<0249> 日向markⅡ
<0249> 日向markⅡ

//<0250> 糞虫
<0250> 糞虫

//<0251> 量産型日向
<0251> 量産型日向

//<0252> ？？
<0252> ？？

//<0253> 「えーと、それは…結果だけしか知らないだろ。俺は他の幹部より、頑張ったほうなんだぜ？」
<0253> 「えーと、それは…結果だけしか知らないだろ。俺は他の幹部より、頑張ったほうなんだぜ？」

//<0254> ひどい結末だったから、少し声が震えてしまった…。
<0254> ひどい結末だったから、少し声が震えてしまった…。

//<0255> nothing
<0255> nothing

//<0256> nothing
<0256> nothing

//<0257> nothing
<0257> nothing

//<0258> nothing
<0258> nothing

//<0259> 岩沢
<0259> 岩沢

//<0260> 「へー、だったらやっぱり運動神経いいんじゃないか？」
<0260> 「へー、だったらやっぱり運動神経いいんじゃないか？」

//<0261> nothing
<0261> nothing

//<0262> nothing
<0262> nothing

//<0263> nothing
<0263> nothing

//<0264> nothing
<0264> nothing

//<0265> nothing
<0265> nothing

//<0266> ひさ子
<0266> ひさ子

//<0267> 「岩沢…」
<0267> 「岩沢…」

//<0268> nothing
<0268> nothing

//<0269> nothing
<0269> nothing

//<0270> nothing
<0270> nothing

//<0271> nothing
<0271> nothing

//<0272> nothing
<0272> nothing

//<0273> 岩沢
<0273> 岩沢

//<0274> 「ん？」
<0274> 「ん？」

//<0275> nothing
<0275> nothing

//<0276> nothing
<0276> nothing

//<0277> nothing
<0277> nothing

//<0278> nothing
<0278> nothing

//<0279> nothing
<0279> nothing

//<0280> nothing
<0280> nothing

//<0281> nothing
<0281> nothing

//<0282> nothing
<0282> nothing

//<0283> nothing
<0283> nothing

//<0284> nothing
<0284> nothing

//<0285> nothing
<0285> nothing

//<0286> 
<0286> 

//<0287> 
<0287> 

//<0288> nothing
<0288> nothing

//<0289> ひさ子
<0289> ひさ子

//<0290> 「てめーはなんてうぶなんだよっ！」
<0290> 「てめーはなんてうぶなんだよっ！」

//<0291> nothing
<0291> nothing

//<0292> nothing
<0292> nothing

//<0293> nothing
<0293> nothing

//<0294> nothing
<0294> nothing

//<0295> nothing
<0295> nothing

//<0296> nothing
<0296> nothing

//<0297> nothing
<0297> nothing

//<0298> nothing
<0298> nothing

//<0299> nothing
<0299> nothing

//<0300> nothing
<0300> nothing

//<0301> nothing
<0301> nothing

//<0302> 
<0302> 

//<0303> 
<0303> 

//<0304> nothing
<0304> nothing

//<0305> ひさ子が岩沢の肩に抱きついた。
<0305> ひさ子が岩沢の肩に抱きついた。

//<0306> nothing
<0306> nothing

//<0307> nothing
<0307> nothing

//<0308> nothing
<0308> nothing

//<0309> nothing
<0309> nothing

//<0310> nothing
<0310> nothing

//<0311> nothing
<0311> nothing

//<0312> nothing
<0312> nothing

//<0313> nothing
<0313> nothing

//<0314> nothing
<0314> nothing

//<0315> nothing
<0315> nothing

//<0316> nothing
<0316> nothing

//<0317> 
<0317> 

//<0318> 
<0318> 

//<0319> nothing
<0319> nothing

//<0320> 岩沢
<0320> 岩沢

//<0321> 「あれ？　あたし、変なこと言ったか…？」
<0321> 「あれ？　あたし、変なこと言ったか…？」

//<0322> nothing
<0322> nothing

//<0323> nothing
<0323> nothing

//<0324> nothing
<0324> nothing

//<0325> nothing
<0325> nothing

//<0326> nothing
<0326> nothing

//<0327> nothing
<0327> nothing

//<0328> nothing
<0328> nothing

//<0329> nothing
<0329> nothing

//<0330> nothing
<0330> nothing

//<0331> nothing
<0331> nothing

//<0332> nothing
<0332> nothing

//<0333> 
<0333> 

//<0334> 
<0334> 

//<0335> nothing
<0335> nothing

//<0336> ひさ子
<0336> ひさ子

//<0337> 「いや、いい！　お前はそのままうぶなままでいてくれっ！」
<0337> 「いや、いい！　お前はそのままうぶなままでいてくれっ！」

//<0338> nothing
<0338> nothing

//<0339> nothing
<0339> nothing

//<0340> nothing
<0340> nothing

//<0341> nothing
<0341> nothing

//<0342> 関根
<0342> 関根
{c9f9} 33 // 0342

//<0343> 「なんて仲の良さだ！！　みゆきち、あたしたちも抱き合おう！」
<0343> 「なんて仲の良さだ！！　みゆきち、あたしたちも抱き合おう！」

//<0344> nothing
<0344> nothing

//<0345> nothing
<0345> nothing

//<0346> nothing
<0346> nothing

//<0347> nothing
<0347> nothing

//<0348> nothing
<0348> nothing

//<0349> nothing
<0349> nothing

//<0350> nothing
<0350> nothing

//<0351> nothing
<0351> nothing

//<0352> nothing
<0352> nothing

//<0353> nothing
<0353> nothing

//<0354> 入江
<0354> 入江

//<0355> 「えぇーー！？　いきなりなにぃーー！？」
<0355> 「えぇーー！？　いきなりなにぃーー！？」

//<0356> nothing
<0356> nothing

//<0357> nothing
<0357> nothing

//<0358> nothing
<0358> nothing

//<0359> nothing
<0359> nothing

//<0360> nothing
<0360> nothing

//<0361> 関根
<0361> 関根

//<0362> 「岩沢先輩とひさ子先輩の百合関係に勝つには、あたしとみゆきちがくっつくしかないんだよっ！！」
<0362> 「岩沢先輩とひさ子先輩の百合関係に勝つには、あたしとみゆきちがくっつくしかないんだよっ！！」

//<0363> nothing
<0363> nothing

//<0364> nothing
<0364> nothing

//<0365> nothing
<0365> nothing

//<0366> nothing
<0366> nothing

//<0367> nothing
<0367> nothing

//<0368> 入江
<0368> 入江

//<0369> 「ゆりかんけい？」
<0369> 「ゆりかんけい？」

//<0370> nothing
<0370> nothing

//<0371> nothing
<0371> nothing

//<0372> nothing
<0372> nothing

//<0373> nothing
<0373> nothing

//<0374> nothing
<0374> nothing

//<0375> 関根
<0375> 関根

//<0376> 「みゆきち！　覚えておけ！　百合ってのはな…」
<0376> 「みゆきち！　覚えておけ！　百合ってのはな…」

//<0377> nothing
<0377> nothing

//<0378> nothing
<0378> nothing

//<0379> nothing
<0379> nothing

//<0380> nothing
<0380> nothing

//<0381> nothing
<0381> nothing

//<0382> 関根
<0382> 関根

//<0383> 「ようは女同士のエロじゃああぁーーー！！」
<0383> 「ようは女同士のエロじゃああぁーーー！！」

//<0384> 入江
<0384> 入江

//<0385> 「あたしとしおりんが！？」
<0385> 「あたしとしおりんが！？」

//<0386> nothing
<0386> nothing

//<0387> nothing
<0387> nothing

//<0388> nothing
<0388> nothing

//<0389> nothing
<0389> nothing

//<0390> nothing
<0390> nothing

//<0391> 関根
<0391> 関根

//<0392> 「そうとも、みゆきちっ！！」
<0392> 「そうとも、みゆきちっ！！」

//<0393> nothing
<0393> nothing

//<0394> nothing
<0394> nothing

//<0395> nothing
<0395> nothing

//<0396> nothing
<0396> nothing

//<0397> nothing
<0397> nothing

//<0398> 入江
<0398> 入江

//<0399> 「無理無理無理無理無理ぃーーーー！！」
<0399> 「無理無理無理無理無理ぃーーーー！！」

//<0400> nothing
<0400> nothing

//<0401> nothing
<0401> nothing

//<0402> nothing
<0402> nothing

//<0403> nothing
<0403> nothing

//<0404> nothing
<0404> nothing

//<0405> 関根
<0405> 関根

//<0406> 「引かれたぁーー！！　どん引かれたぁーーーー！！」
<0406> 「引かれたぁーー！！　どん引かれたぁーーーー！！」

//<0407> 
<0407> 

//<0408> nothing
<0408> nothing

//<0409> nothing
<0409> nothing

//<0410> nothing
<0410> nothing

//<0411> nothing
<0411> nothing

//<0412> nothing
<0412> nothing

//<0413> nothing
<0413> nothing

//<0414> nothing
<0414> nothing

//<0415> nothing
<0415> nothing

//<0416> nothing
<0416> nothing

//<0417> nothing
<0417> nothing

//<0418> nothing
<0418> nothing

//<0419> 
<0419> 

//<0420> 
<0420> 

//<0421> nothing
<0421> nothing

//<0422> 岩沢
<0422> 岩沢

//<0423> 「で、結局どうするんだ？」
<0423> 「で、結局どうするんだ？」

//<0424> ひさ子に抱きつかれたまま、岩沢から率直な質問があがる。
<0424> ひさ子に抱きつかれたまま、岩沢から率直な質問があがる。

//<0425> nothing
<0425> nothing

//<0426> nothing
<0426> nothing

//<0427> nothing
<0427> nothing

//<0428> nothing
<0428> nothing

//<0429> nothing
<0429> nothing

//<0430> nothing
<0430> nothing

//<0431> nothing
<0431> nothing

//<0432> nothing
<0432> nothing

//<0433> nothing
<0433> nothing

//<0434> nothing
<0434> nothing

//<0435> nothing
<0435> nothing

//<0436> 
<0436> 

//<0437> 
<0437> 

//<0438> nothing
<0438> nothing

//<0439> ひさ子がこちらをキッ！と見る。
<0439> ひさ子がこちらをキッ！と見る。

//<0440> nothing
<0440> nothing

//<0441> nothing
<0441> nothing

//<0442> nothing
<0442> nothing

//<0443> nothing
<0443> nothing

//<0444> nothing
<0444> nothing

//<0445> ひさ子
<0445> ひさ子

//<0446> 「さっきの話が本当なら、加えてやるよ」
<0446> 「さっきの話が本当なら、加えてやるよ」

//<0447> 音無
<0447> 音無

//<0448> クソ坊主
<0448> クソ坊主

//<0449> 代理人
<0449> 代理人

//<0450> 微妙すぎるイケメン
<0450> 微妙すぎるイケメン

//<0451> ロリコン
<0451> ロリコン

//<0452> メガネ仲間
<0452> メガネ仲間

//<0453> 暗算日本記録保持者
<0453> 暗算日本記録保持者

//<0454> 通り魔
<0454> 通り魔

//<0455> 記憶ナシ男
<0455> 記憶ナシ男

//<0456> 音速
<0456> 音速

//<0457> 無限
<0457> 無限

//<0458> エロ侍
<0458> エロ侍

//<0459> エロエロ団ナンバー１
<0459> エロエロ団ナンバー１

//<0460> ただのエロ少年
<0460> ただのエロ少年

//<0461> ユリブサイク
<0461> ユリブサイク

//<0462> ドピュッシー
<0462> ドピュッシー

//<0463> アメリカンエロドッグ
<0463> アメリカンエロドッグ

//<0464> ゼウス
<0464> ゼウス

//<0465> 日向markⅡ
<0465> 日向markⅡ

//<0466> 糞虫
<0466> 糞虫

//<0467> 量産型日向
<0467> 量産型日向

//<0468> ？？
<0468> ？？

//<0469> 「あ、ああ、本当だ」
<0469> 「あ、ああ、本当だ」

//<0470> 嘘はついていない…。
<0470> 嘘はついていない…。

//<0471> nothing
<0471> nothing

//<0472> nothing
<0472> nothing

//<0473> nothing
<0473> nothing

//<0474> nothing
<0474> nothing

//<0475> nothing
<0475> nothing

//<0476> ひさ子
<0476> ひさ子

//<0477> 「よし。なら、加入を許す」
<0477> 「よし。なら、加入を許す」

//<0478> nothing
<0478> nothing

//<0479> nothing
<0479> nothing

//<0480> nothing
<0480> nothing

//<0481> nothing
<0481> nothing

//<0482> nothing
<0482> nothing

//<0483> ひさ子
<0483> ひさ子

//<0484> 「いいよな、岩沢？」
<0484> 「いいよな、岩沢？」

//<0485> 岩沢
<0485> 岩沢

//<0486> 「お前がいいんなら、もちろんいいさ」
<0486> 「お前がいいんなら、もちろんいいさ」

//<0487> nothing
<0487> nothing

//<0488> nothing
<0488> nothing

//<0489> nothing
<0489> nothing

//<0490> nothing
<0490> nothing

//<0491> 関根
<0491> 関根
{11fa1} 33 // 0491

//<0492> 「お前がいいんなら、もちろんいいさ、ってまた、百合フラグが激しく立ったあぁぁーー！！」
<0492> 「お前がいいんなら、もちろんいいさ、ってまた、百合フラグが激しく立ったあぁぁーー！！」

//<0493> nothing
<0493> nothing

//<0494> nothing
<0494> nothing

//<0495> nothing
<0495> nothing

//<0496> nothing
<0496> nothing

//<0497> nothing
<0497> nothing

//<0498> nothing
<0498> nothing

//<0499> nothing
<0499> nothing

//<0500> nothing
<0500> nothing

//<0501> nothing
<0501> nothing

//<0502> nothing
<0502> nothing

//<0503> 入江
<0503> 入江

//<0504> 「まあまあ、落ち着こうよ、しおりん」
<0504> 「まあまあ、落ち着こうよ、しおりん」

//<0505> nothing
<0505> nothing

//<0506> nothing
<0506> nothing

//<0507> nothing
<0507> nothing

//<0508> nothing
<0508> nothing

//<0509> nothing
<0509> nothing

//<0510> 関根
<0510> 関根
{1233e} 33 // 0510

//<0511> 「お前は、まあまあ、と言い続けるロボットかぁぁーー！！」
<0511> 「お前は、まあまあ、と言い続けるロボットかぁぁーー！！」

//<0512> nothing
<0512> nothing

//<0513> nothing
<0513> nothing

//<0514> nothing
<0514> nothing

//<0515> nothing
<0515> nothing

//<0516> nothing
<0516> nothing

//<0517> nothing
<0517> nothing

//<0518> nothing
<0518> nothing

//<0519> nothing
<0519> nothing

//<0520> nothing
<0520> nothing

//<0521> nothing
<0521> nothing

//<0522> nothing
<0522> nothing

//<0523> nothing
<0523> nothing

//<0524> nothing
<0524> nothing

//<0525> nothing
<0525> nothing

//<0526> nothing
<0526> nothing

//<0527> 入江
<0527> 入江
{12632} 33 // 0527

//<0528> 「えぇーー！？　人間だよぉーー！？　死んでるけど」
<0528> 「えぇーー！？　人間だよぉーー！？　死んでるけど」

//<0529> nothing
<0529> nothing

//<0530> nothing
<0530> nothing

//<0531> nothing
<0531> nothing

//<0532> nothing
<0532> nothing

//<0533> nothing
<0533> nothing

//<0534> nothing
<0534> nothing

//<0535> nothing
<0535> nothing

//<0536> nothing
<0536> nothing

//<0537> nothing
<0537> nothing

//<0538> nothing
<0538> nothing

//<0539> nothing
<0539> nothing

