// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 音無
<0105> ゼウス

//<0106> 日向markⅡ
<0106> 日向markⅡ

//<0107> 糞虫
<0107> 糞虫

//<0108> 量産型日向
<0108> 量産型日向

//<0109> ？？
<0109> ？？

//<0110> 「あのさ…」
<0110> 「あのさ…」

//<0111> nothing
<0111> nothing

//<0112> nothing
<0112> nothing

//<0113> nothing
<0113> nothing

//<0114> nothing
<0114> nothing

//<0115> nothing
<0115> nothing

//<0116> 天使
<0116> 天使

//<0117> かなで
<0117> かなで

//<0118> 女生徒
<0118> 女生徒

//<0119> ？？
<0119> ？？

//<0120> 「…ん？」
<0120> 「…ん？」

//<0121> 音無
<0121> 音無

//<0122> クソ坊主
<0122> クソ坊主

//<0123> 代理人
<0123> 代理人

//<0124> 微妙すぎるイケメン
<0124> 微妙すぎるイケメン

//<0125> ロリコン
<0125> ロリコン

//<0126> メガネ仲間
<0126> メガネ仲間

//<0127> 暗算日本記録保持者
<0127> 暗算日本記録保持者

//<0128> 通り魔
<0128> 通り魔

//<0129> 記憶ナシ男
<0129> 記憶ナシ男

//<0130> 音速
<0130> 音速

//<0131> 無限
<0131> 無限

//<0132> エロ侍
<0132> エロ侍

//<0133> エロエロ団ナンバー１
<0133> エロエロ団ナンバー１

//<0134> ただのエロ少年
<0134> ただのエロ少年

//<0135> ユリブサイク
<0135> ユリブサイク

//<0136> ドピュッシー
<0136> ドピュッシー

//<0137> アメリカンエロドッグ
<0137> アメリカンエロドッグ

//<0138> ゼウス
<0138> ゼウス

//<0139> 日向markⅡ
<0139> 日向markⅡ

//<0140> 糞虫
<0140> 糞虫

//<0141> 量産型日向
<0141> 量産型日向

//<0142> ？？
<0142> ？？

//<0143> 「俺、あんたの名前知らない」
<0143> 「俺、あんたの名前知らない」

//<0144> nothing
<0144> nothing

//<0145> nothing
<0145> nothing

//<0146> nothing
<0146> nothing

//<0147> nothing
<0147> nothing

//<0148> nothing
<0148> nothing

//<0149> 天使
<0149> 天使

//<0150> かなで
<0150> かなで

//<0151> 女生徒
<0151> 女生徒

//<0152> ？？
<0152> ？？

//<0153> 「あたし？　立華」
<0153> 「あたし？　立華」

//<0154> 音無
<0154> 音無

//<0155> クソ坊主
<0155> クソ坊主

//<0156> 代理人
<0156> 代理人

//<0157> 微妙すぎるイケメン
<0157> 微妙すぎるイケメン

//<0158> ロリコン
<0158> ロリコン

//<0159> メガネ仲間
<0159> メガネ仲間

//<0160> 暗算日本記録保持者
<0160> 暗算日本記録保持者

//<0161> 通り魔
<0161> 通り魔

//<0162> 記憶ナシ男
<0162> 記憶ナシ男

//<0163> 音速
<0163> 音速

//<0164> 無限
<0164> 無限

//<0165> エロ侍
<0165> エロ侍

//<0166> エロエロ団ナンバー１
<0166> エロエロ団ナンバー１

//<0167> ただのエロ少年
<0167> ただのエロ少年

//<0168> ユリブサイク
<0168> ユリブサイク

//<0169> ドピュッシー
<0169> ドピュッシー

//<0170> アメリカンエロドッグ
<0170> アメリカンエロドッグ

//<0171> ゼウス
<0171> ゼウス

//<0172> 日向markⅡ
<0172> 日向markⅡ

//<0173> 糞虫
<0173> 糞虫

//<0174> 量産型日向
<0174> 量産型日向

//<0175> ？？
<0175> ？？

//<0176> 「下は？」
<0176> 「下は？」

//<0177> nothing
<0177> nothing

//<0178> nothing
<0178> nothing

//<0179> nothing
<0179> nothing

//<0180> nothing
<0180> nothing

//<0181> nothing
<0181> nothing

//<0182> 天使
<0182> 天使

//<0183> かなで
<0183> かなで

//<0184> 女生徒
<0184> 女生徒

//<0185> ？？
<0185> ？？

//<0186> 「下？　かなで」
<0186> 「下？　かなで」

//<0187> 音無
<0187> 音無

//<0188> クソ坊主
<0188> クソ坊主

//<0189> 代理人
<0189> 代理人

//<0190> 微妙すぎるイケメン
<0190> 微妙すぎるイケメン

//<0191> ロリコン
<0191> ロリコン

//<0192> メガネ仲間
<0192> メガネ仲間

//<0193> 暗算日本記録保持者
<0193> 暗算日本記録保持者

//<0194> 通り魔
<0194> 通り魔

//<0195> 記憶ナシ男
<0195> 記憶ナシ男

//<0196> 音速
<0196> 音速

//<0197> 無限
<0197> 無限

//<0198> エロ侍
<0198> エロ侍

//<0199> エロエロ団ナンバー１
<0199> エロエロ団ナンバー１

//<0200> ただのエロ少年
<0200> ただのエロ少年

//<0201> ユリブサイク
<0201> ユリブサイク

//<0202> ドピュッシー
<0202> ドピュッシー

//<0203> アメリカンエロドッグ
<0203> アメリカンエロドッグ

//<0204> ゼウス
<0204> ゼウス

//<0205> 日向markⅡ
<0205> 日向markⅡ

//<0206> 糞虫
<0206> 糞虫

//<0207> 量産型日向
<0207> 量産型日向

//<0208> ？？
<0208> ？？

//<0209> 「たちばな、かなで」
<0209> 「たちばな、かなで」

//<0210> 口にしてみる。
<0210> 口にしてみる。

//<0211> 音無
<0211> 音無

//<0212> クソ坊主
<0212> クソ坊主

//<0213> 代理人
<0213> 代理人

//<0214> 微妙すぎるイケメン
<0214> 微妙すぎるイケメン

//<0215> ロリコン
<0215> ロリコン

//<0216> メガネ仲間
<0216> メガネ仲間

//<0217> 暗算日本記録保持者
<0217> 暗算日本記録保持者

//<0218> 通り魔
<0218> 通り魔

//<0219> 記憶ナシ男
<0219> 記憶ナシ男

//<0220> 音速
<0220> 音速

//<0221> 無限
<0221> 無限

//<0222> エロ侍
<0222> エロ侍

//<0223> エロエロ団ナンバー１
<0223> エロエロ団ナンバー１

//<0224> ただのエロ少年
<0224> ただのエロ少年

//<0225> ユリブサイク
<0225> ユリブサイク

//<0226> ドピュッシー
<0226> ドピュッシー

//<0227> アメリカンエロドッグ
<0227> アメリカンエロドッグ

//<0228> ゼウス
<0228> ゼウス

//<0229> 日向markⅡ
<0229> 日向markⅡ

//<0230> 糞虫
<0230> 糞虫

//<0231> 量産型日向
<0231> 量産型日向

//<0232> ？？
<0232> ？？

//<0233> （美しい響き。名の通り、音を奏でるような…いい名前だと思った）
<0233> （美しい響き。名の通り、音を奏でるような…いい名前だと思った）

//<0234> nothing
<0234> nothing

//<0235> nothing
<0235> nothing

//<0236> nothing
<0236> nothing

//<0237> nothing
<0237> nothing

//<0238> nothing
<0238> nothing

//<0239> 天使
<0239> 天使

//<0240> かなで
<0240> かなで

//<0241> 女生徒
<0241> 女生徒

//<0242> ？？
<0242> ？？

//<0243> 「あなたは？」
<0243> 「あなたは？」

//<0244> 訊き返されてる。当然か…。
<0244> 訊き返されてる。当然か…。

//<0245> 音無
<0245> 音無

//<0246> クソ坊主
<0246> クソ坊主

//<0247> 代理人
<0247> 代理人

//<0248> 微妙すぎるイケメン
<0248> 微妙すぎるイケメン

//<0249> ロリコン
<0249> ロリコン

//<0250> メガネ仲間
<0250> メガネ仲間

//<0251> 暗算日本記録保持者
<0251> 暗算日本記録保持者

//<0252> 通り魔
<0252> 通り魔

//<0253> 記憶ナシ男
<0253> 記憶ナシ男

//<0254> 音速
<0254> 音速

//<0255> 無限
<0255> 無限

//<0256> エロ侍
<0256> エロ侍

//<0257> エロエロ団ナンバー１
<0257> エロエロ団ナンバー１

//<0258> ただのエロ少年
<0258> ただのエロ少年

//<0259> ユリブサイク
<0259> ユリブサイク

//<0260> ドピュッシー
<0260> ドピュッシー

//<0261> アメリカンエロドッグ
<0261> アメリカンエロドッグ

//<0262> ゼウス
<0262> ゼウス

//<0263> 日向markⅡ
<0263> 日向markⅡ

//<0264> 糞虫
<0264> 糞虫

//<0265> 量産型日向
<0265> 量産型日向

//<0266> ？？
<0266> ？？

//<0267> 「音無」
<0267> 「音無」

//<0268> nothing
<0268> nothing

//<0269> nothing
<0269> nothing

//<0270> nothing
<0270> nothing

//<0271> nothing
<0271> nothing

//<0272> nothing
<0272> nothing

//<0273> 天使
<0273> 天使

//<0274> かなで
<0274> かなで

//<0275> 女生徒
<0275> 女生徒

//<0276> ？？
<0276> ？？

//<0277> 「音無くん、ね」
<0277> 「音無くん、ね」

//<0278> 音無
<0278> 音無

//<0279> クソ坊主
<0279> クソ坊主

//<0280> 代理人
<0280> 代理人

//<0281> 微妙すぎるイケメン
<0281> 微妙すぎるイケメン

//<0282> ロリコン
<0282> ロリコン

//<0283> メガネ仲間
<0283> メガネ仲間

//<0284> 暗算日本記録保持者
<0284> 暗算日本記録保持者

//<0285> 通り魔
<0285> 通り魔

//<0286> 記憶ナシ男
<0286> 記憶ナシ男

//<0287> 音速
<0287> 音速

//<0288> 無限
<0288> 無限

//<0289> エロ侍
<0289> エロ侍

//<0290> エロエロ団ナンバー１
<0290> エロエロ団ナンバー１

//<0291> ただのエロ少年
<0291> ただのエロ少年

//<0292> ユリブサイク
<0292> ユリブサイク

//<0293> ドピュッシー
<0293> ドピュッシー

//<0294> アメリカンエロドッグ
<0294> アメリカンエロドッグ

//<0295> ゼウス
<0295> ゼウス

//<0296> 日向markⅡ
<0296> 日向markⅡ

//<0297> 糞虫
<0297> 糞虫

//<0298> 量産型日向
<0298> 量産型日向

//<0299> ？？
<0299> ？？

//<0300> 「下の名前はまだ思い出せない」
<0300> 「下の名前はまだ思い出せない」

//<0301> nothing
<0301> nothing

//<0302> nothing
<0302> nothing

//<0303> nothing
<0303> nothing

//<0304> nothing
<0304> nothing

//<0305> nothing
<0305> nothing

//<0306> 天使
<0306> 天使

//<0307> かなで
<0307> かなで

//<0308> 女生徒
<0308> 女生徒

//<0309> ？？
<0309> ？？

//<0310> 「そういえば、記憶がどうとか…」
<0310> 「そういえば、記憶がどうとか…」

//<0311> 音無
<0311> 音無

//<0312> クソ坊主
<0312> クソ坊主

//<0313> 代理人
<0313> 代理人

//<0314> 微妙すぎるイケメン
<0314> 微妙すぎるイケメン

//<0315> ロリコン
<0315> ロリコン

//<0316> メガネ仲間
<0316> メガネ仲間

//<0317> 暗算日本記録保持者
<0317> 暗算日本記録保持者

//<0318> 通り魔
<0318> 通り魔

//<0319> 記憶ナシ男
<0319> 記憶ナシ男

//<0320> 音速
<0320> 音速

//<0321> 無限
<0321> 無限

//<0322> エロ侍
<0322> エロ侍

//<0323> エロエロ団ナンバー１
<0323> エロエロ団ナンバー１

//<0324> ただのエロ少年
<0324> ただのエロ少年

//<0325> ユリブサイク
<0325> ユリブサイク

//<0326> ドピュッシー
<0326> ドピュッシー

//<0327> アメリカンエロドッグ
<0327> アメリカンエロドッグ

//<0328> ゼウス
<0328> ゼウス

//<0329> 日向markⅡ
<0329> 日向markⅡ

//<0330> 糞虫
<0330> 糞虫

//<0331> 量産型日向
<0331> 量産型日向

//<0332> ？？
<0332> ？？

//<0333> 「ああ。一週間近く経つけど、未だ戻っていない」
<0333> 「ああ。一週間近く経つけど、未だ戻っていない」

//<0334> nothing
<0334> nothing

//<0335> nothing
<0335> nothing

//<0336> nothing
<0336> nothing

//<0337> nothing
<0337> nothing

//<0338> nothing
<0338> nothing

//<0339> 天使
<0339> 天使

//<0340> かなで
<0340> かなで

//<0341> 女生徒
<0341> 女生徒

//<0342> ？？
<0342> ？？

//<0343> 「それは大変ね」
<0343> 「それは大変ね」

//<0344> 音無
<0344> 音無

//<0345> クソ坊主
<0345> クソ坊主

//<0346> 代理人
<0346> 代理人

//<0347> 微妙すぎるイケメン
<0347> 微妙すぎるイケメン

//<0348> ロリコン
<0348> ロリコン

//<0349> メガネ仲間
<0349> メガネ仲間

//<0350> 暗算日本記録保持者
<0350> 暗算日本記録保持者

//<0351> 通り魔
<0351> 通り魔

//<0352> 記憶ナシ男
<0352> 記憶ナシ男

//<0353> 音速
<0353> 音速

//<0354> 無限
<0354> 無限

//<0355> エロ侍
<0355> エロ侍

//<0356> エロエロ団ナンバー１
<0356> エロエロ団ナンバー１

//<0357> ただのエロ少年
<0357> ただのエロ少年

//<0358> ユリブサイク
<0358> ユリブサイク

//<0359> ドピュッシー
<0359> ドピュッシー

//<0360> アメリカンエロドッグ
<0360> アメリカンエロドッグ

//<0361> ゼウス
<0361> ゼウス

//<0362> 日向markⅡ
<0362> 日向markⅡ

//<0363> 糞虫
<0363> 糞虫

//<0364> 量産型日向
<0364> 量産型日向

//<0365> ？？
<0365> ？？

//<0366> 「別に今んところ生活に支障はないよ」
<0366> 「別に今んところ生活に支障はないよ」

//<0367> nothing
<0367> nothing

//<0368> nothing
<0368> nothing

//<0369> nothing
<0369> nothing

//<0370> nothing
<0370> nothing

//<0371> nothing
<0371> nothing

//<0372> 天使
<0372> 天使

//<0373> かなで
<0373> かなで

//<0374> 女生徒
<0374> 女生徒

//<0375> ？？
<0375> ？？

//<0376> 「そういう意味じゃなく…」
<0376> 「そういう意味じゃなく…」

//<0377> nothing
<0377> nothing

//<0378> nothing
<0378> nothing

//<0379> nothing
<0379> nothing

//<0380> nothing
<0380> nothing

//<0381> nothing
<0381> nothing

//<0382> 天使
<0382> 天使

//<0383> かなで
<0383> かなで

//<0384> 女生徒
<0384> 女生徒

//<0385> ？？
<0385> ？？

//<0386> 「記憶がないまま消えるケースなんてあったかしら…」
<0386> 「記憶がないまま消えるケースなんてあったかしら…」

//<0387> 音無
<0387> 音無

//<0388> クソ坊主
<0388> クソ坊主

//<0389> 代理人
<0389> 代理人

//<0390> 微妙すぎるイケメン
<0390> 微妙すぎるイケメン

//<0391> ロリコン
<0391> ロリコン

//<0392> メガネ仲間
<0392> メガネ仲間

//<0393> 暗算日本記録保持者
<0393> 暗算日本記録保持者

//<0394> 通り魔
<0394> 通り魔

//<0395> 記憶ナシ男
<0395> 記憶ナシ男

//<0396> 音速
<0396> 音速

//<0397> 無限
<0397> 無限

//<0398> エロ侍
<0398> エロ侍

//<0399> エロエロ団ナンバー１
<0399> エロエロ団ナンバー１

//<0400> ただのエロ少年
<0400> ただのエロ少年

//<0401> ユリブサイク
<0401> ユリブサイク

//<0402> ドピュッシー
<0402> ドピュッシー

//<0403> アメリカンエロドッグ
<0403> アメリカンエロドッグ

//<0404> ゼウス
<0404> ゼウス

//<0405> 日向markⅡ
<0405> 日向markⅡ

//<0406> 糞虫
<0406> 糞虫

//<0407> 量産型日向
<0407> 量産型日向

//<0408> ？？
<0408> ？？

//<0409> 「ああ、そういう意味…」
<0409> 「ああ、そういう意味…」

//<0410> nothing
<0410> nothing

//<0411> nothing
<0411> nothing

//<0412> nothing
<0412> nothing

//<0413> nothing
<0413> nothing

//<0414> nothing
<0414> nothing

//<0415> 天使
<0415> 天使

//<0416> かなで
<0416> かなで

//<0417> 女生徒
<0417> 女生徒

//<0418> ？？
<0418> ？？

//<0419> 「もしかしたら、ないかもしれない…」
<0419> 「もしかしたら、ないかもしれない…」

//<0420> nothing
<0420> nothing

//<0421> nothing
<0421> nothing

//<0422> nothing
<0422> nothing

//<0423> nothing
<0423> nothing

//<0424> nothing
<0424> nothing

//<0425> 天使
<0425> 天使

//<0426> かなで
<0426> かなで

//<0427> 女生徒
<0427> 女生徒

//<0428> ？？
<0428> ？？

//<0429> 「音無くん、ついてきて」
<0429> 「音無くん、ついてきて」

//<0430> そう言って、立華は立ち上がり、教室を出ていく。
<0430> そう言って、立華は立ち上がり、教室を出ていく。

//<0431> 音無
<0431> 音無

//<0432> クソ坊主
<0432> クソ坊主

//<0433> 代理人
<0433> 代理人

//<0434> 微妙すぎるイケメン
<0434> 微妙すぎるイケメン

//<0435> ロリコン
<0435> ロリコン

//<0436> メガネ仲間
<0436> メガネ仲間

//<0437> 暗算日本記録保持者
<0437> 暗算日本記録保持者

//<0438> 通り魔
<0438> 通り魔

//<0439> 記憶ナシ男
<0439> 記憶ナシ男

//<0440> 音速
<0440> 音速

//<0441> 無限
<0441> 無限

//<0442> エロ侍
<0442> エロ侍

//<0443> エロエロ団ナンバー１
<0443> エロエロ団ナンバー１

//<0444> ただのエロ少年
<0444> ただのエロ少年

//<0445> ユリブサイク
<0445> ユリブサイク

//<0446> ドピュッシー
<0446> ドピュッシー

//<0447> アメリカンエロドッグ
<0447> アメリカンエロドッグ

//<0448> ゼウス
<0448> ゼウス

//<0449> 日向markⅡ
<0449> 日向markⅡ

//<0450> 糞虫
<0450> 糞虫

//<0451> 量産型日向
<0451> 量産型日向

//<0452> ？？
<0452> ？？

//<0453> （…どうしよう、ついて行って大丈夫なのか…？）
<0453> （…どうしよう、ついて行って大丈夫なのか…？）

//<0454> 俺の心配や不安などお構いなしだ。
<0454> 俺の心配や不安などお構いなしだ。

//<0455> 当然だ、相手は天使なんだから。
<0455> 当然だ、相手は天使なんだから。

//<0456> 音無
<0456> 音無

//<0457> クソ坊主
<0457> クソ坊主

//<0458> 代理人
<0458> 代理人

//<0459> 微妙すぎるイケメン
<0459> 微妙すぎるイケメン

//<0460> ロリコン
<0460> ロリコン

//<0461> メガネ仲間
<0461> メガネ仲間

//<0462> 暗算日本記録保持者
<0462> 暗算日本記録保持者

//<0463> 通り魔
<0463> 通り魔

//<0464> 記憶ナシ男
<0464> 記憶ナシ男

//<0465> 音速
<0465> 音速

//<0466> 無限
<0466> 無限

//<0467> エロ侍
<0467> エロ侍

//<0468> エロエロ団ナンバー１
<0468> エロエロ団ナンバー１

//<0469> ただのエロ少年
<0469> ただのエロ少年

//<0470> ユリブサイク
<0470> ユリブサイク

//<0471> ドピュッシー
<0471> ドピュッシー

//<0472> アメリカンエロドッグ
<0472> アメリカンエロドッグ

//<0473> ゼウス
<0473> ゼウス

//<0474> 日向markⅡ
<0474> 日向markⅡ

//<0475> 糞虫
<0475> 糞虫

//<0476> 量産型日向
<0476> 量産型日向

//<0477> ？？
<0477> ？？

//<0478> （でも、もしかしたら天使のことを知るきっかけになるかもしれない…）
<0478> （でも、もしかしたら天使のことを知るきっかけになるかもしれない…）

//<0479> 意を決して、後について行くことにした。
<0479> 意を決して、後について行くことにした。

//<0480> nothing
<0480> nothing

//<0481> 
<0481> 

//<0482> 
<0482> 

//<0483> nothing
<0483> nothing

//<0484> 天使
<0484> 天使

//<0485> かなで
<0485> かなで

//<0486> 女生徒
<0486> 女生徒

//<0487> ？？
<0487> ？？

//<0488> 「そこ立って」
<0488> 「そこ立って」

//<0489> 指さされたのは階段の手前。
<0489> 指さされたのは階段の手前。

//<0490> 音無
<0490> 音無

//<0491> クソ坊主
<0491> クソ坊主

//<0492> 代理人
<0492> 代理人

//<0493> 微妙すぎるイケメン
<0493> 微妙すぎるイケメン

//<0494> ロリコン
<0494> ロリコン

//<0495> メガネ仲間
<0495> メガネ仲間

//<0496> 暗算日本記録保持者
<0496> 暗算日本記録保持者

//<0497> 通り魔
<0497> 通り魔

//<0498> 記憶ナシ男
<0498> 記憶ナシ男

//<0499> 音速
<0499> 音速

//<0500> 無限
<0500> 無限

//<0501> エロ侍
<0501> エロ侍

//<0502> エロエロ団ナンバー１
<0502> エロエロ団ナンバー１

//<0503> ただのエロ少年
<0503> ただのエロ少年

//<0504> ユリブサイク
<0504> ユリブサイク

//<0505> ドピュッシー
<0505> ドピュッシー

//<0506> アメリカンエロドッグ
<0506> アメリカンエロドッグ

//<0507> ゼウス
<0507> ゼウス

//<0508> 日向markⅡ
<0508> 日向markⅡ

//<0509> 糞虫
<0509> 糞虫

//<0510> 量産型日向
<0510> 量産型日向

//<0511> ？？
<0511> ？？

//<0512> 「いや、待て、やろうとしてることはわかるが」
<0512> 「いや、待て、やろうとしてることはわかるが」

//<0513> 天使
<0513> 天使

//<0514> かなで
<0514> かなで

//<0515> 女生徒
<0515> 女生徒

//<0516> ？？
<0516> ？？

//<0517> 「あたしのハンドソニックでは、打撃はできないから」
<0517> 「あたしのハンドソニックでは、打撃はできないから」

//<0518> なんでやねーん！とハンドソニックではたかられる絵が脳裏に浮かんだ。
<0518> なんでやねーん！とハンドソニックではたかられる絵が脳裏に浮かんだ。

//<0519> 確かにそれではショック度は足りないだろう。
<0519> 確かにそれではショック度は足りないだろう。

//<0520> 音無
<0520> 音無

//<0521> クソ坊主
<0521> クソ坊主

//<0522> 代理人
<0522> 代理人

//<0523> 微妙すぎるイケメン
<0523> 微妙すぎるイケメン

//<0524> ロリコン
<0524> ロリコン

//<0525> メガネ仲間
<0525> メガネ仲間

//<0526> 暗算日本記録保持者
<0526> 暗算日本記録保持者

//<0527> 通り魔
<0527> 通り魔

//<0528> 記憶ナシ男
<0528> 記憶ナシ男

//<0529> 音速
<0529> 音速

//<0530> 無限
<0530> 無限

//<0531> エロ侍
<0531> エロ侍

//<0532> エロエロ団ナンバー１
<0532> エロエロ団ナンバー１

//<0533> ただのエロ少年
<0533> ただのエロ少年

//<0534> ユリブサイク
<0534> ユリブサイク

//<0535> ドピュッシー
<0535> ドピュッシー

//<0536> アメリカンエロドッグ
<0536> アメリカンエロドッグ

//<0537> ゼウス
<0537> ゼウス

//<0538> 日向markⅡ
<0538> 日向markⅡ

//<0539> 糞虫
<0539> 糞虫

//<0540> 量産型日向
<0540> 量産型日向

//<0541> ？？
<0541> ？？

//<0542> 「って、どちらにしろっ…」
<0542> 「って、どちらにしろっ…」

