// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 今日もユイは路上ライブをしているんだろうか。
<0000> 今日もユイは路上ライブをしているんだろうか。
<0095> nothing

//<0096> nothing
<0096> nothing

//<0097> 音無
<0097> 音無

//<0098> クソ坊主
<0098> クソ坊主

//<0099> 代理人
<0099> 代理人

//<0100> 微妙すぎるイケメン
<0100> 微妙すぎるイケメン

//<0101> ロリコン
<0101> ロリコン

//<0102> メガネ仲間
<0102> メガネ仲間

//<0103> 暗算日本記録保持者
<0103> 暗算日本記録保持者

//<0104> 通り魔
<0104> 通り魔

//<0105> 記憶ナシ男
<0105> 記憶ナシ男

//<0106> 音速
<0106> 音速

//<0107> 無限
<0107> 無限

//<0108> エロ侍
<0108> エロ侍

//<0109> エロエロ団ナンバー１
<0109> エロエロ団ナンバー１

//<0110> ただのエロ少年
<0110> ただのエロ少年

//<0111> ユリブサイク
<0111> ユリブサイク

//<0112> ドピュッシー
<0112> ドピュッシー

//<0113> アメリカンエロドッグ
<0113> アメリカンエロドッグ

//<0114> ゼウス
<0114> ゼウス

//<0115> 日向markⅡ
<0115> 日向markⅡ

//<0116> 糞虫
<0116> 糞虫

//<0117> 量産型日向
<0117> 量産型日向

//<0118> ？？
<0118> ？？

//<0119> 「よう」
<0119> 「よう」

//<0120> 声をかけてみる。
<0120> 声をかけてみる。

//<0121> nothing
<0121> nothing

//<0122> nothing
<0122> nothing

//<0123> nothing
<0123> nothing

//<0124> nothing
<0124> nothing

//<0125> nothing
<0125> nothing

//<0126> 岩沢
<0126> 岩沢

//<0127> 「うん？　ええと確か…記憶ナシ男」
<0127> 「うん？　ええと確か…記憶ナシ男」

//<0128> 音無
<0128> 音無

//<0129> クソ坊主
<0129> クソ坊主

//<0130> 代理人
<0130> 代理人

//<0131> 微妙すぎるイケメン
<0131> 微妙すぎるイケメン

//<0132> ロリコン
<0132> ロリコン

//<0133> メガネ仲間
<0133> メガネ仲間

//<0134> 暗算日本記録保持者
<0134> 暗算日本記録保持者

//<0135> 通り魔
<0135> 通り魔

//<0136> 記憶ナシ男
<0136> 記憶ナシ男

//<0137> 音速
<0137> 音速

//<0138> 無限
<0138> 無限

//<0139> エロ侍
<0139> エロ侍

//<0140> エロエロ団ナンバー１
<0140> エロエロ団ナンバー１

//<0141> ただのエロ少年
<0141> ただのエロ少年

//<0142> ユリブサイク
<0142> ユリブサイク

//<0143> ドピュッシー
<0143> ドピュッシー

//<0144> アメリカンエロドッグ
<0144> アメリカンエロドッグ

//<0145> ゼウス
<0145> ゼウス

//<0146> 日向markⅡ
<0146> 日向markⅡ

//<0147> 糞虫
<0147> 糞虫

//<0148> 量産型日向
<0148> 量産型日向

//<0149> ？？
<0149> ？？

//<0150> 「違う。エロエロ団ナンバー１だ」
<0150> 「違う。エロエロ団ナンバー１だ」

//<0151> nothing
<0151> nothing

//<0152> nothing
<0152> nothing

//<0153> nothing
<0153> nothing

//<0154> nothing
<0154> nothing

//<0155> nothing
<0155> nothing

//<0156> 岩沢
<0156> 岩沢

//<0157> 「ん？　なんだ？」
<0157> 「ん？　なんだ？」

//<0158> 音無
<0158> 音無

//<0159> クソ坊主
<0159> クソ坊主

//<0160> 代理人
<0160> 代理人

//<0161> 微妙すぎるイケメン
<0161> 微妙すぎるイケメン

//<0162> ロリコン
<0162> ロリコン

//<0163> メガネ仲間
<0163> メガネ仲間

//<0164> 暗算日本記録保持者
<0164> 暗算日本記録保持者

//<0165> 通り魔
<0165> 通り魔

//<0166> 記憶ナシ男
<0166> 記憶ナシ男

//<0167> 音速
<0167> 音速

//<0168> 無限
<0168> 無限

//<0169> エロ侍
<0169> エロ侍

//<0170> エロエロ団ナンバー１
<0170> エロエロ団ナンバー１

//<0171> ただのエロ少年
<0171> ただのエロ少年

//<0172> ユリブサイク
<0172> ユリブサイク

//<0173> ドピュッシー
<0173> ドピュッシー

//<0174> アメリカンエロドッグ
<0174> アメリカンエロドッグ

//<0175> ゼウス
<0175> ゼウス

//<0176> 日向markⅡ
<0176> 日向markⅡ

//<0177> 糞虫
<0177> 糞虫

//<0178> 量産型日向
<0178> 量産型日向

//<0179> ？？
<0179> ？？

//<0180> 「色々あって、そう呼ばれることになった」
<0180> 「色々あって、そう呼ばれることになった」

//<0181> nothing
<0181> nothing

//<0182> nothing
<0182> nothing

//<0183> nothing
<0183> nothing

//<0184> nothing
<0184> nothing

//<0185> nothing
<0185> nothing

//<0186> 岩沢
<0186> 岩沢

//<0187> 「あんたは何を言ってるんだ？」
<0187> 「あんたは何を言ってるんだ？」

//<0188> 本気でわけがわからないといった顔をされてしまう。
<0188> 本気でわけがわからないといった顔をされてしまう。

//<0189> 岩沢にはこの手の話は通じないらしい…。
<0189> 岩沢にはこの手の話は通じないらしい…。

//<0190> 音無
<0190> 音無

//<0191> クソ坊主
<0191> クソ坊主

//<0192> 代理人
<0192> 代理人

//<0193> 微妙すぎるイケメン
<0193> 微妙すぎるイケメン

//<0194> ロリコン
<0194> ロリコン

//<0195> メガネ仲間
<0195> メガネ仲間

//<0196> 暗算日本記録保持者
<0196> 暗算日本記録保持者

//<0197> 通り魔
<0197> 通り魔

//<0198> 記憶ナシ男
<0198> 記憶ナシ男

//<0199> 音速
<0199> 音速

//<0200> 無限
<0200> 無限

//<0201> エロ侍
<0201> エロ侍

//<0202> エロエロ団ナンバー１
<0202> エロエロ団ナンバー１

//<0203> ただのエロ少年
<0203> ただのエロ少年

//<0204> ユリブサイク
<0204> ユリブサイク

//<0205> ドピュッシー
<0205> ドピュッシー

//<0206> アメリカンエロドッグ
<0206> アメリカンエロドッグ

//<0207> ゼウス
<0207> ゼウス

//<0208> 日向markⅡ
<0208> 日向markⅡ

//<0209> 糞虫
<0209> 糞虫

//<0210> 量産型日向
<0210> 量産型日向

//<0211> ？？
<0211> ？？

//<0212> 「悪かった、気にしないでくれ」
<0212> 「悪かった、気にしないでくれ」

//<0213> nothing
<0213> nothing

//<0214> nothing
<0214> nothing

//<0215> nothing
<0215> nothing

//<0216> nothing
<0216> nothing

//<0217> nothing
<0217> nothing

//<0218> 岩沢
<0218> 岩沢

//<0219> 「別にいいけどさ、何か用か？」
<0219> 「別にいいけどさ、何か用か？」

//<0220> 音無
<0220> 音無

//<0221> クソ坊主
<0221> クソ坊主

//<0222> 代理人
<0222> 代理人

//<0223> 微妙すぎるイケメン
<0223> 微妙すぎるイケメン

//<0224> ロリコン
<0224> ロリコン

//<0225> メガネ仲間
<0225> メガネ仲間

//<0226> 暗算日本記録保持者
<0226> 暗算日本記録保持者

//<0227> 通り魔
<0227> 通り魔

//<0228> 記憶ナシ男
<0228> 記憶ナシ男

//<0229> 音速
<0229> 音速

//<0230> 無限
<0230> 無限

//<0231> エロ侍
<0231> エロ侍

//<0232> エロエロ団ナンバー１
<0232> エロエロ団ナンバー１

//<0233> ただのエロ少年
<0233> ただのエロ少年

//<0234> ユリブサイク
<0234> ユリブサイク

//<0235> ドピュッシー
<0235> ドピュッシー

//<0236> アメリカンエロドッグ
<0236> アメリカンエロドッグ

//<0237> ゼウス
<0237> ゼウス

//<0238> 日向markⅡ
<0238> 日向markⅡ

//<0239> 糞虫
<0239> 糞虫

//<0240> 量産型日向
<0240> 量産型日向

//<0241> ？？
<0241> ？？

//<0242> 「違う。音無だ」
<0242> 「違う。音無だ」

//<0243> nothing
<0243> nothing

//<0244> nothing
<0244> nothing

//<0245> nothing
<0245> nothing

//<0246> nothing
<0246> nothing

//<0247> nothing
<0247> nothing

//<0248> 岩沢
<0248> 岩沢

//<0249> 「その音無が、なんの用だい？」
<0249> 「その音無が、なんの用だい？」

//<0250> nothing
<0250> nothing

//<0251> nothing
<0251> nothing

//<0252> nothing
<0252> nothing

//<0253> nothing
<0253> nothing

//<0254> nothing
<0254> nothing

//<0255> そして、その少女を見つめている、岩沢が視界に入った。
<0255> そして、その少女を見つめている、岩沢が視界に入った。

//<0256> nothing
<0256> nothing

//<0257> nothing
<0257> nothing

//<0258> nothing
<0258> nothing

//<0259> nothing
<0259> nothing

//<0260> nothing
<0260> nothing

//<0261> 音無
<0261> 音無

//<0262> クソ坊主
<0262> クソ坊主

//<0263> 代理人
<0263> 代理人

//<0264> 微妙すぎるイケメン
<0264> 微妙すぎるイケメン

//<0265> ロリコン
<0265> ロリコン

//<0266> メガネ仲間
<0266> メガネ仲間

//<0267> 暗算日本記録保持者
<0267> 暗算日本記録保持者

//<0268> 通り魔
<0268> 通り魔

//<0269> 記憶ナシ男
<0269> 記憶ナシ男

//<0270> 音速
<0270> 音速

//<0271> 無限
<0271> 無限

//<0272> エロ侍
<0272> エロ侍

//<0273> エロエロ団ナンバー１
<0273> エロエロ団ナンバー１

//<0274> ただのエロ少年
<0274> ただのエロ少年

//<0275> ユリブサイク
<0275> ユリブサイク

//<0276> ドピュッシー
<0276> ドピュッシー

//<0277> アメリカンエロドッグ
<0277> アメリカンエロドッグ

//<0278> ゼウス
<0278> ゼウス

//<0279> 日向markⅡ
<0279> 日向markⅡ

//<0280> 糞虫
<0280> 糞虫

//<0281> 量産型日向
<0281> 量産型日向

//<0282> ？？
<0282> ？？

//<0283> 「よう」
<0283> 「よう」

//<0284> 声をかけてみる。
<0284> 声をかけてみる。

//<0285> nothing
<0285> nothing

//<0286> nothing
<0286> nothing

//<0287> nothing
<0287> nothing

//<0288> nothing
<0288> nothing

//<0289> nothing
<0289> nothing

//<0290> 岩沢
<0290> 岩沢

//<0291> 「うん？　音無か、こんな場所になんの用だい？」
<0291> 「うん？　音無か、こんな場所になんの用だい？」

//<0292> 音無
<0292> 音無

//<0293> クソ坊主
<0293> クソ坊主

//<0294> 代理人
<0294> 代理人

//<0295> 微妙すぎるイケメン
<0295> 微妙すぎるイケメン

//<0296> ロリコン
<0296> ロリコン

//<0297> メガネ仲間
<0297> メガネ仲間

//<0298> 暗算日本記録保持者
<0298> 暗算日本記録保持者

//<0299> 通り魔
<0299> 通り魔

//<0300> 記憶ナシ男
<0300> 記憶ナシ男

//<0301> 音速
<0301> 音速

//<0302> 無限
<0302> 無限

//<0303> エロ侍
<0303> エロ侍

//<0304> エロエロ団ナンバー１
<0304> エロエロ団ナンバー１

//<0305> ただのエロ少年
<0305> ただのエロ少年

//<0306> ユリブサイク
<0306> ユリブサイク

//<0307> ドピュッシー
<0307> ドピュッシー

//<0308> アメリカンエロドッグ
<0308> アメリカンエロドッグ

//<0309> ゼウス
<0309> ゼウス

//<0310> 日向markⅡ
<0310> 日向markⅡ

//<0311> 糞虫
<0311> 糞虫

//<0312> 量産型日向
<0312> 量産型日向

//<0313> ？？
<0313> ？？

//<0314> 「違う。エロエロ団ナンバー１だ」
<0314> 「違う。エロエロ団ナンバー１だ」

//<0315> nothing
<0315> nothing

//<0316> nothing
<0316> nothing

//<0317> nothing
<0317> nothing

//<0318> nothing
<0318> nothing

//<0319> nothing
<0319> nothing

//<0320> 岩沢
<0320> 岩沢

//<0321> 「ん？　なんだ？」
<0321> 「ん？　なんだ？」

//<0322> 音無
<0322> 音無

//<0323> クソ坊主
<0323> クソ坊主

//<0324> 代理人
<0324> 代理人

//<0325> 微妙すぎるイケメン
<0325> 微妙すぎるイケメン

//<0326> ロリコン
<0326> ロリコン

//<0327> メガネ仲間
<0327> メガネ仲間

//<0328> 暗算日本記録保持者
<0328> 暗算日本記録保持者

//<0329> 通り魔
<0329> 通り魔

//<0330> 記憶ナシ男
<0330> 記憶ナシ男

//<0331> 音速
<0331> 音速

//<0332> 無限
<0332> 無限

//<0333> エロ侍
<0333> エロ侍

//<0334> エロエロ団ナンバー１
<0334> エロエロ団ナンバー１

//<0335> ただのエロ少年
<0335> ただのエロ少年

//<0336> ユリブサイク
<0336> ユリブサイク

//<0337> ドピュッシー
<0337> ドピュッシー

//<0338> アメリカンエロドッグ
<0338> アメリカンエロドッグ

//<0339> ゼウス
<0339> ゼウス

//<0340> 日向markⅡ
<0340> 日向markⅡ

//<0341> 糞虫
<0341> 糞虫

//<0342> 量産型日向
<0342> 量産型日向

//<0343> ？？
<0343> ？？

//<0344> 「色々あって、そう呼ばれることになった」
<0344> 「色々あって、そう呼ばれることになった」

//<0345> nothing
<0345> nothing

//<0346> nothing
<0346> nothing

//<0347> nothing
<0347> nothing

//<0348> nothing
<0348> nothing

//<0349> nothing
<0349> nothing

//<0350> 岩沢
<0350> 岩沢

//<0351> 「あんたは何を言ってるんだ？」
<0351> 「あんたは何を言ってるんだ？」

//<0352> 本気でわけがわからないといった顔をされてしまう。
<0352> 本気でわけがわからないといった顔をされてしまう。

//<0353> 岩沢にはこの手の話は通じないらしい…。
<0353> 岩沢にはこの手の話は通じないらしい…。

//<0354> 音無
<0354> 音無

//<0355> クソ坊主
<0355> クソ坊主

//<0356> 代理人
<0356> 代理人

//<0357> 微妙すぎるイケメン
<0357> 微妙すぎるイケメン

//<0358> ロリコン
<0358> ロリコン

//<0359> メガネ仲間
<0359> メガネ仲間

//<0360> 暗算日本記録保持者
<0360> 暗算日本記録保持者

//<0361> 通り魔
<0361> 通り魔

//<0362> 記憶ナシ男
<0362> 記憶ナシ男

//<0363> 音速
<0363> 音速

//<0364> 無限
<0364> 無限

//<0365> エロ侍
<0365> エロ侍

//<0366> エロエロ団ナンバー１
<0366> エロエロ団ナンバー１

//<0367> ただのエロ少年
<0367> ただのエロ少年

//<0368> ユリブサイク
<0368> ユリブサイク

//<0369> ドピュッシー
<0369> ドピュッシー

//<0370> アメリカンエロドッグ
<0370> アメリカンエロドッグ

//<0371> ゼウス
<0371> ゼウス

//<0372> 日向markⅡ
<0372> 日向markⅡ

//<0373> 糞虫
<0373> 糞虫

//<0374> 量産型日向
<0374> 量産型日向

//<0375> ？？
<0375> ？？

//<0376> 「悪かった、気にしないでくれ」
<0376> 「悪かった、気にしないでくれ」

//<0377> nothing
<0377> nothing

//<0378> nothing
<0378> nothing

//<0379> nothing
<0379> nothing

//<0380> nothing
<0380> nothing

//<0381> nothing
<0381> nothing

//<0382> 岩沢
<0382> 岩沢

//<0383> 「別にいいけどさ、何か用か？」
<0383> 「別にいいけどさ、何か用か？」

//<0384> nothing
<0384> nothing

//<0385> nothing
<0385> nothing

//<0386> nothing
<0386> nothing

//<0387> nothing
<0387> nothing

//<0388> nothing
<0388> nothing

//<0389> そして、その少女を見つめている、岩沢が視界に入った。
<0389> そして、その少女を見つめている、岩沢が視界に入った。

//<0390> 話しかけて良いものか、悩んでしまう。
<0390> 話しかけて良いものか、悩んでしまう。

//<0391> けど、今は作詞や作曲中じゃないし、構わないだろう。
<0391> けど、今は作詞や作曲中じゃないし、構わないだろう。

//<0392> nothing
<0392> nothing

//<0393> nothing
<0393> nothing

//<0394> nothing
<0394> nothing

//<0395> nothing
<0395> nothing

//<0396> nothing
<0396> nothing

//<0397> 音無
<0397> 音無

//<0398> クソ坊主
<0398> クソ坊主

//<0399> 代理人
<0399> 代理人

//<0400> 微妙すぎるイケメン
<0400> 微妙すぎるイケメン

//<0401> ロリコン
<0401> ロリコン

//<0402> メガネ仲間
<0402> メガネ仲間

//<0403> 暗算日本記録保持者
<0403> 暗算日本記録保持者

//<0404> 通り魔
<0404> 通り魔

//<0405> 記憶ナシ男
<0405> 記憶ナシ男

//<0406> 音速
<0406> 音速

//<0407> 無限
<0407> 無限

//<0408> エロ侍
<0408> エロ侍

//<0409> エロエロ団ナンバー１
<0409> エロエロ団ナンバー１

//<0410> ただのエロ少年
<0410> ただのエロ少年

//<0411> ユリブサイク
<0411> ユリブサイク

//<0412> ドピュッシー
<0412> ドピュッシー

//<0413> アメリカンエロドッグ
<0413> アメリカンエロドッグ

//<0414> ゼウス
<0414> ゼウス

//<0415> 日向markⅡ
<0415> 日向markⅡ

//<0416> 糞虫
<0416> 糞虫

//<0417> 量産型日向
<0417> 量産型日向

//<0418> ？？
<0418> ？？

//<0419> 「よ、よう」
<0419> 「よ、よう」

//<0420> 少し詰まりながら、声をかけてみる。
<0420> 少し詰まりながら、声をかけてみる。

//<0421> nothing
<0421> nothing

//<0422> nothing
<0422> nothing

//<0423> nothing
<0423> nothing

//<0424> nothing
<0424> nothing

//<0425> nothing
<0425> nothing

//<0426> 岩沢
<0426> 岩沢

//<0427> 「うん？　音無か、こんな場所になんの用だい？」
<0427> 「うん？　音無か、こんな場所になんの用だい？」

//<0428> 今の俺はエロエロ団ナンバー１なんだが、ここでその話をするとまた岩沢の機嫌を損ねてしまいかねない…。
<0428> 今の俺はエロエロ団ナンバー１なんだが、ここでその話をするとまた岩沢の機嫌を損ねてしまいかねない…。

//<0429> そのまま流しておくことにする。
<0429> そのまま流しておくことにする。

//<0430> よかった、普通に返事をしてくれた。
<0430> よかった、普通に返事をしてくれた。

//<0431> 音無
<0431> 音無

//<0432> クソ坊主
<0432> クソ坊主

//<0433> 代理人
<0433> 代理人

//<0434> 微妙すぎるイケメン
<0434> 微妙すぎるイケメン

//<0435> ロリコン
<0435> ロリコン

//<0436> メガネ仲間
<0436> メガネ仲間

//<0437> 暗算日本記録保持者
<0437> 暗算日本記録保持者

//<0438> 通り魔
<0438> 通り魔

//<0439> 記憶ナシ男
<0439> 記憶ナシ男

//<0440> 音速
<0440> 音速

//<0441> 無限
<0441> 無限

//<0442> エロ侍
<0442> エロ侍

//<0443> エロエロ団ナンバー１
<0443> エロエロ団ナンバー１

//<0444> ただのエロ少年
<0444> ただのエロ少年

//<0445> ユリブサイク
<0445> ユリブサイク

//<0446> ドピュッシー
<0446> ドピュッシー

//<0447> アメリカンエロドッグ
<0447> アメリカンエロドッグ

//<0448> ゼウス
<0448> ゼウス

//<0449> 日向markⅡ
<0449> 日向markⅡ

//<0450> 糞虫
<0450> 糞虫

//<0451> 量産型日向
<0451> 量産型日向

//<0452> ？？
<0452> ？？

//<0453> 「それはこっちのセリフだ。今夜はオペレーションだろ？　こんなとこに居ていいのか」
<0453> 「それはこっちのセリフだ。今夜はオペレーションだろ？　こんなとこに居ていいのか」

//<0454> nothing
<0454> nothing

//<0455> nothing
<0455> nothing

//<0456> nothing
<0456> nothing

//<0457> nothing
<0457> nothing

//<0458> nothing
<0458> nothing

//<0459> 岩沢
<0459> 岩沢

//<0460> 「だからこそ気合いを入れに来たんだ」
<0460> 「だからこそ気合いを入れに来たんだ」

//<0461> 音無
<0461> 音無

//<0462> クソ坊主
<0462> クソ坊主

//<0463> 代理人
<0463> 代理人

//<0464> 微妙すぎるイケメン
<0464> 微妙すぎるイケメン

//<0465> ロリコン
<0465> ロリコン

//<0466> メガネ仲間
<0466> メガネ仲間

//<0467> 暗算日本記録保持者
<0467> 暗算日本記録保持者

//<0468> 通り魔
<0468> 通り魔

//<0469> 記憶ナシ男
<0469> 記憶ナシ男

//<0470> 音速
<0470> 音速

//<0471> 無限
<0471> 無限

//<0472> エロ侍
<0472> エロ侍

//<0473> エロエロ団ナンバー１
<0473> エロエロ団ナンバー１

//<0474> ただのエロ少年
<0474> ただのエロ少年

//<0475> ユリブサイク
<0475> ユリブサイク

//<0476> ドピュッシー
<0476> ドピュッシー

//<0477> アメリカンエロドッグ
<0477> アメリカンエロドッグ

//<0478> ゼウス
<0478> ゼウス

//<0479> 日向markⅡ
<0479> 日向markⅡ

//<0480> 糞虫
<0480> 糞虫

//<0481> 量産型日向
<0481> 量産型日向

//<0482> ？？
<0482> ？？

//<0483> 「気合い？　こんなところでか？」
<0483> 「気合い？　こんなところでか？」

//<0484> nothing
<0484> nothing

//<0485> nothing
<0485> nothing

//<0486> nothing
<0486> nothing

//<0487> nothing
<0487> nothing

//<0488> nothing
<0488> nothing

//<0489> 岩沢
<0489> 岩沢

//<0490> 「ここに来ると、なんて言うのかな、初心に戻れるんだ」
<0490> 「ここに来ると、なんて言うのかな、初心に戻れるんだ」

//<0491> nothing
<0491> nothing

//<0492> nothing
<0492> nothing

//<0493> nothing
<0493> nothing

//<0494> nothing
<0494> nothing

//<0495> nothing
<0495> nothing

//<0496> 岩沢
<0496> 岩沢

//<0497> 「生前、路上で歌っていた、純粋に音楽を愛していた頃のあたしに」
<0497> 「生前、路上で歌っていた、純粋に音楽を愛していた頃のあたしに」

//<0498> 音無
<0498> 音無

//<0499> クソ坊主
<0499> クソ坊主

//<0500> 代理人
<0500> 代理人

//<0501> 微妙すぎるイケメン
<0501> 微妙すぎるイケメン

//<0502> ロリコン
<0502> ロリコン

//<0503> メガネ仲間
<0503> メガネ仲間

//<0504> 暗算日本記録保持者
<0504> 暗算日本記録保持者

//<0505> 通り魔
<0505> 通り魔

//<0506> 記憶ナシ男
<0506> 記憶ナシ男

//<0507> 音速
<0507> 音速

//<0508> 無限
<0508> 無限

//<0509> エロ侍
<0509> エロ侍

//<0510> エロエロ団ナンバー１
<0510> エロエロ団ナンバー１

//<0511> ただのエロ少年
<0511> ただのエロ少年

//<0512> ユリブサイク
<0512> ユリブサイク

//<0513> ドピュッシー
<0513> ドピュッシー

//<0514> アメリカンエロドッグ
<0514> アメリカンエロドッグ

//<0515> ゼウス
<0515> ゼウス

//<0516> 日向markⅡ
<0516> 日向markⅡ

//<0517> 糞虫
<0517> 糞虫

//<0518> 量産型日向
<0518> 量産型日向

//<0519> ？？
<0519> ？？

//<0520> 「うん？　弾き語りしているあいつの歌を聴くことでか？」
<0520> 「うん？　弾き語りしているあいつの歌を聴くことでか？」

//<0521> 岩沢
<0521> 岩沢

