// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ジャージに着替えて野球場に向かう。
<0000> ジャージに着替えて野球場に向かう。
//<0107> 遠くからそう声をかけてくれた。
<0107> 遠くからそう声をかけてくれた。

//<0108> 音無
<0108> 音無

//<0109> クソ坊主
<0109> クソ坊主

//<0110> 代理人
<0110> 代理人

//<0111> 微妙すぎるイケメン
<0111> 微妙すぎるイケメン

//<0112> ロリコン
<0112> ロリコン

//<0113> メガネ仲間
<0113> メガネ仲間

//<0114> 暗算日本記録保持者
<0114> 暗算日本記録保持者

//<0115> 通り魔
<0115> 通り魔

//<0116> 記憶ナシ男
<0116> 記憶ナシ男

//<0117> 音速
<0117> 音速

//<0118> 無限
<0118> 無限

//<0119> エロ侍
<0119> エロ侍

//<0120> エロエロ団ナンバー１
<0120> エロエロ団ナンバー１

//<0121> ただのエロ少年
<0121> ただのエロ少年

//<0122> ユリブサイク
<0122> ユリブサイク

//<0123> ドピュッシー
<0123> ドピュッシー

//<0124> アメリカンエロドッグ
<0124> アメリカンエロドッグ

//<0125> ゼウス
<0125> ゼウス

//<0126> 日向markⅡ
<0126> 日向markⅡ

//<0127> 糞虫
<0127> 糞虫

//<0128> 量産型日向
<0128> 量産型日向

//<0129> ？？
<0129> ？？

//<0130> 「ああ…」
<0130> 「ああ…」

//<0131> 足を止め、俺は休むことに。
<0131> 足を止め、俺は休むことに。

//<0132> 日向が走り終えた。
<0132> 日向が走り終えた。

//<0133> nothing
<0133> nothing

//<0134> nothing
<0134> nothing

//<0135> nothing
<0135> nothing

//<0136> nothing
<0136> nothing

//<0137> nothing
<0137> nothing

//<0138> 日向
<0138> 日向

//<0139> 男Ｂ
<0139> 男Ｂ

//<0140> エロエロ団総帥
<0140> エロエロ団総帥

//<0141> イケチン
<0141> イケチン

//<0142> ホモ太
<0142> ホモ太

//<0143> ひなチン
<0143> ひなチン

//<0144> 秀樹
<0144> 秀樹

//<0145> 男子生徒
<0145> 男子生徒

//<0146> ？？
<0146> ？？

//<0147> 「大丈夫か？　ただのエロ少年？」
<0147> 「大丈夫か？　ただのエロ少年？」

//<0148> 日向
<0148> 日向

//<0149> 男Ｂ
<0149> 男Ｂ

//<0150> エロエロ団総帥
<0150> エロエロ団総帥

//<0151> イケチン
<0151> イケチン

//<0152> ホモ太
<0152> ホモ太

//<0153> ひなチン
<0153> ひなチン

//<0154> 秀樹
<0154> 秀樹

//<0155> 男子生徒
<0155> 男子生徒

//<0156> ？？
<0156> ？？

//<0157> 「大丈夫か？　音無？」
<0157> 「大丈夫か？　音無？」

//<0158> 音無
<0158> 音無

//<0159> クソ坊主
<0159> クソ坊主

//<0160> 代理人
<0160> 代理人

//<0161> 微妙すぎるイケメン
<0161> 微妙すぎるイケメン

//<0162> ロリコン
<0162> ロリコン

//<0163> メガネ仲間
<0163> メガネ仲間

//<0164> 暗算日本記録保持者
<0164> 暗算日本記録保持者

//<0165> 通り魔
<0165> 通り魔

//<0166> 記憶ナシ男
<0166> 記憶ナシ男

//<0167> 音速
<0167> 音速

//<0168> 無限
<0168> 無限

//<0169> エロ侍
<0169> エロ侍

//<0170> エロエロ団ナンバー１
<0170> エロエロ団ナンバー１

//<0171> ただのエロ少年
<0171> ただのエロ少年

//<0172> ユリブサイク
<0172> ユリブサイク

//<0173> ドピュッシー
<0173> ドピュッシー

//<0174> アメリカンエロドッグ
<0174> アメリカンエロドッグ

//<0175> ゼウス
<0175> ゼウス

//<0176> 日向markⅡ
<0176> 日向markⅡ

//<0177> 糞虫
<0177> 糞虫

//<0178> 量産型日向
<0178> 量産型日向

//<0179> ？？
<0179> ？？

//<0180> 「ああ」
<0180> 「ああ」

//<0181> nothing
<0181> nothing

//<0182> nothing
<0182> nothing

//<0183> nothing
<0183> nothing

//<0184> nothing
<0184> nothing

//<0185> nothing
<0185> nothing

//<0186> 日向
<0186> 日向

//<0187> 男Ｂ
<0187> 男Ｂ

//<0188> エロエロ団総帥
<0188> エロエロ団総帥

//<0189> イケチン
<0189> イケチン

//<0190> ホモ太
<0190> ホモ太

//<0191> ひなチン
<0191> ひなチン

//<0192> 秀樹
<0192> 秀樹

//<0193> 男子生徒
<0193> 男子生徒

//<0194> ？？
<0194> ？？

//<0195> 「よし、次は筋トレいくぞー。ただのエロ少年、先に押さえてくれ」
<0195> 「よし、次は筋トレいくぞー。ただのエロ少年、先に押さえてくれ」

//<0196> 日向
<0196> 日向

//<0197> 男Ｂ
<0197> 男Ｂ

//<0198> エロエロ団総帥
<0198> エロエロ団総帥

//<0199> イケチン
<0199> イケチン

//<0200> ホモ太
<0200> ホモ太

//<0201> ひなチン
<0201> ひなチン

//<0202> 秀樹
<0202> 秀樹

//<0203> 男子生徒
<0203> 男子生徒

//<0204> ？？
<0204> ？？

//<0205> 「よし、次は筋トレいくぞー。音無、先に押さえてくれ」
<0205> 「よし、次は筋トレいくぞー。音無、先に押さえてくれ」

//<0206> 音無
<0206> 音無

//<0207> クソ坊主
<0207> クソ坊主

//<0208> 代理人
<0208> 代理人

//<0209> 微妙すぎるイケメン
<0209> 微妙すぎるイケメン

//<0210> ロリコン
<0210> ロリコン

//<0211> メガネ仲間
<0211> メガネ仲間

//<0212> 暗算日本記録保持者
<0212> 暗算日本記録保持者

//<0213> 通り魔
<0213> 通り魔

//<0214> 記憶ナシ男
<0214> 記憶ナシ男

//<0215> 音速
<0215> 音速

//<0216> 無限
<0216> 無限

//<0217> エロ侍
<0217> エロ侍

//<0218> エロエロ団ナンバー１
<0218> エロエロ団ナンバー１

//<0219> ただのエロ少年
<0219> ただのエロ少年

//<0220> ユリブサイク
<0220> ユリブサイク

//<0221> ドピュッシー
<0221> ドピュッシー

//<0222> アメリカンエロドッグ
<0222> アメリカンエロドッグ

//<0223> ゼウス
<0223> ゼウス

//<0224> 日向markⅡ
<0224> 日向markⅡ

//<0225> 糞虫
<0225> 糞虫

//<0226> 量産型日向
<0226> 量産型日向

//<0227> ？？
<0227> ？？

//<0228> 「ああ」
<0228> 「ああ」

//<0229> nothing
<0229> nothing

//<0230> nothing
<0230> nothing

//<0231> nothing
<0231> nothing

//<0232> nothing
<0232> nothing

//<0233> nothing
<0233> nothing

//<0234> nothing
<0234> nothing

//<0235> 日向が仰向きに寝る。その両足を押さえる。
<0235> 日向が仰向きに寝る。その両足を押さえる。

//<0236> 日向
<0236> 日向

//<0237> 男Ｂ
<0237> 男Ｂ

//<0238> エロエロ団総帥
<0238> エロエロ団総帥

//<0239> イケチン
<0239> イケチン

//<0240> ホモ太
<0240> ホモ太

//<0241> ひなチン
<0241> ひなチン

//<0242> 秀樹
<0242> 秀樹

//<0243> 男子生徒
<0243> 男子生徒

//<0244> ？？
<0244> ？？

//<0245> 「いっち！　にっ！」
<0245> 「いっち！　にっ！」

//<0246> 日向の腹筋が始まる。
<0246> 日向の腹筋が始まる。

//<0247> 日向
<0247> 日向

//<0248> 男Ｂ
<0248> 男Ｂ

//<0249> エロエロ団総帥
<0249> エロエロ団総帥

//<0250> イケチン
<0250> イケチン

//<0251> ホモ太
<0251> ホモ太

//<0252> ひなチン
<0252> ひなチン

//<0253> 秀樹
<0253> 秀樹

//<0254> 男子生徒
<0254> 男子生徒

//<0255> ？？
<0255> ？？

//<0256> 「百！　はーっ、お仕舞い！」
<0256> 「百！　はーっ、お仕舞い！」

//<0257> nothing
<0257> nothing

//<0258> nothing
<0258> nothing

//<0259> nothing
<0259> nothing

//<0260> nothing
<0260> nothing

//<0261> nothing
<0261> nothing

//<0262> 日向
<0262> 日向

//<0263> 男Ｂ
<0263> 男Ｂ

//<0264> エロエロ団総帥
<0264> エロエロ団総帥

//<0265> イケチン
<0265> イケチン

//<0266> ホモ太
<0266> ホモ太

//<0267> ひなチン
<0267> ひなチン

//<0268> 秀樹
<0268> 秀樹

//<0269> 男子生徒
<0269> 男子生徒

//<0270> ？？
<0270> ？？

//<0271> 「次はただのエロ少年の番だ」
<0271> 「次はただのエロ少年の番だ」

//<0272> 日向
<0272> 日向

//<0273> 男Ｂ
<0273> 男Ｂ

//<0274> エロエロ団総帥
<0274> エロエロ団総帥

//<0275> イケチン
<0275> イケチン

//<0276> ホモ太
<0276> ホモ太

//<0277> ひなチン
<0277> ひなチン

//<0278> 秀樹
<0278> 秀樹

//<0279> 男子生徒
<0279> 男子生徒

//<0280> ？？
<0280> ？？

//<0281> 「次はお前の番だ」
<0281> 「次はお前の番だ」

//<0282> 音無
<0282> 音無

//<0283> クソ坊主
<0283> クソ坊主

//<0284> 代理人
<0284> 代理人

//<0285> 微妙すぎるイケメン
<0285> 微妙すぎるイケメン

//<0286> ロリコン
<0286> ロリコン

//<0287> メガネ仲間
<0287> メガネ仲間

//<0288> 暗算日本記録保持者
<0288> 暗算日本記録保持者

//<0289> 通り魔
<0289> 通り魔

//<0290> 記憶ナシ男
<0290> 記憶ナシ男

//<0291> 音速
<0291> 音速

//<0292> 無限
<0292> 無限

//<0293> エロ侍
<0293> エロ侍

//<0294> エロエロ団ナンバー１
<0294> エロエロ団ナンバー１

//<0295> ただのエロ少年
<0295> ただのエロ少年

//<0296> ユリブサイク
<0296> ユリブサイク

//<0297> ドピュッシー
<0297> ドピュッシー

//<0298> アメリカンエロドッグ
<0298> アメリカンエロドッグ

//<0299> ゼウス
<0299> ゼウス

//<0300> 日向markⅡ
<0300> 日向markⅡ

//<0301> 糞虫
<0301> 糞虫

//<0302> 量産型日向
<0302> 量産型日向

//<0303> ？？
<0303> ？？

//<0304> 「ああ…」
<0304> 「ああ…」

//<0305> nothing
<0305> nothing

//<0306> nothing
<0306> nothing

//<0307> nothing
<0307> nothing

//<0308> nothing
<0308> nothing

//<0309> nothing
<0309> nothing

//<0310> nothing
<0310> nothing

//<0311> 俺はまたも２０回で、音を上げる。
<0311> 俺はまたも２０回で、音を上げる。

//<0312> nothing
<0312> nothing

//<0313> nothing
<0313> nothing

//<0314> nothing
<0314> nothing

//<0315> nothing
<0315> nothing

//<0316> nothing
<0316> nothing

//<0317> 日向
<0317> 日向

//<0318> 男Ｂ
<0318> 男Ｂ

//<0319> エロエロ団総帥
<0319> エロエロ団総帥

//<0320> イケチン
<0320> イケチン

//<0321> ホモ太
<0321> ホモ太

//<0322> ひなチン
<0322> ひなチン

//<0323> 秀樹
<0323> 秀樹

//<0324> 男子生徒
<0324> 男子生徒

//<0325> ？？
<0325> ？？

//<0326> 「うーん…３０回はいって欲しいところだなぁ」
<0326> 「うーん…３０回はいって欲しいところだなぁ」

//<0327> 前回と同じことを言われる。
<0327> 前回と同じことを言われる。

//<0328> nothing
<0328> nothing

//<0329> nothing
<0329> nothing

//<0330> nothing
<0330> nothing

//<0331> nothing
<0331> nothing

//<0332> nothing
<0332> nothing

//<0333> 日向
<0333> 日向

//<0334> 男Ｂ
<0334> 男Ｂ

//<0335> エロエロ団総帥
<0335> エロエロ団総帥

//<0336> イケチン
<0336> イケチン

//<0337> ホモ太
<0337> ホモ太

//<0338> ひなチン
<0338> ひなチン

//<0339> 秀樹
<0339> 秀樹

//<0340> 男子生徒
<0340> 男子生徒

//<0341> ？？
<0341> ？？

//<0342> 「次は背筋だ。またただのエロ少年、押さえてくれ」
<0342> 「次は背筋だ。またただのエロ少年、押さえてくれ」

//<0343> 日向
<0343> 日向

//<0344> 男Ｂ
<0344> 男Ｂ

//<0345> エロエロ団総帥
<0345> エロエロ団総帥

//<0346> イケチン
<0346> イケチン

//<0347> ホモ太
<0347> ホモ太

//<0348> ひなチン
<0348> ひなチン

//<0349> 秀樹
<0349> 秀樹

//<0350> 男子生徒
<0350> 男子生徒

//<0351> ？？
<0351> ？？

//<0352> 「次は背筋だ。また押さえてくれ」
<0352> 「次は背筋だ。また押さえてくれ」

//<0353> 音無
<0353> 音無

//<0354> クソ坊主
<0354> クソ坊主

//<0355> 代理人
<0355> 代理人

//<0356> 微妙すぎるイケメン
<0356> 微妙すぎるイケメン

//<0357> ロリコン
<0357> ロリコン

//<0358> メガネ仲間
<0358> メガネ仲間

//<0359> 暗算日本記録保持者
<0359> 暗算日本記録保持者

//<0360> 通り魔
<0360> 通り魔

//<0361> 記憶ナシ男
<0361> 記憶ナシ男

//<0362> 音速
<0362> 音速

//<0363> 無限
<0363> 無限

//<0364> エロ侍
<0364> エロ侍

//<0365> エロエロ団ナンバー１
<0365> エロエロ団ナンバー１

//<0366> ただのエロ少年
<0366> ただのエロ少年

//<0367> ユリブサイク
<0367> ユリブサイク

//<0368> ドピュッシー
<0368> ドピュッシー

//<0369> アメリカンエロドッグ
<0369> アメリカンエロドッグ

//<0370> ゼウス
<0370> ゼウス

//<0371> 日向markⅡ
<0371> 日向markⅡ

//<0372> 糞虫
<0372> 糞虫

//<0373> 量産型日向
<0373> 量産型日向

//<0374> ？？
<0374> ？？

//<0375> 「ああ…」
<0375> 「ああ…」

//<0376> 地味な筋トレが続く…。
<0376> 地味な筋トレが続く…。

//<0377> nothing
<0377> nothing

//<0378> nothing
<0378> nothing

//<0379> nothing
<0379> nothing

//<0380> nothing
<0380> nothing

//<0381> nothing
<0381> nothing

//<0382> 日向
<0382> 日向

//<0383> 男Ｂ
<0383> 男Ｂ

//<0384> エロエロ団総帥
<0384> エロエロ団総帥

//<0385> イケチン
<0385> イケチン

//<0386> ホモ太
<0386> ホモ太

//<0387> ひなチン
<0387> ひなチン

//<0388> 秀樹
<0388> 秀樹

//<0389> 男子生徒
<0389> 男子生徒

//<0390> ？？
<0390> ？？

//<0391> 「そろそろ飯行くかー」
<0391> 「そろそろ飯行くかー」

//<0392> 音無
<0392> 音無

//<0393> クソ坊主
<0393> クソ坊主

//<0394> 代理人
<0394> 代理人

//<0395> 微妙すぎるイケメン
<0395> 微妙すぎるイケメン

//<0396> ロリコン
<0396> ロリコン

//<0397> メガネ仲間
<0397> メガネ仲間

//<0398> 暗算日本記録保持者
<0398> 暗算日本記録保持者

//<0399> 通り魔
<0399> 通り魔

//<0400> 記憶ナシ男
<0400> 記憶ナシ男

//<0401> 音速
<0401> 音速

//<0402> 無限
<0402> 無限

//<0403> エロ侍
<0403> エロ侍

//<0404> エロエロ団ナンバー１
<0404> エロエロ団ナンバー１

//<0405> ただのエロ少年
<0405> ただのエロ少年

//<0406> ユリブサイク
<0406> ユリブサイク

//<0407> ドピュッシー
<0407> ドピュッシー

//<0408> アメリカンエロドッグ
<0408> アメリカンエロドッグ

//<0409> ゼウス
<0409> ゼウス

//<0410> 日向markⅡ
<0410> 日向markⅡ

//<0411> 糞虫
<0411> 糞虫

//<0412> 量産型日向
<0412> 量産型日向

//<0413> ？？
<0413> ？？

//<0414> 「ああ…」
<0414> 「ああ…」

//<0415> 一度寮に戻り、ジャージから制服に着替える。
<0415> 一度寮に戻り、ジャージから制服に着替える。

//<0416> 運動の後の空腹を抱えながら、二人して学食へ。
<0416> 運動の後の空腹を抱えながら、二人して学食へ。

//<0417> se_gaya
<0417> se_gaya

//<0418> nothing
<0418> nothing

//<0419> nothing
<0419> nothing

//<0420> nothing
<0420> nothing

//<0421> nothing
<0421> nothing

//<0422> nothing
<0422> nothing

//<0423> 日向
<0423> 日向

//<0424> 男Ｂ
<0424> 男Ｂ

//<0425> エロエロ団総帥
<0425> エロエロ団総帥

//<0426> イケチン
<0426> イケチン

//<0427> ホモ太
<0427> ホモ太

//<0428> ひなチン
<0428> ひなチン

//<0429> 秀樹
<0429> 秀樹

//<0430> 男子生徒
<0430> 男子生徒

//<0431> ？？
<0431> ？？

//<0432> 「じゃあ、俺からな」
<0432> 「じゃあ、俺からな」

//<0433> nothing
<0433> nothing

//<0434> nothing
<0434> nothing

//<0435> nothing
<0435> nothing

//<0436> nothing
<0436> nothing

//<0437> nothing
<0437> nothing

//<0438> また、ポケットに手を突っ込み、無作為に選び取る。
<0438> また、ポケットに手を突っ込み、無作為に選び取る。

//<0439> nothing
<0439> nothing

//<0440> nothing
<0440> nothing

//<0441> nothing
<0441> nothing

//<0442> nothing
<0442> nothing

//<0443> nothing
<0443> nothing

//<0444> 日向
<0444> 日向

//<0445> 男Ｂ
<0445> 男Ｂ

//<0446> エロエロ団総帥
<0446> エロエロ団総帥

//<0447> イケチン
<0447> イケチン

//<0448> ホモ太
<0448> ホモ太

//<0449> ひなチン
<0449> ひなチン

//<0450> 秀樹
<0450> 秀樹

//<0451> 男子生徒
<0451> 男子生徒

//<0452> ？？
<0452> ？？

//<0453> 「俺は、これだっ！」
<0453> 「俺は、これだっ！」

//<0454> nothing
<0454> nothing

//<0455> nothing
<0455> nothing

//<0456> nothing
<0456> nothing

//<0457> nothing
<0457> nothing

//<0458> nothing
<0458> nothing

//<0459> 日向
<0459> 日向

//<0460> 男Ｂ
<0460> 男Ｂ

//<0461> エロエロ団総帥
<0461> エロエロ団総帥

//<0462> イケチン
<0462> イケチン

//<0463> ホモ太
<0463> ホモ太

//<0464> ひなチン
<0464> ひなチン

//<0465> 秀樹
<0465> 秀樹

//<0466> 男子生徒
<0466> 男子生徒

//<0467> ？？
<0467> ？？

//<0468> 「よし、おろしチキン竜田定食ゲットォーー！！」
<0468> 「よし、おろしチキン竜田定食ゲットォーー！！」

//<0469> これまた羨ましい定食だ…。
<0469> これまた羨ましい定食だ…。

//<0470> nothing
<0470> nothing

//<0471> nothing
<0471> nothing

//<0472> nothing
<0472> nothing

//<0473> nothing
<0473> nothing

//<0474> nothing
<0474> nothing

//<0475> 日向
<0475> 日向

//<0476> 男Ｂ
<0476> 男Ｂ

//<0477> エロエロ団総帥
<0477> エロエロ団総帥

//<0478> イケチン
<0478> イケチン

//<0479> ホモ太
<0479> ホモ太

//<0480> ひなチン
<0480> ひなチン

//<0481> 秀樹
<0481> 秀樹

//<0482> 男子生徒
<0482> 男子生徒

//<0483> ？？
<0483> ？？

//<0484> 「次は、お前の番な」
<0484> 「次は、お前の番な」

//<0485> 音無
<0485> 音無

//<0486> クソ坊主
<0486> クソ坊主

//<0487> 代理人
<0487> 代理人

//<0488> 微妙すぎるイケメン
<0488> 微妙すぎるイケメン

//<0489> ロリコン
<0489> ロリコン

//<0490> メガネ仲間
<0490> メガネ仲間

//<0491> 暗算日本記録保持者
<0491> 暗算日本記録保持者

//<0492> 通り魔
<0492> 通り魔

//<0493> 記憶ナシ男
<0493> 記憶ナシ男

//<0494> 音速
<0494> 音速

//<0495> 無限
<0495> 無限

//<0496> エロ侍
<0496> エロ侍

//<0497> エロエロ団ナンバー１
<0497> エロエロ団ナンバー１

//<0498> ただのエロ少年
<0498> ただのエロ少年

//<0499> ユリブサイク
<0499> ユリブサイク

//<0500> ドピュッシー
<0500> ドピュッシー

//<0501> アメリカンエロドッグ
<0501> アメリカンエロドッグ

//<0502> ゼウス
<0502> ゼウス

//<0503> 日向markⅡ
<0503> 日向markⅡ

//<0504> 糞虫
<0504> 糞虫

//<0505> 量産型日向
<0505> 量産型日向

//<0506> ？？
<0506> ？？

//<0507> 「ああ…」
<0507> 「ああ…」

//<0508> nothing
<0508> nothing

//<0509> nothing
<0509> nothing

//<0510> nothing
<0510> nothing

//<0511> nothing
<0511> nothing

//<0512> nothing
<0512> nothing

//<0513> 再びポケットの中を漁り、一枚を取り出す。
<0513> 再びポケットの中を漁り、一枚を取り出す。

//<0514> nothing
<0514> nothing

//<0515> nothing
<0515> nothing

//<0516> nothing
<0516> nothing

//<0517> nothing
<0517> nothing

//<0518> nothing
<0518> nothing

//<0519> 日向
<0519> 日向

//<0520> 男Ｂ
<0520> 男Ｂ

//<0521> エロエロ団総帥
<0521> エロエロ団総帥

//<0522> イケチン
<0522> イケチン

//<0523> ホモ太
<0523> ホモ太

//<0524> ひなチン
<0524> ひなチン

//<0525> 秀樹
<0525> 秀樹

//<0526> 男子生徒
<0526> 男子生徒

//<0527> ？？
<0527> ？？
{ea70} 33 // 0527

//<0528> 「ほいっと…これは、トムヤムカレー！」
<0528> 「ほいっと…これは、トムヤムカレー！」

//<0529> nothing
<0529> nothing

//<0530> nothing
<0530> nothing

//<0531> nothing
<0531> nothing

//<0532> nothing
<0532> nothing

//<0533> nothing
<0533> nothing

//<0534> 食券を差し出される。
<0534> 食券を差し出される。

//<0535> 音無
<0535> 音無

//<0536> クソ坊主
<0536> クソ坊主

//<0537> 代理人
<0537> 代理人

//<0538> 微妙すぎるイケメン
<0538> 微妙すぎるイケメン

//<0539> ロリコン
<0539> ロリコン

//<0540> メガネ仲間
<0540> メガネ仲間

//<0541> 暗算日本記録保持者
<0541> 暗算日本記録保持者

//<0542> 通り魔
<0542> 通り魔

//<0543> 記憶ナシ男
<0543> 記憶ナシ男

//<0544> 音速
<0544> 音速

//<0545> 無限
<0545> 無限

//<0546> エロ侍
<0546> エロ侍

//<0547> エロエロ団ナンバー１
<0547> エロエロ団ナンバー１

//<0548> ただのエロ少年
<0548> ただのエロ少年

//<0549> ユリブサイク
<0549> ユリブサイク

//<0550> ドピュッシー
<0550> ドピュッシー

//<0551> アメリカンエロドッグ
<0551> アメリカンエロドッグ

//<0552> ゼウス
<0552> ゼウス

//<0553> 日向markⅡ
<0553> 日向markⅡ

//<0554> 糞虫
<0554> 糞虫

//<0555> 量産型日向
<0555> 量産型日向

//<0556> ？？
<0556> ？？

//<0557> 「またかよ…」
<0557> 「またかよ…」

//<0558> nothing
<0558> nothing

//<0559> nothing
