// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 生活指導室で、ガルデモバンドメンバーと共に、みっちりと教師に絞られた。
<0000> 生活指導室で、ガルデモバンドメンバーと共に、みっちりと教師に絞られた。
//<0040> 「え？　なに？」
<0040> 「え？　なに？」

//<0041> nothing
<0041> nothing

//<0042> nothing
<0042> nothing

//<0043> nothing
<0043> nothing

//<0044> nothing
<0044> nothing

//<0045> nothing
<0045> nothing

//<0046> ひさ子
<0046> ひさ子

//<0047> 「出来るだけ、陽動は先送りにしてもらおう。楽器没収されたらさすがにマズいだろ」
<0047> 「出来るだけ、陽動は先送りにしてもらおう。楽器没収されたらさすがにマズいだろ」

//<0048> nothing
<0048> nothing

//<0049> nothing
<0049> nothing

//<0050> nothing
<0050> nothing

//<0051> nothing
<0051> nothing

//<0052> nothing
<0052> nothing

//<0053> 関根
<0053> 関根
{27f9} 33 // 0053

//<0054> 「だからこそ実行部隊が居るんでしょー。なっ、お前！」
<0054> 「だからこそ実行部隊が居るんでしょー。なっ、お前！」

//<0055> nothing
<0055> nothing

//<0056> nothing
<0056> nothing

//<0057> nothing
<0057> nothing

//<0058> nothing
<0058> nothing

//<0059> nothing
<0059> nothing

//<0060> nothing
<0060> nothing

//<0061> nothing
<0061> nothing

//<0062> nothing
<0062> nothing

//<0063> nothing
<0063> nothing

//<0064> nothing
<0064> nothing

//<0065> nothing
<0065> nothing

//<0066> se_kick
<0066> se_kick

//<0067> 後ろから尻を蹴られ、よろめく。
<0067> 後ろから尻を蹴られ、よろめく。

//<0068> 音無
<0068> 音無

//<0069> クソ坊主
<0069> クソ坊主

//<0070> 代理人
<0070> 代理人

//<0071> 微妙すぎるイケメン
<0071> 微妙すぎるイケメン

//<0072> ロリコン
<0072> ロリコン

//<0073> メガネ仲間
<0073> メガネ仲間

//<0074> 暗算日本記録保持者
<0074> 暗算日本記録保持者

//<0075> 通り魔
<0075> 通り魔

//<0076> 記憶ナシ男
<0076> 記憶ナシ男

//<0077> 音速
<0077> 音速

//<0078> 無限
<0078> 無限

//<0079> エロ侍
<0079> エロ侍

//<0080> エロエロ団ナンバー１
<0080> エロエロ団ナンバー１

//<0081> ただのエロ少年
<0081> ただのエロ少年

//<0082> ユリブサイク
<0082> ユリブサイク

//<0083> ドピュッシー
<0083> ドピュッシー

//<0084> アメリカンエロドッグ
<0084> アメリカンエロドッグ

//<0085> ゼウス
<0085> ゼウス

//<0086> 日向markⅡ
<0086> 日向markⅡ

//<0087> 糞虫
<0087> 糞虫

//<0088> 量産型日向
<0088> 量産型日向

//<0089> ？？
<0089> ？？

//<0090> 「えっ？　楽器を取り戻すオペレーションか？　陽動部隊なくしてその陽動を誰がするんだ？」
<0090> 「えっ？　楽器を取り戻すオペレーションか？　陽動部隊なくしてその陽動を誰がするんだ？」

//<0091> nothing
<0091> nothing

//<0092> nothing
<0092> nothing

//<0093> nothing
<0093> nothing

//<0094> nothing
<0094> nothing

//<0095> nothing
<0095> nothing

//<0096> 関根
<0096> 関根
{3da7} 33 // 0096

//<0097> 「お前ら幹部の男が居るだろーー！！　素っ裸になって、グラウンドで走り回ってたら、それだけで十分陽動になるだろー！！」
<0097> 「お前ら幹部の男が居るだろーー！！　素っ裸になって、グラウンドで走り回ってたら、それだけで十分陽動になるだろー！！」

//<0098> nothing
<0098> nothing

//<0099> nothing
<0099> nothing

//<0100> nothing
<0100> nothing

//<0101> nothing
<0101> nothing

//<0102> nothing
<0102> nothing

//<0103> そんなことあいつらがするわけがない
<0103> そんなことあいつらがするわけがない

//<0104> 俺だけなら出来るが…
<0104> 俺だけなら出来るが…

//<0105> selbtn : 
<0105> selbtn : 

//<0106> 音無
<0106> 音無

//<0107> クソ坊主
<0107> クソ坊主

//<0108> 代理人
<0108> 代理人

//<0109> 微妙すぎるイケメン
<0109> 微妙すぎるイケメン

//<0110> ロリコン
<0110> ロリコン

//<0111> メガネ仲間
<0111> メガネ仲間

//<0112> 暗算日本記録保持者
<0112> 暗算日本記録保持者

//<0113> 通り魔
<0113> 通り魔

//<0114> 記憶ナシ男
<0114> 記憶ナシ男

//<0115> 音速
<0115> 音速

//<0116> 無限
<0116> 無限

//<0117> エロ侍
<0117> エロ侍

//<0118> エロエロ団ナンバー１
<0118> エロエロ団ナンバー１

//<0119> ただのエロ少年
<0119> ただのエロ少年

//<0120> ユリブサイク
<0120> ユリブサイク

//<0121> ドピュッシー
<0121> ドピュッシー

//<0122> アメリカンエロドッグ
<0122> アメリカンエロドッグ

//<0123> ゼウス
<0123> ゼウス

//<0124> 日向markⅡ
<0124> 日向markⅡ

//<0125> 糞虫
<0125> 糞虫

//<0126> 量産型日向
<0126> 量産型日向

//<0127> ？？
<0127> ？？

//<0128> 「そんなプライド捨てたこと連中がするわけないだろ…」
<0128> 「そんなプライド捨てたこと連中がするわけないだろ…」

//<0129> nothing
<0129> nothing

//<0130> nothing
<0130> nothing

//<0131> nothing
<0131> nothing

//<0132> nothing
<0132> nothing

//<0133> ひさ子
<0133> ひさ子

//<0134> 「だな…。ゆりに命令された野田ならやりかねないが、それ以外からはブーイングの嵐だろうな」
<0134> 「だな…。ゆりに命令された野田ならやりかねないが、それ以外からはブーイングの嵐だろうな」

//<0135> nothing
<0135> nothing

//<0136> nothing
<0136> nothing

//<0137> nothing
<0137> nothing

//<0138> nothing
<0138> nothing

//<0139> nothing
<0139> nothing

//<0140> 関根
<0140> 関根

//<0141> 「何年こっちは陽動部隊させられてるんだよ！って話ですよ！！」
<0141> 「何年こっちは陽動部隊させられてるんだよ！って話ですよ！！」

//<0142> nothing
<0142> nothing

//<0143> nothing
<0143> nothing

//<0144> nothing
<0144> nothing

//<0145> nothing
<0145> nothing

//<0146> nothing
<0146> nothing

//<0147> ひさ子
<0147> ひさ子

//<0148> 「だからと言って仲間に変態行為を強いるな。いつもサポートしてくれてんだから」
<0148> 「だからと言って仲間に変態行為を強いるな。いつもサポートしてくれてんだから」

//<0149> nothing
<0149> nothing

//<0150> nothing
<0150> nothing

//<0151> nothing
<0151> nothing

//<0152> nothing
<0152> nothing

//<0153> nothing
<0153> nothing

//<0154> 関根
<0154> 関根

//<0155> 「じゃあ、みゆきちが音無さんにグラウンドで襲われているという体で…」
<0155> 「じゃあ、みゆきちが音無さんにグラウンドで襲われているという体で…」

//<0156> nothing
<0156> nothing

//<0157> nothing
<0157> nothing

//<0158> nothing
<0158> nothing

//<0159> 入江
<0159> 入江

//<0160> 「ええぇぇぇぇーー！？」
<0160> 「ええぇぇぇぇーー！？」

//<0161> 音無
<0161> 音無

//<0162> クソ坊主
<0162> クソ坊主

//<0163> 代理人
<0163> 代理人

//<0164> 微妙すぎるイケメン
<0164> 微妙すぎるイケメン

//<0165> ロリコン
<0165> ロリコン

//<0166> メガネ仲間
<0166> メガネ仲間

//<0167> 暗算日本記録保持者
<0167> 暗算日本記録保持者

//<0168> 通り魔
<0168> 通り魔

//<0169> 記憶ナシ男
<0169> 記憶ナシ男

//<0170> 音速
<0170> 音速

//<0171> 無限
<0171> 無限

//<0172> エロ侍
<0172> エロ侍

//<0173> エロエロ団ナンバー１
<0173> エロエロ団ナンバー１

//<0174> ただのエロ少年
<0174> ただのエロ少年

//<0175> ユリブサイク
<0175> ユリブサイク

//<0176> ドピュッシー
<0176> ドピュッシー

//<0177> アメリカンエロドッグ
<0177> アメリカンエロドッグ

//<0178> ゼウス
<0178> ゼウス

//<0179> 日向markⅡ
<0179> 日向markⅡ

//<0180> 糞虫
<0180> 糞虫

//<0181> 量産型日向
<0181> 量産型日向

//<0182> ？？
<0182> ？？

//<0183> 「襲わねーよ！？」
<0183> 「襲わねーよ！？」

//<0184> nothing
<0184> nothing

//<0185> nothing
<0185> nothing

//<0186> nothing
<0186> nothing

//<0187> nothing
<0187> nothing

//<0188> 関根
<0188> 関根

//<0189> 「だから、体でって言ってるじゃないですか」
<0189> 「だから、体でって言ってるじゃないですか」

//<0190> 音無
<0190> 音無

//<0191> クソ坊主
<0191> クソ坊主

//<0192> 代理人
<0192> 代理人

//<0193> 微妙すぎるイケメン
<0193> 微妙すぎるイケメン

//<0194> ロリコン
<0194> ロリコン

//<0195> メガネ仲間
<0195> メガネ仲間

//<0196> 暗算日本記録保持者
<0196> 暗算日本記録保持者

//<0197> 通り魔
<0197> 通り魔

//<0198> 記憶ナシ男
<0198> 記憶ナシ男

//<0199> 音速
<0199> 音速

//<0200> 無限
<0200> 無限

//<0201> エロ侍
<0201> エロ侍

//<0202> エロエロ団ナンバー１
<0202> エロエロ団ナンバー１

//<0203> ただのエロ少年
<0203> ただのエロ少年

//<0204> ユリブサイク
<0204> ユリブサイク

//<0205> ドピュッシー
<0205> ドピュッシー

//<0206> アメリカンエロドッグ
<0206> アメリカンエロドッグ

//<0207> ゼウス
<0207> ゼウス

//<0208> 日向markⅡ
<0208> 日向markⅡ

//<0209> 糞虫
<0209> 糞虫

//<0210> 量産型日向
<0210> 量産型日向

//<0211> ？？
<0211> ？？

//<0212> 「体でもやんねーよ！」
<0212> 「体でもやんねーよ！」

//<0213> nothing
<0213> nothing

//<0214> nothing
<0214> nothing

//<0215> 岩沢
<0215> 岩沢

//<0216> 「そうだ。こいつはそんなことはやらない」
<0216> 「そうだ。こいつはそんなことはやらない」

//<0217> 音無
<0217> 音無

//<0218> クソ坊主
<0218> クソ坊主

//<0219> 代理人
<0219> 代理人

//<0220> 微妙すぎるイケメン
<0220> 微妙すぎるイケメン

//<0221> ロリコン
<0221> ロリコン

//<0222> メガネ仲間
<0222> メガネ仲間

//<0223> 暗算日本記録保持者
<0223> 暗算日本記録保持者

//<0224> 通り魔
<0224> 通り魔

//<0225> 記憶ナシ男
<0225> 記憶ナシ男

//<0226> 音速
<0226> 音速

//<0227> 無限
<0227> 無限

//<0228> エロ侍
<0228> エロ侍

//<0229> エロエロ団ナンバー１
<0229> エロエロ団ナンバー１

//<0230> ただのエロ少年
<0230> ただのエロ少年

//<0231> ユリブサイク
<0231> ユリブサイク

//<0232> ドピュッシー
<0232> ドピュッシー

//<0233> アメリカンエロドッグ
<0233> アメリカンエロドッグ

//<0234> ゼウス
<0234> ゼウス

//<0235> 日向markⅡ
<0235> 日向markⅡ

//<0236> 糞虫
<0236> 糞虫

//<0237> 量産型日向
<0237> 量産型日向

//<0238> ？？
<0238> ？？

//<0239> 「ああ、やらない」
<0239> 「ああ、やらない」

//<0240> 音無
<0240> 音無

//<0241> クソ坊主
<0241> クソ坊主

//<0242> 代理人
<0242> 代理人

//<0243> 微妙すぎるイケメン
<0243> 微妙すぎるイケメン

//<0244> ロリコン
<0244> ロリコン

//<0245> メガネ仲間
<0245> メガネ仲間

//<0246> 暗算日本記録保持者
<0246> 暗算日本記録保持者

//<0247> 通り魔
<0247> 通り魔

//<0248> 記憶ナシ男
<0248> 記憶ナシ男

//<0249> 音速
<0249> 音速

//<0250> 無限
<0250> 無限

//<0251> エロ侍
<0251> エロ侍

//<0252> エロエロ団ナンバー１
<0252> エロエロ団ナンバー１

//<0253> ただのエロ少年
<0253> ただのエロ少年

//<0254> ユリブサイク
<0254> ユリブサイク

//<0255> ドピュッシー
<0255> ドピュッシー

//<0256> アメリカンエロドッグ
<0256> アメリカンエロドッグ

//<0257> ゼウス
<0257> ゼウス

//<0258> 日向markⅡ
<0258> 日向markⅡ

//<0259> 糞虫
<0259> 糞虫

//<0260> 量産型日向
<0260> 量産型日向

//<0261> ？？
<0261> ？？

//<0262> 「ちなみに今の俺はエロ侍という名前だがな」
<0262> 「ちなみに今の俺はエロ侍という名前だがな」

//<0263> 音無
<0263> 音無

//<0264> クソ坊主
<0264> クソ坊主

//<0265> 代理人
<0265> 代理人

//<0266> 微妙すぎるイケメン
<0266> 微妙すぎるイケメン

//<0267> ロリコン
<0267> ロリコン

//<0268> メガネ仲間
<0268> メガネ仲間

//<0269> 暗算日本記録保持者
<0269> 暗算日本記録保持者

//<0270> 通り魔
<0270> 通り魔

//<0271> 記憶ナシ男
<0271> 記憶ナシ男

//<0272> 音速
<0272> 音速

//<0273> 無限
<0273> 無限

//<0274> エロ侍
<0274> エロ侍

//<0275> エロエロ団ナンバー１
<0275> エロエロ団ナンバー１

//<0276> ただのエロ少年
<0276> ただのエロ少年

//<0277> ユリブサイク
<0277> ユリブサイク

//<0278> ドピュッシー
<0278> ドピュッシー

//<0279> アメリカンエロドッグ
<0279> アメリカンエロドッグ

//<0280> ゼウス
<0280> ゼウス

//<0281> 日向markⅡ
<0281> 日向markⅡ

//<0282> 糞虫
<0282> 糞虫

//<0283> 量産型日向
<0283> 量産型日向

//<0284> ？？
<0284> ？？

//<0285> 「ちなみに今の俺はエロエロ団ナンバー１という名前だがな」
<0285> 「ちなみに今の俺はエロエロ団ナンバー１という名前だがな」

//<0286> 音無
<0286> 音無

//<0287> クソ坊主
<0287> クソ坊主

//<0288> 代理人
<0288> 代理人

//<0289> 微妙すぎるイケメン
<0289> 微妙すぎるイケメン

//<0290> ロリコン
<0290> ロリコン

//<0291> メガネ仲間
<0291> メガネ仲間

//<0292> 暗算日本記録保持者
<0292> 暗算日本記録保持者

//<0293> 通り魔
<0293> 通り魔

//<0294> 記憶ナシ男
<0294> 記憶ナシ男

//<0295> 音速
<0295> 音速

//<0296> 無限
<0296> 無限

//<0297> エロ侍
<0297> エロ侍

//<0298> エロエロ団ナンバー１
<0298> エロエロ団ナンバー１

//<0299> ただのエロ少年
<0299> ただのエロ少年

//<0300> ユリブサイク
<0300> ユリブサイク

//<0301> ドピュッシー
<0301> ドピュッシー

//<0302> アメリカンエロドッグ
<0302> アメリカンエロドッグ

//<0303> ゼウス
<0303> ゼウス

//<0304> 日向markⅡ
<0304> 日向markⅡ

//<0305> 糞虫
<0305> 糞虫

//<0306> 量産型日向
<0306> 量産型日向

//<0307> ？？
<0307> ？？

//<0308> 「ちなみに今の俺はただのエロ少年という名前だがな」
<0308> 「ちなみに今の俺はただのエロ少年という名前だがな」

//<0309> nothing
<0309> nothing

//<0310> nothing
<0310> nothing

//<0311> みんな
<0311> みんな

//<0312> 「え？」
<0312> 「え？」

//<0313> 全員の足が止まった。
<0313> 全員の足が止まった。

//<0314> nothing
<0314> nothing

//<0315> nothing
<0315> nothing

//<0316> nothing
<0316> nothing

//<0317> nothing
<0317> nothing

//<0318> nothing
<0318> nothing

//<0319> ひさ子
<0319> ひさ子

//<0320> 「なんて、やばそうな名前になっちまってるんだよ…」
<0320> 「なんて、やばそうな名前になっちまってるんだよ…」

//<0321> 音無
<0321> 音無

//<0322> クソ坊主
<0322> クソ坊主

//<0323> 代理人
<0323> 代理人

//<0324> 微妙すぎるイケメン
<0324> 微妙すぎるイケメン

//<0325> ロリコン
<0325> ロリコン

//<0326> メガネ仲間
<0326> メガネ仲間

//<0327> 暗算日本記録保持者
<0327> 暗算日本記録保持者

//<0328> 通り魔
<0328> 通り魔

//<0329> 記憶ナシ男
<0329> 記憶ナシ男

//<0330> 音速
<0330> 音速

//<0331> 無限
<0331> 無限

//<0332> エロ侍
<0332> エロ侍

//<0333> エロエロ団ナンバー１
<0333> エロエロ団ナンバー１

//<0334> ただのエロ少年
<0334> ただのエロ少年

//<0335> ユリブサイク
<0335> ユリブサイク

//<0336> ドピュッシー
<0336> ドピュッシー

//<0337> アメリカンエロドッグ
<0337> アメリカンエロドッグ

//<0338> ゼウス
<0338> ゼウス

//<0339> 日向markⅡ
<0339> 日向markⅡ

//<0340> 糞虫
<0340> 糞虫

//<0341> 量産型日向
<0341> 量産型日向

//<0342> ？？
<0342> ？？

//<0343> 「やばいことをやっちまったからさ…」
<0343> 「やばいことをやっちまったからさ…」

//<0344> nothing
<0344> nothing

//<0345> nothing
<0345> nothing

//<0346> nothing
<0346> nothing

//<0347> nothing
<0347> nothing

//<0348> nothing
<0348> nothing

//<0349> 関根
<0349> 関根

//<0350> 「こえぇぇーー！！」
<0350> 「こえぇぇーー！！」

//<0351> nothing
<0351> nothing

//<0352> nothing
<0352> nothing

//<0353> nothing
<0353> nothing

//<0354> nothing
<0354> nothing

//<0355> nothing
<0355> nothing

//<0356> 岩沢
<0356> 岩沢

//<0357> 「よくわからないが、自分への戒め込みだろ？」
<0357> 「よくわからないが、自分への戒め込みだろ？」

//<0358> 音無
<0358> 音無

//<0359> クソ坊主
<0359> クソ坊主

//<0360> 代理人
<0360> 代理人

//<0361> 微妙すぎるイケメン
<0361> 微妙すぎるイケメン

//<0362> ロリコン
<0362> ロリコン

//<0363> メガネ仲間
<0363> メガネ仲間

//<0364> 暗算日本記録保持者
<0364> 暗算日本記録保持者

//<0365> 通り魔
<0365> 通り魔

//<0366> 記憶ナシ男
<0366> 記憶ナシ男

//<0367> 音速
<0367> 音速

//<0368> 無限
<0368> 無限

//<0369> エロ侍
<0369> エロ侍

//<0370> エロエロ団ナンバー１
<0370> エロエロ団ナンバー１

//<0371> ただのエロ少年
<0371> ただのエロ少年

//<0372> ユリブサイク
<0372> ユリブサイク

//<0373> ドピュッシー
<0373> ドピュッシー

//<0374> アメリカンエロドッグ
<0374> アメリカンエロドッグ

//<0375> ゼウス
<0375> ゼウス

//<0376> 日向markⅡ
<0376> 日向markⅡ

//<0377> 糞虫
<0377> 糞虫

//<0378> 量産型日向
<0378> 量産型日向

//<0379> ？？
<0379> ？？

//<0380> 「さすが岩沢。その通りだ」
<0380> 「さすが岩沢。その通りだ」

//<0381> nothing
<0381> nothing

//<0382> nothing
<0382> nothing

//<0383> nothing
<0383> nothing

//<0384> nothing
<0384> nothing

//<0385> ひさ子
<0385> ひさ子

//<0386> 「反省中ということか」
<0386> 「反省中ということか」

//<0387> 音無
<0387> 音無

//<0388> クソ坊主
<0388> クソ坊主

//<0389> 代理人
<0389> 代理人

//<0390> 微妙すぎるイケメン
<0390> 微妙すぎるイケメン

//<0391> ロリコン
<0391> ロリコン

//<0392> メガネ仲間
<0392> メガネ仲間

//<0393> 暗算日本記録保持者
<0393> 暗算日本記録保持者

//<0394> 通り魔
<0394> 通り魔

//<0395> 記憶ナシ男
<0395> 記憶ナシ男

//<0396> 音速
<0396> 音速

//<0397> 無限
<0397> 無限

//<0398> エロ侍
<0398> エロ侍

//<0399> エロエロ団ナンバー１
<0399> エロエロ団ナンバー１

//<0400> ただのエロ少年
<0400> ただのエロ少年

//<0401> ユリブサイク
<0401> ユリブサイク

//<0402> ドピュッシー
<0402> ドピュッシー

//<0403> アメリカンエロドッグ
<0403> アメリカンエロドッグ

//<0404> ゼウス
<0404> ゼウス

//<0405> 日向markⅡ
<0405> 日向markⅡ

//<0406> 糞虫
<0406> 糞虫

//<0407> 量産型日向
<0407> 量産型日向

//<0408> ？？
<0408> ？？

//<0409> 「ああ」
<0409> 「ああ」

//<0410> nothing
<0410> nothing

//<0411> nothing
<0411> nothing

//<0412> nothing
<0412> nothing

//<0413> nothing
<0413> nothing

//<0414> nothing
<0414> nothing

//<0415> 入江
<0415> 入江

//<0416> 「じゃ、全然恐くないということですよね！？」
<0416> 「じゃ、全然恐くないということですよね！？」

//<0417> 音無
<0417> 音無

//<0418> クソ坊主
<0418> クソ坊主

//<0419> 代理人
<0419> 代理人

//<0420> 微妙すぎるイケメン
<0420> 微妙すぎるイケメン

//<0421> ロリコン
<0421> ロリコン

//<0422> メガネ仲間
<0422> メガネ仲間

//<0423> 暗算日本記録保持者
<0423> 暗算日本記録保持者

//<0424> 通り魔
<0424> 通り魔

//<0425> 記憶ナシ男
<0425> 記憶ナシ男

//<0426> 音速
<0426> 音速

//<0427> 無限
<0427> 無限

//<0428> エロ侍
<0428> エロ侍

//<0429> エロエロ団ナンバー１
<0429> エロエロ団ナンバー１

//<0430> ただのエロ少年
<0430> ただのエロ少年

//<0431> ユリブサイク
<0431> ユリブサイク

//<0432> ドピュッシー
<0432> ドピュッシー

//<0433> アメリカンエロドッグ
<0433> アメリカンエロドッグ

//<0434> ゼウス
<0434> ゼウス

//<0435> 日向markⅡ
<0435> 日向markⅡ

//<0436> 糞虫
<0436> 糞虫

//<0437> 量産型日向
<0437> 量産型日向

//<0438> ？？
<0438> ？？

//<0439> 「ああ、安心してくれ」
<0439> 「ああ、安心してくれ」

//<0440> nothing
<0440> nothing

//<0441> nothing
<0441> nothing

//<0442> nothing
<0442> nothing

//<0443> nothing
<0443> nothing

//<0444> nothing
<0444> nothing

//<0445> 関根
<0445> 関根

//<0446> 「えぇーー、びびり損じゃないですかぁ…」
<0446> 「えぇーー、びびり損じゃないですかぁ…」

//<0447> nothing
<0447> nothing

//<0448> nothing
<0448> nothing

//<0449> nothing
<0449> nothing

//<0450> nothing
<0450> nothing

//<0451> nothing
<0451> nothing

//<0452> nothing
<0452> nothing

//<0453> 俺たちは再び歩き出す。
<0453> 俺たちは再び歩き出す。

//<0454> 音無
<0454> 音無

//<0455> クソ坊主
<0455> クソ坊主

//<0456> 代理人
<0456> 代理人

//<0457> 微妙すぎるイケメン
<0457> 微妙すぎるイケメン

//<0458> ロリコン
<0458> ロリコン

//<0459> メガネ仲間
<0459> メガネ仲間

//<0460> 暗算日本記録保持者
<0460> 暗算日本記録保持者

//<0461> 通り魔
<0461> 通り魔

//<0462> 記憶ナシ男
<0462> 記憶ナシ男

//<0463> 音速
<0463> 音速

//<0464> 無限
<0464> 無限

//<0465> エロ侍
<0465> エロ侍

//<0466> エロエロ団ナンバー１
<0466> エロエロ団ナンバー１

//<0467> ただのエロ少年
<0467> ただのエロ少年

//<0468> ユリブサイク
<0468> ユリブサイク

//<0469> ドピュッシー
<0469> ドピュッシー

//<0470> アメリカンエロドッグ
<0470> アメリカンエロドッグ

//<0471> ゼウス
<0471> ゼウス

//<0472> 日向markⅡ
<0472> 日向markⅡ

//<0473> 糞虫
<0473> 糞虫

//<0474> 量産型日向
<0474> 量産型日向

//<0475> ？？
<0475> ？？

//<0476> 「ああ、もちろんだ」
<0476> 「ああ、もちろんだ」

//<0477> nothing
<0477> nothing

//<0478> nothing
<0478> nothing

//<0479> nothing
<0479> nothing

//<0480> nothing
<0480> nothing

//<0481> nothing
<0481> nothing

//<0482> nothing
<0482> nothing

//<0483> 他愛の無い会話をしながら、廊下を歩く。
<0483> 他愛の無い会話をしながら、廊下を歩く。

//<0484> 音無
<0484> 音無

//<0485> クソ坊主
<0485> クソ坊主

//<0486> 代理人
<0486> 代理人

//<0487> 微妙すぎるイケメン
<0487> 微妙すぎるイケメン

//<0488> ロリコン
<0488> ロリコン

//<0489> メガネ仲間
<0489> メガネ仲間

//<0490> 暗算日本記録保持者
<0490> 暗算日本記録保持者

//<0491> 通り魔
<0491> 通り魔

//<0492> 記憶ナシ男
<0492> 記憶ナシ男

//<0493> 音速
<0493> 音速

//<0494> 無限
<0494> 無限

//<0495> エロ侍
<0495> エロ侍

//<0496> エロエロ団ナンバー１
<0496> エロエロ団ナンバー１

//<0497> ただのエロ少年
<0497> ただのエロ少年

//<0498> ユリブサイク
<0498> ユリブサイク

//<0499> ドピュッシー
<0499> ドピュッシー

//<0500> アメリカンエロドッグ
<0500> アメリカンエロドッグ

//<0501> ゼウス
<0501> ゼウス

//<0502> 日向markⅡ
<0502> 日向markⅡ

//<0503> 糞虫
<0503> 糞虫

//<0504> 量産型日向
<0504> 量産型日向

//<0505> ？？
<0505> ？？

//<0506> 「そんなことあいつらがするわけがない…。俺ひとりならともかく」
<0506> 「そんなことあいつらがするわけがない…。俺ひとりならともかく」

//<0507> nothing
<0507> nothing

//<0508> nothing
<0508> nothing

//<0509> 全員
<0509> 全員

//<0510> 「………」
<0510> 「………」

//<0511> 音無
<0511> 音無

//<0512> クソ坊主
<0512> クソ坊主

//<0513> 代理人
<0513> 代理人

//<0514> 微妙すぎるイケメン
<0514> 微妙すぎるイケメン

//<0515> ロリコン
<0515> ロリコン

//<0516> メガネ仲間
<0516> メガネ仲間

//<0517> 暗算日本記録保持者
<0517> 暗算日本記録保持者

//<0518> 通り魔
<0518> 通り魔

//<0519> 記憶ナシ男
<0519> 記憶ナシ男

//<0520> 音速
<0520> 音速

//<0521> 無限
<0521> 無限

//<0522> エロ侍
<0522> エロ侍

//<0523> エロエロ団ナンバー１
<0523> エロエロ団ナンバー１

//<0524> ただのエロ少年
<0524> ただのエロ少年

//<0525> ユリブサイク
<0525> ユリブサイク

//<0526> ドピュッシー
<0526> ドピュッシー

//<0527> アメリカンエロドッグ
<0527> アメリカンエロドッグ

//<0528> ゼウス
<0528> ゼウス

//<0529> 日向markⅡ
<0529> 日向markⅡ

//<0530> 糞虫
<0530> 糞虫

