// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 窓越しに覗き込む。
<0000> 窓越しに覗き込む。
<0071> ロリコン

//<0072> メガネ仲間
<0072> メガネ仲間

//<0073> 暗算日本記録保持者
<0073> 暗算日本記録保持者

//<0074> 通り魔
<0074> 通り魔

//<0075> 記憶ナシ男
<0075> 記憶ナシ男

//<0076> 音速
<0076> 音速

//<0077> 無限
<0077> 無限

//<0078> エロ侍
<0078> エロ侍

//<0079> エロエロ団ナンバー１
<0079> エロエロ団ナンバー１

//<0080> ただのエロ少年
<0080> ただのエロ少年

//<0081> ユリブサイク
<0081> ユリブサイク

//<0082> ドピュッシー
<0082> ドピュッシー

//<0083> アメリカンエロドッグ
<0083> アメリカンエロドッグ

//<0084> ゼウス
<0084> ゼウス

//<0085> 日向markⅡ
<0085> 日向markⅡ

//<0086> 糞虫
<0086> 糞虫

//<0087> 量産型日向
<0087> 量産型日向

//<0088> ？？
<0088> ？？

//<0089> 「ファンに見つかったら大変なことになるんじゃね？」
<0089> 「ファンに見つかったら大変なことになるんじゃね？」

//<0090> nothing
<0090> nothing

//<0091> nothing
<0091> nothing

//<0092> nothing
<0092> nothing

//<0093> nothing
<0093> nothing

//<0094> nothing
<0094> nothing

//<0095> 岩沢
<0095> 岩沢
{3072} 33 // 0095

//<0096> 「…おっと、これじゃ、焼き直しになっちまうな。ふふふ～ん…と」
<0096> 「…おっと、これじゃ、焼き直しになっちまうな。ふふふ～ん…と」

//<0097> nothing
<0097> nothing

//<0098> nothing
<0098> nothing

//<0099> nothing
<0099> nothing

//<0100> nothing
<0100> nothing

//<0101> nothing
<0101> nothing

//<0102> もしかして…俺の声、全然聞こえていない！？
<0102> もしかして…俺の声、全然聞こえていない！？

//<0103> 音無
<0103> 音無

//<0104> クソ坊主
<0104> クソ坊主

//<0105> 代理人
<0105> 代理人

//<0106> 微妙すぎるイケメン
<0106> 微妙すぎるイケメン

//<0107> ロリコン
<0107> ロリコン

//<0108> メガネ仲間
<0108> メガネ仲間

//<0109> 暗算日本記録保持者
<0109> 暗算日本記録保持者

//<0110> 通り魔
<0110> 通り魔

//<0111> 記憶ナシ男
<0111> 記憶ナシ男

//<0112> 音速
<0112> 音速

//<0113> 無限
<0113> 無限

//<0114> エロ侍
<0114> エロ侍

//<0115> エロエロ団ナンバー１
<0115> エロエロ団ナンバー１

//<0116> ただのエロ少年
<0116> ただのエロ少年

//<0117> ユリブサイク
<0117> ユリブサイク

//<0118> ドピュッシー
<0118> ドピュッシー

//<0119> アメリカンエロドッグ
<0119> アメリカンエロドッグ

//<0120> ゼウス
<0120> ゼウス

//<0121> 日向markⅡ
<0121> 日向markⅡ

//<0122> 糞虫
<0122> 糞虫

//<0123> 量産型日向
<0123> 量産型日向

//<0124> ？？
<0124> ？？

//<0125> 「おーい、岩沢～」
<0125> 「おーい、岩沢～」

//<0126> nothing
<0126> nothing

//<0127> nothing
<0127> nothing

//<0128> nothing
<0128> nothing

//<0129> nothing
<0129> nothing

//<0130> nothing
<0130> nothing

//<0131> 岩沢
<0131> 岩沢
{3e0b} 33 // 0131

//<0132> 「ふふ～ん、と…ここは、ベースはクリシェして降りていってほしいな…」
<0132> 「ふふ～ん、と…ここは、ベースはクリシェして降りていってほしいな…」

//<0133> nothing
<0133> nothing

//<0134> nothing
<0134> nothing

//<0135> nothing
<0135> nothing

//<0136> nothing
<0136> nothing

//<0137> nothing
<0137> nothing

//<0138> 音無
<0138> 音無

//<0139> クソ坊主
<0139> クソ坊主

//<0140> 代理人
<0140> 代理人

//<0141> 微妙すぎるイケメン
<0141> 微妙すぎるイケメン

//<0142> ロリコン
<0142> ロリコン

//<0143> メガネ仲間
<0143> メガネ仲間

//<0144> 暗算日本記録保持者
<0144> 暗算日本記録保持者

//<0145> 通り魔
<0145> 通り魔

//<0146> 記憶ナシ男
<0146> 記憶ナシ男

//<0147> 音速
<0147> 音速

//<0148> 無限
<0148> 無限

//<0149> エロ侍
<0149> エロ侍

//<0150> エロエロ団ナンバー１
<0150> エロエロ団ナンバー１

//<0151> ただのエロ少年
<0151> ただのエロ少年

//<0152> ユリブサイク
<0152> ユリブサイク

//<0153> ドピュッシー
<0153> ドピュッシー

//<0154> アメリカンエロドッグ
<0154> アメリカンエロドッグ

//<0155> ゼウス
<0155> ゼウス

//<0156> 日向markⅡ
<0156> 日向markⅡ

//<0157> 糞虫
<0157> 糞虫

//<0158> 量産型日向
<0158> 量産型日向

//<0159> ？？
<0159> ？？

//<0160> 「おーい、俺が話しかけてるんだけどな～」
<0160> 「おーい、俺が話しかけてるんだけどな～」

//<0161> nothing
<0161> nothing

//<0162> nothing
<0162> nothing

//<0163> nothing
<0163> nothing

//<0164> nothing
<0164> nothing

//<0165> nothing
<0165> nothing

//<0166> 岩沢
<0166> 岩沢
{4b51} 33 // 0166

//<0167> 「関根の奴、こういう時に限って、変則的な動きしやがるからなー。ここは絶対クリシェっ！と」
<0167> 「関根の奴、こういう時に限って、変則的な動きしやがるからなー。ここは絶対クリシェっ！と」

//<0168> nothing
<0168> nothing

//<0169> nothing
<0169> nothing

//<0170> nothing
<0170> nothing

//<0171> nothing
<0171> nothing

//<0172> nothing
<0172> nothing

//<0173> すごい集中力だ…。
<0173> すごい集中力だ…。

//<0174> どう声をかけ直そう？
<0174> どう声をかけ直そう？

//<0175> ライブが始まるぞーー！！
<0175> ライブが始まるぞーー！！

//<0176> そこは関根に任せたほうがいい
<0176> そこは関根に任せたほうがいい

//<0177> selbtn : 
<0177> selbtn : 

//<0178> 音無
<0178> 音無

//<0179> クソ坊主
<0179> クソ坊主

//<0180> 代理人
<0180> 代理人

//<0181> 微妙すぎるイケメン
<0181> 微妙すぎるイケメン

//<0182> ロリコン
<0182> ロリコン

//<0183> メガネ仲間
<0183> メガネ仲間

//<0184> 暗算日本記録保持者
<0184> 暗算日本記録保持者

//<0185> 通り魔
<0185> 通り魔

//<0186> 記憶ナシ男
<0186> 記憶ナシ男

//<0187> 音速
<0187> 音速

//<0188> 無限
<0188> 無限

//<0189> エロ侍
<0189> エロ侍

//<0190> エロエロ団ナンバー１
<0190> エロエロ団ナンバー１

//<0191> ただのエロ少年
<0191> ただのエロ少年

//<0192> ユリブサイク
<0192> ユリブサイク

//<0193> ドピュッシー
<0193> ドピュッシー

//<0194> アメリカンエロドッグ
<0194> アメリカンエロドッグ

//<0195> ゼウス
<0195> ゼウス

//<0196> 日向markⅡ
<0196> 日向markⅡ

//<0197> 糞虫
<0197> 糞虫

//<0198> 量産型日向
<0198> 量産型日向

//<0199> ？？
<0199> ？？

//<0200> 「ライブが始まるぞーー！！」
<0200> 「ライブが始まるぞーー！！」

//<0201> nothing
<0201> nothing

//<0202> nothing
<0202> nothing

//<0203> nothing
<0203> nothing

//<0204> nothing
<0204> nothing

//<0205> nothing
<0205> nothing

//<0206> 岩沢
<0206> 岩沢

//<0207> 「え！？　セットリストはどうだっけ！？」
<0207> 「え！？　セットリストはどうだっけ！？」

//<0208> nothing
<0208> nothing

//<0209> nothing
<0209> nothing

//<0210> nothing
<0210> nothing

//<0211> nothing
<0211> nothing

//<0212> nothing
<0212> nothing

//<0213> 岩沢
<0213> 岩沢

//<0214> 「って、なんだよ…お前か…」
<0214> 「って、なんだよ…お前か…」

//<0215> 我に返った後、俺を見てため息をつく。
<0215> 我に返った後、俺を見てため息をつく。

//<0216> nothing
<0216> nothing

//<0217> nothing
<0217> nothing

//<0218> nothing
<0218> nothing

//<0219> nothing
<0219> nothing

//<0220> nothing
<0220> nothing

//<0221> 岩沢
<0221> 岩沢

//<0222> 「人を音楽キチみたいにからかうのはよしてくれ…」
<0222> 「人を音楽キチみたいにからかうのはよしてくれ…」

//<0223> 音無
<0223> 音無

//<0224> クソ坊主
<0224> クソ坊主

//<0225> 代理人
<0225> 代理人

//<0226> 微妙すぎるイケメン
<0226> 微妙すぎるイケメン

//<0227> ロリコン
<0227> ロリコン

//<0228> メガネ仲間
<0228> メガネ仲間

//<0229> 暗算日本記録保持者
<0229> 暗算日本記録保持者

//<0230> 通り魔
<0230> 通り魔

//<0231> 記憶ナシ男
<0231> 記憶ナシ男

//<0232> 音速
<0232> 音速

//<0233> 無限
<0233> 無限

//<0234> エロ侍
<0234> エロ侍

//<0235> エロエロ団ナンバー１
<0235> エロエロ団ナンバー１

//<0236> ただのエロ少年
<0236> ただのエロ少年

//<0237> ユリブサイク
<0237> ユリブサイク

//<0238> ドピュッシー
<0238> ドピュッシー

//<0239> アメリカンエロドッグ
<0239> アメリカンエロドッグ

//<0240> ゼウス
<0240> ゼウス

//<0241> 日向markⅡ
<0241> 日向markⅡ

//<0242> 糞虫
<0242> 糞虫

//<0243> 量産型日向
<0243> 量産型日向

//<0244> ？？
<0244> ？？

//<0245> 「すまん…」
<0245> 「すまん…」

//<0246> nothing
<0246> nothing

//<0247> nothing
<0247> nothing

//<0248> nothing
<0248> nothing

//<0249> nothing
<0249> nothing

//<0250> nothing
<0250> nothing

//<0251> 岩沢
<0251> 岩沢

//<0252> 「いや、音楽キチだけどさ」
<0252> 「いや、音楽キチだけどさ」

//<0253> やっぱ認めるのか！
<0253> やっぱ認めるのか！

//<0254> nothing
<0254> nothing

//<0255> nothing
<0255> nothing

//<0256> nothing
<0256> nothing

//<0257> nothing
<0257> nothing

//<0258> nothing
<0258> nothing

//<0259> 岩沢
<0259> 岩沢

//<0260> 「なんだ、どうした？　ガルデモのファンにでもなっちまったか？」
<0260> 「なんだ、どうした？　ガルデモのファンにでもなっちまったか？」

//<0261> 音無
<0261> 音無

//<0262> クソ坊主
<0262> クソ坊主

//<0263> 代理人
<0263> 代理人

//<0264> 微妙すぎるイケメン
<0264> 微妙すぎるイケメン

//<0265> ロリコン
<0265> ロリコン

//<0266> メガネ仲間
<0266> メガネ仲間

//<0267> 暗算日本記録保持者
<0267> 暗算日本記録保持者

//<0268> 通り魔
<0268> 通り魔

//<0269> 記憶ナシ男
<0269> 記憶ナシ男

//<0270> 音速
<0270> 音速

//<0271> 無限
<0271> 無限

//<0272> エロ侍
<0272> エロ侍

//<0273> エロエロ団ナンバー１
<0273> エロエロ団ナンバー１

//<0274> ただのエロ少年
<0274> ただのエロ少年

//<0275> ユリブサイク
<0275> ユリブサイク

//<0276> ドピュッシー
<0276> ドピュッシー

//<0277> アメリカンエロドッグ
<0277> アメリカンエロドッグ

//<0278> ゼウス
<0278> ゼウス

//<0279> 日向markⅡ
<0279> 日向markⅡ

//<0280> 糞虫
<0280> 糞虫

//<0281> 量産型日向
<0281> 量産型日向

//<0282> ？？
<0282> ？？

//<0283> （関根ってヤツのことを知らないけど、多分バンドのメンバーなんだろう）
<0283> （関根ってヤツのことを知らないけど、多分バンドのメンバーなんだろう）

//<0284> とにかく今は岩沢に気づいてもらうことが先決だ。
<0284> とにかく今は岩沢に気づいてもらうことが先決だ。

//<0285> 音無
<0285> 音無

//<0286> クソ坊主
<0286> クソ坊主

//<0287> 代理人
<0287> 代理人

//<0288> 微妙すぎるイケメン
<0288> 微妙すぎるイケメン

//<0289> ロリコン
<0289> ロリコン

//<0290> メガネ仲間
<0290> メガネ仲間

//<0291> 暗算日本記録保持者
<0291> 暗算日本記録保持者

//<0292> 通り魔
<0292> 通り魔

//<0293> 記憶ナシ男
<0293> 記憶ナシ男

//<0294> 音速
<0294> 音速

//<0295> 無限
<0295> 無限

//<0296> エロ侍
<0296> エロ侍

//<0297> エロエロ団ナンバー１
<0297> エロエロ団ナンバー１

//<0298> ただのエロ少年
<0298> ただのエロ少年

//<0299> ユリブサイク
<0299> ユリブサイク

//<0300> ドピュッシー
<0300> ドピュッシー

//<0301> アメリカンエロドッグ
<0301> アメリカンエロドッグ

//<0302> ゼウス
<0302> ゼウス

//<0303> 日向markⅡ
<0303> 日向markⅡ

//<0304> 糞虫
<0304> 糞虫

//<0305> 量産型日向
<0305> 量産型日向

//<0306> ？？
<0306> ？？

//<0307> 「そこは関根に任せたほうがいい」
<0307> 「そこは関根に任せたほうがいい」

//<0308> nothing
<0308> nothing

//<0309> nothing
<0309> nothing

//<0310> nothing
<0310> nothing

//<0311> nothing
<0311> nothing

//<0312> nothing
<0312> nothing

//<0313> 岩沢
<0313> 岩沢

//<0314> 「え！？　マジかよっ」
<0314> 「え！？　マジかよっ」

//<0315> nothing
<0315> nothing

//<0316> nothing
<0316> nothing

//<0317> nothing
<0317> nothing

//<0318> nothing
<0318> nothing

//<0319> nothing
<0319> nothing

//<0320> 岩沢
<0320> 岩沢

//<0321> 「って、新入り、てめーかよ…」
<0321> 「って、新入り、てめーかよ…」

//<0322> nothing
<0322> nothing

//<0323> nothing
<0323> nothing

//<0324> nothing
<0324> nothing

//<0325> nothing
<0325> nothing

//<0326> nothing
<0326> nothing

//<0327> 岩沢
<0327> 岩沢

//<0328> 「お前、そこまで音楽に精通してるのか？」
<0328> 「お前、そこまで音楽に精通してるのか？」

//<0329> 音無
<0329> 音無

//<0330> クソ坊主
<0330> クソ坊主

//<0331> 代理人
<0331> 代理人

//<0332> 微妙すぎるイケメン
<0332> 微妙すぎるイケメン

//<0333> ロリコン
<0333> ロリコン

//<0334> メガネ仲間
<0334> メガネ仲間

//<0335> 暗算日本記録保持者
<0335> 暗算日本記録保持者

//<0336> 通り魔
<0336> 通り魔

//<0337> 記憶ナシ男
<0337> 記憶ナシ男

//<0338> 音速
<0338> 音速

//<0339> 無限
<0339> 無限

//<0340> エロ侍
<0340> エロ侍

//<0341> エロエロ団ナンバー１
<0341> エロエロ団ナンバー１

//<0342> ただのエロ少年
<0342> ただのエロ少年

//<0343> ユリブサイク
<0343> ユリブサイク

//<0344> ドピュッシー
<0344> ドピュッシー

//<0345> アメリカンエロドッグ
<0345> アメリカンエロドッグ

//<0346> ゼウス
<0346> ゼウス

//<0347> 日向markⅡ
<0347> 日向markⅡ

//<0348> 糞虫
<0348> 糞虫

//<0349> 量産型日向
<0349> 量産型日向

//<0350> ？？
<0350> ？？

//<0351> 「いや、恐らく特には…」
<0351> 「いや、恐らく特には…」

//<0352> nothing
<0352> nothing

//<0353> nothing
<0353> nothing

//<0354> nothing
<0354> nothing

//<0355> nothing
<0355> nothing

//<0356> nothing
<0356> nothing

//<0357> 岩沢
<0357> 岩沢
{846c} 33 // 0357

//<0358> 「びびらせんなよ。あたしはあたしで真剣に音楽と向き合ってるんだ」
<0358> 「びびらせんなよ。あたしはあたしで真剣に音楽と向き合ってるんだ」

//<0359> nothing
<0359> nothing

//<0360> nothing
<0360> nothing

//<0361> nothing
<0361> nothing

//<0362> nothing
<0362> nothing

//<0363> nothing
<0363> nothing

//<0364> 音無
<0364> 音無

//<0365> クソ坊主
<0365> クソ坊主

//<0366> 代理人
<0366> 代理人

//<0367> 微妙すぎるイケメン
<0367> 微妙すぎるイケメン

//<0368> ロリコン
<0368> ロリコン

//<0369> メガネ仲間
<0369> メガネ仲間

//<0370> 暗算日本記録保持者
<0370> 暗算日本記録保持者

//<0371> 通り魔
<0371> 通り魔

//<0372> 記憶ナシ男
<0372> 記憶ナシ男

//<0373> 音速
<0373> 音速

//<0374> 無限
<0374> 無限

//<0375> エロ侍
<0375> エロ侍

//<0376> エロエロ団ナンバー１
<0376> エロエロ団ナンバー１

//<0377> ただのエロ少年
<0377> ただのエロ少年

//<0378> ユリブサイク
<0378> ユリブサイク

//<0379> ドピュッシー
<0379> ドピュッシー

//<0380> アメリカンエロドッグ
<0380> アメリカンエロドッグ

//<0381> ゼウス
<0381> ゼウス

//<0382> 日向markⅡ
<0382> 日向markⅡ

//<0383> 糞虫
<0383> 糞虫

//<0384> 量産型日向
<0384> 量産型日向

//<0385> ？？
<0385> ？？

//<0386> 「それは十分わかるよ。さっきのはジョークとして受け取ってくれ」
<0386> 「それは十分わかるよ。さっきのはジョークとして受け取ってくれ」

//<0387> nothing
<0387> nothing

//<0388> nothing
<0388> nothing

//<0389> nothing
<0389> nothing

//<0390> nothing
<0390> nothing

//<0391> nothing
<0391> nothing

//<0392> 岩沢
<0392> 岩沢

//<0393> 「いや、別にワンマンバンドにはしたくねーから、そういう意見も重要なのかもな…」
<0393> 「いや、別にワンマンバンドにはしたくねーから、そういう意見も重要なのかもな…」

//<0394> nothing
<0394> nothing

//<0395> nothing
<0395> nothing

//<0396> nothing
<0396> nothing

//<0397> nothing
<0397> nothing

//<0398> nothing
<0398> nothing

//<0399> 岩沢
<0399> 岩沢

//<0400> 「にしては、的確なツッコミだったぜ。ガルデモのファンにでもなっちまったか？」
<0400> 「にしては、的確なツッコミだったぜ。ガルデモのファンにでもなっちまったか？」

//<0401> ガルデモのファンになった
<0401> ガルデモのファンになった

//<0402> 岩沢に興味が湧いた
<0402> 岩沢に興味が湧いた

//<0403> selbtn : 
<0403> selbtn : 

//<0404> 音無
<0404> 音無

//<0405> クソ坊主
<0405> クソ坊主

//<0406> 代理人
<0406> 代理人

//<0407> 微妙すぎるイケメン
<0407> 微妙すぎるイケメン

//<0408> ロリコン
<0408> ロリコン

//<0409> メガネ仲間
<0409> メガネ仲間

//<0410> 暗算日本記録保持者
<0410> 暗算日本記録保持者

//<0411> 通り魔
<0411> 通り魔

//<0412> 記憶ナシ男
<0412> 記憶ナシ男

//<0413> 音速
<0413> 音速

//<0414> 無限
<0414> 無限

//<0415> エロ侍
<0415> エロ侍

//<0416> エロエロ団ナンバー１
<0416> エロエロ団ナンバー１

//<0417> ただのエロ少年
<0417> ただのエロ少年

//<0418> ユリブサイク
<0418> ユリブサイク

//<0419> ドピュッシー
<0419> ドピュッシー

//<0420> アメリカンエロドッグ
<0420> アメリカンエロドッグ

//<0421> ゼウス
<0421> ゼウス

//<0422> 日向markⅡ
<0422> 日向markⅡ

//<0423> 糞虫
<0423> 糞虫

//<0424> 量産型日向
<0424> 量産型日向

//<0425> ？？
<0425> ？？

//<0426> 「ああ、そんなところだ」
<0426> 「ああ、そんなところだ」

//<0427> nothing
<0427> nothing

//<0428> nothing
<0428> nothing

//<0429> nothing
<0429> nothing

//<0430> nothing
<0430> nothing

//<0431> nothing
<0431> nothing

//<0432> 岩沢
<0432> 岩沢

//<0433> 「じゃあ、作曲に集中させてくれないかな」
<0433> 「じゃあ、作曲に集中させてくれないかな」

//<0434> 音無
<0434> 音無

//<0435> クソ坊主
<0435> クソ坊主

//<0436> 代理人
<0436> 代理人

//<0437> 微妙すぎるイケメン
<0437> 微妙すぎるイケメン

//<0438> ロリコン
<0438> ロリコン

//<0439> メガネ仲間
<0439> メガネ仲間

//<0440> 暗算日本記録保持者
<0440> 暗算日本記録保持者

//<0441> 通り魔
<0441> 通り魔

//<0442> 記憶ナシ男
<0442> 記憶ナシ男

//<0443> 音速
<0443> 音速

//<0444> 無限
<0444> 無限

//<0445> エロ侍
<0445> エロ侍

//<0446> エロエロ団ナンバー１
<0446> エロエロ団ナンバー１

//<0447> ただのエロ少年
<0447> ただのエロ少年

//<0448> ユリブサイク
<0448> ユリブサイク

//<0449> ドピュッシー
<0449> ドピュッシー

//<0450> アメリカンエロドッグ
<0450> アメリカンエロドッグ

//<0451> ゼウス
<0451> ゼウス

//<0452> 日向markⅡ
<0452> 日向markⅡ

//<0453> 糞虫
<0453> 糞虫

//<0454> 量産型日向
<0454> 量産型日向

//<0455> ？？
<0455> ？？

//<0456> 「だよな…。悪かった」
<0456> 「だよな…。悪かった」

//<0457> nothing
<0457> nothing

//<0458> nothing
<0458> nothing

//<0459> nothing
<0459> nothing

//<0460> nothing
<0460> nothing

//<0461> nothing
<0461> nothing

//<0462> nothing
<0462> nothing

//<0463> すぐさま岩沢はギターを弾きながら、作業に戻った。
<0463> すぐさま岩沢はギターを弾きながら、作業に戻った。

//<0464> このまま立ち去る
<0464> このまま立ち去る

//<0465> もう一度粘る
<0465> もう一度粘る

//<0466> selbtn : 
<0466> selbtn : 

//<0467> 仕方なく、立ち去ることにするが。
<0467> 仕方なく、立ち去ることにするが。

//<0468> 岩沢
<0468> 岩沢

//<0469> 「あ、ちなみに」
<0469> 「あ、ちなみに」

//<0470> nothing
<0470> nothing

//<0471> nothing
<0471> nothing

//<0472> nothing
<0472> nothing

//<0473> nothing
<0473> nothing

//<0474> nothing
<0474> nothing

//<0475> もしかして、と期待を込めて振り返る。
<0475> もしかして、と期待を込めて振り返る。

//<0476> nothing
<0476> nothing

//<0477> nothing
<0477> nothing

//<0478> nothing
<0478> nothing

//<0479> nothing
<0479> nothing

//<0480> nothing
<0480> nothing

//<0481> 岩沢
<0481> 岩沢

//<0482> 「二度と邪魔しに来るなよ」
<0482> 「二度と邪魔しに来るなよ」

//<0483> 突きつけられたのは、正反対の言葉だった…。
<0483> 突きつけられたのは、正反対の言葉だった…。

//<0484> なんて胸に突き刺さる…。
<0484> なんて胸に突き刺さる…。

//<0485> 音無
<0485> 音無

//<0486> クソ坊主
<0486> クソ坊主

//<0487> 代理人
<0487> 代理人

//<0488> 微妙すぎるイケメン
<0488> 微妙すぎるイケメン

//<0489> ロリコン
<0489> ロリコン

//<0490> メガネ仲間
<0490> メガネ仲間

//<0491> 暗算日本記録保持者
<0491> 暗算日本記録保持者

//<0492> 通り魔
<0492> 通り魔

//<0493> 記憶ナシ男
<0493> 記憶ナシ男

//<0494> 音速
<0494> 音速

//<0495> 無限
<0495> 無限

//<0496> エロ侍
<0496> エロ侍

//<0497> エロエロ団ナンバー１
<0497> エロエロ団ナンバー１

//<0498> ただのエロ少年
<0498> ただのエロ少年

//<0499> ユリブサイク
<0499> ユリブサイク

//<0500> ドピュッシー
<0500> ドピュッシー

//<0501> アメリカンエロドッグ
<0501> アメリカンエロドッグ

//<0502> ゼウス
<0502> ゼウス

//<0503> 日向markⅡ
<0503> 日向markⅡ

//<0504> 糞虫
<0504> 糞虫

//<0505> 量産型日向
<0505> 量産型日向

//<0506> ？？
<0506> ？？

//<0507> 「ああ…わかったよ…」
<0507> 「ああ…わかったよ…」

//<0508> se_wooddoor_open2
<0508> se_wooddoor_open2

//<0509> 岩沢を残し、立ち去る。
<0509> 岩沢を残し、立ち去る。

//<0510> 音無
<0510> 音無

//<0511> クソ坊主
<0511> クソ坊主

//<0512> 代理人
<0512> 代理人

//<0513> 微妙すぎるイケメン
<0513> 微妙すぎるイケメン

//<0514> ロリコン
<0514> ロリコン

//<0515> メガネ仲間
<0515> メガネ仲間

//<0516> 暗算日本記録保持者
<0516> 暗算日本記録保持者

//<0517> 通り魔
<0517> 通り魔

//<0518> 記憶ナシ男
<0518> 記憶ナシ男

//<0519> 音速
<0519> 音速

//<0520> 無限
<0520> 無限

//<0521> エロ侍
<0521> エロ侍

//<0522> エロエロ団ナンバー１
<0522> エロエロ団ナンバー１

//<0523> ただのエロ少年
<0523> ただのエロ少年

//<0524> ユリブサイク
<0524> ユリブサイク

//<0525> ドピュッシー
