// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> まず、神の居る場所を突き止めなくてはいけない。
<0000> まず、神の居る場所を突き止めなくてはいけない。

//<0074> 音速
<0074> 音速

//<0075> 無限
<0075> 無限

//<0076> エロ侍
<0076> エロ侍

//<0077> エロエロ団ナンバー１
<0077> エロエロ団ナンバー１

//<0078> ただのエロ少年
<0078> ただのエロ少年

//<0079> ユリブサイク
<0079> ユリブサイク

//<0080> ドピュッシー
<0080> ドピュッシー

//<0081> アメリカンエロドッグ
<0081> アメリカンエロドッグ

//<0082> ゼウス
<0082> ゼウス

//<0083> 日向markⅡ
<0083> 日向markⅡ

//<0084> 糞虫
<0084> 糞虫

//<0085> 量産型日向
<0085> 量産型日向

//<0086> ？？
<0086> ？？

//<0087> 「いや、今の俺は日向
<0087> 「いや、今の俺は日向

//<0088> mark
<0088> mark

//<0089> Ⅱだ」
<0089> Ⅱだ」

//<0090> 音無
<0090> 音無

//<0091> クソ坊主
<0091> クソ坊主

//<0092> 代理人
<0092> 代理人

//<0093> 微妙すぎるイケメン
<0093> 微妙すぎるイケメン

//<0094> ロリコン
<0094> ロリコン

//<0095> メガネ仲間
<0095> メガネ仲間

//<0096> 暗算日本記録保持者
<0096> 暗算日本記録保持者

//<0097> 通り魔
<0097> 通り魔

//<0098> 記憶ナシ男
<0098> 記憶ナシ男

//<0099> 音速
<0099> 音速

//<0100> 無限
<0100> 無限

//<0101> エロ侍
<0101> エロ侍

//<0102> エロエロ団ナンバー１
<0102> エロエロ団ナンバー１

//<0103> ただのエロ少年
<0103> ただのエロ少年

//<0104> ユリブサイク
<0104> ユリブサイク

//<0105> ドピュッシー
<0105> ドピュッシー

//<0106> アメリカンエロドッグ
<0106> アメリカンエロドッグ

//<0107> ゼウス
<0107> ゼウス

//<0108> 日向markⅡ
<0108> 日向markⅡ

//<0109> 糞虫
<0109> 糞虫

//<0110> 量産型日向
<0110> 量産型日向

//<0111> ？？
<0111> ？？

//<0112> 「いや、今の俺はユリブサイクだ」
<0112> 「いや、今の俺はユリブサイクだ」

//<0113> 音無
<0113> 音無

//<0114> クソ坊主
<0114> クソ坊主

//<0115> 代理人
<0115> 代理人

//<0116> 微妙すぎるイケメン
<0116> 微妙すぎるイケメン

//<0117> ロリコン
<0117> ロリコン

//<0118> メガネ仲間
<0118> メガネ仲間

//<0119> 暗算日本記録保持者
<0119> 暗算日本記録保持者

//<0120> 通り魔
<0120> 通り魔

//<0121> 記憶ナシ男
<0121> 記憶ナシ男

//<0122> 音速
<0122> 音速

//<0123> 無限
<0123> 無限

//<0124> エロ侍
<0124> エロ侍

//<0125> エロエロ団ナンバー１
<0125> エロエロ団ナンバー１

//<0126> ただのエロ少年
<0126> ただのエロ少年

//<0127> ユリブサイク
<0127> ユリブサイク

//<0128> ドピュッシー
<0128> ドピュッシー

//<0129> アメリカンエロドッグ
<0129> アメリカンエロドッグ

//<0130> ゼウス
<0130> ゼウス

//<0131> 日向markⅡ
<0131> 日向markⅡ

//<0132> 糞虫
<0132> 糞虫

//<0133> 量産型日向
<0133> 量産型日向

//<0134> ？？
<0134> ？？

//<0135> 「いや、今の俺はエロ侍だ」
<0135> 「いや、今の俺はエロ侍だ」

//<0136> 音無
<0136> 音無

//<0137> クソ坊主
<0137> クソ坊主

//<0138> 代理人
<0138> 代理人

//<0139> 微妙すぎるイケメン
<0139> 微妙すぎるイケメン

//<0140> ロリコン
<0140> ロリコン

//<0141> メガネ仲間
<0141> メガネ仲間

//<0142> 暗算日本記録保持者
<0142> 暗算日本記録保持者

//<0143> 通り魔
<0143> 通り魔

//<0144> 記憶ナシ男
<0144> 記憶ナシ男

//<0145> 音速
<0145> 音速

//<0146> 無限
<0146> 無限

//<0147> エロ侍
<0147> エロ侍

//<0148> エロエロ団ナンバー１
<0148> エロエロ団ナンバー１

//<0149> ただのエロ少年
<0149> ただのエロ少年

//<0150> ユリブサイク
<0150> ユリブサイク

//<0151> ドピュッシー
<0151> ドピュッシー

//<0152> アメリカンエロドッグ
<0152> アメリカンエロドッグ

//<0153> ゼウス
<0153> ゼウス

//<0154> 日向markⅡ
<0154> 日向markⅡ

//<0155> 糞虫
<0155> 糞虫

//<0156> 量産型日向
<0156> 量産型日向

//<0157> ？？
<0157> ？？

//<0158> 「いや、今の俺はエロエロ団ナンバー１だ」
<0158> 「いや、今の俺はエロエロ団ナンバー１だ」

//<0159> 音無
<0159> 音無

//<0160> クソ坊主
<0160> クソ坊主

//<0161> 代理人
<0161> 代理人

//<0162> 微妙すぎるイケメン
<0162> 微妙すぎるイケメン

//<0163> ロリコン
<0163> ロリコン

//<0164> メガネ仲間
<0164> メガネ仲間

//<0165> 暗算日本記録保持者
<0165> 暗算日本記録保持者

//<0166> 通り魔
<0166> 通り魔

//<0167> 記憶ナシ男
<0167> 記憶ナシ男

//<0168> 音速
<0168> 音速

//<0169> 無限
<0169> 無限

//<0170> エロ侍
<0170> エロ侍

//<0171> エロエロ団ナンバー１
<0171> エロエロ団ナンバー１

//<0172> ただのエロ少年
<0172> ただのエロ少年

//<0173> ユリブサイク
<0173> ユリブサイク

//<0174> ドピュッシー
<0174> ドピュッシー

//<0175> アメリカンエロドッグ
<0175> アメリカンエロドッグ

//<0176> ゼウス
<0176> ゼウス

//<0177> 日向markⅡ
<0177> 日向markⅡ

//<0178> 糞虫
<0178> 糞虫

//<0179> 量産型日向
<0179> 量産型日向

//<0180> ？？
<0180> ？？

//<0181> 「いや、今の俺はただのエロ少年だ」
<0181> 「いや、今の俺はただのエロ少年だ」

//<0182> nothing
<0182> nothing

//<0183> nothing
<0183> nothing

//<0184> nothing
<0184> nothing

//<0185> nothing
<0185> nothing

//<0186> nothing
<0186> nothing

//<0187> 天使
<0187> 天使

//<0188> かなで
<0188> かなで

//<0189> 女生徒
<0189> 女生徒

//<0190> ？？
<0190> ？？

//<0191> 「へぇ、変わったニックネームね」
<0191> 「へぇ、変わったニックネームね」

//<0192> 音無
<0192> 音無

//<0193> クソ坊主
<0193> クソ坊主

//<0194> 代理人
<0194> 代理人

//<0195> 微妙すぎるイケメン
<0195> 微妙すぎるイケメン

//<0196> ロリコン
<0196> ロリコン

//<0197> メガネ仲間
<0197> メガネ仲間

//<0198> 暗算日本記録保持者
<0198> 暗算日本記録保持者

//<0199> 通り魔
<0199> 通り魔

//<0200> 記憶ナシ男
<0200> 記憶ナシ男

//<0201> 音速
<0201> 音速

//<0202> 無限
<0202> 無限

//<0203> エロ侍
<0203> エロ侍

//<0204> エロエロ団ナンバー１
<0204> エロエロ団ナンバー１

//<0205> ただのエロ少年
<0205> ただのエロ少年

//<0206> ユリブサイク
<0206> ユリブサイク

//<0207> ドピュッシー
<0207> ドピュッシー

//<0208> アメリカンエロドッグ
<0208> アメリカンエロドッグ

//<0209> ゼウス
<0209> ゼウス

//<0210> 日向markⅡ
<0210> 日向markⅡ

//<0211> 糞虫
<0211> 糞虫

//<0212> 量産型日向
<0212> 量産型日向

//<0213> ？？
<0213> ？？

//<0214> 「自らに課した十字架のようものだ。そう呼んでくれ」
<0214> 「自らに課した十字架のようものだ。そう呼んでくれ」

//<0215> nothing
<0215> nothing

//<0216> nothing
<0216> nothing

//<0217> nothing
<0217> nothing

//<0218> nothing
<0218> nothing

//<0219> nothing
<0219> nothing

//<0220> 天使
<0220> 天使

//<0221> かなで
<0221> かなで

//<0222> 女生徒
<0222> 女生徒

//<0223> ？？
<0223> ？？

//<0224> 「何か思い出した？」
<0224> 「何か思い出した？」

//<0225> 音無
<0225> 音無

//<0226> クソ坊主
<0226> クソ坊主

//<0227> 代理人
<0227> 代理人

//<0228> 微妙すぎるイケメン
<0228> 微妙すぎるイケメン

//<0229> ロリコン
<0229> ロリコン

//<0230> メガネ仲間
<0230> メガネ仲間

//<0231> 暗算日本記録保持者
<0231> 暗算日本記録保持者

//<0232> 通り魔
<0232> 通り魔

//<0233> 記憶ナシ男
<0233> 記憶ナシ男

//<0234> 音速
<0234> 音速

//<0235> 無限
<0235> 無限

//<0236> エロ侍
<0236> エロ侍

//<0237> エロエロ団ナンバー１
<0237> エロエロ団ナンバー１

//<0238> ただのエロ少年
<0238> ただのエロ少年

//<0239> ユリブサイク
<0239> ユリブサイク

//<0240> ドピュッシー
<0240> ドピュッシー

//<0241> アメリカンエロドッグ
<0241> アメリカンエロドッグ

//<0242> ゼウス
<0242> ゼウス

//<0243> 日向markⅡ
<0243> 日向markⅡ

//<0244> 糞虫
<0244> 糞虫

//<0245> 量産型日向
<0245> 量産型日向

//<0246> ？？
<0246> ？？

//<0247> 「いや、思い出してはいないんだが…お前に用があってさ」
<0247> 「いや、思い出してはいないんだが…お前に用があってさ」

//<0248> nothing
<0248> nothing

//<0249> nothing
<0249> nothing

//<0250> nothing
<0250> nothing

//<0251> nothing
<0251> nothing

//<0252> nothing
<0252> nothing

//<0253> 天使
<0253> 天使

//<0254> かなで
<0254> かなで

//<0255> 女生徒
<0255> 女生徒

//<0256> ？？
<0256> ？？

//<0257> 「なに？」
<0257> 「なに？」

//<0258> 白
<0258> 白

//<0259> nothing
<0259> nothing

//<0260> nothing
<0260> nothing

//<0261> nothing
<0261> nothing

//<0262> nothing
<0262> nothing

//<0263> nothing
<0263> nothing

//<0264> ゆり
<0264> ゆり

//<0265> 女生徒
<0265> 女生徒

//<0266> ？？
<0266> ？？

//<0267> 「そういう世界の根幹に関する質問にはノーコメント」
<0267> 「そういう世界の根幹に関する質問にはノーコメント」

//<0268> nothing
<0268> nothing

//<0269> 
<0269> 

//<0270> 
<0270> 

//<0271> nothing
<0271> nothing

//<0272> 直球の質問を投げかけても、ノーコメントに終わるだろう…。
<0272> 直球の質問を投げかけても、ノーコメントに終わるだろう…。

//<0273> この世界で一番偉い人は？
<0273> この世界で一番偉い人は？

//<0274> 好きな偉人は？
<0274> 好きな偉人は？

//<0275> 好きなアーティストは？
<0275> 好きなアーティストは？

//<0276> selbtn : 
<0276> selbtn : 

//<0277> 音無
<0277> 音無

//<0278> クソ坊主
<0278> クソ坊主

//<0279> 代理人
<0279> 代理人

//<0280> 微妙すぎるイケメン
<0280> 微妙すぎるイケメン

//<0281> ロリコン
<0281> ロリコン

//<0282> メガネ仲間
<0282> メガネ仲間

//<0283> 暗算日本記録保持者
<0283> 暗算日本記録保持者

//<0284> 通り魔
<0284> 通り魔

//<0285> 記憶ナシ男
<0285> 記憶ナシ男

//<0286> 音速
<0286> 音速

//<0287> 無限
<0287> 無限

//<0288> エロ侍
<0288> エロ侍

//<0289> エロエロ団ナンバー１
<0289> エロエロ団ナンバー１

//<0290> ただのエロ少年
<0290> ただのエロ少年

//<0291> ユリブサイク
<0291> ユリブサイク

//<0292> ドピュッシー
<0292> ドピュッシー

//<0293> アメリカンエロドッグ
<0293> アメリカンエロドッグ

//<0294> ゼウス
<0294> ゼウス

//<0295> 日向markⅡ
<0295> 日向markⅡ

//<0296> 糞虫
<0296> 糞虫

//<0297> 量産型日向
<0297> 量産型日向

//<0298> ？？
<0298> ？？

//<0299> 「この世界で一番偉い人は？」
<0299> 「この世界で一番偉い人は？」

//<0300> nothing
<0300> nothing

//<0301> nothing
<0301> nothing

//<0302> nothing
<0302> nothing

//<0303> nothing
<0303> nothing

//<0304> nothing
<0304> nothing

//<0305> 天使
<0305> 天使

//<0306> かなで
<0306> かなで

//<0307> 女生徒
<0307> 女生徒

//<0308> ？？
<0308> ？？

//<0309> 「理事長」
<0309> 「理事長」

//<0310> 音無
<0310> 音無

//<0311> クソ坊主
<0311> クソ坊主

//<0312> 代理人
<0312> 代理人

//<0313> 微妙すぎるイケメン
<0313> 微妙すぎるイケメン

//<0314> ロリコン
<0314> ロリコン

//<0315> メガネ仲間
<0315> メガネ仲間

//<0316> 暗算日本記録保持者
<0316> 暗算日本記録保持者

//<0317> 通り魔
<0317> 通り魔

//<0318> 記憶ナシ男
<0318> 記憶ナシ男

//<0319> 音速
<0319> 音速

//<0320> 無限
<0320> 無限

//<0321> エロ侍
<0321> エロ侍

//<0322> エロエロ団ナンバー１
<0322> エロエロ団ナンバー１

//<0323> ただのエロ少年
<0323> ただのエロ少年

//<0324> ユリブサイク
<0324> ユリブサイク

//<0325> ドピュッシー
<0325> ドピュッシー

//<0326> アメリカンエロドッグ
<0326> アメリカンエロドッグ

//<0327> ゼウス
<0327> ゼウス

//<0328> 日向markⅡ
<0328> 日向markⅡ

//<0329> 糞虫
<0329> 糞虫

//<0330> 量産型日向
<0330> 量産型日向

//<0331> ？？
<0331> ？？

//<0332> 「その上は？」
<0332> 「その上は？」

//<0333> nothing
<0333> nothing

//<0334> nothing
<0334> nothing

//<0335> nothing
<0335> nothing

//<0336> nothing
<0336> nothing

//<0337> nothing
<0337> nothing

//<0338> 天使
<0338> 天使

//<0339> かなで
<0339> かなで

//<0340> 女生徒
<0340> 女生徒

//<0341> ？？
<0341> ？？

//<0342> 「居ないわ」
<0342> 「居ないわ」

//<0343> 音無
<0343> 音無

//<0344> クソ坊主
<0344> クソ坊主

//<0345> 代理人
<0345> 代理人

//<0346> 微妙すぎるイケメン
<0346> 微妙すぎるイケメン

//<0347> ロリコン
<0347> ロリコン

//<0348> メガネ仲間
<0348> メガネ仲間

//<0349> 暗算日本記録保持者
<0349> 暗算日本記録保持者

//<0350> 通り魔
<0350> 通り魔

//<0351> 記憶ナシ男
<0351> 記憶ナシ男

//<0352> 音速
<0352> 音速

//<0353> 無限
<0353> 無限

//<0354> エロ侍
<0354> エロ侍

//<0355> エロエロ団ナンバー１
<0355> エロエロ団ナンバー１

//<0356> ただのエロ少年
<0356> ただのエロ少年

//<0357> ユリブサイク
<0357> ユリブサイク

//<0358> ドピュッシー
<0358> ドピュッシー

//<0359> アメリカンエロドッグ
<0359> アメリカンエロドッグ

//<0360> ゼウス
<0360> ゼウス

//<0361> 日向markⅡ
<0361> 日向markⅡ

//<0362> 糞虫
<0362> 糞虫

//<0363> 量産型日向
<0363> 量産型日向

//<0364> ？？
<0364> ？？

//<0365> 「じゃあ、その理事長はどこに居る？」
<0365> 「じゃあ、その理事長はどこに居る？」

//<0366> nothing
<0366> nothing

//<0367> nothing
<0367> nothing

//<0368> nothing
<0368> nothing

//<0369> nothing
<0369> nothing

//<0370> nothing
<0370> nothing

//<0371> 天使
<0371> 天使

//<0372> かなで
<0372> かなで

//<0373> 女生徒
<0373> 女生徒

//<0374> ？？
<0374> ？？

//<0375> 「さて。会ったことはないわ」
<0375> 「さて。会ったことはないわ」

//<0376> 音無
<0376> 音無

//<0377> クソ坊主
<0377> クソ坊主

//<0378> 代理人
<0378> 代理人

//<0379> 微妙すぎるイケメン
<0379> 微妙すぎるイケメン

//<0380> ロリコン
<0380> ロリコン

//<0381> メガネ仲間
<0381> メガネ仲間

//<0382> 暗算日本記録保持者
<0382> 暗算日本記録保持者

//<0383> 通り魔
<0383> 通り魔

//<0384> 記憶ナシ男
<0384> 記憶ナシ男

//<0385> 音速
<0385> 音速

//<0386> 無限
<0386> 無限

//<0387> エロ侍
<0387> エロ侍

//<0388> エロエロ団ナンバー１
<0388> エロエロ団ナンバー１

//<0389> ただのエロ少年
<0389> ただのエロ少年

//<0390> ユリブサイク
<0390> ユリブサイク

//<0391> ドピュッシー
<0391> ドピュッシー

//<0392> アメリカンエロドッグ
<0392> アメリカンエロドッグ

//<0393> ゼウス
<0393> ゼウス

//<0394> 日向markⅡ
<0394> 日向markⅡ

//<0395> 糞虫
<0395> 糞虫

//<0396> 量産型日向
<0396> 量産型日向

//<0397> ？？
<0397> ？？

//<0398> 「教師に訊けば、わかるだろ」
<0398> 「教師に訊けば、わかるだろ」

//<0399> nothing
<0399> nothing

//<0400> nothing
<0400> nothing

//<0401> nothing
<0401> nothing

//<0402> nothing
<0402> nothing

//<0403> nothing
<0403> nothing

//<0404> 天使
<0404> 天使

//<0405> かなで
<0405> かなで

//<0406> 女生徒
<0406> 女生徒

//<0407> ？？
<0407> ？？

//<0408> 「わかるかもしれないけど、用がないわ」
<0408> 「わかるかもしれないけど、用がないわ」

//<0409> のらりくらりと核心だけはうやむやにされる。
<0409> のらりくらりと核心だけはうやむやにされる。

//<0410> 音無
<0410> 音無

//<0411> クソ坊主
<0411> クソ坊主

//<0412> 代理人
<0412> 代理人

//<0413> 微妙すぎるイケメン
<0413> 微妙すぎるイケメン

//<0414> ロリコン
<0414> ロリコン

//<0415> メガネ仲間
<0415> メガネ仲間

//<0416> 暗算日本記録保持者
<0416> 暗算日本記録保持者

//<0417> 通り魔
<0417> 通り魔

//<0418> 記憶ナシ男
<0418> 記憶ナシ男

//<0419> 音速
<0419> 音速

//<0420> 無限
<0420> 無限

//<0421> エロ侍
<0421> エロ侍

//<0422> エロエロ団ナンバー１
<0422> エロエロ団ナンバー１

//<0423> ただのエロ少年
<0423> ただのエロ少年

//<0424> ユリブサイク
<0424> ユリブサイク

//<0425> ドピュッシー
<0425> ドピュッシー

//<0426> アメリカンエロドッグ
<0426> アメリカンエロドッグ

//<0427> ゼウス
<0427> ゼウス

//<0428> 日向markⅡ
<0428> 日向markⅡ

//<0429> 糞虫
<0429> 糞虫

//<0430> 量産型日向
<0430> 量産型日向

//<0431> ？？
<0431> ？？

//<0432> 「好きな偉人は？」
<0432> 「好きな偉人は？」

//<0433> nothing
<0433> nothing

//<0434> nothing
<0434> nothing

//<0435> nothing
<0435> nothing

//<0436> nothing
<0436> nothing

//<0437> nothing
<0437> nothing

//<0438> 天使
<0438> 天使

//<0439> かなで
<0439> かなで

//<0440> 女生徒
<0440> 女生徒

//<0441> ？？
<0441> ？？

//<0442> 「偉人…そうね…」
<0442> 「偉人…そうね…」

//<0443> nothing
<0443> nothing

//<0444> nothing
<0444> nothing

//<0445> nothing
<0445> nothing

//<0446> nothing
<0446> nothing

//<0447> nothing
<0447> nothing

//<0448> 天使
<0448> 天使

//<0449> かなで
<0449> かなで

//<0450> 女生徒
<0450> 女生徒

//<0451> ？？
<0451> ？？

//<0452> 「ヘレン・ケラー、ナイチンゲール、マザー・テレサ、織田信長、エジソン、野口英世…挙げていったら、キリがないわ」
<0452> 「ヘレン・ケラー、ナイチンゲール、マザー・テレサ、織田信長、エジソン、野口英世…挙げていったら、キリがないわ」

//<0453> 普通の返答で終わってしまった。
<0453> 普通の返答で終わってしまった。

//<0454> 音無
<0454> 音無

//<0455> クソ坊主
<0455> クソ坊主

//<0456> 代理人
<0456> 代理人

//<0457> 微妙すぎるイケメン
<0457> 微妙すぎるイケメン

//<0458> ロリコン
<0458> ロリコン

//<0459> メガネ仲間
<0459> メガネ仲間

//<0460> 暗算日本記録保持者
<0460> 暗算日本記録保持者

//<0461> 通り魔
<0461> 通り魔

//<0462> 記憶ナシ男
<0462> 記憶ナシ男

//<0463> 音速
<0463> 音速

//<0464> 無限
<0464> 無限

//<0465> エロ侍
<0465> エロ侍

//<0466> エロエロ団ナンバー１
<0466> エロエロ団ナンバー１

//<0467> ただのエロ少年
<0467> ただのエロ少年

//<0468> ユリブサイク
<0468> ユリブサイク

//<0469> ドピュッシー
<0469> ドピュッシー

//<0470> アメリカンエロドッグ
<0470> アメリカンエロドッグ

//<0471> ゼウス
<0471> ゼウス

//<0472> 日向markⅡ
<0472> 日向markⅡ

//<0473> 糞虫
<0473> 糞虫

//<0474> 量産型日向
<0474> 量産型日向

//<0475> ？？
<0475> ？？

//<0476> 「好きなアーティストは？」
<0476> 「好きなアーティストは？」

//<0477> nothing
<0477> nothing

//<0478> nothing
<0478> nothing

//<0479> nothing
<0479> nothing

//<0480> nothing
<0480> nothing

//<0481> nothing
<0481> nothing

//<0482> 天使
<0482> 天使

//<0483> かなで
<0483> かなで

//<0484> 女生徒
<0484> 女生徒

//<0485> ？？
<0485> ？？

//<0486> 「難しい質問ね…」
<0486> 「難しい質問ね…」

//<0487> 音無
<0487> 音無

//<0488> クソ坊主
<0488> クソ坊主

//<0489> 代理人
<0489> 代理人

//<0490> 微妙すぎるイケメン
<0490> 微妙すぎるイケメン

//<0491> ロリコン
<0491> ロリコン

//<0492> メガネ仲間
<0492> メガネ仲間

//<0493> 暗算日本記録保持者
<0493> 暗算日本記録保持者

//<0494> 通り魔
<0494> 通り魔

//<0495> 記憶ナシ男
<0495> 記憶ナシ男

//<0496> 音速
<0496> 音速

//<0497> 無限
<0497> 無限

//<0498> エロ侍
<0498> エロ侍

//<0499> エロエロ団ナンバー１
<0499> エロエロ団ナンバー１

//<0500> ただのエロ少年
<0500> ただのエロ少年

//<0501> ユリブサイク
<0501> ユリブサイク

//<0502> ドピュッシー
<0502> ドピュッシー

//<0503> アメリカンエロドッグ
<0503> アメリカンエロドッグ

//<0504> ゼウス
<0504> ゼウス

//<0505> 日向markⅡ
<0505> 日向markⅡ

//<0506> 糞虫
<0506> 糞虫

//<0507> 量産型日向
<0507> 量産型日向

//<0508> ？？
<0508> ？？

//<0509> 「ガルデモは？」
<0509> 「ガルデモは？」

//<0510> nothing
<0510> nothing

//<0511> nothing
<0511> nothing

//<0512> nothing
<0512> nothing

//<0513> nothing
<0513> nothing

//<0514> nothing
<0514> nothing

//<0515> 天使
<0515> 天使

//<0516> かなで
<0516> かなで

//<0517> 女生徒
<0517> 女生徒

//<0518> ？？
<0518> ？？

//<0519> 「がるでも？」
<0519> 「がるでも？」

//<0520> 音無
<0520> 音無

//<0521> クソ坊主
<0521> クソ坊主

//<0522> 代理人
<0522> 代理人

//<0523> 微妙すぎるイケメン
<0523> 微妙すぎるイケメン

//<0524> ロリコン
<0524> ロリコン

//<0525> メガネ仲間
<0525> メガネ仲間

//<0526> 暗算日本記録保持者
<0526> 暗算日本記録保持者

//<0527> 通り魔
<0527> 通り魔

//<0528> 記憶ナシ男
<0528> 記憶ナシ男

//<0529> 音速
<0529> 音速

//<0530> 無限
<0530> 無限

//<0531> エロ侍
<0531> エロ侍

//<0532> エロエロ団ナンバー１
<0532> エロエロ団ナンバー１

//<0533> ただのエロ少年
<0533> ただのエロ少年

//<0534> ユリブサイク
<0534> ユリブサイク

//<0535> ドピュッシー
<0535> ドピュッシー

//<0536> アメリカンエロドッグ
<0536> アメリカンエロドッグ

//<0537> ゼウス
<0537> ゼウス

//<0538> 日向markⅡ
<0538> 日向markⅡ

//<0539> 糞虫
<0539> 糞虫

//<0540> 量産型日向
<0540> 量産型日向

//<0541> ？？
<0541> ？？

//<0542> 「ゲリラライブしている女子四人のバンド名の略称だよ」
<0542> 「ゲリラライブしている女子四人のバンド名の略称だよ」

//<0543> nothing
<0543> nothing

//<0544> nothing
<0544> nothing

//<0545> nothing
<0545> nothing

//<0546> nothing
<0546> nothing

//<0547> nothing
<0547> nothing

//<0548> 天使
<0548> 天使

//<0549> かなで
<0549> かなで

//<0550> 女生徒
<0550> 女生徒

//<0551> ？？
<0551> ？？

//<0552> 「ああ、あの人たちね」
<0552> 「ああ、あの人たちね」

//<0553> nothing
<0553> nothing

//<0554> nothing
<0554> nothing

//<0555> nothing
<0555> nothing

