// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> se_kazekiri3
<0000> se_kazekiri3
//<0082> イケパイ
<0082> イケパイ

//<0083> 男
<0083> 男

//<0084> ？？
<0084> ？？

//<0085> 「とにかく、筋トレだ」
<0085> 「とにかく、筋トレだ」

//<0086> 音無
<0086> 音無

//<0087> クソ坊主
<0087> クソ坊主

//<0088> 代理人
<0088> 代理人

//<0089> 微妙すぎるイケメン
<0089> 微妙すぎるイケメン

//<0090> ロリコン
<0090> ロリコン

//<0091> メガネ仲間
<0091> メガネ仲間

//<0092> 暗算日本記録保持者
<0092> 暗算日本記録保持者

//<0093> 通り魔
<0093> 通り魔

//<0094> 記憶ナシ男
<0094> 記憶ナシ男

//<0095> 音速
<0095> 音速

//<0096> 無限
<0096> 無限

//<0097> エロ侍
<0097> エロ侍

//<0098> エロエロ団ナンバー１
<0098> エロエロ団ナンバー１

//<0099> ただのエロ少年
<0099> ただのエロ少年

//<0100> ユリブサイク
<0100> ユリブサイク

//<0101> ドピュッシー
<0101> ドピュッシー

//<0102> アメリカンエロドッグ
<0102> アメリカンエロドッグ

//<0103> ゼウス
<0103> ゼウス

//<0104> 日向markⅡ
<0104> 日向markⅡ

//<0105> 糞虫
<0105> 糞虫

//<0106> 量産型日向
<0106> 量産型日向

//<0107> ？？
<0107> ？？

//<0108> 「筋トレか…」
<0108> 「筋トレか…」

//<0109> 前回の猛烈な特訓を思い出す。
<0109> 前回の猛烈な特訓を思い出す。

//<0110> 俺がへとへとになるほどの猛特訓をした後に、さらに野田は体を動かしていた。
<0110> 俺がへとへとになるほどの猛特訓をした後に、さらに野田は体を動かしていた。

//<0111> 何十年という差は大きいのかもしれない。
<0111> 何十年という差は大きいのかもしれない。

//<0112> nothing
<0112> nothing

//<0113> nothing
<0113> nothing

//<0114> nothing
<0114> nothing

//<0115> nothing
<0115> nothing

//<0116> nothing
<0116> nothing

//<0117> 野田
<0117> 野田

//<0118> 男Ｆ
<0118> 男Ｆ

//<0119> イケパイ
<0119> イケパイ

//<0120> 男
<0120> 男

//<0121> ？？
<0121> ？？

//<0122> 「まず、武器を持てるだけの筋力を身につけないとな」
<0122> 「まず、武器を持てるだけの筋力を身につけないとな」

//<0123> 確かに、野田のハルバートは重い。
<0123> 確かに、野田のハルバートは重い。

//<0124> 両手で持つのが精一杯だ。
<0124> 両手で持つのが精一杯だ。

//<0125> それを、あいつは軽々と扱う。
<0125> それを、あいつは軽々と扱う。

//<0126> 音無
<0126> 音無

//<0127> クソ坊主
<0127> クソ坊主

//<0128> 代理人
<0128> 代理人

//<0129> 微妙すぎるイケメン
<0129> 微妙すぎるイケメン

//<0130> ロリコン
<0130> ロリコン

//<0131> メガネ仲間
<0131> メガネ仲間

//<0132> 暗算日本記録保持者
<0132> 暗算日本記録保持者

//<0133> 通り魔
<0133> 通り魔

//<0134> 記憶ナシ男
<0134> 記憶ナシ男

//<0135> 音速
<0135> 音速

//<0136> 無限
<0136> 無限

//<0137> エロ侍
<0137> エロ侍

//<0138> エロエロ団ナンバー１
<0138> エロエロ団ナンバー１

//<0139> ただのエロ少年
<0139> ただのエロ少年

//<0140> ユリブサイク
<0140> ユリブサイク

//<0141> ドピュッシー
<0141> ドピュッシー

//<0142> アメリカンエロドッグ
<0142> アメリカンエロドッグ

//<0143> ゼウス
<0143> ゼウス

//<0144> 日向markⅡ
<0144> 日向markⅡ

//<0145> 糞虫
<0145> 糞虫

//<0146> 量産型日向
<0146> 量産型日向

//<0147> ？？
<0147> ？？

//<0148> 「俺は何をすれば良い？」
<0148> 「俺は何をすれば良い？」

//<0149> nothing
<0149> nothing

//<0150> nothing
<0150> nothing

//<0151> nothing
<0151> nothing

//<0152> nothing
<0152> nothing

//<0153> nothing
<0153> nothing

//<0154> 野田
<0154> 野田

//<0155> 男Ｆ
<0155> 男Ｆ

//<0156> イケパイ
<0156> イケパイ

//<0157> 男
<0157> 男

//<0158> ？？
<0158> ？？

//<0159> 「ウエイトトレーニングだろう」
<0159> 「ウエイトトレーニングだろう」

//<0160> nothing
<0160> nothing

//<0161> nothing
<0161> nothing

//<0162> nothing
<0162> nothing

//<0163> nothing
<0163> nothing

//<0164> nothing
<0164> nothing

//<0165> 野田
<0165> 野田

//<0166> 男Ｆ
<0166> 男Ｆ

//<0167> イケパイ
<0167> イケパイ

//<0168> 男
<0168> 男

//<0169> ？？
<0169> ？？

//<0170> 「だが、前と同じじゃ意味がない」
<0170> 「だが、前と同じじゃ意味がない」

//<0171> nothing
<0171> nothing

//<0172> nothing
<0172> nothing

//<0173> nothing
<0173> nothing

//<0174> nothing
<0174> nothing

//<0175> nothing
<0175> nothing

//<0176> 野田
<0176> 野田

//<0177> 男Ｆ
<0177> 男Ｆ

//<0178> イケパイ
<0178> イケパイ

//<0179> 男
<0179> 男

//<0180> ？？
<0180> ？？

//<0181> 「適度な重しを背中に乗せて、腕立て三十回からだ」
<0181> 「適度な重しを背中に乗せて、腕立て三十回からだ」

//<0182> 音無
<0182> 音無

//<0183> クソ坊主
<0183> クソ坊主

//<0184> 代理人
<0184> 代理人

//<0185> 微妙すぎるイケメン
<0185> 微妙すぎるイケメン

//<0186> ロリコン
<0186> ロリコン

//<0187> メガネ仲間
<0187> メガネ仲間

//<0188> 暗算日本記録保持者
<0188> 暗算日本記録保持者

//<0189> 通り魔
<0189> 通り魔

//<0190> 記憶ナシ男
<0190> 記憶ナシ男

//<0191> 音速
<0191> 音速

//<0192> 無限
<0192> 無限

//<0193> エロ侍
<0193> エロ侍

//<0194> エロエロ団ナンバー１
<0194> エロエロ団ナンバー１

//<0195> ただのエロ少年
<0195> ただのエロ少年

//<0196> ユリブサイク
<0196> ユリブサイク

//<0197> ドピュッシー
<0197> ドピュッシー

//<0198> アメリカンエロドッグ
<0198> アメリカンエロドッグ

//<0199> ゼウス
<0199> ゼウス

//<0200> 日向markⅡ
<0200> 日向markⅡ

//<0201> 糞虫
<0201> 糞虫

//<0202> 量産型日向
<0202> 量産型日向

//<0203> ？？
<0203> ？？

//<0204> 「重し…？」
<0204> 「重し…？」

//<0205> 確かに前回よりも、さらにハードだ。
<0205> 確かに前回よりも、さらにハードだ。

//<0206> 音無
<0206> 音無

//<0207> クソ坊主
<0207> クソ坊主

//<0208> 代理人
<0208> 代理人

//<0209> 微妙すぎるイケメン
<0209> 微妙すぎるイケメン

//<0210> ロリコン
<0210> ロリコン

//<0211> メガネ仲間
<0211> メガネ仲間

//<0212> 暗算日本記録保持者
<0212> 暗算日本記録保持者

//<0213> 通り魔
<0213> 通り魔

//<0214> 記憶ナシ男
<0214> 記憶ナシ男

//<0215> 音速
<0215> 音速

//<0216> 無限
<0216> 無限

//<0217> エロ侍
<0217> エロ侍

//<0218> エロエロ団ナンバー１
<0218> エロエロ団ナンバー１

//<0219> ただのエロ少年
<0219> ただのエロ少年

//<0220> ユリブサイク
<0220> ユリブサイク

//<0221> ドピュッシー
<0221> ドピュッシー

//<0222> アメリカンエロドッグ
<0222> アメリカンエロドッグ

//<0223> ゼウス
<0223> ゼウス

//<0224> 日向markⅡ
<0224> 日向markⅡ

//<0225> 糞虫
<0225> 糞虫

//<0226> 量産型日向
<0226> 量産型日向

//<0227> ？？
<0227> ？？

//<0228> 「だが、何がある？」
<0228> 「だが、何がある？」

//<0229> nothing
<0229> nothing

//<0230> nothing
<0230> nothing

//<0231> nothing
<0231> nothing

//<0232> nothing
<0232> nothing

//<0233> nothing
<0233> nothing

//<0234> 野田
<0234> 野田

//<0235> 男Ｆ
<0235> 男Ｆ

//<0236> イケパイ
<0236> イケパイ

//<0237> 男
<0237> 男

//<0238> ？？
<0238> ？？

//<0239> 「ここは、やはり人間が手っ取り早いだろう」
<0239> 「ここは、やはり人間が手っ取り早いだろう」

//<0240> 誰かが俺の上に乗って、腕立てか。
<0240> 誰かが俺の上に乗って、腕立てか。

//<0241> 確かにトレーニングになりそうだ。
<0241> 確かにトレーニングになりそうだ。

//<0242> 音無
<0242> 音無

//<0243> クソ坊主
<0243> クソ坊主

//<0244> 代理人
<0244> 代理人

//<0245> 微妙すぎるイケメン
<0245> 微妙すぎるイケメン

//<0246> ロリコン
<0246> ロリコン

//<0247> メガネ仲間
<0247> メガネ仲間

//<0248> 暗算日本記録保持者
<0248> 暗算日本記録保持者

//<0249> 通り魔
<0249> 通り魔

//<0250> 記憶ナシ男
<0250> 記憶ナシ男

//<0251> 音速
<0251> 音速

//<0252> 無限
<0252> 無限

//<0253> エロ侍
<0253> エロ侍

//<0254> エロエロ団ナンバー１
<0254> エロエロ団ナンバー１

//<0255> ただのエロ少年
<0255> ただのエロ少年

//<0256> ユリブサイク
<0256> ユリブサイク

//<0257> ドピュッシー
<0257> ドピュッシー

//<0258> アメリカンエロドッグ
<0258> アメリカンエロドッグ

//<0259> ゼウス
<0259> ゼウス

//<0260> 日向markⅡ
<0260> 日向markⅡ

//<0261> 糞虫
<0261> 糞虫

//<0262> 量産型日向
<0262> 量産型日向

//<0263> ？？
<0263> ？？

//<0264> 「誰を乗せるか…」
<0264> 「誰を乗せるか…」

//<0265> nothing
<0265> nothing

//<0266> nothing
<0266> nothing

//<0267> nothing
<0267> nothing

//<0268> nothing
<0268> nothing

//<0269> nothing
<0269> nothing

//<0270> nothing
<0270> nothing

//<0271> 一番重たいのは、五段だが。いきなりは辛いだろう。
<0271> 一番重たいのは、五段だが。いきなりは辛いだろう。

//<0272> 音無
<0272> 音無

//<0273> クソ坊主
<0273> クソ坊主

//<0274> 代理人
<0274> 代理人

//<0275> 微妙すぎるイケメン
<0275> 微妙すぎるイケメン

//<0276> ロリコン
<0276> ロリコン

//<0277> メガネ仲間
<0277> メガネ仲間

//<0278> 暗算日本記録保持者
<0278> 暗算日本記録保持者

//<0279> 通り魔
<0279> 通り魔

//<0280> 記憶ナシ男
<0280> 記憶ナシ男

//<0281> 音速
<0281> 音速

//<0282> 無限
<0282> 無限

//<0283> エロ侍
<0283> エロ侍

//<0284> エロエロ団ナンバー１
<0284> エロエロ団ナンバー１

//<0285> ただのエロ少年
<0285> ただのエロ少年

//<0286> ユリブサイク
<0286> ユリブサイク

//<0287> ドピュッシー
<0287> ドピュッシー

//<0288> アメリカンエロドッグ
<0288> アメリカンエロドッグ

//<0289> ゼウス
<0289> ゼウス

//<0290> 日向markⅡ
<0290> 日向markⅡ

//<0291> 糞虫
<0291> 糞虫

//<0292> 量産型日向
<0292> 量産型日向

//<0293> ？？
<0293> ？？

//<0294> 「まずは、軽いところから慣らしていきたいな」
<0294> 「まずは、軽いところから慣らしていきたいな」

//<0295> 音無
<0295> 音無

//<0296> クソ坊主
<0296> クソ坊主

//<0297> 代理人
<0297> 代理人

//<0298> 微妙すぎるイケメン
<0298> 微妙すぎるイケメン

//<0299> ロリコン
<0299> ロリコン

//<0300> メガネ仲間
<0300> メガネ仲間

//<0301> 暗算日本記録保持者
<0301> 暗算日本記録保持者

//<0302> 通り魔
<0302> 通り魔

//<0303> 記憶ナシ男
<0303> 記憶ナシ男

//<0304> 音速
<0304> 音速

//<0305> 無限
<0305> 無限

//<0306> エロ侍
<0306> エロ侍

//<0307> エロエロ団ナンバー１
<0307> エロエロ団ナンバー１

//<0308> ただのエロ少年
<0308> ただのエロ少年

//<0309> ユリブサイク
<0309> ユリブサイク

//<0310> ドピュッシー
<0310> ドピュッシー

//<0311> アメリカンエロドッグ
<0311> アメリカンエロドッグ

//<0312> ゼウス
<0312> ゼウス

//<0313> 日向markⅡ
<0313> 日向markⅡ

//<0314> 糞虫
<0314> 糞虫

//<0315> 量産型日向
<0315> 量産型日向

//<0316> ？？
<0316> ？？

//<0317> 「女子のほうがいいだろう…例えば、ゆりとか」
<0317> 「女子のほうがいいだろう…例えば、ゆりとか」

//<0318> nothing
<0318> nothing

//<0319> nothing
<0319> nothing

//<0320> nothing
<0320> nothing

//<0321> nothing
<0321> nothing

//<0322> nothing
<0322> nothing

//<0323> 野田
<0323> 野田

//<0324> 男Ｆ
<0324> 男Ｆ

//<0325> イケパイ
<0325> イケパイ

//<0326> 男
<0326> 男

//<0327> ？？
<0327> ？？

//<0328> 「ゆるさーーーーーーーんっっ！！」
<0328> 「ゆるさーーーーーーーんっっ！！」

//<0329> nothing
<0329> nothing

//<0330> nothing
<0330> nothing

//<0331> nothing
<0331> nothing

//<0332> nothing
<0332> nothing

//<0333> nothing
<0333> nothing

//<0334> 音無
<0334> 音無

//<0335> クソ坊主
<0335> クソ坊主

//<0336> 代理人
<0336> 代理人

//<0337> 微妙すぎるイケメン
<0337> 微妙すぎるイケメン

//<0338> ロリコン
<0338> ロリコン

//<0339> メガネ仲間
<0339> メガネ仲間

//<0340> 暗算日本記録保持者
<0340> 暗算日本記録保持者

//<0341> 通り魔
<0341> 通り魔

//<0342> 記憶ナシ男
<0342> 記憶ナシ男

//<0343> 音速
<0343> 音速

//<0344> 無限
<0344> 無限

//<0345> エロ侍
<0345> エロ侍

//<0346> エロエロ団ナンバー１
<0346> エロエロ団ナンバー１

//<0347> ただのエロ少年
<0347> ただのエロ少年

//<0348> ユリブサイク
<0348> ユリブサイク

//<0349> ドピュッシー
<0349> ドピュッシー

//<0350> アメリカンエロドッグ
<0350> アメリカンエロドッグ

//<0351> ゼウス
<0351> ゼウス

//<0352> 日向markⅡ
<0352> 日向markⅡ

//<0353> 糞虫
<0353> 糞虫

//<0354> 量産型日向
<0354> 量産型日向

//<0355> ？？
<0355> ？？

//<0356> 「いきなり、大声出すなよっ」
<0356> 「いきなり、大声出すなよっ」

//<0357> nothing
<0357> nothing

//<0358> nothing
<0358> nothing

//<0359> nothing
<0359> nothing

//<0360> nothing
<0360> nothing

//<0361> nothing
<0361> nothing

//<0362> 野田
<0362> 野田

//<0363> 男Ｆ
<0363> 男Ｆ

//<0364> イケパイ
<0364> イケパイ

//<0365> 男
<0365> 男

//<0366> ？？
<0366> ？？

//<0367> 「ゆりっぺに上に乗ってもらおうなんて、俺でさえ考えたことないのに！」
<0367> 「ゆりっぺに上に乗ってもらおうなんて、俺でさえ考えたことないのに！」

//<0368> nothing
<0368> nothing

//<0369> nothing
<0369> nothing

//<0370> nothing
<0370> nothing

//<0371> nothing
<0371> nothing

//<0372> nothing
<0372> nothing

//<0373> 野田
<0373> 野田

//<0374> 男Ｆ
<0374> 男Ｆ

//<0375> イケパイ
<0375> イケパイ

//<0376> 男
<0376> 男

//<0377> ？？
<0377> ？？
{a559} 33 // 0377

//<0378> 「なんて、うら…いや、けしからん考えだ」
<0378> 「なんて、うら…いや、けしからん考えだ」

//<0379> nothing
<0379> nothing

//<0380> nothing
<0380> nothing

//<0381> nothing
<0381> nothing

//<0382> nothing
<0382> nothing

//<0383> nothing
<0383> nothing

//<0384> nothing
<0384> nothing

//<0385> nothing
<0385> nothing

//<0386> nothing
<0386> nothing

//<0387> nothing
<0387> nothing

//<0388> nothing
<0388> nothing

//<0389> 野田
<0389> 野田

//<0390> 男Ｆ
<0390> 男Ｆ

//<0391> イケパイ
<0391> イケパイ

//<0392> 男
<0392> 男

//<0393> ？？
<0393> ？？

//<0394> 「じゃなくて、ゆりっぺには体重なんてないからな！」
<0394> 「じゃなくて、ゆりっぺには体重なんてないからな！」

//<0395> nothing
<0395> nothing

//<0396> nothing
<0396> nothing

//<0397> nothing
<0397> nothing

//<0398> nothing
<0398> nothing

//<0399> nothing
<0399> nothing

//<0400> 野田
<0400> 野田

//<0401> 男Ｆ
<0401> 男Ｆ

//<0402> イケパイ
<0402> イケパイ

//<0403> 男
<0403> 男

//<0404> ？？
<0404> ？？

//<0405> 「ゆりっぺは、羽のように軽いから訓練にはならない」
<0405> 「ゆりっぺは、羽のように軽いから訓練にはならない」

//<0406> いや、あるだろう。死後の世界と言っても、俺たちは幽霊じゃないんだから。
<0406> いや、あるだろう。死後の世界と言っても、俺たちは幽霊じゃないんだから。

//<0407> 音無
<0407> 音無

//<0408> クソ坊主
<0408> クソ坊主

//<0409> 代理人
<0409> 代理人

//<0410> 微妙すぎるイケメン
<0410> 微妙すぎるイケメン

//<0411> ロリコン
<0411> ロリコン

//<0412> メガネ仲間
<0412> メガネ仲間

//<0413> 暗算日本記録保持者
<0413> 暗算日本記録保持者

//<0414> 通り魔
<0414> 通り魔

//<0415> 記憶ナシ男
<0415> 記憶ナシ男

//<0416> 音速
<0416> 音速

//<0417> 無限
<0417> 無限

//<0418> エロ侍
<0418> エロ侍

//<0419> エロエロ団ナンバー１
<0419> エロエロ団ナンバー１

//<0420> ただのエロ少年
<0420> ただのエロ少年

//<0421> ユリブサイク
<0421> ユリブサイク

//<0422> ドピュッシー
<0422> ドピュッシー

//<0423> アメリカンエロドッグ
<0423> アメリカンエロドッグ

//<0424> ゼウス
<0424> ゼウス

//<0425> 日向markⅡ
<0425> 日向markⅡ

//<0426> 糞虫
<0426> 糞虫

//<0427> 量産型日向
<0427> 量産型日向

//<0428> ？？
<0428> ？？

//<0429> 「まあ、例えで出しただけだ」
<0429> 「まあ、例えで出しただけだ」

//<0430> 
<0430> 

//<0431> nothing
<0431> nothing

//<0432> nothing
<0432> nothing

//<0433> nothing
<0433> nothing

//<0434> nothing
<0434> nothing

//<0435> nothing
<0435> nothing

//<0436> 野田
<0436> 野田

//<0437> 男Ｆ
<0437> 男Ｆ

//<0438> イケパイ
<0438> イケパイ

//<0439> 男
<0439> 男

//<0440> ？？
<0440> ？？

//<0441> 「だったら、俺が乗ろう」
<0441> 「だったら、俺が乗ろう」

//<0442> 音無
<0442> 音無

//<0443> クソ坊主
<0443> クソ坊主

//<0444> 代理人
<0444> 代理人

//<0445> 微妙すぎるイケメン
<0445> 微妙すぎるイケメン

//<0446> ロリコン
<0446> ロリコン

//<0447> メガネ仲間
<0447> メガネ仲間

//<0448> 暗算日本記録保持者
<0448> 暗算日本記録保持者

//<0449> 通り魔
<0449> 通り魔

//<0450> 記憶ナシ男
<0450> 記憶ナシ男

//<0451> 音速
<0451> 音速

//<0452> 無限
<0452> 無限

//<0453> エロ侍
<0453> エロ侍

//<0454> エロエロ団ナンバー１
<0454> エロエロ団ナンバー１

//<0455> ただのエロ少年
<0455> ただのエロ少年

//<0456> ユリブサイク
<0456> ユリブサイク

//<0457> ドピュッシー
<0457> ドピュッシー

//<0458> アメリカンエロドッグ
<0458> アメリカンエロドッグ

//<0459> ゼウス
<0459> ゼウス

//<0460> 日向markⅡ
<0460> 日向markⅡ

//<0461> 糞虫
<0461> 糞虫

//<0462> 量産型日向
<0462> 量産型日向

//<0463> ？？
<0463> ？？

//<0464> 「…それが、妥当だよな」
<0464> 「…それが、妥当だよな」

//<0465> こうして、野田を重し代わりにして、トレーニングを始める。
<0465> こうして、野田を重し代わりにして、トレーニングを始める。

//<0466> 背中の上に乗せて腕立て、背筋、腹の上に乗せて腹筋を鍛える。
<0466> 背中の上に乗せて腕立て、背筋、腹の上に乗せて腹筋を鍛える。

//<0467> 音無
<0467> 音無

//<0468> クソ坊主
<0468> クソ坊主

//<0469> 代理人
<0469> 代理人

//<0470> 微妙すぎるイケメン
<0470> 微妙すぎるイケメン

//<0471> ロリコン
<0471> ロリコン

//<0472> メガネ仲間
<0472> メガネ仲間

//<0473> 暗算日本記録保持者
<0473> 暗算日本記録保持者

//<0474> 通り魔
<0474> 通り魔

//<0475> 記憶ナシ男
<0475> 記憶ナシ男

//<0476> 音速
<0476> 音速

//<0477> 無限
<0477> 無限

//<0478> エロ侍
<0478> エロ侍

//<0479> エロエロ団ナンバー１
<0479> エロエロ団ナンバー１

//<0480> ただのエロ少年
<0480> ただのエロ少年

//<0481> ユリブサイク
<0481> ユリブサイク

//<0482> ドピュッシー
<0482> ドピュッシー

//<0483> アメリカンエロドッグ
<0483> アメリカンエロドッグ

//<0484> ゼウス
<0484> ゼウス

//<0485> 日向markⅡ
<0485> 日向markⅡ

//<0486> 糞虫
<0486> 糞虫

//<0487> 量産型日向
<0487> 量産型日向

//<0488> ？？
<0488> ？？

//<0489> 「……ぜぇ、ぜぇ…………ぜぇ」
<0489> 「……ぜぇ、ぜぇ…………ぜぇ」

//<0490> 息も絶え絶えにやり遂げる。
<0490> 息も絶え絶えにやり遂げる。

//<0491> nothing
<0491> nothing

//<0492> nothing
<0492> nothing

//<0493> nothing
<0493> nothing

//<0494> nothing
<0494> nothing

//<0495> nothing
<0495> nothing

//<0496> 野田
<0496> 野田

//<0497> 男Ｆ
<0497> 男Ｆ

//<0498> イケパイ
<0498> イケパイ

//<0499> 男
<0499> 男

//<0500> ？？
<0500> ？？

//<0501> 「なかなか、やるじゃないか」
<0501> 「なかなか、やるじゃないか」

//<0502> 野田が感心したような目をする。
<0502> 野田が感心したような目をする。

//<0503> 音無
<0503> 音無

//<0504> クソ坊主
<0504> クソ坊主

//<0505> 代理人
<0505> 代理人

//<0506> 微妙すぎるイケメン
<0506> 微妙すぎるイケメン

//<0507> ロリコン
<0507> ロリコン

//<0508> メガネ仲間
<0508> メガネ仲間

//<0509> 暗算日本記録保持者
<0509> 暗算日本記録保持者

//<0510> 通り魔
<0510> 通り魔

//<0511> 記憶ナシ男
<0511> 記憶ナシ男

//<0512> 音速
<0512> 音速

//<0513> 無限
<0513> 無限

//<0514> エロ侍
<0514> エロ侍

//<0515> エロエロ団ナンバー１
<0515> エロエロ団ナンバー１

//<0516> ただのエロ少年
<0516> ただのエロ少年

//<0517> ユリブサイク
<0517> ユリブサイク

//<0518> ドピュッシー
<0518> ドピュッシー

//<0519> アメリカンエロドッグ
<0519> アメリカンエロドッグ

//<0520> ゼウス
<0520> ゼウス

//<0521> 日向markⅡ
<0521> 日向markⅡ

//<0522> 糞虫
<0522> 糞虫

//<0523> 量産型日向
<0523> 量産型日向

//<0524> ？？
<0524> ？？

//<0525> 「負けてられないからな」
<0525> 「負けてられないからな」

//<0526> nothing
<0526> nothing

//<0527> nothing
<0527> nothing

//<0528> nothing
<0528> nothing

//<0529> nothing
<0529> nothing

//<0530> nothing
<0530> nothing

//<0531> 野田
<0531> 野田

//<0532> 男Ｆ
<0532> 男Ｆ

//<0533> イケパイ
<0533> イケパイ

//<0534> 男
<0534> 男

//<0535> ？？
<0535> ？？

//<0536> 「じゃあ、次は俺を背負って大階段をランニングだ」
<0536> 「じゃあ、次は俺を背負って大階段をランニングだ」

//<0537> 音無
<0537> 音無

//<0538> クソ坊主
<0538> クソ坊主

//<0539> 代理人
<0539> 代理人

//<0540> 微妙すぎるイケメン
<0540> 微妙すぎるイケメン

//<0541> ロリコン
<0541> ロリコン

//<0542> メガネ仲間
<0542> メガネ仲間

//<0543> 暗算日本記録保持者
<0543> 暗算日本記録保持者

//<0544> 通り魔
<0544> 通り魔

//<0545> 記憶ナシ男
<0545> 記憶ナシ男

//<0546> 音速
<0546> 音速

//<0547> 無限
