// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> とりあえず授業を１時間だけ受けてみた。
<0000> For now I'll take class, but just for an hour.

//<0001> ＳＳＳに所属しているので、Tenshiの監視付きということで、本来の自分の教室とは違う教室でだが。
<0001> The class was in a different classroom from my official one, since I'm part of the SSS, under Tenshi's observation

//<0002> Otonashi
<0115> 暗算日本記録保持者

//<0116> Phantom Slasher
<0116> Phantom Slasher

//<0117> Amnesiac
<0117> Amnesiac

//<0118> 音速
<0118> 音速

//<0119> 無限
<0119> 無限

//<0120> エロ侍
<0120> エロ侍

//<0121> エロエロ団ナンバー１
<0121> エロエロ団ナンバー１

//<0122> ただのエロ少年
<0122> ただのエロ少年

//<0123> ユリブサイク
<0123> ユリブサイク

//<0124> ドピュッシー
<0124> ドピュッシー

//<0125> アメリカンエロドッグ
<0125> アメリカンエロドッグ

//<0126> ゼウス
<0126> ゼウス

//<0127> 日向markⅡ
<0127> 日向markⅡ

//<0128> 糞虫
<0128> 糞虫

//<0129> 量産型日向
<0129> 量産型日向

//<0130> ??
<0130> ??

//<0131> 「話を聞いてくれ…つーか、教えてくれ」
<0131> "Please listen to me... Actually, please tell me."

//<0132> Otonashi
<0132> Otonashi

//<0133> Punk
<0133> Punk

//<0134> Substitute
<0134> Substitute

//<0135> Uncanny Hunk
<0135> Uncanny Hunk

//<0136> Lolicon
<0136> Lolicon

//<0137> Glasses Comrade
<0137> Glasses Comrade

//<0138> 暗算日本記録保持者
<0138> 暗算日本記録保持者

//<0139> Phantom Slasher
<0139> Phantom Slasher

//<0140> Amnesiac
<0140> Amnesiac

//<0141> 音速
<0141> 音速

//<0142> 無限
<0142> 無限

//<0143> エロ侍
<0143> エロ侍

//<0144> エロエロ団ナンバー１
<0144> エロエロ団ナンバー１

//<0145> ただのエロ少年
<0145> ただのエロ少年

//<0146> ユリブサイク
<0146> ユリブサイク

//<0147> ドピュッシー
<0147> ドピュッシー

//<0148> アメリカンエロドッグ
<0148> アメリカンエロドッグ

//<0149> ゼウス
<0149> ゼウス

//<0150> 日向markⅡ
<0150> 日向markⅡ

//<0151> 糞虫
<0151> 糞虫

//<0152> 量産型日向
<0152> 量産型日向

//<0153> ??
<0153> ??

//<0154> 「ここから消えたら、どうなる？」
<0154> "What happens when you disappear from this place?"

//<0155> nothing
<0155> nothing

//<0156> nothing
<0156> nothing

//<0157> nothing
<0157> nothing

//<0158> nothing
<0158> nothing

//<0159> nothing
<0159> nothing

//<0160> Tenshi
<0160> Tenshi

//<0161> Kanade
<0161> Kanade

//<0162> Schoolgirl
<0162> Schoolgirl

//<0163> ??
<0163> ??

//<0164> 「次の人生が始まるわ」
<0164> "Your next life will begin."

//<0165> Otonashi
<0165> Otonashi

//<0166> Punk
<0166> Punk

//<0167> Substitute
<0167> Substitute

//<0168> Uncanny Hunk
<0168> Uncanny Hunk

//<0169> Lolicon
<0169> Lolicon

//<0170> Glasses Comrade
<0170> Glasses Comrade

//<0171> 暗算日本記録保持者
<0171> 暗算日本記録保持者

//<0172> Phantom Slasher
<0172> Phantom Slasher

//<0173> Amnesiac
<0173> Amnesiac

//<0174> 音速
<0174> 音速

//<0175> 無限
<0175> 無限

//<0176> エロ侍
<0176> エロ侍

//<0177> エロエロ団ナンバー１
<0177> エロエロ団ナンバー１

//<0178> ただのエロ少年
<0178> ただのエロ少年

//<0179> ユリブサイク
<0179> ユリブサイク

//<0180> ドピュッシー
<0180> ドピュッシー

//<0181> アメリカンエロドッグ
<0181> アメリカンエロドッグ

//<0182> ゼウス
<0182> ゼウス

//<0183> 日向markⅡ
<0183> 日向markⅡ

//<0184> 糞虫
<0184> 糞虫

//<0185> 量産型日向
<0185> 量産型日向

//<0186> ??
<0186> ??

//<0187> 「それは人としてのか？」
<0187> "And, that will be as a human?"

//<0188> nothing
<0188> nothing

//<0189> nothing
<0189> nothing

//<0190> nothing
<0190> nothing

//<0191> nothing
<0191> nothing

//<0192> nothing
<0192> nothing

//<0193> Tenshi
<0193> Tenshi

//<0194> Kanade
<0194> Kanade

//<0195> Schoolgirl
<0195> Schoolgirl

//<0196> ??
<0196> ??

//<0197> 「人として」
<0197> "As a human."

//<0198> Otonashi
<0198> Otonashi

//<0199> Punk
<0199> Punk

//<0200> Substitute
<0200> Substitute

//<0201> Uncanny Hunk
<0201> Uncanny Hunk

//<0202> Lolicon
<0202> Lolicon

//<0203> Glasses Comrade
<0203> Glasses Comrade

//<0204> 暗算日本記録保持者
<0204> 暗算日本記録保持者

//<0205> Phantom Slasher
<0205> Phantom Slasher

//<0206> Amnesiac
<0206> Amnesiac

//<0207> 音速
<0207> 音速

//<0208> 無限
<0208> 無限

//<0209> エロ侍
<0209> エロ侍

//<0210> エロエロ団ナンバー１
<0210> エロエロ団ナンバー１

//<0211> ただのエロ少年
<0211> ただのエロ少年

//<0212> ユリブサイク
<0212> ユリブサイク

//<0213> ドピュッシー
<0213> ドピュッシー

//<0214> アメリカンエロドッグ
<0214> アメリカンエロドッグ

//<0215> ゼウス
<0215> ゼウス

//<0216> 日向markⅡ
<0216> 日向markⅡ

//<0217> 糞虫
<0217> 糞虫

//<0218> 量産型日向
<0218> 量産型日向

//<0219> ??
<0219> ??

//<0220> 「誰か見てきたのかよ？　そんな保証があるのかよ？」
<0220> "Has anyone seen that? Is there any guarantee?

//<0221> nothing
<0221> nothing

//<0222> nothing
<0222> nothing

//<0223> nothing
<0223> nothing

//<0224> nothing
<0224> nothing

//<0225> nothing
<0225> nothing

//<0226> Tenshi
<0226> Tenshi

//<0227> Kanade
<0227> Kanade

//<0228> Schoolgirl
<0228> Schoolgirl

//<0229> ??
<0229> ??

//<0230> 「誰も見てきてないし、保証はないわ」
<0230> "No one has seen it, and there is no guarantee."

//<0231> Otonashi
<0231> Otonashi

//<0232> Punk
<0232> Punk

//<0233> Substitute
<0233> Substitute

//<0234> Uncanny Hunk
<0234> Uncanny Hunk

//<0235> Lolicon
<0235> Lolicon

//<0236> Glasses Comrade
<0236> Glasses Comrade

//<0237> 暗算日本記録保持者
<0237> 暗算日本記録保持者

//<0238> Phantom Slasher
<0238> Phantom Slasher

//<0239> Amnesiac
<0239> Amnesiac

//<0240> 音速
<0240> 音速

//<0241> 無限
<0241> 無限

//<0242> エロ侍
<0242> エロ侍

//<0243> エロエロ団ナンバー１
<0243> エロエロ団ナンバー１

//<0244> ただのエロ少年
<0244> ただのエロ少年

//<0245> ユリブサイク
<0245> ユリブサイク

//<0246> ドピュッシー
<0246> ドピュッシー

//<0247> アメリカンエロドッグ
<0247> アメリカンエロドッグ

//<0248> ゼウス
<0248> ゼウス

//<0249> 日向markⅡ
<0249> 日向markⅡ

//<0250> 糞虫
<0250> 糞虫

//<0251> 量産型日向
<0251> 量産型日向

//<0252> ??
<0252> ??

//<0253> 「じゃあ、何を根拠に言ってんだよ」
<0253> "Then, you're saying that without any basis."

//<0254> nothing
<0254> nothing

//<0255> nothing
<0255> nothing

//<0256> nothing
<0256> nothing

//<0257> nothing
<0257> nothing

//<0258> nothing
<0258> nothing

//<0259> Tenshi
<0259> Tenshi

//<0260> Kanade
<0260> Kanade

//<0261> Schoolgirl
<0261> Schoolgirl

//<0262> ??
<0262> ??

//<0263> 「だって、ここは人の死後の世界でしょ」
<0263> "This place is the human afterlife is it not?"

//<0264> Otonashi
<0264> Otonashi

//<0265> Punk
<0265> Punk

//<0266> Substitute
<0266> Substitute

//<0267> Uncanny Hunk
<0267> Uncanny Hunk

//<0268> Lolicon
<0268> Lolicon

//<0269> Glasses Comrade
<0269> Glasses Comrade

//<0270> 暗算日本記録保持者
<0270> 暗算日本記録保持者

//<0271> Phantom Slasher
<0271> Phantom Slasher

//<0272> Amnesiac
<0272> Amnesiac

//<0273> 音速
<0273> 音速

//<0274> 無限
<0274> 無限

//<0275> エロ侍
<0275> エロ侍

//<0276> エロエロ団ナンバー１
<0276> エロエロ団ナンバー１

//<0277> ただのエロ少年
<0277> ただのエロ少年

//<0278> ユリブサイク
<0278> ユリブサイク

//<0279> ドピュッシー
<0279> ドピュッシー

//<0280> アメリカンエロドッグ
<0280> アメリカンエロドッグ

//<0281> ゼウス
<0281> ゼウス

//<0282> 日向markⅡ
<0282> 日向markⅡ

//<0283> 糞虫
<0283> 糞虫

//<0284> 量産型日向
<0284> 量産型日向

//<0285> ??
<0285> ??

//<0286> 「ああ。それが？」
<0286> "Yeah, so what?"

//<0287> nothing
<0287> nothing

//<0288> nothing
<0288> nothing

//<0289> nothing
<0289> nothing

//<0290> nothing
<0290> nothing

//<0291> nothing
<0291> nothing

//<0292> Tenshi
<0292> Tenshi

//<0293> Kanade
<0293> Kanade

//<0294> Schoolgirl
<0294> Schoolgirl

//<0295> ??
<0295> ??

//<0296> 「だから、次も人に生まれ変わる」
<0296> "That's why you will be reborn as a human."

//<0297> Otonashi
<0297> Otonashi

//<0298> Punk
<0298> Punk

//<0299> Substitute
<0299> Substitute

//<0300> Uncanny Hunk
<0300> Uncanny Hunk

//<0301> Lolicon
<0301> Lolicon

//<0302> Glasses Comrade
<0302> Glasses Comrade

//<0303> 暗算日本記録保持者
<0303> 暗算日本記録保持者

//<0304> Phantom Slasher
<0304> Phantom Slasher

//<0305> Amnesiac
<0305> Amnesiac

//<0306> 音速
<0306> 音速

//<0307> 無限
<0307> 無限

//<0308> エロ侍
<0308> エロ侍

//<0309> エロエロ団ナンバー１
<0309> エロエロ団ナンバー１

//<0310> ただのエロ少年
<0310> ただのエロ少年

//<0311> ユリブサイク
<0311> ユリブサイク

//<0312> ドピュッシー
<0312> ドピュッシー

//<0313> アメリカンエロドッグ
<0313> アメリカンエロドッグ

//<0314> ゼウス
<0314> ゼウス

//<0315> 日向markⅡ
<0315> 日向markⅡ

//<0316> 糞虫
<0316> 糞虫

//<0317> 量産型日向
<0317> 量産型日向

//<0318> ??
<0318> ??

//<0319> 「飛躍しすぎだな…」
<0319> "That's a big assumption."

//<0320> nothing
<0320> nothing

//<0321> nothing
<0321> nothing

//<0322> nothing
<0322> nothing

//<0323> nothing
<0323> nothing

//<0324> nothing
<0324> nothing

//<0325> Tenshi
<0325> Tenshi

//<0326> Kanade
<0326> Kanade

//<0327> Schoolgirl
<0327> Schoolgirl

//<0328> ??
<0328> ??

//<0329> 「もし、テントウムシに生まれ変わるなら、この世界に意味はないと思うの」
<0329> "If you were reborn as a ladybug, then I don't think there would be any meaning with this world."

//<0330> Otonashi
<0330> Otonashi

//<0331> Punk
<0331> Punk

//<0332> Substitute
<0332> Substitute

//<0333> Uncanny Hunk
<0333> Uncanny Hunk

//<0334> Lolicon
<0334> Lolicon

//<0335> Glasses Comrade
<0335> Glasses Comrade

//<0336> 暗算日本記録保持者
<0336> 暗算日本記録保持者

//<0337> Phantom Slasher
<0337> Phantom Slasher

//<0338> Amnesiac
<0338> Amnesiac

//<0339> 音速
<0339> 音速

//<0340> 無限
<0340> 無限

//<0341> エロ侍
<0341> エロ侍

//<0342> エロエロ団ナンバー１
<0342> エロエロ団ナンバー１

//<0343> ただのエロ少年
<0343> ただのエロ少年

//<0344> ユリブサイク
<0344> ユリブサイク

//<0345> ドピュッシー
<0345> ドピュッシー

//<0346> アメリカンエロドッグ
<0346> アメリカンエロドッグ

//<0347> ゼウス
<0347> ゼウス

//<0348> 日向markⅡ
<0348> 日向markⅡ

//<0349> 糞虫
<0349> 糞虫

//<0350> 量産型日向
<0350> 量産型日向

//<0351> ??
<0351> ??

//<0352> 「どうして」
<0352> "Why not?"

//<0353> nothing
<0353> nothing

//<0354> nothing
<0354> nothing

//<0355> nothing
<0355> nothing

//<0356> nothing
<0356> nothing

//<0357> nothing
<0357> nothing

//<0358> Tenshi
<0358> Tenshi

//<0359> Kanade
<0359> Kanade

//<0360> Schoolgirl
<0360> Schoolgirl

//<0361> ??
<0361> ??

//<0362> 「ここに来る人たちは、まともな青春を送れず、辛い人生だった人ばかり」
<0362> "The people who come here all led harsh lives: no one was allowed to experience a proper youth."

//<0363> Otonashi
<0363> Otonashi

//<0364> Punk
<0364> Punk

//<0365> Substitute
<0365> Substitute

//<0366> Uncanny Hunk
<0366> Uncanny Hunk

//<0367> Lolicon
<0367> Lolicon

//<0368> Glasses Comrade
<0368> Glasses Comrade

//<0369> 暗算日本記録保持者
<0369> 暗算日本記録保持者

//<0370> Phantom Slasher
<0370> Phantom Slasher

//<0371> Amnesiac
<0371> Amnesiac

//<0372> 音速
<0372> 音速

//<0373> 無限
<0373> 無限

//<0374> エロ侍
<0374> エロ侍

//<0375> エロエロ団ナンバー１
<0375> エロエロ団ナンバー１

//<0376> ただのエロ少年
<0376> ただのエロ少年

//<0377> ユリブサイク
<0377> ユリブサイク

//<0378> ドピュッシー
<0378> ドピュッシー

//<0379> アメリカンエロドッグ
<0379> アメリカンエロドッグ

//<0380> ゼウス
<0380> ゼウス

//<0381> 日向markⅡ
<0381> 日向markⅡ

//<0382> 糞虫
<0382> 糞虫

//<0383> 量産型日向
<0383> 量産型日向

//<0384> ??
<0384> ??

//<0385> 「そのようだな…」
<0385> "It seems so."

//<0386> Otonashi
<0386> Otonashi

//<0387> Punk
<0387> Punk

//<0388> Substitute
<0388> Substitute

//<0389> Uncanny Hunk
<0389> Uncanny Hunk

//<0390> Lolicon
<0390> Lolicon

//<0391> Glasses Comrade
<0391> Glasses Comrade

//<0392> 暗算日本記録保持者
<0392> 暗算日本記録保持者

//<0393> Phantom Slasher
<0393> Phantom Slasher

//<0394> Amnesiac
<0394> Amnesiac

//<0395> 音速
<0395> 音速

//<0396> 無限
<0396> 無限

//<0397> エロ侍
<0397> エロ侍

//<0398> エロエロ団ナンバー１
<0398> エロエロ団ナンバー１

//<0399> ただのエロ少年
<0399> ただのエロ少年

//<0400> ユリブサイク
<0400> ユリブサイク

//<0401> ドピュッシー
<0401> ドピュッシー

//<0402> アメリカンエロドッグ
<0402> アメリカンエロドッグ

//<0403> ゼウス
<0403> ゼウス

//<0404> 日向markⅡ
<0404> 日向markⅡ

//<0405> 糞虫
<0405> 糞虫

//<0406> 量産型日向
<0406> 量産型日向

//<0407> ??
<0407> ??

//<0408> 「……」
<0408> "....."

//<0409> 生前の記憶がないから何とも言えない。
<0409> I can't really say anything since I don't have any memories of my life.

//<0410> 他の戦線メンバーもそれぞれ辛い記憶を背負っているんだろうか…。
<0410> Are all the other battlefront members shouldering painful memories?

//<0411> nothing
<0411> nothing

//<0412> nothing
<0412> nothing

//<0413> nothing
<0413> nothing

//<0414> nothing
<0414> nothing

//<0415> nothing
<0415> nothing

//<0416> Tenshi
<0416> Tenshi

//<0417> Kanade
<0417> Kanade

//<0418> Schoolgirl
<0418> Schoolgirl

//<0419> ??
<0419> ??

//<0420> 「ここは学園生活という青春を謳歌し直せる場所」
<0420> "This is a place for celebrating adolescent school life, and to do it over again."

//<0421> Otonashi
<0421> Otonashi

//<0422> Punk
<0422> Punk

//<0423> Substitute
<0423> Substitute

//<0424> Uncanny Hunk
<0424> Uncanny Hunk

//<0425> Lolicon
<0425> Lolicon

//<0426> Glasses Comrade
<0426> Glasses Comrade

//<0427> 暗算日本記録保持者
<0427> 暗算日本記録保持者

//<0428> Phantom Slasher
<0428> Phantom Slasher

//<0429> Amnesiac
<0429> Amnesiac

//<0430> 音速
<0430> 音速

//<0431> 無限
<0431> 無限

//<0432> エロ侍
<0432> エロ侍

//<0433> エロエロ団ナンバー１
<0433> エロエロ団ナンバー１

//<0434> ただのエロ少年
<0434> ただのエロ少年

//<0435> ユリブサイク
<0435> ユリブサイク

//<0436> ドピュッシー
<0436> ドピュッシー

//<0437> アメリカンエロドッグ
<0437> アメリカンエロドッグ

//<0438> ゼウス
<0438> ゼウス

//<0439> 日向markⅡ
<0439> 日向markⅡ

//<0440> 糞虫
<0440> 糞虫

//<0441> 量産型日向
<0441> 量産型日向

//<0442> ??
<0442> ??

//<0443> 「そう…なのか？」
<0443> "Is...that what this is?"

//<0444> nothing
<0444> nothing

//<0445> nothing
<0445> nothing

//<0446> nothing
<0446> nothing

//<0447> nothing
<0447> nothing

//<0448> nothing
<0448> nothing

//<0449> Tenshi
<0449> Tenshi

//<0450> Kanade
<0450> Kanade

//<0451> Schoolgirl
<0451> Schoolgirl

//<0452> ??
<0452> ??

//<0453> 「そう」
<0453> "Yes."

//<0454> まあ、Tenshiが言うのなら、そうなのだろう。
<0454> Well, if Tenshi says so, then it has to be true

//<0455> nothing
<0455> nothing

//<0456> nothing
<0456> nothing

//<0457> nothing
<0457> nothing

//<0458> nothing
<0458> nothing

//<0459> nothing
<0459> nothing

//<0460> Tenshi
<0460> Tenshi

//<0461> Kanade
<0461> Kanade

//<0462> Schoolgirl
<0462> Schoolgirl

//<0463> ??
<0463> ??

//<0464> 「テントウムシに生まれ変わるなら、その意味がない」
<0464> "There would be no meaning to that if you were reborn as a ladybug."

//<0465> Otonashi
<0465> Otonashi

//<0466> Punk
<0466> Punk

//<0467> Substitute
<0467> Substitute

//<0468> Uncanny Hunk
<0468> Uncanny Hunk

//<0469> Lolicon
<0469> Lolicon

//<0470> Glasses Comrade
<0470> Glasses Comrade

//<0471> 暗算日本記録保持者
<0471> 暗算日本記録保持者

//<0472> Phantom Slasher
<0472> Phantom Slasher

//<0473> Amnesiac
<0473> Amnesiac

//<0474> 音速
<0474> 音速

//<0475> 無限
<0475> 無限

//<0476> エロ侍
<0476> エロ侍

//<0477> エロエロ団ナンバー１
<0477> エロエロ団ナンバー１

//<0478> ただのエロ少年
<0478> ただのエロ少年

//<0479> ユリブサイク
<0479> ユリブサイク

//<0480> ドピュッシー
<0480> ドピュッシー

//<0481> アメリカンエロドッグ
<0481> アメリカンエロドッグ

//<0482> ゼウス
<0482> ゼウス

//<0483> 日向markⅡ
<0483> 日向markⅡ

//<0484> 糞虫
<0484> 糞虫

//<0485> 量産型日向
<0485> 量産型日向

//<0486> ??
<0486> ??

//<0487> 「話が繋がらないぞ」
<0487> "What you're saying doesn't connect together"

//<0488> 相当口ベタなようだ…。
<0488> This just seems like random babble.

//<0489> nothing
<0489> nothing

//<0490> nothing
<0490> nothing

//<0491> nothing
<0491> nothing

//<0492> nothing
<0492> nothing

//<0493> nothing
<0493> nothing

//<0494> Tenshi
<0494> Tenshi

//<0495> Kanade
<0495> Kanade

//<0496> Schoolgirl
<0496> Schoolgirl

//<0497> ??
<0497> ??

//<0498> 「テントウムシには人生はないから」
<0498> "Ladybugs don't live a human life."

//<0499> Otonashi
<0499> Otonashi

//<0500> Punk
<0500> Punk

//<0501> Substitute
<0501> Substitute

//<0502> Uncanny Hunk
<0502> Uncanny Hunk

//<0503> Lolicon
<0503> Lolicon

//<0504> Glasses Comrade
<0504> Glasses Comrade

//<0505> 暗算日本記録保持者
<0505> 暗算日本記録保持者

//<0506> Phantom Slasher
<0506> Phantom Slasher

//<0507> Amnesiac
<0507> Amnesiac

//<0508> 音速
<0508> 音速

//<0509> 無限
<0509> 無限

//<0510> エロ侍
<0510> エロ侍

//<0511> エロエロ団ナンバー１
<0511> エロエロ団ナンバー１

//<0512> ただのエロ少年
<0512> ただのエロ少年

//<0513> ユリブサイク
<0513> ユリブサイク

//<0514> ドピュッシー
<0514> ドピュッシー

//<0515> アメリカンエロドッグ
<0515> アメリカンエロドッグ

//<0516> ゼウス
<0516> ゼウス

//<0517> 日向markⅡ
<0517> 日向markⅡ

//<0518> 糞虫
<0518> 糞虫

//<0519> 量産型日向
<0519> 量産型日向

//<0520> ??
<0520> ??

//<0521> 「人生はなくとも一生はあるだろ」
<0521> "But, they have a life don't they?"

//<0522> nothing
<0522> nothing

//<0523> nothing
<0523> nothing

//<0524> nothing
<0524> nothing

//<0525> nothing
<0525> nothing

//<0526> nothing
<0526> nothing

//<0527> Tenshi
<0527> Tenshi

//<0528> Kanade
<0528> Kanade

//<0529> Schoolgirl
<0529> Schoolgirl

//<0530> ??
<0530> ??

//<0531> 「そこには人の字がない。それは人生じゃない」
<0531> 「そこには人の字がない。それは人生じゃない」

//<0532> Otonashi
<0532> Otonashi

//<0533> Punk
<0533> Punk

//<0534> Substitute
<0534> Substitute

//<0535> Uncanny Hunk
<0535> Uncanny Hunk

//<0536> Lolicon
<0536> Lolicon

//<0537> Glasses Comrade
<0537> Glasses Comrade

//<0538> 暗算日本記録保持者
<0538> 暗算日本記録保持者

//<0539> Phantom Slasher
<0539> Phantom Slasher

//<0540> Amnesiac
<0540> Amnesiac

//<0541> 音速
<0541> 音速

//<0542> 無限
<0542> 無限

//<0543> エロ侍
<0543> エロ侍

//<0544> エロエロ団ナンバー１
<0544> エロエロ団ナンバー１

//<0545> ただのエロ少年
<0545> ただのエロ少年

//<0546> ユリブサイク
<0546> ユリブサイク

