// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 問題を解き始めると、すらすらと回答欄が埋まっていった。
<0000> 問題を解き始めると、すらすらと回答欄が埋まっていった。
//<0132> ……。
<0132> ……。

//<0133> se_chime
<0133> se_chime

//<0134> 教師
<0134> 教師

//<0135> 「はい、終了、ペンを置いて、後ろから回収ー！」
<0135> 「はい、終了、ペンを置いて、後ろから回収ー！」

//<0136> 音無
<0136> 音無

//<0137> クソ坊主
<0137> クソ坊主

//<0138> 代理人
<0138> 代理人

//<0139> 微妙すぎるイケメン
<0139> 微妙すぎるイケメン

//<0140> ロリコン
<0140> ロリコン

//<0141> メガネ仲間
<0141> メガネ仲間

//<0142> 暗算日本記録保持者
<0142> 暗算日本記録保持者

//<0143> 通り魔
<0143> 通り魔

//<0144> 記憶ナシ男
<0144> 記憶ナシ男

//<0145> 音速
<0145> 音速

//<0146> 無限
<0146> 無限

//<0147> エロ侍
<0147> エロ侍

//<0148> エロエロ団ナンバー１
<0148> エロエロ団ナンバー１

//<0149> ただのエロ少年
<0149> ただのエロ少年

//<0150> ユリブサイク
<0150> ユリブサイク

//<0151> ドピュッシー
<0151> ドピュッシー

//<0152> アメリカンエロドッグ
<0152> アメリカンエロドッグ

//<0153> ゼウス
<0153> ゼウス

//<0154> 日向markⅡ
<0154> 日向markⅡ

//<0155> 糞虫
<0155> 糞虫

//<0156> 量産型日向
<0156> 量産型日向

//<0157> ？？
<0157> ？？

//<0158> （今だ！　やるしかないっ！！）
<0158> （今だ！　やるしかないっ！！）

//<0159> se_chair_standup
<0159> se_chair_standup

//<0160> 俺は立ち上がり、シャツを開く。
<0160> 俺は立ち上がり、シャツを開く。

//<0161> 音無
<0161> 音無

//<0162> クソ坊主
<0162> クソ坊主

//<0163> 代理人
<0163> 代理人

//<0164> 微妙すぎるイケメン
<0164> 微妙すぎるイケメン

//<0165> ロリコン
<0165> ロリコン

//<0166> メガネ仲間
<0166> メガネ仲間

//<0167> 暗算日本記録保持者
<0167> 暗算日本記録保持者

//<0168> 通り魔
<0168> 通り魔

//<0169> 記憶ナシ男
<0169> 記憶ナシ男

//<0170> 音速
<0170> 音速

//<0171> 無限
<0171> 無限

//<0172> エロ侍
<0172> エロ侍

//<0173> エロエロ団ナンバー１
<0173> エロエロ団ナンバー１

//<0174> ただのエロ少年
<0174> ただのエロ少年

//<0175> ユリブサイク
<0175> ユリブサイク

//<0176> ドピュッシー
<0176> ドピュッシー

//<0177> アメリカンエロドッグ
<0177> アメリカンエロドッグ

//<0178> ゼウス
<0178> ゼウス

//<0179> 日向markⅡ
<0179> 日向markⅡ

//<0180> 糞虫
<0180> 糞虫

//<0181> 量産型日向
<0181> 量産型日向

//<0182> ？？
<0182> ？？

//<0183> （いくぞ…！）
<0183> （いくぞ…！）

//<0184> se_stab_pencil
<0184> se_stab_pencil

//<0185> 頑丈そうなシャーペンとボールペンを握り締めて、思いっきり腹に突き立てる。
<0185> 頑丈そうなシャーペンとボールペンを握り締めて、思いっきり腹に突き立てる。

//<0186> それでも、先端が少しだけ腹の中に埋まっただけだった。
<0186> それでも、先端が少しだけ腹の中に埋まっただけだった。

//<0187> 音無
<0187> 音無

//<0188> クソ坊主
<0188> クソ坊主

//<0189> 代理人
<0189> 代理人

//<0190> 微妙すぎるイケメン
<0190> 微妙すぎるイケメン

//<0191> ロリコン
<0191> ロリコン

//<0192> メガネ仲間
<0192> メガネ仲間

//<0193> 暗算日本記録保持者
<0193> 暗算日本記録保持者

//<0194> 通り魔
<0194> 通り魔

//<0195> 記憶ナシ男
<0195> 記憶ナシ男

//<0196> 音速
<0196> 音速

//<0197> 無限
<0197> 無限

//<0198> エロ侍
<0198> エロ侍

//<0199> エロエロ団ナンバー１
<0199> エロエロ団ナンバー１

//<0200> ただのエロ少年
<0200> ただのエロ少年

//<0201> ユリブサイク
<0201> ユリブサイク

//<0202> ドピュッシー
<0202> ドピュッシー

//<0203> アメリカンエロドッグ
<0203> アメリカンエロドッグ

//<0204> ゼウス
<0204> ゼウス

//<0205> 日向markⅡ
<0205> 日向markⅡ

//<0206> 糞虫
<0206> 糞虫

//<0207> 量産型日向
<0207> 量産型日向

//<0208> ？？
<0208> ？？

//<0209> 「ぐっ、うぅ……ぎゃあああぁぁーーー！！」
<0209> 「ぐっ、うぅ……ぎゃあああぁぁーーー！！」

//<0210> nothing
<0210> nothing

//<0211> nothing
<0211> nothing

//<0212> nothing
<0212> nothing

//<0213> nothing
<0213> nothing

//<0214> nothing
<0214> nothing

//<0215> 入江
<0215> 入江

//<0216> 「まさか切腹ですか！？」
<0216> 「まさか切腹ですか！？」

//<0217> nothing
<0217> nothing

//<0218> nothing
<0218> nothing

//<0219> nothing
<0219> nothing

//<0220> nothing
<0220> nothing

//<0221> nothing
<0221> nothing

//<0222> 大山
<0222> 大山

//<0223> 「まさか切腹！？」
<0223> 「まさか切腹！？」

//<0224> 日向
<0224> 日向

//<0225> 男Ｂ
<0225> 男Ｂ

//<0226> エロエロ団総帥
<0226> エロエロ団総帥

//<0227> イケチン
<0227> イケチン

//<0228> ホモ太
<0228> ホモ太

//<0229> ひなチン
<0229> ひなチン

//<0230> 秀樹
<0230> 秀樹

//<0231> 男子生徒
<0231> 男子生徒

//<0232> ？？
<0232> ？？

//<0233> 「介錯もないなんて、ひたすら痛いだけだろ！！」
<0233> 「介錯もないなんて、ひたすら痛いだけだろ！！」

//<0234> nothing
<0234> nothing

//<0235> nothing
<0235> nothing

//<0236> nothing
<0236> nothing

//<0237> nothing
<0237> nothing

//<0238> nothing
<0238> nothing

//<0239> nothing
<0239> nothing

//<0240> 周囲のメンバーに切腹したと勘違いされる。
<0240> 周囲のメンバーに切腹したと勘違いされる。

//<0241> しかし、いまいち派手さには欠けてしまった。
<0241> しかし、いまいち派手さには欠けてしまった。

//<0242> 注目を集めることが出来ず、ＮＰＣたちは答案の回収に意識を戻す。
<0242> 注目を集めることが出来ず、ＮＰＣたちは答案の回収に意識を戻す。

//<0243> 音無
<0243> 音無

//<0244> クソ坊主
<0244> クソ坊主

//<0245> 代理人
<0245> 代理人

//<0246> 微妙すぎるイケメン
<0246> 微妙すぎるイケメン

//<0247> ロリコン
<0247> ロリコン

//<0248> メガネ仲間
<0248> メガネ仲間

//<0249> 暗算日本記録保持者
<0249> 暗算日本記録保持者

//<0250> 通り魔
<0250> 通り魔

//<0251> 記憶ナシ男
<0251> 記憶ナシ男

//<0252> 音速
<0252> 音速

//<0253> 無限
<0253> 無限

//<0254> エロ侍
<0254> エロ侍

//<0255> エロエロ団ナンバー１
<0255> エロエロ団ナンバー１

//<0256> ただのエロ少年
<0256> ただのエロ少年

//<0257> ユリブサイク
<0257> ユリブサイク

//<0258> ドピュッシー
<0258> ドピュッシー

//<0259> アメリカンエロドッグ
<0259> アメリカンエロドッグ

//<0260> ゼウス
<0260> ゼウス

//<0261> 日向markⅡ
<0261> 日向markⅡ

//<0262> 糞虫
<0262> 糞虫

//<0263> 量産型日向
<0263> 量産型日向

//<0264> ？？
<0264> ？？

//<0265> （しまった、このままじゃ失敗だ…！）
<0265> （しまった、このままじゃ失敗だ…！）

//<0266> nothing
<0266> nothing

//<0267> nothing
<0267> nothing

//<0268> nothing
<0268> nothing

//<0269> nothing
<0269> nothing

//<0270> nothing
<0270> nothing

//<0271> 日向
<0271> 日向

//<0272> 男Ｂ
<0272> 男Ｂ

//<0273> エロエロ団総帥
<0273> エロエロ団総帥

//<0274> イケチン
<0274> イケチン

//<0275> ホモ太
<0275> ホモ太

//<0276> ひなチン
<0276> ひなチン

//<0277> 秀樹
<0277> 秀樹

//<0278> 男子生徒
<0278> 男子生徒

//<0279> ？？
<0279> ？？

//<0280> 「どうして、お前はいつも自分を痛めつける方法しか選ばないんだよっ！？」
<0280> 「どうして、お前はいつも自分を痛めつける方法しか選ばないんだよっ！？」

//<0281> まず氏名欄に『音無』と書く。
<0281> まず氏名欄に『音無』と書く。

//<0282> 下の名前は思い出せていないから、たったそれだけで問題を解きにかかる。
<0282> 下の名前は思い出せていないから、たったそれだけで問題を解きにかかる。

//<0283> まず氏名欄に『糞虫』と書く。
<0283> まず氏名欄に『糞虫』と書く。

//<0284> たったそれだけで問題を解きにかかる。
<0284> たったそれだけで問題を解きにかかる。

//<0285> まず氏名欄に『量産型日向』と書く。
<0285> まず氏名欄に『量産型日向』と書く。

//<0286> たったそれだけで問題を解きにかかる。
<0286> たったそれだけで問題を解きにかかる。

//<0287> すらすらと解け、回答欄を埋めていく。
<0287> すらすらと解け、回答欄を埋めていく。

//<0288> 音無
<0288> 音無

//<0289> クソ坊主
<0289> クソ坊主

//<0290> 代理人
<0290> 代理人

//<0291> 微妙すぎるイケメン
<0291> 微妙すぎるイケメン

//<0292> ロリコン
<0292> ロリコン

//<0293> メガネ仲間
<0293> メガネ仲間

//<0294> 暗算日本記録保持者
<0294> 暗算日本記録保持者

//<0295> 通り魔
<0295> 通り魔

//<0296> 記憶ナシ男
<0296> 記憶ナシ男

//<0297> 音速
<0297> 音速

//<0298> 無限
<0298> 無限

//<0299> エロ侍
<0299> エロ侍

//<0300> エロエロ団ナンバー１
<0300> エロエロ団ナンバー１

//<0301> ただのエロ少年
<0301> ただのエロ少年

//<0302> ユリブサイク
<0302> ユリブサイク

//<0303> ドピュッシー
<0303> ドピュッシー

//<0304> アメリカンエロドッグ
<0304> アメリカンエロドッグ

//<0305> ゼウス
<0305> ゼウス

//<0306> 日向markⅡ
<0306> 日向markⅡ

//<0307> 糞虫
<0307> 糞虫

//<0308> 量産型日向
<0308> 量産型日向

//<0309> ？？
<0309> ？？

//<0310> （え？　記憶ねぇのに、なんでこんな簡単に解けるんだ…？）
<0310> （え？　記憶ねぇのに、なんでこんな簡単に解けるんだ…？）

//<0311> 音無
<0311> 音無

//<0312> クソ坊主
<0312> クソ坊主

//<0313> 代理人
<0313> 代理人

//<0314> 微妙すぎるイケメン
<0314> 微妙すぎるイケメン

//<0315> ロリコン
<0315> ロリコン

//<0316> メガネ仲間
<0316> メガネ仲間

//<0317> 暗算日本記録保持者
<0317> 暗算日本記録保持者

//<0318> 通り魔
<0318> 通り魔

//<0319> 記憶ナシ男
<0319> 記憶ナシ男

//<0320> 音速
<0320> 音速

//<0321> 無限
<0321> 無限

//<0322> エロ侍
<0322> エロ侍

//<0323> エロエロ団ナンバー１
<0323> エロエロ団ナンバー１

//<0324> ただのエロ少年
<0324> ただのエロ少年

//<0325> ユリブサイク
<0325> ユリブサイク

//<0326> ドピュッシー
<0326> ドピュッシー

//<0327> アメリカンエロドッグ
<0327> アメリカンエロドッグ

//<0328> ゼウス
<0328> ゼウス

//<0329> 日向markⅡ
<0329> 日向markⅡ

//<0330> 糞虫
<0330> 糞虫

//<0331> 量産型日向
<0331> 量産型日向

//<0332> ？？
<0332> ？？

//<0333> （俺、案外頭よかったのかな…）
<0333> （俺、案外頭よかったのかな…）

//<0334> 白
<0334> 白
{7eb4} 0a // 0334

//<0335> nothing
<0335> nothing

//<0336> nothing
<0336> nothing

//<0337> nothing
<0337> nothing

//<0338> nothing
<0338> nothing

//<0339> nothing
<0339> nothing

//<0340> ゆり
<0340> ゆり

//<0341> 女生徒
<0341> 女生徒

//<0342> ？？
<0342> ？？

//<0343> 「…問題を真面目に解いちゃ駄目よ。消えるファクターになりかねない」
<0343> 「…問題を真面目に解いちゃ駄目よ。消えるファクターになりかねない」

//<0344> nothing
<0344> nothing

//<0345> 
<0345> 

//<0346> 
<0346> 

//<0347> nothing
<0347> nothing

//<0348> ゆりの言葉を思い出す。
<0348> ゆりの言葉を思い出す。

//<0349> 音無
<0349> 音無

//<0350> クソ坊主
<0350> クソ坊主

//<0351> 代理人
<0351> 代理人

//<0352> 微妙すぎるイケメン
<0352> 微妙すぎるイケメン

//<0353> ロリコン
<0353> ロリコン

//<0354> メガネ仲間
<0354> メガネ仲間

//<0355> 暗算日本記録保持者
<0355> 暗算日本記録保持者

//<0356> 通り魔
<0356> 通り魔

//<0357> 記憶ナシ男
<0357> 記憶ナシ男

//<0358> 音速
<0358> 音速

//<0359> 無限
<0359> 無限

//<0360> エロ侍
<0360> エロ侍

//<0361> エロエロ団ナンバー１
<0361> エロエロ団ナンバー１

//<0362> ただのエロ少年
<0362> ただのエロ少年

//<0363> ユリブサイク
<0363> ユリブサイク

//<0364> ドピュッシー
<0364> ドピュッシー

//<0365> アメリカンエロドッグ
<0365> アメリカンエロドッグ

//<0366> ゼウス
<0366> ゼウス

//<0367> 日向markⅡ
<0367> 日向markⅡ

//<0368> 糞虫
<0368> 糞虫

//<0369> 量産型日向
<0369> 量産型日向

//<0370> ？？
<0370> ？？

//<0371> 「…おっと」
<0371> 「…おっと」

//<0372> 慌てて消しゴムで回答を消す。
<0372> 慌てて消しゴムで回答を消す。

//<0373> 音無
<0373> 音無

//<0374> クソ坊主
<0374> クソ坊主

//<0375> 代理人
<0375> 代理人

//<0376> 微妙すぎるイケメン
<0376> 微妙すぎるイケメン

//<0377> ロリコン
<0377> ロリコン

//<0378> メガネ仲間
<0378> メガネ仲間

//<0379> 暗算日本記録保持者
<0379> 暗算日本記録保持者

//<0380> 通り魔
<0380> 通り魔

//<0381> 記憶ナシ男
<0381> 記憶ナシ男

//<0382> 音速
<0382> 音速

//<0383> 無限
<0383> 無限

//<0384> エロ侍
<0384> エロ侍

//<0385> エロエロ団ナンバー１
<0385> エロエロ団ナンバー１

//<0386> ただのエロ少年
<0386> ただのエロ少年

//<0387> ユリブサイク
<0387> ユリブサイク

//<0388> ドピュッシー
<0388> ドピュッシー

//<0389> アメリカンエロドッグ
<0389> アメリカンエロドッグ

//<0390> ゼウス
<0390> ゼウス

//<0391> 日向markⅡ
<0391> 日向markⅡ

//<0392> 糞虫
<0392> 糞虫

//<0393> 量産型日向
<0393> 量産型日向

//<0394> ？？
<0394> ？？

//<0395> （…真面目に受けちゃ駄目なんだった…）
<0395> （…真面目に受けちゃ駄目なんだった…）

//<0396> se_chime
<0396> se_chime

//<0397> 時間が経ち、チャイムが鳴る。
<0397> 時間が経ち、チャイムが鳴る。

//<0398> この作戦では、天使をびりっけつにしなくてはいけないから、一応、赤点を避けるレベルで回答しておいた。
<0398> この作戦では、天使をびりっけつにしなくてはいけないから、一応、赤点を避けるレベルで回答しておいた。

//<0399> 音無
<0399> 音無

//<0400> クソ坊主
<0400> クソ坊主

//<0401> 代理人
<0401> 代理人

//<0402> 微妙すぎるイケメン
<0402> 微妙すぎるイケメン

//<0403> ロリコン
<0403> ロリコン

//<0404> メガネ仲間
<0404> メガネ仲間

//<0405> 暗算日本記録保持者
<0405> 暗算日本記録保持者

//<0406> 通り魔
<0406> 通り魔

//<0407> 記憶ナシ男
<0407> 記憶ナシ男

//<0408> 音速
<0408> 音速

//<0409> 無限
<0409> 無限

//<0410> エロ侍
<0410> エロ侍

//<0411> エロエロ団ナンバー１
<0411> エロエロ団ナンバー１

//<0412> ただのエロ少年
<0412> ただのエロ少年

//<0413> ユリブサイク
<0413> ユリブサイク

//<0414> ドピュッシー
<0414> ドピュッシー

//<0415> アメリカンエロドッグ
<0415> アメリカンエロドッグ

//<0416> ゼウス
<0416> ゼウス

//<0417> 日向markⅡ
<0417> 日向markⅡ

//<0418> 糞虫
<0418> 糞虫

//<0419> 量産型日向
<0419> 量産型日向

//<0420> ？？
<0420> ？？

//<0421> （さて、ここからすり替え作戦が始まるんだよな…）
<0421> （さて、ここからすり替え作戦が始まるんだよな…）

//<0422> nothing
<0422> nothing

//<0423> nothing
<0423> nothing

//<0424> nothing
<0424> nothing

//<0425> nothing
<0425> nothing

//<0426> nothing
<0426> nothing

//<0427> 音無
<0427> 音無

//<0428> クソ坊主
<0428> クソ坊主

//<0429> 代理人
<0429> 代理人

//<0430> 微妙すぎるイケメン
<0430> 微妙すぎるイケメン

//<0431> ロリコン
<0431> ロリコン

//<0432> メガネ仲間
<0432> メガネ仲間

//<0433> 暗算日本記録保持者
<0433> 暗算日本記録保持者

//<0434> 通り魔
<0434> 通り魔

//<0435> 記憶ナシ男
<0435> 記憶ナシ男

//<0436> 音速
<0436> 音速

//<0437> 無限
<0437> 無限

//<0438> エロ侍
<0438> エロ侍

//<0439> エロエロ団ナンバー１
<0439> エロエロ団ナンバー１

//<0440> ただのエロ少年
<0440> ただのエロ少年

//<0441> ユリブサイク
<0441> ユリブサイク

//<0442> ドピュッシー
<0442> ドピュッシー

//<0443> アメリカンエロドッグ
<0443> アメリカンエロドッグ

//<0444> ゼウス
<0444> ゼウス

//<0445> 日向markⅡ
<0445> 日向markⅡ

//<0446> 糞虫
<0446> 糞虫

//<0447> 量産型日向
<0447> 量産型日向

//<0448> ？？
<0448> ？？

//<0449> （日向の奴、どうやって注目を集めるつもりなんだ…？）
<0449> （日向の奴、どうやって注目を集めるつもりなんだ…？）

//<0450> nothing
<0450> nothing

//<0451> nothing
<0451> nothing

//<0452> nothing
<0452> nothing

//<0453> nothing
<0453> nothing

//<0454> nothing
<0454> nothing

//<0455> nothing
<0455> nothing

//<0456> 教師
<0456> 教師

//<0457> 「はい、じゃ、後ろから集めて」
<0457> 「はい、じゃ、後ろから集めて」

//<0458> 前へ前へと答案用紙が送られる。
<0458> 前へ前へと答案用紙が送られる。

//<0459> それが最前列に達そうとした瞬間、日向が唐突に立ち上がり大声を上げながら、窓の外を指さした。
<0459> それが最前列に達そうとした瞬間、日向が唐突に立ち上がり大声を上げながら、窓の外を指さした。

//<0460> nothing
<0460> nothing

//<0461> nothing
<0461> nothing

//<0462> nothing
<0462> nothing

//<0463> nothing
<0463> nothing

//<0464> nothing
<0464> nothing

//<0465> 日向
<0465> 日向

//<0466> 男Ｂ
<0466> 男Ｂ

//<0467> エロエロ団総帥
<0467> エロエロ団総帥

//<0468> イケチン
<0468> イケチン

//<0469> ホモ太
<0469> ホモ太

//<0470> ひなチン
<0470> ひなチン

//<0471> 秀樹
<0471> 秀樹

//<0472> 男子生徒
<0472> 男子生徒

//<0473> ？？
<0473> ？？

//<0474> 「な…なんだありゃあああぁぁああぁーー！？　グラウンドから、超巨大な竹の子がにょきにょきとおおぉぉぉーーっ！！」
<0474> 「な…なんだありゃあああぁぁああぁーー！？　グラウンドから、超巨大な竹の子がにょきにょきとおおぉぉぉーーっ！！」

//<0475> しーーーーーん…。
<0475> しーーーーーん…。

//<0476> 静まりかえる教室。
<0476> 静まりかえる教室。

//<0477> 音無
<0477> 音無

//<0478> クソ坊主
<0478> クソ坊主

//<0479> 代理人
<0479> 代理人

//<0480> 微妙すぎるイケメン
<0480> 微妙すぎるイケメン

//<0481> ロリコン
<0481> ロリコン

//<0482> メガネ仲間
<0482> メガネ仲間

//<0483> 暗算日本記録保持者
<0483> 暗算日本記録保持者

//<0484> 通り魔
<0484> 通り魔

//<0485> 記憶ナシ男
<0485> 記憶ナシ男

//<0486> 音速
<0486> 音速

//<0487> 無限
<0487> 無限

//<0488> エロ侍
<0488> エロ侍

//<0489> エロエロ団ナンバー１
<0489> エロエロ団ナンバー１

//<0490> ただのエロ少年
<0490> ただのエロ少年

//<0491> ユリブサイク
<0491> ユリブサイク

//<0492> ドピュッシー
<0492> ドピュッシー

//<0493> アメリカンエロドッグ
<0493> アメリカンエロドッグ

//<0494> ゼウス
