// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 天使
<0076> 音無

//<0077> クソ坊主
<0077> クソ坊主

//<0078> 代理人
<0078> 代理人

//<0079> 微妙すぎるイケメン
<0079> 微妙すぎるイケメン

//<0080> ロリコン
<0080> ロリコン

//<0081> メガネ仲間
<0081> メガネ仲間

//<0082> 暗算日本記録保持者
<0082> 暗算日本記録保持者

//<0083> 通り魔
<0083> 通り魔

//<0084> 記憶ナシ男
<0084> 記憶ナシ男

//<0085> 音速
<0085> 音速

//<0086> 無限
<0086> 無限

//<0087> エロ侍
<0087> エロ侍

//<0088> エロエロ団ナンバー１
<0088> エロエロ団ナンバー１

//<0089> ただのエロ少年
<0089> ただのエロ少年

//<0090> ユリブサイク
<0090> ユリブサイク

//<0091> ドピュッシー
<0091> ドピュッシー

//<0092> アメリカンエロドッグ
<0092> アメリカンエロドッグ

//<0093> ゼウス
<0093> ゼウス

//<0094> 日向markⅡ
<0094> 日向markⅡ

//<0095> 糞虫
<0095> 糞虫

//<0096> 量産型日向
<0096> 量産型日向

//<0097> ？？
<0097> ？？

//<0098> 「いや…無理だ…」
<0098> 「いや…無理だ…」

//<0099> nothing
<0099> nothing

//<0100> nothing
<0100> nothing

//<0101> nothing
<0101> nothing

//<0102> nothing
<0102> nothing

//<0103> nothing
<0103> nothing

//<0104> 天使
<0104> 天使

//<0105> かなで
<0105> かなで

//<0106> 女生徒
<0106> 女生徒

//<0107> ？？
<0107> ？？

//<0108> 「病気なら、横になっていたほうがいいわ。じきに治るから」
<0108> 「病気なら、横になっていたほうがいいわ。じきに治るから」

//<0109> 音無
<0109> 音無

//<0110> クソ坊主
<0110> クソ坊主

//<0111> 代理人
<0111> 代理人

//<0112> 微妙すぎるイケメン
<0112> 微妙すぎるイケメン

//<0113> ロリコン
<0113> ロリコン

//<0114> メガネ仲間
<0114> メガネ仲間

//<0115> 暗算日本記録保持者
<0115> 暗算日本記録保持者

//<0116> 通り魔
<0116> 通り魔

//<0117> 記憶ナシ男
<0117> 記憶ナシ男

//<0118> 音速
<0118> 音速

//<0119> 無限
<0119> 無限

//<0120> エロ侍
<0120> エロ侍

//<0121> エロエロ団ナンバー１
<0121> エロエロ団ナンバー１

//<0122> ただのエロ少年
<0122> ただのエロ少年

//<0123> ユリブサイク
<0123> ユリブサイク

//<0124> ドピュッシー
<0124> ドピュッシー

//<0125> アメリカンエロドッグ
<0125> アメリカンエロドッグ

//<0126> ゼウス
<0126> ゼウス

//<0127> 日向markⅡ
<0127> 日向markⅡ

//<0128> 糞虫
<0128> 糞虫

//<0129> 量産型日向
<0129> 量産型日向

//<0130> ？？
<0130> ？？

//<0131> 「どちらかというと精神的なほうかな」
<0131> 「どちらかというと精神的なほうかな」

//<0132> nothing
<0132> nothing

//<0133> nothing
<0133> nothing

//<0134> nothing
<0134> nothing

//<0135> nothing
<0135> nothing

//<0136> nothing
<0136> nothing

//<0137> 天使
<0137> 天使

//<0138> かなで
<0138> かなで

//<0139> 女生徒
<0139> 女生徒

//<0140> ？？
<0140> ？？

//<0141> 「何かショックなことがあったのね。悩み事なら友達や先生に相談するといいわ」
<0141> 「何かショックなことがあったのね。悩み事なら友達や先生に相談するといいわ」

//<0142> 今の俺は、よほど病んで見えるのか…天使も同情的になっていた。
<0142> 今の俺は、よほど病んで見えるのか…天使も同情的になっていた。

//<0143> nothing
<0143> nothing

//<0144> nothing
<0144> nothing

//<0145> nothing
<0145> nothing

//<0146> nothing
<0146> nothing

//<0147> nothing
<0147> nothing

//<0148> 天使
<0148> 天使

//<0149> かなで
<0149> かなで

//<0150> 女生徒
<0150> 女生徒

//<0151> ？？
<0151> ？？

//<0152> 「今回だけは無理に連れて行ったりしないから、きちんと解決して、明日からは授業に出てね」
<0152> 「今回だけは無理に連れて行ったりしないから、きちんと解決して、明日からは授業に出てね」

//<0153> 音無
<0153> 音無

//<0154> クソ坊主
<0154> クソ坊主

//<0155> 代理人
<0155> 代理人

//<0156> 微妙すぎるイケメン
<0156> 微妙すぎるイケメン

//<0157> ロリコン
<0157> ロリコン

//<0158> メガネ仲間
<0158> メガネ仲間

//<0159> 暗算日本記録保持者
<0159> 暗算日本記録保持者

//<0160> 通り魔
<0160> 通り魔

//<0161> 記憶ナシ男
<0161> 記憶ナシ男

//<0162> 音速
<0162> 音速

//<0163> 無限
<0163> 無限

//<0164> エロ侍
<0164> エロ侍

//<0165> エロエロ団ナンバー１
<0165> エロエロ団ナンバー１

//<0166> ただのエロ少年
<0166> ただのエロ少年

//<0167> ユリブサイク
<0167> ユリブサイク

//<0168> ドピュッシー
<0168> ドピュッシー

//<0169> アメリカンエロドッグ
<0169> アメリカンエロドッグ

//<0170> ゼウス
<0170> ゼウス

//<0171> 日向markⅡ
<0171> 日向markⅡ

//<0172> 糞虫
<0172> 糞虫

//<0173> 量産型日向
<0173> 量産型日向

//<0174> ？？
<0174> ？？

//<0175> 「え？　ああ…」
<0175> 「え？　ああ…」

//<0176> nothing
<0176> nothing

//<0177> nothing
<0177> nothing

//<0178> nothing
<0178> nothing

//<0179> nothing
<0179> nothing

//<0180> nothing
<0180> nothing

//<0181> nothing
<0181> nothing

//<0182> 天使は去っていった。
<0182> 天使は去っていった。

//<0183> 音無
<0183> 音無

//<0184> クソ坊主
<0184> クソ坊主

//<0185> 代理人
<0185> 代理人

//<0186> 微妙すぎるイケメン
<0186> 微妙すぎるイケメン

//<0187> ロリコン
<0187> ロリコン

//<0188> メガネ仲間
<0188> メガネ仲間

//<0189> 暗算日本記録保持者
<0189> 暗算日本記録保持者

//<0190> 通り魔
<0190> 通り魔

//<0191> 記憶ナシ男
<0191> 記憶ナシ男

//<0192> 音速
<0192> 音速

//<0193> 無限
<0193> 無限

//<0194> エロ侍
<0194> エロ侍

//<0195> エロエロ団ナンバー１
<0195> エロエロ団ナンバー１

//<0196> ただのエロ少年
<0196> ただのエロ少年

//<0197> ユリブサイク
<0197> ユリブサイク

//<0198> ドピュッシー
<0198> ドピュッシー

//<0199> アメリカンエロドッグ
<0199> アメリカンエロドッグ

//<0200> ゼウス
<0200> ゼウス

//<0201> 日向markⅡ
<0201> 日向markⅡ

//<0202> 糞虫
<0202> 糞虫

//<0203> 量産型日向
<0203> 量産型日向

//<0204> ？？
<0204> ？？

//<0205> （相談…ＮＰＣにはしたくねーな…）
<0205> （相談…ＮＰＣにはしたくねーな…）

//<0206> そもそも、いつまでも落ち込んでいたってしょうがない。気持ちを切り替えていこう…。
<0206> そもそも、いつまでも落ち込んでいたってしょうがない。気持ちを切り替えていこう…。

//<0207> 出た！　天使だ！
<0207> 出た！　天使だ！

//<0208> nothing
<0208> nothing

//<0209> nothing
<0209> nothing

//<0210> nothing
<0210> nothing

//<0211> nothing
<0211> nothing

//<0212> nothing
<0212> nothing

//<0213> 天使
<0213> 天使

//<0214> かなで
<0214> かなで

//<0215> 女生徒
<0215> 女生徒

//<0216> ？？
<0216> ？？

//<0217> 「でも、とても受けられる体じゃなさそうね」
<0217> 「でも、とても受けられる体じゃなさそうね」

//<0218> nothing
<0218> nothing

//<0219> nothing
<0219> nothing

//<0220> nothing
<0220> nothing

//<0221> nothing
<0221> nothing

//<0222> nothing
<0222> nothing

//<0223> 天使
<0223> 天使

//<0224> かなで
<0224> かなで

//<0225> 女生徒
<0225> 女生徒

//<0226> ？？
<0226> ？？

//<0227> 「大人しく寮に戻って、横になりなさい」
<0227> 「大人しく寮に戻って、横になりなさい」

//<0228> 音無
<0228> 音無

//<0229> クソ坊主
<0229> クソ坊主

//<0230> 代理人
<0230> 代理人

//<0231> 微妙すぎるイケメン
<0231> 微妙すぎるイケメン

//<0232> ロリコン
<0232> ロリコン

//<0233> メガネ仲間
<0233> メガネ仲間

//<0234> 暗算日本記録保持者
<0234> 暗算日本記録保持者

//<0235> 通り魔
<0235> 通り魔

//<0236> 記憶ナシ男
<0236> 記憶ナシ男

//<0237> 音速
<0237> 音速

//<0238> 無限
<0238> 無限

//<0239> エロ侍
<0239> エロ侍

//<0240> エロエロ団ナンバー１
<0240> エロエロ団ナンバー１

//<0241> ただのエロ少年
<0241> ただのエロ少年

//<0242> ユリブサイク
<0242> ユリブサイク

//<0243> ドピュッシー
<0243> ドピュッシー

//<0244> アメリカンエロドッグ
<0244> アメリカンエロドッグ

//<0245> ゼウス
<0245> ゼウス

//<0246> 日向markⅡ
<0246> 日向markⅡ

//<0247> 糞虫
<0247> 糞虫

//<0248> 量産型日向
<0248> 量産型日向

//<0249> ？？
<0249> ？？

//<0250> 「あ、ああ…」
<0250> 「あ、ああ…」

//<0251> nothing
<0251> nothing

//<0252> nothing
<0252> nothing

//<0253> nothing
<0253> nothing

//<0254> nothing
<0254> nothing

//<0255> nothing
<0255> nothing

//<0256> nothing
<0256> nothing

//<0257> 天使が去っていくのを見届けた。
<0257> 天使が去っていくのを見届けた。

//<0258> 音無
<0258> 音無

//<0259> クソ坊主
<0259> クソ坊主

//<0260> 代理人
<0260> 代理人

//<0261> 微妙すぎるイケメン
<0261> 微妙すぎるイケメン

//<0262> ロリコン
<0262> ロリコン

//<0263> メガネ仲間
<0263> メガネ仲間

//<0264> 暗算日本記録保持者
<0264> 暗算日本記録保持者

//<0265> 通り魔
<0265> 通り魔

//<0266> 記憶ナシ男
<0266> 記憶ナシ男

//<0267> 音速
<0267> 音速

//<0268> 無限
<0268> 無限

//<0269> エロ侍
<0269> エロ侍

//<0270> エロエロ団ナンバー１
<0270> エロエロ団ナンバー１

//<0271> ただのエロ少年
<0271> ただのエロ少年

//<0272> ユリブサイク
<0272> ユリブサイク

//<0273> ドピュッシー
<0273> ドピュッシー

//<0274> アメリカンエロドッグ
<0274> アメリカンエロドッグ

//<0275> ゼウス
<0275> ゼウス

//<0276> 日向markⅡ
<0276> 日向markⅡ

//<0277> 糞虫
<0277> 糞虫

//<0278> 量産型日向
<0278> 量産型日向

//<0279> ？？
<0279> ？？

//<0280> 「えっと…、俺、自分のクラスどこか忘れてしまって…」
<0280> 「えっと…、俺、自分のクラスどこか忘れてしまって…」

//<0281> 音無
<0281> 音無

//<0282> クソ坊主
<0282> クソ坊主

//<0283> 代理人
<0283> 代理人

//<0284> 微妙すぎるイケメン
<0284> 微妙すぎるイケメン

//<0285> ロリコン
<0285> ロリコン

//<0286> メガネ仲間
<0286> メガネ仲間

//<0287> 暗算日本記録保持者
<0287> 暗算日本記録保持者

//<0288> 通り魔
<0288> 通り魔

//<0289> 記憶ナシ男
<0289> 記憶ナシ男

//<0290> 音速
<0290> 音速

//<0291> 無限
<0291> 無限

//<0292> エロ侍
<0292> エロ侍

//<0293> エロエロ団ナンバー１
<0293> エロエロ団ナンバー１

//<0294> ただのエロ少年
<0294> ただのエロ少年

//<0295> ユリブサイク
<0295> ユリブサイク

//<0296> ドピュッシー
<0296> ドピュッシー

//<0297> アメリカンエロドッグ
<0297> アメリカンエロドッグ

//<0298> ゼウス
<0298> ゼウス

//<0299> 日向markⅡ
<0299> 日向markⅡ

//<0300> 糞虫
<0300> 糞虫

//<0301> 量産型日向
<0301> 量産型日向

//<0302> ？？
<0302> ？？

//<0303> 「いや、でも、俺、クラスとかわからないし…」
<0303> 「いや、でも、俺、クラスとかわからないし…」

//<0304> nothing
<0304> nothing

//<0305> nothing
<0305> nothing

//<0306> nothing
<0306> nothing

//<0307> nothing
<0307> nothing

//<0308> nothing
<0308> nothing

//<0309> 天使
<0309> 天使

//<0310> かなで
<0310> かなで

//<0311> 女生徒
<0311> 女生徒

//<0312> ？？
<0312> ？？

//<0313> 「同じ言い訳を繰り返すのね」
<0313> 「同じ言い訳を繰り返すのね」

//<0314> あさはかだったか…。
<0314> あさはかだったか…。

//<0315> nothing
<0315> nothing

//<0316> nothing
<0316> nothing

//<0317> nothing
<0317> nothing

//<0318> nothing
<0318> nothing

//<0319> nothing
<0319> nothing

//<0320> 天使
<0320> 天使

//<0321> かなで
<0321> かなで

//<0322> 女生徒
<0322> 女生徒

//<0323> ？？
<0323> ？？

//<0324> 「連れて行ってあげるわ。行きましょ」
<0324> 「連れて行ってあげるわ。行きましょ」

//<0325> どうする！？
<0325> どうする！？

//<0326> 授業を受ける
<0326> 授業を受ける

//<0327> 逃げる
<0327> 逃げる

//<0328> 戦う
<0328> 戦う

//<0329> selbtn : 
<0329> selbtn : 

//<0330> 01_かなで
<0330> 01_かなで

//<0331> _00
<0331> _00

//<0332> 俺は何も言わず、体を反転させ、全力で走る。
<0332> 俺は何も言わず、体を反転させ、全力で走る。

//<0333> 白
<0333> 白
{9110} 0a // 0333

//<0334> nothing
<0334> nothing

//<0335> nothing
<0335> nothing

//<0336> nothing
<0336> nothing

//<0337> nothing
<0337> nothing

//<0338> nothing
<0338> nothing

//<0339> ゆり
<0339> ゆり

//<0340> 女生徒
<0340> 女生徒

//<0341> ？？
<0341> ？？

//<0342> 「模範通りに校内活動を行わない生徒に対しては、まず口頭注意。逃げれば追ってくるし、先回りして行く手を阻む」
<0342> 「模範通りに校内活動を行わない生徒に対しては、まず口頭注意。逃げれば追ってくるし、先回りして行く手を阻む」

//<0343> そう言われてるだけに、懸命だ。
<0343> そう言われてるだけに、懸命だ。

//<0344> 逃げ切れるか！？
<0344> 逃げ切れるか！？

//<0345> 階段は一気に踊り場まで跳んだ。
<0345> 階段は一気に踊り場まで跳んだ。

//<0346> さらに階下へと跳ぶ。
<0346> さらに階下へと跳ぶ。

//<0347> そのまま廊下を駆け抜け、表に出る。
<0347> そのまま廊下を駆け抜け、表に出る。

//<0348> se_chime
<0348> se_chime

//<0349> と同時にチャイムが鳴る。
<0349> と同時にチャイムが鳴る。

//<0350> 音無
<0350> 音無

//<0351> クソ坊主
<0351> クソ坊主

//<0352> 代理人
<0352> 代理人

//<0353> 微妙すぎるイケメン
<0353> 微妙すぎるイケメン

//<0354> ロリコン
<0354> ロリコン

//<0355> メガネ仲間
<0355> メガネ仲間

//<0356> 暗算日本記録保持者
<0356> 暗算日本記録保持者

//<0357> 通り魔
<0357> 通り魔

//<0358> 記憶ナシ男
<0358> 記憶ナシ男

//<0359> 音速
<0359> 音速

//<0360> 無限
<0360> 無限

//<0361> エロ侍
<0361> エロ侍

//<0362> エロエロ団ナンバー１
<0362> エロエロ団ナンバー１

//<0363> ただのエロ少年
<0363> ただのエロ少年

//<0364> ユリブサイク
<0364> ユリブサイク

//<0365> ドピュッシー
<0365> ドピュッシー

//<0366> アメリカンエロドッグ
<0366> アメリカンエロドッグ

//<0367> ゼウス
<0367> ゼウス

//<0368> 日向markⅡ
<0368> 日向markⅡ

//<0369> 糞虫
<0369> 糞虫

//<0370> 量産型日向
<0370> 量産型日向

//<0371> ？？
<0371> ？？

//<0372> 「ふぅ…授業が始まったか。逃げ切った…！」
<0372> 「ふぅ…授業が始まったか。逃げ切った…！」

//<0373> nothing
<0373> nothing

//<0374> nothing
<0374> nothing

//<0375> nothing
<0375> nothing

//<0376> nothing
<0376> nothing

//<0377> nothing
<0377> nothing

//<0378> 天使
<0378> 天使

//<0379> かなで
<0379> かなで

//<0380> 女生徒
<0380> 女生徒

//<0381> ？？
<0381> ？？

//<0382> 「教室まで案内するわ」
<0382> 「教室まで案内するわ」

//<0383> ええー！！　本当に先回りしてるなんて！！　しかもなんて涼しげな顔だ！
<0383> ええー！！　本当に先回りしてるなんて！！　しかもなんて涼しげな顔だ！

//<0384> そこである矛盾に気づいた。
<0384> そこである矛盾に気づいた。

//<0385> 音無
<0385> 音無

//<0386> クソ坊主
<0386> クソ坊主

//<0387> 代理人
<0387> 代理人

//<0388> 微妙すぎるイケメン
<0388> 微妙すぎるイケメン

//<0389> ロリコン
<0389> ロリコン

//<0390> メガネ仲間
<0390> メガネ仲間

//<0391> 暗算日本記録保持者
<0391> 暗算日本記録保持者

//<0392> 通り魔
<0392> 通り魔

//<0393> 記憶ナシ男
<0393> 記憶ナシ男

//<0394> 音速
<0394> 音速

//<0395> 無限
<0395> 無限

//<0396> エロ侍
<0396> エロ侍

//<0397> エロエロ団ナンバー１
<0397> エロエロ団ナンバー１

//<0398> ただのエロ少年
<0398> ただのエロ少年

//<0399> ユリブサイク
<0399> ユリブサイク

//<0400> ドピュッシー
<0400> ドピュッシー

//<0401> アメリカンエロドッグ
<0401> アメリカンエロドッグ

//<0402> ゼウス
<0402> ゼウス

//<0403> 日向markⅡ
<0403> 日向markⅡ

//<0404> 糞虫
<0404> 糞虫

//<0405> 量産型日向
<0405> 量産型日向

//<0406> ？？
<0406> ？？

//<0407> 「でも、あんた生徒会長なのに、自らサボってることにならないか？」
<0407> 「でも、あんた生徒会長なのに、自らサボってることにならないか？」

//<0408> nothing
<0408> nothing

//<0409> nothing
<0409> nothing

//<0410> nothing
<0410> nothing

//<0411> nothing
<0411> nothing

//<0412> nothing
<0412> nothing

//<0413> 天使
<0413> 天使

//<0414> かなで
<0414> かなで

//<0415> 女生徒
<0415> 女生徒

//<0416> ？？
<0416> ？？

//<0417> 「あたしは、授業をさぼる生徒の指導猶予として１０分だけ遅れても許されることになっているの」
<0417> 「あたしは、授業をさぼる生徒の指導猶予として１０分だけ遅れても許されることになっているの」

//<0418> nothing
<0418> nothing

//<0419> nothing
<0419> nothing

//<0420> nothing
<0420> nothing

//<0421> nothing
<0421> nothing

//<0422> nothing
<0422> nothing

//<0423> 音無
<0423> 音無

//<0424> クソ坊主
<0424> クソ坊主

//<0425> 代理人
<0425> 代理人

//<0426> 微妙すぎるイケメン
<0426> 微妙すぎるイケメン

//<0427> ロリコン
<0427> ロリコン

//<0428> メガネ仲間
<0428> メガネ仲間

//<0429> 暗算日本記録保持者
<0429> 暗算日本記録保持者

//<0430> 通り魔
<0430> 通り魔

//<0431> 記憶ナシ男
<0431> 記憶ナシ男

//<0432> 音速
<0432> 音速

//<0433> 無限
<0433> 無限

//<0434> エロ侍
<0434> エロ侍

//<0435> エロエロ団ナンバー１
<0435> エロエロ団ナンバー１

//<0436> ただのエロ少年
<0436> ただのエロ少年

//<0437> ユリブサイク
<0437> ユリブサイク

//<0438> ドピュッシー
<0438> ドピュッシー

//<0439> アメリカンエロドッグ
<0439> アメリカンエロドッグ

//<0440> ゼウス
<0440> ゼウス

//<0441> 日向markⅡ
<0441> 日向markⅡ

//<0442> 糞虫
<0442> 糞虫

//<0443> 量産型日向
<0443> 量産型日向

//<0444> ？？
<0444> ？？

//<0445> （マジかよ…）
<0445> （マジかよ…）

//<0446> 今ので逃げ切れないってことは…。
<0446> 今ので逃げ切れないってことは…。

//<0447> 諦めて授業を受ける
<0447> 諦めて授業を受ける

//<0448> さらに逃げる
<0448> さらに逃げる

//<0449> selbtn : 
<0449> selbtn : 

//<0450> そうだ。１０分だ！　１０分さえ逃げ切ればいいんだ！
<0450> そうだ。１０分だ！　１０分さえ逃げ切ればいいんだ！

//<0451> 移動しよう！
<0451> 移動しよう！

//<0452> 腕時計を見ると、１０分経っていた。
<0452> 腕時計を見ると、１０分経っていた。

//<0453> 音無
<0453> 音無

//<0454> クソ坊主
<0454> クソ坊主

//<0455> 代理人
<0455> 代理人

//<0456> 微妙すぎるイケメン
<0456> 微妙すぎるイケメン

//<0457> ロリコン
<0457> ロリコン

//<0458> メガネ仲間
<0458> メガネ仲間

//<0459> 暗算日本記録保持者
<0459> 暗算日本記録保持者

//<0460> 通り魔
<0460> 通り魔

//<0461> 記憶ナシ男
<0461> 記憶ナシ男

//<0462> 音速
<0462> 音速

//<0463> 無限
<0463> 無限

//<0464> エロ侍
<0464> エロ侍

//<0465> エロエロ団ナンバー１
<0465> エロエロ団ナンバー１

//<0466> ただのエロ少年
<0466> ただのエロ少年

//<0467> ユリブサイク
<0467> ユリブサイク

//<0468> ドピュッシー
<0468> ドピュッシー

//<0469> アメリカンエロドッグ
<0469> アメリカンエロドッグ

//<0470> ゼウス
<0470> ゼウス

//<0471> 日向markⅡ
<0471> 日向markⅡ

//<0472> 糞虫
<0472> 糞虫

//<0473> 量産型日向
<0473> 量産型日向

//<0474> ？？
<0474> ？？

//<0475> 「よし、逃げ切ったぁーー！！」
<0475> 「よし、逃げ切ったぁーー！！」

//<0476> 思わず拳を掲げ、ガッツポーズをしてしまう。
<0476> 思わず拳を掲げ、ガッツポーズをしてしまう。

//<0477> 逃げ切れない…諦めよう。
<0477> 逃げ切れない…諦めよう。

//<0478> 01_かなで
<0478> 01_かなで

//<0479> _00
<0479> _00

//<0480> nothing
<0480> nothing

//<0481> nothing
<0481> nothing

//<0482> nothing
<0482> nothing

//<0483> nothing
<0483> nothing

//<0484> nothing
<0484> nothing

//<0485> nothing
<0485> nothing

//<0486> 音無
<0486> 音無

//<0487> クソ坊主
<0487> クソ坊主

//<0488> 代理人
<0488> 代理人

//<0489> 微妙すぎるイケメン
<0489> 微妙すぎるイケメン

//<0490> ロリコン
<0490> ロリコン

//<0491> メガネ仲間
<0491> メガネ仲間

//<0492> 暗算日本記録保持者
<0492> 暗算日本記録保持者

//<0493> 通り魔
<0493> 通り魔

//<0494> 記憶ナシ男
<0494> 記憶ナシ男

//<0495> 音速
<0495> 音速

//<0496> 無限
<0496> 無限

//<0497> エロ侍
<0497> エロ侍

//<0498> エロエロ団ナンバー１
<0498> エロエロ団ナンバー１

//<0499> ただのエロ少年
<0499> ただのエロ少年

//<0500> ユリブサイク
<0500> ユリブサイク

//<0501> ドピュッシー
<0501> ドピュッシー

//<0502> アメリカンエロドッグ
<0502> アメリカンエロドッグ

//<0503> ゼウス
<0503> ゼウス

//<0504> 日向markⅡ
<0504> 日向markⅡ

//<0505> 糞虫
<0505> 糞虫

//<0506> 量産型日向
<0506> 量産型日向

//<0507> ？？
<0507> ？？

//<0508> 「あっ！　あれはなんだ！」
<0508> 「あっ！　あれはなんだ！」

//<0509> 天使の後ろを指差し大声を上げる。
<0509> 天使の後ろを指差し大声を上げる。

//<0510> 天使
<0510> 天使

//<0511> かなで
<0511> かなで

//<0512> 女生徒
<0512> 女生徒

//<0513> ？？
<0513> ？？

//<0514> 「…？」
<0514> 「…？」

//<0515> 俺から視線をそらした瞬間。
<0515> 俺から視線をそらした瞬間。

//<0516> 何も言わず、体を反転させ、全力で走った。
<0516> 何も言わず、体を反転させ、全力で走った。

//<0517> 戦う。ひとりでも。こちとら初日に実質殺されたんだからな…。
<0517> 戦う。ひとりでも。こちとら初日に実質殺されたんだからな…。

//<0518> se_handgun_setup
<0518> se_handgun_setup

//<0519> 銃を抜く。
<0519> 銃を抜く。

//<0520> nothing
<0520> nothing

//<0521> nothing
<0521> nothing

//<0522> nothing
<0522> nothing

//<0523> nothing
<0523> nothing

//<0524> nothing
<0524> nothing

//<0525> 天使
<0525> 天使

//<0526> かなで
<0526> かなで

//<0527> 女生徒
<0527> 女生徒

//<0528> ？？
<0528> ？？

//<0529> 『ガードスキル・ハンドソニック』
<0529> 『ガードスキル・ハンドソニック』

//<0530> nothing
<0530> nothing

//<0531> nothing
<0531> nothing

//<0532> nothing
<0532> nothing

//<0533> nothing
<0533> nothing

//<0534> nothing
<0534> nothing

//<0535> se_handsonic
<0535> se_handsonic

//<0536> nothing
<0536> nothing

//<0537> nothing
<0537> nothing

