// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 駐車場に行くと、腕立て伏せをしているユイがいた。
<0000> 駐車場に行くと、腕立て伏せをしているユイがいた。
<0099> 男子生徒

//<0100> ？？
<0100> ？？

//<0101> 「返事する暇があったら肘曲げろ！　顎を上げるな！」
<0101> 「返事する暇があったら肘曲げろ！　顎を上げるな！」

//<0102> nothing
<0102> nothing

//<0103> nothing
<0103> nothing

//<0104> nothing
<0104> nothing

//<0105> nothing
<0105> nothing

//<0106> nothing
<0106> nothing

//<0107> 日向
<0107> 日向

//<0108> 男Ｂ
<0108> 男Ｂ

//<0109> エロエロ団総帥
<0109> エロエロ団総帥

//<0110> イケチン
<0110> イケチン

//<0111> ホモ太
<0111> ホモ太

//<0112> ひなチン
<0112> ひなチン

//<0113> 秀樹
<0113> 秀樹

//<0114> 男子生徒
<0114> 男子生徒

//<0115> ？？
<0115> ？？

//<0116> 「そうだ！　壊れたおもちゃみたいに何も考えずヘコヘコしてろ！」
<0116> 「そうだ！　壊れたおもちゃみたいに何も考えずヘコヘコしてろ！」

//<0117> nothing
<0117> nothing

//<0118> nothing
<0118> nothing

//<0119> nothing
<0119> nothing

//<0120> nothing
<0120> nothing

//<0121> nothing
<0121> nothing

//<0122> 日向
<0122> 日向

//<0123> 男Ｂ
<0123> 男Ｂ

//<0124> エロエロ団総帥
<0124> エロエロ団総帥

//<0125> イケチン
<0125> イケチン

//<0126> ホモ太
<0126> ホモ太

//<0127> ひなチン
<0127> ひなチン

//<0128> 秀樹
<0128> 秀樹

//<0129> 男子生徒
<0129> 男子生徒

//<0130> ？？
<0130> ？？

//<0131> 「足りない頭で物を考えるな！　アホはアホらしく体だけを動かせ！」
<0131> 「足りない頭で物を考えるな！　アホはアホらしく体だけを動かせ！」

//<0132> nothing
<0132> nothing

//<0133> nothing
<0133> nothing

//<0134> nothing
<0134> nothing

//<0135> nothing
<0135> nothing

//<0136> nothing
<0136> nothing

//<0137> 日向
<0137> 日向

//<0138> 男Ｂ
<0138> 男Ｂ

//<0139> エロエロ団総帥
<0139> エロエロ団総帥

//<0140> イケチン
<0140> イケチン

//<0141> ホモ太
<0141> ホモ太

//<0142> ひなチン
<0142> ひなチン

//<0143> 秀樹
<0143> 秀樹

//<0144> 男子生徒
<0144> 男子生徒

//<0145> ？？
<0145> ？？

//<0146> 「返事はどうしたぁ！」
<0146> 「返事はどうしたぁ！」

//<0147> ユイ
<0147> ユイ

//<0148> 「サー！　イエッサー！」
<0148> 「サー！　イエッサー！」

//<0149> nothing
<0149> nothing

//<0150> nothing
<0150> nothing

//<0151> nothing
<0151> nothing

//<0152> nothing
<0152> nothing

//<0153> nothing
<0153> nothing

//<0154> 日向
<0154> 日向

//<0155> 男Ｂ
<0155> 男Ｂ

//<0156> エロエロ団総帥
<0156> エロエロ団総帥

//<0157> イケチン
<0157> イケチン

//<0158> ホモ太
<0158> ホモ太

//<0159> ひなチン
<0159> ひなチン

//<0160> 秀樹
<0160> 秀樹

//<0161> 男子生徒
<0161> 男子生徒

//<0162> ？？
<0162> ？？

//<0163> 「声が小さい！　タマ落としたかぁ！」
<0163> 「声が小さい！　タマ落としたかぁ！」

//<0164> ユイ
<0164> ユイ

//<0165> 「元からついとらんわぁぁーーーーーーー！」
<0165> 「元からついとらんわぁぁーーーーーーー！」

//<0166> se_kneekick
<0166> se_kneekick

//<0167> se_goldenball
<0167> se_goldenball

//<0168> nothing
<0168> nothing

//<0169> nothing
<0169> nothing

//<0170> nothing
<0170> nothing

//<0171> nothing
<0171> nothing

//<0172> nothing
<0172> nothing

//<0173> 日向
<0173> 日向

//<0174> 男Ｂ
<0174> 男Ｂ

//<0175> エロエロ団総帥
<0175> エロエロ団総帥

//<0176> イケチン
<0176> イケチン

//<0177> ホモ太
<0177> ホモ太

//<0178> ひなチン
<0178> ひなチン

//<0179> 秀樹
<0179> 秀樹

//<0180> 男子生徒
<0180> 男子生徒

//<0181> ？？
<0181> ？？

//<0182> 「ふぅぐ！」
<0182> 「ふぅぐ！」

//<0183> nothing
<0183> nothing

//<0184> nothing
<0184> nothing

//<0185> nothing
<0185> nothing

//<0186> nothing
<0186> nothing

//<0187> nothing
<0187> nothing

//<0188> nothing
<0188> nothing

//<0189> タマを蹴り上げられた。
<0189> タマを蹴り上げられた。

//<0190> 同じ事をされた時の記憶が甦り、思わず内股になってしまう。
<0190> 同じ事をされた時の記憶が甦り、思わず内股になってしまう。

//<0191> nothing
<0191> nothing

//<0192> nothing
<0192> nothing

//<0193> nothing
<0193> nothing

//<0194> nothing
<0194> nothing

//<0195> nothing
<0195> nothing

//<0196> nothing
<0196> nothing

//<0197> 日向
<0197> 日向

//<0198> 男Ｂ
<0198> 男Ｂ

//<0199> エロエロ団総帥
<0199> エロエロ団総帥

//<0200> イケチン
<0200> イケチン

//<0201> ホモ太
<0201> ホモ太

//<0202> ひなチン
<0202> ひなチン

//<0203> 秀樹
<0203> 秀樹

//<0204> 男子生徒
<0204> 男子生徒

//<0205> ？？
<0205> ？？

//<0206> 「お、ま…潰れたらどうすんだよ…」
<0206> 「お、ま…潰れたらどうすんだよ…」

//<0207> nothing
<0207> nothing

//<0208> nothing
<0208> nothing

//<0209> nothing
<0209> nothing

//<0210> nothing
<0210> nothing

//<0211> nothing
<0211> nothing

//<0212> ユイ
<0212> ユイ

//<0213> 「潰す気だったわぁぁ！　特訓にかこつけて好き放題言いやがって！　何様のつもりじゃこらあぁ！」
<0213> 「潰す気だったわぁぁ！　特訓にかこつけて好き放題言いやがって！　何様のつもりじゃこらあぁ！」

//<0214> 日向
<0214> 日向

//<0215> 男Ｂ
<0215> 男Ｂ

//<0216> エロエロ団総帥
<0216> エロエロ団総帥

//<0217> イケチン
<0217> イケチン

//<0218> ホモ太
<0218> ホモ太

//<0219> ひなチン
<0219> ひなチン

//<0220> 秀樹
<0220> 秀樹

//<0221> 男子生徒
<0221> 男子生徒

//<0222> ？？
<0222> ？？

//<0223> 「い…イカした気合いの入る…檄を飛ばせって言ったの…お前だろ」
<0223> 「い…イカした気合いの入る…檄を飛ばせって言ったの…お前だろ」

//<0224> nothing
<0224> nothing

//<0225> nothing
<0225> nothing

//<0226> nothing
<0226> nothing

//<0227> nothing
<0227> nothing

//<0228> nothing
<0228> nothing

//<0229> ユイ
<0229> ユイ

//<0230> 「今ので気合いが入ると思ったお前の頭がイカれてるだろー！」
<0230> 「今ので気合いが入ると思ったお前の頭がイカれてるだろー！」

//<0231> nothing
<0231> nothing

//<0232> nothing
<0232> nothing

//<0233> nothing
<0233> nothing

//<0234> nothing
<0234> nothing

//<0235> nothing
<0235> nothing

//<0236> 音無
<0236> 音無

//<0237> クソ坊主
<0237> クソ坊主

//<0238> 代理人
<0238> 代理人

//<0239> 微妙すぎるイケメン
<0239> 微妙すぎるイケメン

//<0240> ロリコン
<0240> ロリコン

//<0241> メガネ仲間
<0241> メガネ仲間

//<0242> 暗算日本記録保持者
<0242> 暗算日本記録保持者

//<0243> 通り魔
<0243> 通り魔

//<0244> 記憶ナシ男
<0244> 記憶ナシ男

//<0245> 音速
<0245> 音速

//<0246> 無限
<0246> 無限

//<0247> エロ侍
<0247> エロ侍

//<0248> エロエロ団ナンバー１
<0248> エロエロ団ナンバー１

//<0249> ただのエロ少年
<0249> ただのエロ少年

//<0250> ユリブサイク
<0250> ユリブサイク

//<0251> ドピュッシー
<0251> ドピュッシー

//<0252> アメリカンエロドッグ
<0252> アメリカンエロドッグ

//<0253> ゼウス
<0253> ゼウス

//<0254> 日向markⅡ
<0254> 日向markⅡ

//<0255> 糞虫
<0255> 糞虫

//<0256> 量産型日向
<0256> 量産型日向

//<0257> ？？
<0257> ？？

//<0258> 「…お前ら何してんだ？」
<0258> 「…お前ら何してんだ？」

//<0259> nothing
<0259> nothing

//<0260> nothing
<0260> nothing

//<0261> nothing
<0261> nothing

//<0262> nothing
<0262> nothing

//<0263> nothing
<0263> nothing

//<0264> ユイ
<0264> ユイ

//<0265> 「うわっ！　先輩いつの間に！」
<0265> 「うわっ！　先輩いつの間に！」

//<0266> nothing
<0266> nothing

//<0267> nothing
<0267> nothing

//<0268> nothing
<0268> nothing

//<0269> nothing
<0269> nothing

//<0270> 日向
<0270> 日向

//<0271> 男Ｂ
<0271> 男Ｂ

//<0272> エロエロ団総帥
<0272> エロエロ団総帥

//<0273> イケチン
<0273> イケチン

//<0274> ホモ太
<0274> ホモ太

//<0275> ひなチン
<0275> ひなチン

//<0276> 秀樹
<0276> 秀樹

//<0277> 男子生徒
<0277> 男子生徒

//<0278> ？？
<0278> ？？

//<0279> 「お、おお…音無…わりぃ、ちょっと腰叩いてくれ」
<0279> 「お、おお…音無…わりぃ、ちょっと腰叩いてくれ」

//<0280> 音無
<0280> 音無

//<0281> クソ坊主
<0281> クソ坊主

//<0282> 代理人
<0282> 代理人

//<0283> 微妙すぎるイケメン
<0283> 微妙すぎるイケメン

//<0284> ロリコン
<0284> ロリコン

//<0285> メガネ仲間
<0285> メガネ仲間

//<0286> 暗算日本記録保持者
<0286> 暗算日本記録保持者

//<0287> 通り魔
<0287> 通り魔

//<0288> 記憶ナシ男
<0288> 記憶ナシ男

//<0289> 音速
<0289> 音速

//<0290> 無限
<0290> 無限

//<0291> エロ侍
<0291> エロ侍

//<0292> エロエロ団ナンバー１
<0292> エロエロ団ナンバー１

//<0293> ただのエロ少年
<0293> ただのエロ少年

//<0294> ユリブサイク
<0294> ユリブサイク

//<0295> ドピュッシー
<0295> ドピュッシー

//<0296> アメリカンエロドッグ
<0296> アメリカンエロドッグ

//<0297> ゼウス
<0297> ゼウス

//<0298> 日向markⅡ
<0298> 日向markⅡ

//<0299> 糞虫
<0299> 糞虫

//<0300> 量産型日向
<0300> 量産型日向

//<0301> ？？
<0301> ？？

//<0302> 「こうか？」
<0302> 「こうか？」

//<0303> nothing
<0303> nothing

//<0304> nothing
<0304> nothing

//<0305> nothing
<0305> nothing

//<0306> nothing
<0306> nothing

//<0307> nothing
<0307> nothing

//<0308> 股間を押さえたまま、体をくの字に曲げてる日向の腰をトントンと叩いてやる。
<0308> 股間を押さえたまま、体をくの字に曲げてる日向の腰をトントンと叩いてやる。

//<0309> nothing
<0309> nothing

//<0310> nothing
<0310> nothing

//<0311> nothing
<0311> nothing

//<0312> nothing
<0312> nothing

//<0313> 日向
<0313> 日向

//<0314> 男Ｂ
<0314> 男Ｂ

//<0315> エロエロ団総帥
<0315> エロエロ団総帥

//<0316> イケチン
<0316> イケチン

//<0317> ホモ太
<0317> ホモ太

//<0318> ひなチン
<0318> ひなチン

//<0319> 秀樹
<0319> 秀樹

//<0320> 男子生徒
<0320> 男子生徒

//<0321> ？？
<0321> ？？
{a0fe} 33 // 0321

//<0322> 「あー…マジ潰れたかと思った…」
<0322> 「あー…マジ潰れたかと思った…」

//<0323> nothing
<0323> nothing

//<0324> nothing
<0324> nothing

//<0325> nothing
<0325> nothing

//<0326> nothing
<0326> nothing

//<0327> nothing
<0327> nothing

//<0328> nothing
<0328> nothing

//<0329> nothing
<0329> nothing

//<0330> nothing
<0330> nothing

//<0331> nothing
<0331> nothing

//<0332> ユイ
<0332> ユイ

//<0333> 「次は潰す！」
<0333> 「次は潰す！」

//<0334> nothing
<0334> nothing

//<0335> nothing
<0335> nothing

//<0336> nothing
<0336> nothing

//<0337> nothing
<0337> nothing

//<0338> 日向
<0338> 日向

//<0339> 男Ｂ
<0339> 男Ｂ

//<0340> エロエロ団総帥
<0340> エロエロ団総帥

//<0341> イケチン
<0341> イケチン

//<0342> ホモ太
<0342> ホモ太

//<0343> ひなチン
<0343> ひなチン

//<0344> 秀樹
<0344> 秀樹

//<0345> 男子生徒
<0345> 男子生徒

//<0346> ？？
<0346> ？？

//<0347> 「女のお前にゃわからんだろうけど、この痛みはシャレになんねーんだぞ！」
<0347> 「女のお前にゃわからんだろうけど、この痛みはシャレになんねーんだぞ！」

//<0348> nothing
<0348> nothing

//<0349> nothing
<0349> nothing

//<0350> nothing
<0350> nothing

//<0351> nothing
<0351> nothing

//<0352> nothing
<0352> nothing

//<0353> 日向
<0353> 日向

//<0354> 男Ｂ
<0354> 男Ｂ

//<0355> エロエロ団総帥
<0355> エロエロ団総帥

//<0356> イケチン
<0356> イケチン

//<0357> ホモ太
<0357> ホモ太

//<0358> ひなチン
<0358> ひなチン

//<0359> 秀樹
<0359> 秀樹

//<0360> 男子生徒
<0360> 男子生徒

//<0361> ？？
<0361> ？？

//<0362> 「いっそ死ねたほうが楽なくらい痛ぇんだ！」
<0362> 「いっそ死ねたほうが楽なくらい痛ぇんだ！」

//<0363> nothing
<0363> nothing

//<0364> nothing
<0364> nothing

//<0365> nothing
<0365> nothing

//<0366> nothing
<0366> nothing

//<0367> ユイ
<0367> ユイ

//<0368> 「じゃあすり潰す！」
<0368> 「じゃあすり潰す！」

//<0369> nothing
<0369> nothing

//<0370> nothing
<0370> nothing

//<0371> nothing
<0371> nothing

//<0372> nothing
<0372> nothing

//<0373> 日向
<0373> 日向

//<0374> 男Ｂ
<0374> 男Ｂ

//<0375> エロエロ団総帥
<0375> エロエロ団総帥

//<0376> イケチン
<0376> イケチン

//<0377> ホモ太
<0377> ホモ太

//<0378> ひなチン
<0378> ひなチン

//<0379> 秀樹
<0379> 秀樹

//<0380> 男子生徒
<0380> 男子生徒

//<0381> ？？
<0381> ？？

//<0382> 「なんで過激になってんだよ！　考えるだけで嫌な汗止まらねぇよ！」
<0382> 「なんで過激になってんだよ！　考えるだけで嫌な汗止まらねぇよ！」

//<0383> nothing
<0383> nothing

//<0384> nothing
<0384> nothing

//<0385> nothing
<0385> nothing

//<0386> nothing
<0386> nothing

//<0387> nothing
<0387> nothing

//<0388> 日向
<0388> 日向

//<0389> 男Ｂ
<0389> 男Ｂ

//<0390> エロエロ団総帥
<0390> エロエロ団総帥

//<0391> イケチン
<0391> イケチン

//<0392> ホモ太
<0392> ホモ太

//<0393> ひなチン
<0393> ひなチン

//<0394> 秀樹
<0394> 秀樹

//<0395> 男子生徒
<0395> 男子生徒

//<0396> ？？
<0396> ？？

//<0397> 「音無もなんか言ってやれ！」
<0397> 「音無もなんか言ってやれ！」

//<0398> 音無
<0398> 音無

//<0399> クソ坊主
<0399> クソ坊主

//<0400> 代理人
<0400> 代理人

//<0401> 微妙すぎるイケメン
<0401> 微妙すぎるイケメン

//<0402> ロリコン
<0402> ロリコン

//<0403> メガネ仲間
<0403> メガネ仲間

//<0404> 暗算日本記録保持者
<0404> 暗算日本記録保持者

//<0405> 通り魔
<0405> 通り魔

//<0406> 記憶ナシ男
<0406> 記憶ナシ男

//<0407> 音速
<0407> 音速

//<0408> 無限
<0408> 無限

//<0409> エロ侍
<0409> エロ侍

//<0410> エロエロ団ナンバー１
<0410> エロエロ団ナンバー１

//<0411> ただのエロ少年
<0411> ただのエロ少年

//<0412> ユリブサイク
<0412> ユリブサイク

//<0413> ドピュッシー
<0413> ドピュッシー

//<0414> アメリカンエロドッグ
<0414> アメリカンエロドッグ

//<0415> ゼウス
<0415> ゼウス

//<0416> 日向markⅡ
<0416> 日向markⅡ

//<0417> 糞虫
<0417> 糞虫

//<0418> 量産型日向
<0418> 量産型日向

//<0419> ？？
<0419> ？？

//<0420> 「おお！　睾丸は通常左右に一対あり、精子を作り出す以外にアンドロゲンという男性ホルモンを分泌する大切な器官だ！」
<0420> 「おお！　睾丸は通常左右に一対あり、精子を作り出す以外にアンドロゲンという男性ホルモンを分泌する大切な器官だ！」

//<0421> 音無
<0421> 音無

//<0422> クソ坊主
<0422> クソ坊主

//<0423> 代理人
<0423> 代理人

//<0424> 微妙すぎるイケメン
<0424> 微妙すぎるイケメン

//<0425> ロリコン
<0425> ロリコン

//<0426> メガネ仲間
<0426> メガネ仲間

//<0427> 暗算日本記録保持者
<0427> 暗算日本記録保持者

//<0428> 通り魔
<0428> 通り魔

//<0429> 記憶ナシ男
<0429> 記憶ナシ男

//<0430> 音速
<0430> 音速

//<0431> 無限
<0431> 無限

//<0432> エロ侍
<0432> エロ侍

//<0433> エロエロ団ナンバー１
<0433> エロエロ団ナンバー１

//<0434> ただのエロ少年
<0434> ただのエロ少年

//<0435> ユリブサイク
<0435> ユリブサイク

//<0436> ドピュッシー
<0436> ドピュッシー

//<0437> アメリカンエロドッグ
<0437> アメリカンエロドッグ

//<0438> ゼウス
<0438> ゼウス

//<0439> 日向markⅡ
<0439> 日向markⅡ

//<0440> 糞虫
<0440> 糞虫

//<0441> 量産型日向
<0441> 量産型日向

//<0442> ？？
<0442> ？？

//<0443> 「それを破壊されるということは、つまり男らしさを無くすということになるんだぞ！　日向が大山みたいになってもいいのか？！」
<0443> 「それを破壊されるということは、つまり男らしさを無くすということになるんだぞ！　日向が大山みたいになってもいいのか？！」

//<0444> nothing
<0444> nothing

//<0445> nothing
<0445> nothing

//<0446> nothing
<0446> nothing

//<0447> nothing
<0447> nothing

//<0448> nothing
<0448> nothing

//<0449> 日向
<0449> 日向

//<0450> 男Ｂ
<0450> 男Ｂ

//<0451> エロエロ団総帥
<0451> エロエロ団総帥

//<0452> イケチン
<0452> イケチン

//<0453> ホモ太
<0453> ホモ太

//<0454> ひなチン
<0454> ひなチン

//<0455> 秀樹
<0455> 秀樹

//<0456> 男子生徒
<0456> 男子生徒

//<0457> ？？
<0457> ？？
{dde4} 33 // 0457

//<0458> 「そうだ！　男にとって大切な器官…って、なんで専門的な説明してんだよ！　しかも大山に失礼なこと言わなかったか！？」
<0458> 「そうだ！　男にとって大切な器官…って、なんで専門的な説明してんだよ！　しかも大山に失礼なこと言わなかったか！？」

//<0459> nothing
<0459> nothing

//<0460> nothing
<0460> nothing

//<0461> nothing
<0461> nothing

//<0462> nothing
<0462> nothing

//<0463> nothing
<0463> nothing

//<0464> 音無
<0464> 音無

//<0465> クソ坊主
<0465> クソ坊主

//<0466> 代理人
<0466> 代理人

//<0467> 微妙すぎるイケメン
<0467> 微妙すぎるイケメン

//<0468> ロリコン
<0468> ロリコン

//<0469> メガネ仲間
<0469> メガネ仲間

//<0470> 暗算日本記録保持者
<0470> 暗算日本記録保持者

//<0471> 通り魔
<0471> 通り魔

//<0472> 記憶ナシ男
<0472> 記憶ナシ男

//<0473> 音速
<0473> 音速

//<0474> 無限
<0474> 無限

//<0475> エロ侍
<0475> エロ侍

//<0476> エロエロ団ナンバー１
<0476> エロエロ団ナンバー１

//<0477> ただのエロ少年
<0477> ただのエロ少年

//<0478> ユリブサイク
<0478> ユリブサイク

//<0479> ドピュッシー
<0479> ドピュッシー

//<0480> アメリカンエロドッグ
<0480> アメリカンエロドッグ

//<0481> ゼウス
<0481> ゼウス

//<0482> 日向markⅡ
<0482> 日向markⅡ

//<0483> 糞虫
<0483> 糞虫

//<0484> 量産型日向
<0484> 量産型日向

//<0485> ？？
<0485> ？？

//<0486> 「いや、つい思ってた事を口にしちまった」
<0486> 「いや、つい思ってた事を口にしちまった」

//<0487> nothing
<0487> nothing

//<0488> nothing
<0488> nothing

//<0489> nothing
<0489> nothing

//<0490> nothing
<0490> nothing

//<0491> nothing
<0491> nothing

//<0492> 日向
<0492> 日向

//<0493> 男Ｂ
<0493> 男Ｂ

//<0494> エロエロ団総帥
<0494> エロエロ団総帥

//<0495> イケチン
<0495> イケチン

//<0496> ホモ太
<0496> ホモ太

//<0497> ひなチン
<0497> ひなチン

//<0498> 秀樹
<0498> 秀樹

//<0499> 男子生徒
<0499> 男子生徒

//<0500> ？？
<0500> ？？

//<0501> 「思ってたのかよ！」
<0501> 「思ってたのかよ！」

//<0502> 音無
<0502> 音無

//<0503> クソ坊主
<0503> クソ坊主

//<0504> 代理人
<0504> 代理人

//<0505> 微妙すぎるイケメン
<0505> 微妙すぎるイケメン

//<0506> ロリコン
<0506> ロリコン

//<0507> メガネ仲間
<0507> メガネ仲間

//<0508> 暗算日本記録保持者
<0508> 暗算日本記録保持者

//<0509> 通り魔
<0509> 通り魔

//<0510> 記憶ナシ男
<0510> 記憶ナシ男

//<0511> 音速
<0511> 音速

//<0512> 無限
<0512> 無限

//<0513> エロ侍
<0513> エロ侍

//<0514> エロエロ団ナンバー１
<0514> エロエロ団ナンバー１

//<0515> ただのエロ少年
<0515> ただのエロ少年

//<0516> ユリブサイク
<0516> ユリブサイク

//<0517> ドピュッシー
<0517> ドピュッシー

//<0518> アメリカンエロドッグ
<0518> アメリカンエロドッグ

//<0519> ゼウス
<0519> ゼウス

//<0520> 日向markⅡ
<0520> 日向markⅡ

//<0521> 糞虫
<0521> 糞虫

//<0522> 量産型日向
<0522> 量産型日向

//<0523> ？？
<0523> ？？

//<0524> 「そんなことより」
<0524> 「そんなことより」

//<0525> nothing
<0525> nothing

//<0526> nothing
<0526> nothing

//<0527> nothing
<0527> nothing

//<0528> nothing
<0528> nothing

//<0529> nothing
<0529> nothing

//<0530> 日向
<0530> 日向

//<0531> 男Ｂ
<0531> 男Ｂ

//<0532> エロエロ団総帥
<0532> エロエロ団総帥

//<0533> イケチン
<0533> イケチン

//<0534> ホモ太
<0534> ホモ太

//<0535> ひなチン
<0535> ひなチン

//<0536> 秀樹
<0536> 秀樹

//<0537> 男子生徒
<0537> 男子生徒

//<0538> ？？
<0538> ？？

//<0539> 「そんなことなのか…」
<0539> 「そんなことなのか…」

//<0540> 音無
<0540> 音無

//<0541> クソ坊主
<0541> クソ坊主

//<0542> 代理人
<0542> 代理人

//<0543> 微妙すぎるイケメン
<0543> 微妙すぎるイケメン

//<0544> ロリコン
<0544> ロリコン

//<0545> メガネ仲間
<0545> メガネ仲間

//<0546> 暗算日本記録保持者
<0546> 暗算日本記録保持者

//<0547> 通り魔
<0547> 通り魔

//<0548> 記憶ナシ男
<0548> 記憶ナシ男

//<0549> 音速
<0549> 音速

//<0550> 無限
<0550> 無限

//<0551> エロ侍
<0551> エロ侍

//<0552> エロエロ団ナンバー１
<0552> エロエロ団ナンバー１

