// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 駐車場のようだった。
<0000> 駐車場のようだった。
<0056> ドピュッシー

//<0057> アメリカンエロドッグ
<0057> アメリカンエロドッグ

//<0058> ゼウス
<0058> ゼウス

//<0059> 日向markⅡ
<0059> 日向markⅡ

//<0060> 糞虫
<0060> 糞虫

//<0061> 量産型日向
<0061> 量産型日向

//<0062> ？？
<0062> ？？

//<0063> （ひとりトルネードをしてるのか…）
<0063> （ひとりトルネードをしてるのか…）

//<0064> この子は、あの岩沢が組んでいる陽動バンドとは別にひとりで動いているのか？
<0064> この子は、あの岩沢が組んでいる陽動バンドとは別にひとりで動いているのか？

//<0065> nothing
<0065> nothing

//<0066> nothing
<0066> nothing

//<0067> nothing
<0067> nothing

//<0068> nothing
<0068> nothing

//<0069> nothing
<0069> nothing

//<0070> そんなことを考えながら女子同士、握手するのをしばらく眺めていた。
<0070> そんなことを考えながら女子同士、握手するのをしばらく眺めていた。

//<0071> nothing
<0071> nothing

//<0072> nothing
<0072> nothing

//<0073> nothing
<0073> nothing

//<0074> nothing
<0074> nothing

//<0075> nothing
<0075> nothing

//<0076> 女生徒
<0076> 女生徒

//<0077> 「あれ？　戦線の人ですか？」
<0077> 「あれ？　戦線の人ですか？」

//<0078> nothing
<0078> nothing

//<0079> nothing
<0079> nothing

//<0080> nothing
<0080> nothing

//<0081> nothing
<0081> nothing

//<0082> nothing
<0082> nothing

//<0083> 制服が違うから、すぐ気づかれる。
<0083> 制服が違うから、すぐ気づかれる。

//<0084> 音無
<0084> 音無

//<0085> クソ坊主
<0085> クソ坊主

//<0086> 代理人
<0086> 代理人

//<0087> 微妙すぎるイケメン
<0087> 微妙すぎるイケメン

//<0088> ロリコン
<0088> ロリコン

//<0089> メガネ仲間
<0089> メガネ仲間

//<0090> 暗算日本記録保持者
<0090> 暗算日本記録保持者

//<0091> 通り魔
<0091> 通り魔

//<0092> 記憶ナシ男
<0092> 記憶ナシ男

//<0093> 音速
<0093> 音速

//<0094> 無限
<0094> 無限

//<0095> エロ侍
<0095> エロ侍

//<0096> エロエロ団ナンバー１
<0096> エロエロ団ナンバー１

//<0097> ただのエロ少年
<0097> ただのエロ少年

//<0098> ユリブサイク
<0098> ユリブサイク

//<0099> ドピュッシー
<0099> ドピュッシー

//<0100> アメリカンエロドッグ
<0100> アメリカンエロドッグ

//<0101> ゼウス
<0101> ゼウス

//<0102> 日向markⅡ
<0102> 日向markⅡ

//<0103> 糞虫
<0103> 糞虫

//<0104> 量産型日向
<0104> 量産型日向

//<0105> ？？
<0105> ？？

//<0106> 「ああ。入ったばっかの新入りだから、初めまして、だけど」
<0106> 「ああ。入ったばっかの新入りだから、初めまして、だけど」

//<0107> nothing
<0107> nothing

//<0108> nothing
<0108> nothing

//<0109> nothing
<0109> nothing

//<0110> nothing
<0110> nothing

//<0111> nothing
<0111> nothing

//<0112> ユイ
<0112> ユイ

//<0113> 「これはどうも、こちらこそ初めまして。ユイっていいます！」
<0113> 「これはどうも、こちらこそ初めまして。ユイっていいます！」

//<0114> 音無
<0114> 音無

//<0115> クソ坊主
<0115> クソ坊主

//<0116> 代理人
<0116> 代理人

//<0117> 微妙すぎるイケメン
<0117> 微妙すぎるイケメン

//<0118> ロリコン
<0118> ロリコン

//<0119> メガネ仲間
<0119> メガネ仲間

//<0120> 暗算日本記録保持者
<0120> 暗算日本記録保持者

//<0121> 通り魔
<0121> 通り魔

//<0122> 記憶ナシ男
<0122> 記憶ナシ男

//<0123> 音速
<0123> 音速

//<0124> 無限
<0124> 無限

//<0125> エロ侍
<0125> エロ侍

//<0126> エロエロ団ナンバー１
<0126> エロエロ団ナンバー１

//<0127> ただのエロ少年
<0127> ただのエロ少年

//<0128> ユリブサイク
<0128> ユリブサイク

//<0129> ドピュッシー
<0129> ドピュッシー

//<0130> アメリカンエロドッグ
<0130> アメリカンエロドッグ

//<0131> ゼウス
<0131> ゼウス

//<0132> 日向markⅡ
<0132> 日向markⅡ

//<0133> 糞虫
<0133> 糞虫

//<0134> 量産型日向
<0134> 量産型日向

//<0135> ？？
<0135> ？？

//<0136> 「何してたの？」
<0136> 「何してたの？」

//<0137> nothing
<0137> nothing

//<0138> nothing
<0138> nothing

//<0139> nothing
<0139> nothing

//<0140> nothing
<0140> nothing

//<0141> nothing
<0141> nothing

//<0142> ユイ
<0142> ユイ

//<0143> 「そりゃ、もちろん、歌の練習ですよ。今ではＮＰＣの子もファンになってくれて、聴きにきてくれるんです！」
<0143> 「そりゃ、もちろん、歌の練習ですよ。今ではＮＰＣの子もファンになってくれて、聴きにきてくれるんです！」

//<0144> 元気な子だ。
<0144> 元気な子だ。

//<0145> 音無
<0145> 音無

//<0146> クソ坊主
<0146> クソ坊主

//<0147> 代理人
<0147> 代理人

//<0148> 微妙すぎるイケメン
<0148> 微妙すぎるイケメン

//<0149> ロリコン
<0149> ロリコン

//<0150> メガネ仲間
<0150> メガネ仲間

//<0151> 暗算日本記録保持者
<0151> 暗算日本記録保持者

//<0152> 通り魔
<0152> 通り魔

//<0153> 記憶ナシ男
<0153> 記憶ナシ男

//<0154> 音速
<0154> 音速

//<0155> 無限
<0155> 無限

//<0156> エロ侍
<0156> エロ侍

//<0157> エロエロ団ナンバー１
<0157> エロエロ団ナンバー１

//<0158> ただのエロ少年
<0158> ただのエロ少年

//<0159> ユリブサイク
<0159> ユリブサイク

//<0160> ドピュッシー
<0160> ドピュッシー

//<0161> アメリカンエロドッグ
<0161> アメリカンエロドッグ

//<0162> ゼウス
<0162> ゼウス

//<0163> 日向markⅡ
<0163> 日向markⅡ

//<0164> 糞虫
<0164> 糞虫

//<0165> 量産型日向
<0165> 量産型日向

//<0166> ？？
<0166> ？？

//<0167> 「じゃあ、なに？　バンドでの陽動部隊がもうひとつ出来るってわけ？」
<0167> 「じゃあ、なに？　バンドでの陽動部隊がもうひとつ出来るってわけ？」

//<0168> nothing
<0168> nothing

//<0169> nothing
<0169> nothing

//<0170> nothing
<0170> nothing

//<0171> nothing
<0171> nothing

//<0172> nothing
<0172> nothing

//<0173> ユイ
<0173> ユイ

//<0174> 「そんなそんなっ！　この世界にバンドはひとつだけです。ガルデモだけあればいいんです」
<0174> 「そんなそんなっ！　この世界にバンドはひとつだけです。ガルデモだけあればいいんです」

//<0175> nothing
<0175> nothing

//<0176> nothing
<0176> nothing

//<0177> nothing
<0177> nothing

//<0178> nothing
<0178> nothing

//<0179> nothing
<0179> nothing

//<0180> ユイ
<0180> ユイ

//<0181> 「あたしはそれに憧れて、コピーみたいなことをしてるだけです」
<0181> 「あたしはそれに憧れて、コピーみたいなことをしてるだけです」

//<0182> 音無
<0182> 音無

//<0183> クソ坊主
<0183> クソ坊主

//<0184> 代理人
<0184> 代理人

//<0185> 微妙すぎるイケメン
<0185> 微妙すぎるイケメン

//<0186> ロリコン
<0186> ロリコン

//<0187> メガネ仲間
<0187> メガネ仲間

//<0188> 暗算日本記録保持者
<0188> 暗算日本記録保持者

//<0189> 通り魔
<0189> 通り魔

//<0190> 記憶ナシ男
<0190> 記憶ナシ男

//<0191> 音速
<0191> 音速

//<0192> 無限
<0192> 無限

//<0193> エロ侍
<0193> エロ侍

//<0194> エロエロ団ナンバー１
<0194> エロエロ団ナンバー１

//<0195> ただのエロ少年
<0195> ただのエロ少年

//<0196> ユリブサイク
<0196> ユリブサイク

//<0197> ドピュッシー
<0197> ドピュッシー

//<0198> アメリカンエロドッグ
<0198> アメリカンエロドッグ

//<0199> ゼウス
<0199> ゼウス

//<0200> 日向markⅡ
<0200> 日向markⅡ

//<0201> 糞虫
<0201> 糞虫

//<0202> 量産型日向
<0202> 量産型日向

//<0203> ？？
<0203> ？？

//<0204> 「ガルデモってそんなにすごいバンドなのか？」
<0204> 「ガルデモってそんなにすごいバンドなのか？」

//<0205> nothing
<0205> nothing

//<0206> nothing
<0206> nothing

//<0207> nothing
<0207> nothing

//<0208> nothing
<0208> nothing

//<0209> nothing
<0209> nothing

//<0210> ユイ
<0210> ユイ

//<0211> 「ええぇぇええぇぇーー！！　そんなことも知らないで戦線の幹部やってるんですかぁぁーー！！」
<0211> 「ええぇぇええぇぇーー！！　そんなことも知らないで戦線の幹部やってるんですかぁぁーー！！」

//<0212> 音無
<0212> 音無

//<0213> クソ坊主
<0213> クソ坊主

//<0214> 代理人
<0214> 代理人

//<0215> 微妙すぎるイケメン
<0215> 微妙すぎるイケメン

//<0216> ロリコン
<0216> ロリコン

//<0217> メガネ仲間
<0217> メガネ仲間

//<0218> 暗算日本記録保持者
<0218> 暗算日本記録保持者

//<0219> 通り魔
<0219> 通り魔

//<0220> 記憶ナシ男
<0220> 記憶ナシ男

//<0221> 音速
<0221> 音速

//<0222> 無限
<0222> 無限

//<0223> エロ侍
<0223> エロ侍

//<0224> エロエロ団ナンバー１
<0224> エロエロ団ナンバー１

//<0225> ただのエロ少年
<0225> ただのエロ少年

//<0226> ユリブサイク
<0226> ユリブサイク

//<0227> ドピュッシー
<0227> ドピュッシー

//<0228> アメリカンエロドッグ
<0228> アメリカンエロドッグ

//<0229> ゼウス
<0229> ゼウス

//<0230> 日向markⅡ
<0230> 日向markⅡ

//<0231> 糞虫
<0231> 糞虫

//<0232> 量産型日向
<0232> 量産型日向

//<0233> ？？
<0233> ？？

//<0234> 「だって、この世界に来たのって、三日前だぜ？」
<0234> 「だって、この世界に来たのって、三日前だぜ？」

//<0235> nothing
<0235> nothing

//<0236> nothing
<0236> nothing

//<0237> nothing
<0237> nothing

//<0238> nothing
<0238> nothing

//<0239> nothing
<0239> nothing

//<0240> ユイ
<0240> ユイ

//<0241> 「その間にもトルネードがあったじゃないですか！」
<0241> 「その間にもトルネードがあったじゃないですか！」

//<0242> 音無
<0242> 音無

//<0243> クソ坊主
<0243> クソ坊主

//<0244> 代理人
<0244> 代理人

//<0245> 微妙すぎるイケメン
<0245> 微妙すぎるイケメン

//<0246> ロリコン
<0246> ロリコン

//<0247> メガネ仲間
<0247> メガネ仲間

//<0248> 暗算日本記録保持者
<0248> 暗算日本記録保持者

//<0249> 通り魔
<0249> 通り魔

//<0250> 記憶ナシ男
<0250> 記憶ナシ男

//<0251> 音速
<0251> 音速

//<0252> 無限
<0252> 無限

//<0253> エロ侍
<0253> エロ侍

//<0254> エロエロ団ナンバー１
<0254> エロエロ団ナンバー１

//<0255> ただのエロ少年
<0255> ただのエロ少年

//<0256> ユリブサイク
<0256> ユリブサイク

//<0257> ドピュッシー
<0257> ドピュッシー

//<0258> アメリカンエロドッグ
<0258> アメリカンエロドッグ

//<0259> ゼウス
<0259> ゼウス

//<0260> 日向markⅡ
<0260> 日向markⅡ

//<0261> 糞虫
<0261> 糞虫

//<0262> 量産型日向
<0262> 量産型日向

//<0263> ？？
<0263> ？？

//<0264> 「ああ、やったな。でも演奏とか見たわけじゃないし…」
<0264> 「ああ、やったな。でも演奏とか見たわけじゃないし…」

//<0265> nothing
<0265> nothing

//<0266> nothing
<0266> nothing

//<0267> nothing
<0267> nothing

//<0268> nothing
<0268> nothing

//<0269> nothing
<0269> nothing

//<0270> ユイ
<0270> ユイ

//<0271> 「では、ガルデモの説明からさせて頂きます」
<0271> 「では、ガルデモの説明からさせて頂きます」

//<0272> 音無
<0272> 音無

//<0273> クソ坊主
<0273> クソ坊主

//<0274> 代理人
<0274> 代理人

//<0275> 微妙すぎるイケメン
<0275> 微妙すぎるイケメン

//<0276> ロリコン
<0276> ロリコン

//<0277> メガネ仲間
<0277> メガネ仲間

//<0278> 暗算日本記録保持者
<0278> 暗算日本記録保持者

//<0279> 通り魔
<0279> 通り魔

//<0280> 記憶ナシ男
<0280> 記憶ナシ男

//<0281> 音速
<0281> 音速

//<0282> 無限
<0282> 無限

//<0283> エロ侍
<0283> エロ侍

//<0284> エロエロ団ナンバー１
<0284> エロエロ団ナンバー１

//<0285> ただのエロ少年
<0285> ただのエロ少年

//<0286> ユリブサイク
<0286> ユリブサイク

//<0287> ドピュッシー
<0287> ドピュッシー

//<0288> アメリカンエロドッグ
<0288> アメリカンエロドッグ

//<0289> ゼウス
<0289> ゼウス

//<0290> 日向markⅡ
<0290> 日向markⅡ

//<0291> 糞虫
<0291> 糞虫

//<0292> 量産型日向
<0292> 量産型日向

//<0293> ？？
<0293> ？？

//<0294> 「いや、別にいらないけど…」
<0294> 「いや、別にいらないけど…」

//<0295> nothing
<0295> nothing

//<0296> nothing
<0296> nothing

//<0297> nothing
<0297> nothing

//<0298> nothing
<0298> nothing

//<0299> nothing
<0299> nothing

//<0300> ユイ
<0300> ユイ

//<0301> 「正式名称は、
<0301> 「正式名称は、

//<0302> Girls Dead Monster
<0302> Girls Dead Monster

//<0303> 。略してガルデモです！　ガルデモは凄いんですよ！　なんと言っても、ボーカル＆ギターの岩沢さんの存在感！」
<0303> 。略してガルデモです！　ガルデモは凄いんですよ！　なんと言っても、ボーカル＆ギターの岩沢さんの存在感！」

//<0304> nothing
<0304> nothing

//<0305> nothing
<0305> nothing

//<0306> nothing
<0306> nothing

//<0307> nothing
<0307> nothing

//<0308> nothing
<0308> nothing

//<0309> ユイ
<0309> ユイ

//<0310> 「ひとりで作詞作曲までしちゃうんです！　
<0310> 「ひとりで作詞作曲までしちゃうんです！　

//<0311> Crow Song
<0311> Crow Song

//<0312> は岩沢さんの人生そのもの！ってな歌で泣けるわ、盛り上がるわで、ライブ中にどうしたらいいかよくわかんない、鉄板曲なんですよ！」
<0312> は岩沢さんの人生そのもの！ってな歌で泣けるわ、盛り上がるわで、ライブ中にどうしたらいいかよくわかんない、鉄板曲なんですよ！」
{98d1} 10 // 0312

//<0313> 音無
<0313> 音無

//<0314> クソ坊主
<0314> クソ坊主

//<0315> 代理人
<0315> 代理人

//<0316> 微妙すぎるイケメン
<0316> 微妙すぎるイケメン

//<0317> ロリコン
<0317> ロリコン

//<0318> メガネ仲間
<0318> メガネ仲間

//<0319> 暗算日本記録保持者
<0319> 暗算日本記録保持者

//<0320> 通り魔
<0320> 通り魔

//<0321> 記憶ナシ男
<0321> 記憶ナシ男

//<0322> 音速
<0322> 音速

//<0323> 無限
<0323> 無限

//<0324> エロ侍
<0324> エロ侍

//<0325> エロエロ団ナンバー１
<0325> エロエロ団ナンバー１

//<0326> ただのエロ少年
<0326> ただのエロ少年

//<0327> ユリブサイク
<0327> ユリブサイク

//<0328> ドピュッシー
<0328> ドピュッシー

//<0329> アメリカンエロドッグ
<0329> アメリカンエロドッグ

//<0330> ゼウス
<0330> ゼウス

//<0331> 日向markⅡ
<0331> 日向markⅡ

//<0332> 糞虫
<0332> 糞虫

//<0333> 量産型日向
<0333> 量産型日向

//<0334> ？？
<0334> ？？

//<0335> 「どうしたらいいかよくわからない曲が鉄板曲にはならんだろ…」
<0335> 「どうしたらいいかよくわからない曲が鉄板曲にはならんだろ…」

//<0336> nothing
<0336> nothing

//<0337> nothing
<0337> nothing

//<0338> nothing
<0338> nothing

//<0339> nothing
<0339> nothing

//<0340> nothing
<0340> nothing

//<0341> ユイ
<0341> ユイ

//<0342> 「そして、最高に盛り上がるのが
<0342> 「そして、最高に盛り上がるのが

//<0343> Alchemy
<0343> Alchemy

//<0344> ！　リードギターのひさ子さんの殺伐としたリフで始まるキラーチューン！　もう殺伐とするわ、興奮するわで、もうどうしたらいいかよくわからないですよ！」
<0344> ！　リードギターのひさ子さんの殺伐としたリフで始まるキラーチューン！　もう殺伐とするわ、興奮するわで、もうどうしたらいいかよくわからないですよ！」
{a5c9} 10 // 0344

//<0345> 音無
<0345> 音無

//<0346> クソ坊主
<0346> クソ坊主

//<0347> 代理人
<0347> 代理人

//<0348> 微妙すぎるイケメン
<0348> 微妙すぎるイケメン

//<0349> ロリコン
<0349> ロリコン

//<0350> メガネ仲間
<0350> メガネ仲間

//<0351> 暗算日本記録保持者
<0351> 暗算日本記録保持者

//<0352> 通り魔
<0352> 通り魔

//<0353> 記憶ナシ男
<0353> 記憶ナシ男

//<0354> 音速
<0354> 音速

//<0355> 無限
<0355> 無限

//<0356> エロ侍
<0356> エロ侍

//<0357> エロエロ団ナンバー１
<0357> エロエロ団ナンバー１

//<0358> ただのエロ少年
<0358> ただのエロ少年

//<0359> ユリブサイク
<0359> ユリブサイク

//<0360> ドピュッシー
<0360> ドピュッシー

//<0361> アメリカンエロドッグ
<0361> アメリカンエロドッグ

//<0362> ゼウス
<0362> ゼウス

//<0363> 日向markⅡ
<0363> 日向markⅡ

//<0364> 糞虫
<0364> 糞虫

//<0365> 量産型日向
<0365> 量産型日向

//<0366> ？？
<0366> ？？

//<0367> 「どうしたらいいかよくわからない曲がキラーチューンにはならんだろ…」
<0367> 「どうしたらいいかよくわからない曲がキラーチューンにはならんだろ…」

//<0368> nothing
<0368> nothing

//<0369> nothing
<0369> nothing

//<0370> nothing
<0370> nothing

//<0371> nothing
<0371> nothing

//<0372> nothing
<0372> nothing

//<0373> ユイ
<0373> ユイ

//<0374> 「とにかくガルデモがこの世界で唯一無二のバンドなんです！　あたしはそのサポートをしているだけの新米です」
<0374> 「とにかくガルデモがこの世界で唯一無二のバンドなんです！　あたしはそのサポートをしているだけの新米です」

//<0375> 音無
<0375> 音無

//<0376> クソ坊主
<0376> クソ坊主

//<0377> 代理人
<0377> 代理人

//<0378> 微妙すぎるイケメン
<0378> 微妙すぎるイケメン

//<0379> ロリコン
<0379> ロリコン

//<0380> メガネ仲間
<0380> メガネ仲間

//<0381> 暗算日本記録保持者
<0381> 暗算日本記録保持者

//<0382> 通り魔
<0382> 通り魔

//<0383> 記憶ナシ男
<0383> 記憶ナシ男

//<0384> 音速
<0384> 音速

//<0385> 無限
<0385> 無限

//<0386> エロ侍
<0386> エロ侍

//<0387> エロエロ団ナンバー１
<0387> エロエロ団ナンバー１

//<0388> ただのエロ少年
<0388> ただのエロ少年

//<0389> ユリブサイク
<0389> ユリブサイク

//<0390> ドピュッシー
<0390> ドピュッシー

//<0391> アメリカンエロドッグ
<0391> アメリカンエロドッグ

//<0392> ゼウス
<0392> ゼウス

//<0393> 日向markⅡ
<0393> 日向markⅡ

//<0394> 糞虫
<0394> 糞虫

//<0395> 量産型日向
<0395> 量産型日向

//<0396> ？？
<0396> ？？

//<0397> 「じゃ、俺と似たような感じだな」
<0397> 「じゃ、俺と似たような感じだな」

//<0398> nothing
<0398> nothing

//<0399> nothing
<0399> nothing

//<0400> nothing
<0400> nothing

//<0401> nothing
<0401> nothing

//<0402> nothing
<0402> nothing

//<0403> ユイ
<0403> ユイ

//<0404> 「一緒にするなや、ごらあああぁぁーー！！　ガルデモに対する愛は何倍もお前より上じゃああぁぁーー！！　遥か上空じゃあああぁーーーーー！！」
<0404> 「一緒にするなや、ごらあああぁぁーー！！　ガルデモに対する愛は何倍もお前より上じゃああぁぁーー！！　遥か上空じゃあああぁーーーーー！！」

//<0405> nothing
<0405> nothing

//<0406> nothing
<0406> nothing

//<0407> nothing
<0407> nothing

//<0408> nothing
<0408> nothing

//<0409> nothing
<0409> nothing

//<0410> なんだ！？　いきなりキレキャラに変わりやがった…！
<0410> なんだ！？　いきなりキレキャラに変わりやがった…！

//<0411> 音無
<0411> 音無

//<0412> クソ坊主
<0412> クソ坊主

//<0413> 代理人
<0413> 代理人

//<0414> 微妙すぎるイケメン
<0414> 微妙すぎるイケメン

//<0415> ロリコン
<0415> ロリコン

//<0416> メガネ仲間
<0416> メガネ仲間

//<0417> 暗算日本記録保持者
<0417> 暗算日本記録保持者

//<0418> 通り魔
<0418> 通り魔

//<0419> 記憶ナシ男
<0419> 記憶ナシ男

//<0420> 音速
<0420> 音速

//<0421> 無限
<0421> 無限

//<0422> エロ侍
<0422> エロ侍

//<0423> エロエロ団ナンバー１
<0423> エロエロ団ナンバー１

//<0424> ただのエロ少年
<0424> ただのエロ少年

//<0425> ユリブサイク
<0425> ユリブサイク

//<0426> ドピュッシー
<0426> ドピュッシー

//<0427> アメリカンエロドッグ
<0427> アメリカンエロドッグ

//<0428> ゼウス
<0428> ゼウス

//<0429> 日向markⅡ
<0429> 日向markⅡ

//<0430> 糞虫
<0430> 糞虫

//<0431> 量産型日向
<0431> 量産型日向

//<0432> ？？
<0432> ？？

//<0433> 「わかった、わかった、お前のほうが断然上だよ。俺は土の中のモグラぐらいなもんだ」
<0433> 「わかった、わかった、お前のほうが断然上だよ。俺は土の中のモグラぐらいなもんだ」

//<0434> nothing
<0434> nothing

//<0435> nothing
<0435> nothing

//<0436> nothing
<0436> nothing

//<0437> nothing
<0437> nothing

//<0438> nothing
<0438> nothing

//<0439> ユイ
<0439> ユイ

//<0440> 「そんなそんな謙遜せずとも、ミミズぐらいでいいじゃないですかっ」
<0440> 「そんなそんな謙遜せずとも、ミミズぐらいでいいじゃないですかっ」

//<0441> 喧嘩売ってんのか…。
<0441> 喧嘩売ってんのか…。

//<0442> 音無
<0442> 音無

//<0443> クソ坊主
<0443> クソ坊主

//<0444> 代理人
<0444> 代理人

//<0445> 微妙すぎるイケメン
<0445> 微妙すぎるイケメン

//<0446> ロリコン
<0446> ロリコン

//<0447> メガネ仲間
<0447> メガネ仲間

//<0448> 暗算日本記録保持者
<0448> 暗算日本記録保持者

//<0449> 通り魔
<0449> 通り魔

//<0450> 記憶ナシ男
<0450> 記憶ナシ男

//<0451> 音速
<0451> 音速

//<0452> 無限
<0452> 無限

//<0453> エロ侍
<0453> エロ侍

//<0454> エロエロ団ナンバー１
<0454> エロエロ団ナンバー１

//<0455> ただのエロ少年
<0455> ただのエロ少年

//<0456> ユリブサイク
<0456> ユリブサイク

//<0457> ドピュッシー
<0457> ドピュッシー

//<0458> アメリカンエロドッグ
<0458> アメリカンエロドッグ

//<0459> ゼウス
<0459> ゼウス

//<0460> 日向markⅡ
<0460> 日向markⅡ

//<0461> 糞虫
<0461> 糞虫

//<0462> 量産型日向
<0462> 量産型日向

//<0463> ？？
<0463> ？？

//<0464> 「よくわからんが、陽動のサポート、頑張れよ」
<0464> 「よくわからんが、陽動のサポート、頑張れよ」

//<0465> nothing
<0465> nothing

//<0466> nothing
<0466> nothing

//<0467> nothing
<0467> nothing

//<0468> nothing
<0468> nothing

//<0469> nothing
<0469> nothing

//<0470> ユイ
<0470> ユイ

//<0471> 「言われなくても頑張りますよぅ」
<0471> 「言われなくても頑張りますよぅ」

//<0472> nothing
<0472> nothing

//<0473> nothing
<0473> nothing

//<0474> nothing
<0474> nothing

//<0475> nothing
<0475> nothing

//<0476> nothing
<0476> nothing

//<0477> nothing
<0477> nothing

//<0478> 後かたづけをするユイと別れた。
<0478> 後かたづけをするユイと別れた。

//<0479> se_yui_Alchemy_Gt
<0479> se_yui_Alchemy_Gt

//<0480> 駐車場では、今日もユイがファンに囲まれて路上ライブをしていた。
<0480> 駐車場では、今日もユイがファンに囲まれて路上ライブをしていた。

